Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RFWD2-N1,Intensity RFWD2-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
F5H199;Q8IXL7;F5H7C4;F5H6G9;H0YFW5;H7C2B7;A0A2R8Y7J8,F5H199;Q8IXL7;F5H7C4;F5H6G9;H0YFW5,9;8;7;6;6;4;1,9;8;7;6;6;4;1,9;8;7;6;6;4;1,Methionine-R-sulfoxide reductase B3,MSRB3,tr|F5H199|F5H199_HUMAN Peptide-methionine (R)-S-oxide reductase (Fragment) OS=Homo sapiens OX=9606 GN=MSRB3 PE=1 SV=1;sp|Q8IXL7|MSRB3_HUMAN Methionine-R-sulfoxide reductase B3 OS=Homo sapiens OX=9606 GN=MSRB3 PE=1 SV=2;tr|F5H7C4|F5H7C4_HUMAN Methionine-R-s,9,9,54.9,28.5475291882172,26.4431156738134,24.6350015467788,24.4339628254354
Q9Y217,Q9Y217,9,9,9,Myotubularin-related protein 6,MTMR6,sp|Q9Y217|MTMR6_HUMAN Myotubularin-related protein 6 OS=Homo sapiens OX=9606 GN=MTMR6 PE=1 SV=3,9,9,19.5,24.6785346386743,24.7161248987294,27.3433337543312,27.1407294671261
Q5VZE5,Q5VZE5,9,9,9,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",NAA35,"sp|Q5VZE5|NAA35_HUMAN N-alpha-acetyltransferase 35, NatC auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA35 PE=1 SV=1",9,9,16.6,27.464508406003,27.7524495576075,26.3293886408461,25.9878919729717
Q8TBE9;REV__CON__P02672,Q8TBE9,9;1,9;1,9;1,N-acylneuraminate-9-phosphatase,NANP,sp|Q8TBE9|NANP_HUMAN N-acylneuraminate-9-phosphatase OS=Homo sapiens OX=9606 GN=NANP PE=1 SV=1,9,9,38.7,27.2226932122033,27.8685009058466,28.1994320451725,28.1000902683163
P55209;F8VY35;F5H4R6;H0YIV4;F8W020;F8W118;F8VV59;F8W0J6;H0YH88;H0YHC3;F8W543;B7Z9C2;F8VRJ2;F8VXI6;F8VUX1;F8VVB5,P55209;F8VY35;F5H4R6;H0YIV4;F8W020;F8W118;F8VV59;F8W0J6;H0YH88;H0YHC3;F8W543;B7Z9C2;F8VRJ2;F8VXI6;F8VUX1;F8VVB5,11;11;11;11;10;10;10;10;9;9;9;9;8;8;8;7,11;11;11;11;10;10;10;10;9;9;9;9;8;8;8;7,9;9;9;9;8;8;8;8;7;7;7;7;6;6;6;5,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F5H4R6|F5H4R6_HUMAN Nucleosome asse,11,9,30.7,28.9076457457424,29.0135046510436,30.231463421831,30.386176317859
Q99733;C9J6D1;C9JZI7;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;A8MXH2;E9PKT8;E9PKI2;E9PP22;C9J1B1;H0YCI4,Q99733;C9J6D1;C9JZI7;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;A8MXH2;E9PKT8,11;9;9;8;8;8;8;7;7;5;5;4;3,9;7;7;6;6;6;6;5;5;5;5;4;3,9;7;7;6;6;6;6;5;5;5;5;4;3,Nucleosome assembly protein 1-like 4,NAP1L4,sp|Q99733|NP1L4_HUMAN Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1;tr|C9J6D1|C9J6D1_HUMAN Nucleosome assembly protein 1-like 4 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1;tr|C9JZI7|C9JZI7_HUMAN Nucleosome asse,11,9,33.6,25.5844278795969,26.828082623293,28.5699682797226,28.0799434601624
Q15596;E7EWM1;H0YBB6,Q15596;E7EWM1,9;7;1,9;7;1,9;7;1,Nuclear receptor coactivator 2,NCOA2,sp|Q15596|NCOA2_HUMAN Nuclear receptor coactivator 2 OS=Homo sapiens OX=9606 GN=NCOA2 PE=1 SV=2;tr|E7EWM1|E7EWM1_HUMAN Nuclear receptor coactivator 2 OS=Homo sapiens OX=9606 GN=NCOA2 PE=1 SV=2,9,9,10.9,26.8959672015274,26.5356250625813,26.9880437180908,26.9864170463198
Q16649,Q16649,9,9,9,Nuclear factor interleukin-3-regulated protein,NFIL3,sp|Q16649|NFIL3_HUMAN Nuclear factor interleukin-3-regulated protein OS=Homo sapiens OX=9606 GN=NFIL3 PE=1 SV=2,9,9,24.2,27.3093864224078,26.4042187972975,4.41334328787,4.32921797042726
P30419;K7EN82;O60551;B7Z8J4;Q5VUC6,P30419,9;2;1;1;1,9;2;1;1;1,9;2;1;1;1,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,9,9,23.2,27.3235424523845,27.6775453486406,27.5778752583337,27.8933655106049
O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,9;9;6;6;3,9;9;6;6;3,9;9;6;6;3,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,9,9,21.0,24.0285893583306,25.5754824657464,26.4402349046662,25.5657842715497
P37198;M0QXN5;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302,P37198;M0QXN5,10;9;1;1;1;1;1;1,10;9;1;1;1;1;1;1,9;8;0;0;0;0;0;0,Nuclear pore glycoprotein p62,NUP62,sp|P37198|NUP62_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=3;tr|M0QXN5|M0QXN5_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=1,10,9,29.9,28.7099414374607,29.3710462665827,26.4788178731199,26.7615449427795
Q9UKK3,Q9UKK3,9,9,9,Poly [ADP-ribose] polymerase 4,PARP4,sp|Q9UKK3|PARP4_HUMAN Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,9,9,5.9,23.7807672210889,23.6590534275553,26.2948272710322,26.0800553202422
Q96KB5;E5RFX4;E5RIE1,Q96KB5;E5RFX4,9;6;2,9;6;2,9;6;2,Lymphokine-activated killer T-cell-originated protein kinase,PBK,sp|Q96KB5|TOPK_HUMAN Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens OX=9606 GN=PBK PE=1 SV=3;tr|E5RFX4|E5RFX4_HUMAN Lymphokine-activated killer T-cell-originated protein kinase (Fragment) OS=Homo sapiens OX=9606 GN=PBK PE=1 SV,9,9,31.7,25.4136423896161,26.248365984462,27.3509389118523,26.448466214305
P17858,P17858,10,10,9,"ATP-dependent 6-phosphofructokinase, liver type",PFKL,"sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",10,9,18.8,26.2805445271871,27.8173259432784,25.6119491924283,25.065830587516
P54277;E9PC65;B7ZAA0;Q3BDU3;Q5FBZ9;Q5FBZ4;C9JF76;F8W8L1;Q5XG96;E9PC40;C9JKP0;Q5FBZ7;C9J4L1,P54277;E9PC65;B7ZAA0;Q3BDU3;Q5FBZ9,13;9;9;8;8;5;4;2;2;2;1;1;1,13;9;9;8;8;5;4;2;2;2;1;1;1,9;6;5;7;7;5;4;2;2;2;1;1;1,PMS1 protein homolog 1,PMS1,sp|P54277|PMS1_HUMAN PMS1 protein homolog 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1;tr|E9PC65|E9PC65_HUMAN PMS1 protein homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1;tr|B7ZAA0|B7ZAA0_HUMAN PMS1 protein homolog 1 OS=Homo sapiens OX=9606 G,13,9,19.7,28.0882078800163,28.1104823539937,25.4178324320001,25.6934920621348
Q15054;E9PM91;E9PNC0;E9PRK3;H0YEX7,Q15054,9;3;3;3;1,9;3;3;3;1,9;3;3;3;1,DNA polymerase delta subunit 3,POLD3,sp|Q15054|DPOD3_HUMAN DNA polymerase delta subunit 3 OS=Homo sapiens OX=9606 GN=POLD3 PE=1 SV=2,9,9,24.9,26.2583755347332,26.4702308838117,26.1078913419646,25.8835292981053
P24928,P24928,9,9,9,DNA-directed RNA polymerase II subunit RPB1,POLR2A,sp|P24928|RPB1_HUMAN DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,9,9,7.3,25.6055476956306,25.9847016329551,25.2242767097844,23.6256687161239
O75400;A0A3F2YNY6;F5H578,O75400;A0A3F2YNY6,9;9;1,9;9;1,9;9;1,Pre-mRNA-processing factor 40 homolog A,PRPF40A,sp|O75400|PR40A_HUMAN Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2;tr|A0A3F2YNY6|A0A3F2YNY6_HUMAN Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=1,9,9,12.3,26.6013040321222,27.0073151073851,26.5912077563398,27.0282310216614
Q9NW64;E5RJW4;E5RHA8,Q9NW64;E5RJW4,9;7;4,9;7;4,9;7;4,Pre-mRNA-splicing factor RBM22,RBM22,sp|Q9NW64|RBM22_HUMAN Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1;tr|E5RJW4|E5RJW4_HUMAN Pre-mRNA-splicing factor RBM22 (Fragment) OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,9,9,27.6,27.3056516810453,26.266619426419,23.719836652191,24.8744114556714
P78332;E9PGM9;F8WCA5;F8WF63;C9J250;C9JSL1,P78332;E9PGM9;F8WCA5,10;10;7;2;1;1,9;9;7;2;1;1,9;9;7;2;1;1,RNA-binding protein 6,RBM6,sp|P78332|RBM6_HUMAN RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5;tr|E9PGM9|E9PGM9_HUMAN RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=1;tr|F8WCA5|F8WCA5_HUMAN RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV,10,9,13.0,26.1837036194853,26.3922456141401,26.1185840569084,26.4091487642408
Q9P258,Q9P258,9,9,9,Protein RCC2,RCC2,sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,9,9,16.1,27.4099741833771,28.2690566757736,23.9676322580679,24.1438266135269
P35241;A0A2R8Y5S7;A0A2R8Y7M3;E9PNV3;A0A2R8Y5P0;E9PQ82;A0A2R8Y4H6,P35241;A0A2R8Y5S7;A0A2R8Y7M3,18;18;16;6;4;4;2,9;9;7;4;3;2;2,9;9;7;4;3;2;2,Radixin,RDX,sp|P35241|RADI_HUMAN Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1;tr|A0A2R8Y5S7|A0A2R8Y5S7_HUMAN Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1;tr|A0A2R8Y7M3|A0A2R8Y7M3_HUMAN Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1,18,9,29.8,23.7467340834118,23.6930666138743,27.288856642172,26.6042767649464
P35251;H0Y8U4;H0Y9P8,P35251,9;2;1,9;2;1,9;2;1,Replication factor C subunit 1,RFC1,sp|P35251|RFC1_HUMAN Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,9,9,10.4,27.2994637748662,27.3426557961228,26.8599388923431,26.8633697977434
O43353,O43353,9,9,9,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,sp|O43353|RIPK2_HUMAN Receptor-interacting serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=RIPK2 PE=1 SV=2,9,9,27.8,26.5643457104362,27.058685919051,27.2330647643067,26.7953831566838
Q13464;A0A0U1RQV4,Q13464;A0A0U1RQV4,12;11,12;11,9;8,Rho-associated protein kinase 1,ROCK1,sp|Q13464|ROCK1_HUMAN Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1;tr|A0A0U1RQV4|A0A0U1RQV4_HUMAN Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1,12,9,10.4,24.9354406115173,26.3244869898375,26.8454153935872,26.8588724674769
O75116;E9PF63;Q14DU5;D6REE7;C9JFJ0,O75116;E9PF63;Q14DU5,12;9;7;4;3,9;8;7;1;0,9;8;7;1;0,Rho-associated protein kinase 2,ROCK2,sp|O75116|ROCK2_HUMAN Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4;tr|E9PF63|E9PF63_HUMAN Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=1;tr|Q14DU5|Q14DU5_HUMAN ROCK2 protein OS=Homo sapiens OX=9606,12,9,11.2,25.3408128127455,25.3239546902311,26.652941228801,26.2826668141428
Q02543;M0R3D6;M0R1A7;M0R117;M0R0P7,Q02543;M0R3D6;M0R1A7;M0R117;M0R0P7,9;9;9;9;6,9;9;9;9;6,9;9;9;9;6,60S ribosomal protein L18a,RPL18A,sp|Q02543|RL18A_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2;tr|M0R3D6|M0R3D6_HUMAN 60S ribosomal protein L18a (Fragment) OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=1;tr|M0R1A7|M0R1A7_HUMAN 60S ribosomal protein L18a OS=Homo,9,9,43.2,27.6547175263718,28.3513181193827,24.6520659398065,24.1108407430257
P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0;H0Y9V9;H0Y9R4,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0,9;9;8;7;4;3,9;9;8;7;4;3,9;9;8;7;4;3,60S ribosomal protein L9,RPL9,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|D6RAN4|D6RAN4_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=8;tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN 60S ribosomal protein L9 OS=Homo sapi,9,9,44.8,26.4905402333089,28.5245861304771,4.41334328787,4.32921797042726
P62244;I3L3P7;I3L246;H3BN98;H3BVC7;H3BV27;H3BT37;I3L303,P62244;I3L3P7;I3L246;H3BN98,9;9;5;5;3;2;2;2,9;9;5;5;3;2;2;2,9;9;5;5;3;2;2;2,40S ribosomal protein S15a,RPS15A,sp|P62244|RS15A_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2;tr|I3L3P7|I3L3P7_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=1;tr|I3L246|I3L246_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=,9,9,53.8,27.6116819081467,28.6616650349196,23.5056700774136,23.4338991710402
O15027;A0A3F2YNX0;A0A3F2YNZ0;F1T0I1;X6RGP5;A0A0C4DH09;Q8N9G1,O15027;A0A3F2YNX0;A0A3F2YNZ0;F1T0I1;X6RGP5;A0A0C4DH09,9;9;9;9;6;5;2,9;9;9;9;6;5;2,9;9;9;9;6;5;2,Protein transport protein Sec16A,SEC16A,sp|O15027|SC16A_HUMAN Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4;tr|A0A3F2YNX0|A0A3F2YNX0_HUMAN Protein transport protein sec16 OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=1;tr|A0A3F2YNZ0|A0A3F2YNZ0_HUMAN Protein transport p,9,9,5.3,26.5002087647434,26.4801747315524,25.1198112255886,23.7377894997231
P29353;X6R6D0;Q5T181;Q5T182;H0Y539;P98077;Q5T188,P29353;X6R6D0,9;5;4;4;4;1;1,9;5;4;4;4;1;1,9;5;4;4;4;1;1,SHC-transforming protein 1,SHC1,sp|P29353|SHC1_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4;tr|X6R6D0|X6R6D0_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=1,9,9,22.0,26.0968775849213,27.0054958870502,27.5397864223456,27.1074923113879
Q96FS4;F6RY50;E9PIB3,Q96FS4;F6RY50,9;7;2,9;7;2,9;7;2,Signal-induced proliferation-associated protein 1,SIPA1,sp|Q96FS4|SIPA1_HUMAN Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1;tr|F6RY50|F6RY50_HUMAN Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1,9,9,12.6,23.4171242028014,24.9282482309105,27.1334964280578,26.9881520976905
O43166;H0YJY2;Q9P2F8,O43166,38;7;1,38;7;1,9;2;0,Signal-induced proliferation-associated 1-like protein 1,SIPA1L1,sp|O43166|SI1L1_HUMAN Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens OX=9606 GN=SIPA1L1 PE=1 SV=4,38,9,31.8,24.6883250206314,24.6709306524659,29.8665125557652,29.6527019447126
O95721;C9JAF7,O95721,9;4,9;4,9;4,Synaptosomal-associated protein 29,SNAP29,sp|O95721|SNP29_HUMAN Synaptosomal-associated protein 29 OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1,9,9,45.3,27.7338264216927,28.2243043135124,28.7821617427115,28.5138987572373
Q92783;A6NMU3;C9J1E5,Q92783,11;4;1,11;4;1,9;4;1,Signal transducing adapter molecule 1,STAM,sp|Q92783|STAM1_HUMAN Signal transducing adapter molecule 1 OS=Homo sapiens OX=9606 GN=STAM PE=1 SV=3,11,9,26.7,27.0952685564084,25.150582161195,27.9816892997096,27.4876913871653
O95630;C9JK83;F5H5B9;C9JEK5;C9JZ93,O95630;C9JK83;F5H5B9,9;8;5;4;3,9;8;5;4;3,9;8;5;4;3,STAM-binding protein,STAMBP,sp|O95630|STABP_HUMAN STAM-binding protein OS=Homo sapiens OX=9606 GN=STAMBP PE=1 SV=1;tr|C9JK83|C9JK83_HUMAN STAM-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=STAMBP PE=1 SV=1;tr|F5H5B9|F5H5B9_HUMAN STAM-binding protein OS=Homo sapiens OX=9606 GN,9,9,28.8,26.5362329844879,24.7737931822014,26.6836481002728,27.0795874840141
O95210,O95210,9,9,9,Starch-binding domain-containing protein 1,STBD1,sp|O95210|STBD1_HUMAN Starch-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=STBD1 PE=1 SV=1,9,9,31.0,4.52842334622658,4.50098623350307,27.6405834342274,27.2889446247938
Q15545;A0A096LPC3,Q15545,9;1,9;1,9;1,Transcription initiation factor TFIID subunit 7,TAF7,sp|Q15545|TAF7_HUMAN Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1,9,9,31.5,28.2736432373233,27.9614631189875,27.4213362663324,27.0849685970592
Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;D6RHW1;Q9HBM6,Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;D6RHW1;Q9HBM6,9;9;8;8;7;6;5,9;9;8;8;7;6;5,9;9;8;8;7;6;5,Transcription initiation factor TFIID subunit 9;Transcription initiation factor TFIID subunit 9B,TAF9;TAF9B,sp|Q16594|TAF9_HUMAN Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1;tr|D6RIE8|D6RIE8_HUMAN Transcription initiation factor TFIID subunit 9 (Fragment) OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=9;tr|D6RGK3|D6RGK3_HUMA,9,9,33.3,24.2822072501657,24.4216893920326,27.4840839760914,27.5212571636343
P04183;K7ERV3;K7ES52;K7ERJ1;K7ENW5,P04183;K7ERV3;K7ES52;K7ERJ1,9;8;6;6;3,9;8;6;6;3,9;8;6;6;3,"Thymidine kinase, cytosolic;Thymidine kinase",TK1,"sp|P04183|KITH_HUMAN Thymidine kinase, cytosolic OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=2;tr|K7ERV3|K7ERV3_HUMAN Thymidine kinase OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=1;tr|K7ES52|K7ES52_HUMAN Thymidine kinase OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=1;tr|K",9,9,59.8,28.0803501825222,28.4542677867407,24.2358605618576,24.8038556010386
P55327;H0YC42;E5RFR7;H0YC44;E5RK35,P55327;H0YC42;E5RFR7;H0YC44,9;8;5;5;1,9;8;5;5;1,9;8;5;5;1,Tumor protein D52,TPD52,sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2;tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;tr|E5RFR7|E5RFR7_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=1;tr|H0YC4,9,9,53.6,26.8128661062353,25.9713430479883,28.7629074855566,28.5239134756772
Q15654;H7BZE2,Q15654;H7BZE2,9;5,9;5,9;5,Thyroid receptor-interacting protein 6,TRIP6,sp|Q15654|TRIP6_HUMAN Thyroid receptor-interacting protein 6 OS=Homo sapiens OX=9606 GN=TRIP6 PE=1 SV=3;tr|H7BZE2|H7BZE2_HUMAN Thyroid receptor-interacting protein 6 (Fragment) OS=Homo sapiens OX=9606 GN=TRIP6 PE=1 SV=8,9,9,30.0,27.0254878534323,26.519773487534,27.9721322804829,25.1861248212337
Q9Y2W2;F5GXS9,Q9Y2W2,17;1,17;1,9;0,WW domain-binding protein 11,WBP11,sp|Q9Y2W2|WBP11_HUMAN WW domain-binding protein 11 OS=Homo sapiens OX=9606 GN=WBP11 PE=1 SV=1,17,9,25.7,27.4314941611139,27.7619253167434,29.0179436753162,28.738537003446
Q8NI36;A0A0A0MTB8,Q8NI36;A0A0A0MTB8,9;8,9;8,9;8,WD repeat-containing protein 36,WDR36,sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1;tr|A0A0A0MTB8|A0A0A0MTB8_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,9,9,13.2,25.2859078404367,25.2924595370962,26.2887686541842,26.3442823609111
P98170;B1AKU2,P98170,9;4,9;4,9;4,E3 ubiquitin-protein ligase XIAP,XIAP,sp|P98170|XIAP_HUMAN E3 ubiquitin-protein ligase XIAP OS=Homo sapiens OX=9606 GN=XIAP PE=1 SV=2,9,9,24.5,24.4367608419954,25.1151741786235,27.1379969045055,26.8549554848289
Q9BYJ9,Q9BYJ9,11,11,9,YTH domain-containing family protein 1,YTHDF1,sp|Q9BYJ9|YTHD1_HUMAN YTH domain-containing family protein 1 OS=Homo sapiens OX=9606 GN=YTHDF1 PE=1 SV=1,11,9,24.2,25.568628107735,25.7076462306053,27.0632197833495,27.1734087528888
Q9ULJ3;Q5KS07;E7EVF9,Q9ULJ3,9;1;1,9;1;1,9;1;1,Zinc finger and BTB domain-containing protein 21,ZBTB21,sp|Q9ULJ3|ZBT21_HUMAN Zinc finger and BTB domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ZBTB21 PE=1 SV=2,9,9,13.2,23.0316211159972,24.4241908978986,25.8722286653449,25.6776663130142
Q9UBW7;A0A087X151,Q9UBW7,9;2,9;2,9;2,Zinc finger MYM-type protein 2,ZMYM2,sp|Q9UBW7|ZMYM2_HUMAN Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1,9,9,9.2,24.3278650859931,26.2962460484053,26.2257114037662,25.0635695350849
O43707;H7C144;F5GXS2;K7EJH8;Q08043;A0A087WSZ2;G3V2E8;Q9H254;M0QZQ3;C9JY79,O43707,21;8;8;4;3;3;2;1;1;1,10;5;5;3;0;0;0;1;1;1,10;5;5;3;0;0;0;1;1;1,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,21,10,28.2,23.6835677921628,23.3663969257441,26.5441274896391,27.0229510602678
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,10;10;10;7;6;2;2;1;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,10,19.7,4.52842334622658,4.50098623350307,28.269458025184,27.2819774132684
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,4.52842334622658,4.50098623350307,27.355146740306,27.163653668047
