AMBRA1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
VARS,1.1294529451,0.00531671656628565,1,P26640;A0A140T936;A0A140T954;A2ABF4;A0A0G2JJT9;A0A140T904;H0Y426,P26640;A0A140T936,27;24;7;5;5;2;2,27;24;7;5;5;2;2,27;24;7;5;5;2;2,Valine--tRNA ligase,VARS,sp|P26640|SYVC_HUMAN Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4;tr|A0A140T936|A0A140T936_HUMAN Valine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=1,27,27,30.7,1264
EEF1G,0.8254809457,0.0158336916093825,0,P26641,P26641,27,27,27,Elongation factor 1-gamma,EEF1G,sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,27,27,49.4,437
YWHAQ,0.2389217239,0.322645361840038,0,P27348;E9PG15,P27348;E9PG15,25;19,18;15,18;15,14-3-3 protein theta,YWHAQ,sp|P27348|1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1;tr|E9PG15|E9PG15_HUMAN 14-3-3 protein theta (Fragment) OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,25,18,69.4,245
MAPK3,3.2714440699,0.00673435503406746,1,P27361;B3KR49;E9PJF0;E9PQW4;E9PBK7;H0YEX6;E9PRH7,P27361;B3KR49;E9PJF0;E9PQW4;E9PBK7,7;5;5;5;4;3;3,5;4;3;3;3;3;3,5;4;3;3;3;3;3,Mitogen-activated protein kinase 3;Mitogen-activated protein kinase,MAPK3,sp|P27361|MK03_HUMAN Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4;tr|B3KR49|B3KR49_HUMAN Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=1;tr|E9PJF0|E9PJF0_HUMAN Mitogen-activated protein kinase ,7,5,33.8,379
RPL10,-0.028541404,0.914020936773404,0,P27635;X1WI28;F8W7C6;A0A087WV22;Q96L21;H7C123;B8A6G2;H7C2C5;A6QRI9;H7C2U2,P27635;X1WI28;F8W7C6;A0A087WV22,18;17;15;15;8;7;7;7;7;1,18;17;15;15;8;7;7;7;7;1,18;17;15;15;8;7;7;7;7;1,60S ribosomal protein L10,RPL10,sp|P27635|RL10_HUMAN 60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4;tr|X1WI28|X1WI28_HUMAN 60S ribosomal protein L10 (Fragment) OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=7;tr|F8W7C6|F8W7C6_HUMAN 60S ribosomal protein L10 OS=Homo sapien,18,18,71,214
CALR,0.4313195817,0.130541976237037,0,P27797;K7EJB9;K7EL50,P27797;K7EJB9,16;12;1,16;12;1,16;12;1,Calreticulin,CALR,sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1;tr|K7EJB9|K7EJB9_HUMAN Calreticulin (Fragment) OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,16,16,37.6,417
CANX,0.7810520585,0.0231117793198731,0,P27824;D6RDP7;D6RAU8;D6RB85;D6RAQ8;H0Y9Q7;D6RHJ3;D6RD16;D6RFL1;D6RGY2;H0Y9H1,P27824;D6RDP7,13;7;6;6;5;5;2;2;2;2;1,13;7;6;6;5;5;2;2;2;2;1,13;7;6;6;5;5;2;2;2;2;1,Calnexin,CANX,sp|P27824|CALX_HUMAN Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2;tr|D6RDP7|D6RDP7_HUMAN Calnexin (Fragment) OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=1,13,13,24.3,592
PSMA5,-0.0114754045,0.968793593495499,0,P28066,P28066,8,8,8,Proteasome subunit alpha type-5,PSMA5,sp|P28066|PSA5_HUMAN Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,8,8,31.1,241
PSMB4,1.4121221706,0.0178386830789398,1,P28070,P28070,6,6,6,Proteasome subunit beta type-4,PSMB4,sp|P28070|PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,6,6,27.3,264
PSMB6,0.9224713697,0.011626079591733,0,P28072;I3L3X7;A0A087X2I4,P28072,7;2;2,7;2;2,7;2;2,Proteasome subunit beta type-6,PSMB6,sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,7,7,30.5,239
PSMB5,2.088930044,0.00859311739834715,1,P28074;H0YJM8,P28074;H0YJM8,10;5,10;5,10;5,Proteasome subunit beta type-5,PSMB5,sp|P28074|PSB5_HUMAN Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3;tr|H0YJM8|H0YJM8_HUMAN Proteasome subunit beta type-5 (Fragment) OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=1,10,10,48.7,263
MAPK1,-0.5305115103,0.071372201303324,0,P28482,P28482,11,11,9,Mitogen-activated protein kinase 1,MAPK1,sp|P28482|MK01_HUMAN Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,11,9,42.8,360
LAP3,0.1904904706,0.576816913887932,0,P28838;H0Y9Q1,P28838;H0Y9Q1,19;10,19;10,19;10,Cytosol aminopeptidase,LAP3,sp|P28838|AMPL_HUMAN Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3;tr|H0Y9Q1|H0Y9Q1_HUMAN Cytosol aminopeptidase (Fragment) OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=8,19,19,51.8,519
IMPA1,0.5812744213,0.0832410761382018,0,P29218;E5RG13;H0YBL1;E5RIP7;E5RG94;E5RIF4;E5RHE9;E5RI82,P29218;E5RG13;H0YBL1;E5RIP7,4;3;3;2;1;1;1;1,4;3;3;2;1;1;1;1,4;3;3;2;1;1;1;1,Inositol monophosphatase 1,IMPA1,sp|P29218|IMPA1_HUMAN Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1;tr|E5RG13|E5RG13_HUMAN Inositol monophosphatase 1 (Fragment) OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1;tr|H0YBL1|H0YBL1_HUMAN Inositol-1-monophosphatase (Fragment),4,4,15.5,277
TKT,1.2975829386,0.00462040977459852,1,P29401;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4,P29401;A0A0B4J1R6,34;27;16;7;2,34;27;16;7;2,34;27;16;7;2,Transketolase,TKT,sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3;tr|A0A0B4J1R6|A0A0B4J1R6_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1,34,34,69.5,623
ERP29,0.521815871,0.237952439150254,0,P30040;F8VY02;F8W1G0,P30040;F8VY02,13;9;2,13;9;2,13;9;2,Endoplasmic reticulum resident protein 29,ERP29,sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4;tr|F8VY02|F8VY02_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=1,13,13,51,261
PRDX6,-0.0924227819,0.749596387929905,0,P30041,P30041,20,20,20,Peroxiredoxin-6,PRDX6,sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,20,20,76.3,224
BLVRB,-1.1620267151,0.00767122821026235,1,P30043;A0A2R8YEP4;M0R192;A0A2R8Y7Y9;M0QZL1,P30043;A0A2R8YEP4;M0R192,6;5;4;1;1,6;5;4;1;1,6;5;4;1;1,Flavin reductase (NADPH),BLVRB,sp|P30043|BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3;tr|A0A2R8YEP4|A0A2R8YEP4_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=1;tr|M0R192|M0R192_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=,6,6,39.3,206
PRDX5,-0.0032067341,0.992559588792832,0,P30044,P30044,7,7,7,"Peroxiredoxin-5, mitochondrial",PRDX5,"sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",7,7,34.1,214
PRDX3,-0.3980543092,0.147006252091009,0,P30048,P30048,8,8,8,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,"sp|P30048|PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3",8,8,39.1,256
RPL12,0.5288906337,0.201704731732848,0,P30050,P30050,11,11,11,60S ribosomal protein L12,RPL12,sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,11,11,67.3,165
ECHS1,0.7918317083,0.14938174329225,0,P30084,P30084,7,7,7,"Enoyl-CoA hydratase, mitochondrial",ECHS1,"sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4",7,7,28.6,290
CMPK1,1.7215282596,0.00650105519053324,1,P30085;Q5T0D2;A0A494BXC7,P30085;Q5T0D2,5;4;1,5;4;1,5;4;1,UMP-CMP kinase,CMPK1,sp|P30085|KCY_HUMAN UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3;tr|Q5T0D2|Q5T0D2_HUMAN UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=1,5,5,36.7,196
PEBP1,0.3190732145,0.223585500534115,0,P30086,P30086,13,13,13,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,13,13,73.3,187
PDIA3,0.2657385857,0.262436658559337,0,P30101,P30101,30,30,24,Protein disulfide-isomerase A3,PDIA3,sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,30,24,57,505
PPP2R1A,0.7453979298,0.0225871067225492,0,P30153;C9J9C1;B3KQV6;E9PH38;E9PPI5;E9PNM7;E9PHZ6,P30153;C9J9C1;B3KQV6,19;12;10;4;2;2;2,19;12;10;4;2;2;2,15;9;9;4;0;0;0,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,sp|P30153|2AAA_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4;tr|C9J9C1|C9J9C1_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fr,19,15,37.9,589
PPIF,1.0364329342,0.0168061528457034,1,P30405;R4GN99;H0Y548,P30405;R4GN99;H0Y548,12;8;8,12;8;8,12;8;8,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial;Peptidyl-prolyl cis-trans isomerase",PPIF,"sp|P30405|PPIF_HUMAN Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1;tr|R4GN99|R4GN99_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1;tr|H0Y548|H0Y548_HUMAN Peptidyl-prolyl ",12,12,79.2,207
NMT1,0.8558489671,0.0343189510005994,0,P30419;K7EN82;B7Z8J4;O60551;Q5VUC6,P30419;K7EN82;B7Z8J4,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2;tr|K7EN82|K7EN82_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=1;tr|B7Z8J4|B7Z8J4_HUMAN Glycylpe,3,3,7.9,496
ALDH1B1,1.1120745779,0.0118684304928985,1,P30837;P00352;P47895;O94788;H0Y2X5;H0YMG7,P30837,11;1;1;1;1;1,11;1;1;1;1;1,10;0;0;0;0;0,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,"sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",11,10,27.9,517
SDHA,0.6605833768,0.314889327137552,0,P31040;D6RFM5;A0A494C1T6;A0A087X1I3;H0Y8X1,P31040;D6RFM5;A0A494C1T6;A0A087X1I3,13;11;9;7;1,13;11;9;7;1,13;11;9;7;1,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,"sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2;tr|D6RFM5|D6RFM5_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 ",13,13,26.4,664
MAT2A,1.4494731691,0.00655640297957861,1,P31153;Q00266,P31153,13;1,13;1,13;1,S-adenosylmethionine synthase isoform type-2,MAT2A,sp|P31153|METK2_HUMAN S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A PE=1 SV=1,13,13,31.9,395
DNAJA1,-1.4417407826,0.0760182382179305,0,P31689,P31689,4,4,4,DnaJ homolog subfamily A member 1,DNAJA1,sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,4,4,19.4,397
UQCRC1,1.3368571354,0.0104960182246075,1,P31930,P31930,19,19,19,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,"sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",19,19,46.5,480
ATIC,1.2335941752,0.0137079608331408,1,P31939;C9JLK0;H7C1S2;F8WEF0,P31939,26;8;6;4,26;8;6;4,26;8;6;4,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,26,26,51.5,592
HNRNPH3,0.2559282802,0.585992795926456,0,P31942,P31942,13,12,12,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,13,12,62.1,346
YWHAB,-0.5720705061,0.0532149359607236,0,P31946;Q4VY20;Q4VY19;A0A0J9YWE8;A0A0J9YWZ2,P31946,26;12;12;12;6,19;10;10;10;4,15;8;8;8;4,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3,26,15,85,246
SFN,-0.1896072816,0.501607579689398,0,P31947,P31947,19,15,15,14-3-3 protein sigma,SFN,sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,19,15,73,248
STIP1,0.6228294218,0.0491819111722395,0,P31948;F5H783;F5GXD8;H0YGI8,P31948,33;16;12;7,33;16;12;7,33;16;12;7,Stress-induced-phosphoprotein 1,STIP1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,33,33,56.2,543
S100A11,0.6515281015,0.0380466829058593,0,P31949,P31949,8,8,8,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,8,8,58.1,105
PRDX2,0.0045729795,0.991191195579089,0,P32119;A6NIW5,P32119;A6NIW5,10;5,9;5,9;5,Peroxiredoxin-2,PRDX2,"sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5;tr|A6NIW5|A6NIW5_HUMAN Peroxiredoxin 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=2",10,9,40.9,198
CDA,0.1403232665,0.634413182298118,0,P32320,P32320,3,3,3,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,3,3,34.2,146
PYCR1,-1.1732075488,0.136902188394003,0,P32322;E2QRB3;J3QL24;J3KQ22;J3QLK9;J3QL32;J3QR88;J3QL23;J3KTA8;J3QKT3;J3QRZ0;J3QKT4;J3KSA9,P32322;E2QRB3;J3QL24;J3KQ22;J3QLK9;J3QL32,11;10;7;7;6;6;5;5;4;4;4;4;1,11;10;7;7;6;6;5;5;4;4;4;4;1,10;9;7;7;6;6;5;5;4;4;4;3;1,"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase",PYCR1,"sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|E2QRB3|E2QRB3_HUMAN Pyrroline-5-carboxylate reductase 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|J3QL24|J3QL24_HUMAN ",11,10,44.2,319
RPL9,-0.0515792438,0.8636084892618,0,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0;H0Y9V9;H0Y9R4,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0;H0Y9V9,15;13;13;11;8;5,15;13;13;11;8;5,15;13;13;11;8;5,60S ribosomal protein L9,RPL9,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|D6RAN4|D6RAN4_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=8;tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN 60S ribosomal protein L9 OS=Homo sapi,15,15,59.9,192
KIF5B,1.6041377492,0.00253256909716314,1,P33176,P33176,10,10,7,Kinesin-1 heavy chain,KIF5B,sp|P33176|KINH_HUMAN Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,10,7,12.6,963
MCM5,0.1286576024,0.688461928817658,0,P33992;B1AHB1;B1AHA9;B1AHB2;F8WFD7,P33992;B1AHB1,18;17;5;4;1,18;17;5;4;1,18;17;5;4;1,DNA replication licensing factor MCM5;DNA helicase,MCM5,sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5;tr|B1AHB1|B1AHB1_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=1,18,18,31.1,734
MCM7,-0.3618553921,0.217223187547218,0,P33993;C9J8M6,P33993,24;6,24;6,24;6,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,24,24,45.3,719
SHMT2,0.9883836799,0.0267284936170979,0,P34897;H0YIZ0;G3V2Y4;G3V5L0;G3V4W5;G3V540;G3V241;G3V3Y8;G3V4T0;G3V4X0;G3V2W0;G3V2E4;G3V2D2,P34897;H0YIZ0,29;16;13;11;10;8;6;6;6;6;6;6;1,29;16;13;11;10;8;6;6;6;6;6;6;1,27;16;12;9;8;6;5;5;5;5;5;5;0,"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase",SHMT2,"sp|P34897|GLYM_HUMAN Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3;tr|H0YIZ0|H0YIZ0_HUMAN Serine hydroxymethyltransferase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=1",29,27,58.3,504
HSPA4,0.5953854856,0.0434755029459762,0,P34932;A0A087WYC1;A0A087WTS8,P34932;A0A087WYC1;A0A087WTS8,46;39;32,46;39;32,43;36;30,Heat shock 70 kDa protein 4,HSPA4,sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4;tr|A0A087WYC1|A0A087WYC1_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=1;tr|A0A087WTS8|A0A087WTS8_HUMAN Heat shock 70 kDa protein 4 OS,46,43,54.6,840
PHB,0.287788527,0.435891594354662,0,P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2;D6RBK0,P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2,25;22;19;18;18;12,25;22;19;18;18;12,25;22;19;18;18;12,Prohibitin,PHB,sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|C9JW96|C9JW96_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|E9PCW0|E9PCW0_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|C9JZ20|C9,25,25,83.5,272
RFC2,1.4564002215,0.00223259762409891,1,P35250;A0A087WVY3;H7C5P4,P35250;A0A087WVY3;H7C5P4,6;4;3,6;4;3,6;4;3,Replication factor C subunit 2,RFC2,sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3;tr|A0A087WVY3|A0A087WVY3_HUMAN Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=1;tr|H7C5P4|H7C5P4_HUMAN Replication factor C subunit 2 (Fra,6,6,22,354
RPL22,0.8044111192,0.0672044561627509,0,P35268;K7ERI7;K7EMH1;K7ELC4;K7EP65;K7EKS7;K7EJT5,P35268;K7ERI7;K7EMH1;K7ELC4;K7EP65;K7EKS7,10;9;8;7;5;5;3,10;9;8;7;5;5;3,8;7;6;5;5;5;3,60S ribosomal protein L22,RPL22,sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2;tr|K7ERI7|K7ERI7_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=1;tr|K7EMH1|K7EMH1_HUMAN 60S ribosomal protein L22 (Fragment) OS=Homo sapien,10,8,74.2,128
SPR,0.7492943249,0.372225982688241,0,P35270,P35270,5,5,5,Sepiapterin reductase,SPR,sp|P35270|SPRE_HUMAN Sepiapterin reductase OS=Homo sapiens OX=9606 GN=SPR PE=1 SV=1,5,5,29.5,261
MYH9,0.5493111297,0.108322765260353,0,P35579;Q5BKV1;B1AH99;A0A0C4DFM8;P12883;P12882;Q9Y623;P13535;P11055;A0A2R8Y4C3;A0A494C024;A1L2Z2,P35579,87;6;3;2;1;1;1;1;1;1;1;1,87;6;3;2;1;1;1;1;1;1;1;1,74;6;3;0;0;0;0;0;0;0;0;0,Myosin-9,MYH9,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,87,74,47.4,1960
COPB2,2.3854069078,0.0728302620000387,0,P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;D6R997;H0Y938,P35606,11;4;4;4;4;4;1,11;4;4;4;4;4;1,11;4;4;4;4;4;1,Coatomer subunit beta,COPB2,sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,11,11,16.7,906
PSMC2,0.8009215212,0.0245755581608142,0,P35998;C9JLS9,P35998,12;2,12;2,12;2,26S protease regulatory subunit 7,PSMC2,sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,12,12,35.6,433
ATP5C1,0.9577524078,0.0888773355266015,0,P36542,P36542,6,6,6,"ATP synthase subunit gamma, mitochondrial",ATP5C1,"sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",6,6,23.2,298
CPOX,0.7950766927,0.113177145346146,0,P36551;H0YA22;D6RER6,P36551,12;3;1,12;3;1,12;3;1,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,"sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",12,12,32.8,454
RPL4,-0.4034595793,0.122402528824264,0,P36578;H3BM89;H3BTP7;H3BU31,P36578;H3BM89,40;31;15;15,40;31;15;15,40;31;15;15,60S ribosomal protein L4,RPL4,sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5;tr|H3BM89|H3BM89_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=1,40,40,66.5,427
DLST,0.0669732146,0.889478528305168,0,P36957;Q86SW4;H0YJF9;G3V5M3;G3V3F0,P36957,8;3;2;2;2,8;3;2;2;2,8;3;2;2;2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,"sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",8,8,16.6,453
SRP14,-1.1377379511,0.00638597970342786,1,P37108;H0YLA2,P37108;H0YLA2,7;4,7;4,7;4,Signal recognition particle 14 kDa protein,SRP14,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,7,7,47.1,136
TAGLN2,-0.1141431223,0.636009669562397,0,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,20;18;1;1,20;18;1;1,20;18;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,20,20,78.4,199
