Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q9BZ95;E9PKA2;H0YE68,Q9BZ95,5;2;1,5;2;1,5;2;1,Histone-lysine N-methyltransferase NSD3,WHSC1L1,sp|Q9BZ95|NSD3_HUMAN Histone-lysine N-methyltransferase NSD3 OS=Homo sapiens OX=9606 GN=NSD3 PE=1 SV=1,5,5,4.9,22.4682929127079,24.3632583808269,25.7421076005374,25.0330085452186
Q14191;A0A494C0Y6,Q14191,5;1,5;1,5;1,Werner syndrome ATP-dependent helicase,WRN,sp|Q14191|WRN_HUMAN Werner syndrome ATP-dependent helicase OS=Homo sapiens OX=9606 GN=WRN PE=1 SV=2,5,5,4.3,23.1157857787702,24.5616827696741,21.7273770687847,21.9969519326836
Q96S55,Q96S55,5,5,5,ATPase WRNIP1,WRNIP1,sp|Q96S55|WRIP1_HUMAN ATPase WRNIP1 OS=Homo sapiens OX=9606 GN=WRNIP1 PE=1 SV=2,5,5,8.3,24.5553769170506,24.5407916405634,4.42893354222385,4.39608992622293
Q702N8,Q702N8,5,5,5,Xin actin-binding repeat-containing protein 1,XIRP1,sp|Q702N8|XIRP1_HUMAN Xin actin-binding repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=XIRP1 PE=1 SV=1,5,5,4.5,4.18694249382544,4.30484830045098,25.8365342880082,25.52659475339
Q01831,Q01831,5,5,5,DNA repair protein complementing XP-C cells,XPC,sp|Q01831|XPC_HUMAN DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,5,5,7.0,24.4334535116167,25.5564590444012,25.3966288197673,25.3978041314746
P18887;F5H8D7;M0QZ96;M0R0D2;M0R1U8;M0QYS5,P18887;F5H8D7,5;5;1;1;1;1,5;5;1;1;1;1,5;5;1;1;1;1,DNA repair protein XRCC1,XRCC1,sp|P18887|XRCC1_HUMAN DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=2;tr|F5H8D7|F5H8D7_HUMAN DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=2,5,5,8.8,24.3981304370967,25.0066304936565,23.869289595086,24.3352453154457
Q9NYL2;C9J3F7,Q9NYL2;C9J3F7,5;4,5;4,5;4,Mitogen-activated protein kinase kinase kinase MLT,ZAK,sp|Q9NYL2|M3K20_HUMAN Mitogen-activated protein kinase kinase kinase 20 OS=Homo sapiens OX=9606 GN=MAP3K20 PE=1 SV=3;tr|C9J3F7|C9J3F7_HUMAN Mitogen-activated protein kinase kinase kinase 20 (Fragment) OS=Homo sapiens OX=9606 GN=MAP3K20 PE=1 SV=1,5,5,7.8,22.5249855656987,22.1323553826162,26.1317511650203,25.8334491330428
Q5TAX3;E9PKY2;A0A0C4DFM7;Q5VYS8;H0YDJ1;H0YEE8;A0A0C4DFW3;X6R3Q3;E9PKX1;E9PJN7;E9PQS7;X6R5G7;E9PRG2,Q5TAX3;E9PKY2;A0A0C4DFM7,5;5;5;2;2;2;2;2;2;1;1;1;1,5;5;5;2;2;2;2;2;2;1;1;1;1,5;5;5;2;2;2;2;2;2;1;1;1;1,Terminal uridylyltransferase 4,ZCCHC11,sp|Q5TAX3|TUT4_HUMAN Terminal uridylyltransferase 4 OS=Homo sapiens OX=9606 GN=TUT4 PE=1 SV=3;tr|E9PKY2|E9PKY2_HUMAN Terminal uridylyltransferase 4 (Fragment) OS=Homo sapiens OX=9606 GN=TUT4 PE=1 SV=1;tr|A0A0C4DFM7|A0A0C4DFM7_HUMAN Terminal uridylyltransfe,5,5,3.1,4.18694249382544,4.30484830045098,24.9538475983875,23.4592645043614
Q6NZY4;F5H6J5;F5GX80,Q6NZY4;F5H6J5;F5GX80,5;5;5,5;5;5,5;5;5,Zinc finger CCHC domain-containing protein 8,ZCCHC8,sp|Q6NZY4|ZCHC8_HUMAN Zinc finger CCHC domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ZCCHC8 PE=1 SV=2;tr|F5H6J5|F5H6J5_HUMAN Zinc finger CCHC domain-containing protein 8 (Fragment) OS=Homo sapiens OX=9606 GN=ZCCHC8 PE=1 SV=1;tr|F5GX80|F5GX80_HUMAN,5,5,10.2,23.721624604852,24.4865257216567,26.0600888172837,24.6754066373064
O60293,O60293,5,5,5,Zinc finger C3H1 domain-containing protein,ZFC3H1,sp|O60293|ZC3H1_HUMAN Zinc finger C3H1 domain-containing protein OS=Homo sapiens OX=9606 GN=ZFC3H1 PE=1 SV=3,5,5,2.4,24.0393401192187,22.6235046675793,24.0450190419077,24.1709335798673
Q5SVZ6,Q5SVZ6,5,5,5,Zinc finger MYM-type protein 1,ZMYM1,sp|Q5SVZ6|ZMYM1_HUMAN Zinc finger MYM-type protein 1 OS=Homo sapiens OX=9606 GN=ZMYM1 PE=1 SV=1,5,5,5.0,21.4555319151148,24.1583082817374,23.2353639269973,24.6369816837278
Q15019;B5MCX3;C9J2Q4;H7C2Y0;A0A1B0GXJ2;C9JFT1;F8WB65;B5MD47;C9JZI2;C9IY94;C9IZU3;C9JQJ4;C9J938;H7C310;C9JB25,Q15019;B5MCX3;C9J2Q4;H7C2Y0,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,Septin-2,Septin-2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C2Y0|H7C2Y,6,6,26.0,21.8615488846785,24.0548208999038,26.5007710204899,26.1790024447582
Q9NY61;A0A087WTH8;A0A087WWS8;A0A087WW41,Q9NY61,6;2;2;1,6;2;2;1,6;2;2;1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,6,6,15.7,23.9866774370868,22.7909815989101,24.2427810239592,24.2705633884014
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,4.18694249382544,4.30484830045098,27.4186046493561,27.0851712654646
P23526,P23526,6,6,6,Adenosylhomocysteinase,AHCY,sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,6,6,15.0,22.590351303337,25.6017857475007,4.42893354222385,4.39608992622293
Q9Y2D5,Q9Y2D5,32,32,6,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,32,6,50.1,25.705274849831,27.0367437615897,32.1698538753083,31.9281832841395
Q8NB46,Q8NB46,6,6,6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,sp|Q8NB46|ANR52_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3,6,6,8.7,4.18694249382544,4.30484830045098,25.915724955076,25.0229722186525
P25054;E9PFT7;A0A2Q2SV78;D6RFL6;R4GMU6;E7EMH9,P25054;E9PFT7;A0A2Q2SV78,6;5;4;1;1;1,6;5;4;1;1;1,6;5;4;1;1;1,Adenomatous polyposis coli protein,APC,sp|P25054|APC_HUMAN Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2;tr|E9PFT7|E9PFT7_HUMAN Adenomatous polyposis coli protein (Fragment) OS=Homo sapiens OX=9606 GN=APC PE=1 SV=8;tr|A0A2Q2SV78|A0A2Q2SV78_HUMAN Adenomatous polypos,6,6,3.4,22.1063134530388,23.0270204504098,24.7812176175879,25.8322422001827
Q9NRY4,Q9NRY4,6,6,6,Rho GTPase-activating protein 35,ARHGAP35,sp|Q9NRY4|RHG35_HUMAN Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3,6,6,4.6,4.18694249382544,4.30484830045098,26.7356995905075,26.4073182102561
Q9BZE9;J3KRY8;J3QL04;J3QR12;J3QR50;J3QRW3;C9JAL9;J3KRF7;J3KRG1,Q9BZE9;J3KRY8;J3QL04;J3QR12,6;4;3;3;2;2;1;1;1,6;4;3;3;2;2;1;1;1,6;4;3;3;2;2;1;1;1,Tether containing UBX domain for GLUT4,ASPSCR1,sp|Q9BZE9|ASPC1_HUMAN Tether containing UBX domain for GLUT4 OS=Homo sapiens OX=9606 GN=ASPSCR1 PE=1 SV=1;tr|J3KRY8|J3KRY8_HUMAN Tether-containing UBX domain for GLUT4 (Fragment) OS=Homo sapiens OX=9606 GN=ASPSCR1 PE=1 SV=2;tr|J3QL04|J3QL04_HUMAN Tether-co,6,6,20.4,4.18694249382544,4.30484830045098,25.3767655517059,24.9335058894397
Q9NVM9;H0YH12;H0YIA9;F5H5W1;F5H457,Q9NVM9,6;2;1;1;1,6;2;1;1;1,6;2;1;1;1,Protein asunder homolog,ASUN,sp|Q9NVM9|INT13_HUMAN Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,6,6,9.2,24.0515886649402,25.1387586385983,24.145304665247,23.571379547041
P52907;P47755;C9JUG7;F8W9N7;A0A0D9SET8,P52907,6;1;1;1;1,6;1;1;1;1,6;1;1;1;1,F-actin-capping protein subunit alpha-1,CAPZA1,sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,6,6,33.9,23.3607827991638,25.8331354276192,27.0245370786483,25.4719058755547
Q96MW1;Q86WV7;K7ER24,Q96MW1;Q86WV7,6;6;2,6;6;2,6;6;2,Coiled-coil domain-containing protein 43,CCDC43,sp|Q96MW1|CCD43_HUMAN Coiled-coil domain-containing protein 43 OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=2;tr|Q86WV7|Q86WV7_HUMAN CCDC43 protein OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=1,6,6,32.6,23.2585372809121,24.2322048355935,28.6777133519761,27.4328484678312
Q8IVM0,Q8IVM0,6,6,6,Coiled-coil domain-containing protein 50,CCDC50,sp|Q8IVM0|CCD50_HUMAN Coiled-coil domain-containing protein 50 OS=Homo sapiens OX=9606 GN=CCDC50 PE=1 SV=1,6,6,36.6,4.18694249382544,4.30484830045098,27.3486615711413,27.1158488637436
Q9NYV4;J3QSD7;Q14004;A0A087X209;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A2R8YD28;Q00534;Q00535;Q96Q40;F8VXD2,Q9NYV4;J3QSD7,7;5;3;3;3;3;3;2;2;2;2;1;1;1;1,6;4;2;2;2;2;2;1;1;1;1;0;0;0;0,6;4;2;2;2;2;2;1;1;1;1;0;0;0;0,Cyclin-dependent kinase 12,CDK12,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;tr|J3QSD7|J3QSD7_HUMAN Cyclin-dependent kinase 12 (Fragment) OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=1,7,6,6.2,24.6833000661723,25.4723708061237,24.8146516958088,24.3059125583627
Q92879;G5EA30;E9PQK4;E9PSH0;E9PKU1;E9PKA1;F5H4Y5;F5H0D8,Q92879;G5EA30;E9PQK4;E9PSH0;E9PKU1,6;6;3;3;3;1;1;1,6;6;3;3;3;1;1;1,6;6;3;3;3;1;1;1,CUGBP Elav-like family member 1,CELF1,"sp|Q92879|CELF1_HUMAN CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2;tr|G5EA30|G5EA30_HUMAN CUG triplet repeat, RNA binding protein 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=1;tr|E9PQK4|E9PQK4_HUMAN CUGBP Elav-li",6,6,13.6,23.5311244118705,24.2085862381578,25.4168987842167,25.8164594927268
Q9UEE9,Q9UEE9,6,6,6,Craniofacial development protein 1,CFDP1,sp|Q9UEE9|CFDP1_HUMAN Craniofacial development protein 1 OS=Homo sapiens OX=9606 GN=CFDP1 PE=1 SV=1,6,6,26.4,24.299009531295,25.886672096126,27.4854666037521,27.5704388555703
P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23,P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23,8;7;7;7;5;4;4,8;7;7;7;5;4;4,6;5;5;5;3;3;4,Cofilin-1,CFL1,"sp|P23528|COF1_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3;tr|G3V1A4|G3V1A4_HUMAN Cofilin 1 (Non-muscle), isoform CRA_a OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=1;tr|E9PP50|E9PP50_HUMAN Cofilin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CFL1 PE=1",8,6,64.5,26.1503884770564,27.1283919699787,28.5102054317959,28.2470351725752
A5YKK6;H3BNB1,A5YKK6,6;1,6;1,6;1,CCR4-NOT transcription complex subunit 1,CNOT1,sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,6,6,2.9,4.18694249382544,4.30484830045098,25.7416517257298,24.5543818136214
A0A0A6YYL4;P57737;Q9Y3D7;I3L1U7;I3L0X9;I3L3T0;E7EP81;I3L167,A0A0A6YYL4;P57737,6;5;1;1;1;1;1;1,6;5;1;1;1;1;1;1,6;5;1;1;1;1;1;1,Coronin;Coronin-7,CORO7-PAM16;CORO7,tr|A0A0A6YYL4|A0A0A6YYL4_HUMAN Coronin OS=Homo sapiens OX=9606 GN=CORO7-PAM16 PE=1 SV=1;sp|P57737|CORO7_HUMAN Coronin-7 OS=Homo sapiens OX=9606 GN=CORO7 PE=1 SV=2,6,6,7.9,4.18694249382544,4.30484830045098,26.2582317451268,25.8321214513447
Q8N684;J3QT54;F5H6M0;F5H047;F5H669;C9J286;C9J323;C9JM38;F5H5B7;F5H1W4;F5H2K8;F5H6P5;F5H6A8;F5GXA3,Q8N684;J3QT54;F5H6M0;F5H047;F5H669;C9J286;C9J323,6;5;5;5;5;3;3;2;1;1;1;1;1;1,6;5;5;5;5;3;3;2;1;1;1;1;1;1,6;5;5;5;5;3;3;2;1;1;1;1;1;1,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,sp|Q8N684|CPSF7_HUMAN Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1;tr|J3QT54|J3QT54_HUMAN Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=,6,6,15.5,22.6186964623895,25.8639841328286,26.1875224339345,24.0420988589467
P21291;E9PS42;E9PND2;E9PP21,P21291;E9PS42;E9PND2;E9PP21,6;4;3;3,6;4;3;3,6;4;3;3,Cysteine and glycine-rich protein 1,CSRP1,sp|P21291|CSRP1_HUMAN Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3;tr|E9PS42|E9PS42_HUMAN Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=1;tr|E9PND2|E9PND2_HUMAN Cysteine and glycine-rich prot,6,6,50.3,23.1089283052433,23.8700425674626,27.9916700097991,28.4028779836729
Q9H0L4,Q9H0L4,11,6,6,Cleavage stimulation factor subunit 2 tau variant,CSTF2T,sp|Q9H0L4|CSTFT_HUMAN Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1,11,6,29.9,24.4379039229046,25.3794452662549,25.6526677580314,25.5552306213509
Q9GZR7;G3V529;A0A087WXU8;A0A1W2PRR2;F5GYL3,Q9GZR7;G3V529;A0A087WXU8;A0A1W2PRR2;F5GYL3,6;6;5;5;5,6;6;5;5;5,6;6;5;5;5,ATP-dependent RNA helicase DDX24,DDX24,sp|Q9GZR7|DDX24_HUMAN ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1;tr|G3V529|G3V529_HUMAN ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1;tr|A0A087WXU8|A0A087WXU8_HUMAN ATP-dependent RNA helicase D,6,6,8.0,23.6005953348338,24.9267817093801,4.42893354222385,4.39608992622293
Q9UJV9;A0A499FJW5;H0YA06;H0Y8L8;D6RGI7,Q9UJV9,6;2;1;1;1,6;2;1;1;1,6;2;1;1;1,Probable ATP-dependent RNA helicase DDX41,DDX41,sp|Q9UJV9|DDX41_HUMAN Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2,6,6,11.1,23.0177098544408,24.3060516736456,25.6638649073033,25.0401766581734
O60231;Q5SQH5;A0A140T8Y5;A0A140T947;A0A140T9T4,O60231;Q5SQH5;A0A140T8Y5;A0A140T947,7;4;4;4;1,6;4;4;3;1,6;4;4;3;1,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,DHX16,"sp|O60231|DHX16_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens OX=9606 GN=DHX16 PE=1 SV=2;tr|Q5SQH5|Q5SQH5_HUMAN DEAH (Asp-Glu-Ala-His) box polypeptide 16, isoform CRA_a OS=Homo sapiens OX=9606 GN=DHX16 PE=1 SV=1;tr|A0A140T",7,6,6.8,21.5114245206749,24.5806666346115,23.2300216087958,24.7549612872036
O43237;J3KRI4;B4E2E0;H3BUM4,O43237,6;2;2;1,6;2;2;1,6;2;2;1,Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,sp|O43237|DC1L2_HUMAN Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,6,6,17.7,22.2170291129654,23.1177521556303,26.7927795727813,26.3542557052171
P26641,P26641,6,6,6,Elongation factor 1-gamma,EEF1G,sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,6,6,16.9,22.8863418423426,24.8503841134124,27.3602637266566,27.4349173044917
O00418;H3BRH4,O00418;H3BRH4,6;4,6;4,6;4,Eukaryotic elongation factor 2 kinase,EEF2K,sp|O00418|EF2K_HUMAN Eukaryotic elongation factor 2 kinase OS=Homo sapiens OX=9606 GN=EEF2K PE=1 SV=2;tr|H3BRH4|H3BRH4_HUMAN Eukaryotic elongation factor 2 kinase OS=Homo sapiens OX=9606 GN=EEF2K PE=1 SV=1,6,6,9.0,4.18694249382544,4.30484830045098,26.0504681250463,26.5478086249427
Q9H4M9;A0A024R571;C9J2Z4;C9JC03;Q9NZN3;C9JDQ8;C9JIJ3;C9IZH1,Q9H4M9;A0A024R571;C9J2Z4;C9JC03,7;6;5;4;3;3;1;1,7;6;5;4;3;3;1;1,6;5;4;3;2;2;1;1,EH domain-containing protein 1,EHD1,sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2;tr|A0A024R571|A0A024R571_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=1;tr|C9J2Z4|C9J2Z4_HUMAN EH domain-containing protein 1 (Fra,7,6,18.0,4.18694249382544,4.30484830045098,25.8261438424995,25.6749488910433
O00303;H0YDT6;E9PQV8;A0A1W2PP79,O00303,6;2;1;1,6;2;1;1,6;2;1;1,Eukaryotic translation initiation factor 3 subunit F,EIF3F,sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,6,6,20.7,21.8077416837616,25.0041031690471,25.937103298132,25.1850662676591
Q15056,Q15056,6,6,6,Eukaryotic translation initiation factor 4H,EIF4H,sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,6,6,35.5,24.2531359453596,26.0497206146457,28.2538122192392,28.9092491857973
Q8TB52,Q8TB52,6,6,6,F-box only protein 30,FBXO30,sp|Q8TB52|FBX30_HUMAN F-box only protein 30 OS=Homo sapiens OX=9606 GN=FBXO30 PE=1 SV=3,6,6,11.4,4.18694249382544,4.30484830045098,25.6626431701312,26.3398048875204
Q00688;G3V5F2,Q00688,6;1,6;1,6;1,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,6,6,25.9,23.616275117831,24.4191192313905,26.9601377215209,26.5044885461457
Q49A26;K7EMM8;K7EQB2;K7ELL0;K7EPU6,Q49A26;K7EMM8,6;5;2;1;1,6;5;2;1;1,6;5;2;1;1,Putative oxidoreductase GLYR1,GLYR1,sp|Q49A26|GLYR1_HUMAN Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4;tr|K7EMM8|K7EMM8_HUMAN Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=2,6,6,14.8,23.8779251409578,22.3428863376611,24.5558449636229,24.1608488483829
P63244;J3KPE3;D6RAC2;D6REE5;H0Y8W2;H0YAF8;H0YAM7;D6RHH4;D6RF23;D6RFZ9;D6RBD0;E9PD14;D6RAU2;H0Y8R5;H0Y9P0;D6RGK8;D6R909;D6RHJ5;D6RDI0,P63244;J3KPE3;D6RAC2;D6REE5;H0Y8W2;H0YAF8;H0YAM7;D6RHH4,11;10;9;8;8;8;7;6;5;4;4;4;4;4;4;2;2;2;1,11;10;9;8;8;8;7;6;5;4;4;4;4;4;4;2;2;2;1,6;6;6;5;4;5;4;2;5;1;1;1;1;2;4;1;1;2;1,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,sp|P63244|RACK1_HUMAN Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3;tr|J3KPE3|J3KPE3_HUMAN Receptor of-activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=1;tr|D6RAC2|D6RAC2_HUMAN Receptor of-activate,11,6,32.2,27.7577992473747,27.9464259506406,23.4528706249334,23.7523246294463
Q08379;A0A2Q2TH77;B7ZC06;H0Y7B8;A0A087WYC0;A0A1W2PQY5,Q08379;A0A2Q2TH77;B7ZC06,6;6;4;1;1;1,6;6;4;1;1;1,6;6;4;1;1;1,Golgin subfamily A member 2,GOLGA2,sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3;tr|A0A2Q2TH77|A0A2Q2TH77_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=1;tr|B7ZC06|B7ZC06_HUMAN Golgin subfamily A member 2 (Fragmen,6,6,7.9,4.18694249382544,4.30484830045098,25.3497247775152,24.8413416734658
Q14687;H0Y613;H7C3B5;C9JLW9,Q14687;H0Y613,6;4;2;1,6;4;2;1,6;4;2;1,Genetic suppressor element 1,GSE1,sp|Q14687|GSE1_HUMAN Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3;tr|H0Y613|H0Y613_HUMAN Genetic suppressor element 1 (Fragment) OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=1,6,6,7.4,21.5760709417431,22.51101424933,24.6990644716925,24.6222650133019
Q9BZE4;Q5T3R7,Q9BZE4,6;1,6;1,6;1,Nucleolar GTP-binding protein 1,GTPBP4,sp|Q9BZE4|NOG1_HUMAN Nucleolar GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3,6,6,10.1,24.2278791300323,25.6225443076675,4.42893354222385,4.39608992622293
O14929;F8W9G7,O14929,6;1,6;1,6;1,Histone acetyltransferase type B catalytic subunit,HAT1,sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1,6,6,24.6,23.6557044614392,25.209218632049,28.4521479656141,27.8451162468341
O94992,O94992,6,6,6,Protein HEXIM1,HEXIM1,sp|O94992|HEXI1_HUMAN Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1,6,6,24.8,25.5199833929683,26.9062125953644,23.9575718285882,23.8949502098835
P62805,P62805,6,6,6,Histone H4,HIST1H4A,sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,6,6,48.5,27.6022956238236,29.5919567358713,26.3416043308829,26.4711926908832
P50747,P50747,6,6,6,Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase,HLCS,sp|P50747|BPL1_HUMAN Biotin--protein ligase OS=Homo sapiens OX=9606 GN=HLCS PE=1 SV=1,6,6,9.9,21.8079146809554,22.9189076280144,26.4281747210537,25.488457759051
Q14103;H0YA96;D6RAF8;H0Y8G5;D6RF44;D6RBQ9;D6RD83,Q14103;H0YA96;D6RAF8;H0Y8G5;D6RF44;D6RBQ9,7;7;7;7;6;5;3,7;7;7;7;6;5;3,6;6;6;6;5;4;3,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0YA96|H0YA96_HUMAN Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|D6RAF8|D6RAF8_HUMAN Het,7,6,21.4,26.1049558884246,27.3765006182664,28.3300985128301,27.7911033557068
