WSB1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SFPQ,0.3795360581,0.0153342317201055,0,P23246;H0Y9K7;H0Y9U2,P23246,25;4;2,25;4;2,23;4;2,"Splicing factor, proline- and glutamine-rich",SFPQ,"sp|P23246|SFPQ_HUMAN Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",25,23,33.5,707
TUBG1;TUBG2,-0.1921943668,0.546185404085349,0,P23258;Q9NRH3;K7EKE5;K7EIS0,P23258;Q9NRH3;K7EKE5;K7EIS0,3;3;2;2,3;3;2;2,3;3;2;2,Tubulin gamma-1 chain;Tubulin gamma-2 chain;Tubulin gamma chain,TUBG1;TUBG2,sp|P23258|TBG1_HUMAN Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2;sp|Q9NRH3|TBG2_HUMAN Tubulin gamma-2 chain OS=Homo sapiens OX=9606 GN=TUBG2 PE=2 SV=1;tr|K7EKE5|K7EKE5_HUMAN Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=4 S,3,3,9.3,451
PPIB,-0.1828314804,0.113762123086366,0,P23284,P23284,18,18,18,Peptidyl-prolyl cis-trans isomerase B,PPIB,sp|P23284|PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,18,18,68.5,216
WARS,-0.2555890718,0.0602645949335435,0,P23381;H0YJP3;G3V3X0;G3V423;G3V3P2;G3V227;G3V5U1;G3V456;G3V2Y7;G3V277;G3V3H8;G3V3Y5;G3V5W1;G3V3S7,P23381,9;4;2;2;2;2;2;2;2;2;2;2;1;1,9;4;2;2;2;2;2;2;2;2;2;2;1;1,9;4;2;2;2;2;2;2;2;2;2;2;1;1,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",WARS,"sp|P23381|SYWC_HUMAN Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",9,9,28,471
RPS3,0.4936084079,0.0097755458412727,0,P23396;E9PL09;E9PPU1;H0YEU2;F2Z2S8;H0YCJ7;H0YF32;E9PQ96;E9PSF4;E9PJH4;E9PK82;E9PQX2;H0YES8,P23396;E9PL09;E9PPU1;H0YEU2;F2Z2S8;H0YCJ7,31;27;20;18;17;17;13;10;10;10;10;4;1,31;27;20;18;17;17;13;10;10;10;10;4;1,31;27;20;18;17;17;13;10;10;10;10;4;1,40S ribosomal protein S3,RPS3,sp|P23396|RS3_HUMAN 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2;tr|E9PL09|E9PL09_HUMAN 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=1;tr|E9PPU1|E9PPU1_HUMAN 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3,31,31,88.9,243
AHCY,0.1363939156,0.255573435464174,0,P23526,P23526,25,25,25,Adenosylhomocysteinase,AHCY,sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,25,25,50.2,432
CFL1,-0.1619075613,0.193639849647344,0,P23528;E9PP50;E9PK25;G3V1A4;E9PQB7;E9PS23;E9PLJ3,P23528;E9PP50;E9PK25;G3V1A4;E9PQB7,21;19;18;17;13;9;7,21;19;18;17;13;9;7,12;10;9;9;5;8;5,Cofilin-1,CFL1,sp|P23528|COF1_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3;tr|E9PP50|E9PP50_HUMAN Cofilin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=8;tr|E9PK25|E9PK25_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=1;tr|G3V1A4|G3V1A4_HUMAN,21,12,91.6,166
DTYMK,-0.1931041714,0.100507536878955,0,P23919;G5E9E9;H7BZ20;H7C312;H7C3A4,P23919;G5E9E9;H7BZ20,8;4;4;3;2,8;4;4;3;2,8;4;4;3;2,Thymidylate kinase,DTYMK,"sp|P23919|KTHY_HUMAN Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4;tr|G5E9E9|G5E9E9_HUMAN Deoxythymidylate kinase (Thymidylate kinase), isoform CRA_d OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=1;tr|H7BZ20|H7BZ20_HUMAN Thymidylate kinase (Frag",8,8,34.4,212
RRM1,0.2370672899,0.188579390765166,0,P23921;E9PL69;E9PP77;H0YCY7,P23921;E9PL69,9;7;1;1,9;7;1;1,9;7;1;1,Ribonucleoside-diphosphate reductase large subunit,RRM1,sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1;tr|E9PL69|E9PL69_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1,9,9,19.8,792
EEF1B2,0.2534536574,0.223804254008308,0,P24534;F2Z2G2;C9JZW3;F8WF65,P24534,8;3;3;2,8;3;3;2,8;3;3;2,Elongation factor 1-beta,EEF1B2,sp|P24534|EF1B_HUMAN Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,8,8,44.4,225
ATP5F1,0.0194698725,0.875567004161384,0,P24539;Q5QNZ2,P24539;Q5QNZ2,7;5,7;5,7;5,"ATP synthase F(0) complex subunit B1, mitochondrial",ATP5F1,"sp|P24539|AT5F1_HUMAN ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2;tr|Q5QNZ2|Q5QNZ2_HUMAN ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=1",7,7,32.8,256
MCM3,-0.1964956147,0.184350667105053,0,P25205;J3KQ69;A0A499FHX9;Q7Z6P5,P25205;J3KQ69;A0A499FHX9,26;19;19;4,26;19;19;4,26;19;19;4,DNA replication licensing factor MCM3,MCM3,sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|J3KQ69|J3KQ69_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|A0A499FHX9|A0A499FHX9_HUMAN DNA replication licen,26,26,34.9,808
RPS12,0.4146232159,0.0287376176480687,0,P25398,P25398,13,13,13,40S ribosomal protein S12,RPS12,sp|P25398|RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,13,13,84.1,132
DNAJB1,0.173219367,0.71604465483926,0,P25685;M0R080;M0QYT3;M0QXK0,P25685;M0R080,6;3;1;1,6;3;1;1,6;3;1;1,DnaJ homolog subfamily B member 1,DNAJB1,sp|P25685|DNJB1_HUMAN DnaJ homolog subfamily B member 1 OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=4;tr|M0R080|M0R080_HUMAN DnaJ homolog subfamily B member 1 (Fragment) OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=1,6,6,22.4,340
ATP5A1,0.0424043172,0.688413059199038,0,P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4;K7ESA0,P25705;K7EK77,46;26;19;19;16;10;2,46;26;19;19;16;10;2,46;26;19;19;16;10;2,"ATP synthase subunit alpha, mitochondrial",ATP5A1,"sp|P25705|ATPA_HUMAN ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1;tr|K7EK77|K7EK77_HUMAN ATP synthase subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",46,46,66.7,553
PSMA1,0.2031425214,0.0861932575484593,0,P25786;F5GX11;B4DEV8,P25786;F5GX11;B4DEV8,16;12;8,16;12;8,16;12;8,Proteasome subunit alpha type-1;Proteasome subunit alpha type,PSMA1,sp|P25786|PSA1_HUMAN Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;tr|F5GX11|F5GX11_HUMAN Proteasome endopeptidase complex OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;tr|B4DEV8|B4DEV8_HUMAN Proteasome subunit alpha type OS=Homo ,16,16,69.6,263
PSMA3,0.1256680106,0.236637017346539,0,P25788;G3V4X5;G3V3W4;G3V5N4;H0YJ03,P25788,11;5;2;2;1,11;5;2;2;1,11;5;2;2;1,Proteasome subunit alpha type-3,PSMA3,sp|P25788|PSA3_HUMAN Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,11,11,51.4,255
ITGA3,-0.1086890271,0.429852326350456,0,P26006;D6R9X8;K7EMU3;H0YA32;H0YA49,P26006,11;3;2;1;1,11;3;2;1;1,11;3;2;1;1,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,ITGA3,sp|P26006|ITA3_HUMAN Integrin alpha-3 OS=Homo sapiens OX=9606 GN=ITGA3 PE=1 SV=5,11,11,12.1,1051
MSN,-0.0374673924,0.734122884703498,0,P26038;V9GZ54,P26038,41;8,41;8,33;6,Moesin,MSN,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,41,33,65.3,577
DDX6,-0.2927800707,0.0541489641008726,0,P26196;Q8IV96,P26196,6;1,6;1,6;1,Probable ATP-dependent RNA helicase DDX6,DDX6,sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,6,6,17.4,483
RPL13,0.2246099524,0.0755347481645801,0,P26373;J3QSB4;H3BTH3;H3BUK8;J3KS98,P26373;J3QSB4,16;11;5;2;2,16;11;5;2;2,16;11;5;2;2,60S ribosomal protein L13,RPL13,sp|P26373|RL13_HUMAN 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4;tr|J3QSB4|J3QSB4_HUMAN 60S ribosomal protein L13 (Fragment) OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=1,16,16,58.8,211
HMGB2,-0.0176179927,0.920008989430275,0,P26583;D6R9A6,P26583;D6R9A6,13;8,8;5,8;5,High mobility group protein B2,HMGB2,sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2;tr|D6R9A6|D6R9A6_HUMAN High mobility group protein B2 (Fragment) OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=1,13,8,45.9,209
PTBP1,-0.0187879547,0.863498079157205,0,P26599;A0A0U1RRM4;A6NLN1;A0A0D9SF20;K7EKJ7;K7ES59;K7EK45;A0A087WUW5;A0A087WU68;K7ELW5;O95758;K7EKX4;X6R242,P26599;A0A0U1RRM4;A6NLN1,25;24;22;12;11;7;5;4;4;3;1;1;1,25;24;22;12;11;7;5;4;4;3;1;1;1,25;24;22;12;11;7;5;4;4;3;1;1;1,Polypyrimidine tract-binding protein 1,PTBP1,sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;tr|A0A0U1RRM4|A0A0U1RRM4_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;tr|A6NLN1|A6NLN1_HUMAN Polypyrimidine t,25,25,69.7,531
TARS,-0.0434019407,0.747049641165988,0,P26639;D6R9F8;D6RCA5;D6RDJ6;D6RJ97;D6RHV7;D6RCS6;F6S7Q7,P26639,30;3;2;2;1;1;1;1,30;3;2;2;1;1;1;1,26;3;2;2;1;1;1;0,"Threonine--tRNA ligase, cytoplasmic",TARS,"sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",30,26,45.4,723
VARS,-0.1713276043,0.185190806062854,0,P26640;A0A140T936;A0A140T954;A2ABF4;A0A0G2JJT9;A0A140T904;H0Y426,P26640;A0A140T936,28;25;7;5;5;2;2,28;25;7;5;5;2;2,28;25;7;5;5;2;2,Valine--tRNA ligase,VARS,sp|P26640|SYVC_HUMAN Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4;tr|A0A140T936|A0A140T936_HUMAN Valine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=1,28,28,30.9,1264
EEF1G,0.7376109271,0.00116732813578283,0,P26641,P26641,27,27,27,Elongation factor 1-gamma,EEF1G,sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,27,27,54.9,437
AK4,0.0804031796,0.596922508803083,0,P27144;F8VS11,P27144;F8VS11,5;3,5;3,5;3,"Adenylate kinase 4, mitochondrial",AK4,"sp|P27144|KAD4_HUMAN Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1;tr|F8VS11|F8VS11_HUMAN Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1",5,5,29.6,223
YWHAQ,0.028701657,0.767280727643291,0,P27348;E9PG15,P27348;E9PG15,22;18,18;16,18;16,14-3-3 protein theta,YWHAQ,sp|P27348|1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1;tr|E9PG15|E9PG15_HUMAN 14-3-3 protein theta (Fragment) OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,22,18,59.6,245
RPL10,0.3708585504,0.0283602234402507,0,P27635;X1WI28;F8W7C6;A0A087WV22;H7C123;H7C2C5;Q96L21;B8A6G2;A6QRI9;H7C2U2,P27635;X1WI28;F8W7C6;A0A087WV22,18;17;15;15;8;8;7;5;5;1,18;17;15;15;8;8;7;5;5;1,18;17;15;15;8;8;7;5;5;1,60S ribosomal protein L10,RPL10,sp|P27635|RL10_HUMAN 60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4;tr|X1WI28|X1WI28_HUMAN 60S ribosomal protein L10 (Fragment) OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=7;tr|F8W7C6|F8W7C6_HUMAN 60S ribosomal protein L10 OS=Homo sapien,18,18,66.4,214
RPA1,-0.1180817355,0.434524540880929,0,P27694;I3L4R8,P27694;I3L4R8,6;3,6;3,6;3,"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed",RPA1,sp|P27694|RFA1_HUMAN Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2;tr|I3L4R8|I3L4R8_HUMAN Replication protein A 70 kDa DNA-binding subunit (Fragment) OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=1,6,6,14.8,616
APEX1,-0.2884025336,0.0349389214538533,0,P27695;G3V5Q1;G3V3M6;G3V5D9;A0A0C4DGK8;G3V3C7;H7C4A8;G3V5M0;G3V359,P27695;G3V5Q1;G3V3M6;G3V5D9;A0A0C4DGK8;G3V3C7;H7C4A8;G3V5M0;G3V359,6;5;5;4;4;4;3;3;3,6;5;5;4;4;4;3;3;3,6;5;5;4;4;4;3;3;3,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",APEX1,sp|P27695|APEX1_HUMAN DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2;tr|G3V5Q1|G3V5Q1_HUMAN DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=1;tr|G3V3M6|G3V3M6_HUMAN ,6,6,26.7,318
DCK,-0.001345198,0.99392290554708,0,P27707;D6RCP9;D6RFG8,P27707;D6RCP9;D6RFG8,4;3;3,4;3;3,4;3;3,Deoxycytidine kinase,DCK,sp|P27707|DCK_HUMAN Deoxycytidine kinase OS=Homo sapiens OX=9606 GN=DCK PE=1 SV=1;tr|D6RCP9|D6RCP9_HUMAN Deoxycytidine kinase OS=Homo sapiens OX=9606 GN=DCK PE=1 SV=1;tr|D6RFG8|D6RFG8_HUMAN Deoxycytidine kinase OS=Homo sapiens OX=9606 GN=DCK PE=1 SV=1,4,4,18.1,260
CALR,-0.2286233691,0.0751361914304475,0,P27797;K7EJB9;K7EL50,P27797;K7EJB9,15;9;1,15;9;1,15;9;1,Calreticulin,CALR,sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1;tr|K7EJB9|K7EJB9_HUMAN Calreticulin (Fragment) OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,15,15,50.1,417
CANX,-0.4112326285,0.0126705086891212,0,P27824;D6RDP7;D6RAU8;D6RB85;D6RAQ8;H0Y9Q7;D6RHJ3;D6RD16;D6RFL1;D6RGY2;H0Y9H1,P27824;D6RDP7,13;7;6;6;5;5;2;2;2;2;1,13;7;6;6;5;5;2;2;2;2;1,13;7;6;6;5;5;2;2;2;2;1,Calnexin,CANX,sp|P27824|CALX_HUMAN Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2;tr|D6RDP7|D6RDP7_HUMAN Calnexin (Fragment) OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=1,13,13,24.3,592
PSMB8;PSM8,-0.7061971361,0.00988979361723753,0,P28062;X5D2R7;Q5JNW7;A0A140T998,P28062;X5D2R7;Q5JNW7;A0A140T998,4;4;3;3,4;4;3;3,4;4;3;3,Proteasome subunit beta type-8;Proteasome subunit beta type,PSMB8;PSM8,sp|P28062|PSB8_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3;tr|X5D2R7|X5D2R7_HUMAN Proteasome subunit beta OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=1;tr|Q5JNW7|Q5JNW7_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens O,4,4,17,276
PSMA5,-0.0695707274,0.68556018588036,0,P28066,P28066,9,9,9,Proteasome subunit alpha type-5,PSMA5,sp|P28066|PSA5_HUMAN Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,9,9,44.4,241
PSMB4,-0.1545775938,0.163605747932758,0,P28070,P28070,7,7,7,Proteasome subunit beta type-4,PSMB4,sp|P28070|PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,7,7,35.6,264
PSMB6,0.0319244033,0.776276180873181,0,P28072;A0A087X2I4;I3L3X7,P28072,7;3;2,7;3;2,7;3;2,Proteasome subunit beta type-6,PSMB6,sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,7,7,37.7,239
PSMB5,0.2372175551,0.0677356543404206,0,P28074;H0YJM8,P28074,11;4,11;4,11;4,Proteasome subunit beta type-5,PSMB5,sp|P28074|PSB5_HUMAN Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,11,11,45.2,263
NDUFS1,-0.0245501387,0.913138409686119,0,P28331;B4DJ81;C9JPQ5;F8WDL5,P28331;B4DJ81,10;8;2;1,10;8;2;1,10;8;2;1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,"sp|P28331|NDUS1_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3;tr|B4DJ81|B4DJ81_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=1",10,10,17.1,727
MAPK1,-0.4813215774,0.019564929144375,0,P28482,P28482,10,10,7,Mitogen-activated protein kinase 1,MAPK1,sp|P28482|MK01_HUMAN Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,10,7,33.1,360
LAP3,-0.2621423424,0.139932378929822,0,P28838;H0Y9Q1;H0Y983,P28838,20;9;2,20;9;2,20;9;2,Cytosol aminopeptidase,LAP3,sp|P28838|AMPL_HUMAN Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,20,20,51.4,519
IMPA1,-0.2557020297,0.160483731328205,0,P29218;H0YBL1;E5RG13;E5RIP7;E5RG94;E5RHE9;E5RI82;E5RIF4;E5RGY4,P29218;H0YBL1;E5RG13;E5RIP7,8;6;5;5;3;3;3;2;2,8;6;5;5;3;3;3;2;2,8;6;5;5;3;3;3;2;2,Inositol monophosphatase 1,IMPA1,sp|P29218|IMPA1_HUMAN Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1;tr|H0YBL1|H0YBL1_HUMAN Inositol-1-monophosphatase (Fragment) OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1;tr|E5RG13|E5RG13_HUMAN Inositol monophosphatase 1 (Fragment),8,8,38.3,277
TKT,0.1906530901,0.139060672485042,0,P29401;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4,P29401;A0A0B4J1R6;E9PFF2,31;24;16;7;2,31;24;16;7;2,31;24;16;7;2,Transketolase,TKT,sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3;tr|A0A0B4J1R6|A0A0B4J1R6_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1;tr|E9PFF2|E9PFF2_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1,31,31,65,623
ERP29,-0.6232217937,0.00734255213239128,0,P30040;F8VY02;F8W1G0,P30040;F8VY02,14;10;2,14;10;2,14;10;2,Endoplasmic reticulum resident protein 29,ERP29,sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4;tr|F8VY02|F8VY02_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=1,14,14,49.4,261
PRDX6,-0.2578506546,0.0821163493421501,0,P30041,P30041,20,20,20,Peroxiredoxin-6,PRDX6,sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,20,20,81.7,224
BLVRB,-0.5235336459,0.0136405443751651,0,P30043;M0R192;A0A2R8YEP4;A0A2R8Y7Y9;M0QZL1,P30043;M0R192;A0A2R8YEP4,5;4;4;1;1,5;4;4;1;1,5;4;4;1;1,Flavin reductase (NADPH),BLVRB,sp|P30043|BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3;tr|M0R192|M0R192_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=1;tr|A0A2R8YEP4|A0A2R8YEP4_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=,5,5,27.2,206
PRDX5,-0.7231792016,0.0102877454522215,0,P30044,P30044,9,9,9,"Peroxiredoxin-5, mitochondrial",PRDX5,"sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",9,9,46.3,214
PRDX3,-0.0727109506,0.597563910545561,0,P30048,P30048,10,10,10,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,"sp|P30048|PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3",10,10,41.8,256
ATP5D,-0.1093064326,0.576053002272138,0,P30049,P30049,4,4,4,"ATP synthase subunit delta, mitochondrial",ATP5D,"sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2",4,4,39.3,168
RPL12,0.3238221946,0.0294604324129798,0,P30050,P30050,10,10,10,60S ribosomal protein L12,RPL12,sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,10,10,66.7,165
ECHS1,-0.2876053302,0.231446765963594,0,P30084,P30084,8,8,8,"Enoyl-CoA hydratase, mitochondrial",ECHS1,"sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4",8,8,32.8,290
CMPK1,0.1050821374,0.3472531663834,0,P30085;Q5T0D2;A0A494BXC7,P30085;Q5T0D2,7;6;2,7;6;2,7;6;2,UMP-CMP kinase,CMPK1,sp|P30085|KCY_HUMAN UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3;tr|Q5T0D2|Q5T0D2_HUMAN UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=1,7,7,41.8,196
PEBP1,-0.3953749161,0.0125227361477764,0,P30086,P30086,10,10,10,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,10,10,75.9,187
PDIA3,-0.1977120927,0.114381523517082,0,P30101,P30101,30,30,23,Protein disulfide-isomerase A3,PDIA3,sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,30,23,55.2,505
PPP2R1A,-0.3140553296,0.0244088348692438,0,P30153;B3KQV6;C9J9C1;E9PH38;E9PPI5;E9PNM7;E9PHZ6,P30153;B3KQV6;C9J9C1,21;13;12;5;2;2;2,21;13;12;5;2;2;2,16;11;9;5;0;0;0,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,sp|P30153|2AAA_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4;tr|B3KQV6|B3KQV6_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=,21,16,43,589
PPP2R1B,-0.2772442979,0.394962054925228,0,P30154;H0YDG7,P30154,9;4,4;2,4;2,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,PPP2R1B,sp|P30154|2AAB_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens OX=9606 GN=PPP2R1B PE=1 SV=3,9,4,19.3,601
