Gene_names,DCAF17_vs_zBirA_logFC,DCAF17_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF17_N1,Peptides_DCAF17_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF17_N1,Razor___unique_peptides_DCAF17_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF17_N1,Unique_peptides_DCAF17_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF17_N1,Identification_type_DCAF17_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF17_N1,Ratio_H_L_DCAF17_N2,X,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF17_N1,Ratio_H_L_normalized_DCAF17_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF17_N1,Ratio_H_L_variability_____DCAF17_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF17_N1,Ratio_H_L_count_DCAF17_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF17_N1,Ratio_H_L_iso_count_DCAF17_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF17_N1,Ratio_H_L_type_DCAF17_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF17_N1____,Sequence_coverage_DCAF17_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF17_N1,Intensity_L_DCAF17_N1,Intensity_H_DCAF17_N1,Intensity_DCAF17_N2,Intensity_L_DCAF17_N2,Intensity_H_DCAF17_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF17_N1,metacell_Intensity_L_DCAF17_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
LRRC20,-0.679300217101265,0.047765627733624,Q8TCA0;X6RK58;A0A0A0MS58,Q8TCA0;X6RK58;A0A0A0MS58,2;2;1,2;2;1,2;2;1,Leucine-rich repeat-containing protein 20,sp|Q8TCA0|LRC20_HUMAN Leucine-rich repeat-containing protein 20 OS=Homo sapiens OX=9606 GN=LRRC20 PE=1 SV=1;tr|X6RK58|X6RK58_HUMAN Leucine-rich repeat-containing protein 20 (Fragment) OS=Homo sapiens OX=9606 GN=LRRC20 PE=1 SV=7;tr|A0A0A0MS58|A0A0A0MS58_HUM,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10.3,10.3,10.3,20.509,184,184;174;115,0.0,4.1592,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39597,1.0457,17.127,8,1,Leave out requantified,0.29595,0.50341,0.33368,0.58056,,0.85035,1.2548,0.88079,1.4664,20.927,9.8625,41.4,2.4604,2,2,2,2,0,0,0,1,Median,Median,Median,Median,10.3,10.3,10.3,10.3,322490000,215710000,106770000,53439000,38945000,14494000,75598000,47804000,27794000,82203000,59654000,22549000,111250000,69310000,41935000,,,,2422,4822;11891,True;True,5144;12790,13567;13568;13569;13570;34350;34351;34352;34353,25113;25114;25115;25116;25117;25118;25119;25120;63342;63343;63344;63345;63346;63347,25116;63346,,,,,-1;-1;-1,protein_2423,quanti,quanti,quanti,quanti
PNPT1,0.762370778317347,0.0312360861539608,Q8TCS8;H7C3C5;H7BXF6,Q8TCS8,10;2;1,10;2;1,10;2;1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial","sp|Q8TCS8|PNPT1_HUMAN Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PNPT1 PE=1 SV=2",3,10,10,10,5,4,8,8,5,4,8,8,5,4,8,8,14.6,14.6,14.6,85.95,783,783;139;179,0.0,9.9233,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30918,0.85708,21.699,25,9,Leave out requantified,0.22679,0.25434,0.25018,0.39147,,0.7256,0.60992,0.81595,0.9875,10.082,20.49,14.215,15.959,5,4,8,8,2,1,5,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,9.5,7.0,13.4,13.2,1391000000,957190000,433830000,131190000,95293000,35896000,127090000,94197000,32893000,566650000,399740000,166920000,566080000,367970000,198120000,,,,2425,1523;3873;7419;9868;12033;12034;13820;15574;17170;18995,True;True;True;True;True;True;True;True;True;True,1632;4140;8003;10643;12938;12939;14812;16653;18334;20305,4562;4563;4564;4565;11090;11091;11092;11093;21329;21330;21331;21332;28672;28673;34759;34760;34761;39710;44502;49167;49168;49169;49170;54605;54606,8570;8571;8572;8573;8574;20629;20630;20631;20632;39682;39683;39684;39685;39686;39687;39688;39689;53125;53126;53127;64101;64102;64103;73281;81725;90630;90631;90632;90633;90634;90635;101325;101326,8572;20629;39686;53127;64101;64103;73281;81725;90633;101325,,,,,-1;-1;-1,protein_2426,quanti,quanti,quanti,quanti
UTP15,22.1626151442394,5.88425536106516e-08,Q8TED0;H0Y8P4;D6RF65,Q8TED0;H0Y8P4,6;5;1,6;5;1,6;5;1,U3 small nucleolar RNA-associated protein 15 homolog,sp|Q8TED0|UTP15_HUMAN U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3;tr|H0Y8P4|H0Y8P4_HUMAN U3 small nucleolar RNA-associated protein 15 homolog (Fragment) OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=1,3,6,6,6,0,0,3,5,0,0,3,5,0,0,3,5,17.0,17.0,17.0,58.414,518,518;545;65,0.0,2.9002,,,By MS/MS,By MS/MS,0.35816,0.93883,12.074,8,2,Leave out requantified,,,0.26091,0.35886,,,,0.94436,0.93883,,,21.578,15.081,0,0,3,5,0,0,2,0,Median,Median,Plateau,Leave out requantified,0.0,0.0,8.5,14.9,478400000,350960000,127440000,0,0,0,0,0,0,203430000,160220000,43210000,274970000,190730000,84233000,,,,2431,837;2218;6799;10984;17450;20649,True;True;True;True;True;True,882;2382;7326;11832;18635;22052,2381;2382;6693;19527;31923;31924;49944;59291,4337;4338;12641;36256;59043;59044;59045;59046;59047;92164;109938;109939,4338;12641;36256;59046;92164;109939,,,,,-1;-1;-1,protein_2432,quanti,quanti,imputed MEC,imputed MEC
IPO4,1.19289770873691,0.197944931746599,Q8TEX9;H0YN14;H0YN07;H0YMR4;H0YK93;H0YLV0;H0YL92;H0YKG5,Q8TEX9;H0YN14;H0YN07;H0YMR4,9;6;5;5;1;1;1;1,9;6;5;5;1;1;1;1,9;6;5;5;1;1;1;1,Importin-4,sp|Q8TEX9|IPO4_HUMAN Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2;tr|H0YN14|H0YN14_HUMAN Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=1;tr|H0YN07|H0YN07_HUMAN Importin-4 (Fragment) OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=1;tr|H0YMR4|H0YMR4_HU,8,9,9,9,3,4,3,7,3,4,3,7,3,4,3,7,12.2,12.2,12.2,118.71,1081,1081;911;312;547;48;98;101;154,0.0,6.3758,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52029,1.0594,36.422,15,6,Leave out requantified,0.3911,0.39369,0.3186,0.57483,,0.70311,0.7309,0.61797,1.1899,9.9119,10.721,40.717,24.263,2,3,3,7,1,2,2,1,Median,Plateau,Median,Leave out requantified,2.9,5.1,3.6,9.8,321400000,197210000,124190000,14412000,9682100,4729400,24571000,16339000,8231400,52329000,34427000,17902000,230090000,136770000,93326000,,,,2432,4105;9355;10270;10609;10732;12297;12965;15237;19677,True;True;True;True;True;True;True;True;True,4390;10097;11070;11435;11569;13218;13929;16295;21036,11642;11643;27132;27133;29846;30872;30873;30874;31234;35505;35506;35507;35508;35509;37350;43507;43508;56590,21625;50290;50291;55322;57152;57153;57154;57155;57156;57157;57919;65450;65451;65452;65453;65454;68830;68831;79817;79818;79819;105193,21625;50290;55322;57156;57919;65454;68830;79819;105193,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_2433,quanti,quanti,quanti,quanti
DYNLRB1;DYNLRB2,-3.01069439460873,0.000299230386328315,Q9NP97;Q8TF09;H3BQI1;B1AKR6;H3BNG9;H3BPA0;Q7Z4M1,Q9NP97;Q8TF09;H3BQI1;B1AKR6,3;3;2;2;1;1;1,3;3;2;2;1;1;1,3;3;2;2;1;1;1,Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2,sp|Q9NP97|DLRB1_HUMAN Dynein light chain roadblock-type 1 OS=Homo sapiens OX=9606 GN=DYNLRB1 PE=1 SV=3;sp|Q8TF09|DLRB2_HUMAN Dynein light chain roadblock-type 2 OS=Homo sapiens OX=9606 GN=DYNLRB2 PE=1 SV=1;tr|H3BQI1|H3BQI1_HUMAN Dynein light chain roadbloc,7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,26.0,26.0,26.0,10.921,96,96;96;125;148;40;44;54,0.0,6.1964,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55578,1.8087,42.851,6,2,Leave out requantified,0.5181,0.65941,0.37738,0.43666,,1.8339,1.8898,1.0001,0.9149,1.0808,9.2461,,,2,2,1,1,1,0,1,0,Median,Median,Median,Median,26.0,26.0,21.9,21.9,358550000,231710000,126830000,109190000,70935000,38257000,175110000,108290000,66816000,41798000,30135000,11663000,32447000,22349000,10098000,,,,2433,518;2853;16442,True;True;True,544;3055;17565,1447;1448;1449;1450;8483;8484;46968;46969,2605;2606;2607;2608;2609;2610;15965;15966;15967;86165;86166;86167;86168;86169,2608;15967;86165,,,,,-1;-1;-1;-1;-1;-1;-1,protein_2434,quanti,quanti,quanti,quanti
NOC3L,21.8900449583426,1.74471574943567e-07,Q8WTT2,Q8WTT2,4,4,4,Nucleolar complex protein 3 homolog,sp|Q8WTT2|NOC3L_HUMAN Nucleolar complex protein 3 homolog OS=Homo sapiens OX=9606 GN=NOC3L PE=1 SV=1,1,4,4,4,0,0,4,2,0,0,4,2,0,0,4,2,8.4,8.4,8.4,92.547,800,800,0.0,5.8405,,,By MS/MS,By MS/MS,0.42176,1.234,73.669,6,5,Median,,,0.35433,0.85697,,,,1.1691,2.2811,,,77.267,85.268,0,0,4,2,0,0,3,2,Median,Median,Median,Median,0.0,0.0,8.4,4.6,619960000,300530000,319440000,0,0,0,0,0,0,363340000,190700000,172630000,256630000,109820000,146800000,,,,2434,4181;11270;15931;20657,True;True;True;True,4470;12132;17032;22060,11842;11843;32676;32677;45583;59313,21954;21955;21956;60358;60359;83689;109986;109987,21954;60358;83689;109986,,,,,-1,protein_2435,quanti,quanti,imputed MEC,imputed MEC
ZC3H15,-0.245706130345685,0.686617288390099,Q8WU90;H7C466,Q8WU90;H7C466,2;1,2;1,2;1,Zinc finger CCCH domain-containing protein 15,sp|Q8WU90|ZC3HF_HUMAN Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ZC3H15 PE=1 SV=1;tr|H7C466|H7C466_HUMAN Zinc finger CCCH domain-containing protein 15 (Fragment) OS=Homo sapiens OX=9606 GN=ZC3H15 PE=1 SV=1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,5.6,5.6,5.6,48.602,426,426;71,0.0,4.0731,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65711,1.616,0.6247,5,0,Leave out requantified,0.52932,0.82397,0.61841,0.79109,,1.5026,1.9849,1.595,1.6514,,,2.4717,,1,1,2,1,0,0,0,0,Median,Median,Median,Median,2.3,2.3,5.6,2.3,149820000,90634000,59191000,23244000,15599000,7645200,24997000,12143000,12854000,69373000,46329000,23044000,32210000,16563000,15648000,,,,2435,3210;8394,True;True,3436;9047,9382;24302;24303;24304;24305,17546;45189;45190;45191;45192;45193;45194;45195;45196,17546;45191,,,,,-1;-1,protein_2436,quanti,quanti,quanti,quanti
PPP1R13L,-0.0259309142718642,0.969500807963314,Q8WUF5,Q8WUF5,2,2,2,RelA-associated inhibitor,sp|Q8WUF5|IASPP_HUMAN RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,3.1,3.1,3.1,89.09,828,828,0.0005168,2.2056,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.82591,1.6804,13.601,5,0,Leave out requantified,0.71533,0.95066,0.75649,0.8132,,1.6507,1.8501,1.4989,1.7089,,,,13.408,1,1,1,2,0,0,0,0,Median,Median,Median,Median,1.0,1.0,2.2,3.1,98415000,54428000,43987000,13954000,7511200,6442500,13610000,7172700,6437200,15988000,9926600,6061200,54864000,29818000,25046000,,,,2436,9666;13857,True;True,10434;14849,28189;28190;39792;39793;39794,52280;52281;52282;73402;73403;73404;73405,52281;73404,,,,,-1,protein_2437,quanti,quanti,quanti,quanti
PDCD6IP,-2.00152817183913,0.00836333388179088,Q8WUM4;A0A3B3IT07;F8WEQ7;F8WBR8;C9IZF9,Q8WUM4,17;5;4;4;4,17;5;4;4;4,15;5;4;4;4,Programmed cell death 6-interacting protein,sp|Q8WUM4|PDC6I_HUMAN Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,5,17,17,15,10,13,5,9,10,13,5,9,8,11,5,9,24.9,24.9,22.1,96.022,868,868;300;72;78;153,0.0,31.112,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43066,1.0723,19.897,41,17,Leave out requantified,0.39494,0.47226,0.3169,0.40404,,1.4004,1.2495,1.0179,0.89735,13.099,15.947,11.88,9.1096,12,15,5,9,5,5,3,4,Leave out requantified,Leave out requantified,Median,Leave out requantified,15.3,20.0,7.6,13.8,1764600000,1191500000,573090000,497170000,332650000,164520000,613770000,400560000,213200000,213150000,157130000,56013000,440550000,301200000,139360000,,,,2438,267;2052;3182;3798;4418;4552;5178;6659;9420;12910;16422;16423;16501;16502;17385;17487;17585,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,279;2199;3407;4061;4721;4861;5525;7170;10166;13873;17544;17545;17628;17629;18565;18674;18772,722;723;6173;6174;6175;6176;9313;10905;12510;12511;12865;14574;14575;14576;14577;19058;19059;27350;27351;37211;37212;37213;37214;37215;46915;46916;46917;46918;46919;47158;47159;49773;49774;49775;50033;50034;50035;50279;50280;50281;50282,1323;1324;1325;11550;11551;11552;11553;11554;11555;11556;11557;11558;11559;11560;11561;11562;17444;20317;23209;23210;23872;27018;27019;27020;27021;27022;27023;27024;27025;35297;35298;35299;50715;50716;68509;68510;68511;68512;68513;68514;68515;68516;68517;86075;86076;86077;86078;86079;86080;86559;86560;86561;86562;91860;91861;91862;92307;92308;92309;92724;92725;92726;92727;92728;92729;92730;92731,1323;11553;17444;20317;23210;23872;27018;35299;50716;68509;86075;86080;86559;86561;91860;92309;92729,,,,,-1;-1;-1;-1;-1,protein_2439,quanti,quanti,quanti,quanti
BRK1,-21.0734844819963,4.00715164498195e-08,Q8WUW1,Q8WUW1,2,2,2,Protein BRICK1,sp|Q8WUW1|BRK1_HUMAN Protein BRICK1 OS=Homo sapiens OX=9606 GN=BRK1 PE=1 SV=1,1,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,34.7,34.7,34.7,8.7448,75,75,0.0,15.988,By MS/MS,By MS/MS,,,0.52114,1.3903,13.777,4,1,Median,0.47752,0.61135,,,,1.3146,1.5284,,,10.057,15.531,,,2,2,0,0,0,1,0,0,Median,Median,Median,Median,34.7,34.7,0.0,0.0,107450000,65727000,41726000,44539000,29119000,15420000,62914000,36608000,26306000,0,0,0,0,0,0,,,,2439,7018;9536,True;True,7578;10290,20230;20231;27725;27726,37668;37669;37670;37671;51367;51368;51369;51370;51371,37669;51367,,,,,-1,protein_2440,imputed MEC,imputed MEC,quanti,quanti
SCFD1,1.8635339283402,0.00158944599577323,Q8WVM8;G3V3K9;G3V4I1;G3V5F3;J3KNG4;G3V363;H0YJS6;H0YJY1;G3V2M8,Q8WVM8,9;2;2;2;2;1;1;1;1,9;2;2;2;2;1;1;1;1,9;2;2;2;2;1;1;1;1,Sec1 family domain-containing protein 1,sp|Q8WVM8|SCFD1_HUMAN Sec1 family domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SCFD1 PE=1 SV=4,9,9,9,9,2,2,7,9,2,2,7,9,2,2,7,9,22.3,22.3,22.3,72.379,642,642;48;75;121;163;92;102;144;198,0.0,16.291,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32535,0.91245,24.335,18,5,Leave out requantified,0.36352,0.44434,0.27052,0.30808,,1.0269,1.0324,0.85963,0.8145,13.048,18.093,29.867,23.923,2,2,6,8,0,0,3,2,Median,Median,Leave out requantified,Leave out requantified,5.3,5.3,18.4,22.3,935400000,687050000,248350000,51524000,34914000,16610000,55819000,35893000,19926000,384290000,287380000,96911000,443760000,328860000,114900000,,,,2440,8;1453;7748;11672;12120;12581;13658;16616;19161,True;True;True;True;True;True;True;True;True,8;1553;8355;12559;13031;13519;14645;17747;20484,19;4325;4326;22381;22382;33721;33722;34984;34985;34986;34987;36260;39260;39261;47505;47506;47507;47508;55090;55091,36;8026;8027;41706;41707;41708;62145;62146;62147;62148;62149;64531;64532;64533;64534;64535;64536;66819;72456;72457;87172;87173;87174;102287;102288,36;8026;41707;62146;64536;66819;72457;87174;102287,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2441,quanti,quanti,quanti,quanti
SPRYD4,19.9291898691282,1.71427181986634e-06,Q8WW59,Q8WW59,2,2,2,SPRY domain-containing protein 4,sp|Q8WW59|SPRY4_HUMAN SPRY domain-containing protein 4 OS=Homo sapiens OX=9606 GN=SPRYD4 PE=1 SV=2,1,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,10.1,10.1,10.1,23.128,207,207,0.00049975,1.9408,,,By MS/MS,By MS/MS,0.23845,0.55096,37.83,3,2,Median,,,0.21827,0.30735,,,,0.49433,0.74158,,,,42.02,0,0,1,2,0,0,1,1,Median,Median,Median,Median,0.0,0.0,5.3,10.1,116210000,81004000,35203000,0,0,0,0,0,0,32539000,24424000,8114800,83668000,56580000,27088000,,,,2442,18450;20243,True;True,19700;21623,52865;52866;58140,97940;97941;107836,97941;107836,,,,,-1,protein_2443,quanti,quanti,imputed MEC,imputed MEC
C2orf47,20.9797341398198,8.0250585431025e-08,Q8WWC4,Q8WWC4,2,2,2,"Uncharacterized protein C2orf47, mitochondrial","sp|Q8WWC4|MAIP1_HUMAN m-AAA protease-interacting protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=MAIP1 PE=1 SV=1",1,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,8.6,8.6,8.6,32.544,291,291,0.0,4.4085,,,By MS/MS,By MS/MS,0.35631,1.1106,3.8718,2,1,Median,,,0.30385,0.41782,,,,1.0806,1.1415,,,,,0,0,1,1,0,0,0,1,Median,Median,Median,Median,0.0,0.0,8.6,4.8,227480000,156340000,71138000,0,0,0,0,0,0,132870000,91653000,41213000,94613000,64688000,29925000,,,,2443,3482;14293,True;True,3722;15306,10101;10102;40969,18862;18863;18864;18865;18866;75503,18863;75503,,,,,-1,protein_2444,quanti,quanti,imputed MEC,imputed MEC
ATXN2L,-0.166081042447736,0.901899828925749,Q8WWM7;H3BUF6,Q8WWM7;H3BUF6,2;1,2;1,2;1,Ataxin-2-like protein,sp|Q8WWM7|ATX2L_HUMAN Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2;tr|H3BUF6|H3BUF6_HUMAN Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3.0,3.0,3.0,113.37,1075,1075;1068,0.002649,1.2234,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45152,1.2205,82.447,4,2,Median,0.33361,0.6111,0.24519,2.2885,,1.0139,1.4692,0.87742,5.3656,,,,,1,1,1,1,1,0,1,0,Median,Median,Median,Median,2.1,2.1,0.8,0.8,247310000,168300000,79015000,28081000,21165000,6915500,24850000,13287000,11563000,157590000,123550000,34047000,36787000,10297000,26490000,,,,2444,17221;17328,True;True,18391;18392;18503,49318;49319;49607;49608,90911;90912;91489;91490,90911;91490,,,,,-1;-1,protein_2445,quanti,quanti,quanti,quanti
PSPC1,2.83734996897292,0.00119068435523333,Q8WXF1;X6RDA4,Q8WXF1;X6RDA4,5;4,5;4,5;4,Paraspeckle component 1,sp|Q8WXF1|PSPC1_HUMAN Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1;tr|X6RDA4|X6RDA4_HUMAN Paraspeckle component 1 (Fragment) OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,2,5,5,5,1,2,4,3,1,2,4,3,1,2,4,3,14.3,14.3,14.3,58.743,523,523;248,0.0,7.9596,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26818,0.6982,20.909,10,2,Leave out requantified,0.19899,0.34349,0.25042,0.28018,,0.50371,0.71002,0.90046,0.76089,,12.223,40.396,40.967,1,2,4,3,0,0,1,1,Median,Median,Leave out requantified,Median,4.4,7.5,9.9,6.9,836940000,628030000,208910000,17242000,11849000,5393100,33062000,25318000,7743900,399570000,298410000,101160000,387070000,292450000,94614000,,,,2446,4251;4272;13452;17186;20214,True;True;True;True;True,4548;4572;14432;18352;21591,12060;12061;12119;12120;38685;38686;49208;49209;58041;58042,22382;22383;22384;22385;22471;22472;71352;71353;71354;71355;71356;71357;71358;71359;90687;90688;107657;107658,22384;22472;71353;90688;107658,,,,,-1;-1,protein_2447,quanti,quanti,quanti,quanti
DNAJC9,0.145886059531588,0.811241582478829,Q8WXX5,Q8WXX5,5,5,5,DnaJ homolog subfamily C member 9,sp|Q8WXX5|DNJC9_HUMAN DnaJ homolog subfamily C member 9 OS=Homo sapiens OX=9606 GN=DNAJC9 PE=1 SV=1,1,5,5,5,1,2,3,3,1,2,3,3,1,2,3,3,28.1,28.1,28.1,29.909,260,260,0.0095541,0.70953,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3019,0.82521,24.016,8,1,Leave out requantified,0.26657,0.39497,0.29642,0.41213,,0.77135,1.0543,0.83391,1.0413,,25.107,46.8,9.2772,1,2,2,3,0,0,0,1,Median,Median,Median,Median,8.8,19.2,22.7,22.3,380010000,257240000,122770000,25559000,18763000,6796300,91767000,59305000,32462000,103500000,73219000,30284000,159180000,105950000,53230000,,,,2448,2362;3732;8260;13237;13238,True;True;True;True;True,2536;3991;8904;14211;14212,7114;7115;7116;10746;23898;38084;38085;38086;38087,13422;13423;20033;44476;70194;70195;70196;70197,13422;20033;44476;70195;70197,,,,,-1,protein_2449,quanti,quanti,quanti,quanti
DDB2,19.5392456719289,1.07537839116066e-06,Q92466;A0A087WYT8;A0A087X0X5,Q92466;A0A087WYT8;A0A087X0X5,2;1;1,2;1;1,2;1;1,DNA damage-binding protein 2,sp|Q92466|DDB2_HUMAN DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=1;tr|A0A087WYT8|A0A087WYT8_HUMAN DNA damage-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=1;tr|A0A087X0X5|A0A087X0X5_HUMAN DNA damage-binding p,3,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,4.9,4.9,4.9,47.863,427,427;95;227,0.00049579,1.8982,,,By MS/MS,By MS/MS,0.53108,1.0978,26.17,3,1,Median,,,0.68364,0.48942,,,,1.6035,1.0322,,,,8.7172,0,0,1,2,0,0,0,1,Median,Median,Median,Median,0.0,0.0,2.8,4.9,92780000,60239000,32541000,0,0,0,0,0,0,35342000,20003000,15338000,57438000,40236000,17202000,,,,2450,5704;6691,True;True,6112;7205,16133;16134;19137,29964;29965;29966;35432,29964;35432,,,,,-1;-1;-1,protein_2451,quanti,quanti,imputed MEC,imputed MEC
H1FX,2.98596022149667,0.00147661163338938,Q92522,Q92522,8,8,8,Histone H1x,sp|Q92522|H1X_HUMAN Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,1,8,8,8,2,2,8,7,2,2,8,7,2,2,8,7,33.8,33.8,33.8,22.487,213,213,0.0,28.317,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.1925,3.6257,47.884,24,6,Leave out requantified,1.6804,1.4591,1.1733,1.1166,,5.6679,3.7355,4.2068,2.9681,53.878,49.476,34.662,27.225,2,2,11,9,0,1,4,1,Median,Median,Leave out requantified,Leave out requantified,14.1,14.1,33.8,25.4,3276900000,1486100000,1790800000,128130000,44892000,83242000,74335000,29905000,44430000,1860500000,840050000,1020500000,1213900000,571260000,642600000,,,,2452,1497;5268;9238;13593;13594;16475;20651;20652,True;True;True;True;True;True;True;True,1605;5624;9966;14575;14576;17598;17599;22054;22055,4486;4487;4488;4489;14806;14807;26778;26779;39073;39074;39075;39076;39077;39078;47048;47049;47050;47051;47052;59296;59297;59298;59299;59300;59301;59302,8435;8436;8437;8438;8439;8440;8441;8442;8443;8444;8445;8446;8447;8448;27433;27434;27435;49649;49650;49651;49652;49653;49654;72091;72092;72093;72094;72095;72096;72097;72098;72099;86296;86297;86298;86299;86300;109959;109960;109961;109962;109963;109964;109965;109966;109967;109968;109969;109970;109971,8440;27435;49654;72092;72095;86297;109959;109970,,,,,-1,protein_2453,quanti,quanti,quanti,quanti
