Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q8IYB1,Q8IYB1,7,7,7,Protein MB21D2,MB21D2,sp|Q8IYB1|M21D2_HUMAN Protein MB21D2 OS=Homo sapiens OX=9606 GN=MB21D2 PE=1 SV=3,7,7,17.7,4.17608450057973,4.06670010289021,25.887555502186,25.0239874563716
Q8TBE9;REV__CON__P02672,Q8TBE9,7;1,7;1,7;1,N-acylneuraminate-9-phosphatase,NANP,sp|Q8TBE9|NANP_HUMAN N-acylneuraminate-9-phosphatase OS=Homo sapiens OX=9606 GN=NANP PE=1 SV=1,7,7,31.5,24.3542052528082,22.4230333408907,28.1994320451725,28.1000902683163
P55209;F8W020;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W118;F8VXI6;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8W543;F8VRJ2;F8VVB5,P55209;F8W020;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W118;F8VXI6;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8W543;F8VRJ2;F8VVB5,9;9;9;9;9;9;8;8;8;8;8;8;7;7;6;6,7;7;7;7;7;7;6;6;6;6;6;6;5;5;4;4,7;7;7;7;7;7;6;6;6;6;6;6;5;5;4;4,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W020|F8W020_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome asse,9,7,22.5,26.4995854685448,23.4933834650073,29.8372714583798,29.9972539639942
O43776;K7EMQ6;K7EPK2;K7EQ35,O43776,7;1;1;1,7;1;1;1,7;1;1;1,"Asparagine--tRNA ligase, cytoplasmic",NARS,"sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",7,7,17.2,4.17608450057973,4.06670010289021,26.4511104739026,26.7452215152821
O75376;A0A088AWL3;E7EVK1;E7EVU5;E7EW50;J3KS51,O75376;A0A088AWL3,8;7;2;1;1;1,7;6;2;1;1;1,7;6;2;1;1;1,Nuclear receptor corepressor 1,NCOR1,sp|O75376|NCOR1_HUMAN Nuclear receptor corepressor 1 OS=Homo sapiens OX=9606 GN=NCOR1 PE=1 SV=2;tr|A0A088AWL3|A0A088AWL3_HUMAN Nuclear receptor corepressor 1 OS=Homo sapiens OX=9606 GN=NCOR1 PE=1 SV=1,8,7,4.2,4.17608450057973,4.06670010289021,25.7217671678952,25.5409689593306
Q96PU5;A0A1B0GVY1;K7ERN1;K7EKL1,Q96PU5;A0A1B0GVY1;K7ERN1,8;8;6;2,8;8;6;2,7;7;5;1,E3 ubiquitin-protein ligase NEDD4-like,NEDD4L,sp|Q96PU5|NED4L_HUMAN E3 ubiquitin-protein ligase NEDD4-like OS=Homo sapiens OX=9606 GN=NEDD4L PE=1 SV=2;tr|A0A1B0GVY1|A0A1B0GVY1_HUMAN E3 ubiquitin-protein ligase NEDD4-like OS=Homo sapiens OX=9606 GN=NEDD4L PE=1 SV=1;tr|K7ERN1|K7ERN1_HUMAN E3 ubiquitin-p,8,7,11.1,4.17608450057973,4.06670010289021,26.6349184844906,25.7655212304866
P30419;K7EN82;B7Z8J4;O60551;Q5VUC6,P30419,7;3;2;1;1,7;3;2;1;1,7;3;2;1;1,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,7,7,20.2,21.8859137953843,21.8515662241051,27.5778752583337,27.8933655106049
Q9Y2X3;H7BZ72,Q9Y2X3,7;3,7;3,7;3,Nucleolar protein 58,NOP58,sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,7,7,18.0,25.5279670724389,22.523431154335,25.2697076973675,22.7256308670811
Q12769;G3V198;E9PR16;E9PSI3,Q12769;G3V198;E9PR16,7;7;5;1,7;7;5;1,7;7;5;1,Nuclear pore complex protein Nup160,NUP160,sp|Q12769|NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3;tr|G3V198|G3V198_HUMAN Nuclear pore complex protein Nup160 (Fragment) OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=2;tr|E9PR16|E9PR16_HUMAN Nuclear pore comp,7,7,6.3,25.1993665155704,22.4058520978679,24.2009758101782,23.8351853444402
Q8NFH4;F8VTY2,Q8NFH4,7;3,7;3,7;3,Nucleoporin Nup37,NUP37,sp|Q8NFH4|NUP37_HUMAN Nucleoporin Nup37 OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=1,7,7,27.9,4.17608450057973,4.06670010289021,26.8591095189136,26.5159598902048
Q9NX40;D6RDK6;D6RBN5;D6RG39;D6RIT9;D6R918;D6RBC5;D6RDI5;D6RI08;D6RA54;D6RC55;D6RDK1;D6RIV2;D6R9T5;D6RF07,Q9NX40;D6RDK6;D6RBN5;D6RG39;D6RIT9,7;5;5;4;4;2;2;2;2;2;2;2;2;2;1,7;5;5;4;4;2;2;2;2;2;2;2;2;2;1,7;5;5;4;4;2;2;2;2;2;2;2;2;2;1,OCIA domain-containing protein 1,OCIAD1,sp|Q9NX40|OCAD1_HUMAN OCIA domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RDK6|D6RDK6_HUMAN OCIA domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RBN5|D6RBN5_HUMAN OCIA domain-containing,7,7,25.7,4.17608450057973,4.06670010289021,26.1967804017955,26.31686154297
Q13310;B1ANR0;H0Y5F5;B1ANR1;H0YEU6;H0YCC8;H0Y6X6,Q13310;B1ANR0;H0Y5F5,16;16;12;5;5;4;2,7;7;5;2;3;1;1,7;7;5;2;3;1;1,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragmen,16,7,31.4,4.17608450057973,4.06670010289021,26.6807005425146,26.8852994191357
B1ALY0;Q8IXS6;C9JA33;C9JZH4,B1ALY0;Q8IXS6;C9JA33,7;5;5;2,7;5;5;2,7;5;5;2,Paralemmin-2,PALM2-AKAP2;PALM2,tr|B1ALY0|B1ALY0_HUMAN PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1;sp|Q8IXS6|PALM2_HUMAN Paralemmin-2 OS=Homo sapiens OX=9606 GN=PALM2 PE=1 SV=3;tr|C9JA33|C9JA33_HUMAN PALM2 and AKAP2 fusion OS=Homo sapiens OX=9606 GN=,7,7,26.1,4.17608450057973,4.06670010289021,27.7278678074417,26.9872848328367
Q15366;H3BRU6;F8VZX2;F8W0G4;F8VXH9;F8W1G6;P57721;J3QT27;E9PFP8;H3BND9;F8VRH0;H3BSS4,Q15366;H3BRU6;F8VZX2;F8W0G4;F8VXH9;F8W1G6,11;10;10;7;7;6;4;4;4;3;3;2,7;6;6;3;4;3;1;1;1;2;3;2,7;6;6;3;4;3;1;1;1;2;3;2,Poly(rC)-binding protein 2,PCBP2,sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|H3BRU6|H3BRU6_HUMAN Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|F8VZX2|F8VZX2_HUMAN Poly(rC)-binding protein 2 OS=Homo sa,11,7,48.8,28.3738071281572,26.134945939843,28.7645534945143,28.9827503149771
Q8WW12,Q8WW12,7,7,7,PEST proteolytic signal-containing nuclear protein,PCNP,sp|Q8WW12|PCNP_HUMAN PEST proteolytic signal-containing nuclear protein OS=Homo sapiens OX=9606 GN=PCNP PE=1 SV=2,7,7,37.1,4.17608450057973,4.06670010289021,30.2306620835612,29.9519929845246
Q01813;B1APP6;H0Y757;Q5VSR5;V9GYV7;V9GY25;H0Y3Y3,Q01813;B1APP6,10;6;3;3;2;1;1,7;6;3;1;1;1;1,7;6;3;1;1;1;1,"ATP-dependent 6-phosphofructokinase, platelet type",PFKP,"sp|Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2;tr|B1APP6|B1APP6_HUMAN ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2",10,7,12.5,25.5205230096053,22.516998763449,4.45881916663448,4.39209895775669
O00443,O00443,7,7,7,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A,sp|O00443|P3C2A_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2,7,7,4.7,4.17608450057973,4.06670010289021,25.8362453348328,26.0011203757893
Q15054;E9PM91;E9PNC0;E9PRK3;H0YEX7,Q15054,7;2;2;2;1,7;2;2;2;1,7;2;2;2;1,DNA polymerase delta subunit 3,POLD3,sp|Q15054|DPOD3_HUMAN DNA polymerase delta subunit 3 OS=Homo sapiens OX=9606 GN=POLD3 PE=1 SV=2,7,7,19.1,22.4961906217612,22.146671165609,26.1078913419646,25.8835292981053
Q86TP1;A0A3B3ITN0;Q5SZG1;Q5SZF2,Q86TP1;A0A3B3ITN0,7;6;3;2,7;6;3;2,7;6;3;2,Protein prune homolog,PRUNE,sp|Q86TP1|PRUN1_HUMAN Exopolyphosphatase PRUNE1 OS=Homo sapiens OX=9606 GN=PRUNE1 PE=1 SV=2;tr|A0A3B3ITN0|A0A3B3ITN0_HUMAN Exopolyphosphatase PRUNE1 OS=Homo sapiens OX=9606 GN=PRUNE1 PE=1 SV=1,7,7,22.7,4.17608450057973,4.06670010289021,26.6474619398718,26.6596251207736
P06737;E9PK47,P06737;E9PK47,9;9,7;7,7;7,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",PYGL,"sp|P06737|PYGL_HUMAN Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4;tr|E9PK47|E9PK47_HUMAN Alpha-1,4 glucan phosphorylase OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=1",9,7,12.8,24.7391295759534,23.4478651844929,25.8946727240597,24.59894981515
P62826;B5MDF5;J3KQE5;F5H018;H0YFC6;B4DV51;A0A087X0W0,P62826;B5MDF5;J3KQE5;F5H018,7;7;6;5;3;3;1,7;7;6;5;3;3;1,7;7;6;5;3;3;1,GTP-binding nuclear protein Ran,RAN,sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3;tr|B5MDF5|B5MDF5_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1;tr|J3KQE5|J3KQE5_HUMAN GTP-binding nuclear protein Ran (Fragment) O,7,7,40.7,27.7007452328133,25.7351056072016,27.5022591804645,27.2481668934329
P15880;H0YEN5;E9PMM9;E9PQD7;E9PPT0;I3L404;E9PM36;H3BNG3;H0YE27,P15880;H0YEN5;E9PMM9;E9PQD7;E9PPT0,7;6;5;5;4;3;3;1;1,7;6;5;5;4;3;3;1;1,7;6;5;5;4;3;3;1;1,40S ribosomal protein S2,RPS2,sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;tr|H0YEN5|H0YEN5_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1;tr|E9PMM9|E9PMM9_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo s,7,7,27.6,25.9074050759544,23.9155198212157,25.2632379616039,25.3559532408623
P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,7;5;5;2;2,7;5;5;2;2,7;5;5;2;2,40S ribosomal protein S9,RPS9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,7,7,28.4,26.8352094437819,24.4046766364901,23.3473272358467,23.9059111914656
P31350;C9JXC1;A0A286YFD6;A0A2R8Y837,P31350;C9JXC1;A0A286YFD6,9;8;8;1,9;8;8;1,7;6;6;1,Ribonucleoside-diphosphate reductase subunit M2,RRM2,sp|P31350|RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens OX=9606 GN=RRM2 PE=1 SV=1;tr|C9JXC1|C9JXC1_HUMAN Ribonucleoside-diphosphate reductase subunit M2 (Fragment) OS=Homo sapiens OX=9606 GN=RRM2 PE=1 SV=1;tr|A0A286YFD6|A0A286Y,9,7,30.1,4.17608450057973,4.06670010289021,26.6212870570076,26.3470737415757
P50454;E9PKH2;E9PR70;E9PPV6;E9PQ34;E9PJH8;E9PIG2;E9PRS3;E9PNX1;E9PK86;E9PMI5;H0YEP8,P50454;E9PKH2;E9PR70;E9PPV6,7;5;4;4;2;2;2;2;2;2;2;1,7;5;4;4;2;2;2;2;2;2;2;1,7;5;4;4;2;2;2;2;2;2;2;1,Serpin H1,SERPINH1,sp|P50454|SERPH_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2;tr|E9PKH2|E9PKH2_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=1;tr|E9PR70|E9PR70_HUMAN Serpin H1 (Fragment) OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=1;tr|E9PPV6,7,7,24.4,25.8982528149332,23.6029751787306,4.45881916663448,4.39209895775669
P29353;X6R6D0;Q5T181;Q5T182;H0Y539;P98077;Q5T188,P29353;X6R6D0,7;4;3;3;3;1;1,7;4;3;3;3;1;1,7;4;3;3;3;1;1,SHC-transforming protein 1,SHC1,sp|P29353|SHC1_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4;tr|X6R6D0|X6R6D0_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=1,7,7,16.1,24.8303090049708,23.1778398296886,27.5397864223456,27.2881525879686
Q00325;F8VVM2;F8VZL5;F8VWR4;F8VWQ0,Q00325;F8VVM2,7;7;3;3;3,7;7;3;3;3,7;7;3;3;3,"Phosphate carrier protein, mitochondrial",SLC25A3,"sp|Q00325|MPCP_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2;tr|F8VVM2|F8VVM2_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=1",7,7,20.4,28.060903110172,25.2729139251651,24.5025778722715,24.6641091306323
E9PFN4;A0A0A0MST8;Q9Y6M7;C9JRP1;H7C3C4,E9PFN4;A0A0A0MST8;Q9Y6M7;C9JRP1;H7C3C4,7;6;5;5;4,7;6;5;5;4,7;6;5;5;4,Anion exchange protein;Sodium bicarbonate cotransporter 3,SLC4A7,tr|E9PFN4|E9PFN4_HUMAN Anion exchange protein OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;tr|A0A0A0MST8|A0A0A0MST8_HUMAN Anion exchange protein OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;sp|Q9Y6M7|S4A7_HUMAN Sodium bicarbonate cotransporter 3 OS=Homo sapi,7,7,7.8,4.17608450057973,4.06670010289021,26.5856317019682,26.2165823179944
Q5MIZ7;G3V4R3;G3V231,Q5MIZ7,9;1;1,7;0;0,7;0;0,Serine/threonine-protein phosphatase 4 regulatory subunit 3B,SMEK2,sp|Q5MIZ7|P4R3B_HUMAN Serine/threonine-protein phosphatase 4 regulatory subunit 3B OS=Homo sapiens OX=9606 GN=PPP4R3B PE=1 SV=2,9,7,16.0,4.17608450057973,4.06670010289021,25.7555726202573,25.5656099768845
Q9H0W8;M0R0U0;M0R2N0;M0QZC7;M0QZH1;M0QX70;M0QYR7,Q9H0W8,7;3;2;2;1;1;1,7;3;2;2;1;1;1,7;3;2;2;1;1;1,Protein SMG9,SMG9,sp|Q9H0W8|SMG9_HUMAN Protein SMG9 OS=Homo sapiens OX=9606 GN=SMG9 PE=1 SV=1,7,7,21.7,4.17608450057973,4.06670010289021,26.4832076260586,26.1757896740499
P08240,P08240,7,7,7,Signal recognition particle receptor subunit alpha,SRPR,sp|P08240|SRPRA_HUMAN Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,7,7,13.2,21.1983251316288,21.3020416817679,25.5783936539702,26.1976054633195
Q9NUL3;E7EPX0;E7EVJ4;E5RJN7;E7EVI1;E5RJ67;H0YBY0;E5RFK1,Q9NUL3;E7EPX0;E7EVJ4;E5RJN7;E7EVI1,8;7;7;6;4;3;3;2,7;6;6;5;3;3;3;2,7;6;6;5;3;3;3;2,Double-stranded RNA-binding protein Staufen homolog 2,STAU2,sp|Q9NUL3|STAU2_HUMAN Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=2;tr|E7EPX0|E7EPX0_HUMAN Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=1;tr|E7EVJ4|E7EVJ4_,8,7,20.7,4.17608450057973,4.06670010289021,27.2326988998425,26.1195935782691
Q658P3;B8ZZX6,Q658P3;B8ZZX6,7;6,7;6,7;6,Metalloreductase STEAP3,STEAP3,sp|Q658P3|STEA3_HUMAN Metalloreductase STEAP3 OS=Homo sapiens OX=9606 GN=STEAP3 PE=1 SV=2;tr|B8ZZX6|B8ZZX6_HUMAN Metalloreductase STEAP3 OS=Homo sapiens OX=9606 GN=STEAP3 PE=1 SV=1,7,7,19.1,25.1256764750819,22.2283489867506,27.3506017547952,27.3972165953065
Q5T011;A0A1W2PRY5,Q5T011,7;1,7;1,7;1,Protein SZT2,SZT2,sp|Q5T011|SZT2_HUMAN KICSTOR complex protein SZT2 OS=Homo sapiens OX=9606 GN=SZT2 PE=1 SV=3,7,7,3.1,4.17608450057973,4.06670010289021,26.4331032540375,25.4161256529939
Q6P1X5;H0YC37;H0YB55;H0YEX2,Q6P1X5,7;2;1;1,7;2;1;1,7;2;1;1,Transcription initiation factor TFIID subunit 2,TAF2,sp|Q6P1X5|TAF2_HUMAN Transcription initiation factor TFIID subunit 2 OS=Homo sapiens OX=9606 GN=TAF2 PE=1 SV=3,7,7,7.5,4.17608450057973,4.06670010289021,25.9741472486075,25.8793515955796
Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EN94;A0A0A0N0M3;K7EJM5;A0A1W2PNU8;A0A087WXQ5;A0A087WV68;A0A0A0MSV7;K7EJ99;A0A087WXV3;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EN94;A0A0A0N0M3;K7EJM5;A0A1W2PNU8,7;7;6;6;6;6;5;5;5;4;3;3;3;3;2;2;2;1;1;1;1,7;7;6;6;6;6;5;5;5;4;3;3;3;3;2;2;2;1;1;1;1,7;7;6;6;6;6;5;5;5;4;3;3;3;3;2;2;2;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,7,7,29.2,25.5020315003502,22.2669088978119,27.1961050003232,26.7108282896966
P26639;A2RTX5;B7ZLP8,P26639,7;1;1,7;1;1,7;1;1,"Threonine--tRNA ligase, cytoplasmic",TARS,"sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",7,7,10.9,4.17608450057973,4.06670010289021,26.022654810295,26.3067470489138
Q92890;C9JNP9;C9IZG3;C9J6N9,Q92890,7;3;3;2,7;3;3;2,7;3;3;2,Ubiquitin fusion degradation protein 1 homolog,UFD1L,sp|Q92890|UFD1_HUMAN Ubiquitin recognition factor in ER-associated degradation protein 1 OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=3,7,7,30.9,4.17608450057973,4.06670010289021,27.5655082952714,27.0252766242898
Q92900,Q92900,7,7,7,Regulator of nonsense transcripts 1,UPF1,sp|Q92900|RENT1_HUMAN Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,7,7,7.5,4.17608450057973,4.06670010289021,24.9141515162468,26.4200353762437
Q9UPU5,Q9UPU5,7,7,7,Ubiquitin carboxyl-terminal hydrolase 24,USP24,sp|Q9UPU5|UBP24_HUMAN Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens OX=9606 GN=USP24 PE=1 SV=3,7,7,3.1,4.17608450057973,4.06670010289021,25.2324610381764,25.5568390586989
Q96AX1;H3BMM5;A0A2R8YF87;F5H6Y0;F5H2X5;F5H7N5;A0A2R8Y5U3,Q96AX1;H3BMM5;A0A2R8YF87;F5H6Y0,7;7;7;4;2;1;1,7;7;7;4;2;1;1,7;7;7;4;2;1;1,Vacuolar protein sorting-associated protein 33A,VPS33A,sp|Q96AX1|VP33A_HUMAN Vacuolar protein sorting-associated protein 33A OS=Homo sapiens OX=9606 GN=VPS33A PE=1 SV=1;tr|H3BMM5|H3BMM5_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1;tr|A0A2R8YF87|A0A2R8YF87_HUMAN Vacuolar protein sorting-assoc,7,7,13.8,4.17608450057973,4.06670010289021,25.6740868568228,25.5913789859455
Q8NI36;A0A0A0MTB8,Q8NI36;A0A0A0MTB8,7;7,7;7,7;7,WD repeat-containing protein 36,WDR36,sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1;tr|A0A0A0MTB8|A0A0A0MTB8_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,7,7,8.4,4.17608450057973,4.06670010289021,25.7531002219425,26.3442823609111
Q9H4A3;F5GWT4;F6UYG0;Q96J92;K7ENT7;H0Y7T5,Q9H4A3;F5GWT4;F6UYG0,8;8;4;1;1;1,8;8;4;1;1;1,7;7;3;0;0;0,Serine/threonine-protein kinase WNK1,WNK1,sp|Q9H4A3|WNK1_HUMAN Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=2;tr|F5GWT4|F5GWT4_HUMAN Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=1;tr|F6UYG0|F6UYG0_HUMAN Serine/threonine-protein kinase,8,7,4.2,23.1787669579,22.4709388226977,26.494558863765,25.024072027275
P13010;C9JZ81;H7C0H9,P13010,7;2;1,7;2;1,7;2;1,X-ray repair cross-complementing protein 5,XRCC5,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,7,7,10.7,4.17608450057973,4.06670010289021,26.2254723871596,25.7498311776286
Q9BYJ9,Q9BYJ9,9,9,7,YTH domain-containing family protein 1,YTHDF1,sp|Q9BYJ9|YTHD1_HUMAN YTH domain-containing family protein 1 OS=Homo sapiens OX=9606 GN=YTHDF1 PE=1 SV=1,9,7,22.0,25.4109284912157,22.4837306208167,27.0632197833495,27.1734087528888
Q9HBF4;G3V5N8,Q9HBF4;G3V5N8,7;7,7;7,7;7,Zinc finger FYVE domain-containing protein 1,ZFYVE1,sp|Q9HBF4|ZFYV1_HUMAN Zinc finger FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZFYVE1 PE=1 SV=1;tr|G3V5N8|G3V5N8_HUMAN Zinc finger FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZFYVE1 PE=1 SV=1,7,7,11.1,4.17608450057973,4.06670010289021,26.3577158905808,25.2740166447224
Q9UBW7;A0A087X151,Q9UBW7,7;1,7;1,7;1,Zinc finger MYM-type protein 2,ZMYM2,sp|Q9UBW7|ZMYM2_HUMAN Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1,7,7,6.6,4.17608450057973,4.06670010289021,26.2257114037662,25.5417075530297
Q9Y2X9,Q9Y2X9,7,7,7,Zinc finger protein 281,ZNF281,sp|Q9Y2X9|ZN281_HUMAN Zinc finger protein 281 OS=Homo sapiens OX=9606 GN=ZNF281 PE=1 SV=1,7,7,12.4,4.17608450057973,4.06670010289021,27.3130249994712,26.7223406071862
Q8TF68;E9PHB3;F5H8L7;F5H105;R4GMR4,Q8TF68;E9PHB3;F5H8L7,7;5;4;2;1,7;5;4;2;1,7;5;4;2;1,Zinc finger protein 384,ZNF384,sp|Q8TF68|ZN384_HUMAN Zinc finger protein 384 OS=Homo sapiens OX=9606 GN=ZNF384 PE=1 SV=2;tr|E9PHB3|E9PHB3_HUMAN Zinc finger protein 384 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF384 PE=1 SV=3;tr|F5H8L7|F5H8L7_HUMAN Zinc finger protein 384 (Fragment) OS=Hom,7,7,15.8,4.17608450057973,4.06670010289021,27.1552807104496,27.254578279937
Q9Y4E5;E9PH99;D6RIA1,Q9Y4E5;E9PH99,7;7;1,7;7;1,7;7;1,Zinc finger protein 451,ZNF451,sp|Q9Y4E5|ZN451_HUMAN E3 SUMO-protein ligase ZNF451 OS=Homo sapiens OX=9606 GN=ZNF451 PE=1 SV=2;tr|E9PH99|E9PH99_HUMAN E3 SUMO-protein ligase ZNF451 OS=Homo sapiens OX=9606 GN=ZNF451 PE=1 SV=1,7,7,8.4,4.17608450057973,4.06670010289021,26.4551305253812,25.9978300115929
O95218,O95218,7,7,7,Zinc finger Ran-binding domain-containing protein 2,ZRANB2,sp|O95218|ZRAB2_HUMAN Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2,7,7,27.9,4.17608450057973,4.06670010289021,26.8424211310851,25.7505213583891
