GNB2_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ALDH1B1,0.0848012417,0.519071047681074,0,P30837;P00352;P47895;O94788;A0A0U1RQK9;H0Y2X5;H0YMG7,P30837,16;1;1;1;1;1;1,16;1;1;1;1;1;1,15;0;0;0;1;0;0,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,"sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",16,15,44.3,517
SDHA,-0.2025028721,0.165591226975203,0,P31040;D6RFM5;A0A494C1T6;A0A087X1I3;H0Y8X1,P31040;D6RFM5;A0A494C1T6;A0A087X1I3,17;15;12;10;1,17;15;12;10;1,17;15;12;10;1,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,"sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2;tr|D6RFM5|D6RFM5_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 ",17,17,33,664
DNAJA1,0.3629899388,0.0814467584178109,0,P31689,P31689,4,4,4,DnaJ homolog subfamily A member 1,DNAJA1,sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,4,4,19.4,397
UQCRC1,0.229356907,0.106689406250173,0,P31930,P31930,23,23,23,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,"sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",23,23,52.5,480
ATIC,0.1395533863,0.339711880124948,0,P31939;C9JLK0;F8WEF0;H7C1S2,P31939,21;7;4;4,21;7;4;4,21;7;4;4,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,21,21,45.8,592
HNRNPH3,-0.1694768132,0.285740703139211,0,P31942,P31942,15,15,15,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,15,15,65.6,346
YWHAB,-0.0850262509,0.48386372211179,0,P31946;Q4VY20;Q4VY19;A0A0J9YWE8;A0A0J9YWZ2,P31946;Q4VY20;Q4VY19;A0A0J9YWE8,21;11;11;11;6,14;9;9;9;4,12;8;8;8;4,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3;tr|Q4VY20|Q4VY20_HUMAN 14-3-3 protein beta/alpha (Fragment) OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=1;tr|Q4VY19|Q4VY19_HUMAN 14-3-3 protein beta/alpha (Fragment) OS,21,12,72.4,246
SFN,-0.0851408537,0.616563616013053,0,P31947,P31947,17,13,13,14-3-3 protein sigma,SFN,sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,17,13,60.9,248
STIP1,0.2520695961,0.326936567358454,0,P31948;F5H783;F5GXD8;H0YGI8,P31948;F5H783,26;15;9;4,26;15;9;4,26;15;9;4,Stress-induced-phosphoprotein 1,STIP1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1;tr|F5H783|F5H783_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,26,26,47.1,543
S100A11,-0.2071579803,0.182436651826354,0,P31949,P31949,8,8,8,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,8,8,58.1,105
PRDX2,-0.2381952893,0.141430568833708,0,P32119;A6NIW5,P32119,7;2,6;2,6;2,Peroxiredoxin-2,PRDX2,sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,7,6,36.4,198
PYCR1,0.25321626,0.157594110609045,0,P32322;E2QRB3;J3KQ22;J3QL24;J3QLK9;J3QL32;J3QR88;J3QKT4;J3KTA8;J3QKT3;J3QRZ0;J3KSA9,P32322;E2QRB3;J3KQ22;J3QL24;J3QLK9;J3QL32,16;15;11;10;9;9;7;7;5;5;5;3,16;15;11;10;9;9;7;7;5;5;5;3,7;6;3;2;1;1;1;2;1;1;1;0,"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase",PYCR1,"sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|E2QRB3|E2QRB3_HUMAN Pyrroline-5-carboxylate reductase 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|J3KQ22|J3KQ22_HUMAN ",16,7,55.8,319
RPL9,0.0805736532,0.593765557950228,0,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0;H0Y9V9;H0Y9R4,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0,15;14;13;12;7;4,15;14;13;12;7;4,15;14;13;12;7;4,60S ribosomal protein L9,RPL9,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|D6RAN4|D6RAN4_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=8;tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN 60S ribosomal protein L9 OS=Homo sapi,15,15,60.4,192
CD70,-0.9224578832,0.16360284935619,0,P32970,P32970,5,5,5,CD70 antigen,CD70,sp|P32970|CD70_HUMAN CD70 antigen OS=Homo sapiens OX=9606 GN=CD70 PE=1 SV=2,5,5,35.2,193
KIF5B,0.1351261018,0.40976431644682,0,P33176,P33176,11,11,8,Kinesin-1 heavy chain,KIF5B,sp|P33176|KINH_HUMAN Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,11,8,13.2,963
CSTF2,-0.370377277,0.0294356419486912,0,P33240;E9PID8;E7EWR4;Q9H0L4;A0A0A0MT56,P33240;E9PID8;E7EWR4,12;11;11;5;4,12;11;11;5;4,12;11;11;5;4,Cleavage stimulation factor subunit 2,CSTF2,sp|P33240|CSTF2_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;tr|E9PID8|E9PID8_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;tr|E7EWR4|E7EWR4_HUMAN Cleavage stimulation facto,12,12,22.5,577
MCM5,-0.2085173599,0.325291961219512,0,P33992;B1AHB1;B1AHB2;B1AHA9;F8WFD7,P33992;B1AHB1,23;22;5;5;1,23;22;5;5;1,23;22;5;5;1,DNA replication licensing factor MCM5;DNA helicase,MCM5,sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5;tr|B1AHB1|B1AHB1_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=1,23,23,36.8,734
MCM7,-0.4824144334,0.0851171389364476,0,P33993;C9J8M6,P33993,26;6,26;6,26;6,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,26,26,49,719
SHMT2,0.2989578614,0.0527785646364479,0,P34897;H0YIZ0;G3V2Y4;G3V5L0;G3V4W5;G3V540;G3V241;G3V3Y8;G3V4T0;G3V4X0;G3V2W0;G3V2E4;G3V2D2,P34897;H0YIZ0;G3V2Y4,38;22;19;12;10;8;6;6;6;6;6;6;1,38;22;19;12;10;8;6;6;6;6;6;6;1,36;22;18;10;8;6;5;5;5;5;5;5;0,"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase",SHMT2,"sp|P34897|GLYM_HUMAN Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3;tr|H0YIZ0|H0YIZ0_HUMAN Serine hydroxymethyltransferase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=1;tr|G3V2Y4|G3V2Y4_HUMA",38,36,70.2,504
HSPA4,0.0697448815,0.635813556455178,0,P34932;A0A087WYC1;A0A087WTS8,P34932;A0A087WYC1;A0A087WTS8,49;40;35,49;40;35,46;37;33,Heat shock 70 kDa protein 4,HSPA4,sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4;tr|A0A087WYC1|A0A087WYC1_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=1;tr|A0A087WTS8|A0A087WTS8_HUMAN Heat shock 70 kDa protein 4 OS,49,46,53.6,840
GPC1,0.053532362,0.812472279761392,0,P35052;H7C024;H7C410;C9J4Y6;H7BZE9,P35052;H7C024;H7C410;C9J4Y6;H7BZE9,4;3;3;2;2,4;3;3;2;2,4;3;3;2;2,Glypican-1;Secreted glypican-1,GPC1,sp|P35052|GPC1_HUMAN Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|H7C024|H7C024_HUMAN Glypican-1 (Fragment) OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|H7C410|H7C410_HUMAN Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|C9J4Y6|C9J4Y6_HU,4,4,11.1,558
CTNNA1,-0.1824337849,0.398109348623579,0,P35221;G3XAM7;E5RIB1;P26232;E5RJZ2;E5RIT8;E5RFM3;E5RJL0;E5RIE0;E5RHV7;H0YBB8;E5RGY7;E5RGY6;E5RG03;E5RJ41,P35221;G3XAM7,9;8;2;1;1;1;1;1;1;1;1;1;1;1;1,9;8;2;1;1;1;1;1;1;1;1;1;1;1;1,9;8;2;1;1;1;1;1;1;1;1;1;1;1;1,Catenin alpha-1,CTNNA1,"sp|P35221|CTNA1_HUMAN Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1;tr|G3XAM7|G3XAM7_HUMAN Catenin (Cadherin-associated protein), alpha 1, 102kDa, isoform CRA_a OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1",9,9,11.8,906
PHB,0.204330277,0.135518157192307,0,P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2;D6RBK0,P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2,27;24;20;18;18;10,27;24;20;18;18;10,27;24;20;18;18;10,Prohibitin,PHB,sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|C9JW96|C9JW96_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|E9PCW0|E9PCW0_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|C9JZ20|C9,27,27,90.8,272
RPA3,-0.5492614459,0.0365120656630515,0,P35244;B5MC59,P35244,3;1,3;1,3;1,Replication protein A 14 kDa subunit,RPA3,sp|P35244|RFA3_HUMAN Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,3,3,36.4,121
RFC2,-0.271758118,0.169097005638507,0,P35250;H7C5P4;A0A087WVY3,P35250;H7C5P4;A0A087WVY3,6;3;3,6;3;3,6;3;3,Replication factor C subunit 2,RFC2,sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3;tr|H7C5P4|H7C5P4_HUMAN Replication factor C subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=1;tr|A0A087WVY3|A0A087WVY3_HUMAN Replication factor C sub,6,6,21.5,354
RPL22,0.0679697829,0.583417838791128,0,P35268;K7ERI7;K7EMH1;K7ELC4;K7EP65;K7EKS7;K7EJT5,P35268;K7ERI7;K7EMH1;K7ELC4,13;11;10;9;6;6;4,13;11;10;9;6;6;4,10;8;7;6;6;6;4,60S ribosomal protein L22,RPL22,sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2;tr|K7ERI7|K7ERI7_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=1;tr|K7EMH1|K7EMH1_HUMAN 60S ribosomal protein L22 (Fragment) OS=Homo sapien,13,10,86.7,128
SPR,-0.5828091671,0.0349951886498376,0,P35270,P35270,4,4,4,Sepiapterin reductase,SPR,sp|P35270|SPRE_HUMAN Sepiapterin reductase OS=Homo sapiens OX=9606 GN=SPR PE=1 SV=1,4,4,22.2,261
MYH9,0.0169083365,0.900042771595557,0,P35579;Q5BKV1;A0A494C024;B1AH99;A0A2R8Y4C3;A0A0C4DFM8;P12883;P12882;P13533;Q9Y623;Q9UKX3;A7E2Y1;A1L2Z2;A0A087X0T3,P35579,101;6;3;2;2;2;1;1;1;1;1;1;1;1,101;6;3;2;2;2;1;1;1;1;1;1;1;1,85;6;0;2;0;0;0;0;0;0;0;0;0;0,Myosin-9,MYH9,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,101,85,51.5,1960
MYH10,0.9695668019,0.306308901623892,0,P35580;E7ERA5,P35580,15;1,5;1,4;1,Myosin-10,MYH10,sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,15,4,6.8,1976
COPB2,0.194956502,0.204440201480332,0,P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;D6R997;H0Y938,P35606,11;4;4;4;4;4;2,11;4;4;4;4;4;2,11;4;4;4;4;4;2,Coatomer subunit beta,COPB2,sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,11,11,16.2,906
PSMC2,-0.2510479354,0.0802252383270162,0,P35998;C9JLS9,P35998,14;2,14;2,14;2,26S protease regulatory subunit 7,PSMC2,sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,14,14,38.3,433
ATP5C1,-0.3062096643,0.268121187919175,0,P36542,P36542,12,12,12,"ATP synthase subunit gamma, mitochondrial",ATP5C1,"sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",12,12,39.3,298
CPOX,0.0936943902,0.550638099000759,0,P36551;H0YA22;D6RER6,P36551,18;6;2,18;6;2,18;6;2,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,"sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",18,18,37.7,454
RPL4,0.2317990672,0.168470698442518,0,P36578;H3BM89;H3BTP7;H3BU31,P36578;H3BM89,44;35;17;17,44;35;17;17,44;35;17;17,60S ribosomal protein L4,RPL4,sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5;tr|H3BM89|H3BM89_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=1,44,44,68.4,427
DLST,-0.0221216257,0.876809431117634,0,P36957;Q86SW4;H0YJF9;G3V5M3;G3V3F0,P36957,9;3;1;1;1,9;3;1;1;1,9;3;1;1;1,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,"sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",9,9,22.3,453
SRP14,-0.1530608077,0.329094017287008,0,P37108;H0YLA2,P37108;H0YLA2,6;3,6;3,6;3,Signal recognition particle 14 kDa protein,SRP14,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,6,6,46.3,136
TAGLN2,0.006399022,0.959134371080108,0,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,21;19;1;1,21;19;1;1,21;19;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,21,21,74.9,199
ETFB,-0.4505536664,0.102108662628812,0,P38117;M0QY67,P38117,8;3,8;3,8;3,Electron transfer flavoprotein subunit beta,ETFB,sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,8,8,33.7,255
RBMX;RBMXL1,-0.1950596073,0.494858480759909,0,P38159;H3BT71;H0Y6E7;Q96E39;H3BR27;H3BUY5;A0A1B0GUK8;O75526;H3BNC1;Q8N7X1,P38159;H3BT71;H0Y6E7;Q96E39;H3BR27,17;15;14;10;9;6;5;4;4;1,17;15;14;10;9;6;5;4;4;1,17;15;14;10;9;6;5;4;4;1,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA binding motif protein, X-linked-like-1",RBMX;RBMXL1,"sp|P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;tr|H3BT71|H3BT71_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=1;tr|H0Y6E7|H0Y6E7_HUMAN RNA-binding motif protein",17,17,46.3,391
ATP6V1A,-0.4776061315,0.0191092234886929,0,P38606;C9JVW8;C9JA17;F8WDJ3,P38606,16;5;4;1,16;5;4;1,16;5;4;1,V-type proton ATPase catalytic subunit A,ATP6V1A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,16,16,36.5,617
HSPA9,0.0028428349,0.980682356526152,0,P38646;A0A3B3ITI4;D6RJI2;D6RA73;H0YBG6;H0Y8S0;A0A3B3ITN1,P38646,44;14;11;8;6;2;1,44;14;11;8;6;2;1,44;14;11;8;6;2;1,"Stress-70 protein, mitochondrial",HSPA9,"sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",44,44,53.5,679
EIF4A3,-0.0205367136,0.903921114466699,0,P38919;I3L3H2,P38919;I3L3H2,22;19,19;16,19;16,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4;tr|I3L3H2|I3L3H2_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,22,19,48.2,411
RPS19,0.1619265529,0.316657934365418,0,P39019;M0R2L9;M0QYF7;M0R140;A0A075B6E2,P39019;M0R2L9;M0QYF7;M0R140,18;11;11;11;5,18;11;11;11;5,18;11;11;11;5,40S ribosomal protein S19,RPS19,sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2;tr|M0R2L9|M0R2L9_HUMAN 40S ribosomal protein S19 (Fragment) OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=1;tr|M0QYF7|M0QYF7_HUMAN 40S ribosomal protein S19 (Fragment) OS=,18,18,73.8,145
RPL3,0.0864364848,0.576767259578074,0,P39023;G5E9G0;B5MCW2;H7C422;H7C3M2;F8WCR1;Q92901,P39023;G5E9G0;B5MCW2;H7C422,32;30;20;17;12;6;4,32;30;20;17;12;6;4,32;30;20;17;12;6;4,60S ribosomal protein L3,RPL3,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2;tr|G5E9G0|G5E9G0_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=1;tr|B5MCW2|B5MCW2_HUMAN 60S ribosomal protein L3 (Fragment) OS=Homo sapiens OX=9,32,32,58.3,403
FEN1,-0.3202983284,0.0912091491075359,0,P39748;I3L3E9;F5H1Y3,P39748,16;7;6,16;7;6,16;7;6,Flap endonuclease 1,FEN1,sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,16,16,42.1,380
CCT6A,-0.0888467358,0.505106308588593,0,P40227,P40227,37,37,32,T-complex protein 1 subunit zeta,CCT6A,sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,37,32,64.2,531
RPL13A;RPL13a,0.1066326558,0.469678686314057,0,P40429;M0QYS1;Q8J015;Q6NVV1;M0QZU1;A0A096LPE0,P40429;M0QYS1;Q8J015,24;22;14;7;3;3,24;22;14;7;3;3,24;22;14;7;3;3,60S ribosomal protein L13a,RPL13A;RPL13a,sp|P40429|RL13A_HUMAN 60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2;tr|M0QYS1|M0QYS1_HUMAN 60S ribosomal protein L13a (Fragment) OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2;tr|Q8J015|Q8J015_HUMAN 60S ribosomal protein L13a OS=Homo ,24,24,65,203
MDH1,-0.1337918272,0.332688406000252,0,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51;C9JRL4;C9JLV6,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51,15;14;10;10;8;7;2,15;14;10;10;8;7;2,15;14;10;10;8;7;2,"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase",MDH1,"sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;tr|A0A5K1VW95|A0A5K1VW95_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1;tr|B9A041|B9A041_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo ",15,15,44.6,334
MDH2,0.0297405049,0.818560110897517,0,P40926;G3XAL0,P40926;G3XAL0,34;26,34;26,34;26,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",MDH2,"sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;tr|G3XAL0|G3XAL0_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=1",34,34,76.9,338
RFC3,-1.7611145687,7.7523408461832e-05,1,P40938;A0A087X270,P40938,3;1,3;1,3;1,Replication factor C subunit 3,RFC3,sp|P40938|RFC3_HUMAN Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,3,3,14,356
EIF2S3;EIF2S3L,0.0039030192,0.975965387261607,0,P41091;Q2VIR3;H7BZU1,P41091;Q2VIR3,18;14;8,18;14;8,18;14;8,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,EIF2S3;EIF2S3L,sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,18,18,38.8,472
GARS,0.6015860588,0.0103252253701988,0,P41250,P41250,18,18,18,Glycine--tRNA ligase,GARS,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,18,18,32.6,739
IARS,0.2645443121,0.104948331581666,0,P41252;J3KR24;A0A0A0MSX9;Q5TCD1;Q5TCC6,P41252;J3KR24;A0A0A0MSX9,26;25;25;4;1,26;25;25;4;1,26;25;25;4;1,"Isoleucine--tRNA ligase, cytoplasmic",IARS,"sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2;tr|J3KR24|J3KR24_HUMAN Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=1;tr|A0A0A0MSX9|A0A0A0MSX9_HUMAN Isoleucine--tRNA liga",26,26,22.7,1262
ECI1;DCI,-0.1395688768,0.274337978805569,0,P42126;Q96DC0;H3BS70,P42126;Q96DC0;H3BS70,10;8;5,10;8;5,10;8;5,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1;DCI,"sp|P42126|ECI1_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1;tr|Q96DC0|Q96DC0_HUMAN DCI protein OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1;tr|H3BS70|H3BS70_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial (Fragme",10,10,36.4,302
TMPO,0.3889233322,0.287313033519902,0,P42167;G5E972;H0YJH7,P42167;G5E972,11;9;5,11;9;5,6;4;3,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin",TMPO,"sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;tr|G5E972|G5E972_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=1",11,6,34.4,454
SKIV2L2,-0.0027523099,0.983283762877622,0,P42285,P42285,9,9,9,Superkiller viralicidic activity 2-like 2,SKIV2L2,sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,9,9,9.6,1042
