PHIP_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PRCP,-0.2082736215,0.111445168323222,0,P42785;E9PNF7;E9PLY4;E9PQB5;E9PL85;E9PNJ1;E9PQN3;E9PKN6;E9PIG4,P42785;E9PNF7,3;2;1;1;1;1;1;1;1,3;2;1;1;1;1;1;1;1,3;2;1;1;1;1;1;1;1,Lysosomal Pro-X carboxypeptidase,PRCP,sp|P42785|PCP_HUMAN Lysosomal Pro-X carboxypeptidase OS=Homo sapiens OX=9606 GN=PRCP PE=1 SV=1;tr|E9PNF7|E9PNF7_HUMAN Lysosomal Pro-X carboxypeptidase (Fragment) OS=Homo sapiens OX=9606 GN=PRCP PE=1 SV=1,3,3,8.3,496
MSH2,-0.8261693689,0.131102478377625,0,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8,8;7;7;7;7;6,8;7;7;7;7;6,8;7;7;7;7;6,DNA mismatch repair protein Msh2,MSH2,sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8YFH0|A0A2R8YFH0_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|E9PHA6|E9PHA6_HUMAN DNA mismatch repair protein OS=Homo ,8,8,11.3,934
GPD2,-0.2170118074,0.310091995645872,0,P43304;F5GYK7;E9PDK4;E7EM56,P43304,15;6;1;1,15;6;1;1,15;6;1;1,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GPD2,"sp|P43304|GPDM_HUMAN Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3",15,15,28.3,727
MAGEA4,-0.2100936232,0.130669404168281,0,P43358;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43361;P43363;P43355;P43362;O60732;O15480;A2A368;A8MXT2;Q3SYA6;A0A0A0MSA3,P43358,18;6;6;6;6;5;3;2;2;1;1;1;1;1;1,18;6;6;6;6;5;3;2;2;1;1;1;1;1;1,17;6;6;6;6;4;2;1;2;0;0;0;0;0;0,Melanoma-associated antigen 4,MAGEA4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,18,17,37.5,317
RANBP1,0.1221194065,0.375202479296741,0,P43487;F6WQW2;C9JJ34;C9JXG8;C9JGV6;C9JDM3;C9JIC6,P43487;F6WQW2;C9JJ34;C9JXG8;C9JGV6;C9JDM3,10;9;8;7;7;5;3,10;9;8;7;7;5;3,10;9;8;7;7;5;3,Ran-specific GTPase-activating protein,RANBP1,sp|P43487|RANG_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1;tr|F6WQW2|F6WQW2_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1;tr|C9JJ34|C9JJ34_HUMAN Ran-specific GTPase-act,10,10,60.2,201
NAMPT,0.3344220673,0.135231243550747,0,P43490;A0A0C4DFS8;C9JF35;C9JG65,P43490;A0A0C4DFS8,13;8;3;3,13;8;3;3,13;8;3;3,Nicotinamide phosphoribosyltransferase,NAMPT,sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1;tr|A0A0C4DFS8|A0A0C4DFS8_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,13,13,36.5,491
PSMC4,-0.3432318056,0.110408857573585,0,P43686,P43686,13,13,13,26S protease regulatory subunit 6B,PSMC4,sp|P43686|PRS6B_HUMAN 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,13,13,40.9,418
TSFM,0.4355251828,0.031138542407853,0,P43897;C9JT21;C9JG32;F8VPA7;F8VS27,P43897,5;2;1;1;1,5;2;1;1;1,5;2;1;1;1,"Elongation factor Ts, mitochondrial",TSFM,"sp|P43897|EFTS_HUMAN Elongation factor Ts, mitochondrial OS=Homo sapiens OX=9606 GN=TSFM PE=1 SV=2",5,5,30.8,325
VDAC2,0.2081256552,0.138117997636976,0,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,16;15;11;11;6,16;15;11;11;6,16;15;11;11;6,Voltage-dependent anion-selective channel protein 2,VDAC2,sp|P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2;tr|A0A0A0MR02|A0A0A0MR02_HUMAN Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=1;tr,16,16,57.8,294
CBX5,-0.615529529,0.00450924695018962,0,P45973;F8VNY3,P45973,7;1,6;1,6;1,Chromobox protein homolog 5,CBX5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,7,6,35.1,191
USP5,-0.1466671438,0.400015019454772,0,P45974;F5H571,P45974,26;2,26;2,24;2,Ubiquitin carboxyl-terminal hydrolase 5,USP5,sp|P45974|UBP5_HUMAN Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,26,24,41.7,858
RANGAP1,-0.3920249102,0.0474757641846045,0,P46060;H0Y4Q3;B0QYT5;B0QYT4;B0QYT6,P46060,28;13;4;4;3,28;13;4;4;3,28;13;4;4;3,Ran GTPase-activating protein 1,RANGAP1,sp|P46060|RAGP1_HUMAN Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,28,28,58.3,587
RECQL,-0.183330899,0.160809385809574,0,P46063;F5H2L2;F8WA66;F8WD97,P46063,13;2;2;2,13;2;2;2,13;2;2;2,ATP-dependent DNA helicase Q1,RECQL,sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,13,13,27.3,649
NOP2,0.3606178009,0.0289495523396315,0,P46087;F5GYR3;F5GWB7;F5H709;F5H5X6;F5H359;F5H8G6,P46087,24;6;3;3;3;1;1,24;6;3;3;3;1;1,24;6;3;3;3;1;1,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,24,24,33.1,812
RPL27A,0.3838324374,0.0480785916941552,0,P46776;E9PJD9;E9PLL6;E9PLX7,P46776;E9PJD9;E9PLL6,9;8;7;4,9;8;7;4,9;8;7;4,60S ribosomal protein L27a,RPL27A,sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;tr|E9PJD9|E9PJD9_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1;tr|E9PLL6|E9PLL6_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=,9,9,48.6,148
RPL5,0.416061302,0.0251472187395039,0,P46777;A0A2R8Y6J3;Q5T7N0;A0A2R8Y4A2;R4GNJ2,P46777;A0A2R8Y6J3,19;18;9;6;1,19;18;9;6;1,19;18;9;6;1,60S ribosomal protein L5,RPL5,sp|P46777|RL5_HUMAN 60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3;tr|A0A2R8Y6J3|A0A2R8Y6J3_HUMAN 60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1,19,19,51.5,297
RPL21,0.3701192426,0.0316440035114499,0,P46778;M0R181;G3V1B3;M0R3I5,P46778;M0R181;G3V1B3,12;9;7;2,12;9;7;2,12;9;7;2,60S ribosomal protein L21,RPL21,sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2;tr|M0R181|M0R181_HUMAN 60S ribosomal protein L21 (Fragment) OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=1;tr|G3V1B3|G3V1B3_HUMAN 60S ribosomal protein L21 OS=Homo sapien,12,12,57.5,160
RPS9,0.4580281809,0.0186996826991002,0,P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,23;17;17;4;4,23;17;17;4;4,23;17;17;4;4,40S ribosomal protein S9,RPS9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,23,23,57.7,194
RPS10,0.1543061727,0.303697662814591,0,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435;Q9NQ39,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6,11;8;8;8;8;8;5;3,11;8;8;8;8;8;5;3,11;8;8;8;8;8;5;3,40S ribosomal protein S10,RPS10,sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1;tr|A0A2R8Y6L3|A0A2R8Y6L3_HUMAN RPS10-NUDT3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1;tr|F6U211|F6U211_HUMAN 40S ribosomal protein S10 OS,11,11,63.6,165
IQGAP1,-0.1808578949,0.141333236286404,0,P46940;H0YLE8;A0A0J9YXZ5;Q13576;Q86VI3;A0A087WWP1;E9PDT6;E7EWC2;F5H7S7;F2Z2E2,P46940;H0YLE8;A0A0J9YXZ5,20;16;10;1;1;1;1;1;1;1,20;16;10;1;1;1;1;1;1;1,20;16;10;1;1;1;1;1;1;1,Ras GTPase-activating-like protein IQGAP1,IQGAP1,sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|H0YLE8|H0YLE8_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|A0A0J9YXZ5|A0A0J9YXZ5_HUMAN Ras GTPa,20,20,16.6,1657
STT3A,0.1671883926,0.170623376119373,0,P46977;A0A0C4DH80;E9PN73;E9PI32,P46977;A0A0C4DH80;E9PN73;E9PI32,6;3;3;3,5;2;2;2,5;2;2;2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A,sp|P46977|STT3A_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2;tr|A0A0C4DH80|A0A0C4DH80_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Fragm,6,5,5.4,705
CAPZA2,-0.1086570121,0.60385064450789,0,P47755;C9JUG7;F8W9N7;A0A0D9SET8,P47755;C9JUG7;F8W9N7,5;3;3;2,3;2;2;1,3;2;2;1,F-actin-capping protein subunit alpha-2,CAPZA2,sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;tr|C9JUG7|C9JUG7_HUMAN F-actin-capping protein subunit alpha OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=1;tr|F8W9N7|F8W9N7_HUMAN F-actin-capping protei,5,3,24.1,286
CAPZB,-0.0505466946,0.647151705034686,0,P47756;B1AK87;B1AK88;B1AK85,P47756;B1AK87;B1AK88;B1AK85,10;9;9;7,10;9;9;7,10;9;9;7,F-actin-capping protein subunit beta,CAPZB,sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4;tr|B1AK87|B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1;tr|B1AK88|B1AK88_HUMAN F-actin-capping protein subu,10,10,49.5,277
EIF1AX;EIF1AY,0.2105458344,0.476329773320021,0,P47813;X6RAC9;O14602;A6NJH9,P47813;X6RAC9;O14602,4;3;2;1,4;3;2;1,4;3;2;1,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal",EIF1AX;EIF1AY,"sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;tr|X6RAC9|X6RAC9_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=1;sp|O1",4,4,31.2,144
QARS,0.0414370466,0.768342242365214,0,P47897;A0A1B0GVU9;B4DDN1;H7C0R3;A0A0U1RQT0;C9J165;A0A0U1RQE9;A0A0U1RQX5;A0A0U1RQM8;A0A0U1RQQ5;A0A0U1RQU2;A0A0U1RRI9;A0A1B0GTT3;A0A0U1RRC8;A0A0U1RQX9;A0A0U1RR66;F2Z2V6;A0A0U1RR79;A0A0U1RQC3,P47897;A0A1B0GVU9;B4DDN1,26;23;19;10;8;8;7;7;7;6;6;6;6;5;4;2;2;1;1,26;23;19;10;8;8;7;7;7;6;6;6;6;5;4;2;2;1;1,21;19;19;10;3;4;2;7;2;6;1;1;6;5;4;2;1;1;1,Glutamine--tRNA ligase,QARS,sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|A0A1B0GVU9|A0A1B0GVU9_HUMAN Glutamine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|B4DDN1|B4DDN1_HUMAN Glutamine--tRNA ligase OS=Homo sapiens ,26,21,37.5,775
UQCRFS1;UQCRFS1P1,-0.086553028,0.681331583959905,0,P47985;P0C7P4,P47985;P0C7P4,8;7,8;7,8;7,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",UQCRFS1;UQCRFS1P1,"sp|P47985|UCRI_HUMAN Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRFS1 PE=1 SV=2;sp|P0C7P4|UCRIL_HUMAN Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens OX=9606 GN=UQCRFS1P1 PE=5 SV=1",8,8,37.6,274
ATP5O,0.0380399222,0.776460263019737,0,P48047;A0A494C0K9;H7C0C1;H7C068;H7C086,P48047;A0A494C0K9;H7C0C1,14;9;9;4;3,14;9;9;4;3,14;9;9;4;3,"ATP synthase subunit O, mitochondrial",ATP5O,"sp|P48047|ATPO_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1;tr|A0A494C0K9|A0A494C0K9_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=4 SV=1;tr|H7C0C1|H7C0C1_HUMAN Uncharacterized p",14,14,73.2,213
ARCN1,-0.0739836955,0.504563225972718,0,P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,9;7;5;3,9;7;5;3,9;7;5;3,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,9,9,19.6,511
LSS,-0.800150692,0.0764955830382058,0,P48449;A0A0G2JQD0;C9J315;A0A0G2JS81;H7C3A5,P48449;A0A0G2JQD0,13;10;4;1;1,13;10;4;1;1,13;10;4;1;1,Lanosterol synthase,LSS,sp|P48449|LSS_HUMAN Lanosterol synthase OS=Homo sapiens OX=9606 GN=LSS PE=1 SV=1;tr|A0A0G2JQD0|A0A0G2JQD0_HUMAN Lanosterol synthase (Fragment) OS=Homo sapiens OX=9606 GN=LSS PE=1 SV=1,13,13,23,732
CCT5,-0.0172296129,0.883473160516474,0,P48643;E7ENZ3;B7ZAR1;E9PCA1;D6RIZ7;H0Y914,P48643;E7ENZ3;B7ZAR1;E9PCA1,41;37;37;37;3;2,41;37;37;37;3;2,41;37;37;37;3;2,T-complex protein 1 subunit epsilon,CCT5,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|E7ENZ3|E7ENZ3_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|B7ZAR1|B7ZAR1_HUMAN T-complex protein 1 subunit epsil,41,41,81,541
ALDH9A1,0.1255068557,0.420173146212604,0,P49189,P49189,9,9,9,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3,9,9,26.7,494
RPL34,0.5963915439,0.00900462040787628,0,P49207,P49207,7,7,7,60S ribosomal protein L34,RPL34,sp|P49207|RL34_HUMAN 60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,7,7,22.2,117
RPIA,0.6182656443,0.0795825157045555,0,P49247,P49247,3,3,3,Ribose-5-phosphate isomerase,RPIA,sp|P49247|RPIA_HUMAN Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3,3,3,14.5,311
LMAN1,-0.0629164289,0.672987339462842,0,P49257,P49257,7,7,7,Protein ERGIC-53,LMAN1,sp|P49257|LMAN1_HUMAN Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2,7,7,22.7,510
NASP,-0.3410279018,0.0287188569081821,0,P49321;Q5T624;E9PI86;E9PPQ8;H0YDS9;E9PRH9;H0YF33;E9PPR5,P49321;Q5T624;E9PI86,14;8;7;6;6;5;5;4,14;8;7;6;6;5;5;4,14;8;7;6;6;5;5;4,Nuclear autoantigenic sperm protein,NASP,sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2;tr|Q5T624|Q5T624_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=1;tr|E9PI86|E9PI86_HUMAN Nuclear autoantigenic sperm prote,14,14,22.7,788
FASN,-0.3287536081,0.0440755545281851,0,P49327;A0A0U1RQF0;A0A0U1RRG3;A0A1B0GTR5;J3KTF0,P49327;A0A0U1RQF0,115;113;6;1;1,115;113;6;1;1,115;113;6;1;1,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3;tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=1,115,115,56.1,2511
CCT3,-0.0345168645,0.77832213720686,0,P49368;B4DUR8;E9PRC8;Q5SZX6;E9PQ35;E9PM09;Q5SZX9;Q5SZW8,P49368;B4DUR8,30;28;12;11;7;7;6;6,30;28;12;11;7;7;6;6,30;28;12;11;7;7;6;6,T-complex protein 1 subunit gamma,CCT3,sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4;tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,30,30,58.7,545
TUFM,-0.0284922291,0.796947024935829,0,P49411;H3BNU3,P49411,27;2,27;2,27;2,"Elongation factor Tu, mitochondrial",TUFM,"sp|P49411|EFTU_HUMAN Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",27,27,73.2,452
SRP9;DKFZp564M2223,-0.0445503915,0.69956557293897,0,P49458;Q6P2S0;Q659G3;E9PE20,P49458;Q6P2S0;Q659G3;E9PE20,6;4;4;4,6;4;4;4,6;4;4;4,Signal recognition particle 9 kDa protein,SRP9;DKFZp564M2223,sp|P49458|SRP09_HUMAN Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2;tr|Q6P2S0|Q6P2S0_HUMAN SRP9 protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=1;tr|Q659G3|Q659G3_HUMAN SRP9 protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1,6,6,51.2,86
AARS,0.1944782538,0.229348368379509,0,P49588;H3BPK7,P49588,23;9,23;9,23;9,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",23,23,33.5,968
SARS,0.2485789376,0.123229998024596,0,P49591;Q5T5C7,P49591;Q5T5C7,8;8,8;8,8;8,"Serine--tRNA ligase, cytoplasmic",SARS,"sp|P49591|SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3;tr|Q5T5C7|Q5T5C7_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=1",8,8,17.9,514
PSMB2,0.0889701124,0.625478766412827,0,P49721;A0A087WVV1,P49721,9;3,9;3,9;3,Proteasome subunit beta type-2,PSMB2,sp|P49721|PSB2_HUMAN Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,9,9,48.8,201
MCM2,-0.9229046584,0.0010499995150389,0,P49736;H0Y8E6;H7C4N9;C9J013;C9JZ21;F8WDM3,P49736;H0Y8E6,25;23;1;1;1;1,25;23;1;1;1;1,25;23;1;1;1;1,DNA replication licensing factor MCM2,MCM2,sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4;tr|H0Y8E6|H0Y8E6_HUMAN DNA helicase (Fragment) OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=1,25,25,34.2,904
ACADVL,-0.309393634,0.0448284985791737,0,P49748;K7EQP4;G3V1M7;J3QRJ8;J3KSR4;K7EJW8;J3KS89;J3QKU9;K7EMF8,P49748,19;6;5;4;4;3;2;2;1,19;6;5;4;4;3;2;2;1,19;6;5;4;4;3;2;2;1,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,"sp|P49748|ACADV_HUMAN Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1",19,19,37.4,655
TMED10,-0.0009834019,0.993583544176878,0,P49755;G3V2K7,P49755;G3V2K7,8;4,8;4,8;4,Transmembrane emp24 domain-containing protein 10,TMED10,sp|P49755|TMEDA_HUMAN Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2;tr|G3V2K7|G3V2K7_HUMAN Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=1,8,8,31.1,219
HINT1,0.058219128,0.735673104293645,0,P49773;D6REP8;D6RE99;D6RD60;D6RC06,P49773;D6REP8;D6RE99;D6RD60,8;4;4;4;2,8;4;4;4;2,8;4;4;4;2,Histidine triad nucleotide-binding protein 1,HINT1,sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2;tr|D6REP8|D6REP8_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=1;tr|D6RE99|D6RE99_HUMAN Histidine tr,8,8,90.5,126
RANBP2,0.0576582264,0.625424746423569,0,P49792;Q99666;O14715;J3KQ37;F8W705;F8WBP7,P49792,17;6;6;6;3;1,17;6;6;6;3;1,11;0;0;0;0;1,E3 SUMO-protein ligase RanBP2,RANBP2,sp|P49792|RBP2_HUMAN E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,17,11,7.3,3224
GMPS,0.0280921667,0.841845679595504,0,P49915,P49915,16,16,16,GMP synthase [glutamine-hydrolyzing],GMPS,sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,16,16,41,693
IDH3A,-0.8775350806,0.156769164552366,0,P50213;H0YKD0;H0YLI6;H0YMU3;H0YL72;H0YNF5;H0YM64;H0YM46,P50213;H0YKD0;H0YLI6;H0YMU3;H0YL72,9;5;5;5;5;2;1;1,9;5;5;5;5;2;1;1,9;5;5;5;5;2;1;1,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,"sp|P50213|IDH3A_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1;tr|H0YKD0|H0YKD0_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=IDH3A PE=1",9,9,25.1,366
GDI2,-0.1080961814,0.381592409619938,0,P50395;Q5SX87;Q5SX91;V9GYF8;Q5SX90;Q5SX86;V9GYJ7,P50395;Q5SX87,27;16;10;8;8;8;7,27;16;10;8;8;8;7,18;9;4;5;5;5;4,Rab GDP dissociation inhibitor beta,GDI2,sp|P50395|GDIB_HUMAN Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2;tr|Q5SX87|Q5SX87_HUMAN Rab GDP dissociation inhibitor (Fragment) OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=1,27,18,76.2,445
