Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q53EL6;Q5VZS7,Q53EL6,5;1,5;1,5;1,Programmed cell death protein 4,PDCD4,sp|Q53EL6|PDCD4_HUMAN Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,5.0,5.0,17.9,27.2178952964147,24.232570825357,25.447772868487,25.3062255488873
O14737;K7EQA1;K7ESJ4;Q3HM38;X6R2P6,O14737;K7EQA1,6;5;2;1;1,6;5;2;1;1,6;5;2;1;1,Programmed cell death protein 5,PDCD5,sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3;tr|K7EQA1|K7EQA1_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=1,6.0,6.0,45.6,27.1734087528888,26.8963137394307,28.3840569312083,26.624916129264
Q8WUM4;A0A3B3IT07;F8WEQ7;F8WBR8;F8WDK9;C9IZF9,Q8WUM4,8;3;1;1;1;1,8;3;1;1;1;1,8;3;1;1;1;1,Programmed cell death 6-interacting protein,PDCD6IP,sp|Q8WUM4|PDC6I_HUMAN Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,8.0,8.0,10.6,4.3500727725963,4.5358450090929,25.8467309028962,26.2603332416082
Q13371,Q13371,4,4,4,Phosducin-like protein,PDCL,sp|Q13371|PHLP_HUMAN Phosducin-like protein OS=Homo sapiens OX=9606 GN=PDCL PE=1 SV=3,4.0,4.0,13.0,4.3500727725963,4.5358450090929,24.7766069232908,25.464041386167
O76074;G5E9C5,O76074;G5E9C5,2;1,2;1,2;1,"cGMP-specific 3,5-cyclic phosphodiesterase",PDE5A,"sp|O76074|PDE5A_HUMAN cGMP-specific 3,5-cyclic phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE5A PE=1 SV=2;tr|G5E9C5|G5E9C5_HUMAN Phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE5A PE=1 SV=1",2.0,2.0,2.5,4.3500727725963,4.5358450090929,24.9649475184321,29.6597612048222
P30101;F8WBS6;F8WBW5,P30101,4;1;1,4;1;1,4;1;1,Protein disulfide-isomerase A3,PDIA3,sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,4.0,4.0,12.9,25.5825341268847,26.3546211451554,21.1306912113378,22.3696849604633
Q15084,Q15084,4,4,4,Protein disulfide-isomerase A6,PDIA6,sp|Q15084|PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,4.0,4.0,11.8,26.1971367362479,23.3442146239793,23.7317954859166,23.6160507135623
O00151,O00151,3,3,3,PDZ and LIM domain protein 1,PDLIM1,sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,3.0,3.0,22.2,25.5794586603834,25.8728861970751,4.38176407895191,4.39969772430431
Q53GG5;A0A2U3TZH4;A0A087WYF8;D6RAF1;A0A2R8Y6L7,Q53GG5;A0A2U3TZH4;A0A087WYF8;D6RAF1;A0A2R8Y6L7,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,PDZ and LIM domain protein 3,PDLIM3,sp|Q53GG5|PDLI3_HUMAN PDZ and LIM domain protein 3 OS=Homo sapiens OX=9606 GN=PDLIM3 PE=1 SV=1;tr|A0A2U3TZH4|A0A2U3TZH4_HUMAN PDZ and LIM domain protein 3 OS=Homo sapiens OX=9606 GN=PDLIM3 PE=1 SV=1;tr|A0A087WYF8|A0A087WYF8_HUMAN PDZ and LIM domain protein,2.0,2.0,9.1,4.3500727725963,4.5358450090929,25.1498460230947,25.2187453210558
P50479;C9J542,P50479,19;7,19;7,19;7,PDZ and LIM domain protein 4,PDLIM4,sp|P50479|PDLI4_HUMAN PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2,19.0,19.0,76.7,30.7564477765116,31.1611685080649,32.8221938549904,32.7264717503355
Q96HC4;H0Y8Y3;A0A0A0MSP3;H0YBI4;A0A0D9SFR4;H0Y929;D6RAA1;A0A0D9SFW3;D6RGG6,Q96HC4;H0Y8Y3,23;14;9;7;4;3;1;1;1,23;14;9;7;4;3;1;1;1,23;14;9;7;4;3;1;1;1,PDZ and LIM domain protein 5,PDLIM5,sp|Q96HC4|PDLI5_HUMAN PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5;tr|H0Y8Y3|H0Y8Y3_HUMAN PDZ and LIM domain protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=1,23.0,23.0,50.0,23.8360526672256,24.6951926016461,30.2574361498996,30.1154520283564
Q9NR12;D6RH06;D6RF83;H7BYK4;D6RAN1,Q9NR12;D6RH06;D6RF83;H7BYK4,6;5;4;4;2,6;5;4;4;2,6;5;4;4;2,PDZ and LIM domain protein 7,PDLIM7,sp|Q9NR12|PDLI7_HUMAN PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1;tr|D6RH06|D6RH06_HUMAN PDZ and LIM domain protein 7 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1;tr|D6RF83|D6RF83_HUMAN PDZ and LIM domain protein 7 (F,6.0,6.0,16.2,25.3692036585212,23.3941444573664,27.0166957495375,27.0348563777362
Q29RF7;H0Y9L6;H0Y9L9,Q29RF7,24;4;3,24;4;3,22;4;2,Sister chromatid cohesion protein PDS5 homolog A,PDS5A,sp|Q29RF7|PDS5A_HUMAN Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,24.0,22.0,28.2,28.6706403126748,28.8220456623716,27.5611437630033,27.0866903716814
Q9NTI5;A9IYQ1,Q9NTI5,12;1,10;1,10;1,Sister chromatid cohesion protein PDS5 homolog B,PDS5B,sp|Q9NTI5|PDS5B_HUMAN Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,12.0,10.0,12.7,27.0804010147559,27.2410903974696,24.7429882209106,24.7826208864728
Q6P996;H3BND4,Q6P996;H3BND4,3;3,3;3,3;3,Pyridoxal-dependent decarboxylase domain-containing protein 1,PDXDC1,sp|Q6P996|PDXD1_HUMAN Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=2;tr|H3BND4|H3BND4_HUMAN Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=1,3.0,3.0,3.9,23.8697946309402,23.2069779653225,24.8577103520771,24.3417894112582
Q15121;B1AKZ5,Q15121;B1AKZ5,6;3,6;3,6;3,Astrocytic phosphoprotein PEA-15,PEA15,sp|Q15121|PEA15_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2;tr|B1AKZ5|B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=1,6.0,6.0,51.5,25.2379766463067,23.4131258500328,29.092675252175,28.6400317343963
Q9H792;H0YN99;H3BUZ5,Q9H792;H0YN99,20;12;5,20;12;5,20;12;5,Pseudopodium-enriched atypical kinase 1,PEAK1,sp|Q9H792|PEAK1_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=4;tr|H0YN99|H0YN99_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=1,20.0,20.0,15.6,4.3500727725963,4.5358450090929,28.1947438564667,28.0692770067938
Q8IZL8;C9JFV4;I3L1P4;I3L4M7;I3L445;E7EV54,Q8IZL8;C9JFV4,5;4;2;2;2;2,5;4;2;2;2;2,5;4;2;2;2;2,"Proline-, glutamic acid- and leucine-rich protein 1",PELP1,"sp|Q8IZL8|PELP1_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2;tr|C9JFV4|C9JFV4_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2",5.0,5.0,8.6,27.3343248488076,26.1833065948117,23.8816636634979,23.4775369384295
P12955;A0A494C194;K7ES25;A0A494C165,P12955;A0A494C194;K7ES25;A0A494C165,2;1;1;1,2;1;1;1,2;1;1;1,Xaa-Pro dipeptidase,PEPD,sp|P12955|PEPD_HUMAN Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3;tr|A0A494C194|A0A494C194_HUMAN Xaa-Pro dipeptidase (Fragment) OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=1;tr|K7ES25|K7ES25_HUMAN Xaa-Pro dipeptidase (Fragment) OS=Homo sapiens,2.0,2.0,8.9,4.3500727725963,4.5358450090929,24.5758863476618,25.5099639058186
O00541;B5MCF9;B3KXD6;H7C267;H7BYY8,O00541;B5MCF9;B3KXD6,29;29;19;5;3,29;29;19;5;3,29;29;19;5;3,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,29.0,29.0,44.4,31.5108845069042,31.7130102518293,29.4448224256574,29.13374138027
O75381;K7EK59,O75381,8;2,8;2,8;2,Peroxisomal membrane protein PEX14,PEX14,sp|O75381|PEX14_HUMAN Peroxisomal membrane protein PEX14 OS=Homo sapiens OX=9606 GN=PEX14 PE=1 SV=1,8.0,8.0,33.4,4.3500727725963,4.5358450090929,28.3320211096006,27.4253439777849
P50542;B4E0T2;J3KPV0;F5H3X7;F5H5C0;F5H432;F5GXX3;F5H205;F5H637;F5GZ41;F5H0L9;F5GYB4,P50542;B4E0T2;J3KPV0,15;14;8;4;4;3;3;3;3;2;2;2,15;14;8;4;4;3;3;3;3;2;2;2,15;14;8;4;4;3;3;3;3;2;2;2,Peroxisomal targeting signal 1 receptor,PEX5,sp|P50542|PEX5_HUMAN Peroxisomal targeting signal 1 receptor OS=Homo sapiens OX=9606 GN=PEX5 PE=1 SV=3;tr|B4E0T2|B4E0T2_HUMAN Peroxisomal targeting signal 1 receptor OS=Homo sapiens OX=9606 GN=PEX5 PE=1 SV=1;tr|J3KPV0|J3KPV0_HUMAN Peroxisomal targeting sig,15.0,15.0,33.8,24.8689129614744,25.3518310424479,27.5872066185588,27.7893629969957
Q9UHV9,Q9UHV9,5,5,5,Prefoldin subunit 2,PFDN2,sp|Q9UHV9|PFD2_HUMAN Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1,5.0,5.0,34.4,29.8525317238768,29.8805051734247,24.705301219932,24.429819436852
Q9NQP4;E9PQY2,Q9NQP4;E9PQY2,2;2,2;2,2;2,Prefoldin subunit 4,PFDN4,sp|Q9NQP4|PFD4_HUMAN Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1;tr|E9PQY2|E9PQY2_HUMAN Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,2.0,2.0,17.2,25.949290089094,24.6214827013076,4.38176407895191,4.39969772430431
Q99471;H3BPF6,Q99471;H3BPF6,10;7,10;7,7;5,Prefoldin subunit 5,PFDN5,sp|Q99471|PFD5_HUMAN Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2;tr|H3BPF6|H3BPF6_HUMAN Prefoldin subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=1,10.0,7.0,72.1,29.9693900347591,29.9277595644123,4.38176407895191,4.39969772430431
O15212,O15212,12,12,6,Prefoldin subunit 6,PFDN6,sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens OX=9606 GN=PFDN6 PE=1 SV=1,12.0,6.0,72.9,29.275553709455,28.8793808114652,4.38176407895191,4.39969772430431
O60825;Q16875;F2Z2I2;Q5W015;Q5VX20;A0A1W2PR17;P16118;F6RAZ1;I1Z9G3;Q16877;F6XNB3;A0A1W2PNV9;H0Y483;Q4VBA9;Q66S35,O60825,18;3;3;3;3;3;2;2;2;1;1;1;1;1;1,18;3;3;3;3;3;2;2;2;1;1;1;1;1;1,18;3;3;3;3;3;2;2;2;1;1;1;1;1;1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",PFKFB2,"sp|O60825|F262_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens OX=9606 GN=PFKFB2 PE=1 SV=2",18.0,18.0,38.2,24.85918062675,25.5517150666637,28.4094886999039,28.3799740043934
P17858,P17858,4,4,3,"ATP-dependent 6-phosphofructokinase, liver type",PFKL,"sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",4.0,3.0,7.6,4.3500727725963,4.5358450090929,25.6119491924283,25.065830587516
P35080;C9J712;C9J0J7;C9JQ45;G5E9Q6;C9J2N0,P35080;C9J712;C9J0J7;C9JQ45;G5E9Q6;C9J2N0,4;4;3;3;3;2,4;4;3;3;3;2,4;4;3;3;3;2,Profilin-2;Profilin,PFN2,sp|P35080|PROF2_HUMAN Profilin-2 OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=3;tr|C9J712|C9J712_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|C9J0J7|C9J0J7_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|C9JQ45|C9JQ45_HUMAN Profilin O,4.0,4.0,26.4,26.1807673720546,25.6215385948063,26.1627129322809,25.6633491889121
P18669;Q8N0Y7,P18669,10;4,10;4,6;1,Phosphoglycerate mutase 1,PGAM1,sp|P18669|PGAM1_HUMAN Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,10.0,6.0,51.6,27.2183573284574,25.5542646974918,27.5571313092905,27.992480618912
P00558,P00558,4,4,4,Phosphoglycerate kinase 1,PGK1,sp|P00558|PGK1_HUMAN Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,4.0,4.0,15.3,26.9881520976905,29.8118255319016,4.38176407895191,4.39969772430431
Q9NXJ5;U3KQ24;U3KQG9;S4R2Y9,Q9NXJ5;U3KQ24;U3KQG9;S4R2Y9,2;1;1;1,2;1;1;1,2;1;1;1,Pyroglutamyl-peptidase 1,PGPEP1,sp|Q9NXJ5|PGPI_HUMAN Pyroglutamyl-peptidase 1 OS=Homo sapiens OX=9606 GN=PGPEP1 PE=1 SV=1;tr|U3KQ24|U3KQ24_HUMAN Pyroglutamyl-peptidase 1 OS=Homo sapiens OX=9606 GN=PGPEP1 PE=1 SV=2;tr|U3KQG9|U3KQG9_HUMAN Pyroglutamyl-peptidase 1 OS=Homo sapiens OX=9606 GN,2.0,2.0,18.7,4.3500727725963,4.5358450090929,23.0550195703404,24.2025459482337
O15173;U3KQM0;O00264,O15173;U3KQM0,10;6;1,10;6;1,9;5;1,Membrane-associated progesterone receptor component 2,PGRMC2,sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1;tr|U3KQM0|U3KQM0_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1,10.0,9.0,33.2,26.6847184481218,26.5509522326944,29.7286139814864,29.1993150259376
Q8IZ21;A0A0J9YVR0,Q8IZ21,10;2,10;2,10;2,Phosphatase and actin regulator 4,PHACTR4,sp|Q8IZ21|PHAR4_HUMAN Phosphatase and actin regulator 4 OS=Homo sapiens OX=9606 GN=PHACTR4 PE=1 SV=1,10.0,10.0,20.2,4.3500727725963,4.5358450090929,28.0854752147,27.9459796585243
Q9H814,Q9H814,19,19,19,Phosphorylated adapter RNA export protein,PHAX,sp|Q9H814|PHAX_HUMAN Phosphorylated adapter RNA export protein OS=Homo sapiens OX=9606 GN=PHAX PE=1 SV=1,19.0,19.0,50.3,30.4440127604271,30.5434233232122,28.0476005627713,28.5132964107787
P35232;C9JZ20;E7ESE2;E9PCW0;C9JW96;D6RBK0,P35232;C9JZ20;E7ESE2;E9PCW0;C9JW96,3;3;3;3;3;1,3;3;3;3;3;1,3;3;3;3;3;1,Prohibitin,PHB,sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|C9JZ20|C9JZ20_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|E7ESE2|E7ESE2_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|E9PCW0|E9,3.0,3.0,12.1,25.7509301986443,25.6156326594312,4.38176407895191,4.39969772430431
Q99623;J3KPX7;F5GY37;F5H3X6;F5GWA7;F5H0C5;F5H2D2,Q99623;J3KPX7;F5GY37;F5H3X6;F5GWA7,6;6;5;4;3;2;1,6;6;5;4;3;2;1,6;6;5;4;3;2;1,Prohibitin-2,PHB2,sp|Q99623|PHB2_HUMAN Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2;tr|J3KPX7|J3KPX7_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2;tr|F5GY37|F5GY37_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=1;tr|F5H3X6|F5H3X6_HUMAN Prohi,6.0,6.0,28.8,26.5708730970828,26.7189148866007,24.6695040748555,23.6361085872267
P78364;J3KQH6,P78364;J3KQH6,7;7,7;7,7;7,Polyhomeotic-like protein 1,PHC1,sp|P78364|PHC1_HUMAN Polyhomeotic-like protein 1 OS=Homo sapiens OX=9606 GN=PHC1 PE=1 SV=3;tr|J3KQH6|J3KQH6_HUMAN Polyhomeotic-like protein 1 OS=Homo sapiens OX=9606 GN=PHC1 PE=1 SV=1,7.0,7.0,18.0,27.6382372515039,27.8032890316454,24.8880434683007,24.0018720199549
Q8NDX5;E7EX82;H7C4H9;Q8IXK0;H7C528;C9JAU4;B3KPJ4;A0A0A0MSI2,Q8NDX5;E7EX82,10;9;2;1;1;1;1;1,10;9;2;1;1;1;1;1,10;9;2;1;1;1;1;1,Polyhomeotic-like protein 3,PHC3,sp|Q8NDX5|PHC3_HUMAN Polyhomeotic-like protein 3 OS=Homo sapiens OX=9606 GN=PHC3 PE=1 SV=1;tr|E7EX82|E7EX82_HUMAN Polyhomeotic-like protein 3 OS=Homo sapiens OX=9606 GN=PHC3 PE=1 SV=1,10.0,10.0,15.6,27.9150182600643,28.1723122082998,4.38176407895191,4.39969772430431
Q8WUB8;S5FZ81,Q8WUB8;S5FZ81,3;3,3;3,3;3,PHD finger protein 10,PHF10,sp|Q8WUB8|PHF10_HUMAN PHD finger protein 10 OS=Homo sapiens OX=9606 GN=PHF10 PE=1 SV=3;tr|S5FZ81|S5FZ81_HUMAN PHD finger protein 10 OS=Homo sapiens OX=9606 GN=PHF10 PE=1 SV=1,3.0,3.0,10.0,25.330739663144,25.0421823748251,4.38176407895191,4.39969772430431
Q96QT6;C9J9G2;K7ERZ4,Q96QT6,5;2;1,5;2;1,5;2;1,PHD finger protein 12,PHF12,sp|Q96QT6|PHF12_HUMAN PHD finger protein 12 OS=Homo sapiens OX=9606 GN=PHF12 PE=1 SV=2,5.0,5.0,9.1,25.8777145609922,26.2390699560624,23.0223542660237,22.2519954806182
A8MW92;A0A0A0MQS0;F8W9L8;A0A0D9SG14;E9PM57;A8MUE8;A8MXR8,A8MW92;A0A0A0MQS0;F8W9L8,4;4;4;1;1;1;1,4;4;4;1;1;1;1,4;4;4;1;1;1;1,PHD finger protein 20-like protein 1,PHF20L1,sp|A8MW92|P20L1_HUMAN PHD finger protein 20-like protein 1 OS=Homo sapiens OX=9606 GN=PHF20L1 PE=1 SV=2;tr|A0A0A0MQS0|A0A0A0MQS0_HUMAN PHD finger protein 20-like protein 1 OS=Homo sapiens OX=9606 GN=PHF20L1 PE=1 SV=1;tr|F8W9L8|F8W9L8_HUMAN PHD finger prote,4.0,4.0,7.2,26.3174309699656,26.2010319159724,4.38176407895191,4.39969772430431
Q96BD5;E9PNN4;E9PNW9;E9PR02;E9PS51;E9PQM3;H0YEK2;A0A1B0GX09;E9PLU5;H0YCI1,Q96BD5,5;1;1;1;1;1;1;1;1;1,5;1;1;1;1;1;1;1;1;1,5;1;1;1;1;1;1;1;1;1,PHD finger protein 21A,PHF21A,sp|Q96BD5|PF21A_HUMAN PHD finger protein 21A OS=Homo sapiens OX=9606 GN=PHF21A PE=1 SV=1,5.0,5.0,11.6,27.0324411217992,25.6467755632277,4.38176407895191,4.39969772430431
Q92576;E7EVH3;E7ER40;E9PE34;A0A1B0GX99;H0Y8L0;D6RBF0,Q92576;E7EVH3;E7ER40,50;31;29;16;16;2;1,50;31;29;16;16;2;1,37;20;29;3;3;2;0,PHD finger protein 3,PHF3,sp|Q92576|PHF3_HUMAN PHD finger protein 3 OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=3;tr|E7EVH3|E7EVH3_HUMAN PHD finger protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=1;tr|E7ER40|E7ER40_HUMAN PHD finger protein 3 (Fragment) OS=Homo sapiens OX=9,50.0,37.0,33.2,30.519814721369,30.7853459499627,28.755477116542,28.764015582793
Q9UPP1;H0Y3N9;H0Y589;O75151;H0Y7M8;H7BZB7;E7ET14;A0A087WW48,Q9UPP1;H0Y3N9;H0Y589,3;3;2;1;1;1;1;1,3;3;2;1;1;1;1;1,3;3;2;1;1;1;1;1,Histone lysine demethylase PHF8,PHF8,sp|Q9UPP1|PHF8_HUMAN Histone lysine demethylase PHF8 OS=Homo sapiens OX=9606 GN=PHF8 PE=1 SV=3;tr|H0Y3N9|H0Y3N9_HUMAN Histone lysine demethylase PHF8 (Fragment) OS=Homo sapiens OX=9606 GN=PHF8 PE=1 SV=1;tr|H0Y589|H0Y589_HUMAN Histone lysine demethylase PHF,3.0,3.0,4.3,25.377394573706,24.8969372979715,4.38176407895191,4.39969772430431
O43175;A0A286YF22;A0A286YFA2;A0A2C9F2M7;A0A286YF78;A0A286YFL2,O43175;A0A286YF22;A0A286YFA2;A0A2C9F2M7,4;4;3;3;1;1,4;4;3;3;1;1,4;4;3;3;1;1,D-3-phosphoglycerate dehydrogenase,PHGDH,sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4;tr|A0A286YF22|A0A286YF22_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=1;tr|A0A286YFA2|A0A286YFA2_HUMAN D-3-phosphoglycer,4.0,4.0,11.6,25.4320201017676,23.7911406261414,24.3646922260823,24.0743087414403
Q8WWQ0;H7C409;H7BZR9,Q8WWQ0,6;1;1,6;1;1,5;0;0,PH-interacting protein,PHIP,sp|Q8WWQ0|PHIP_HUMAN PH-interacting protein OS=Homo sapiens OX=9606 GN=PHIP PE=1 SV=2,6.0,5.0,5.9,21.3761826339052,27.3606823480915,4.38176407895191,4.39969772430431
Q86UU1;A0A087WZL0,Q86UU1,3;1,3;1,3;1,Pleckstrin homology-like domain family B member 1,PHLDB1,sp|Q86UU1|PHLB1_HUMAN Pleckstrin homology-like domain family B member 1 OS=Homo sapiens OX=9606 GN=PHLDB1 PE=1 SV=1,3.0,3.0,3.3,4.3500727725963,4.5358450090929,23.6405282737372,23.756845399379
Q9P1Y6;E9PJ24;B7ZM65;F8WEF5;A0A0J9YYB5;A0A0J9YWD5;A0A0J9YX88,Q9P1Y6;E9PJ24;B7ZM65;F8WEF5;A0A0J9YYB5;A0A0J9YWD5;A0A0J9YX88,7;7;7;7;7;7;6,7;7;7;7;7;7;6,7;7;7;7;7;7;6,PHD and RING finger domain-containing protein 1,PHRF1,sp|Q9P1Y6|PHRF1_HUMAN PHD and RING finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PHRF1 PE=1 SV=3;tr|E9PJ24|E9PJ24_HUMAN PHD and RING finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PHRF1 PE=1 SV=1;tr|B7ZM65|B7ZM65_HUMAN PHD an,7.0,7.0,5.7,26.7669874097997,27.3817900652214,4.38176407895191,4.39969772430431
O75928;A0A087WUY7;O75925;B4DGW0,O75928;A0A087WUY7;O75925;B4DGW0,2;2;1;1,2;2;1;1,2;2;1;1,E3 SUMO-protein ligase PIAS2;E3 SUMO-protein ligase PIAS1,PIAS2;PIAS1,sp|O75928|PIAS2_HUMAN E3 SUMO-protein ligase PIAS2 OS=Homo sapiens OX=9606 GN=PIAS2 PE=1 SV=3;tr|A0A087WUY7|A0A087WUY7_HUMAN E3 SUMO-protein ligase PIAS2 (Fragment) OS=Homo sapiens OX=9606 GN=PIAS2 PE=1 SV=1;sp|O75925|PIAS1_HUMAN E3 SUMO-protein ligase PIA,2.0,2.0,4.3,23.9225234297212,23.0618075701766,4.38176407895191,4.39969772430431
Q13492;E9PK13;E9PJT1,Q13492,11;2;1,11;2;1,4;1;1,Phosphatidylinositol-binding clathrin assembly protein,PICALM,sp|Q13492|PICAL_HUMAN Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,11.0,4.0,21.0,4.3500727725963,4.5358450090929,28.271819265182,27.7781245661934
Q9NWS0;M0R3A4;M0QXD5;M0R3A8;M0R0J2,Q9NWS0;M0R3A4;M0QXD5,8;6;4;2;1,8;6;4;2;1,2;1;1;1;1,PIH1 domain-containing protein 1,PIH1D1,sp|Q9NWS0|PIHD1_HUMAN PIH1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PIH1D1 PE=1 SV=1;tr|M0R3A4|M0R3A4_HUMAN PIH1 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=PIH1D1 PE=1 SV=1;tr|M0QXD5|M0QXD5_HUMAN PIH1 domain-containing,8.0,2.0,40.0,25.3345976408935,26.1466064298008,28.0770422396419,27.5428147350754
Q6ZUJ8,Q6ZUJ8,17,17,17,Phosphoinositide 3-kinase adapter protein 1,PIK3AP1,sp|Q6ZUJ8|BCAP_HUMAN Phosphoinositide 3-kinase adapter protein 1 OS=Homo sapiens OX=9606 GN=PIK3AP1 PE=1 SV=2,17.0,17.0,31.9,24.8537664177205,25.3363854364625,28.2726203174186,27.9436343571982
