Unnamed: 0,CIAO1_vs_BirA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
ATIC,-0.6084022484,0.127834405211748,0,P31939;C9JLK0;H7C1S2;F8WEF0,P31939,29;8;8;4,29;8;8;4,29;8;8;4,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,29,29,56.1,592,0.608402248379849,0.127834405211748
HNRNPH3,-2.5431041712,0.000650499982368306,1,P31942,P31942,12,12,12,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,12,12,59.2,346,2.5431041711814,0.000650499982368306
YWHAB,-3.5321074043,0.000283439864637351,1,P31946;Q4VY20;Q4VY19;A0A0J9YWE8;A0A0J9YWZ2,P31946;Q4VY20;Q4VY19;A0A0J9YWE8,22;11;11;11;6,15;9;9;9;4,13;8;8;8;4,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3;tr|Q4VY20|Q4VY20_HUMAN 14-3-3 protein beta/alpha (Fragment) OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=1;tr|Q4VY19|Q4VY19_HUMAN 14-3-3 protein beta/alpha (Fragment) OS,22,13,77.2,246,3.532107404334,0.000283439864637351
SFN,-2.6550606575,0.000732256134571009,1,P31947,P31947,20,16,16,14-3-3 protein sigma,SFN,sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,20,16,85.1,248,2.655060657452,0.000732256134571009
STIP1,-1.4905409723,0.0061483942555939,1,P31948;F5H783;F5GXD8;H0YGI8,P31948;F5H783,28;15;10;5,28;15;10;5,28;15;10;5,Stress-induced-phosphoprotein 1,STIP1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1;tr|F5H783|F5H783_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,28,28,49,543,1.4905409723347,0.0061483942555939
S100A11,-2.23744349,0.00316818178301287,1,P31949,P31949,6,6,6,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,6,6,56.2,105,2.2374434899625,0.00316818178301287
PRDX2,-2.0494328568,0.00126787156792823,1,P32119;A6NIW5,P32119,8;3,7;3,7;3,Peroxiredoxin-2,PRDX2,sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,8,7,36.4,198,2.0494328567805,0.00126787156792823
CDA,0.972760455,0.14355834448258,0,P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,27.4,146,-0.972760455010966,0.14355834448258
DCTD,-0.1147857764,0.724200993086137,0,P32321;D6RBJ9;D6RD72;D6RAD7;D6RAR9;D6RC36;D6R9S0;D6RBN2,P32321;D6RBJ9,3;2;1;1;1;1;1;1,3;2;1;1;1;1;1;1,3;2;1;1;1;1;1;1,Deoxycytidylate deaminase,DCTD,sp|P32321|DCTD_HUMAN Deoxycytidylate deaminase OS=Homo sapiens OX=9606 GN=DCTD PE=1 SV=2;tr|D6RBJ9|D6RBJ9_HUMAN Deoxycytidylate deaminase (Fragment) OS=Homo sapiens OX=9606 GN=DCTD PE=1 SV=1,3,3,28.1,178,0.114785776353244,0.724200993086137
PYCR1,-0.0394889659,0.96646993562605,0,P32322;E2QRB3;J3QL24;J3KQ22;J3QLK9;J3QL32;J3KTA8;J3QKT3;J3QRZ0;J3QR88;J3QL23;J3QKT4;J3KSA9,P32322;E2QRB3;J3QL24;J3KQ22;J3QLK9;J3QL32,10;9;6;6;5;5;4;4;4;4;4;3;1,10;9;6;6;5;5;4;4;4;4;4;3;1,9;8;6;6;5;5;4;4;4;4;4;2;1,"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase",PYCR1,"sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|E2QRB3|E2QRB3_HUMAN Pyrroline-5-carboxylate reductase 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|J3QL24|J3QL24_HUMAN",10,9,38.6,319,0.0394889658798971,0.96646993562605
GBP2,-1.8268074971,0.00212329274719998,1,P32456,P32456,2,2,2,Interferon-induced guanylate-binding protein 2,GBP2,sp|P32456|GBP2_HUMAN Guanylate-binding protein 2 OS=Homo sapiens OX=9606 GN=GBP2 PE=1 SV=3,2,2,5.6,591,1.82680749707885,0.00212329274719998
RPL9,-2.1101089978,0.00129002148269984,1,P32969;A0A2R8Y5Y7;D6RAN4;E7ESE0;H0Y9V9;H0Y9R4,P32969;A0A2R8Y5Y7;D6RAN4;E7ESE0;H0Y9V9,13;12;11;9;8;5,13;12;11;9;8;5,13;12;11;9;8;5,60S ribosomal protein L9,RPL9,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|D6RAN4|D6RAN4_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapi,13,13,59.9,192,2.1101089978441,0.00129002148269984
CD70,-1.4157514873,0.0579056533649242,0,P32970,P32970,3,3,3,CD70 antigen,CD70,sp|P32970|CD70_HUMAN CD70 antigen OS=Homo sapiens OX=9606 GN=CD70 PE=1 SV=2,3,3,19.7,193,1.41575148727265,0.0579056533649242
KIF5B,-2.0082048306,0.00792527509348622,1,P33176,P33176,10,10,7,Kinesin-1 heavy chain,KIF5B,sp|P33176|KINH_HUMAN Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,10,7,13.2,963,2.00820483058645,0.00792527509348622
CKS2,-3.5814689143,0.00414505037884542,1,P33552,P33552,3,3,3,Cyclin-dependent kinases regulatory subunit 2,CKS2,sp|P33552|CKS2_HUMAN Cyclin-dependent kinases regulatory subunit 2 OS=Homo sapiens OX=9606 GN=CKS2 PE=1 SV=1,3,3,69.6,79,3.58146891433384,0.00414505037884542
MCM7,-2.1020016024,0.00553383261929296,1,P33993;C9J8M6,P33993,24;6,24;6,24;6,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,24,24,45.3,719,2.1020016024299,0.00553383261929296
SHMT1,0.4705379128,0.253645055211033,0,P34896;J3KRZ5;J3KRK5,P34896;J3KRZ5,4;2;1,4;2;1,4;2;1,"Serine hydroxymethyltransferase, cytosolic",SHMT1,"sp|P34896|GLYC_HUMAN Serine hydroxymethyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=SHMT1 PE=1 SV=1;tr|J3KRZ5|J3KRZ5_HUMAN Serine hydroxymethyltransferase, cytosolic (Fragment) OS=Homo sapiens OX=9606 GN=SHMT1 PE=1 SV=1",4,4,16.6,483,-0.470537912839264,0.253645055211033
SHMT2,-1.2478843066,0.0148625590254972,1,P34897;H0YIZ0;G3V2Y4;G3V5L0;G3V4W5;G3V540;G3V241;G3V3Y8;G3V4T0;G3V4X0;G3V2W0;G3V2E4,P34897;H0YIZ0,28;16;12;10;9;7;6;6;6;6;6;6,28;16;12;10;9;7;6;6;6;6;6;6,27;16;12;9;8;6;5;5;5;5;5;5,"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase",SHMT2,"sp|P34897|GLYM_HUMAN Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3;tr|H0YIZ0|H0YIZ0_HUMAN Serine hydroxymethyltransferase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=1",28,27,59.3,504,1.24788430662765,0.0148625590254972
HSPA4,-1.4645254522,0.00582248763499816,1,P34932;A0A087WYC1;A0A087WTS8,P34932;A0A087WYC1;A0A087WTS8,50;39;32,50;39;32,46;35;30,Heat shock 70 kDa protein 4,HSPA4,sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4;tr|A0A087WYC1|A0A087WYC1_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=1;tr|A0A087WTS8|A0A087WTS8_HUMAN Heat shock 70 kDa protein 4 OS,50,46,55.7,840,1.46452545218934,0.00582248763499816
GPC1,-1.5995694459,0.00951531697440696,1,P35052;C9J4Y6;H7BZE9;H7C024;H7C410,P35052;C9J4Y6;H7BZE9;H7C024;H7C410,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Glypican-1;Secreted glypican-1,GPC1,sp|P35052|GPC1_HUMAN Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|C9J4Y6|C9J4Y6_HUMAN Glypican-1 (Fragment) OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=1;tr|H7BZE9|H7BZE9_HUMAN Glypican-1 (Fragment) OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|H7C02,2,2,5.2,558,1.5995694459216,0.00951531697440696
PHB,-2.6672898417,0.000348546907905346,1,P35232;C9JW96;C9JZ20;E7ESE2;E9PCW0;D6RBK0,P35232;C9JW96;C9JZ20;E7ESE2;E9PCW0,23;20;17;17;17;11,23;20;17;17;17;11,23;20;17;17;17;11,Prohibitin,PHB,sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|C9JW96|C9JW96_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|C9JZ20|C9JZ20_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|E7ESE2|E7,23,23,77.6,272,2.6672898417039,0.000348546907905346
RPA3,-18.3859150984,1.32706056320461e-07,1,P35244;B5MC59,P35244;B5MC59,2;1,2;1,2;1,Replication protein A 14 kDa subunit,RPA3,sp|P35244|RFA3_HUMAN Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1;tr|B5MC59|B5MC59_HUMAN Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,2,2,20.7,121,18.3859150983544,1.32706056320461e-07
RFC2,-3.4598543328,0.0950424473101956,0,P35250;A0A087WVY3;H7C5P4,P35250;A0A087WVY3;H7C5P4,6;4;3,6;4;3,6;4;3,Replication factor C subunit 2,RFC2,sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3;tr|A0A087WVY3|A0A087WVY3_HUMAN Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=1;tr|H7C5P4|H7C5P4_HUMAN Replication factor C subunit 2 (Fra,6,6,22,354,3.4598543328014,0.0950424473101956
RPL22,-0.5817032315,0.289206652051425,0,P35268;K7ERI7;K7EMH1;K7ELC4;K7EP65;K7EKS7;K7EJT5,P35268;K7ERI7;K7EMH1;K7ELC4;K7EP65;K7EKS7,10;9;8;7;5;5;3,10;9;8;7;5;5;3,8;7;6;5;5;5;3,60S ribosomal protein L22,RPL22,sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2;tr|K7ERI7|K7ERI7_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=1;tr|K7EMH1|K7EMH1_HUMAN 60S ribosomal protein L22 (Fragment) OS=Homo sapien,10,8,74.2,128,0.581703231463045,0.289206652051425
SPR,-0.8409696869,0.153519349566829,0,P35270,P35270,4,4,4,Sepiapterin reductase,SPR,sp|P35270|SPRE_HUMAN Sepiapterin reductase OS=Homo sapiens OX=9606 GN=SPR PE=1 SV=1,4,4,22.2,261,0.840969686937344,0.153519349566829
MYH9,-1.545503302,0.00543385902841374,1,P35579;Q5BKV1;P35749;B1AH99;A0A0C4DFM8;P12882;P13533;Q9Y623;P11055;A0A2R8Y4C3;A0A494C024,P35579,95;11;7;5;3;1;1;1;1;1;1,95;11;7;5;3;1;1;1;1;1;1,82;11;1;5;0;0;0;0;0;0;0,Myosin-9,MYH9,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,95,82,49.8,1960,1.54550330201275,0.00543385902841374
MYH10,0.9396904536,0.0537900624809766,0,P35580;E7ERA5,P35580,12;1,2;1,2;1,Myosin-10,MYH10,sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,12,2,5.4,1976,-0.939690453576567,0.0537900624809766
COPB2,0.052215648,0.889260319966249,0,P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;D6R997;H0Y938,P35606,9;4;4;4;4;4;2,9;4;4;4;4;4;2,9;4;4;4;4;4;2,Coatomer subunit beta,COPB2,sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,9,9,11.5,906,-0.0522156480051448,0.889260319966249
GLRX,1.0303871232,0.0143024889881979,1,P35754,P35754,2,2,2,Glutaredoxin-1,GLRX,sp|P35754|GLRX1_HUMAN Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2,2,2,24.5,106,-1.03038712319542,0.0143024889881979
PSMC2,-1.7643751838,0.00232816969087048,1,P35998;C9JLS9,P35998,13;2,13;2,13;2,26S protease regulatory subunit 7,PSMC2,sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,13,13,34.4,433,1.7643751837692,0.00232816969087048
ARL2;ARL2-SNX15,-0.883973901,0.0257541537357429,0,P36404;V9GYD0,P36404;V9GYD0,2;2,2;2,2;2,ADP-ribosylation factor-like protein 2,ARL2;ARL2-SNX15,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4;tr|V9GYD0|V9GYD0_HUMAN ARL2-SNX15 readthrough (NMD candidate) OS=Homo sapiens OX=9606 GN=ARL2-SNX15 PE=3 SV=1,2,2,15.2,184,0.883973900986937,0.0257541537357429
ARL3,-2.3432591259,0.000925962357645647,1,P36405,P36405,8,8,8,ADP-ribosylation factor-like protein 3,ARL3,sp|P36405|ARL3_HUMAN ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2,8,8,34.1,182,2.34325912590015,0.000925962357645647
ATP5C1,-0.3312947581,0.390045497837937,0,P36542,P36542,7,7,7,"ATP synthase subunit gamma, mitochondrial",ATP5C1,"sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",7,7,27.2,298,0.33129475811575,0.390045497837937
ATP6V1E1,-0.6976162963,0.0519415746466797,0,P36543;C9J8H1,P36543;C9J8H1,2;1,2;1,2;1,V-type proton ATPase subunit E 1,ATP6V1E1,sp|P36543|VATE1_HUMAN V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1;tr|C9J8H1|C9J8H1_HUMAN V-type proton ATPase subunit E 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1,2,2,10.2,226,0.697616296331029,0.0519415746466797
CPOX,-1.8722768149,0.029594925265204,1,P36551;H0YA22;D6RER6,P36551,14;4;1,14;4;1,14;4;1,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,"sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",14,14,30.8,454,1.8722768148778,0.029594925265204
RPL4,-1.583169653,0.00401419110247799,1,P36578;H3BM89;H3BTP7;H3BU31,P36578;H3BM89,38;29;16;15,38;29;16;15,38;29;16;15,60S ribosomal protein L4,RPL4,sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5;tr|H3BM89|H3BM89_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=1,38,38,65.1,427,1.58316965302825,0.00401419110247799
NUDT1,-2.8450204026,0.000241870886262411,1,P36639;C9J361,P36639;C9J361,2;1,2;1,2;1,"7,8-dihydro-8-oxoguanine triphosphatase",NUDT1,"sp|P36639|8ODP_HUMAN 7,8-dihydro-8-oxoguanine triphosphatase OS=Homo sapiens OX=9606 GN=NUDT1 PE=1 SV=3;tr|C9J361|C9J361_HUMAN 7,8-dihydro-8-oxoguanine triphosphatase (Fragment) OS=Homo sapiens OX=9606 GN=NUDT1 PE=1 SV=1",2,2,13.7,197,2.84502040255053,0.000241870886262411
DLST,-2.7536290187,0.000885886512561224,1,P36957;Q86SW4;H0YJF9;G3V5M3;G3V3F0,P36957,8;3;2;2;2,8;3;2;2;2,8;3;2;2;2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,"sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",8,8,16.6,453,2.75362901869665,0.000885886512561224
SRP14,-2.4123658734,0.000909243751408814,1,P37108;H0YLA2,P37108;H0YLA2,7;4,7;4,7;4,Signal recognition particle 14 kDa protein,SRP14,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,7,7,47.1,136,2.41236587343675,0.000909243751408814
TAGLN2,-2.7304359653,0.000411568514370029,1,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,19;17;1;1,19;17;1;1,19;17;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,19,19,74.9,199,2.73043596529874,0.000411568514370029
TALDO1,-1.1026542607,0.0205341989137275,1,P37837;F2Z393,P37837;F2Z393,18;11,18;11,18;11,Transaldolase,TALDO1,sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2;tr|F2Z393|F2Z393_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=1,18,18,43.3,337,1.1026542606945,0.0205341989137275
ETFB,-0.5150700478,0.353095398120141,0,P38117;M0QY67,P38117,7;2,7;2,7;2,Electron transfer flavoprotein subunit beta,ETFB,sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,7,7,30.2,255,0.515070047817654,0.353095398120141
ATP6V1A,-1.0750268726,0.0596372218955948,0,P38606;C9JVW8;C9JA17;F8WDJ3,P38606,16;6;5;1,16;6;5;1,16;6;5;1,V-type proton ATPase catalytic subunit A,ATP6V1A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,16,16,34.4,617,1.0750268725638,0.0596372218955948
HSPA9,-2.5480343012,0.000617899455570864,1,P38646;A0A3B3ITI4;D6RJI2;D6RA73;H0YBG6;H0Y8S0;A0A3B3ITN1,P38646,34;11;9;7;4;3;1,34;11;9;7;4;3;1,34;11;9;7;4;3;1,"Stress-70 protein, mitochondrial",HSPA9,"sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",34,34,47.9,679,2.54803430121969,0.000617899455570864
EIF4A3,-1.3352520242,0.00610050403035691,1,P38919;I3L3H2,P38919;I3L3H2,17;14,14;11,14;11,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4;tr|I3L3H2|I3L3H2_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,17,14,41.4,411,1.335252024248,0.00610050403035691
RPS19,0.5235157939,0.391431454881343,0,P39019;M0R2L9;M0QYF7;M0R140;A0A075B6E2,P39019;M0R2L9;M0QYF7;M0R140,15;9;9;9;5,15;9;9;9;5,15;9;9;9;5,40S ribosomal protein S19,RPS19,sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2;tr|M0R2L9|M0R2L9_HUMAN 40S ribosomal protein S19 (Fragment) OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=1;tr|M0QYF7|M0QYF7_HUMAN 40S ribosomal protein S19 (Fragment) OS=,15,15,70.3,145,-0.523515793853202,0.391431454881343
RPL3,-2.1097463137,0.00281217353117174,1,P39023;G5E9G0;B5MCW2;H7C422;H7C3M2;F8WCR1,P39023;G5E9G0;B5MCW2;H7C422,28;26;18;15;12;5,28;26;18;15;12;5,25;23;16;13;12;5,60S ribosomal protein L3,RPL3,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2;tr|G5E9G0|G5E9G0_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=1;tr|B5MCW2|B5MCW2_HUMAN 60S ribosomal protein L3 (Fragment) OS=Homo sapiens OX=9,28,25,54.1,403,2.10974631371539,0.00281217353117174
FEN1,-1.7153758069,0.0737423365892253,0,P39748;F5H1Y3;I3L3E9,P39748;F5H1Y3,8;4;2,8;4;2,8;4;2,Flap endonuclease 1,FEN1,sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1;tr|F5H1Y3|F5H1Y3_HUMAN Flap endonuclease 1 (Fragment) OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,8,8,22.6,380,1.7153758069394,0.0737423365892253
CAPG,-3.727588539,0.0516377558428312,0,P40121;H7C0X8;B8ZZL6;E7ENU9,P40121;H7C0X8,4;2;1;1,4;2;1;1,4;2;1;1,Macrophage-capping protein,CAPG,sp|P40121|CAPG_HUMAN Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2;tr|H7C0X8|H7C0X8_HUMAN Macrophage-capping protein (Fragment) OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=1,4,4,20.7,348,3.7275885390493,0.0516377558428312
TXLNA,-1.3639594621,0.00898936494892218,1,P40222,P40222,2,2,2,Alpha-taxilin,TXLNA,sp|P40222|TXLNA_HUMAN Alpha-taxilin OS=Homo sapiens OX=9606 GN=TXLNA PE=1 SV=3,2,2,5.5,546,1.36395946209265,0.00898936494892218
CCT6A,-1.3913859686,0.00469630943857773,1,P40227,P40227,29,29,24,T-complex protein 1 subunit zeta,CCT6A,sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,29,24,51.2,531,1.3913859686096,0.00469630943857773
NNMT,-2.1005862906,0.00196454203495523,1,P40261,P40261,4,4,4,Nicotinamide N-methyltransferase,NNMT,sp|P40261|NNMT_HUMAN Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1,4,4,13.6,264,2.1005862906427,0.00196454203495523
RPL13A;RPL13a,-2.1724921409,0.00093951142523639,1,P40429;M0QYS1;Q8J015;Q6NVV1;M0QZU1;A0A096LPE0,P40429;M0QYS1;Q8J015,18;16;12;7;2;2,18;16;12;7;2;2,18;16;12;7;2;2,60S ribosomal protein L13a,RPL13A;RPL13a,sp|P40429|RL13A_HUMAN 60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2;tr|M0QYS1|M0QYS1_HUMAN 60S ribosomal protein L13a (Fragment) OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2;tr|Q8J015|Q8J015_HUMAN 60S ribosomal protein L13a OS=Homo,18,18,59.6,203,2.17249214092134,0.00093951142523639
STAT3,-4.2986491801,0.000581807993081302,1,P40763;G8JLH9,P40763;G8JLH9,2;1,2;1,2;1,Signal transducer and activator of transcription 3;Signal transducer and activator of transcription,STAT3,sp|P40763|STAT3_HUMAN Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2;tr|G8JLH9|G8JLH9_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=1,2,2,3.4,770,4.2986491801218,0.000581807993081302
MDH1,-2.714535411,0.000413179827557758,1,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51;C9JRL4;C9JLV6,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51,17;16;12;11;9;7;2,17;16;12;11;9;7;2,17;16;12;11;9;7;2,"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase",MDH1,"sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;tr|A0A5K1VW95|A0A5K1VW95_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1;tr|B9A041|B9A041_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo",17,17,47,334,2.71453541103919,0.000413179827557758
MDH2,-1.367534191,0.00968761564620318,1,P40926;G3XAL0,P40926;G3XAL0,30;24,30;24,30;24,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",MDH2,"sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;tr|G3XAL0|G3XAL0_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=1",30,30,70.7,338,1.36753419095675,0.00968761564620318
