Gene_names,CIAO1_vs_BirA_logFC,CIAO1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_CIAO1_N1,Peptides_CIAO1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_CIAO1_N1,Razor___unique_peptides_CIAO1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_CIAO1_N1,Unique_peptides_CIAO1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_CIAO1_N1,Identification_type_CIAO1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_CIAO1_N1,Ratio_H_L_CIAO1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_CIAO1_N1,Ratio_H_L_normalized_CIAO1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____CIAO1_N1,Ratio_H_L_variability_____CIAO1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_CIAO1_N1,Ratio_H_L_count_CIAO1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_CIAO1_N1,Ratio_H_L_iso_count_CIAO1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_CIAO1_N1,Ratio_H_L_type_CIAO1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_CIAO1_N1____,Sequence_coverage_CIAO1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_CIAO1_N1,Intensity_L_CIAO1_N1,Intensity_H_CIAO1_N1,Intensity_CIAO1_N2,Intensity_L_CIAO1_N2,Intensity_H_CIAO1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_CIAO1_N1,metacell_Intensity_L_CIAO1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
NIT2,-1.10096696727776,0.0399809256318064,Q9NQR4;H7C579;F8WF70,Q9NQR4;H7C579,5;4;1,5;4;1,5;4;1,Omega-amidase NIT2,sp|Q9NQR4|NIT2_HUMAN Omega-amidase NIT2 OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=1;tr|H7C579|H7C579_HUMAN Omega-amidase NIT2 (Fragment) OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=8,3,5,5,5,4,3,2,2,4,3,2,2,4,3,2,2,28.3,28.3,28.3,30.608,276,276;265;92,0.0,9.0019,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40108,1.078,38.432,11,6,Leave out requantified,0.39743,0.40477,0.14866,0.12301,1.1151,1.042,0.16179,0.14607,51.202,10.957,55.989,11.782,4,3,2,2,1,1,2,2,Leave out requantified,Median,Median,Median,22.1,20.7,13.0,13.0,375950000,283000000,92945000,119680000,78461000,41220000,152820000,110980000,41840000,42857000,37450000,5407000,60589000,56111000,4477300,,,,2386,3465;4337;6993;14055;14973,True;True;True;True;True,4243;4244;5294;8628;17008;18091,9822;9823;9824;12211;12212;12213;12214;19904;19905;39330;41882,16328;16329;16330;16331;16332;20318;20319;20320;20321;20322;20323;32940;32941;32942;32943;64684;69004,16332;20320;32940;64684;69004,,,,,-1;-1;-1,protein_2387,quanti,quanti,quanti,quanti
EXOSC3,-0.982093291969122,0.0838231362568832,Q9NQT5,Q9NQT5,2,2,2,Exosome complex component RRP40,sp|Q9NQT5|EXOS3_HUMAN Exosome complex component RRP40 OS=Homo sapiens OX=9606 GN=EXOSC3 PE=1 SV=3,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,11.3,11.3,11.3,29.572,275,275,0.0,8.7351,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65168,0.88875,68.365,7,5,Median,0.40962,0.65168,0.66293,0.85807,1.208,1.6041,0.74045,0.88875,43.616,97.474,,,2,3,1,1,1,2,1,1,Median,Median,Median,Median,5.8,11.3,5.5,5.5,308000000,159610000,148390000,51712000,33649000,18063000,157340000,70877000,86467000,61350000,36473000,24877000,37593000,18607000,18986000,,,,2387,435;16855,True;True,517;20388,1219;1220;1221;47257;47258;47259;47260,2089;2090;2091;2092;2093;2094;77785;77786;77787;77788;77789;77790;77791,2091;77785,,,,,-1,protein_2388,quanti,quanti,quanti,quanti
XPNPEP1,-0.734955706343627,0.0509049383201646,Q9NQW7;Q5T6H3;Q5T6H2;Q5T6H7,Q9NQW7;Q5T6H3;Q5T6H2;Q5T6H7,6;4;4;4,6;4;4;4,6;4;4;4,Xaa-Pro aminopeptidase 1,sp|Q9NQW7|XPP1_HUMAN Xaa-Pro aminopeptidase 1 OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=3;tr|Q5T6H3|Q5T6H3_HUMAN Xaa-Pro aminopeptidase 1 (Fragment) OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=1;tr|Q5T6H2|Q5T6H2_HUMAN Xaa-Pro aminopeptidase 1 (Fragment) OS,4,6,6,6,4,4,3,2,4,4,3,2,4,4,3,2,13.5,13.5,13.5,69.917,623,623;233;303;552,0.0,7.9829,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.24628,0.64488,19.457,10,4,Leave out requantified,0.25515,0.23933,0.20267,,0.67971,0.61563,0.21478,,23.092,16.137,74.012,,4,4,2,0,1,1,2,0,Leave out requantified,Leave out requantified,Median,Median,11.6,10.1,6.6,4.3,302180000,252820000,49360000,83413000,64969000,18444000,118110000,88897000,29214000,62720000,61018000,1701900,37940000,37940000,0,,,,2388,5156;5952;11137;11387;15009;15010,True;True;True;True;True;True,6351;6352;7387;13585;13878;18136;18137,14667;14668;14669;14670;14671;14672;17038;17039;31331;31332;31987;41991;41992;41993;41994,24269;24270;24271;24272;24273;24274;28172;28173;51389;51390;52452;69167;69168;69169;69170;69171,24269;28173;51389;52452;69169;69171,,,,,-1;-1;-1;-1,protein_2389,quanti,quanti,quanti,quanti
DDX21,1.69699379519392,0.0130078304046596,Q9NR30;Q9BQ39;A0A087WVC1,Q9NR30,18;2;2,18;2;2,18;2;2,Nucleolar RNA helicase 2,sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,3,18,18,18,9,7,14,16,9,7,14,16,9,7,14,16,29.6,29.6,29.6,87.343,783,783;737;730,0.0,49.199,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27625,0.76601,33.942,46,36,Leave out requantified,0.31873,0.28696,0.15376,0.13094,0.86567,0.63311,0.16303,0.13655,16.104,18.213,79.413,97.759,9,7,14,16,5,3,13,15,Leave out requantified,Leave out requantified,Median,Median,13.2,8.9,22.0,25.2,2006800000,1703100000,303730000,327230000,241740000,85496000,195210000,151750000,43457000,709970000,630240000,79730000,774420000,679380000,95044000,,,,2390,238;1452;2669;2930;4305;5105;5111;5330;6126;8639;9409;10753;10764;13335;13557;13703;13717;16189,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,285;286;1799;3280;3599;5251;6295;6301;6576;6577;7598;10675;11565;13143;13154;16150;16400;16565;16584;19612,654;655;656;657;658;659;4346;4347;7783;8474;12103;12104;14541;14542;14543;14544;14556;14557;14558;14559;15151;15152;15153;15154;15155;15156;17510;17511;24678;24679;26639;26640;30313;30314;30315;30316;30344;30345;37239;37240;37241;37858;37859;37860;38257;38258;38259;38304;38305;45534,1116;1117;1118;1119;7448;7449;7450;13155;14221;20121;20122;24096;24097;24098;24099;24100;24114;24115;24116;24117;24118;24119;25022;25023;25024;25025;25026;25027;25028;25029;25030;25031;25032;25033;25034;28952;40645;40646;40647;43648;43649;49612;49613;49614;49615;49616;49617;49660;49661;60896;60897;60898;60899;61974;61975;61976;61977;62676;62677;62678;62679;62680;62774;62775;62776;62777;75068,1119;7448;13155;14221;20122;24100;24114;25022;28952;40647;43649;49617;49660;60897;61976;62680;62777;75068,,,,,-1;-1;-1,protein_2391,quanti,quanti,quanti,quanti
SAR1A;SAR1B,2.70518098555989,0.00494524789281493,Q9NR31;Q9Y6B6;H0Y5E8;X1WI22;D6RAA2;Q5SQT8;D6RDB2;D6RD69,Q9NR31;Q9Y6B6;H0Y5E8;X1WI22;D6RAA2;Q5SQT8;D6RDB2;D6RD69,4;2;2;2;2;2;2;2,4;2;2;2;2;2;2;2,4;2;2;2;2;2;2;2,GTP-binding protein SAR1a;GTP-binding protein SAR1b,sp|Q9NR31|SAR1A_HUMAN GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1;sp|Q9Y6B6|SAR1B_HUMAN GTP-binding protein SAR1b OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1;tr|H0Y5E8|H0Y5E8_HUMAN GTP-binding protein SAR1a (Fragment) OS=Homo sapien,8,4,4,4,1,2,2,4,1,2,2,4,1,2,2,4,25.8,25.8,25.8,22.367,198,198;198;115;50;103;121;144;170,0.0,6.6781,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.22588,0.34045,150.2,10,10,Median,2.142,0.41213,0.14141,0.1357,7.1552,0.81518,0.14957,0.15764,,23.574,165.76,102.29,1,2,3,4,1,2,3,4,Median,Median,Median,Median,5.6,14.1,14.1,25.8,303910000,220130000,83787000,37497000,9365200,28132000,29575000,19339000,10236000,80338000,71044000,9294300,156500000,120380000,36125000,,,,2391,3011;3159;9596;14332,True;True;True;True,3696;3876;11788;17328;17329,8662;9064;9065;9066;27150;27151;27152;40049;40050;40051,14542;15140;15141;15142;44416;44417;44418;44419;65841;65842;65843,14542;15142;44419;65842,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_2392,quanti,quanti,quanti,quanti
NANS,-2.45631605113743,0.000502007035225492,Q9NR45;Q5TBR0;Q5TBR1,Q9NR45,8;1;1,8;1;1,8;1;1,Sialic acid synthase,sp|Q9NR45|SIAS_HUMAN Sialic acid synthase OS=Homo sapiens OX=9606 GN=NANS PE=1 SV=2,3,8,8,8,6,7,2,3,6,7,2,3,6,7,2,3,28.4,28.4,28.4,40.307,359,359;115;140,0.0,47.758,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.23285,0.62443,36.902,17,9,Leave out requantified,0.19735,0.27475,0.25925,0.13375,0.56509,0.69001,0.2776,0.15166,45.631,29.117,73.915,16.5,6,7,2,2,2,3,2,2,Leave out requantified,Leave out requantified,Median,Median,24.2,25.6,7.8,10.6,565090000,423150000,141930000,227390000,172820000,54572000,246450000,181050000,65408000,52502000,41471000,11031000,38734000,27813000,10921000,,,,2392,5131;5413;5554;11374;12301;14933;14998;15185,True;True;True;True;True;True;True;True,6323;6693;6887;13857;13858;14955;18043;18124;18375,14609;14610;14611;14612;15426;15427;15907;15908;31925;31926;31927;31928;34417;41774;41965;41966;42583;42584,24198;24199;24200;24201;24202;24203;24204;24205;25464;25465;26293;26294;26295;26296;26297;52322;52323;52324;52325;52326;56343;68821;69129;69130;69131;69132;70192;70193;70194;70195;70196;70197,24200;25465;26294;52324;56343;68821;69130;70197,,,,,-1;-1;-1,protein_2393,quanti,quanti,quanti,quanti
EIF2B3,-0.185940947420228,0.587714623381797,Q9NR50;H0Y580;A0A0D9SEN0,Q9NR50;H0Y580,6;3;2,6;3;2,6;3;2,Translation initiation factor eIF-2B subunit gamma,sp|Q9NR50|EI2BG_HUMAN Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1;tr|H0Y580|H0Y580_HUMAN Translation initiation factor eIF-2B subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1,3,6,6,6,3,3,4,3,3,3,4,3,3,3,4,3,19.9,19.9,19.9,50.24,452,452;222;128,0.0,10.839,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25749,0.27002,135.28,11,9,Median,0.33711,0.37134,0.09662,0.094101,0.96807,0.90542,0.10297,0.10225,8.7418,18.786,115.37,53.835,2,3,4,2,2,1,4,2,Median,Plateau,Median,Median,10.4,11.5,12.4,13.9,289100000,230140000,58959000,59676000,42420000,17256000,111510000,79141000,32370000,68335000,62467000,5868300,49579000,46113000,3465300,,,,2394,2078;8839;9999;10000;12307;15756,True;True;True;True;True;True,2561;10914;12268;12269;14961;19074,6163;6164;25232;25233;25234;25235;28299;28300;28301;28302;28303;34428;34429;44257,10546;10547;41586;41587;41588;41589;41590;46379;46380;46381;46382;46383;46384;46385;56353;56354;56355;72985,10546;41586;46381;46385;56354;72985,,,,,-1;-1;-1,protein_2395,quanti,quanti,quanti,quanti
AASDHPPT,1.22372698068934,0.0844147423477632,Q9NRN7;E9PNF3;E9PLW6,Q9NRN7,5;2;2,5;2;2,5;2;2,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,5,5,5,1,1,2,4,1,1,2,4,1,1,2,4,16.5,16.5,16.5,35.776,309,309;160;190,0.0,25.304,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38828,0.43536,111.48,7,4,Median,0.68302,0.8049,0.29879,0.38828,2.3658,2.105,0.32351,0.42803,,,49.538,69.306,1,1,2,3,0,0,2,2,Median,Median,Median,Plateau,2.6,2.6,6.5,13.9,252000000,183790000,68210000,44419000,26868000,17550000,43189000,23644000,19545000,54215000,42281000,11935000,110170000,90995000,19180000,,,,2396,462;6102;8978;12355;16071,True;True;True;True;True,546;7568;7569;11075;15016;19478,1283;17434;17435;17436;17437;25598;34544;45214;45215,2208;28838;28839;28840;42117;56505;74562;74563;74564,2208;28839;42117;56505;74563,,,,,-1;-1;-1,protein_2397,quanti,quanti,quanti,quanti
HEBP1,-0.13192355804166,0.744172340980896,Q9NRV9;A0A3B3IRV5;F5GWX2,Q9NRV9;A0A3B3IRV5,6;5;1,6;5;1,6;5;1,Heme-binding protein 1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1,3,6,6,6,2,2,3,4,2,2,3,4,2,2,3,4,41.8,41.8,41.8,21.097,189,189;207;133,0.0,36.179,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5639,1.6888,9.8869,9,4,Leave out requantified,0.50028,0.61562,0.30968,0.14735,1.7879,1.7602,0.32847,0.18503,9.8929,15.744,75.589,147.46,2,2,2,3,0,0,2,2,Median,Median,Median,Median,10.1,10.1,22.8,28.6,492380000,351090000,141300000,128780000,79681000,49094000,164400000,97639000,66762000,79530000,68059000,11470000,119680000,105710000,13969000,,,,2397,128;2792;2953;4355;11149;11979,True;True;True;True;True;True,149;3438;3625;5317;13600;14590,334;8119;8120;8121;8515;12258;12259;31364;33585;33586;33587,563;13679;13680;13681;14271;20406;20407;51451;54927;54928;54929,563;13679;14271;20406;51451;54929,,,,,-1;-1;-1,protein_2398,quanti,quanti,quanti,quanti
PHPT1,0.996669730924822,0.0969321112556631,Q9NRX4,Q9NRX4,2,2,2,14 kDa phosphohistidine phosphatase,sp|Q9NRX4|PHP14_HUMAN 14 kDa phosphohistidine phosphatase OS=Homo sapiens OX=9606 GN=PHPT1 PE=1 SV=1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,28.8,28.8,28.8,13.832,125,125,0.0,5.0755,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.087305,0.097946,146.23,5,3,Median,0.28244,0.41968,0.040362,0.087181,0.89026,1.077,0.043317,0.093727,,,,6.2267,1,1,1,2,0,0,1,2,Median,Median,Median,Median,12.0,12.0,16.8,16.8,185500000,160730000,24766000,32425000,24184000,8241500,37303000,25890000,11413000,39729000,38205000,1523600,76039000,72451000,3587600,,,,2398,979;6150,True;True,1198;7626,2848;2849;17582;17583;17584,4828;4829;4830;29099;29100;29101;29102;29103,4830;29102,,,,,-1,protein_2399,quanti,quanti,quanti,quanti
FARSB,-1.32829235517566,0.00347505205675632,Q9NSD9,Q9NSD9,9,9,9,Phenylalanine--tRNA ligase beta subunit,sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3,1,9,9,9,8,9,4,5,8,9,4,5,8,9,4,5,17.3,17.3,17.3,66.115,589,589,0.0,18.435,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2658,0.63116,22.64,22,9,Leave out requantified,0.25975,0.28514,0.16884,0.17564,0.79883,0.62574,0.17688,0.20102,35.684,23.395,85.584,85.001,7,8,3,4,1,1,3,4,Leave out requantified,Leave out requantified,Median,Median,15.8,17.3,6.8,10.5,683970000,543520000,140450000,227990000,172500000,55496000,279190000,210850000,68346000,91601000,83175000,8426500,85181000,77003000,8178500,,,,2399,1289;1625;2550;6692;8423;12523;13547;14333;14962,True;True;True;True;True;True;True;True;True,1605;1999;3131;3132;8277;10409;15210;16390;17330;18078,3846;3847;3848;4832;4833;4834;4835;7423;7424;7425;7426;7427;7428;19127;19128;19129;19130;24041;35039;35040;37839;37840;40052;40053;40054;40055;41849;41850,6563;6564;6565;6566;6567;8232;8233;8234;8235;12584;12585;12586;12587;12588;12589;12590;12591;31681;31682;31683;31684;39660;39661;57301;61951;61952;65844;65845;65846;65847;68957;68958,6563;8234;12588;31682;39661;57301;61951;65847;68958,,,,,-1,protein_2400,quanti,quanti,quanti,quanti
IARS2,-0.603271726762983,0.178494102628014,Q9NSE4,Q9NSE4,4,4,4,"Isoleucine--tRNA ligase, mitochondrial","sp|Q9NSE4|SYIM_HUMAN Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",1,4,4,4,3,1,2,2,3,1,2,2,3,1,2,2,5.2,5.2,5.2,113.79,1012,1012,0.0,7.7436,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55627,0.85766,66.011,8,4,Median,0.31063,0.41568,0.65564,0.64171,1.1103,1.1525,0.71722,0.70735,102.95,,14.19,38.348,3,1,2,2,2,0,1,1,Median,Median,Median,Median,4.2,1.7,2.7,2.7,347390000,214130000,133250000,117280000,74404000,42873000,73317000,51575000,21742000,88980000,53910000,35070000,67813000,34246000,33567000,,,,2400,9610;12637;13510;13558,True;True;True;True,11805;15343;16346;16401,27190;27191;35359;37739;37861;37862;37863;37864,44486;44487;44488;44489;57865;61783;61784;61978;61979;61980;61981;61982;61983,44486;57865;61784;61979,,,,,-1,protein_2401,quanti,quanti,quanti,quanti
ATG3,-0.931772678160723,0.096079421025312,Q9NT62;F8WDI0,Q9NT62;F8WDI0,6;3,6;3,6;3,Ubiquitin-like-conjugating enzyme ATG3,sp|Q9NT62|ATG3_HUMAN Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1;tr|F8WDI0|F8WDI0_HUMAN Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1,2,6,6,6,3,4,3,1,3,4,3,1,3,4,3,1,21.7,21.7,21.7,35.864,314,314;74,0.0,11.232,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4973,1.2199,19.1,9,3,Leave out requantified,0.41509,0.5639,0.35518,,1.1661,1.3724,0.3809,,7.2229,21.28,126.93,,3,4,2,0,0,1,2,0,Leave out requantified,Leave out requantified,Median,Median,12.1,12.7,11.8,4.1,242120000,171870000,70246000,56626000,35977000,20649000,113770000,75071000,38699000,51357000,40459000,10899000,20368000,20368000,0,,,,2401,1095;2106;4163;10407;10408;14521,True;True;True;True;True;True,1352;1353;2594;5069;12746;12747;17554,3209;3210;3211;6228;6229;11710;29381;29382;29383;29384;40613;40614,5396;5397;5398;5399;10654;10655;10656;10657;19421;48118;48119;48120;48121;48122;66850;66851;66852;66853;66854;66855;66856,5397;10657;19421;48119;48122;66850,,,,,-1;-1,protein_2402,quanti,quanti,quanti,quanti
RBM12,21.1196136307844,8.03303271131437e-08,Q9NTZ6,Q9NTZ6,2,2,2,RNA-binding protein 12,sp|Q9NTZ6|RBM12_HUMAN RNA-binding protein 12 OS=Homo sapiens OX=9606 GN=RBM12 PE=1 SV=1,1,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2.5,2.5,2.5,97.394,932,932,0.0,3.2905,,,By MS/MS,By MS/MS,0.24588,0.26313,75.073,4,4,Median,,,0.24086,0.24588,,,0.25653,0.26313,,,105.6,75.828,0,0,2,2,0,0,2,2,Median,Median,Median,Median,0.0,0.0,2.5,2.5,133710000,108360000,25353000,0,0,0,0,0,0,63549000,51400000,12149000,70163000,56959000,13204000,,,,2402,9152;14705,True;True,11280;17776,26020;26021;41139;41140,42714;42715;67790;67791,42714;67791,,,,,-1,protein_2403,quanti,quanti,imputed MEC,imputed MEC
FAM49B,-0.262090169592199,0.335430137379531,Q9NUQ9;A0A1W2PRQ0;A0A087X178;Q9H0Q0;E5RJE1;E5RIR8;E5RJL8;E5RI16;E5RK61;E5RFS4;E5RHU5;E5RGI7,Q9NUQ9;A0A1W2PRQ0;A0A087X178,10;8;6;2;2;2;2;2;1;1;1;1,10;8;6;2;2;2;2;2;1;1;1;1,10;8;6;2;2;2;2;2;1;1;1;1,Protein FAM49B,sp|Q9NUQ9|CYRIB_HUMAN CYFIP-related Rac1 interactor B OS=Homo sapiens OX=9606 GN=CYRIB PE=1 SV=1;tr|A0A1W2PRQ0|A0A1W2PRQ0_HUMAN CYFIP-related Rac1 interactor B OS=Homo sapiens OX=9606 GN=CYRIB PE=1 SV=1;tr|A0A087X178|A0A087X178_HUMAN CYFIP-related Rac1 int,12,10,10,10,6,5,7,5,6,5,7,5,6,5,7,5,41.0,41.0,41.0,36.748,324,324;218;217;323;93;98;100;155;63;65;68;78,0.0,30.604,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27491,0.8589,12.98,25,15,Leave out requantified,0.25807,0.31907,0.19087,0.15848,0.82178,0.89367,0.2078,0.17804,14.396,14.551,103.71,108.26,7,6,7,5,2,1,7,5,Leave out requantified,Leave out requantified,Median,Median,29.0,18.8,29.9,21.3,1363700000,1070500000,293240000,341480000,263730000,77754000,413280000,301670000,111610000,361680000,301060000,60613000,247300000,204030000,43270000,,,,2406,2059;2279;6539;10433;10459;10505;10506;14048;15348;15504,True;True;True;True;True;True;True;True;True;True,2539;2806;8108;12777;12806;12859;12860;17001;18585;18781,6118;6705;6706;18772;18773;18774;18775;18776;18777;18778;18779;29477;29478;29530;29531;29532;29533;29652;29653;39314;43077;43078;43079;43562;43563;43564;43565,10476;11377;11378;31122;31123;31124;31125;31126;31127;31128;31129;31130;31131;31132;31133;31134;31135;31136;48264;48265;48266;48331;48332;48333;48334;48335;48336;48337;48338;48339;48340;48341;48549;48550;64651;71012;71013;71014;71015;71016;71017;71018;71019;71814;71815;71816;71817;71818;71819;71820,10476;11377;31122;48264;48337;48549;48550;64651;71014;71815,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2407,quanti,quanti,quanti,quanti
ATAD3A,0.999966103941436,0.0616005750005776,Q9NVI7;Q5SV16;Q5T9A4;Q5T2N8;A0A5K1VW56,Q9NVI7,5;2;1;1;1,5;2;1;1;1,5;2;1;1;1,ATPase family AAA domain-containing protein 3A,sp|Q9NVI7|ATD3A_HUMAN ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2,5,5,5,5,1,2,2,2,1,2,2,2,1,2,2,2,11.8,11.8,11.8,71.368,634,634;253;648;411;298,0.0,4.0835,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27141,0.42228,161.58,7,7,Median,0.18448,0.22787,0.20552,5.2001,0.42228,0.45324,0.21612,7.118,,64.559,39.755,102.77,1,2,2,2,1,2,2,2,Median,Median,Median,Median,1.7,5.2,3.6,4.7,217860000,91056000,126810000,12234000,9355600,2878800,30370000,21516000,8853900,47590000,33492000,14098000,127670000,26692000,100980000,,,,2409,4875;10828;11953;13551;15615,True;True;True;True;True,6010;13223;14564;16394;18910,13891;30506;33529;37846;37847;37848;43888,23027;49934;54832;61959;61960;61961;61962;72412,23027;49934;54832;61962;72412,,,,,-1;-1;-1;-1;-1,protein_2410,quanti,quanti,quanti,quanti
DDX18,1.99671869801598,0.00572299330290368,Q9NVP1;H7C452,Q9NVP1,6;2,6;2,6;2,ATP-dependent RNA helicase DDX18,sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,2,6,6,6,1,2,4,6,1,2,4,6,1,2,4,6,12.4,12.4,12.4,75.406,670,670;214,0.0,18.179,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.20521,0.21296,108.3,12,11,Median,0.31855,0.73231,0.17029,0.16967,0.96917,1.8263,0.18276,0.18178,,52.738,33.087,60.548,1,2,3,6,0,2,3,6,Median,Median,Median,Median,2.1,3.7,8.4,12.4,385400000,301160000,84241000,28139000,20361000,7777500,74153000,39870000,34283000,119850000,107990000,11860000,163260000,132940000,30321000,,,,2410,3087;3157;4587;8623;10768;11738,True;True;True;True;True;True,3792;3874;5619;10658;13158;14305,8874;9061;9062;12945;24642;24643;24644;24645;30350;30351;32930;32931;32932,14873;14874;15137;15138;21524;40594;40595;40596;40597;40598;49667;49668;49669;49670;53886;53887;53888,14873;15138;21524;40594;49670;53888,,,,,-1;-1,protein_2411,quanti,quanti,quanti,quanti
