Gene_names,WDR26_vs_BirA_logFC,WDR26_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_Bira_alone_N1,Peptides_Bira_alone_N2,Peptides_WDR26_N1,Peptides_WDR26_N2,Razor___unique_peptides_Bira_alone_N1,Razor___unique_peptides_Bira_alone_N2,Razor___unique_peptides_WDR26_N1,Razor___unique_peptides_WDR26_N2,Unique_peptides_Bira_alone_N1,Unique_peptides_Bira_alone_N2,Unique_peptides_WDR26_N1,Unique_peptides_WDR26_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_Bira_alone_N1,Identification_type_Bira_alone_N2,Identification_type_WDR26_N1,Identification_type_WDR26_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_Bira_alone_N1,Ratio_H_L_Bira_alone_N2,Ratio_H_L_WDR26_N1,Ratio_H_L_WDR26_N2,Ratio_H_L_normalized_Bira_alone_N1,Ratio_H_L_normalized_Bira_alone_N2,Ratio_H_L_normalized_WDR26_N1,Ratio_H_L_normalized_WDR26_N2,Ratio_H_L_variability_____Bira_alone_N1,Ratio_H_L_variability_____Bira_alone_N2,Ratio_H_L_variability_____WDR26_N1,Ratio_H_L_variability_____WDR26_N2,Ratio_H_L_count_Bira_alone_N1,Ratio_H_L_count_Bira_alone_N2,Ratio_H_L_count_WDR26_N1,Ratio_H_L_count_WDR26_N2,Ratio_H_L_iso_count_Bira_alone_N1,Ratio_H_L_iso_count_Bira_alone_N2,Ratio_H_L_iso_count_WDR26_N1,Ratio_H_L_iso_count_WDR26_N2,Ratio_H_L_type_Bira_alone_N1,Ratio_H_L_type_Bira_alone_N2,Ratio_H_L_type_WDR26_N1,Ratio_H_L_type_WDR26_N2,Sequence_coverage_Bira_alone_N1____,Sequence_coverage_Bira_alone_N2____,Sequence_coverage_WDR26_N1____,Sequence_coverage_WDR26_N2____,Intensity,Intensity_L,Intensity_H,Intensity_Bira_alone_N1,Intensity_L_Bira_alone_N1,Intensity_H_Bira_alone_N1,Intensity_Bira_alone_N2,Intensity_L_Bira_alone_N2,Intensity_H_Bira_alone_N2,Intensity_WDR26_N1,Intensity_L_WDR26_N1,Intensity_H_WDR26_N1,Intensity_WDR26_N2,Intensity_L_WDR26_N2,Intensity_H_WDR26_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_WDR26_N1,metacell_Intensity_L_WDR26_N2,metacell_Intensity_L_Bira_alone_N1,metacell_Intensity_L_Bira_alone_N2
PDS5A,19.7371944650363,2.83427972506491e-05,Q29RF7,Q29RF7,3,3,3,Sister chromatid cohesion protein PDS5 homolog A,sp|Q29RF7|PDS5A_HUMAN Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,1,3,3,3,0,0,3,1,0,0,3,1,0,0,3,1,3.4,3.4,3.4,150.83,1337,1337,0.0,4.4878,,,By MS/MS,By MS/MS,0.43267,0.97918,21.572,4,3,Median,,,0.42545,0.44001,,,1.0895,0.88,,,24.775,,0,0,3,1,0,0,2,1,Median,Median,Median,Median,0.0,0.0,3.4,1.0,105080000,71112000,33967000,0,0,0,0,0,0,85169000,57404000,27765000,19911000,13708000,6202700,,,,2301,3004;7214;12540,True;True;True,3518;8603;14879,8698;8699;20696;35974,17032;17033;40147;69143,17033;40147;69143,,,,,-1,protein_2302,quanti,quanti,imputed MEC,imputed MEC
SMU1,2.21637662494163,0.000801796883022819,Q2TAY7,Q2TAY7,9,9,9,"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed",sp|Q2TAY7|SMU1_HUMAN WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,1,9,9,9,3,2,8,8,3,2,8,8,3,2,8,8,21.2,21.2,21.2,57.543,513,513,0.0,15.364,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7671,1.9519,11.468,23,2,Leave out requantified,0.78833,0.78433,0.75162,0.75682,2.0606,1.8342,1.9288,2.0164,10.365,7.3147,11.838,15.77,3,2,9,9,1,0,1,0,Plateau,Median,Leave out requantified,Leave out requantified,8.2,5.3,18.3,18.7,1116600000,612690000,503950000,55514000,29152000,26362000,54781000,33790000,20991000,401880000,220730000,181150000,604470000,329020000,275440000,,,,2303,271;3584;6621;10548;11153;13858;16120;20165;20529,True;True;True;True;True;True;True;True;True,303;4201;7829;12551;13282;16367;18989;23681;24093;24094,720;721;722;723;10175;18756;18757;30335;30336;32126;32127;39541;39542;45761;45762;57385;57386;58381;58382;58383;58384;58385;58386,1394;1395;1396;1397;1398;19824;36289;36290;58489;58490;58491;61999;62000;62001;62002;62003;62004;75933;75934;75935;75936;87330;87331;87332;110637;110638;110639;110640;110641;110642;110643;110644;110645;110646;112451;112452;112453;112454;112455;112456;112457;112458;112459;112460,1394;19824;36290;58489;62004;75933;87330;110641;112452,,,,,-1,protein_2304,quanti,quanti,quanti,quanti
LEPRE1,3.04674142400273,0.000214598110015582,Q32P28;E2QRI1;H7C2W6,Q32P28,7;2;1,7;2;1,7;2;1,Prolyl 3-hydroxylase 1,sp|Q32P28|P3H1_HUMAN Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2,3,7,7,7,1,1,6,4,1,1,6,4,1,1,6,4,12.4,12.4,12.4,83.393,736,736;207;222,0.0,10.706,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65015,1.4586,30.158,12,4,Leave out requantified,0.48291,0.68034,0.65356,0.39045,1.1175,1.5019,1.5825,1.083,,,31.894,44.34,1,1,6,4,1,0,2,1,Median,Median,Leave out requantified,Leave out requantified,1.6,1.6,10.3,7.1,539010000,325950000,213060000,14120000,9224000,4895800,19325000,10729000,8596500,245160000,134570000,110600000,260400000,171430000,88969000,,,,2304,2302;3093;9880;16201;16770;17886;19836,True;True;True;True;True;True;True,2682;3624;11789;19080;19715;20998;23319,6737;6738;8907;8908;28608;45959;45960;45961;45962;47572;50755;56558,13305;13306;13307;17376;17377;17378;17379;17380;55112;55113;87695;87696;87697;87698;87699;90794;90795;97335;97336;109161,13305;17378;55112;87698;90794;97335;109161,,,,,-1;-1;-1,protein_2305,quanti,quanti,quanti,quanti
LRRK1,19.6834764813975,1.53859471694277e-07,Q38SD2;E9PK39;H0YEW1;E9PMK9,Q38SD2;E9PK39;H0YEW1;E9PMK9,2;1;1;1,2;1;1;1,2;1;1;1,Leucine-rich repeat serine/threonine-protein kinase 1,sp|Q38SD2|LRRK1_HUMAN Leucine-rich repeat serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=LRRK1 PE=1 SV=3;tr|E9PK39|E9PK39_HUMAN Leucine-rich repeat serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=LRRK1 PE=1 SV=1;tr|H0YEW1|H0YEW1_,4,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,0.9,0.9,0.9,225.39,2015,2015;650;660;689,0.031781,0.70616,,,By MS/MS,By MS/MS,0.55078,1.3918,7.2181,2,0,Median,,,0.52717,0.57545,,,1.3225,1.4647,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,0.3,0.5,87209000,54189000,33020000,0,0,0,0,0,0,39377000,25174000,14202000,47833000,29015000,18818000,,,,2307,8761;11183,True;True,10402;13318,25152;32212,48884;62153,48884;62153,,,,,-1;-1;-1;-1,protein_2308,quanti,quanti,imputed MEC,imputed MEC
UAP1L1,-18.5912203698889,1.58036191323069e-07,Q3KQV9;A0A087X226,Q3KQV9,3;1,2;1,2;1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,sp|Q3KQV9|UAP1L_HUMAN UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Homo sapiens OX=9606 GN=UAP1L1 PE=1 SV=2,2,3,2,2,3,3,1,1,2,2,0,0,2,2,0,0,5.9,3.4,3.4,57.03,507,507;99,0.0071821,1.3061,By MS/MS,By MS/MS,By matching,By matching,0.45974,0.95096,8.0449,2,0,Median,0.41835,0.50522,,,0.89837,1.0066,,,,,,,1,1,0,0,0,0,0,0,Median,Median,Median,Median,5.9,5.9,2.6,2.6,25451000,14223000,11228000,10151000,6360300,3791000,15300000,7863000,7436900,0,0,0,0,0,0,,,,2310,5115;5178;18148,True;True;False,5967;6043;21306;21307,14242;14243;14420;14421;51540;51541;51542;51543;51544,27506;27507;27508;27904;27905;99062;99063;99064;99065;99066;99067,27506;27905;99067,,,,,-1;-1,protein_2311,imputed MEC,imputed MEC,quanti,quanti
DAK;TKFC,-18.387206567,2.21008622233119e-07,Q3LXA3;I3L252;H0YCY6,Q3LXA3;I3L252;H0YCY6,2;1;1,2;1;1,2;1;1,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),sp|Q3LXA3|TKFC_HUMAN Triokinase/FMN cyclase OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=2;tr|I3L252|I3L252_HUMAN Triokinase/FMN cyclase (Fragment) OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=1;tr|H0YCY6|H0YCY6_HUMAN Triokinase/FMN cyclase (Fragment) OS=Homo sapien,3,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,2.8,2.8,2.8,58.946,575,575;219;533,0.00094029,1.9207,By MS/MS,By MS/MS,,,0.54105,1.0436,1.2842,2,0,Median,0.51911,0.56392,,,1.0342,1.0531,,,,,,,1,1,0,0,0,0,0,0,Median,Median,Median,Median,2.8,1.4,0.0,0.0,19621000,12525000,7095800,8435500,5026200,3409300,11185000,7498900,3686500,0,0,0,0,0,0,,,,2311,1006;11829,True;True,1156;14060,2834;33928;33929,5440;65221;65222,5440;65222,,,,,-1;-1;-1,protein_2312,imputed MEC,imputed MEC,quanti,quanti
HSDL1,20.3771256308683,1.05220294327767e-06,Q3SXM5;H3BQI7;H3BT52;H3BNH5,Q3SXM5;H3BQI7;H3BT52,4;2;2;1,4;2;2;1,4;2;2;1,Inactive hydroxysteroid dehydrogenase-like protein 1,sp|Q3SXM5|HSDL1_HUMAN Inactive hydroxysteroid dehydrogenase-like protein 1 OS=Homo sapiens OX=9606 GN=HSDL1 PE=1 SV=3;tr|H3BQI7|H3BQI7_HUMAN Inactive hydroxysteroid dehydrogenase-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HSDL1 PE=1 SV=1;tr|H3BT5,4,4,4,4,0,0,3,4,0,0,3,4,0,0,3,4,17.9,17.9,17.9,37.001,330,330;108;111;70,0.0,3.3483,,,By MS/MS,By MS/MS,0.61407,1.3636,17.22,7,3,Leave out requantified,,,0.63623,0.56506,,,1.0983,1.4209,,,17.213,17.71,0,0,3,4,0,0,2,1,Median,Median,Median,Leave out requantified,0.0,0.0,13.6,17.9,150820000,97494000,53331000,0,0,0,0,0,0,41233000,27170000,14063000,109590000,70324000,39268000,,,,2312,263;5755;6050;19946,True;True;True;True,292;6760;7151;23441,681;682;683;16180;16181;17191;17192;56846,1281;1282;1283;1284;1285;31507;31508;33382;33383;33384;109703,1284;31507;33383;109703,,,,,-1;-1;-1;-1,protein_2313,quanti,quanti,imputed MEC,imputed MEC
TUBB8,-0.167229197781531,0.513225155307572,Q3ZCM7;A0A075B736;Q5SQY0,Q3ZCM7;A0A075B736;Q5SQY0,12;11;11,2;2;2,2;2;2,Tubulin beta-8 chain,sp|Q3ZCM7|TBB8_HUMAN Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2;tr|A0A075B736|A0A075B736_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=1;tr|Q5SQY0|Q5SQY0_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=,3,12,2,2,11,12,11,10,2,2,2,2,2,2,2,2,25.2,7.4,7.4,49.775,444,444;407;410,0.0,8.1046,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31009,0.94236,4.2429,12,1,Leave out requantified,0.28972,0.33283,0.32802,0.30438,0.97538,0.91022,0.91719,0.88781,8.1623,2.6577,5.5881,12.442,3,3,3,3,0,0,0,1,Median,Median,Median,Median,23.4,25.2,24.5,22.7,4165700000,3175300000,990430000,688740000,529400000,159330000,910890000,670680000,240210000,1144100000,868920000,275220000,1421900000,1106300000,315670000,,,,2313,2358;3389;4880;4881;8289;8886;9110;9758;10390;13818;16822;16823,False;True;False;False;False;True;False;False;False;False;False;False,2752;2753;2754;3983;5702;5703;5704;5705;9857;10554;10844;10845;10846;10847;10848;11642;11643;11644;12357;12358;12359;12360;16320;16321;16322;19773;19774,6917;6918;6919;6920;6921;6922;6923;6924;6925;6926;6927;6928;6929;6930;6931;6932;6933;9703;9704;9705;9706;9707;9708;9709;9710;13581;13582;13583;13584;13585;13586;13587;13588;13589;13590;13591;13592;13593;13594;13595;23832;23833;25511;25512;25513;25514;26204;26205;26206;26207;26208;26209;26210;26211;26212;26213;26214;26215;26216;26217;26218;26219;26220;26221;26222;28186;28187;28188;28189;28190;28191;28192;28193;28194;28195;28196;28197;28198;28199;28200;28201;28202;28203;28204;28205;28206;28207;28208;28209;28210;28211;28212;28213;28214;29863;29864;29865;29866;29867;29868;29869;29870;29871;29872;29873;29874;29875;29876;29877;29878;29879;29880;29881;29882;29883;29884;29885;29886;29887;29888;29889;29890;29891;29892;29893;29894;29895;29896;29897;29898;29899;29900;29901;39402;39403;39404;39405;39406;39407;39408;39409;47713;47714;47715;47716;47717;47718;47719;47720;47721;47722;47723;47724;47725;47726;47727;47728,13650;13651;13652;13653;13654;13655;13656;13657;13658;13659;13660;13661;13662;13663;13664;13665;13666;13667;13668;13669;13670;13671;13672;13673;13674;13675;13676;13677;13678;13679;13680;13681;13682;13683;13684;13685;13686;13687;13688;13689;13690;13691;13692;13693;13694;18981;18982;18983;18984;18985;18986;18987;18988;18989;18990;18991;18992;18993;18994;18995;26283;26284;26285;26286;26287;26288;26289;26290;26291;26292;26293;26294;26295;26296;26297;26298;26299;26300;26301;26302;26303;26304;26305;26306;26307;26308;26309;26310;26311;26312;26313;26314;26315;26316;26317;26318;26319;46261;49504;49505;49506;49507;49508;49509;49510;49511;49512;49513;49514;50761;50762;50763;50764;50765;50766;50767;50768;50769;50770;50771;50772;50773;50774;50775;50776;50777;50778;50779;50780;50781;50782;50783;50784;50785;50786;50787;50788;50789;50790;50791;50792;50793;50794;50795;50796;50797;50798;50799;50800;50801;50802;54301;54302;54303;54304;54305;54306;54307;54308;54309;54310;54311;54312;54313;54314;54315;54316;54317;54318;54319;54320;54321;54322;54323;54324;54325;54326;54327;54328;54329;54330;54331;54332;54333;54334;54335;54336;54337;54338;54339;54340;54341;54342;54343;54344;54345;54346;54347;54348;54349;54350;54351;54352;54353;54354;54355;54356;54357;54358;54359;54360;54361;54362;54363;54364;54365;54366;54367;54368;54369;54370;54371;54372;54373;54374;54375;54376;54377;54378;54379;54380;57490;57491;57492;57493;57494;57495;57496;57497;57498;57499;57500;57501;57502;57503;57504;57505;57506;57507;57508;57509;57510;57511;57512;57513;57514;57515;57516;57517;57518;57519;57520;57521;57522;57523;57524;57525;57526;57527;57528;57529;57530;57531;57532;57533;57534;57535;57536;57537;57538;57539;57540;57541;57542;57543;57544;57545;57546;57547;57548;57549;57550;57551;57552;57553;57554;57555;57556;57557;57558;57559;57560;57561;57562;57563;57564;57565;57566;57567;57568;57569;57570;57571;57572;57573;57574;57575;57576;57577;57578;57579;57580;57581;57582;57583;57584;57585;57586;57587;57588;57589;57590;57591;57592;57593;57594;57595;57596;57597;57598;57599;57600;57601;57602;57603;57604;57605;57606;57607;57608;57609;57610;57611;57612;57613;57614;57615;57616;57617;57618;57619;57620;57621;57622;57623;57624;57625;57626;57627;57628;57629;57630;57631;75651;75652;75653;75654;75655;75656;75657;75658;75659;75660;75661;75662;75663;75664;75665;75666;75667;75668;75669;75670;75671;75672;75673;75674;75675;75676;91066;91067;91068;91069;91070;91071;91072;91073;91074;91075;91076;91077;91078;91079;91080;91081;91082;91083;91084;91085;91086;91087;91088;91089;91090;91091;91092;91093;91094;91095;91096;91097;91098;91099;91100;91101;91102;91103;91104;91105;91106;91107;91108;91109;91110;91111;91112;91113;91114;91115;91116;91117;91118,13661;18993;26297;26318;46261;49504;50778;54355;57576;75652;91079;91109,165,39;94;97;122;123,252,73;257;267;299;300,-1;-1;-1,protein_2314,quanti,quanti,quanti,quanti
CCDC58,22.5886025850816,7.5545677405409e-08,Q4VC31;C9JQ41;H7C525,Q4VC31;C9JQ41;H7C525,5;4;4,5;4;4,5;4;4,Coiled-coil domain-containing protein 58,sp|Q4VC31|CCD58_HUMAN Coiled-coil domain-containing protein 58 OS=Homo sapiens OX=9606 GN=CCDC58 PE=1 SV=1;tr|C9JQ41|C9JQ41_HUMAN Coiled-coil domain-containing protein 58 OS=Homo sapiens OX=9606 GN=CCDC58 PE=1 SV=1;tr|H7C525|H7C525_HUMAN Coiled-coil domain,3,5,5,5,0,0,4,5,0,0,4,5,0,0,4,5,48.6,48.6,48.6,16.62,144,144;130;141,0.0,9.4616,,,By MS/MS,By MS/MS,0.35407,0.8717,17.964,9,1,Leave out requantified,,,0.3384,0.37309,,,0.89464,0.99008,,,15.553,39.445,0,0,4,5,0,0,0,1,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,39.6,48.6,572400000,407510000,164900000,0,0,0,0,0,0,253450000,180730000,72716000,318960000,226780000,92182000,,,,2318,190;8642;13342;13648;14555,True;True;True;True;True,212;10268;15783;16123;17173,520;521;24837;24838;38133;38134;38934;38935;41328,1012;48172;48173;48174;48175;48176;48177;73220;73221;73222;73223;74710;74711;79188,1012;48177;73222;74710;79188,,,,,-1;-1;-1,protein_2319,quanti,quanti,imputed MEC,imputed MEC
FAM98B,-0.5880495243937,0.440637125707998,Q52LJ0,Q52LJ0,7,7,5,Protein FAM98B,sp|Q52LJ0|FA98B_HUMAN Protein FAM98B OS=Homo sapiens OX=9606 GN=FAM98B PE=1 SV=2,1,7,7,5,2,3,4,1,2,3,4,1,1,1,3,1,17.3,17.3,13.6,45.547,433,433,0.0,10.896,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41382,1.07,32.973,10,4,Leave out requantified,0.30658,0.39724,0.44288,0.66544,1.0058,0.97918,1.1525,1.8339,2.9205,42.958,22.735,,2,3,4,1,1,0,2,1,Median,Leave out requantified,Median,Median,7.2,7.6,12.9,2.8,458120000,290770000,167350000,71157000,50560000,20597000,116590000,73071000,43524000,190110000,121020000,69091000,80260000,46120000,34140000,,,,2320,3913;8105;12493;14886;14887;17720;17721,True;True;True;True;True;True;True,4590;9654;14832;17564;17565;20808;20809,11030;23346;35870;42228;42229;42230;42231;50266;50267;50268,21413;45384;68940;80739;80740;80741;80742;80743;80744;96296;96297;96298;96299,21413;45384;68940;80739;80744;96296;96299,,,,,-1,protein_2321,quanti,quanti,quanti,quanti
HSP90AB4P,21.4969313648085,3.04479868570064e-07,Q58FF6,Q58FF6,6,2,2,Putative heat shock protein HSP 90-beta 4,sp|Q58FF6|H90B4_HUMAN Putative heat shock protein HSP 90-beta 4 OS=Homo sapiens OX=9606 GN=HSP90AB4P PE=5 SV=1,1,6,2,2,2,2,6,3,0,0,2,1,0,0,2,1,9.1,4.2,4.2,58.264,505,505,0.0,3.3079,By matching,By matching,By MS/MS,By MS/MS,0.40287,0.9911,51.658,4,0,Median,,,0.63058,0.37401,,,1.6517,0.91731,,,67.174,5.8875,0,0,2,2,0,0,0,0,Median,Median,Median,Median,4.8,4.8,9.1,8.7,287890000,202130000,85764000,0,0,0,0,0,0,105070000,66561000,38509000,182820000,135570000,47254000,,,,2327,3513;5475;8957;11181;11182;18725,False;True;True;False;False;False,4122;6405;6406;10650;13315;13316;13317;21985;21986;21987,9998;15260;15261;15262;25744;32207;32208;32209;32210;32211;53260;53261;53262;53263;53264;53265;53266;53267;53268;53269;53270;53271,19492;19493;29631;29632;29633;29634;29635;49936;62149;62150;62151;62152;102498;102499;102500;102501;102502;102503;102504;102505;102506;102507;102508;102509;102510;102511;102512;102513;102514;102515;102516;102517;102518;102519;102520;102521;102522;102523;102524;102525;102526;102527;102528;102529;102530;102531;102532;102533;102534;102535;102536;102537;102538;102539;102540;102541;102542;102543;102544;102545;102546;102547;102548;102549;102550;102551;102552;102553;102554;102555;102556;102557,19492;29635;49936;62149;62152;102512,523,,161,,-1,protein_2328,quanti,quanti,imputed MEC,imputed MEC
HSP90AB2P,2.97999619485674,0.0209607873722654,Q58FF8,Q58FF8,11,2,2,Putative heat shock protein HSP 90-beta 2,sp|Q58FF8|H90B2_HUMAN Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2,1,11,2,2,7,6,9,10,1,2,2,2,1,2,2,2,19.9,4.5,4.5,44.348,381,381,0.0,8.6508,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32942,0.90354,9.6179,13,5,Leave out requantified,0.39365,0.37527,0.34324,0.32268,1.1118,0.84468,0.93399,0.912,,11.535,29.25,12.292,1,3,5,4,1,0,3,1,Median,Median,Median,Median,15.0,14.4,19.4,19.4,1666000000,1189100000,476910000,22717000,15711000,7006500,120680000,87665000,33016000,711810000,497850000,213960000,810830000,587900000,222930000,,,,2328,393;3750;7036;7037;7798;15712;17231;20348;20349;20510;20511,False;False;True;True;False;False;False;False;False;False;False,453;454;455;4404;4405;8382;8383;8384;9272;18515;18516;20257;23884;23885;24068;24069;24070,1118;1119;1120;1121;1122;1123;1124;1125;1126;10637;10638;10639;10640;20149;20150;20151;20152;20153;20154;20155;20156;20157;20158;20159;20160;20161;22357;44548;44549;44550;44551;44552;44553;44554;48921;57852;57853;57854;57855;57856;58314;58315;58316;58317;58318;58319;58320;58321;58322;58323,2192;2193;2194;2195;2196;2197;2198;2199;2200;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;20694;20695;20696;20697;20698;39159;39160;39161;39162;39163;39164;39165;39166;39167;39168;39169;39170;39171;39172;39173;39174;39175;39176;39177;39178;39179;39180;39181;39182;39183;39184;39185;39186;39187;39188;39189;39190;39191;39192;43485;85092;85093;85094;85095;85096;85097;85098;85099;85100;85101;85102;85103;85104;85105;85106;93662;93663;111457;111458;111459;111460;111461;111462;111463;111464;111465;111466;112314;112315;112316;112317;112318;112319;112320;112321;112322;112323;112324;112325;112326;112327;112328;112329;112330;112331;112332;112333;112334;112335,2206;20698;39162;39187;43485;85098;93663;111458;111462;112327;112334,515;1094,,107;197,,-1,protein_2329,quanti,quanti,quanti,quanti
ZNF326,0.134503060082622,0.796372292275621,Q5BKZ1;A0A0A0MRN4;E2QRN4,Q5BKZ1,7;3;1,7;3;1,7;3;1,DBIRD complex subunit ZNF326,sp|Q5BKZ1|ZN326_HUMAN DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,3,7,7,7,5,4,5,3,5,4,5,3,5,4,5,3,16.8,16.8,16.8,65.653,582,582;493;53,0.0,7.7584,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38233,0.94305,15.557,17,4,Leave out requantified,0.36404,0.48457,0.41035,0.38233,0.99253,1.1368,1.0585,0.9054,17.332,42.758,27.316,15.093,5,4,5,3,0,3,1,0,Leave out requantified,Median,Leave out requantified,Leave out requantified,12.7,8.8,12.2,7.9,529070000,364870000,164200000,80071000,56988000,23082000,100340000,60729000,39609000,220920000,155740000,65179000,127740000,91410000,36326000,,,,2329,4073;4511;4539;12383;12472;13889;16040,True;True;True;True;True;True;True,4763;5261;5293;14706;14808;16400;18900,11377;11378;11379;12547;12619;35533;35534;35535;35536;35799;35800;35801;39608;39609;45541;45542;45543,22016;22017;22018;22019;24332;24456;68338;68339;68340;68341;68342;68343;68820;68821;68822;68823;76059;76060;86907;86908,22016;24332;24456;68342;68820;76060;86908,,,,,-1;-1;-1,protein_2330,quanti,quanti,quanti,quanti
MAGED2,-3.2576849908922,0.0079942234043242,Q9UNF1;Q5H909;Q5H907,Q9UNF1;Q5H909;Q5H907,5;5;3,5;5;3,5;5;3,Melanoma-associated antigen D2,"sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform ",3,5,5,5,4,3,1,1,4,3,1,1,4,3,1,1,12.4,12.4,12.4,64.953,606,606;588;521,0.0,4.0872,By MS/MS,By MS/MS,By matching,By MS/MS,0.76691,2.2233,29.181,9,1,Leave out requantified,0.79535,1.3405,0.39738,0.63029,2.2233,3.32,0.91726,1.1325,13.97,0.44818,,,4,3,1,1,0,1,0,0,Leave out requantified,Median,Median,Median,10.4,9.7,3.5,1.3,228470000,121560000,106910000,93765000,55705000,38061000,98423000,44831000,53592000,24711000,14666000,10045000,11568000,6354400,5213600,,,,2332,1419;6230;11523;12684;15288,True;True;True;True;True,1656;7363;7364;13714;15034;18026,4096;17724;17725;33138;33139;33140;36352;36353;43322,7862;34395;34396;34397;63819;63820;63821;63822;63823;69908;69909;82721,7862;34397;63822;69908;82721,,,,,-1;-1;-1,protein_2333,quanti,quanti,quanti,quanti
PAGE2;PAGE2B,20.5851343143307,5.93625220908826e-07,Q7Z2X7;Q5JRK9;X6R922;Q5JRL0,Q7Z2X7;Q5JRK9;X6R922;Q5JRL0,2;2;2;2,2;2;2;2,2;2;2;2,P antigen family member 2;Putative G antigen family E member 3,sp|Q7Z2X7|PAGE2_HUMAN P antigen family member 2 OS=Homo sapiens OX=9606 GN=PAGE2 PE=1 SV=1;sp|Q5JRK9|GGEE3_HUMAN Putative G antigen family E member 3 OS=Homo sapiens OX=9606 GN=PAGE2B PE=3 SV=1;tr|X6R922|X6R922_HUMAN P antigen family member 2 OS=Homo sapie,4,2,2,2,0,1,1,1,0,1,1,1,0,1,1,1,18.0,18.0,18.0,12.09,111,111;111;94;94,0.010998,1.1389,,By MS/MS,By MS/MS,By MS/MS,0.34761,0.94332,10.981,2,1,Median,,,0.37495,0.32227,,,1.0195,0.87285,,,,,0,0,1,1,0,0,1,0,Median,Median,Median,Median,0.0,8.1,9.9,9.9,136670000,101730000,34936000,0,0,0,0,0,0,75787000,57027000,18760000,60881000,44704000,16177000,,,,2334,3591;18921,True;True,4208;22235,10188;10189;53921,19838;19839;103811,19839;103811,,,,,-1;-1;-1;-1,protein_2335,quanti,quanti,imputed MEC,imputed MEC
