DCAF6_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
APEX1,-0.0812316225,0.468866951691159,0,P27695;G3V5Q1;G3V3M6;H7C4A8;G3V5D9;A0A0C4DGK8;G3V3C7;G3V5M0;G3V359,P27695;G3V5Q1;G3V3M6;H7C4A8,10;7;7;5;3;3;3;2;2,10;7;7;5;3;3;3;2;2,10;7;7;5;3;3;3;2;2,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",APEX1,sp|P27695|APEX1_HUMAN DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2;tr|G3V5Q1|G3V5Q1_HUMAN DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=1;tr|G3V3M6|G3V3M6_HUMAN ,10,10,35.2,318
CALR,-0.1875147084,0.136092072071559,0,P27797;K7EJB9;K7EL50,P27797;K7EJB9,21;16;1,21;16;1,21;16;1,Calreticulin,CALR,sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1;tr|K7EJB9|K7EJB9_HUMAN Calreticulin (Fragment) OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,21,21,51.8,417
CANX,-0.1341252484,0.415986560077168,0,P27824;D6RDP7;D6RAU8;D6RB85;H0Y9Q7;D6RGY2;D6RFL1;D6RAQ8;H0Y9H1;D6RHJ3;D6RD16;O14967,P27824,16;7;6;6;6;6;5;4;3;2;2;1,16;7;6;6;6;6;5;4;3;2;2;1,16;7;6;6;6;6;5;4;3;2;2;1,Calnexin,CANX,sp|P27824|CALX_HUMAN Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,16,16,35.5,592
PSMA5,-0.6414972575,0.0273470354256538,0,P28066,P28066,10,10,10,Proteasome subunit alpha type-5,PSMA5,sp|P28066|PSA5_HUMAN Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,10,10,39,241
PSMB4,0.4432900686,0.0269904000148589,0,P28070,P28070,4,4,4,Proteasome subunit beta type-4,PSMB4,sp|P28070|PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,4,4,14,264
PSMB6,0.2430135667,0.165189141904739,0,P28072;I3L3X7;A0A087X2I4,P28072,7;3;3,7;3;3,7;3;3,Proteasome subunit beta type-6,PSMB6,sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,7,7,21.3,239
PSMB5,0.1517560746,0.358342119937424,0,P28074;H0YJM8;G8JLC2;G3V3K3,P28074,9;4;1;1,9;4;1;1,9;4;1;1,Proteasome subunit beta type-5,PSMB5,sp|P28074|PSB5_HUMAN Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,9,9,35,263
NDUFS1,0.525316055,0.0421508328605501,0,P28331;B4DJ81;C9JPQ5;F8WDL5,P28331;B4DJ81,11;9;2;1,11;9;2;1,11;9;2;1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,"sp|P28331|NDUS1_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3;tr|B4DJ81|B4DJ81_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=1",11,11,20.6,727
GRN,-1.0309789878,0.0149488138579432,1,P28799;K7EKL3;K7EMR1;K7EQI0;K7EQ05;K7EPL0,P28799;K7EKL3;K7EMR1,5;4;3;2;2;1,5;4;3;2;2;1,5;4;3;2;2;1,Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7,GRN,sp|P28799|GRN_HUMAN Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2;tr|K7EKL3|K7EKL3_HUMAN Progranulin (Fragment) OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=1;tr|K7EMR1|K7EMR1_HUMAN Progranulin (Fragment) OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=1,5,5,11.8,593
LAP3,0.0007789249,0.996435591525952,0,P28838;H0Y9Q1,P28838,14;6,14;6,14;6,Cytosol aminopeptidase,LAP3,sp|P28838|AMPL_HUMAN Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,14,14,36.2,519
TKT,-0.0495609183,0.67980933930529,0,P29401;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4,P29401;A0A0B4J1R6;E9PFF2,40;32;21;7;3,40;32;21;7;3,40;32;21;7;3,Transketolase,TKT,sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3;tr|A0A0B4J1R6|A0A0B4J1R6_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1;tr|E9PFF2|E9PFF2_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1,40,40,75.3,623
ERP29,-0.0558480816,0.693631285168934,0,P30040;F8VY02;F8W1G0,P30040;F8VY02,16;12;2,16;12;2,16;12;2,Endoplasmic reticulum resident protein 29,ERP29,sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4;tr|F8VY02|F8VY02_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=1,16,16,60.5,261
PRDX6,0.1418761166,0.291528751446307,0,P30041,P30041,17,17,17,Peroxiredoxin-6,PRDX6,sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,17,17,61.6,224
BLVRB,0.0187418831,0.890514512613208,0,P30043;M0R192;A0A2R8YEP4;A0A2R8Y7Y9;M0QZL1,P30043;M0R192;A0A2R8YEP4,5;4;4;1;1,5;4;4;1;1,5;4;4;1;1,Flavin reductase (NADPH),BLVRB,sp|P30043|BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3;tr|M0R192|M0R192_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=1;tr|A0A2R8YEP4|A0A2R8YEP4_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=,5,5,27.2,206
PRDX5,-0.4535506567,0.056152187933213,0,P30044,P30044,8,8,8,"Peroxiredoxin-5, mitochondrial",PRDX5,"sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",8,8,38.3,214
PRDX3,0.1446567902,0.317767198855455,0,P30048,P30048,8,8,8,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,"sp|P30048|PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3",8,8,39.1,256
ATP5D,0.2807063823,0.456530649208447,0,P30049,P30049,4,4,4,"ATP synthase subunit delta, mitochondrial",ATP5D,"sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2",4,4,39.3,168
RPL12,0.3467192872,0.0261427905026993,0,P30050,P30050,15,15,15,60S ribosomal protein L12,RPL12,sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,15,15,78.8,165
ECHS1,-0.0611979032,0.709329730531968,0,P30084,P30084,12,12,12,"Enoyl-CoA hydratase, mitochondrial",ECHS1,"sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4",12,12,34.8,290
PEBP1,-0.361740248,0.0265772410858207,0,P30086,P30086,8,8,8,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,8,8,63.1,187
PDIA3,-0.0188652729,0.866781996012583,0,P30101,P30101,39,39,29,Protein disulfide-isomerase A3,PDIA3,sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,39,29,62.4,505
PPP2R1A,-0.1075849434,0.368040153558128,0,P30153;C9J9C1;B3KQV6;E9PH38;E9PPI5;E9PNM7;E9PHZ6,P30153;C9J9C1,18;13;8;4;3;3;3,18;13;8;4;3;3;3,13;8;7;4;0;0;0,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,sp|P30153|2AAA_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4;tr|C9J9C1|C9J9C1_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fr,18,13,35.5,589
PPIF,0.2939907851,0.131761641967894,0,P30405;R4GN99;H0Y548,P30405;R4GN99;H0Y548,13;8;8,13;8;8,13;8;8,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial;Peptidyl-prolyl cis-trans isomerase",PPIF,"sp|P30405|PPIF_HUMAN Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1;tr|R4GN99|R4GN99_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1;tr|H0Y548|H0Y548_HUMAN Peptidyl-prolyl ",13,13,55.6,207
ALDH1B1,0.2275154547,0.0872836008148798,0,P30837;P00352;P47895;O94788;H0Y2X5;H0YMG7,P30837,16;1;1;1;1;1,16;1;1;1;1;1,15;0;0;0;0;0,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,"sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",16,15,35.6,517
SDHA,-0.4036824085,0.032192245766589,0,P31040;D6RFM5;A0A494C1T6;A0A087X1I3;H0Y8X1,P31040;D6RFM5;A0A494C1T6;A0A087X1I3,20;17;14;12;1,20;17;14;12;1,20;17;14;12;1,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,"sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2;tr|D6RFM5|D6RFM5_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 ",20,20,36.7,664
MAT2A,-0.0582510292,0.749405539030596,0,P31153;Q00266,P31153,13;1,13;1,13;1,S-adenosylmethionine synthase isoform type-2,MAT2A,sp|P31153|METK2_HUMAN S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A PE=1 SV=1,13,13,31.4,395
DNAJA1,0.2621061928,0.185746198812393,0,P31689,P31689,4,4,4,DnaJ homolog subfamily A member 1,DNAJA1,sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,4,4,19.4,397
UQCRC1,0.2115345849,0.103673815939916,0,P31930,P31930,22,22,22,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,"sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",22,22,52.9,480
ATIC,-0.1994035093,0.141124289453968,0,P31939;C9JLK0;F8WEF0;H7C1S2,P31939,18;6;4;4,18;6;4;4,18;6;4;4,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,18,18,38.7,592
HNRNPH3,-0.1822350469,0.151826546189135,0,P31942,P31942,15,15,15,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,15,15,62.4,346
YWHAB,-0.1349707526,0.248109940397627,0,P31946;Q4VY20;Q4VY19;A0A0J9YWE8;A0A0J9YWZ2,P31946;Q4VY20;Q4VY19;A0A0J9YWE8,21;12;12;12;6,15;10;10;10;4,12;9;9;9;4,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3;tr|Q4VY20|Q4VY20_HUMAN 14-3-3 protein beta/alpha (Fragment) OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=1;tr|Q4VY19|Q4VY19_HUMAN 14-3-3 protein beta/alpha (Fragment) OS,21,12,61.8,246
SFN,-0.1349968481,0.492364392066541,0,P31947,P31947,19,15,15,14-3-3 protein sigma,SFN,sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,19,15,63.3,248
STIP1,-0.203472273,0.187147674934166,0,P31948;F5H783;F5GXD8;H0YGI8,P31948;F5H783,29;16;10;5,29;16;10;5,29;16;10;5,Stress-induced-phosphoprotein 1,STIP1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1;tr|F5H783|F5H783_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,29,29,52.3,543
S100A11,-0.1461727454,0.217316561739297,0,P31949,P31949,9,9,9,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,9,9,58.1,105
PRDX2,-0.2579275344,0.0895026617047419,0,P32119;A6NIW5,P32119,8;3,7;3,7;3,Peroxiredoxin-2,PRDX2,sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,8,7,40.9,198
PYCR1,0.2672428872,0.120034938407932,0,P32322;E2QRB3;J3KQ22;J3QL24;J3QLK9;J3QL32;J3QR88;J3QKT4;J3KTA8;J3QKT3;J3QRZ0;J3KSA9,P32322;E2QRB3;J3KQ22;J3QL24,13;12;8;7;6;6;5;5;4;4;4;1,13;12;8;7;6;6;5;5;4;4;4;1,7;6;3;2;1;1;1;2;1;1;1;0,"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase",PYCR1,"sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|E2QRB3|E2QRB3_HUMAN Pyrroline-5-carboxylate reductase 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|J3KQ22|J3KQ22_HUMAN ",13,7,52.7,319
RPL9,0.2463750969,0.112430551845058,0,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0;H0Y9V9;H0Y9R4,P32969;D6RAN4;A0A2R8Y5Y7;E7ESE0,16;15;14;13;7;6,16;15;14;13;7;6,16;15;14;13;7;6,60S ribosomal protein L9,RPL9,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|D6RAN4|D6RAN4_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=8;tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN 60S ribosomal protein L9 OS=Homo sapi,16,16,65.1,192
CD70,-0.6132486058,0.347037644262435,0,P32970,P32970,5,5,5,CD70 antigen,CD70,sp|P32970|CD70_HUMAN CD70 antigen OS=Homo sapiens OX=9606 GN=CD70 PE=1 SV=2,5,5,35.2,193
KIF5B,0.2491645268,0.268523777429209,0,P33176,P33176,12,12,9,Kinesin-1 heavy chain,KIF5B,sp|P33176|KINH_HUMAN Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,12,9,16.5,963
MCM5,-0.0124449434,0.934516109294286,0,P33992;B1AHB1;B1AHB2;B1AHA9;F8WFD7,P33992;B1AHB1,27;25;7;6;1,27;25;7;6;1,27;25;7;6;1,DNA replication licensing factor MCM5;DNA helicase,MCM5,sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5;tr|B1AHB1|B1AHB1_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=1,27,27,39.4,734
MCM7,-0.4301571088,0.0372277324192645,0,P33993;C9J8M6,P33993,25;6,25;6,25;6,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,25,25,47.7,719
SHMT2,0.2036553185,0.156305411255333,0,P34897;H0YIZ0;G3V2Y4;G3V5L0;G3V4W5;G3V540;G3V241;G3V3Y8;G3V4T0;G3V4X0;G3V2W0;G3V2E4;G3V2D2;G3V2Y1;G3V3C6,P34897;H0YIZ0;G3V2Y4,40;23;20;13;11;9;7;7;7;7;7;7;1;1;1,40;23;20;13;11;9;7;7;7;7;7;7;1;1;1,39;23;19;12;10;8;7;7;7;7;7;7;0;1;1,"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase",SHMT2,"sp|P34897|GLYM_HUMAN Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3;tr|H0YIZ0|H0YIZ0_HUMAN Serine hydroxymethyltransferase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=1;tr|G3V2Y4|G3V2Y4_HUMA",40,39,77.8,504
HSPA4,-0.0112311567,0.923944073577452,0,P34932;A0A087WYC1;A0A087WTS8,P34932;A0A087WYC1;A0A087WTS8,51;43;38,51;43;38,48;40;36,Heat shock 70 kDa protein 4,HSPA4,sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4;tr|A0A087WYC1|A0A087WYC1_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=1;tr|A0A087WTS8|A0A087WTS8_HUMAN Heat shock 70 kDa protein 4 OS,51,48,57.5,840
GPC1,0.5379316119,0.0455576490806708,0,P35052;H7C410;H7C024;C9J4Y6;H7BZE9;H7BZL4,P35052;H7C410;H7C024,5;4;3;2;2;1,5;4;3;2;2;1,5;4;3;2;2;1,Glypican-1;Secreted glypican-1,GPC1,sp|P35052|GPC1_HUMAN Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|H7C410|H7C410_HUMAN Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2;tr|H7C024|H7C024_HUMAN Glypican-1 (Fragment) OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2,5,5,12.4,558
PHB,0.0680105472,0.564477003075064,0,P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2;D6RBK0,P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2,26;23;19;17;17;8,26;23;19;17;17;8,26;23;19;17;17;8,Prohibitin,PHB,sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;tr|C9JW96|C9JW96_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|E9PCW0|E9PCW0_HUMAN Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2;tr|C9JZ20|C9,26,26,86.4,272
RPA3,-0.5346913249,0.0125729380128462,0,P35244,P35244,3,3,2,Replication protein A 14 kDa subunit,RPA3,sp|P35244|RFA3_HUMAN Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,3,2,36.4,121
RFC2,-0.5862199125,0.00622912525805161,0,P35250;H7C5P4;A0A087WVY3,P35250;H7C5P4;A0A087WVY3,6;3;3,6;3;3,6;3;3,Replication factor C subunit 2,RFC2,sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3;tr|H7C5P4|H7C5P4_HUMAN Replication factor C subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=1;tr|A0A087WVY3|A0A087WVY3_HUMAN Replication factor C sub,6,6,21.5,354
RPL22,0.1738639707,0.292453525638751,0,P35268;K7ERI7;K7EMH1;K7ELC4;K7EP65;K7EKS7;K7EJT5,P35268;K7ERI7;K7EMH1;K7ELC4,13;12;11;10;6;6;4,13;12;11;10;6;6;4,9;8;7;6;6;6;4,60S ribosomal protein L22,RPL22,sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2;tr|K7ERI7|K7ERI7_HUMAN 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=1;tr|K7EMH1|K7EMH1_HUMAN 60S ribosomal protein L22 (Fragment) OS=Homo sapien,13,9,82,128
SPR,-0.488209488,0.114183986929187,0,P35270,P35270,4,4,4,Sepiapterin reductase,SPR,sp|P35270|SPRE_HUMAN Sepiapterin reductase OS=Homo sapiens OX=9606 GN=SPR PE=1 SV=1,4,4,22.2,261
MYH9,0.0175248721,0.891519159497354,0,P35579;Q5BKV1;B1AH99;A0A494C024;A0A2R8Y4C3;A0A0C4DFM8;P12883;P13535;P11055;A1L2Z2,P35579,108;10;3;3;2;2;1;1;1;1,108;10;3;3;2;2;1;1;1;1,92;10;3;0;0;0;0;0;0;0,Myosin-9,MYH9,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,108,92,53.6,1960
MYH10,-0.0212994554,0.890799969072733,0,P35580;E7ERA5,P35580,13;1,3;1,3;1,Myosin-10,MYH10,sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,13,3,6.3,1976
COPB2,0.1107659923,0.417384737770741,0,P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;D6R997;H0Y938,P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;D6R997,8;4;4;4;4;4;1,8;4;4;4;4;4;1,8;4;4;4;4;4;1,Coatomer subunit beta,COPB2,sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2;tr|D6RBZ7|D6RBZ7_HUMAN Coatomer subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=1;tr|D6RCL6|D6RCL6_HUMAN Coatomer subunit beta (Fragment) OS=Homo sap,8,8,10.5,906
PSMC2,-0.3356926648,0.0292827669332084,0,P35998;C9JLS9,P35998,12;2,12;2,12;2,26S protease regulatory subunit 7,PSMC2,sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,12,12,35.1,433
ATP5C1,-0.1778062005,0.409239629213895,0,P36542,P36542,15,15,15,"ATP synthase subunit gamma, mitochondrial",ATP5C1,"sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",15,15,37.2,298
ATP6V1E1,-2.497826772,0.12532525725779,0,P36543;C9J8H1,P36543;C9J8H1,4;2,4;2,4;2,V-type proton ATPase subunit E 1,ATP6V1E1,sp|P36543|VATE1_HUMAN V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1;tr|C9J8H1|C9J8H1_HUMAN V-type proton ATPase subunit E 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1,4,4,18.1,226
CPOX,-0.0409172664,0.811808149708237,0,P36551;H0YA22;D6RER6,P36551,18;4;2,18;4;2,18;4;2,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,"sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",18,18,39.6,454
RPL4,0.3601563966,0.0237129588662167,0,P36578;H3BM89;H3BU31;H3BTP7,P36578;H3BM89,53;41;22;20,53;41;22;20,53;41;22;20,60S ribosomal protein L4,RPL4,sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5;tr|H3BM89|H3BM89_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=1,53,53,72.4,427
DLST,-0.10674405,0.433114901691,0,P36957;Q86SW4,P36957,11;3,11;3,11;3,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,"sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",11,11,25.2,453
SRP14,0.135506122,0.290250542563165,0,P37108;H0YLA2,P37108;H0YLA2,6;3,6;3,6;3,Signal recognition particle 14 kDa protein,SRP14,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,6,6,46.3,136
TAGLN2,0.1111679524,0.378066684968698,0,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,18;16;1;1,18;16;1;1,18;16;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,18,18,67.8,199
TALDO1,-0.1735595662,0.375336312554533,0,P37837;F2Z393,P37837;F2Z393,17;10,17;10,17;10,Transaldolase,TALDO1,sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2;tr|F2Z393|F2Z393_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=1,17,17,43.3,337
