POC1B_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
LGALS1,-0.0280483284,0.825712313325905,0,P09382;F8WEI7,P09382,15;2,15;2,15;2,Galectin-1,LGALS1,sp|P09382|LEG1_HUMAN Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,15,15,95.6,135
QDPR,0.0866458029,0.534097393228053,0,P09417;B7Z415;D6RGG7;H0Y8F7;D6RHJ7,P09417;B7Z415;D6RGG7,6;3;3;2;1,6;3;3;2;1,6;3;3;2;1,Dihydropteridine reductase,QDPR,sp|P09417|DHPR_HUMAN Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2;tr|B7Z415|B7Z415_HUMAN Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=1;tr|D6RGG7|D6RGG7_HUMAN Dihydropteridine reductase OS=Homo sapiens OX=9606 ,6,6,28.7,244
HMGB1,-0.1249332875,0.286190227775215,0,P09429;Q5T7C4;B2RPK0,P09429;Q5T7C4,15;13;6,15;13;6,9;9;2,High mobility group protein B1,HMGB1,sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3;tr|Q5T7C4|Q5T7C4_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=1,15,9,44.7,215
CLTA,-0.197488961,0.0915361723445725,0,P09496;C9J8P9;F8WF69,P09496;C9J8P9;F8WF69,7;5;4,7;5;4,7;5;4,Clathrin light chain A,CLTA,sp|P09496|CLCA_HUMAN Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1;tr|C9J8P9|C9J8P9_HUMAN Clathrin light chain OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1;tr|F8WF69|F8WF69_HUMAN Clathrin light chain OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=,7,7,25.8,248
ANXA4,-0.3816845161,0.121729842092303,0,P09525;Q6P452;B4E1S2,P09525;Q6P452;B4E1S2,9;8;5,9;8;5,9;8;5,Annexin A4;Annexin,ANXA4,sp|P09525|ANXA4_HUMAN Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4;tr|Q6P452|Q6P452_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=1;tr|B4E1S2|B4E1S2_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=1,9,9,32.3,319
DLD,-0.1380004377,0.198320539613712,0,P09622;E9PEX6;F8WDM5;A0A1W2PR83;F2Z2E3,P09622;E9PEX6,14;13;2;2;2,14;13;2;2;2,14;13;2;2;2,"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase",DLD,"sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2;tr|E9PEX6|E9PEX6_HUMAN Dihydrolipoyl dehydrogenase OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=1",14,14,34.4,509
SNRPA1,0.0020753395,0.988285031595748,0,P09661;H0YKK0;H0YMA0;H0YLR3,P09661;H0YKK0;H0YMA0,8;6;4;2,8;6;4;2,8;6;4;2,U2 small nuclear ribonucleoprotein A,SNRPA1,"sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2;tr|H0YKK0|H0YKK0_HUMAN Small nuclear ribonucleoprotein polypeptide A, isoform CRA_a OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=1;tr|H0YMA0|H0YMA0_HUMAN U",8,8,29.4,255
PARP1,-0.2492886892,0.0597766627949322,0,P09874;Q5VX84;Q5VX85,P09874,19;1;1,19;1;1,19;1;1,Poly [ADP-ribose] polymerase 1,PARP1,sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,19,19,24.3,1014
LTA4H,-0.1696444342,0.229674989586627,0,P09960;B4DEH5,P09960,12;2,12;2,12;2,Leukotriene A-4 hydrolase,LTA4H,sp|P09960|LKHA4_HUMAN Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2,12,12,28.3,611
H2AFV;H2AFZ,-0.3097478828,0.0995665699622739,0,Q71UI9;P0C0S5;C9J0D1;A0A494C189;C9J386,Q71UI9;P0C0S5;C9J0D1;A0A494C189,8;8;6;6;2,6;6;4;4;1,6;6;4;4;1,Histone H2A.V;Histone H2A.Z;Histone H2A,H2AFV;H2AFZ,sp|Q71UI9|H2AV_HUMAN Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3;sp|P0C0S5|H2AZ_HUMAN Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2;tr|C9J0D1|C9J0D1_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=1;tr|A0A494C189|A0A494C1,8,6,58.6,128
U2AF1,-0.0677283511,0.522274097205561,0,Q01081;P0DN76;Q8WU68;A0A1B0GW87;M0QYK5;M0R2N4,Q01081;P0DN76,4;4;1;1;1;1,4;4;1;1;1;1,4;4;1;1;1;1,Splicing factor U2AF 35 kDa subunit,U2AF1,sp|Q01081|U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3;sp|P0DN76|U2AF5_HUMAN Splicing factor U2AF 35 kDa subunit-like protein OS=Homo sapiens OX=9606 GN=U2AF1L5 PE=1 SV=1,4,4,25.8,240
CALM2;CALM3;CALM1,-0.0697149807,0.518355097596775,0,P0DP25;P0DP24;P0DP23;A0A590UK56;E7EMB3;F8WBR5;M0QZ52;G3V479;G3V361;A0A590UJI2;Q96HY3;A0A590UJC0;G3V226;P27482;P02585;C9J7T9,P0DP25;P0DP24;P0DP23;A0A590UK56;E7EMB3;F8WBR5;M0QZ52;G3V479,7;7;7;5;5;4;4;4;3;3;3;2;2;1;1;1,7;7;7;5;5;4;4;4;3;3;3;2;2;1;1;1,7;7;7;5;5;4;4;4;3;3;3;2;2;1;1;1,,CALM2;CALM3;CALM1,sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;tr|A0A590UK56|A0A590UK,7,7,45.6,149
GAA,-0.9016285829,0.00597216056863656,0,P10253;I3L0S5;I3L3L3,P10253,8;2;2,8;2;2,8;2;2,Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase,GAA,sp|P10253|LYAG_HUMAN Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4,8,8,9.3,952
HIST1H1E;HIST1H1D,-0.4276752916,0.0190422845760924,0,P10412;P16402;P16401;P22492,P10412;P16402,18;15;5;3,18;15;5;3,4;1;0;0,Histone H1.4;Histone H1.3,HIST1H1E;HIST1H1D,sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,18,4,45.2,219
TXN,-0.1469029402,0.34653761254108,0,P10599,P10599,3,3,3,Thioredoxin,TXN,sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,3,3,39,105
COX5B,0.004772527,0.96724099828504,0,P10606,P10606,4,4,4,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,"sp|P10606|COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2",4,4,30.2,129
CTSA,0.08904427,0.847340097852575,0,P10619;X6R8A1;X6R5C5,P10619;X6R8A1;X6R5C5,4;4;4,4;4;4,4;4;4,Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain;Carboxypeptidase,CTSA,sp|P10619|PPGB_HUMAN Lysosomal protective protein OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=2;tr|X6R8A1|X6R8A1_HUMAN Carboxypeptidase OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=1;tr|X6R5C5|X6R5C5_HUMAN Carboxypeptidase OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=1,4,4,10.6,480
PRKAR1A,-1.4871865193,0.116731831123801,0,P10644;K7EPB2;K7EM13;P31321;K7EKR1;K7EPR5;K7EQK3;K7EMU2;X6RAV4;K7EMZ6;K7EIE5;K7EID3;K7EJ40;K7EK41;H7BYW5;C9JSK5,P10644;K7EPB2;K7EM13,4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",PRKAR1A,sp|P10644|KAP0_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1;tr|K7EPB2|K7EPB2_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens OX=9606 GN=PRKAR,4,4,11.5,381
ESD,0.0384476099,0.825141750924449,0,P10768;U3KQT1;X6RA14;H7BZT7,P10768;U3KQT1;X6RA14;H7BZT7,11;10;8;7,11;10;8;7,11;10;8;7,S-formylglutathione hydrolase,ESD,"sp|P10768|ESTD_HUMAN S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2;tr|U3KQT1|U3KQT1_HUMAN Esterase D/formylglutathione hydrolase, isoform CRA_c OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2;tr|X6RA14|X6RA14_HUMAN S-formylglutathione hyd",11,11,47.5,282
HSPD1,0.2864823302,0.0378766319616057,0,P10809;E7ESH4;E7EXB4;C9JL25;C9JL19;C9JCQ4;C9J0S9,P10809,52;19;18;9;7;7;1,52;19;18;9;7;7;1,52;19;18;9;7;7;1,"60 kDa heat shock protein, mitochondrial",HSPD1,"sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",52,52,66.7,573
HSPA5,0.1921272327,0.0970203242123544,0,P11021,P11021,30,29,29,78 kDa glucose-regulated protein,HSPA5,sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,30,29,49.4,654
HSPA8,0.3495691421,0.0292815540029482,0,P11142;E9PKE3;E9PN89;E9PNE6;A8K7Q2;E9PLF4;E9PQQ4;E9PQK7;E9PK54;E9PI65;E9PPY6;E9PN25;E9PS65;E9PM13,P11142;E9PKE3;E9PN89;E9PNE6,48;43;36;30;22;21;20;20;20;16;14;12;4;1,48;43;36;30;22;21;20;20;20;16;14;12;4;1,38;33;28;23;17;18;18;18;18;12;12;10;4;1,Heat shock cognate 71 kDa protein,HSPA8,sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PKE3|E9PKE3_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PN89|E9PN89_HUMAN Heat shock cognate 71 kDa protein ,48,38,52.3,646
UMPS,0.3292691974,0.022268039081215,0,P11172;F2Z3P2;F2Z303;F8WDG4;E9PFD2,P11172,5;1;1;1;1,5;1;1;1;1,5;1;1;1;1,Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase,UMPS,sp|P11172|UMPS_HUMAN Uridine 5-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS PE=1 SV=1,5,5,14.2,480
PDHB,-0.1103633836,0.431672515389967,0,P11177;C9J634;F8WF02,P11177;C9J634,9;5;3,9;5;3,9;5;3,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,"sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3;tr|C9J634|C9J634_HUMAN Pyruvate dehydrogenase E1 component subunit beta OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=1",9,9,27,359
RALB;RALA,0.1103043739,0.293402283019132,0,P11234;P11233;F8WEQ6;C9JPE8;C9JYR1;H7C3P7;C9J6B1;C9JQB3,P11234;P11233;F8WEQ6;C9JPE8;C9JYR1;H7C3P7;C9J6B1;C9JQB3,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,Ras-related protein Ral-B;Ras-related protein Ral-A,RALB;RALA,sp|P11234|RALB_HUMAN Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB PE=1 SV=1;sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1;tr|F8WEQ6|F8WEQ6_HUMAN Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RA,2,2,11.2,206
LAMP1,-0.4046991491,0.0417881445062483,0,P11279,P11279,4,4,4,Lysosome-associated membrane glycoprotein 1,LAMP1,sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3,4,4,11.3,417
TOP2A,-0.4206692711,0.23394972117511,0,P11388;Q02880;J3KTB7;E9PCY5,P11388,12;2;2;2,12;2;2;2,12;2;2;2,DNA topoisomerase 2-alpha,TOP2A,sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,12,12,11.1,1531
G6PD,-0.2348787452,0.338336003850558,0,P11413;E7EM57;E7EUI8;E9PD92,P11413;E7EM57;E7EUI8;E9PD92,27;16;16;15,27;16;16;15,27;16;16;15,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E7EM57|E7EM57_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=1;tr|E7EUI8|E7EUI8_HUMAN Glucose-6-phosphate 1-,27,27,61.9,515
ADH5,0.0682141091,0.597964148416021,0,P11766;D6RFE4;H0YAG8;D6RAY0;D6R9G2,P11766;D6RFE4;H0YAG8,6;3;3;2;2,6;3;3;2;2,6;3;3;2;2,Alcohol dehydrogenase class-3,ADH5,sp|P11766|ADHX_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4;tr|D6RFE4|D6RFE4_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=1;tr|H0YAG8|H0YAG8_HUMAN Alcohol dehydrogenase class-3 (Fragment) OS=H,6,6,21.9,374
PCNA,-0.267439456,0.0962043787413882,0,P12004,P12004,18,18,18,Proliferating cell nuclear antigen,PCNA,sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,18,18,47.9,261
HARS,0.6419117501,0.0153945947064593,0,P12081;B3KWE1;B4DDD8;E7ETE2;B4E1C5;P49590;D6RF05;A0A2R8YCI2;A0A2R8Y4X6;A0A2R8Y5E8;D6RJE6;A0A2R8Y6I1;A0A2R8Y3N3;A0A2R8Y5P7;A0A2R8YFR1,P12081;B3KWE1;B4DDD8;E7ETE2;B4E1C5,10;8;7;6;5;2;2;2;2;2;2;2;2;2;1,10;8;7;6;5;2;2;2;2;2;2;2;2;2;1,10;8;7;6;5;2;2;2;2;2;2;2;2;2;1,"Histidine--tRNA ligase, cytoplasmic",HARS,"sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2;tr|B3KWE1|B3KWE1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=1;tr|B4DDD8|B4DDD8_HUMAN Histidine--tRNA ligase, cytopl",10,10,19.6,509
SLC25A6,0.0081054069,0.945576104839057,0,P12236,P12236,20,4,2,"ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed",SLC25A6,sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,20,2,49.7,298
IMPDH2,0.2442421616,0.0711484347845844,0,P12268;H0Y4R1;E7ETK5;P20839;C9K0R9;A0A3B3IRL5;C9J381,P12268;H0Y4R1,25;24;9;1;1;1;1,25;24;9;1;1;1;1,25;24;9;1;1;1;1,Inosine-5-monophosphate dehydrogenase 2,IMPDH2,sp|P12268|IMDH2_HUMAN Inosine-5-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2;tr|H0Y4R1|H0Y4R1_HUMAN Inosine-5-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=1,25,25,53.1,514
TPR,-0.1092515311,0.321212281077645,0,P12270,P12270,6,6,6,Nucleoprotein TPR,TPR,sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,6,6,2.8,2363
CKB,0.2930365382,0.0262186129107505,0,P12277;G3V4N7;G3V461;H0YJG0,P12277;G3V4N7,6;4;1;1,6;4;1;1,6;4;1;1,Creatine kinase B-type,CKB,sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1;tr|G3V4N7|G3V4N7_HUMAN Creatine kinase B-type (Fragment) OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,6,6,26.5,381
ANXA3,-0.1506866642,0.348251677076359,0,P12429;D6RA82;D6RFG5;D6RCA8;D6RAZ8;D6RFJ9,P12429;D6RA82;D6RFG5,8;7;4;3;2;1,8;7;4;3;2;1,8;7;4;3;2;1,Annexin A3;Annexin,ANXA3,sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3;tr|D6RA82|D6RA82_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=1;tr|D6RFG5|D6RFG5_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=1,8,8,29.4,323
CKMT1A;CKMT1B,-0.2401775286,0.142336594273966,0,P12532;F8WCN3;C9JSQ1;C9JJX8;C9J995;C9J8F6;C9J6W7;C9JT96;P17540,P12532;F8WCN3;C9JSQ1,10;7;5;3;3;3;3;3;2,10;7;5;3;3;3;3;3;2,10;7;5;3;3;3;3;3;2,"Creatine kinase U-type, mitochondrial",CKMT1A;CKMT1B,"sp|P12532|KCRU_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;tr|F8WCN3|F8WCN3_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;tr|C9JSQ1|C9JSQ1_HUMAN Creatine kinase U-type, m",10,10,41.7,417
ACTN1,0.4708983445,0.0416491060404872,0,P12814;H9KV75;G3V2N5;G3V2W4;Q08043;A0A494C1A0;G3V2X9;P35609;H0YJW3;A0A087WSZ2;A0A494C166;A0A494C033;H0YJ11;G3V5M4;H7C5W8;A0A494C0Q3;G3V2E8;F6THM6;G3V380;A0A494C031,P12814;H9KV75,45;39;22;20;11;11;11;11;9;8;8;8;7;7;6;5;4;3;2;1,25;23;11;10;0;1;6;1;6;0;1;1;5;3;4;1;1;0;2;1,25;23;11;10;0;1;6;1;6;0;1;1;5;3;4;1;1;0;2;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,45,25,52.2,892
XRCC6,-0.028111388,0.767329726370465,0,P12956;B1AHC9,P12956;B1AHC9,21;20,21;20,21;20,X-ray repair cross-complementing protein 6,XRCC6,sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2;tr|B1AHC9|B1AHC9_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=1,21,21,31,609
XRCC5,-0.223916289,0.110947138737115,0,P13010;C9JZ81;H7C0H9,P13010,24;5;2,24;5;2,24;5;2,X-ray repair cross-complementing protein 5,XRCC5,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,24,24,35.7,732
COX4I1,0.7342454492,0.0175485284604743,0,P13073;H3BN72;H3BNV9;Q86WV2;H3BNI5;H3BPG0,P13073;H3BN72;H3BNV9;Q86WV2,5;4;4;3;2;2,5;4;4;3;2;2,5;4;4;3;2;2,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,"sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1;tr|H3BN72|H3BN72_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1;tr|H3BNV9|H",5,5,33.7,169
RNH1,-0.2566210034,0.0591688000136056,0,P13489;H0YCR7;E9PMJ3;E9PLZ3;E9PIM9;E9PIK5;E9PMN0;E9PMA9;E9PR82;E9PMI1,P13489;H0YCR7,15;8;7;7;7;5;3;2;1;1,15;8;7;7;7;5;3;2;1;1,15;8;7;7;7;5;3;2;1;1,Ribonuclease inhibitor,RNH1,sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2;tr|H0YCR7|H0YCR7_HUMAN Ribonuclease inhibitor (Fragment) OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=1,15,15,44.9,461
EEF2,0.2534791654,0.0561247546345459,0,P13639,P13639,62,62,60,Elongation factor 2,EEF2,sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,62,60,68.4,858
PDIA4,-0.2429738123,0.29670599091726,0,P13667;A0A499FI48,P13667;A0A499FI48,8;7,8;7,8;7,Protein disulfide-isomerase A4,PDIA4,sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2;tr|A0A499FI48|A0A499FI48_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=1,8,8,17.7,645
ETFA,-0.3199438764,0.064662668968972,0,P13804;H0YK49;H0YNX6;H0YLU7;H0YL12;H0YKF0;H0YL83;J3KN60,P13804;H0YK49;H0YNX6;H0YLU7;H0YL12,8;6;5;5;4;3;2;1,8;6;5;5;4;3;2;1,8;6;5;5;4;3;2;1,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,"sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;tr|H0YK49|H0YK49_HUMAN Electron transfer flavoprotein subunit alpha OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;tr|H0YNX6|H0YNX6_HUMAN ",8,8,34.2,333
PRKAR2A,0.4251101283,0.0699108743788835,0,P13861;H7C1L0;H7C330;P31323;H7C4A9;C9J830,P13861;H7C1L0,14;8;5;3;1;1,14;8;5;3;1;1,14;8;5;3;1;1,cAMP-dependent protein kinase type II-alpha regulatory subunit,PRKAR2A,sp|P13861|KAP2_HUMAN cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2;tr|H7C1L0|H7C1L0_HUMAN cAMP-dependent protein kinase type II-alpha regulatory subunit (Fragment) OS=Homo sapiens OX=9606 GN=PRK,14,14,40.3,404
MTHFD2,0.0789493772,0.513243570598263,0,P13995;B9A062;B8ZZU9,P13995;B9A062;B8ZZU9,7;4;4,7;4;4,7;4;4,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase",MTHFD2,"sp|P13995|MTDC_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2;tr|B9A062|B9A062_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS",7,7,23.7,350
MIF,-0.4133994149,0.0112530626993723,0,P14174,P14174,6,6,6,Macrophage migration inhibitory factor,MIF,sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,6,6,45.2,115
FDPS,-0.0806912667,0.706315176264273,0,P14324;A0A087X1D8;A0A087WVN4;A0A087X090;A0A087WTP2,P14324;A0A087X1D8;A0A087WVN4,7;4;4;3;2,7;4;4;3;2,7;4;4;3;2,Farnesyl pyrophosphate synthase,FDPS,sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4;tr|A0A087X1D8|A0A087X1D8_HUMAN Farnesyl pyrophosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=1;tr|A0A087WVN4|A0A087WVN4_HUMAN Farnesyl pyrop,7,7,29.8,419
AKR1A1,-0.6538056382,0.0138126754011482,0,P14550;Q5T621;V9GYG2;V9GYP9,P14550,16;6;5;5,16;6;5;5,16;6;5;5,Alcohol dehydrogenase [NADP(+)],AKR1A1,sp|P14550|AK1A1_HUMAN Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,16,16,48.9,325
PKM,-0.1414692064,0.21753704801818,0,P14618;B4DNK4,P14618;B4DNK4,55;47,55;47,5;5,Pyruvate kinase PKM;Pyruvate kinase,PKM,sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4;tr|B4DNK4|B4DNK4_HUMAN Pyruvate kinase OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=1,55,5,86.6,531
