Gene_names,POC1B_vs_BirA_logFC,POC1B_vs_BirA_pval,ID,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_POC1B_N1,Peptides_POC1B_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_POC1B_N1,Razor___unique_peptides_POC1B_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_POC1B_N1,Unique_peptides_POC1B_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_POC1B_N1,Identification_type_POC1B_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_POC1B_N1,Ratio_H_L_POC1B_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_POC1B_N1,Ratio_H_L_normalized_POC1B_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____POC1B_N1,Ratio_H_L_variability_____POC1B_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_POC1B_N1,Ratio_H_L_count_POC1B_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_POC1B_N1,Ratio_H_L_iso_count_POC1B_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_POC1B_N1,Ratio_H_L_type_POC1B_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_POC1B_N1____,Sequence_coverage_POC1B_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_POC1B_N1,Intensity_L_POC1B_N1,Intensity_H_POC1B_N1,Intensity_POC1B_N2,Intensity_L_POC1B_N2,Intensity_H_POC1B_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_POC1B_N1,metacell_Intensity_L_POC1B_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
RBX1,-1.3060407824871,0.0056264114881165,protein_1762,P62877,P62877,2,2,2,"E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed",sp|P62877|RBX1_HUMAN E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens OX=9606 GN=RBX1 PE=1 SV=1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,17.6,17.6,17.6,12.274,108,108,0.0,5.3371,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43373,1.0801,87.556,6,3,Median,0.36335,0.43373,2.5196,2.3663,0.94165,1.0801,5.5095,5.3917,3.3732,13.157,,,2,2,1,1,1,0,1,1,Median,Median,Median,Median,17.6,17.6,16.7,16.7,180050000,90755000,89295000,36455000,27642000,8812400,63203000,40992000,22211000,44943000,12801000,32142000,35449000,9319900,26129000,,,,1761,33;34,True;True,33;34,95;96;97;98;99;100,183;184;185;186;187;188,185;188,,,,,-1,protein_1762,quanti,quanti,quanti,quanti
GNB2,0.00234919266996769,0.991943680015407,protein_1763,P62879;C9JIS1;C9JXA5;E7EP32;C9JZN1;P16520;C9JD14;F5H8J8;F5H100;F5H0S8;E9PCP0,P62879;C9JIS1;C9JXA5;E7EP32;C9JZN1,12;11;11;10;8;1;1;1;1;1;1,12;11;11;10;8;1;1;1;1;1;1,7;6;6;5;3;0;0;0;0;0;0,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,sp|P62879|GBB2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3;tr|C9JIS1|C9JIS1_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (Fragment) OS=Homo sapiens OX=9606 GN=GN,11,12,12,7,9,9,8,9,9,9,8,9,6,5,4,5,48.2,48.2,32.9,37.331,340,340;232;251;296;152;340;79;232;232;264;339,0.0,18.243,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.73052,1.8496,8.8635,35,1,Leave out requantified,0.5786,0.71141,0.77321,0.81893,1.8162,1.9543,1.7495,1.8285,21.755,17.796,9.8825,9.8996,9,9,8,9,0,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,45.3,48.2,36.2,37.6,1914300000,1080700000,833590000,373780000,240370000,133410000,648810000,363600000,285210000,465390000,257760000,207630000,426320000,218980000,207340000,,,,1762,2975;6785;6851;8164;8165;8476;8613;11812;12723;13184;13185;13186,True;True;True;True;True;True;True;True;True;True;True;True,3109;7099;7165;8581;8582;8905;9048;12399;13352;13833;13834;13835,9101;9102;20529;20530;20531;20532;20533;20701;20702;20703;20704;24897;24898;24899;24900;24901;24902;25881;25882;25883;25884;26288;26289;26290;35493;35494;38221;38222;38223;38224;39616;39617;39618;39619;39620;39621,17715;17716;17717;17718;17719;17720;17721;39983;39984;39985;39986;39987;39988;39989;39990;39991;39992;39993;39994;39995;39996;39997;39998;40302;40303;40304;40305;40306;40307;40308;40309;48249;48250;48251;48252;48253;48254;48255;48256;48257;48258;48259;48260;48261;48262;48263;50100;50101;50102;50103;50873;50874;50875;50876;50877;50878;50879;50880;50881;68123;73202;76024;76025;76026;76027;76028;76029;76030;76031;76032;76033;76034;76035,17721;39987;40308;48252;48261;50103;50874;68123;73202;76025;76030;76033,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1763,quanti,quanti,quanti,quanti
RPL39;RPL39P5,0.0873145536861948,0.848598872002981,protein_1764,P62891;Q59GN2,P62891;Q59GN2,2;2,2;2,2;2,60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5,sp|P62891|RL39_HUMAN 60S ribosomal protein L39 OS=Homo sapiens OX=9606 GN=RPL39 PE=1 SV=2;sp|Q59GN2|R39L5_HUMAN Putative 60S ribosomal protein L39-like 5 OS=Homo sapiens OX=9606 GN=RPL39P5 PE=5 SV=2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23.5,23.5,23.5,6.4066,51,51;51,0.0,32.026,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39052,0.92331,3.2973,9,2,Leave out requantified,0.18251,0.27985,0.4437,0.47404,0.65838,0.76291,0.99779,1.0895,59.9,12.783,3.361,20.115,3,2,2,2,2,0,0,0,Median,Median,Median,Median,23.5,23.5,23.5,23.5,535260000,369720000,165540000,170480000,125720000,44760000,95977000,75325000,20651000,155640000,99599000,56038000,113170000,69081000,44091000,,,,1763,11139;11213,True;True,11696;11771,33596;33597;33598;33599;33600;33781;33782;33783;33784,64582;64583;64584;64585;64586;64587;64588;64900;64901;64902;64903;64904;64905;64906;64907;64908;64909,64583;64908,,,,,-1;-1,protein_1764,quanti,quanti,quanti,quanti
RPL10A,0.283218719902504,0.476503044312424,protein_1766,P62906,P62906,14,14,14,60S ribosomal protein L10a,sp|P62906|RL10A_HUMAN 60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,1,14,14,14,8,10,7,10,8,10,7,10,8,10,7,10,47.9,47.9,47.9,24.831,217,217,0.0,28.17,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35242,0.90574,19.978,44,17,Leave out requantified,0.21858,0.26826,0.43851,0.4169,0.766,0.74697,1.0032,0.95149,13.699,22.542,5.0479,23.001,11,12,9,12,4,6,4,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,39.6,35.9,38.2,3154400000,2241500000,912930000,736660000,585900000,150760000,732740000,536450000,196290000,676200000,443400000,232800000,1008800000,675730000,333090000,,,,1765,623;1776;1777;2535;2536;3862;3863;6122;7389;7390;12671;12788;15172;15713,True;True;True;True;True;True;True;True;True;True;True;True;True;True,643;1858;1859;2656;2657;4027;4028;6404;7767;7768;7769;13300;13420;15916;16479,1830;1831;1832;1833;1834;1835;1836;5634;5635;5636;5637;5638;7875;7876;7877;7878;7879;7880;7881;7882;11596;11597;11598;11599;11600;18569;18570;22422;22423;22424;22425;22426;22427;22428;22429;22430;22431;22432;38087;38404;45679;45680;45681;47348,3526;3527;3528;3529;3530;3531;3532;3533;3534;3535;3536;3537;3538;3539;3540;3541;3542;3543;3544;3545;11124;11125;11126;11127;11128;11129;11130;11131;15441;15442;15443;15444;15445;15446;15447;15448;15449;22401;22402;22403;22404;22405;36323;36324;36325;36326;43460;43461;43462;43463;43464;43465;43466;43467;43468;43469;43470;43471;43472;43473;43474;43475;43476;43477;43478;43479;43480;43481;43482;43483;43484;43485;43486;43487;43488;43489;43490;43491;73006;73548;88330;88331;88332;88333;88334;91498;91499,3530;11124;11129;15442;15449;22404;22405;36325;43476;43490;73006;73548;88334;91499,,,,,-1,protein_1766,quanti,quanti,quanti,quanti
RPL11,-0.768051676376118,0.0152518728410318,protein_1767,P62913;Q5VVC8,P62913;Q5VVC8,10;8,10;8,10;8,60S ribosomal protein L11,sp|P62913|RL11_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2;tr|Q5VVC8|Q5VVC8_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,2,10,10,10,9,7,6,6,9,7,6,6,9,7,6,6,51.1,51.1,51.1,20.252,178,178;167,0.0,61.596,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34029,0.89533,10.228,32,7,Leave out requantified,0.24218,0.27116,0.44648,0.43271,0.87603,0.80487,0.99991,0.99645,7.2679,10.142,10.363,15.212,9,9,7,7,4,2,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,51.1,42.7,33.7,33.7,5175700000,3890100000,1285600000,1458400000,1182600000,275820000,1885000000,1463800000,421220000,985430000,671780000,313660000,846860000,571980000,274890000,,,,1766,117;1418;1419;4048;4642;5620;7112;14720;15518;15716,True;True;True;True;True;True;True;True;True;True,119;1485;1486;4217;4846;5880;7463;15441;15442;16279;16482,322;323;4486;4487;4488;4489;4490;4491;12157;12158;14047;16987;21562;21563;21564;21565;44349;44350;44351;44352;44353;44354;44355;46790;46791;46792;46793;46794;47353;47354;47355;47356,564;565;8935;8936;8937;8938;8939;8940;8941;23578;23579;23580;23581;23582;23583;27383;33216;41991;41992;41993;41994;41995;41996;41997;41998;41999;42000;85660;85661;85662;85663;85664;85665;85666;85667;85668;85669;85670;85671;85672;85673;85674;85675;85676;85677;85678;85679;85680;90459;90460;90461;90462;90463;90464;90465;90466;90467;90468;90469;90470;90471;91504;91505;91506;91507;91508;91509;91510;91511;91512;91513;91514,565;8936;8941;23581;27383;33216;41991;85670;90463;91505,,,,,-1;-1,protein_1767,quanti,quanti,quanti,quanti
RPL8,0.543857395968342,0.0469982180225276,protein_1768,P62917;E9PKU4;E9PKZ0;G3V1A1;E9PP36,P62917;E9PKU4;E9PKZ0;G3V1A1,15;14;13;11;5,15;14;13;11;5,15;14;13;11;5,60S ribosomal protein L8,sp|P62917|RL8_HUMAN 60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2;tr|E9PKU4|E9PKU4_HUMAN 60S ribosomal protein L8 (Fragment) OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=1;tr|E9PKZ0|E9PKZ0_HUMAN 60S ribosomal protein L8 (Fragment) OS=Homo s,5,15,15,15,8,8,13,12,8,8,13,12,8,8,13,12,47.1,47.1,47.1,28.024,257,257;235;205;167;148,0.0,184.95,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44811,1.0484,20.852,51,7,Leave out requantified,0.29955,0.32259,0.49287,0.47193,1.04,0.89285,1.1161,1.1049,40.035,24.984,22.085,17.907,10,11,16,14,2,2,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,45.9,36.2,46.3,35.8,5786100000,3979700000,1806400000,1091700000,805670000,286050000,1375400000,1036100000,339220000,1682000000,1090600000,591350000,1637000000,1047200000,589790000,,,,1767,1560;1923;1924;2299;4501;4502;5037;5038;7278;8924;11559;11560;13127;15313;15314,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1629;2018;2019;2410;4696;4697;5255;5256;7638;9366;12134;12135;13771;16068;16069,4942;4943;4944;4945;4946;4947;4948;6110;6111;6112;6113;6114;6115;6116;6117;6118;6119;6120;6121;7226;7227;13598;13599;13600;13601;13602;13603;13604;13605;15153;15154;15155;15156;22036;22037;27147;27148;27149;27150;34754;34755;34756;34757;34758;34759;39438;46161;46162;46163;46164;46165,9754;9755;9756;9757;9758;9759;9760;9761;9762;12133;12134;12135;12136;12137;12138;12139;12140;12141;12142;12143;12144;12145;12146;12147;12148;12149;12150;12151;12152;12153;12154;12155;12156;12157;12158;12159;12160;12161;12162;12163;12164;12165;12166;12167;12168;12169;14278;14279;26510;26511;26512;26513;26514;26515;26516;26517;26518;26519;26520;26521;26522;26523;26524;26525;26526;26527;26528;26529;26530;26531;26532;26533;26534;26535;29393;29394;29395;29396;29397;29398;29399;29400;29401;29402;29403;29404;42828;42829;42830;42831;42832;42833;52344;52345;52346;52347;52348;52349;52350;52351;66747;66748;66749;66750;66751;66752;66753;66754;66755;66756;66757;66758;66759;66760;66761;66762;75571;89293;89294;89295;89296;89297;89298;89299;89300;89301;89302;89303;89304;89305,9759;12146;12148;14278;26512;26530;29393;29395;42833;52348;66747;66752;75571;89302;89305,,180,,204,-1;-1;-1;-1;-1,protein_1768,quanti,quanti,quanti,quanti
PPIA,-0.433112280656772,0.108120993695424,protein_1769,P62937;F8WE65;C9J5S7;F5H284;Q9Y536;P0DN26;A0A0H2UH34;A0A0B4J2A2;A0A075B767;A0A075B759;P0DN37;E5RIZ5,P62937;F8WE65;C9J5S7,26;15;15;3;3;3;3;3;3;3;2;2,26;15;15;3;3;3;3;3;3;3;2;2,26;15;15;3;3;3;3;3;3;3;2;2,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",sp|P62937|PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2;tr|F8WE65|F8WE65_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=1;tr|C9J5S7|C9J5S7_HUMAN Peptidyl-prolyl cis-trans isome,12,26,26,26,22,25,19,18,22,25,19,18,22,25,19,18,98.2,98.2,98.2,18.012,165,165;120;121;164;164;164;164;164;164;164;164;58,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37461,0.89961,15.764,185,19,Leave out requantified,0.2761,0.366,0.4046,0.40966,0.84128,0.98609,0.86614,0.87723,24.021,21.015,29.249,26.814,46,54,43,42,5,7,5,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,96.4,98.2,93.3,93.3,104000000000,76459000000,27294000000,30832000000,23859000000,6973300000,32903000000,24047000000,8855700000,21638000000,15384000000,6254600000,18381000000,13170000000,5210500000,,,,1768,1204;1205;2778;2779;3339;4237;5382;5457;5458;5978;5979;6605;7079;10190;12125;13020;13143;13144;13145;13745;14600;14601;14973;15131;15132;15133,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1257;1258;1259;1260;1261;1262;2905;2906;3487;4416;4417;4418;5624;5709;5710;5711;5712;6247;6248;6249;6910;7425;7426;10696;12729;12730;13661;13787;13788;13789;13790;13791;14410;15309;15310;15311;15312;15313;15710;15711;15870;15871;15872;15873;15874;15875;15876,3758;3759;3760;3761;3762;3763;3764;3765;3766;3767;3768;3769;3770;3771;3772;3773;3774;3775;3776;3777;3778;3779;3780;3781;3782;3783;3784;3785;3786;3787;8530;8531;8532;8533;8534;10103;10104;12752;12753;12754;12755;12756;12757;12758;12759;12760;12761;16293;16294;16537;16538;16539;16540;16541;16542;16543;16544;16545;16546;16547;16548;18070;18071;18072;18073;18074;18075;18076;18077;18078;18079;18080;18081;18082;18083;18084;18085;18086;18087;20026;20027;20028;20029;21444;21445;21446;21447;21448;21449;30869;30870;30871;36423;36424;36425;36426;36427;36428;36429;36430;36431;36432;36433;39113;39114;39480;39481;39482;39483;39484;39485;39486;39487;39488;39489;39490;39491;39492;39493;39494;39495;39496;39497;39498;39499;41243;43944;43945;43946;43947;43948;43949;43950;43951;43952;43953;43954;43955;43956;43957;43958;43959;43960;43961;43962;43963;43964;43965;43966;43967;43968;43969;43970;43971;43972;45159;45160;45161;45162;45163;45164;45165;45166;45167;45168;45551;45552;45553;45554;45555;45556;45557;45558;45559;45560;45561;45562;45563;45564;45565;45566;45567;45568;45569;45570;45571;45572;45573;45574;45575;45576,7330;7331;7332;7333;7334;7335;7336;7337;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;7354;7355;7356;7357;7358;7359;7360;7361;7362;7363;7364;7365;7366;7367;7368;7369;7370;7371;7372;7373;7374;7375;7376;7377;7378;7379;7380;7381;7382;7383;7384;7385;7386;7387;7388;7389;7390;16630;16631;16632;16633;16634;16635;16636;16637;16638;16639;16640;16641;16642;16643;16644;16645;16646;16647;16648;16649;16650;19569;19570;19571;19572;24848;24849;24850;24851;24852;24853;24854;24855;24856;24857;24858;24859;24860;24861;24862;24863;31857;31858;31859;32323;32324;32325;32326;32327;32328;32329;32330;32331;32332;32333;32334;32335;32336;32337;32338;32339;32340;32341;32342;32343;32344;32345;32346;32347;32348;32349;32350;32351;32352;32353;32354;32355;32356;32357;32358;35346;35347;35348;35349;35350;35351;35352;35353;35354;35355;35356;35357;35358;35359;35360;35361;35362;35363;35364;35365;35366;35367;35368;35369;35370;35371;35372;35373;35374;35375;35376;35377;35378;35379;35380;35381;35382;35383;35384;35385;35386;35387;35388;35389;35390;35391;35392;35393;35394;35395;35396;35397;35398;35399;35400;35401;35402;35403;35404;35405;35406;35407;35408;35409;35410;35411;35412;35413;35414;38978;38979;38980;38981;38982;38983;38984;38985;38986;38987;38988;41772;41773;41774;41775;41776;41777;41778;41779;41780;41781;41782;41783;41784;41785;41786;41787;41788;41789;41790;41791;41792;41793;41794;41795;41796;41797;59305;59306;59307;59308;59309;59310;59311;59312;69951;69952;69953;69954;69955;69956;69957;69958;69959;69960;69961;69962;69963;69964;69965;69966;69967;69968;69969;69970;69971;69972;69973;69974;69975;69976;69977;69978;69979;69980;74899;74900;74901;75638;75639;75640;75641;75642;75643;75644;75645;75646;75647;75648;75649;75650;75651;75652;75653;75654;75655;75656;75657;75658;75659;75660;75661;75662;75663;75664;75665;75666;75667;75668;75669;75670;75671;75672;75673;75674;75675;75676;75677;75678;75679;75680;75681;75682;75683;75684;75685;75686;75687;75688;75689;75690;75691;75692;75693;75694;75695;75696;79337;84886;84887;84888;84889;84890;84891;84892;84893;84894;84895;84896;84897;84898;84899;84900;84901;84902;84903;84904;84905;84906;84907;84908;84909;84910;84911;84912;84913;84914;84915;84916;84917;84918;84919;84920;84921;84922;84923;84924;84925;84926;84927;84928;84929;84930;84931;84932;84933;84934;84935;84936;84937;84938;84939;84940;84941;84942;84943;84944;84945;84946;84947;84948;84949;84950;84951;84952;84953;84954;84955;84956;87314;87315;87316;87317;87318;87319;87320;87321;87322;87323;87324;87325;87326;87327;87328;87329;87330;87331;87332;87333;87334;87335;87336;87337;87338;87339;87340;87341;87342;87343;87344;87345;87346;87347;87348;87349;87350;87351;87352;87353;87354;87355;87356;88060;88061;88062;88063;88064;88065;88066;88067;88068;88069;88070;88071;88072;88073;88074;88075;88076;88077;88078;88079;88080;88081;88082;88083;88084;88085;88086;88087;88088;88089;88090;88091;88092;88093;88094;88095;88096;88097;88098;88099;88100;88101;88102;88103;88104;88105;88106;88107;88108;88109;88110;88111;88112;88113;88114;88115;88116;88117;88118;88119;88120;88121;88122;88123;88124;88125;88126;88127;88128;88129;88130;88131;88132;88133;88134;88135;88136;88137;88138;88139;88140;88141;88142;88143,7340;7370;16644;16650;19571;24850;31857;32346;32358;35380;35401;38984;41779;59307;69952;74899;75642;75645;75696;79337;84909;84953;87323;88060;88076;88141,411;412;413;414;415;416;417,181;182;183,28;31;44;49;125;133;155,61;100;136,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1769,quanti,quanti,quanti,quanti
FKBP1A;FKBP12-Exip2,0.970987272771854,0.0105049540980913,protein_1770,P62942;Q5W0X3;A0A087WZM5;Q1JUQ5;Q1JUQ3;A0A087WTS4;A0A087WV48;Q5VVH2,P62942;Q5W0X3;A0A087WZM5;Q1JUQ5,6;4;4;3;2;2;2;1,6;4;4;3;2;2;2;1,6;4;4;3;2;2;2;1,Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase,sp|P62942|FKB1A_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=2;tr|Q5W0X3|Q5W0X3_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=1;tr|A0A087WZM5|A0A087WZM5_HUMAN Peptidylprolyl isomerase,8,6,6,6,3,2,4,4,3,2,4,4,3,2,4,4,54.6,54.6,54.6,11.951,108,108;103;129;92;37;97;116;108,0.0,21.436,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43488,0.94108,5.0093,15,10,Leave out requantified,0.34341,0.49983,0.48276,0.41013,1.2839,1.3981,1.0223,0.93482,26.81,3.6965,6.4099,57.28,3,2,5,5,3,2,2,3,Plateau,Median,Leave out requantified,Median,38.0,15.7,50.9,50.9,1129000000,436070000,692940000,116820000,82366000,34454000,136290000,86380000,49907000,619150000,150010000,469140000,256750000,117310000,139440000,,,,1769,3685;3686;5104;5105;5143;11388,True;True;True;True;True;True,3842;3843;5326;5327;5328;5367;11958,11076;11077;11078;15354;15355;15356;15357;15358;15359;15360;15361;15362;15363;15466;15467;34284;34285,21468;21469;21470;21471;29805;29806;29807;29808;29809;29810;29811;29812;29813;29814;29815;29816;30022;30023;30024;30025;30026;30027;30028;30029;30030;65850;65851;65852,21469;21471;29810;29815;30025;65850,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1770,quanti,quanti,quanti,quanti
RPS27A,0.0490534487987873,0.909325040322995,protein_1771,P62979;J3QTR3;A0A2R8Y422;P0CG48;F5H265;Q96C32;Q5PY61;J3QKN0;F5GXK7;F5H747;F5H388;B4DV12;F5H2Z3;P0CG47;F5GYU3;F5H6Q2;J3QS39;P62987;M0R1M6;Q49A90;M0R1V7;M0R2S1;F5GZ39;J3QSA3,P62979;J3QTR3;A0A2R8Y422,11;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;2;2,11;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;2;2,11;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;2;2,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a,sp|P62979|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2;tr|J3QTR3|J3QTR3_HUMAN Ubiquitin-40S ribosomal protein S27a (Fragment) OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=1;tr|A0A2R8Y422|A0A2R8Y422_HUMAN Ubiquit,24,11,11,11,8,6,7,8,8,6,7,8,8,6,7,8,60.9,60.9,60.9,17.965,156,156;106;156;685;149;305;229;206;169;160;155;153;136;229;134;122;93;128;114;95;63;138;61;43,0.0,43.767,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41625,1.1579,64.916,31,2,Leave out requantified,0.25139,0.87419,1.1221,1.1683,0.86864,1.9009,2.5182,2.6782,48.195,63.846,59.099,59.724,8,6,8,9,0,1,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,49.4,45.5,51.3,51.3,2625900000,1688300000,937540000,732960000,574150000,158810000,511510000,359140000,152370000,651590000,356610000,294980000,729800000,398410000,331380000,,,,1770,2022;2707;2708;3105;8967;13360;13361;13514;13515;14614;16280,True;True;True;True;True;True;True;True;True;True;True,2120;2832;2833;3242;9409;14019;14020;14176;14177;15326;17063,6398;6399;6400;6401;8349;8350;8351;8352;8353;9437;9438;9439;9440;27265;27266;40162;40163;40164;40165;40166;40167;40168;40169;40601;40602;40603;40604;44007;49032;49033;49034,12659;12660;12661;12662;12663;12664;12665;12666;12667;12668;12669;12670;12671;12672;16278;16279;16280;16281;16282;16283;16284;16285;16286;16287;16288;16289;16290;16291;16292;16293;16294;16295;18273;18274;18275;18276;18277;18278;18279;18280;52534;52535;52536;52537;77278;77279;77280;77281;77282;77283;77284;77285;77286;77287;77288;77289;77290;77291;77292;77293;77294;77295;77296;77297;77298;78178;78179;78180;78181;78182;78183;78184;78185;78186;78187;78188;85016;94754;94755;94756,12665;16291;16295;18276;52536;77283;77291;78178;78182;85016;94756,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1771,quanti,quanti,quanti,quanti
GRB2,-18.6942443329969,2.95037746320453e-06,protein_1772,P62993;J3KT38;J3QRL5,P62993;J3KT38;J3QRL5,2;1;1,2;1;1,2;1;1,Growth factor receptor-bound protein 2,sp|P62993|GRB2_HUMAN Growth factor receptor-bound protein 2 OS=Homo sapiens OX=9606 GN=GRB2 PE=1 SV=1;tr|J3KT38|J3KT38_HUMAN Growth factor receptor-bound protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=GRB2 PE=1 SV=8;tr|J3QRL5|J3QRL5_HUMAN Growth factor re,3,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,9.2,9.2,9.2,25.206,217,217;110;156,0.049755,0.57738,By MS/MS,By MS/MS,,,0.74213,1.683,40.206,3,0,Median,0.92542,0.64274,,,2.1483,1.2353,,,34.52,,,,2,1,0,0,0,0,0,0,Median,Median,Median,Median,9.2,4.6,0.0,0.0,39144000,22576000,16568000,26698000,14810000,11888000,12446000,7766200,4679500,0,0,0,0,0,0,,,,1771,9657;10929,True;True,10129;11462,29318;29319;33015,56457;56458;63494,56457;63494,,,,,-1;-1;-1,protein_1772,imputed MEC,imputed MEC,quanti,quanti
