Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
A0A0A0MRB5;Q8WXG6;C9J6B0,A0A0A0MRB5;Q8WXG6;C9J6B0,3;2;2,3;2;2,3;2;2,MAP kinase-activating death domain protein,MADD,tr|A0A0A0MRB5|A0A0A0MRB5_HUMAN MAP kinase-activating death domain protein OS=Homo sapiens OX=9606 GN=MADD PE=1 SV=1;sp|Q8WXG6|MADD_HUMAN MAP kinase-activating death domain protein OS=Homo sapiens OX=9606 GN=MADD PE=1 SV=2;tr|C9J6B0|C9J6B0_HUMAN MAP kinase-,3,3,1.8,4.25717907948666,4.09415654932906,24.7391295759534,23.4189262846357
P43358;P43363;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43355;P43362;P43361;O60732;O15480;A2A368;Q96M61;A8MXT2;Q3SYA6;A0A0A0MSA3,P43358,8;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1,8;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1,8;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1,Melanoma-associated antigen 4,MAGEA4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,8,8,20.2,26.3058429956904,25.8390841973698,27.9132500065557,28.1378992171952
O15479;Q96LZ2;Q9UBF1,O15479,5;1;1,5;1;1,4;0;0,Melanoma-associated antigen B2,MAGEB2,sp|O15479|MAGB2_HUMAN Melanoma-associated antigen B2 OS=Homo sapiens OX=9606 GN=MAGEB2 PE=1 SV=3,5,4,20.1,27.0511322537415,26.8282037106271,23.3542052528082,23.7597939296831
Q9UNF1;Q5H909;Q5H907;Q9Y5V3;Q12816;A0A087X070;G5E9N2,Q9UNF1;Q5H909;Q5H907,17;16;13;1;1;1;1,17;16;13;1;1;1;1,17;16;13;1;1;1;1,Melanoma-associated antigen D2,MAGED2,"sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform",17,17,32.3,26.7283220462979,23.200032906447,29.0192170395377,29.1822222870823
Q96QZ7;H7C535;H7C4U7;A0A087WT53;A0A087WXD2;H7C5T8;A0A0D9SEY4;A0A0D9SGI1;A0A0E3D6M1;E7EWI0;A0A1B0GTC0;H7C4S7;Q86UL8;A0A1B0GTH8;A0A0D9SET0;A0A0D9SGF2;A0A1B0GUI9;A0A1B0GUF0;A0A1B0GUV4;A0A0D9SGF8,Q96QZ7;H7C535;H7C4U7;A0A087WT53;A0A087WXD2;H7C5T8,7;7;7;6;6;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1,6;6;6;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;6;6;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",MAGI1,"sp|Q96QZ7|MAGI1_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAGI1 PE=1 SV=3;tr|H7C535|H7C535_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Fragment) OS=",7,6,6.3,4.25717907948666,4.09415654932906,25.2144901807017,25.1421912137211
Q96A72;P61326;F5H124;F5H6N1;F5H6P7,Q96A72;P61326;F5H124;F5H6N1;F5H6P7,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Protein mago nashi homolog 2;Protein mago nashi homolog,MAGOHB;MAGOH,sp|Q96A72|MGN2_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9606 GN=MAGOHB PE=1 SV=1;sp|P61326|MGN_HUMAN Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1;tr|F5H124|F5H124_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9,2,2,13.5,4.25717907948666,4.09415654932906,24.388046198676,24.2371014015635
P78559;E9PGC8,P78559;E9PGC8,10;10,10;10,10;10,Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2,MAP1A,sp|P78559|MAP1A_HUMAN Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6;tr|E9PGC8|E9PGC8_HUMAN Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=1,10,10,5.7,4.25717907948666,4.09415654932906,26.6766714157823,25.7574305009263
P46821;D6RA32;D6RA40;D6RGJ3;D6RCL2,P46821,39;17;12;4;3,39;17;12;4;3,39;17;12;4;3,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,MAP1B,sp|P46821|MAP1B_HUMAN Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,39,39,25.4,4.25717907948666,4.09415654932906,30.3378798858621,30.3478383138474
Q66K74;M0R1M7;M0QXQ9;M0R1J2;M0QY41,Q66K74,6;1;1;1;1,6;1;1;1;1,6;1;1;1;1,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain,MAP1S,sp|Q66K74|MAP1S_HUMAN Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2,6,6,8.6,4.25717907948666,4.09415654932906,25.3575648906753,25.3048687659326
P11137;A0A669KB77;E7EV03,P11137;A0A669KB77,16;16;2,16;16;2,16;16;2,Microtubule-associated protein 2,MAP2,sp|P11137|MTAP2_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4;tr|A0A669KB77|A0A669KB77_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=4 SV=1,16,16,12.5,4.25717907948666,4.09415654932906,28.0300744524082,27.8028577971359
P46734;E9PRZ0,P46734;E9PRZ0,2;1,2;1,2;1,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,sp|P46734|MP2K3_HUMAN Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1 SV=2;tr|E9PRZ0|E9PRZ0_HUMAN Dual-specificity mitogen-activated protein kinase kinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1,2,2,9.8,4.25717907948666,4.09415654932906,24.9656364601867,24.4853591135546
E7EVA0;B5MEG9;H7C456;H0Y2V1;F8W9U4;A0A0J9YVV8;A0A0J9YW37,E7EVA0,75;20;13;12;11;4;4,75;20;13;12;11;4;4,15;4;0;0;0;0;0,Microtubule-associated protein,MAP4,tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1,75,15,39.0,30.0151808578137,29.8950860428593,35.0578293903991,34.8580962218672
O95819;E7ENQ1;G3XAA2;G5E948;E7EN19;A0A0D9SEY1;H7C360;E7EX83;A0A0D9SG62;C9J840;H7C0P6;E7ETN6,O95819;E7ENQ1;G3XAA2;G5E948;E7EN19;A0A0D9SEY1;H7C360;E7EX83;A0A0D9SG62;C9J840;H7C0P6,14;14;14;14;14;14;13;12;12;11;8;2,14;14;14;14;14;14;13;12;12;11;8;2,8;8;8;8;8;8;7;7;7;6;5;1,Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,sp|O95819|M4K4_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2;tr|E7ENQ1|E7ENQ1_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=1;tr|G3XAA2|G3,14,8,16.9,23.528861360362,23.1340450716869,27.383356643788,26.7014725143048
Q9Y4K4;G3V4T8;G3V3V7;G3V4Q4;G3V5C6,Q9Y4K4,12;3;2;2;2,12;3;2;2;2,12;3;2;2;2,Mitogen-activated protein kinase kinase kinase kinase 5,MAP4K5,sp|Q9Y4K4|M4K5_HUMAN Mitogen-activated protein kinase kinase kinase kinase 5 OS=Homo sapiens OX=9606 GN=MAP4K5 PE=1 SV=2,12,12,21.6,4.25717907948666,4.09415654932906,27.9859286869219,27.4460064831535
Q8IWC1;A0A0A0MRP0,Q8IWC1;A0A0A0MRP0,9;7,9;7,9;7,MAP7 domain-containing protein 3,MAP7D3,sp|Q8IWC1|MA7D3_HUMAN MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2;tr|A0A0A0MRP0|A0A0A0MRP0_HUMAN MAP7 domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=1,9,9,12.2,4.25717907948666,4.09415654932906,26.6032865344534,26.5193985804233
Q15691,Q15691,9,9,8,Microtubule-associated protein RP/EB family member 1,MAPRE1,sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,9,8,45.5,4.25717907948666,4.09415654932906,27.5226794600669,27.1446241716333
Q15555;K7ERD8;M0QX52;K7EL66;K7ENB3,Q15555;K7ERD8;M0QX52;K7EL66,4;3;2;2;1,4;3;2;2;1,4;3;2;2;1,Microtubule-associated protein RP/EB family member 2,MAPRE2,sp|Q15555|MARE2_HUMAN Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1;tr|K7ERD8|K7ERD8_HUMAN Microtubule-associated protein RP/EB family member 2 (Fragment) OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1;tr|M0Q,4,4,19.0,4.25717907948666,4.09415654932906,25.2410358281324,25.0299797048309
P10636;I3L170;A0A0G2JQJ7;A0A0G2JPD5;A0A0G2JS76;A0A0G2JMX7,P10636;I3L170;A0A0G2JQJ7;A0A0G2JPD5;A0A0G2JS76;A0A0G2JMX7,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Microtubule-associated protein tau;Microtubule-associated protein,MAPT,sp|P10636|TAU_HUMAN Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5;tr|I3L170|I3L170_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=1;tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN Microtubule-associated protein O,2,2,3.7,23.8916384186343,22.8032348263902,25.2796238990618,24.9766385388752
Q7KZI7;E7ETY4;E9PC69;F5H6N2;F5H4F6;P27448;Q9P0L2;K7EK17;K7EKG8;F5H4J8;H0YKJ3;H0YNV4;J3KNR0;B4DIB3;A0A087X0I6,Q7KZI7;E7ETY4;E9PC69;F5H6N2;F5H4F6,3;3;3;2;2;1;1;1;1;1;1;1;1;1;1,3;3;3;2;2;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;0;0;0;0;1;0;0;0;0;0,Serine/threonine-protein kinase MARK2,MARK2,sp|Q7KZI7|MARK2_HUMAN Serine/threonine-protein kinase MARK2 OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=2;tr|E7ETY4|E7ETY4_HUMAN Non-specific serine/threonine protein kinase OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=1;tr|E9PC69|E9PC69_HUMAN Non-specific serine,3,2,5.7,4.25717907948666,4.09415654932906,24.4653187830322,24.7857637455848
O15021;H7C1I9,O15021;H7C1I9,5;3,4;3,4;3,Microtubule-associated serine/threonine-protein kinase 4,MAST4,sp|O15021|MAST4_HUMAN Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=4;tr|H7C1I9|H7C1I9_HUMAN Microtubule-associated serine/threonine-protein kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=1,5,4,2.2,4.25717907948666,4.09415654932906,24.7271277407627,23.909306418567
Q96GX5;A0A087WUU7;O60307;Q9Y2H9;V9GXZ1;E7ERL6,Q96GX5;A0A087WUU7,8;4;1;1;1;1,7;4;0;0;0;0,7;4;0;0;0;0,Serine/threonine-protein kinase greatwall,MASTL,sp|Q96GX5|GWL_HUMAN Serine/threonine-protein kinase greatwall OS=Homo sapiens OX=9606 GN=MASTL PE=1 SV=1;tr|A0A087WUU7|A0A087WUU7_HUMAN Serine/threonine-protein kinase greatwall (Fragment) OS=Homo sapiens OX=9606 GN=MASTL PE=1 SV=1,8,7,14.2,23.8903391641403,22.8020516590291,26.8112743356065,26.082432836852
P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;B3KM87;H0Y8T4;D6RIA2;D6RBI2;D6RE02;D6RBK5;D6RAY2;Q68E03;D6R8Z5;D6RAM9;D6REK4;D6RCM3,P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991,18;18;18;16;13;8;7;3;3;3;2;2;2;2;2;1;1,18;18;18;16;13;8;7;3;3;3;2;2;2;2;2;1;1,18;18;18;16;13;8;7;3;3;3;2;2;2;2;2;1;1,Matrin-3,MATR3,sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2;tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|A0A0R4J2E8|A0A0R4J2E8_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|D6REM6|D6REM6_HUMAN M,18,18,31.3,4.25717907948666,4.09415654932906,29.1479991823985,29.1782141724238
Q7Z434,Q7Z434,8,8,8,Mitochondrial antiviral-signaling protein,MAVS,sp|Q7Z434|MAVS_HUMAN Mitochondrial antiviral-signaling protein OS=Homo sapiens OX=9606 GN=MAVS PE=1 SV=2,8,8,27.6,25.4560711067733,25.6254736387061,27.2365358570001,27.3598449837167
Q8IYB1,Q8IYB1,7,7,7,Protein MB21D2,MB21D2,sp|Q8IYB1|M21D2_HUMAN Protein MB21D2 OS=Homo sapiens OX=9606 GN=MB21D2 PE=1 SV=3,7,7,17.7,4.25717907948666,4.09415654932906,25.887555502186,25.0239874563716
Q96N66;A9C4B8;H7C2M4;C9J4E9;A0A0G2JNX6;M0R1Z5,Q96N66;A9C4B8,3;2;1;1;1;1,3;2;1;1;1;1,3;2;1;1;1;1,Lysophospholipid acyltransferase 7,MBOAT7,sp|Q96N66|MBOA7_HUMAN Lysophospholipid acyltransferase 7 OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=2;tr|A9C4B8|A9C4B8_HUMAN Lysophospholipid acyltransferase 7 (Fragment) OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=1,3,3,10.6,25.8489525841811,22.9352607467819,23.6855285081592,23.2048457306857
P43121,P43121,8,8,8,Cell surface glycoprotein MUC18,MCAM,sp|P43121|MUC18_HUMAN Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,8,8,13.8,4.25717907948666,4.09415654932906,27.5789550391198,27.655468379004
Q96RQ3;E9PHF7;E9PG35;F5GYT8;G5E9X5;F8WDI3;F2Z3E2;F8WF46;F2Z2Z7,Q96RQ3;E9PHF7;E9PG35;F5GYT8;G5E9X5,36;32;30;29;22;3;1;1;1,36;32;30;29;22;3;1;1;1,36;32;30;29;22;3;1;1;1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCC1,"sp|Q96RQ3|MCCA_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3;tr|E9PHF7|E9PHF7_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=1;tr|E",36,36,69.1,36.103585807932,35.0145907491936,34.4490534263391,34.2417552954485
Q9HCC0;D6RD67;D6RDF7;D6R9R1;A0A0G2JM88,Q9HCC0;D6RD67,23;13;10;8;5,23;13;10;8;5,23;13;10;8;5,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,"sp|Q9HCC0|MCCB_HUMAN Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1;tr|D6RD67|D6RD67_HUMAN Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=2",23,23,52.8,31.5724009497008,25.6541165627758,4.51247618958678,4.42747165566269
P25205;J3KQ69;A0A499FHX9,P25205;J3KQ69;A0A499FHX9,5;3;3,5;3;3,5;3;3,DNA replication licensing factor MCM3,MCM3,sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|J3KQ69|J3KQ69_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|A0A499FHX9|A0A499FHX9_HUMAN DNA replication licen,5,5,7.2,4.25717907948666,4.09415654932906,24.6653567379494,24.1799515987556
O60318,O60318,3,3,3,Germinal-center associated nuclear protein,MCM3AP,sp|O60318|GANP_HUMAN Germinal-center associated nuclear protein OS=Homo sapiens OX=9606 GN=MCM3AP PE=1 SV=2,3,3,1.7,4.25717907948666,4.09415654932906,24.1461596877902,21.0678912230734
P33991;A0A3B3IU45;A0A3B3IT92;E5RG31;A0A3B3ITP6;A0A3B3IS57;A0A3B3IRR8,P33991;A0A3B3IU45;A0A3B3IT92;E5RG31;A0A3B3ITP6;A0A3B3IS57,13;13;12;11;11;11;2,13;13;12;11;11;11;2,13;13;12;11;11;11;2,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,13,13,20.5,24.1826816784955,24.4436636020461,27.8955628020739,26.6205881107021
Q14566,Q14566,3,3,3,DNA replication licensing factor MCM6,MCM6,sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,3,3,4.5,23.119130473816,23.133687914865,25.1786985835474,24.5108090698971
P33993,P33993,3,3,3,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,3,3,6.1,28.6127366897409,27.57679610831,4.51247618958678,4.42747165566269
Q14676;A2AB05;A2AB06;A2AB07;A0A087X0R2,Q14676,27;3;1;1;1,27;3;1;1;1,27;3;1;1;1,Mediator of DNA damage checkpoint protein 1,MDC1,sp|Q14676|MDC1_HUMAN Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,27,27,22.5,4.25717907948666,4.09415654932906,28.943774065235,27.987447484714
Q15648;J3QKZ7;J3KSD7,Q15648,28;2;1,28;2;1,28;2;1,Mediator of RNA polymerase II transcription subunit 1,MED1,sp|Q15648|MED1_HUMAN Mediator of RNA polymerase II transcription subunit 1 OS=Homo sapiens OX=9606 GN=MED1 PE=1 SV=4,28,28,28.5,4.25717907948666,4.09415654932906,29.3975838334504,28.9743223303014
Q14814;Q05BX2;H0YM62;A0A0D9SGI5;A0A1B0GV32;A0A0R4J2G5;A0A0D9SFD0;D6RJG6;D8L7E9;D6RC63;D6R942;H0YKY6;Q02078;D6RCM6;D6RG21;A0A1B0GTW4;D6RB91;D6RG14;D6RJA7;Q06413;A0A0D9SET2,Q14814,8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Myocyte-specific enhancer factor 2D,MEF2D,sp|Q14814|MEF2D_HUMAN Myocyte-specific enhancer factor 2D OS=Homo sapiens OX=9606 GN=MEF2D PE=1 SV=1,8,8,19.0,4.25717907948666,4.09415654932906,28.0908344524849,28.0951679325171
Q9HCE5;D6RBL4,Q9HCE5;D6RBL4,3;2,3;2,3;2,N6-adenosine-methyltransferase subunit METTL14,METTL14,sp|Q9HCE5|MET14_HUMAN N6-adenosine-methyltransferase non-catalytic subunit OS=Homo sapiens OX=9606 GN=METTL14 PE=1 SV=2;tr|D6RBL4|D6RBL4_HUMAN N6-adenosine-methyltransferase non-catalytic subunit (Fragment) OS=Homo sapiens OX=9606 GN=METTL14 PE=1 SV=2,3,3,9.4,4.25717907948666,4.09415654932906,26.1991043673929,25.7931518011319
Q86U44;H0YFV6;F5H6D8;B4DTN4;B4E349,Q86U44;H0YFV6,14;7;6;6;3,14;7;6;6;3,14;7;6;6;3,N6-adenosine-methyltransferase 70 kDa subunit,METTL3,sp|Q86U44|MTA70_HUMAN N6-adenosine-methyltransferase catalytic subunit OS=Homo sapiens OX=9606 GN=METTL3 PE=1 SV=2;tr|H0YFV6|H0YFV6_HUMAN N6-adenosine-methyltransferase catalytic subunit (Fragment) OS=Homo sapiens OX=9606 GN=METTL3 PE=1 SV=2,14,14,34.5,4.25717907948666,4.09415654932906,28.1664817778458,27.7163342656406
P55081,P55081,10,10,10,Microfibrillar-associated protein 1,MFAP1,sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2,10,10,37.6,4.25717907948666,4.09415654932906,28.4244632359949,28.2171095021946
Q8IWI9;H3BP52;H3BTF4;H3BU53;H3BTN2,Q8IWI9,15;6;6;3;1,15;6;6;3;1,15;6;6;3;1,MAX gene-associated protein,MGA,sp|Q8IWI9|MGAP_HUMAN MAX gene-associated protein OS=Homo sapiens OX=9606 GN=MGA PE=1 SV=4,15,15,6.5,4.25717907948666,4.09415654932906,27.1631737774658,27.0662002407718
O60502;H7C3X0,O60502,20;5,20;5,20;5,Protein O-GlcNAcase,MGEA5,sp|O60502|OGA_HUMAN Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2,20,20,29.1,4.25717907948666,4.09415654932906,28.9117081469633,29.1001153392621
Q7RTP6;A0A5F9ZHV5;J3KSK6;E9PP85;J3QQT0;C9J922;J3KRP8;J3QLA3;J3QR21,Q7RTP6;A0A5F9ZHV5,38;21;6;5;3;2;1;1;1,38;21;6;5;3;2;1;1;1,36;19;6;3;3;2;1;1;1,Protein-methionine sulfoxide oxidase MICAL3,MICAL3,sp|Q7RTP6|MICA3_HUMAN [F-actin]-monooxygenase MICAL3 OS=Homo sapiens OX=9606 GN=MICAL3 PE=1 SV=2;tr|A0A5F9ZHV5|A0A5F9ZHV5_HUMAN [F-actin]-monooxygenase MICAL3 OS=Homo sapiens OX=9606 GN=MICAL3 PE=1 SV=1,38,36,22.9,24.618853261242,24.3959754548538,29.3773904362995,28.8930472041551
Q8N3F8;H0Y6J8;B0QY91;B0QY86,Q8N3F8,12;5;3;1,12;5;3;1,12;5;3;1,MICAL-like protein 1,MICALL1,sp|Q8N3F8|MILK1_HUMAN MICAL-like protein 1 OS=Homo sapiens OX=9606 GN=MICALL1 PE=1 SV=2,12,12,19.5,4.25717907948666,4.09415654932906,27.4768419800106,27.1047959643528
Q9NYP9,Q9NYP9,3,3,3,Protein Mis18-alpha,MIS18A,sp|Q9NYP9|MS18A_HUMAN Protein Mis18-alpha OS=Homo sapiens OX=9606 GN=MIS18A PE=1 SV=1,3,3,24.5,4.25717907948666,4.09415654932906,25.52644550959,24.5980979472482
Q8IVT2,Q8IVT2,11,11,11,Mitotic interactor and substrate of PLK1,MISP,sp|Q8IVT2|MISP_HUMAN Mitotic interactor and substrate of PLK1 OS=Homo sapiens OX=9606 GN=MISP PE=1 SV=1,11,11,24.0,4.25717907948666,4.09415654932906,27.923713842388,27.7863746317982
O75030;P19484;B1AKB5;B0QYS6;B0QYS7,O75030,4;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Microphthalmia-associated transcription factor,MITF,sp|O75030|MITF_HUMAN Microphthalmia-associated transcription factor OS=Homo sapiens OX=9606 GN=MITF PE=1 SV=2,4,2,8.0,4.25717907948666,4.09415654932906,23.8338351384072,24.0485154770708
P46013,P46013,41,41,41,Antigen KI-67,MKI67,sp|P46013|KI67_HUMAN Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,41,41,21.8,4.25717907948666,4.09415654932906,29.4109648718186,29.399479742762
Q9ULH7;I3L2S3;Q969V6;E7ER32;A0A087X287;A0A087WVL2;A0A087WU73;A0A494BZX7;W0Z7M9;B0QY83;A0A499FIJ6;A0A494C1G6;B0QY84;Q8IZQ8;I3L2A0,Q9ULH7,40;19;4;4;4;4;4;4;4;4;4;3;3;2;2,40;19;4;4;4;4;4;4;4;4;4;3;3;2;2,40;19;4;4;4;4;4;4;4;4;4;3;3;2;2,MKL/myocardin-like protein 2,MKL2,sp|Q9ULH7|MRTFB_HUMAN Myocardin-related transcription factor B OS=Homo sapiens OX=9606 GN=MRTFB PE=1 SV=3,40,40,45.5,31.1411437790511,31.1561129614692,33.2512406902712,32.9746471326368
P40692;A0A669KBK2;A0A669KBB4;H0Y818;A0A669KB03;A0A669KAW3;E7EUC9;A0A087WX20;F2Z298;E9PF25;H0Y806;H0Y5L7;H0Y4N0;H0Y793,P40692;A0A669KBK2;A0A669KBB4;H0Y818;A0A669KB03;A0A669KAW3,16;15;14;14;13;13;5;5;3;3;2;2;1;1,16;15;14;14;13;13;5;5;3;3;2;2;1;1,16;15;14;14;13;13;5;5;3;3;2;2;1;1,DNA mismatch repair protein Mlh1,MLH1,sp|P40692|MLH1_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1;tr|A0A669KBK2|A0A669KBK2_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=4 SV=1;tr|A0A669KBB4|A0A669KBB4_HUMAN DNA mismatch repair pro,16,16,28.2,4.25717907948666,4.09415654932906,28.3902212502811,27.7229268435248
Q03111,Q03111,5,5,5,Protein ENL,MLLT1,sp|Q03111|ENL_HUMAN Protein ENL OS=Homo sapiens OX=9606 GN=MLLT1 PE=1 SV=2,5,5,11.8,4.25717907948666,4.09415654932906,26.3539697849017,26.2395434664377
P51948,P51948,2,2,2,CDK-activating kinase assembly factor MAT1,MNAT1,sp|P51948|MAT1_HUMAN CDK-activating kinase assembly factor MAT1 OS=Homo sapiens OX=9606 GN=MNAT1 PE=1 SV=1,2,2,7.8,4.25717907948666,4.09415654932906,25.2403808350388,25.5058214858244
