ATG_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
GPD2,-2.0245117857,0.00588522715300157,1,P43304;F5GYK7,P43304;F5GYK7,6;4,6;4,6;4,"Glycerol-3-phosphate dehydrogenase, mitochondrial;Glycerol-3-phosphate dehydrogenase",GPD2,"sp|P43304|GPDM_HUMAN Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3;tr|F5GYK7|F5GYK7_HUMAN Glycerol-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=1",6,6,12.4,727,-2.02451178565365,0.00588522715300157
MAGEA4,-2.5943979798,0.000733164954866978,1,P43358;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43361;P43363;P43355;P43362,P43358,17;6;6;6;6;5;3;2;2,17;6;6;6;6;5;3;2;2,16;6;6;6;6;4;2;1;2,Melanoma-associated antigen 4,MAGEA4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,17,16,39.4,317,-2.59439797978966,0.000733164954866978
NAMPT,-1.6009957374,0.0128481960421227,1,P43490;A0A0C4DFS8;C9JF35;C9JG65,P43490;A0A0C4DFS8,18;12;2;2,18;12;2;2,18;12;2;2,Nicotinamide phosphoribosyltransferase,NAMPT,sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1;tr|A0A0C4DFS8|A0A0C4DFS8_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,18,18,46,491,-1.6009957373531,0.0128481960421227
PSMC4,-1.791230278,0.0098335177078993,1,P43686,P43686,9,9,9,26S protease regulatory subunit 6B,PSMC4,sp|P43686|PRS6B_HUMAN 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,9,9,25.6,418,-1.7912302779614,0.0098335177078993
CBX5,-0.4453171016,0.181088167642377,0,P45973;F8VNY3,P45973,4;1,4;1,4;1,Chromobox protein homolog 5,CBX5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,4,4,33,191,-0.445317101558742,0.181088167642377
USP5,-0.4385403089,0.307395940646416,0,P45974;F5H571,P45974,21;2,21;2,19;2,Ubiquitin carboxyl-terminal hydrolase 5,USP5,sp|P45974|UBP5_HUMAN Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,21,19,33.4,858,-0.438540308934802,0.307395940646416
MAP2K4,0.5520499645,0.10471729251477,0,P45985;R4GN37,P45985;R4GN37,4;3,4;3,4;3,Dual specificity mitogen-activated protein kinase kinase 4,MAP2K4,sp|P45985|MP2K4_HUMAN Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP2K4 PE=1 SV=1;tr|R4GN37|R4GN37_HUMAN Dual-specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP2K4 PE=1 SV=1,4,4,14,399,0.552049964524609,0.10471729251477
RANGAP1,-1.6922628266,0.0280581057461657,1,P46060;H0Y4Q3;B0QYT5;B0QYT4;B0QYT6,P46060;H0Y4Q3,28;14;4;4;3,28;14;4;4;3,28;14;4;4;3,Ran GTPase-activating protein 1,RANGAP1,sp|P46060|RAGP1_HUMAN Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1;tr|H0Y4Q3|H0Y4Q3_HUMAN Ran GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,28,28,54.2,587,-1.69226282662455,0.0280581057461657
RECQL,-0.7396667457,0.0758218543549176,0,P46063;F5H2L2;F8WA66;F8WD97,P46063,11;2;2;2,11;2;2;2,11;2;2;2,ATP-dependent DNA helicase Q1,RECQL,sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,11,11,23.7,649,-0.739666745702852,0.0758218543549176
NOP2,-1.5668490091,0.00416827748371979,1,P46087;F5H5X6;F5GYR3;F5GWB7;F5H709;F5H359;F5H8G6,P46087,13;3;3;2;2;1;1,13;3;3;2;2;1;1,13;3;3;2;2;1;1,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,13,13,16.5,812,-1.5668490090523,0.00416827748371979
CRK,0.3124720811,0.556952403845484,0,P46108;I3L297,P46108;I3L297,3;2,3;2,3;2,Adapter molecule crk,CRK,sp|P46108|CRK_HUMAN Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2;tr|I3L297|I3L297_HUMAN Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=1,3,3,16.8,304,0.3124720810746,0.556952403845484
CRKL,3.813361606,0.00178448413303067,1,P46109,P46109,2,2,2,Crk-like protein,CRKL,sp|P46109|CRKL_HUMAN Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1,2,2,7.9,303,3.81336160603025,0.00178448413303067
RPL27A,-2.5193627937,0.000562156733417671,1,P46776;E9PJD9;E9PLL6;E9PLX7,P46776;E9PJD9;E9PLL6,11;9;8;5,11;9;8;5,11;9;8;5,60S ribosomal protein L27a,RPL27A,sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;tr|E9PJD9|E9PJD9_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1;tr|E9PLL6|E9PLL6_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=,11,11,56.8,148,-2.51936279370235,0.000562156733417671
RPL5,-2.0732974318,0.0137760749837866,1,P46777;A0A2R8Y6J3;Q5T7N0;A0A2R8Y4A2;R4GNJ2,P46777;A0A2R8Y6J3,19;17;9;7;2,19;17;9;7;2,19;17;9;7;2,60S ribosomal protein L5,RPL5,sp|P46777|RL5_HUMAN 60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3;tr|A0A2R8Y6J3|A0A2R8Y6J3_HUMAN 60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1,19,19,53.9,297,-2.07329743175545,0.0137760749837866
RPL21,-3.0719351796,0.00691894292483505,1,P46778;M0R181;G3V1B3;M0R3I5,P46778;M0R181;G3V1B3,13;9;7;2,13;9;7;2,13;9;7;2,60S ribosomal protein L21,RPL21,sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2;tr|M0R181|M0R181_HUMAN 60S ribosomal protein L21 (Fragment) OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=1;tr|G3V1B3|G3V1B3_HUMAN 60S ribosomal protein L21 OS=Homo sapien,13,13,58.1,160,-3.0719351796049,0.00691894292483505
RPS9,-2.2750285608,0.00239790078020081,1,P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,25;19;19;6;6,25;19;19;6;6,25;19;19;6;6,40S ribosomal protein S9,RPS9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,25,25,65.5,194,-2.2750285607676,0.00239790078020081
RPS10,-2.5468160915,0.000483518054967246,1,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435;Q9NQ39,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6,11;8;8;8;8;8;5;3,11;8;8;8;8;8;5;3,11;8;8;8;8;8;5;3,40S ribosomal protein S10,RPS10,sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1;tr|A0A2R8Y6L3|A0A2R8Y6L3_HUMAN RPS10-NUDT3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1;tr|F6U211|F6U211_HUMAN 40S ribosomal protein S10 OS,11,11,63.6,165,-2.54681609154515,0.000483518054967246
IQGAP1,-1.678666353,0.00598553206536576,1,P46940;H0YLE8;A0A0J9YXZ5;Q86VI3;A0A087WWP1;E9PDT6;F2Z2E2,P46940;H0YLE8;A0A0J9YXZ5,15;12;8;1;1;1;1,15;12;8;1;1;1;1,13;10;6;0;1;0;0,Ras GTPase-activating-like protein IQGAP1,IQGAP1,sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|H0YLE8|H0YLE8_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|A0A0J9YXZ5|A0A0J9YXZ5_HUMAN Ras GTPa,15,13,11.3,1657,-1.67866635300025,0.00598553206536576
CAPZA2,-1.9343828749,0.117932353673561,0,P47755;C9JUG7;F8W9N7;A0A0D9SET8,P47755;C9JUG7;F8W9N7;A0A0D9SET8,6;4;4;3,4;3;3;2,4;3;3;2,F-actin-capping protein subunit alpha-2,CAPZA2,sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;tr|C9JUG7|C9JUG7_HUMAN F-actin-capping protein subunit alpha OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=1;tr|F8W9N7|F8W9N7_HUMAN F-actin-capping protei,6,4,26.9,286,-1.9343828748945,0.117932353673561
CAPZB,-2.4030530555,0.0033863840977853,1,P47756;B1AK87;B1AK88;B1AK85,P47756;B1AK87;B1AK88;B1AK85,9;8;8;5,9;8;8;5,9;8;8;5,F-actin-capping protein subunit beta,CAPZB,sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4;tr|B1AK87|B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1;tr|B1AK88|B1AK88_HUMAN F-actin-capping protein subu,9,9,37.2,277,-2.4030530555254,0.0033863840977853
EIF1AX,-0.5981102289,0.0906574562824636,0,P47813;X6RAC9,P47813;X6RAC9,2;2,2;2,2;2,"Eukaryotic translation initiation factor 1A, X-chromosomal",EIF1AX,"sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;tr|X6RAC9|X6RAC9_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=1",2,2,11.8,144,-0.598110228897249,0.0906574562824636
QARS,-1.2606047746,0.0154998232524374,1,P47897;A0A1B0GVU9;B4DDN1;H7C0R3;C9J165;A0A1B0GTT3;A0A0U1RQQ5;A0A0U1RQT0;A0A0U1RR66;A0A0U1RQE9;A0A0U1RRI9;A0A0U1RQX5;A0A0U1RQL2;A0A0U1RQM8;A0A0U1RRC8;A0A0U1RQX9;A0A0U1RQU2;A0A0U1RR79;A0A0U1RQJ6;A0A0U1RRJ7,P47897;A0A1B0GVU9;B4DDN1,22;21;19;7;6;6;6;5;5;4;4;4;3;3;3;3;2;1;1;1,22;21;19;7;6;6;6;5;5;4;4;4;3;3;3;3;2;1;1;1,22;21;19;7;6;6;6;5;5;4;4;4;3;3;3;3;2;1;1;1,Glutamine--tRNA ligase,QARS,sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|A0A1B0GVU9|A0A1B0GVU9_HUMAN Glutamine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|B4DDN1|B4DDN1_HUMAN Glutamine--tRNA ligase OS=Homo sapiens,22,22,30.3,775,-1.26060477456119,0.0154998232524374
ATP5O,-0.8628613444,0.0405245212567905,0,P48047;A0A494C0K9;H7C0C1;H7C086;H7C068,P48047;A0A494C0K9;H7C0C1,10;6;6;2;2,10;6;6;2;2,10;6;6;2;2,"ATP synthase subunit O, mitochondrial",ATP5O,"sp|P48047|ATPO_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1;tr|A0A494C0K9|A0A494C0K9_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=4 SV=1;tr|H7C0C1|H7C0C1_HUMAN Uncharacterized p",10,10,47.9,213,-0.862861344402951,0.0405245212567905
ARCN1,-0.5470301363,0.100192373160435,0,P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,9;8;5;2,9;8;5;2,9;8;5;2,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,9,9,20,511,-0.547030136250449,0.100192373160435
LSS,-5.1162158758,0.0309242442958465,1,P48449;A0A0G2JQD0;C9J315,P48449;A0A0G2JQD0,6;5;1,6;5;1,6;5;1,Lanosterol synthase,LSS,sp|P48449|LSS_HUMAN Lanosterol synthase OS=Homo sapiens OX=9606 GN=LSS PE=1 SV=1;tr|A0A0G2JQD0|A0A0G2JQD0_HUMAN Lanosterol synthase (Fragment) OS=Homo sapiens OX=9606 GN=LSS PE=1 SV=1,6,6,9,732,-5.1162158757544,0.0309242442958465
GCLM,0.3207728898,0.399687327378977,0,P48507,P48507,2,2,2,Glutamate--cysteine ligase regulatory subunit,GCLM,sp|P48507|GSH0_HUMAN Glutamate--cysteine ligase regulatory subunit OS=Homo sapiens OX=9606 GN=GCLM PE=1 SV=1,2,2,9.9,274,0.32077288983161,0.399687327378977
PSMD8,-1.2681722385,0.0196660792770568,1,P48556;R4GMR5;K7EJC1;K7EJR3,P48556;R4GMR5;K7EJC1;K7EJR3,3;3;2;2,3;3;2;2,3;3;2;2,26S proteasome non-ATPase regulatory subunit 8,PSMD8,sp|P48556|PSMD8_HUMAN 26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2;tr|R4GMR5|R4GMR5_HUMAN 26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=1;tr|K7EJC1|K7EJC1_HUMAN 26S prot,3,3,6.6,350,-1.26817223853485,0.0196660792770568
CCT5,-2.2543197807,0.000795746533268458,1,P48643;E7ENZ3;B7ZAR1;E9PCA1;D6RIZ7;H0Y914,P48643;E7ENZ3;B7ZAR1;E9PCA1,34;30;29;29;3;3,34;30;29;29;3;3,34;30;29;29;3;3,T-complex protein 1 subunit epsilon,CCT5,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|E7ENZ3|E7ENZ3_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|B7ZAR1|B7ZAR1_HUMAN T-complex protein 1 subunit epsil,34,34,64.3,541,-2.25431978073901,0.000795746533268458
NES,-0.0296496214,0.956834237653286,0,P48681,P48681,5,5,5,Nestin,NES,sp|P48681|NEST_HUMAN Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2,5,5,3.9,1621,-0.0296496214134998,0.956834237653286
ALDH9A1,-1.1639866477,0.0190525454018041,1,P49189,P49189,7,7,7,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3,7,7,20.4,494,-1.1639866476942,0.0190525454018041
RPL34,-0.2752443651,0.878546428612294,0,P49207,P49207,7,7,7,60S ribosomal protein L34,RPL34,sp|P49207|RL34_HUMAN 60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,7,7,40.2,117,-0.2752443651456,0.878546428612294
RPIA,-1.9005369829,0.00185093389450467,1,P49247,P49247,4,4,4,Ribose-5-phosphate isomerase,RPIA,sp|P49247|RPIA_HUMAN Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3,4,4,19.6,311,-1.90053698286055,0.00185093389450467
LMAN1,0.6282098763,0.0993331431477094,0,P49257,P49257,3,3,3,Protein ERGIC-53,LMAN1,sp|P49257|LMAN1_HUMAN Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2,3,3,10,510,0.62820987628161,0.0993331431477094
NASP,-0.3345775046,0.296529126944743,0,P49321;E9PI86;E9PPQ8;Q5T624;H0YDS9;E9PRH9;H0YF33;E9PPR5,P49321;E9PI86;E9PPQ8;Q5T624,11;7;6;6;4;4;4;3,11;7;6;6;4;4;4;3,11;7;6;6;4;4;4;3,Nuclear autoantigenic sperm protein,NASP,sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2;tr|E9PI86|E9PI86_HUMAN Nuclear autoantigenic sperm protein (Fragment) OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=1;tr|E9PPQ8|E9PPQ8_HUMAN Nuclear autoantigenic,11,11,14.5,788,-0.334577504588649,0.296529126944743
FASN,-1.2842154052,0.0165657764036879,1,P49327;A0A0U1RQF0;A0A0U1RRG3;A0A1B0GTR5;J3KTF0,P49327;A0A0U1RQF0,115;113;6;1;1,115;113;6;1;1,115;113;6;1;1,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3;tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=1,115,115,54.9,2511,-1.28421540519885,0.0165657764036879
CCT3,-2.0451066312,0.00175319171051973,1,P49368;B4DUR8;E9PRC8;Q5SZX6;E9PM09;Q5SZX9;E9PQ35;Q5SZW8,P49368;B4DUR8,33;30;15;14;8;8;7;6,33;30;15;14;8;8;7;6,33;30;15;14;8;8;7;6,T-complex protein 1 subunit gamma,CCT3,sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4;tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,33,33,64,545,-2.0451066312184,0.00175319171051973
MRPL19,-1.6873521606,0.0159702348339888,1,P49406;H7C2J0;A0A0A0MRF4,P49406;H7C2J0;A0A0A0MRF4,2;1;1,2;1;1,2;1;1,"39S ribosomal protein L19, mitochondrial",MRPL19,"sp|P49406|RM19_HUMAN 39S ribosomal protein L19, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL19 PE=1 SV=2;tr|H7C2J0|H7C2J0_HUMAN 39S ribosomal protein L19, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL19 PE=1 SV=1;tr|A0A0A0MRF4|A0A0A0MRF4_HUMAN",2,2,12.3,292,-1.68735216055519,0.0159702348339888
TUFM,-1.4062195256,0.0143426435575844,1,P49411;H3BNU3,P49411,15;2,15;2,15;2,"Elongation factor Tu, mitochondrial",TUFM,"sp|P49411|EFTU_HUMAN Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",15,15,52,452,-1.40621952564951,0.0143426435575844
SRP9;DKFZp564M2223,-1.5731332266,0.00385036551461381,1,P49458;Q6P2S0;Q659G3;E9PE20,P49458;Q6P2S0;Q659G3;E9PE20,5;3;3;3,5;3;3;3,5;3;3;3,Signal recognition particle 9 kDa protein,SRP9;DKFZp564M2223,sp|P49458|SRP09_HUMAN Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2;tr|Q6P2S0|Q6P2S0_HUMAN SRP9 protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=1;tr|Q659G3|Q659G3_HUMAN SRP9 protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1,5,5,50,86,-1.57313322663945,0.00385036551461381
AARS,-2.2039367573,0.00383989631611769,1,P49588;H3BPK7,P49588,26;10,26;10,26;10,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",26,26,35.2,968,-2.2039367573303,0.00383989631611769
SARS,-2.4284215696,0.000779548553455797,1,P49591;Q5T5C7,P49591;Q5T5C7,7;7,7;7,7;7,"Serine--tRNA ligase, cytoplasmic",SARS,"sp|P49591|SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3;tr|Q5T5C7|Q5T5C7_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=1",7,7,12.8,514,-2.42842156962695,0.000779548553455797
PSMB2,-1.9104870637,0.0158733621224864,1,P49721;A0A087WVV1,P49721,8;2,8;2,8;2,Proteasome subunit beta type-2,PSMB2,sp|P49721|PSB2_HUMAN Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,8,8,47.8,201,-1.91048706365255,0.0158733621224864
MCM2,-1.3898333968,0.177029154215507,0,P49736;H0Y8E6,P49736;H0Y8E6,21;20,21;20,21;20,DNA replication licensing factor MCM2,MCM2,sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4;tr|H0Y8E6|H0Y8E6_HUMAN DNA helicase (Fragment) OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=1,21,21,26.2,904,-1.38983339681665,0.177029154215507
ACADVL,-0.7993409541,0.0442503686428457,0,P49748;G3V1M7;J3QRJ8;J3KSR4;K7EQP4;K7EMF8;J3QKU9;K7EJW8,P49748;G3V1M7,10;5;3;2;2;1;1;1,10;5;3;2;2;1;1;1,10;5;3;2;2;1;1;1,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,"sp|P49748|ACADV_HUMAN Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1;tr|G3V1M7|G3V1M7_HUMAN Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ACA",10,10,18,655,-0.799340954134103,0.0442503686428457
TMED10,-1.4426904036,0.0110896268980457,1,P49755;G3V2K7,P49755,5;2,5;2,5;2,Transmembrane emp24 domain-containing protein 10,TMED10,sp|P49755|TMEDA_HUMAN Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2,5,5,23.3,219,-1.4426904035618,0.0110896268980457
RBM25,-1.6410773432,0.042919204074108,1,P49756;H0YE46;E9PQU5,P49756,4;1;1,4;1;1,4;1;1,RNA-binding protein 25,RBM25,sp|P49756|RBM25_HUMAN RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,4,4,5.6,843,-1.64107734318301,0.042919204074108
EIF2B2,2.1861901744,0.00210124099450629,1,P49770;H0YK01;H0YJJ8;G3V5E5,P49770,3;1;1;1,3;1;1;1,3;1;1;1,Translation initiation factor eIF-2B subunit beta,EIF2B2,sp|P49770|EI2BB_HUMAN Translation initiation factor eIF-2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3,3,3,11.1,351,2.18619017442311,0.00210124099450629
HINT1,-2.1603428133,0.00138688659858486,1,P49773;D6REP8;D6RE99;D6RD60;D6RC06,P49773;D6REP8;D6RE99;D6RD60,9;6;6;6;3,9;6;6;6;3,9;6;6;6;3,Histidine triad nucleotide-binding protein 1,HINT1,sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2;tr|D6REP8|D6REP8_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=1;tr|D6RE99|D6RE99_HUMAN Histidine tr,9,9,92.9,126,-2.1603428133363,0.00138688659858486
RANBP2,0.4141565631,0.407991171284654,0,P49792;Q99666;A6NKT7;Q7Z3J3;O14715;J3KQ37;J3KNE0,P49792,3;1;1;1;1;1;1,3;1;1;1;1;1;1,3;1;1;1;1;1;1,E3 SUMO-protein ligase RanBP2,RANBP2,sp|P49792|RBP2_HUMAN E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,3,3,1.6,3224,0.41415656306075,0.407991171284654
SEPHS1,0.4709657562,0.321879629643281,0,P49903;Q5T5U6,P49903;Q5T5U6,2;1,2;1,2;1,"Selenide, water dikinase 1",SEPHS1,"sp|P49903|SPS1_HUMAN Selenide, water dikinase 1 OS=Homo sapiens OX=9606 GN=SEPHS1 PE=1 SV=2;tr|Q5T5U6|Q5T5U6_HUMAN Selenide, water dikinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=SEPHS1 PE=1 SV=1",2,2,7.9,392,0.470965756229449,0.321879629643281
GMPS,-1.6014698067,0.00318107894195183,1,P49915,P49915,17,17,17,GMP synthase [glutamine-hydrolyzing],GMPS,sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,17,17,33.5,693,-1.6014698066767,0.00318107894195183
