RFWD2_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SSB,0.1088177968,0.552109597107522,0,P05455;E7ERC4;E9PFL9;E9PGX9,P05455;E7ERC4,9;5;4;3,9;5;4;3,9;5;4;3,Lupus La protein,SSB,sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;tr|E7ERC4|E7ERC4_HUMAN Lupus La protein (Fragment) OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1,9,9,33.1,408;184;134;120
ITGB1,-0.0891742176,0.572082480698284,0,P05556;C9JPK5;Q5T3E6;E9PLR6;E7EUI6;E7EQW5;H7C4N8;E7ERX5,P05556,19;3;3;3;3;3;1;1,19;3;3;3;3;3;1;1,19;3;3;3;3;3;1;1,Integrin beta-1,ITGB1,sp|P05556|ITB1_HUMAN Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,19,19,26.9,798;98;136;143;152;163;108;124
KRT18,-0.1304698526,0.359197374722765,0,P05783;F8VZY9;CON__H-INV:HIT000015463;Q2M2I5;Q14532;CON__Q2M2I5;CON__REFSEQ:XP_986630;CON__O76013;CON__O76015;CON__Q497I4;CON__A2AB72;Q15323;CON__Q14532;CON__Q92764;C4AM86;Q92764;CON__A2A5Y0;CON__Q14525;CON__Q15323;O76015;O76013;Q14525;CON__Q9UE12,P05783;F8VZY9,41;39;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,41;39;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,29;27;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"Keratin, type I cytoskeletal 18",KRT18,"sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;tr|F8VZY9|F8VZY9_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=1",41,29,77.7,430;391;295;525;448;525;476;467;456;455;453;416;448;425;425;455;416;404;416;456;467;404;416
ATP5B,-0.0086401144,0.954435832201373,0,P06576;H0YH81;F8W079;F8W0P7;H0YI37,P06576;H0YH81;F8W079,32;24;19;11;7,32;24;19;11;7,32;24;19;11;7,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,"sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;tr|H0YH81|H0YH81_HUMAN ATP synthase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=1;tr|F8W079|F8W079_HUMAN ATP synthase subunit ",32,32,65.2,529;362;284;270;133
ENO1,-0.0756023885,0.579869897046162,0,P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8Y6I8;A0A2R8Y798;A0A2R8YEG5;E5RI09;E5RG95;K7EPM1;K7EKN2;E5RGZ4,P06733;A0A2R8Y6G6,49;43;22;19;15;10;5;5;5;2;2;2;2;2,49;43;22;19;15;10;5;5;5;2;2;2;2;2,46;40;20;17;13;9;5;4;4;0;0;0;0;0,Alpha-enolase,ENO1,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,49,46,94.9,434;434;195;171;125;83;33;70;101;148;154;196;212;283
NPM1,0.1535902392,0.363895093150868,0,P06748;E5RI98;E5RGW4,P06748,14;3;1,14;3;1,14;3;1,Nucleophosmin,NPM1,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,14,14,54.8,294;111;59
LDHB,-0.0831284004,0.50851976841731,0,P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50;C9J7H8;F5H793,P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50,27;26;21;17;13;9,24;23;18;14;12;9,24;23;18;14;12;9,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,sp|P07195|LDHB_HUMAN L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2;tr|A0A5F9ZHM4|A0A5F9ZHM4_HUMAN L-lactate dehydrogenase OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=1;tr|A0A3B3IS95|A0A3B3IS95_HUMAN L-lactate dehydrogenase OS=Homo s,27,24,70.4,334;341;281;232;136;102
P4HB,-0.1285410762,0.336991014077361,0,P07237;H7BZ94;H0Y3Z3;I3L398;I3NI03;I3L3U6;I3L0S0;I3L312;I3L4M2;I3L3P5;I3L514;I3L1Y5,P07237;H7BZ94,30;28;14;11;10;10;9;9;6;5;3;2,30;28;14;11;10;10;9;9;6;5;3;2,30;28;14;11;10;10;9;9;6;5;3;2,Protein disulfide-isomerase,P4HB,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3;tr|H7BZ94|H7BZ94_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=2,30,30,57.3,508;464;274;200;166;188;148;208;117;156;106;54
ANXA2;ANXA2P2,-0.0716112353,0.621312331603829,0,P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YKS4;H0YN28;H0YNP5;H0YL33;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YMW4;H0YKL9;H0YKV8;H0YNA0;H0YN52;H0YMD9;H0YKN4;H0YNB8;H0YLE2,P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YKS4;H0YN28;H0YNP5;H0YL33,52;43;37;37;37;35;27;26;26;26;20;16;16;16;16;14;14;13;13;10;8;6;5;5,52;43;37;37;37;35;27;26;26;26;20;16;16;16;16;14;14;13;13;10;8;6;5;5,52;43;37;37;37;35;27;26;26;26;20;16;16;16;16;14;14;13;13;10;8;6;5;5,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 ,52,52,89.1,339;256;339;230;227;248;176;139;175;142;149;134;133;132;119;146;110;81;79;59;65;69;47;45
CAPN1,-0.0034179915,0.987725827732509,0,P07384;E9PIA9;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PL37;E9PQB3;E9PRM1,P07384,15;2;2;2;2;2;2;2;2;2;2,15;2;2;2;2;2;2;2;2;2;2,15;2;2;2;2;2;2;2;2;2;2,Calpain-1 catalytic subunit,CAPN1,sp|P07384|CAN1_HUMAN Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,15,15,23.1,714;63;122;135;148;152;161;163;191;191;201
TUBB,-0.122373669,0.336871388248842,0,P07437;Q5JP53;Q5ST81,P07437;Q5JP53;Q5ST81,38;38;33,9;9;4,8;8;4,Tubulin beta chain,TUBB,sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2;tr|Q5JP53|Q5JP53_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1;tr|Q5ST81|Q5ST81_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1,38,8,66.4,444;426;372
PSAP,-0.003398237,0.994116747106508,0,P07602;C9JIZ6;Q5BJH1;A0A0J9YXB8,P07602;C9JIZ6;Q5BJH1,5;4;3;1,5;4;3;1,5;4;3;1,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,sp|P07602|SAP_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;tr|C9JIZ6|C9JIZ6_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;tr|Q5BJH1|Q5BJH1_HUMAN PSAP protein OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=1,5,5,11.5,524;527;240;167
PFN1,-0.1760387087,0.209682446914774,0,P07737;K7EJ44;CON__P02584;I3L3D5,P07737;K7EJ44,14;10;5;4,14;10;5;4,14;10;5;4,Profilin-1,PFN1,sp|P07737|PROF1_HUMAN Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2;tr|K7EJ44|K7EJ44_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=1,14,14,97.1,140;104;140;165
EPRS,0.0956225449,0.49325432995532,0,P07814;V9GYZ6;V9GZ76,P07814;V9GYZ6,39;21;1,39;21;1,39;21;1,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5;tr|V9GYZ6|V9GYZ6_HUMAN Bifunctional glutamate/proline--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=1,39,39,30.5,1512;968;194
CTSB,-0.9349228463,0.00506893914524622,0,P07858;R4GMQ5;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1;E9PR54;E9PS78,P07858,10;4;3;3;3;3;3;3;3;3;2;1,10;4;3;3;3;3;3;3;3;3;2;1,10;4;3;3;3;3;3;3;3;3;2;1,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3,10,10,35.7,339;76;101;110;136;143;148;165;170;175;98;92
HSP90AA1,-0.1204214793,0.513169022750335,0,P07900;G3V2J8;Q58FG0,P07900,45;9;2,31;5;2,31;5;2,Heat shock protein HSP 90-alpha,HSP90AA1,sp|P07900|HS90A_HUMAN Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,45,31,50.3,732;174;334
FH,0.1086048179,0.456289001103121,0,P07954,P07954,9,9,9,"Fumarate hydratase, mitochondrial",FH,"sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",9,9,30.2,510
ANXA6,0.0560678499,0.757049085337287,0,P08133;E5RK69;E7EMC6;E5RFF0;E5RJF5;E5RI05;E5RK63;H0YC77;E5RJR0;E5RIU8,P08133;E5RK69;E7EMC6,28;20;15;5;4;4;4;3;2;1,28;20;15;5;4;4;4;3;2;1,28;20;15;5;4;4;4;3;2;1,Annexin A6;Annexin,ANXA6,sp|P08133|ANXA6_HUMAN Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3;tr|E5RK69|E5RK69_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=1;tr|E7EMC6|E7EMC6_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=1,28,28,42.6,673;460;330;156;129;129;150;91;110;95
RHOC;RHOA,0.0645661476,0.602700163786927,0,P08134;Q5JR08;E9PQH6;C9JX21;Q5JR07;C9JNR4;Q5JR05;E9PLA2;C9JRM1;Q5JR06;E9PN11;U3KQA9;U3KQV3,P08134;Q5JR08;E9PQH6;C9JX21;Q5JR07;C9JNR4;Q5JR05,9;9;6;5;5;5;5;3;3;3;3;3;3,3;3;1;0;0;0;0;0;0;0;0;0;0,3;3;1;0;0;0;0;0;0;0;0;0;0,Rho-related GTP-binding protein RhoC,RHOC;RHOA,sp|P08134|RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1;tr|Q5JR08|Q5JR08_HUMAN Rho-related GTP-binding protein RhoC (Fragment) OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=8;tr|E9PQH6|E9PQH6_HUMAN Rho-related GTP-bind,9,3,32.1,193;188;169;187;127;138;199;66;90;91;129;248;271
HSP90AB1,-0.2415059001,0.098490267348428,0,P08238;Q58FF7;Q14568;Q58FG1,P08238,62;21;5;1,62;21;5;1,42;12;0;0,Heat shock protein HSP 90-beta,HSP90AB1,sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,62,42,64.2,724;597;343;418
PDHA1,0.3227228496,0.0424567189015629,0,P08559;P29803;Q5JPU0;Q5JPT9;Q5JPU1;Q5JPU3;Q5JPU2,P08559,10;3;3;3;3;2;1,10;3;3;3;3;2;1,10;3;3;3;3;2;1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,"sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",10,10,37.2,390;388;180;203;205;109;121
CYC1,0.2053987658,0.229328355146293,0,P08574,P08574,5,5,5,"Cytochrome c1, heme protein, mitochondrial",CYC1,"sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",5,5,16,325
MYL3;MYL1,-0.0835936113,0.661830516031285,0,P08590;P05976,P08590;P05976,2;1,2;1,2;1,"Myosin light chain 3;Myosin light chain 1/3, skeletal muscle isoform",MYL3;MYL1,"sp|P08590|MYL3_HUMAN Myosin light chain 3 OS=Homo sapiens OX=9606 GN=MYL3 PE=1 SV=3;sp|P05976|MYL1_HUMAN Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=MYL1 PE=1 SV=3",2,2,15.9,195;194
SNRNP70,-0.4895973641,0.0430720556485324,0,P08621;M0QYR1,P08621,11;3,11;3,11;3,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,sp|P08621|RU17_HUMAN U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,11,11,27.9,437;94
VIM,0.2274849152,0.145201705308409,0,P08670;B0YJC4;B0YJC5;A0A1B0GTT5;A0A1B0GVG8;P41219;H7C5W5;P07197;Q16352;F8W835;E7EMV2;E7ESP9;P12036,P08670;B0YJC4,69;62;33;15;7;5;5;2;2;2;2;2;1,69;62;33;15;7;5;5;2;2;2;2;2;1,65;58;30;14;7;4;4;0;0;2;0;0;0,Vimentin,VIM,sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4;tr|B0YJC4|B0YJC4_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=1,69,65,90.1,466;431;228;149;109;470;200;916;499;207;698;877;1026
GNAI3,-0.370164464,0.0728571042713121,0,P08754;P19087;A8MTJ3;P11488;P09471;A0A087WZE5;H0Y7F4;Q5JWE9;A0A1W2PQK2;A0A3B3IUA8;A0A1W2PRE1;A0A1W2PS82;Q5JWD1;A0A087WTB6;A2A2R6;H0Y7E8;A0A1W2PRJ7;H3BTM2;A0A1W2PP38,P08754,10;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,sp|P08754|GNAI3_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3,10,4,34.5,354;354;354;350;354;123;199;193;61;148;54;146;87;84;61;93;104;195;196
ANXA5,-0.1265873676,0.341557081994414,0,P08758;D6RBL5;E9PHT9;D6RBE9;D6RCN3,P08758;D6RBL5;E9PHT9;D6RBE9,17;11;10;10;3,17;11;10;10;3,17;11;10;10;3,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBE9|D6RBE9_HUMAN Annexin O,17,17,48.4,320;260;163;220;35
GSTP1,0.0553196951,0.770408865182029,0,P09211;A8MX94;A0A087X2E9;A0A2R8Y5E5;A0A087X243,P09211;A8MX94,14;12;5;1;1,14;12;5;1;1,14;12;5;1;1,Glutathione S-transferase P,GSTP1,sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2;tr|A8MX94|A8MX94_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=1,14,14,72.9,210;174;79;58;69
SNRPC,0.1068917305,0.637120443911037,0,P09234;A0A0A0MRR7,P09234;A0A0A0MRR7,3;2,3;2,3;2,U1 small nuclear ribonucleoprotein C,SNRPC,sp|P09234|RU1C_HUMAN U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1;tr|A0A0A0MRR7|A0A0A0MRR7_HUMAN U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1,3,3,25.8,159;180
LGALS1,0.0452136575,0.784988920372638,0,P09382;F8WEI7,P09382,17;2,17;2,17;2,Galectin-1,LGALS1,sp|P09382|LEG1_HUMAN Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,17,17,99.3,135;38
HMGB1,-0.0751395653,0.559029713348587,0,P09429;Q5T7C4;B2RPK0,P09429;Q5T7C4,16;14;6,16;14;6,11;11;3,High mobility group protein B1,HMGB1,sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3;tr|Q5T7C4|Q5T7C4_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=1,16,11,44.7,215;158;211
CLTA,-0.1178026851,0.403741148807201,0,P09496;C9J8P9;F8WF69,P09496;C9J8P9;F8WF69,7;5;4,7;5;4,7;5;4,Clathrin light chain A,CLTA,sp|P09496|CLCA_HUMAN Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1;tr|C9J8P9|C9J8P9_HUMAN Clathrin light chain OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1;tr|F8WF69|F8WF69_HUMAN Clathrin light chain OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=,7,7,25.8,248;196;260
DLD,-0.1834222231,0.247658413370342,0,P09622;E9PEX6;F8WDM5;A0A1W2PR83;F2Z2E3,P09622;E9PEX6,17;15;4;4;4,17;15;4;4;4,17;15;4;4;4,"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase",DLD,"sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2;tr|E9PEX6|E9PEX6_HUMAN Dihydrolipoyl dehydrogenase OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=1",17,17,34.6,509;486;114;114;115
SNRPA1,-0.0613185449,0.71250290267538,0,P09661;H0YMA0;H0YLR3;H0YKK0,P09661;H0YMA0;H0YLR3;H0YKK0,14;10;7;7,14;10;7;7,14;10;7;7,U2 small nuclear ribonucleoprotein A,SNRPA1,sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2;tr|H0YMA0|H0YMA0_HUMAN U2 small nuclear ribonucleoprotein A (Fragment) OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=1;tr|H0YLR3|H0YLR3_HUMAN U2 small nucle,14,14,43.1,255;142;89;154
COX6C,1.0156685308,0.00373365515159618,1,P09669,P09669,3,3,3,Cytochrome c oxidase subunit 6C,COX6C,sp|P09669|COX6C_HUMAN Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2,3,3,37.3,75
PARP1,-0.022730106,0.849853381823974,0,P09874;Q5VX84;Q5VX85,P09874,30;4;4,30;4;4,30;4;4,Poly [ADP-ribose] polymerase 1,PARP1,sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,30,30,40.6,1014;108;155
H2AFV;H2AFZ,0.0716674651,0.7113553118052,0,Q71UI9;P0C0S5;C9J0D1;A0A494C189;C9J386,Q71UI9;P0C0S5;C9J0D1;A0A494C189,9;9;7;7;3,7;7;5;5;2,7;7;5;5;2,Histone H2A.V;Histone H2A.Z;Histone H2A,H2AFV;H2AFZ,sp|Q71UI9|H2AV_HUMAN Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3;sp|P0C0S5|H2AZ_HUMAN Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2;tr|C9J0D1|C9J0D1_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=1;tr|A0A494C189|A0A494C1,9,7,58.6,128;128;122;127;76
UQCRFS1;UQCRFS1P1,-0.1603122933,0.603988401307551,0,P47985;P0C7P4,P47985;P0C7P4,4;4,4;4,4;4,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",UQCRFS1;UQCRFS1P1,"sp|P47985|UCRI_HUMAN Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRFS1 PE=1 SV=2;sp|P0C7P4|UCRIL_HUMAN Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens OX=9606 GN=UQCRFS1P1 PE=5 SV=1",4,4,24.1,274;283
U2AF1;U2AF1L4,-0.1808515272,0.202136175622794,0,Q01081;P0DN76;Q8WU68;A0A1B0GW87;M0QYK5;M0R2N4;K7EJH3;K7EJM7,Q01081;P0DN76;Q8WU68;A0A1B0GW87;M0QYK5;M0R2N4,6;6;3;3;3;3;1;1,6;6;3;3;3;3;1;1,6;6;3;3;3;3;1;1,Splicing factor U2AF 35 kDa subunit;Splicing factor U2AF 26 kDa subunit,U2AF1;U2AF1L4,sp|Q01081|U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3;sp|P0DN76|U2AF5_HUMAN Splicing factor U2AF 35 kDa subunit-like protein OS=Homo sapiens OX=9606 GN=U2AF1L5 PE=1 SV=1;sp|Q8WU68|U2AF4_HUMAN Splicing factor U,6,6,25.8,240;240;220;45;66;97;39;51
CALM2;CALM3;CALM1,-0.2669937534,0.22266676943828,0,P0DP25;P0DP24;P0DP23;F8WBR5;M0QZ52;G3V479;A0A590UK56;E7EMB3;G3V361;A0A590UJI2;Q96HY3;P27482;P02585;A0A590UJC0;G3V226;C9J7T9,P0DP25;P0DP24;P0DP23;F8WBR5;M0QZ52;G3V479;A0A590UK56;E7EMB3,6;6;6;4;4;4;4;4;2;2;2;1;1;1;1;1,6;6;6;4;4;4;4;4;2;2;2;1;1;1;1;1,6;6;6;4;4;4;4;4;2;2;2;1;1;1;1;1,,CALM2;CALM3;CALM1,sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;tr|F8WBR5|F8WBR5_HUMAN,6,6,45.6,149;149;149;65;83;83;150;196;98;104;113;149;160;59;76;145
FDX1,-0.5928698835,0.0185985385504841,0,P10109,P10109,1,1,1,"Adrenodoxin, mitochondrial",FDX1,"sp|P10109|ADX_HUMAN Adrenodoxin, mitochondrial OS=Homo sapiens OX=9606 GN=FDX1 PE=1 SV=1",1,1,4.9,184
GAA,-0.0455274632,0.849101622867112,0,P10253;I3L0S5;I3L3L3,P10253,11;3;3,11;3;3,11;3;3,Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase,GAA,sp|P10253|LYAG_HUMAN Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4,11,11,12.5,952;208;284
HIST1H1E;HIST1H1D,-0.1934450776,0.229980040918843,0,P10412;P16402;P22492;P16401,P10412;P16402,14;11;4;1,14;11;4;1,4;1;0;0,Histone H1.4;Histone H1.3,HIST1H1E;HIST1H1D,sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,14,4,33.8,219;221;207;226
COX5B,-0.4558923218,0.0994521342836523,0,P10606,P10606,4,4,4,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,"sp|P10606|COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2",4,4,30.2,129
HSPD1,0.1172378106,0.377785915242235,0,P10809;E7EXB4;E7ESH4;C9JL25;C9JL19;C9JCQ4;C9J0S9,P10809,55;19;19;8;6;6;1,55;19;19;8;6;6;1,55;19;19;8;6;6;1,"60 kDa heat shock protein, mitochondrial",HSPD1,"sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",55,55,67.2,573;221;234;175;83;94;58
HSPA5,-0.0393246586,0.802687076549412,0,P11021,P11021,37,36,36,78 kDa glucose-regulated protein,HSPA5,sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,37,36,56.6,654
