CRBN_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CTSA,0.2878241582,0.530127026407494,0,P10619;X6R5C5;X6R8A1;Q5JZH0,P10619;X6R5C5;X6R8A1,8;8;8;1,8;8;8;1,8;8;8;1,Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain;Carboxypeptidase,CTSA,sp|P10619|PPGB_HUMAN Lysosomal protective protein OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=2;tr|X6R5C5|X6R5C5_HUMAN Carboxypeptidase OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=1;tr|X6R8A1|X6R8A1_HUMAN Carboxypeptidase OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=1,8,8,18.5,480
ESD,0.4694222301,0.0368853987671509,0,P10768;U3KQT1;X6RA14;H7BZT7,P10768;U3KQT1;X6RA14;H7BZT7,11;10;7;6,11;10;7;6,11;10;7;6,S-formylglutathione hydrolase,ESD,"sp|P10768|ESTD_HUMAN S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2;tr|U3KQT1|U3KQT1_HUMAN Esterase D/formylglutathione hydrolase, isoform CRA_c OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2;tr|X6RA14|X6RA14_HUMAN S-formylglutathione hyd",11,11,46.5,282
HSPD1,0.1416870596,0.301975803597459,0,P10809;E7EXB4;E7ESH4;C9JL25;C9JCQ4;C9JL19;C9J0S9,P10809,75;30;28;14;10;7;1,75;30;28;14;10;7;1,75;30;28;14;10;7;1,"60 kDa heat shock protein, mitochondrial",HSPD1,"sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",75,75,83.2,573
HSPA5,0.3082066778,0.098442231263869,0,P11021,P11021,53,52,52,78 kDa glucose-regulated protein,HSPA5,sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,53,52,63.8,654
HSPA8,-0.342348454,0.0648726325255385,0,P11142;E9PKE3;E9PN89;E9PNE6;A8K7Q2;E9PLF4;E9PQQ4;E9PQK7;E9PK54;E9PPY6;E9PI65;E9PN25;P54652;E9PS65;E9PM13,P11142;E9PKE3;E9PN89;E9PNE6;A8K7Q2,64;58;42;42;33;26;25;25;25;18;18;16;15;13;7,64;58;42;42;33;26;25;25;25;18;18;16;15;13;7,58;52;39;37;30;23;23;23;23;16;15;14;9;12;6,Heat shock cognate 71 kDa protein,HSPA8,sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PKE3|E9PKE3_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PN89|E9PN89_HUMAN Heat shock cognate 71 kDa protein ,64,58,68.1,646
SLC2A3;SLC2A14,-0.2121492203,0.265814578155043,0,P11169;Q8TDB8,P11169;Q8TDB8,2;2,2;2,2;2,"Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14",SLC2A3;SLC2A14,"sp|P11169|GTR3_HUMAN Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens OX=9606 GN=SLC2A3 PE=1 SV=1;sp|Q8TDB8|GTR14_HUMAN Solute carrier family 2, facilitated glucose transporter member 14 OS=Homo sapiens OX=9606 GN=SLC2A14 P",2,2,5.8,496
PDHB,0.0016854113,0.991093717849171,0,P11177;C9J634;F8WF02,P11177;C9J634;F8WF02,17;12;9,17;12;9,17;12;9,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,"sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3;tr|C9J634|C9J634_HUMAN Pyruvate dehydrogenase E1 component subunit beta OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=1;tr|F8WF02|F8WF0",17,17,57.1,359
RALA;RALB,0.0144700266,0.914899792152567,0,P11233;H7C3P7;P11234;C9JPE8;C9JYR1;C9J6B1;C9JQB3;F8WEQ6,P11233;H7C3P7;P11234,7;5;4;2;2;2;2;1,7;5;4;2;2;2;2;1,7;5;4;2;2;2;2;1,Ras-related protein Ral-A;Ras-related protein Ral-B,RALA;RALB,sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1;tr|H7C3P7|H7C3P7_HUMAN Ras-related protein Ral-A (Fragment) OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1;sp|P11234|RALB_HUMAN Ras-related protein Ral-B OS=Homo sapiens OX,7,7,38.3,206
LAMP1,-0.2282089694,0.209061778973002,0,P11279,P11279,6,6,6,Lysosome-associated membrane glycoprotein 1,LAMP1,sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3,6,6,17.3,417
TOP2A,-0.1979160205,0.426397857236227,0,P11388;J3KTB7,P11388,46;4,46;4,36;1,DNA topoisomerase 2-alpha,TOP2A,sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,46,36,36.1,1531
G6PD,-0.5625915963,0.0381315991524507,0,P11413;E7EUI8;E9PD92;E7EM57,P11413;E7EUI8;E9PD92;E7EM57,30;18;17;17,30;18;17;17,30;18;17;17,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E7EUI8|E7EUI8_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=8;tr|E9PD92|E9PD92_HUMAN Glucose-6-phosphate 1-,30,30,66.2,515
PRPS2,-0.0322578154,0.832014771112098,0,P11908;A6NMS2;D3YTJ7,P11908,6;2;2,1;1;1,1;1;1,Ribose-phosphate pyrophosphokinase 2,PRPS2,sp|P11908|PRPS2_HUMAN Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2,6,1,22.6,318
PABPC1,-0.1985359302,0.226392724271217,0,P11940;E7EQV3;A0A087WTT1;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;E5RH24;H0YAP2;H0YB86;H0YAS6;H0YB75;H0YAS7;E5RHG7;H0YC10;Q96DU9;E5RGC4;H0YAW6;E5RFD8,P11940;E7EQV3;A0A087WTT1;E7ERJ7;H0YAR2,37;36;36;34;20;14;12;10;10;9;9;7;6;6;5;3;3;2;1;1;1,37;36;36;34;20;14;12;10;10;9;9;7;6;6;5;3;3;2;1;1;1,19;19;18;19;12;10;2;2;1;1;8;5;5;5;4;0;3;0;0;1;0,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein ,37,19,50.9,636
PCNA,-0.2827715261,0.121774251142849,0,P12004,P12004,22,22,22,Proliferating cell nuclear antigen,PCNA,sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,22,22,71.6,261
HARS,0.2517644923,0.214014228161483,0,P12081;B3KWE1;B4DDD8;E7ETE2;B4E1C5;D6RF05;A0A2R8YCI2;A0A2R8YFR1,P12081;B3KWE1;B4DDD8;E7ETE2;B4E1C5,14;12;11;10;8;2;2;1,14;12;11;10;8;2;2;1,10;8;9;8;6;2;2;1,"Histidine--tRNA ligase, cytoplasmic",HARS,"sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2;tr|B3KWE1|B3KWE1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=1;tr|B4DDD8|B4DDD8_HUMAN Histidine--tRNA ligase, cytopl",14,10,30.6,509
SLC25A4,-0.1404320312,0.60644650247119,0,P12235;V9GYG0,P12235;V9GYG0,16;12,2;2,2;2,ADP/ATP translocase 1,SLC25A4,sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4;tr|V9GYG0|V9GYG0_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=1,16,2,47.3,298
SLC25A6,-0.1475108242,0.32189055355364,0,P12236,P12236,30,14,10,"ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed",SLC25A6,sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,30,10,69.5,298
IMPDH2,0.0281675791,0.838955263463035,0,P12268;H0Y4R1;E7ETK5,P12268;H0Y4R1,39;37;17,39;37;17,38;36;16,Inosine-5-monophosphate dehydrogenase 2,IMPDH2,sp|P12268|IMDH2_HUMAN Inosine-5-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2;tr|H0Y4R1|H0Y4R1_HUMAN Inosine-5-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=1,39,38,65.6,514
TPR,-0.1427227768,0.280032922922875,0,P12270;Q5SWX9,P12270,25;2,25;2,25;2,Nucleoprotein TPR,TPR,sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,25,25,14.3,2363
CKB,0.2898661188,0.111635353116467,0,P12277;G3V4N7;G3V461,P12277;G3V4N7,4;3;1,4;3;1,4;3;1,Creatine kinase B-type,CKB,sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1;tr|G3V4N7|G3V4N7_HUMAN Creatine kinase B-type (Fragment) OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,4,4,20.2,381
ANXA3,-0.0083508119,0.962253084672113,0,P12429;D6RA82;D6RFG5;D6RCA8;D6RAZ8;D6RFJ9,P12429;D6RA82;D6RFG5,10;9;5;4;2;1,10;9;5;4;2;1,10;9;5;4;2;1,Annexin A3;Annexin,ANXA3,sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3;tr|D6RA82|D6RA82_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=1;tr|D6RFG5|D6RFG5_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=1,10,10,32.2,323
CKMT1A;CKMT1B,-0.336346887,0.147624499150524,0,P12532;F8WCN3;C9JSQ1;C9JJX8;C9J995;C9J8F6;C9J6W7;C9JT96;P17540,P12532;F8WCN3;C9JSQ1,12;9;8;5;5;5;4;4;2,12;9;8;5;5;5;4;4;2,12;9;8;5;5;5;4;4;2,"Creatine kinase U-type, mitochondrial",CKMT1A;CKMT1B,"sp|P12532|KCRU_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;tr|F8WCN3|F8WCN3_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;tr|C9JSQ1|C9JSQ1_HUMAN Creatine kinase U-type, m",12,12,37.4,417
ACTN1,0.1842799934,0.257761299095905,0,P12814;H9KV75;G3V2N5;G3V2W4;P35609;A0A494C1A0;H7C5W8;H0YJW3;G3V2X9;H0YJ11;A0A494C033;A0A494C166;G3V5M4;F6THM6;A0A494C0Q3;G3V2E8;G3V380;A0A494C031,P12814;H9KV75,77;67;25;24;21;21;17;16;14;13;11;11;10;10;7;7;2;1,77;67;25;24;21;21;17;16;14;13;11;11;10;10;7;7;2;1,47;42;13;13;2;2;12;12;7;10;1;1;5;1;1;3;2;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,77,47,79.7,892
XRCC6,-0.0534370547,0.664893354704261,0,P12956;B1AHC9,P12956;B1AHC9,40;39,40;39,40;39,X-ray repair cross-complementing protein 6,XRCC6,sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2;tr|B1AHC9|B1AHC9_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=1,40,40,59.6,609
XRCC5,-0.1163584277,0.401261982059136,0,P13010,P13010,39,39,34,X-ray repair cross-complementing protein 5,XRCC5,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,39,34,52.7,732
COX4I1,0.5893140872,0.011669449336542,0,P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0;H3BNI5,P13073;H3BN72;H3BNV9;Q86WV2,9;7;7;5;4;3,9;7;7;5;4;3,9;7;7;5;4;3,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,"sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1;tr|H3BN72|H3BN72_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1;tr|H3BNV9|H",9,9,45.6,169
RNH1,0.0317073308,0.830002013654585,0,P13489;H0YCR7;E9PMJ3;E9PLZ3;E9PIM9;E9PIK5;E9PMN0;E9PMA9;E9PR82;E9PMI1,P13489;H0YCR7,13;7;6;6;6;5;3;2;1;1,13;7;6;6;6;5;3;2;1;1,13;7;6;6;6;5;3;2;1;1,Ribonuclease inhibitor,RNH1,sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2;tr|H0YCR7|H0YCR7_HUMAN Ribonuclease inhibitor (Fragment) OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=1,13,13,49.2,461
EEF2,0.1557538686,0.272209857752243,0,P13639,P13639,72,72,70,Elongation factor 2,EEF2,sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,72,70,72.4,858
PDIA4,-0.109883716,0.620382122838156,0,P13667;A0A499FI48,P13667;A0A499FI48,35;33,35;33,35;33,Protein disulfide-isomerase A4,PDIA4,sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2;tr|A0A499FI48|A0A499FI48_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=1,35,35,46.2,645
PLS3,0.1392937607,0.298998599950801,0,P13797;A0A0A0MSQ0;F2Z2Z9;Q5TBN3,P13797;A0A0A0MSQ0,13;11;1;1,13;11;1;1,5;5;0;0,Plastin-3,PLS3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,13,5,30.3,630
ETFA,-0.1140089765,0.363516839587573,0,P13804;H0YLU7;H0YK49;H0YNX6;H0YL12;H0YKF0;H0YL83;H0YM12;J3KN60,P13804;H0YLU7;H0YK49;H0YNX6;H0YL12;H0YKF0,18;15;13;13;12;11;4;2;1,18;15;13;13;12;11;4;2;1,18;15;13;13;12;11;4;2;1,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,"sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;tr|H0YLU7|H0YLU7_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV",18,18,72.1,333
PRKAR2A,0.2146072416,0.300846957139868,0,P13861;H7C1L0;H7C330;C9J830;P31323;H7C4A9,P13861;H7C1L0,19;10;5;4;3;2,19;10;5;4;3;2,19;10;5;4;3;2,cAMP-dependent protein kinase type II-alpha regulatory subunit,PRKAR2A,sp|P13861|KAP2_HUMAN cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2;tr|H7C1L0|H7C1L0_HUMAN cAMP-dependent protein kinase type II-alpha regulatory subunit (Fragment) OS=Homo sapiens OX=9606 GN=PRK,19,19,60.4,404
MTHFD2,0.3977836486,0.11916840547234,0,P13995;B8ZZU9;B9A062,P13995;B8ZZU9,15;10;6,15;10;6,15;10;6,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase",MTHFD2,"sp|P13995|MTDC_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2;tr|B8ZZU9|B8ZZU9_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS",15,15,63.7,350
MIF,-0.209291136,0.140763328883898,0,P14174,P14174,6,6,6,Macrophage migration inhibitory factor,MIF,sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,6,6,45.2,115
FDPS,-0.2629762328,0.261524587849088,0,P14324;A0A087X1D8;A0A087WVN4;A0A087WTP2;A0A087X090,P14324;A0A087X1D8;A0A087WVN4,9;7;7;3;2,9;7;7;3;2,9;7;7;3;2,Farnesyl pyrophosphate synthase,FDPS,sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4;tr|A0A087X1D8|A0A087X1D8_HUMAN Farnesyl pyrophosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=1;tr|A0A087WVN4|A0A087WVN4_HUMAN Farnesyl pyrop,9,9,23.6,419
AKR1A1,-0.1637714014,0.438485161625389,0,P14550;V9GYG2;V9GYP9;Q5T621,P14550,17;5;5;5,17;5;5;5,17;5;5;5,Alcohol dehydrogenase [NADP(+)],AKR1A1,sp|P14550|AK1A1_HUMAN Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,17,17,53.8,325
PKM,-0.1410580087,0.294906058438559,0,P14618;B4DNK4,P14618;B4DNK4,62;52,62;52,5;5,Pyruvate kinase PKM;Pyruvate kinase,PKM,sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4;tr|B4DNK4|B4DNK4_HUMAN Pyruvate kinase OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=1,62,5,89.5,531
HSP90B1,0.0187858274,0.91118076230075,0,P14625;Q96GW1;A0A1W2PRR1;H0YIV0;Q58FF3;F8W026,P14625,66;22;22;13;10;7,64;20;20;13;10;5,64;20;20;13;10;5,Endoplasmin,HSP90B1,sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,66,64,62.5,803
COX6B1,0.3616360785,0.0368832016245974,0,P14854;A0A494C160;K7EQD3,P14854;A0A494C160,5;3;1,5;3;1,5;3;1,Cytochrome c oxidase subunit 6B1,COX6B1,sp|P14854|CX6B1_HUMAN Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2;tr|A0A494C160|A0A494C160_HUMAN Cytochrome c oxidase subunit 6B1 (Fragment) OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=1,5,5,89.5,86
HNRNPL,-0.1221356701,0.380043769319035,0,P14866;M0QXS5;A0A3B3ITJ4;B4DVF8;M0R1W6;M0QYL7,P14866;M0QXS5;A0A3B3ITJ4,31;29;29;4;4;2,31;29;29;4;4;2,13;11;11;4;4;2,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2;tr|M0QXS5|M0QXS5_HUMAN Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1;tr|A0A3B3ITJ4|A0A3B3ITJ4_HUM,31,13,58.6,589
DARS,-0.1425565228,0.314038130035587,0,P14868;H7BZ35;C9J7S3;C9JLC1;C9JQM9;H7C278,P14868,29;13;10;10;6;6,29;13;10;10;6;6,29;13;10;10;6;6,"Aspartate--tRNA ligase, cytoplasmic",DARS,"sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",29,29,62.5,501
UQCRB,-0.2064228422,0.144351234930041,0,P14927;B7Z2R2;E5RHG9,P14927;B7Z2R2,9;7;3,9;7;3,9;7;3,Cytochrome b-c1 complex subunit 7,UQCRB,sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2;tr|B7Z2R2|B7Z2R2_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=1,9,9,70.3,111
AKR1B1,-0.0060543539,0.967332976263104,0,P15121;E9PCX2;E9PEF9;C9JRZ8,P15121;E9PCX2,17;11;6;1,17;11;6;1,17;11;6;1,Aldose reductase,AKR1B1,sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3;tr|E9PCX2|E9PCX2_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=1,17,17,70.6,316
GSPT1,0.1898687551,0.204344508267573,0,P15170;H3BR35;H3BSV8,P15170;H3BR35,17;16;3,17;16;3,7;6;2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT1,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,17,7,47.9,499
EZR,-0.1850772133,0.260175326137617,0,P15311;E7EQR4;E9PNP4,P15311;E7EQR4,48;47;2,35;34;1,30;30;0,Ezrin,EZR,sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4;tr|E7EQR4|E7EQR4_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=3,48,30,62.6,586
NME1,0.1443315425,0.265735122420243,0,P15531,P15531,19,2,2,Nucleoside diphosphate kinase A,NME1,sp|P15531|NDKA_HUMAN Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1,19,2,99.3,152
GNS,-0.3582057144,0.0595942251070825,0,P15586;H7C3P4;F6S8M0;F5H4C6;H0YFA9,P15586;H7C3P4;F6S8M0;F5H4C6,11;10;10;7;5,11;10;10;7;5,11;10;10;7;5,N-acetylglucosamine-6-sulfatase,GNS,sp|P15586|GNS_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=3;tr|H7C3P4|H7C3P4_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=1;tr|F6S8M0|F6S8M0_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapi,11,11,30.4,552
RPS2,0.0119223707,0.92106361988156,0,P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PPT0;E9PM36;H3BNG3;H0YE27,P15880;H0YEN5;E9PQD7;E9PMM9,29;25;22;15;13;12;12;3;3,29;25;22;15;13;12;12;3;3,29;25;22;15;13;12;12;3;3,40S ribosomal protein S2,RPS2,sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;tr|H0YEN5|H0YEN5_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1;tr|E9PQD7|E9PQD7_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9,29,29,66.6,293
CD44,0.2825381785,0.223351192690653,0,P16070;H0YD13;H0Y2P0;H0YE40;H0YDW7;H0YCV9;H0Y5E4;E9PKC6;Q86UZ1;H0YDX6;H0YD17;J3KN83;H0YD90;H0YEV3;H0YEU1,P16070;H0YD13;H0Y2P0;H0YE40;H0YDW7;H0YCV9;H0Y5E4,12;11;10;6;6;6;6;4;3;3;3;2;1;1;1,12;11;10;6;6;6;6;4;3;3;3;2;1;1;1,12;11;10;6;6;6;6;4;3;3;3;2;1;1;1,CD44 antigen,CD44,sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;tr|H0YD13|H0YD13_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0Y2P0|H0Y2P0_HUMAN CD44 antigen (Fragment) OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=1;tr|H0YE40|H0Y,12,12,13.9,742
CBR1,0.0188472595,0.880499625771173,0,P16152;E9PQ63;A8MTM1,P16152;E9PQ63;A8MTM1,11;7;7,11;7;7,9;5;5,Carbonyl reductase [NADPH] 1,CBR1,sp|P16152|CBR1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3;tr|E9PQ63|E9PQ63_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=1;tr|A8MTM1|A8MTM1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX,11,9,45.8,277
HIST1H1C,-0.2591933701,0.343158511566113,0,P16403,P16403,25,3,3,Histone H1.2,HIST1H1C,sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,25,3,46,213
