Gene_names,DET1_vs_BirA_logFC,DET1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DET1_N1,Peptides_DET1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DET1_N1,Razor___unique_peptides_DET1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DET1_N1,Unique_peptides_DET1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DET1_N1,Identification_type_DET1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DET1_N1,Ratio_H_L_DET1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DET1_N1,Ratio_H_L_normalized_DET1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DET1_N1,Ratio_H_L_variability_____DET1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DET1_N1,Ratio_H_L_count_DET1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DET1_N1,Ratio_H_L_iso_count_DET1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DET1_N1,Ratio_H_L_type_DET1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DET1_N1____,Sequence_coverage_DET1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DET1_N1,Intensity_L_DET1_N1,Intensity_H_DET1_N1,Intensity_DET1_N2,Intensity_L_DET1_N2,Intensity_H_DET1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DET1_N1,metacell_Intensity_L_DET1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
RAB11B;RAB11A,-0.0083032817406874,0.99045613816578,Q15907;P62491;H3BMH2;H3BSC1;B4DQU5;P57735,Q15907;P62491;H3BMH2;H3BSC1,14;13;13;13;3;1,14;13;13;13;3;1,14;13;13;13;3;1,Ras-related protein Rab-11B;Ras-related protein Rab-11A,sp|Q15907|RB11B_HUMAN Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4;sp|P62491|RB11A_HUMAN Ras-related protein Rab-11A OS=Homo sapiens OX=9606 GN=RAB11A PE=1 SV=3;tr|H3BMH2|H3BMH2_HUMAN Ras-related protein Rab-11A (Fragment) OS=Hom,6,14,14,14,10,10,13,9,10,10,13,9,10,10,13,9,57.8,57.8,57.8,24.488,218,218;216;155;198;146;213,0.0,38.949,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34799,1.3172,26.035,54,14,Leave out requantified,0.43375,0.53393,0.27831,0.37521,1.4825,1.486,1.0394,1.0769,7.531,14.614,32.394,14.301,11,11,20,12,4,1,5,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,39.9,39.9,56.9,41.3,4121000000,2846700000,1274300000,784420000,527620000,256800000,960110000,628890000,331230000,1708600000,1223800000,484820000,667840000,466360000,201480000,,,,2276,962;1628;1629;2607;4373;4606;5609;6010;12044;14099;14842;15479;17855;17856,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1220;1221;2115;2116;3359;5599;5913;5914;7330;7917;15727;18297;19208;20026;20027;23100;23101;23102;23103;23104,2843;2844;2845;2846;2847;4956;4957;4958;4959;4960;4961;7863;12713;12714;12715;12716;12717;12718;13381;13382;13383;13384;13385;13386;13387;16585;16586;16587;16588;17982;35271;35272;40916;40917;43087;43088;43089;43090;45002;45003;45004;45005;52115;52116;52117;52118;52119;52120;52121;52122;52123;52124;52125;52126,5207;5208;5209;5210;5211;5212;5213;5214;5215;5216;9299;9300;9301;9302;9303;9304;9305;9306;9307;9308;9309;9310;9311;9312;9313;9314;14683;14684;23158;23159;23160;23161;23162;23163;23164;23165;24371;24372;24373;24374;24375;24376;24377;24378;24379;24380;24381;24382;24383;24384;24385;24386;24387;24388;24389;30020;30021;30022;30023;30024;30025;30026;30027;30028;30029;30030;30031;32668;62484;62485;62486;62487;72369;72370;76004;76005;76006;76007;76008;76009;76010;76011;79577;79578;79579;79580;79581;79582;79583;79584;92928;92929;92930;92931;92932;92933;92934;92935;92936;92937;92938;92939;92940;92941;92942;92943;92944;92945;92946;92947;92948;92949;92950;92951;92952;92953;92954,5212;9300;9309;14684;23162;24383;30021;32668;62485;72370;76008;79582;92932;92941,3046;3047;3048,,24;58;61,,-1;-1;-1;-1;-1;-1,protein_2277,quanti,quanti,quanti,quanti
UAP1,-0.426542831429682,0.711264973698473,Q16222,Q16222,5,5,4,UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase,sp|Q16222|UAP1_HUMAN UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens OX=9606 GN=UAP1 PE=1 SV=3,1,5,5,4,3,4,1,4,3,4,1,4,2,3,1,3,12.3,12.3,9.8,58.768,522,522,0.0,7.9174,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3868,0.99284,23.326,13,3,Leave out requantified,0.46466,0.32371,0.30547,0.55657,1.0953,0.76629,0.8306,1.3372,50.435,24.531,,16.053,3,4,1,5,1,2,0,0,Plateau,Median,Median,Leave out requantified,5.9,8.6,3.6,9.6,366930000,236090000,130840000,49582000,33116000,16465000,91389000,60599000,30790000,21819000,15199000,6620000,204140000,127180000,76961000,,,,2278,1054;3926;4403;9566;16383,True;True;True;True;True,1367;5037;5634;12660;21167;21168,3168;11484;11485;11486;12794;12795;12796;28544;28545;47609;47610;47611;47612,5766;5767;5768;21015;21016;21017;21018;23310;23311;51046;51047;51048;84555;84556;84557;84558;84559;84560,5767;21017;23310;51048;84558,,,,,-1,protein_2279,quanti,quanti,quanti,quanti
DDB1,-0.0764994211435628,0.865513671402945,Q16531;F5GY55;F5GZY8;F5GWI0;F5H198;F5H2L3;F5GYG8,Q16531;F5GY55,19;18;3;2;2;2;1,19;18;3;2;2;2;1,19;18;3;2;2;2;1,DNA damage-binding protein 1,sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1;tr|F5GY55|F5GY55_HUMAN DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,7,19,19,19,12,11,11,10,12,11,11,10,12,11,11,10,23.6,23.6,23.6,126.97,1140,1140;1092;146;139;162;165;109,0.0,34.466,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43761,1.3405,45.721,49,12,Leave out requantified,0.45617,0.58351,0.20267,0.43193,1.4686,1.5613,0.85142,1.3443,30.684,23.121,70.549,51.963,12,11,14,12,2,2,8,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.1,16.2,13.9,12.6,2590700000,1752900000,837840000,519100000,355480000,163610000,632100000,424800000,207290000,675130000,499540000,175590000,764390000,473050000,291350000,,,,2280,1406;1425;3126;3550;6413;6578;7892;9013;9458;10641;10843;11572;12827;12828;14378;14958;16129;17725;18615,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1828;1850;1851;4018;4552;8446;8447;8655;10394;10395;11939;12529;13997;14268;15126;16692;16693;18653;19354;20847;22909;24029,4245;4246;4298;4299;4300;4301;4302;4303;9277;10398;19129;19130;19131;19132;19133;19134;19605;23551;23552;23553;23554;26925;26926;28251;28252;31476;32090;32091;32092;32093;33895;33896;37386;37387;37388;41744;41745;41746;41747;43435;46829;46830;46831;51630;51631;51632;51633;54153;54154,7767;7768;7769;7770;7771;7849;7850;7851;7852;7853;7854;7855;7856;7857;7858;7859;7860;7861;7862;7863;17196;19119;34632;34633;34634;34635;35491;42549;42550;42551;42552;42553;42554;42555;42556;48298;50576;50577;50578;55846;55847;56999;57000;57001;57002;57003;60034;60035;60036;60037;60038;66269;66270;66271;73726;73727;73728;73729;73730;73731;73732;73733;76627;76628;82982;82983;82984;82985;82986;91979;91980;91981;91982;91983;91984;91985;96289;96290,7767;7856;17196;19119;34634;35491;42555;48298;50577;55847;57000;60037;66270;66271;73733;76627;82983;91979;96290,,,,,-1;-1;-1;-1;-1;-1;-1,protein_2281,quanti,quanti,quanti,quanti
MRPL23,1.25330630943189,0.194841377380052,Q16540;A6NJD9;A8MVT4;A8MYK1;H7C2P7,Q16540;A6NJD9;A8MVT4;A8MYK1;H7C2P7,4;3;3;3;2,4;3;3;3;2,4;3;3;3;2,"39S ribosomal protein L23, mitochondrial","sp|Q16540|RM23_HUMAN 39S ribosomal protein L23, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL23 PE=1 SV=1;tr|A6NJD9|A6NJD9_HUMAN 39S ribosomal protein L23, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL23 PE=1 SV=1;tr|A8MVT4|A8MVT4_HUMAN 39S ribosomal prote",5,4,4,4,3,1,2,2,3,1,2,2,3,1,2,2,35.9,35.9,35.9,17.781,153,153;163;166;191;118,0.0,2.859,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37255,0.98192,22.529,8,4,Leave out requantified,0.39263,0.39589,0.30004,0.62341,0.8961,0.7824,1.1437,1.8406,48.636,,39.629,25.743,3,1,2,2,2,0,1,1,Median,Median,Median,Median,21.6,6.5,24.2,24.2,229540000,152230000,77309000,47604000,31374000,16230000,14741000,9589100,5152100,90534000,66604000,23930000,76660000,44663000,31997000,,,,2282,12550;12573;13275;15763,True;True;True;True,16347;16372;17274;20395,36674;36721;36722;36723;38605;38606;45779;45780,65065;65140;65141;65142;65143;65144;65145;68299;68300;81065,65065;65142;68299;81065,,,,,-1;-1;-1;-1;-1,protein_2283,quanti,quanti,quanti,quanti
DBN1,1.63044646805712,0.12450077154415,Q16643;D6R9W4;D6RFI1;D6RCR4;D6R9Q9,Q16643;D6R9W4;D6RFI1;D6RCR4,6;5;4;3;1,6;5;4;3;1,6;5;4;3;1,Drebrin,sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4;tr|D6R9W4|D6R9W4_HUMAN Drebrin (Fragment) OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=1;tr|D6RFI1|D6RFI1_HUMAN Drebrin (Fragment) OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=1;tr|D6RCR4|D6RCR4_,5,6,6,6,1,2,4,2,1,2,4,2,1,2,4,2,10.8,10.8,10.8,71.428,649,649;317;124;93;391,0.0,10.794,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31734,1.0836,14.409,13,5,Leave out requantified,0.43764,0.43809,0.27232,0.31203,1.2172,1.0836,1.1277,0.99612,37.681,20.876,16.894,13.067,2,3,6,2,2,2,1,0,Median,Median,Leave out requantified,Median,2.5,2.5,8.3,2.8,714550000,529700000,184840000,43171000,25510000,17661000,117800000,75829000,41975000,419030000,330840000,88189000,134540000,97519000,37020000,,,,2284,762;10412;16354;17358;18901;18902,True;True;True;True;True;True,945;13719;13720;21126;21127;22466;24394;24395,2147;2148;30827;30828;47512;47513;50673;50674;55000;55001;55002;55003;55004,3852;3853;3854;3855;3856;3857;3858;54804;54805;54806;84397;84398;90172;90173;97809;97810;97811;97812;97813;97814;97815;97816;97817;97818,3858;54804;84398;90172;97810;97816,,,,,-1;-1;-1;-1;-1,protein_2285,quanti,quanti,quanti,quanti
FSCN1,-0.987263785558515,0.228755077265853,Q16658;C9JFC0;A0A0A0MSB2;C9JPH9,Q16658,28;6;6;5,28;6;6;5,28;6;6;5,Fascin,sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,4,28,28,28,17,17,8,18,17,17,8,18,17,17,8,18,58.8,58.8,58.8,54.529,493,493;132;137;120,0.0,62.631,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29545,0.92199,15.585,70,22,Leave out requantified,0.28393,0.30252,0.2099,0.30181,0.99257,0.84896,0.86116,0.94927,12.028,19.03,32.973,18.044,20,18,9,23,7,3,4,8,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,46.7,47.1,18.7,39.1,7356900000,5039900000,2317000000,1811400000,1420600000,390850000,1859400000,1379400000,480000000,663850000,498060000,165790000,3022200000,1741900000,1280400000,,,,2285,1916;4059;4060;4061;4680;5856;7958;8136;8275;9271;9272;10249;10604;11838;12894;15429;16288;16709;18173;18174;18183;18242;18340;18565;18581;18582;18609;18653,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2467;5209;5210;5211;5212;6018;7682;10493;10760;10989;12264;12265;12266;13524;13955;15458;16778;19951;21045;21582;23481;23482;23483;23484;23495;23562;23678;23965;23989;23990;23991;24023;24070,5814;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;11848;13606;17387;17388;23735;24268;24269;24270;24754;27665;27666;27667;27668;27669;27670;27671;27672;30423;30424;31378;31379;31380;31381;31382;34667;34668;34669;34670;37562;44826;44827;47333;48599;48600;52959;52960;52961;52962;52982;53131;53132;53133;53377;53378;53379;54022;54023;54072;54073;54074;54075;54076;54077;54078;54079;54143;54239;54240,10812;21610;21611;21612;21613;21614;21615;21616;21617;21618;21619;21620;21621;21622;21623;21624;21625;21626;21627;21628;21629;21630;21631;21632;21633;21634;21635;21636;21637;21638;21639;24875;31474;31475;31476;31477;42852;43689;43690;43691;43692;43693;44434;44435;49629;49630;49631;49632;49633;49634;49635;49636;49637;49638;49639;49640;49641;49642;49643;49644;49645;49646;49647;49648;49649;49650;49651;54133;54134;54135;55685;55686;55687;55688;55689;55690;55691;55692;55693;55694;55695;55696;55697;55698;55699;55700;61432;61433;61434;61435;61436;61437;61438;61439;61440;66578;79202;79203;79204;79205;84006;86381;86382;86383;86384;86385;86386;94354;94355;94356;94357;94384;94385;94643;94644;94645;94646;94647;95059;95060;95061;95062;96105;96106;96172;96173;96174;96175;96176;96177;96178;96179;96180;96181;96182;96183;96276;96449;96450;96451;96452,10812;21620;21621;21636;24875;31476;42852;43693;44434;49635;49650;54133;55690;61433;66578;79204;84006;86385;94354;94356;94385;94644;95062;96106;96178;96181;96276;96451,3050;3051;3052;3053,,241;399;464;471,,-1;-1;-1;-1,protein_2286,quanti,quanti,quanti,quanti
DECR1,0.439657240518546,0.540220579898693,Q16698;E5RJG7;E5RFV2;E5RID6;E5RJD2;H0YAW3,Q16698;E5RJG7;E5RFV2,7;4;4;3;3;2,7;4;4;3;3;2,7;4;4;3;3;2,"2,4-dienoyl-CoA reductase, mitochondrial","sp|Q16698|DECR_HUMAN 2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1;tr|E5RJG7|E5RJG7_HUMAN 2,4-dienoyl-CoA reductase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1;tr|E5RFV2|E5RFV2_HUMAN 2,4-dienoy",6,7,7,7,4,4,6,3,4,4,6,3,4,4,6,3,25.7,25.7,25.7,36.067,335,335;181;205;95;151;43,0.0,10.029,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42024,1.3356,22.274,19,6,Leave out requantified,0.40822,0.47886,0.33423,0.33919,1.3849,1.2456,1.4531,0.99623,82.888,6.8937,63.632,12.681,4,4,8,3,0,0,5,1,Leave out requantified,Leave out requantified,Leave out requantified,Median,15.5,15.5,23.6,13.4,1056700000,724700000,332030000,199630000,127730000,71898000,174090000,114940000,59143000,492980000,346350000,146630000,190030000,135670000,54352000,,,,2286,3794;4192;4193;5351;8684;16262;16266,True;True;True;True;True;True;True,4871;5377;5378;6989;11545;21012;21013;21019,11111;11112;12184;12185;12186;12187;12188;12189;15883;26092;47261;47262;47263;47264;47265;47280;47281;47282;47283,20373;20374;20375;22230;22231;22232;28871;46832;83875;83876;83877;83878;83879;83880;83881;83882;83883;83884;83885;83917;83918;83919;83920;83921;83922;83923,20373;22231;22232;28871;46832;83877;83921,3054,,246,,-1;-1;-1;-1;-1;-1,protein_2287,quanti,quanti,quanti,quanti
CDO1,-0.493983574320339,0.302168242468553,Q16878,Q16878,2,2,2,Cysteine dioxygenase type 1,sp|Q16878|CDO1_HUMAN Cysteine dioxygenase type 1 OS=Homo sapiens OX=9606 GN=CDO1 PE=1 SV=2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,20.5,20.5,20.5,22.972,200,200,0.0,8.0861,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26576,0.8902,9.8553,6,1,Leave out requantified,0.29516,0.32015,0.20209,0.28527,1.0601,0.95445,0.81775,0.75378,,,1.0722,16.89,1,1,2,2,0,0,0,1,Median,Median,Median,Median,3.5,3.5,20.5,20.5,514970000,393910000,121060000,126060000,93430000,32635000,148350000,110310000,38049000,117200000,95708000,21491000,123360000,94467000,28888000,,,,2295,4187;15573,True;True,5370;20149;20150,12164;12165;45240;45241;45242;45243;45244;45245;45246,22184;80009;80010;80011;80012;80013;80014;80015;80016;80017;80018;80019;80020;80021;80022;80023;80024;80025;80026;80027;80028,22184;80018,,,,,-1,protein_2296,quanti,quanti,quanti,quanti
HNRNPUL2;HNRNPUL2-BSCL2,0.32448909051276,0.596689507950633,Q1KMD3;H3BQZ7,Q1KMD3;H3BQZ7,16;14,16;14,16;14,Heterogeneous nuclear ribonucleoprotein U-like protein 2,sp|Q1KMD3|HNRL2_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1;tr|H3BQZ7|H3BQZ7_HUMAN HCG2044799 OS=Homo sapiens OX=9606 GN=HNRNPUL2-BSCL2 PE=4 SV=1,2,16,16,16,9,8,12,9,9,8,12,9,9,8,12,9,28.5,28.5,28.5,85.104,747,747;746,0.0,25.097,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34026,1.1323,22.626,43,8,Leave out requantified,0.35169,0.45801,0.28216,0.37289,1.2592,1.2481,1.0199,1.0996,35.855,29.615,18.935,12.039,9,8,16,10,2,1,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,18.2,18.1,21.2,17.4,2365900000,1263900000,1102000000,578310000,226520000,351780000,676200000,232640000,443560000,726820000,536920000,189900000,384530000,267780000,116750000,,,,2297,1264;1486;2276;2923;4209;5214;8286;10732;11921;11922;12588;14649;16767;17752;18410;18734,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1636;1926;2923;2924;3770;5399;6809;11006;14125;15569;15570;16388;18974;21656;22942;23768;23769;24172;24173,3773;3774;4533;4534;6878;6879;6880;6881;6882;8761;12238;15458;24785;24786;31768;34920;34921;34922;34923;34924;34925;34926;36747;36748;36749;36750;42495;42496;42497;48795;48796;51723;51724;51725;51726;53583;53584;53585;53586;54465;54466;54467;54468;54469;54470,6814;8503;8504;8505;12885;12886;12887;12888;12889;12890;12891;12892;12893;16269;22335;28108;44470;44471;44472;56431;61857;61858;61859;61860;61861;61862;61863;65195;65196;65197;65198;65199;65200;75031;75032;75033;75034;86737;92154;92155;92156;92157;92158;92159;92160;92161;92162;95415;95416;95417;96880;96881;96882;96883;96884;96885;96886;96887;96888;96889;96890,6814;8504;12885;16269;22335;28108;44470;56431;61859;61863;65199;75033;86737;92155;95416;96885,3066,,26,,-1;-1,protein_2298,quanti,quanti,quanti,quanti
PDS5A,21.0414029200924,9.37202553735218e-07,Q29RF7;H0Y9L6,Q29RF7,5;1,5;1,5;1,Sister chromatid cohesion protein PDS5 homolog A,sp|Q29RF7|PDS5A_HUMAN Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,2,5,5,5,0,0,5,4,0,0,5,4,0,0,5,4,6.1,6.1,6.1,150.83,1337,1337;126,0.0,5.2846,,,By MS/MS,By MS/MS,0.37343,0.84878,40.772,8,5,Median,,,0.35616,0.39154,,,0.84503,0.85255,,,49.694,25.636,0,0,5,3,0,0,3,2,Median,Median,Median,Median,0.0,0.0,6.1,5.4,166410000,119220000,47194000,0,0,0,0,0,0,113930000,80698000,33227000,52489000,38522000,13968000,,,,2298,2682;7452;9760;15011;17251,True;True;True;True;True,3460;3461;9779;12912;19418;22326,8058;8059;8060;22214;22215;29101;29102;43590;50350;50351,14986;14987;14988;40175;40176;52089;76894;89601;89602;89603;89604;89605,14986;40176;52089;76894;89603,3067,185,43,41,-1;-1,protein_2299,quanti,quanti,imputed MEC,imputed MEC
TSR1,-1.68019332165697,0.020541827562554,Q2NL82,Q2NL82,3,3,3,Pre-rRNA-processing protein TSR1 homolog,sp|Q2NL82|TSR1_HUMAN Pre-rRNA-processing protein TSR1 homolog OS=Homo sapiens OX=9606 GN=TSR1 PE=1 SV=1,1,3,3,3,1,1,1,2,1,1,1,2,1,1,1,2,4.1,4.1,4.1,91.809,804,804,0.0,3.6867,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4708,1.4862,78.781,5,2,Median,0.40666,0.4708,1.1464,0.41866,1.4862,1.4226,4.883,1.0791,,,,95.49,1,1,1,2,0,0,1,1,Median,Median,Median,Median,1.6,1.6,1.4,2.5,418640000,272620000,146020000,100570000,70359000,30216000,178870000,123780000,55083000,66615000,31230000,35385000,72581000,47245000,25335000,,,,2299,6452;9412;11670,True;True;True,8493;12462;15255,19233;19234;28105;28106;34210,34819;34820;34821;34822;34823;50355;50356;60530,34823;50355;60530,,,,,-1,protein_2300,quanti,quanti,quanti,quanti
SMU1,1.38067995500919,0.0333552378401107,Q2TAY7,Q2TAY7,8,8,8,"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed",sp|Q2TAY7|SMU1_HUMAN WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,1,8,8,8,3,2,4,4,3,2,4,4,3,2,4,4,20.7,20.7,20.7,57.543,513,513,0.0,13.465,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59909,1.8472,23.136,13,4,Leave out requantified,0.78833,0.78433,0.52047,0.61286,2.0606,1.8342,2.0452,1.7589,10.365,7.3147,30.524,15.808,3,2,4,4,1,0,0,3,Plateau,Median,Leave out requantified,Median,8.2,5.3,10.5,8.8,451040000,280610000,170430000,55514000,29152000,26362000,54781000,33790000,20991000,183010000,123820000,59195000,157740000,93854000,63883000,,,,2300,244;3101;9266;9829;12306;14516;18158;18503,True;True;True;True;True;True;True;True,301;3989;12258;12990;16058;18818;23462;23886,668;669;9222;27655;29266;36024;42141;42142;52926;53856;53857;53858;53859;53860,1214;1215;17104;49609;52346;63918;74430;74431;74432;94300;95863;95864;95865;95866;95867,1215;17104;49609;52346;63918;74432;94300;95865,3068,,19,,-1,protein_2301,quanti,quanti,quanti,quanti
LEPRE1;P3H1,2.68651828029014,0.0099942057570561,Q32P28;E2QRI1,Q32P28;E2QRI1,4;2,4;2,4;2,Prolyl 3-hydroxylase 1,sp|Q32P28|P3H1_HUMAN Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2;tr|E2QRI1|E2QRI1_HUMAN Prolyl 3-hydroxylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=1,2,4,4,4,1,1,3,3,1,1,3,3,1,1,3,3,7.1,7.1,7.1,83.393,736,736;207,0.0,9.2103,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.60267,1.5795,26.925,8,3,Leave out requantified,0.48291,0.68034,0.54296,0.71448,1.1175,1.5019,1.7408,1.5851,,,21.82,43.703,1,1,3,3,1,0,1,1,Median,Median,Median,Median,1.6,1.6,5.4,5.0,315760000,205900000,109860000,14120000,9224000,4895800,19325000,10729000,8596500,186930000,131810000,55117000,95384000,54139000,41246000,,,,2301,2041;2749;8695;14588,True;True;True;True,2625;3540;11558;18900,6191;8234;8235;26121;26122;42318;42319;42320,11655;15259;15260;15261;15262;15263;15264;46875;46876;46877;74746;74747;74748,11655;15260;46875;74747,,,,,-1;-1,protein_2302,quanti,quanti,quanti,quanti
UAP1L1,-18.4718301519176,4.08699369567847e-07,Q3KQV9;A0A087X226,Q3KQV9,3;1,2;1,2;1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,sp|Q3KQV9|UAP1L_HUMAN UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Homo sapiens OX=9606 GN=UAP1L1 PE=1 SV=2,2,3,2,2,3,3,0,1,2,2,0,0,2,2,0,0,5.9,3.4,3.4,57.03,507,507;99,0.0015765,1.917,By MS/MS,By MS/MS,,By matching,0.45974,0.95096,8.0449,2,0,Median,0.41835,0.50522,,,0.89837,1.0066,,,,,,,1,1,0,0,0,0,0,0,Median,Median,Median,Median,5.9,5.9,0.0,2.6,25451000,14223000,11228000,10151000,6360300,3791000,15300000,7863000,7436900,0,0,0,0,0,0,,,,2305,4405;4461;16383,True;True;False,5636;5710;21167;21168,12801;12802;12968;12969;47609;47610;47611;47612,23323;23324;23325;23640;23641;84555;84556;84557;84558;84559;84560,23324;23640;84558,,,,,-1;-1,protein_2306,imputed MEC,imputed MEC,quanti,quanti
