Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
H3BPE1;H3BQK9;Q9UPN3;A0A590UJG2;H0Y390;A0A5F9ZGX0;E9PNZ4;A0A669KBB0;H0Y314;E9PLY0;H0Y4F5;A0A0A6YYJ5;H0Y6T5;A0A669KB06;H0Y7I1;E9PS75,H3BPE1;H3BQK9;Q9UPN3;A0A590UJG2;H0Y390,82;82;77;72;59;24;21;14;10;8;7;5;4;3;2;1,81;81;76;72;59;23;21;14;10;8;7;5;4;3;2;1,57;57;53;49;45;3;2;0;6;0;4;5;3;3;1;0,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",MACF1,"tr|H3BPE1|H3BPE1_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=1;tr|H3BQK9|H3BQK9_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=1;sp|Q9U",82,57,14.0,25.2075440435525,25.0525839702855,30.0927004523085,29.5513116951048
A0A0A0MRB5;Q8WXG6;C9J6B0;A0A0U1RR25,A0A0A0MRB5;Q8WXG6;C9J6B0,4;3;2;1,4;3;2;1,4;3;2;1,MAP kinase-activating death domain protein,MADD,tr|A0A0A0MRB5|A0A0A0MRB5_HUMAN MAP kinase-activating death domain protein OS=Homo sapiens OX=9606 GN=MADD PE=1 SV=1;sp|Q8WXG6|MADD_HUMAN MAP kinase-activating death domain protein OS=Homo sapiens OX=9606 GN=MADD PE=1 SV=2;tr|C9J6B0|C9J6B0_HUMAN MAP kinase-,4,4,2.6,4.29321427599828,4.26311898798562,24.7391295759534,23.7070405817542
P43358;P43363;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43362;P43355;O15480;P43361;A2A368;Q96M61;Q3SYA6;A0A0A0MSA3,P43358,7;3;3;3;3;3;2;1;1;1;1;1;1;1,7;3;3;3;3;3;2;1;1;1;1;1;1;1,6;2;3;3;3;3;2;0;0;0;0;0;0;0,Melanoma-associated antigen 4,MAGEA4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,7,6,17.4,26.7206456961845,26.3510063338096,27.9132500065557,28.1378992171952
O15479;O15481;Q96LZ2;Q9UBF1,O15479,5;1;1;1,5;1;1;1,4;0;0;0,Melanoma-associated antigen B2,MAGEB2,sp|O15479|MAGB2_HUMAN Melanoma-associated antigen B2 OS=Homo sapiens OX=9606 GN=MAGEB2 PE=1 SV=3,5,4,20.1,25.8466591787648,25.5795449778076,23.3542052528082,23.7597939296831
Q9UNF1;Q5H909;Q5H907;Q12816;A0A087X070;G5E9N2;Q9Y5V3,Q9UNF1;Q5H909;Q5H907,25;23;20;2;2;2;1,25;23;20;2;2;2;1,25;23;20;2;2;2;1,Melanoma-associated antigen D2,MAGED2,"sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform",25,25,46.4,30.0272293148194,28.34155343409,29.2888346456781,29.1822222870823
Q96QZ7;H7C535;H7C4U7;A0A087WXD2;A0A087WT53;H7C5T8;H7C4S7;A0A1B0GTH8;A0A0D9SET0;A0A0D9SGF2;Q86UL8;A0A0D9SEY4;A0A1B0GUI9;A0A1B0GUF0;A0A1B0GUV4;A0A1B0GTC0;E7EWI0;A0A0E3D6M1;A0A0D9SGI1;A0A0D9SGF8,Q96QZ7;H7C535;H7C4U7;A0A087WXD2;A0A087WT53;H7C5T8,8;8;8;7;7;7;2;1;1;1;1;1;1;1;1;1;1;1;1;1,7;7;7;6;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0,7;7;7;6;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",MAGI1,"sp|Q96QZ7|MAGI1_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAGI1 PE=1 SV=3;tr|H7C535|H7C535_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Fragment) OS=",8,7,7.4,24.5194135785785,22.6904047159257,25.2144901807017,25.6729546546697
Q96A72;P61326;F5H124;F5H6N1;F5H6P7,Q96A72;P61326;F5H124;F5H6N1;F5H6P7,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Protein mago nashi homolog 2;Protein mago nashi homolog,MAGOHB;MAGOH,sp|Q96A72|MGN2_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9606 GN=MAGOHB PE=1 SV=1;sp|P61326|MGN_HUMAN Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1;tr|F5H124|F5H124_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9,2,2,13.5,4.29321427599828,4.26311898798562,24.388046198676,24.2371014015635
Q9BXY0;H0YBV6,Q9BXY0,7;3,7;3,7;3,Protein MAK16 homolog,MAK16,sp|Q9BXY0|MAK16_HUMAN Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2,7,7,29.7,28.0663542350123,26.6493820590422,4.42522191267267,4.39210376514955
P78559;E9PGC8,P78559;E9PGC8,10;10,10;10,10;10,Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2,MAP1A,sp|P78559|MAP1A_HUMAN Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6;tr|E9PGC8|E9PGC8_HUMAN Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=1,10,10,5.7,4.29321427599828,4.26311898798562,26.6766714157823,25.7574305009263
P46821;D6RA32;D6RA40;D6RGJ3;D6RCL2,P46821,50;22;15;5;4,50;22;15;5;4,50;22;15;5;4,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,MAP1B,sp|P46821|MAP1B_HUMAN Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,50,50,32.9,28.9434666896937,28.5770468787486,30.3895649764047,30.4498282984773
Q66K74;M0R1M7;M0QXQ9;M0R1J2;M0QY41,Q66K74,7;1;1;1;1,7;1;1;1;1,7;1;1;1;1,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain,MAP1S,sp|Q66K74|MAP1S_HUMAN Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2,7,7,10.4,21.6278740421414,24.5727285062301,25.3575648906753,25.3048687659326
P11137;A0A669KB77;E7EV03,P11137;A0A669KB77,19;19;4,19;19;4,19;19;4,Microtubule-associated protein 2,MAP2,sp|P11137|MTAP2_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4;tr|A0A669KB77|A0A669KB77_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=4 SV=1,19,19,14.6,23.5182132331886,24.638154375306,28.0842083368715,27.8691483690038
P46734;E9PRZ0;J3QR49,P46734,3;1;1,3;1;1,3;1;1,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,sp|P46734|MP2K3_HUMAN Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1 SV=2,3,3,15.6,4.29321427599828,4.26311898798562,25.4138048451872,25.3262541891833
E7EVA0;B5MEG9;H7C456;H0Y2V1;F8W9U4;A0A0J9YVV8;A0A0J9YW37,E7EVA0,98;25;18;16;15;5;5,98;25;18;16;15;5;5,19;5;0;0;0;0;0,Microtubule-associated protein,MAP4,tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1,98,19,47.0,34.1478597250812,32.8624537164298,35.0786144582699,34.853548935393
O95819;E7ENQ1;G3XAA2;G5E948;E7EN19;A0A0D9SEY1;H7C360;E7EX83;A0A0D9SG62;C9J840;H7C0P6;E7ETN6,O95819;E7ENQ1;G3XAA2;G5E948;E7EN19;A0A0D9SEY1;H7C360;E7EX83;A0A0D9SG62;C9J840;H7C0P6,14;14;14;14;14;14;13;12;12;11;8;2,14;14;14;14;14;14;13;12;12;11;8;2,7;7;7;7;7;7;6;7;7;6;5;1,Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,sp|O95819|M4K4_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2;tr|E7ENQ1|E7ENQ1_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=1;tr|G3XAA2|G3,14,7,14.4,23.2542178314552,24.2951601959409,27.383356643788,26.7014725143048
Q9Y4K4;G3V4T8;G3V3V7;G3V4Q4;G3V5C6,Q9Y4K4,13;3;2;2;2,13;3;2;2;2,13;3;2;2;2,Mitogen-activated protein kinase kinase kinase kinase 5,MAP4K5,sp|Q9Y4K4|M4K5_HUMAN Mitogen-activated protein kinase kinase kinase kinase 5 OS=Homo sapiens OX=9606 GN=MAP4K5 PE=1 SV=2,13,13,21.6,24.8065622082571,24.3483407677533,27.8690895207225,27.3972982118618
Q3KQU3;H0YF21,Q3KQU3,3;1,3;1,3;1,MAP7 domain-containing protein 1,MAP7D1,sp|Q3KQU3|MA7D1_HUMAN MAP7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAP7D1 PE=1 SV=1,3,3,4.4,25.4803750684078,22.7983776616219,22.16949933892,22.8673265303176
Q8IWC1;A0A0A0MRP0,Q8IWC1;A0A0A0MRP0,16;13,16;13,16;13,MAP7 domain-containing protein 3,MAP7D3,sp|Q8IWC1|MA7D3_HUMAN MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2;tr|A0A0A0MRP0|A0A0A0MRP0_HUMAN MAP7 domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=1,16,16,21.7,26.9774920089267,27.1245517392982,26.6032865344534,26.5193985804233
Q15691,Q15691,11,11,10,Microtubule-associated protein RP/EB family member 1,MAPRE1,sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,11,10,54.9,26.4722313426846,22.8794030151426,27.5226794600669,27.3950112011839
Q15555;K7EL66;K7ERD8;M0QX52,Q15555;K7EL66;K7ERD8,4;2;2;1,4;2;2;1,4;2;2;1,Microtubule-associated protein RP/EB family member 2,MAPRE2,sp|Q15555|MARE2_HUMAN Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1;tr|K7EL66|K7EL66_HUMAN Microtubule-associated protein RP/EB family member 2 (Fragment) OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1;tr|K7E,4,4,17.1,24.0588716751063,24.3442146239793,25.2410358281324,23.7243198273801
I3L170;P10636;A0A0G2JQJ7;A0A0G2JPD5;A0A0G2JS76;A0A0G2JMX7,I3L170;P10636;A0A0G2JQJ7;A0A0G2JPD5;A0A0G2JS76;A0A0G2JMX7,4;3;3;3;3;3,4;3;3;3;3;3,4;3;3;3;3;3,Microtubule-associated protein;Microtubule-associated protein tau,MAPT,tr|I3L170|I3L170_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=1;sp|P10636|TAU_HUMAN Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5;tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN Microtubule-associated protein O,4,4,16.1,25.6101194147674,25.5979559203487,25.4383799394419,25.5557080390156
Q7KZI7;E9PC69;E7ETY4;F5H6N2;F5H4F6;P27448;K7EK17;K7EKG8;F5H4J8;H0YKJ3;H0YNV4;J3KNR0,Q7KZI7;E9PC69;E7ETY4,6;6;4;2;2;1;1;1;1;1;1;1,6;6;4;2;2;1;1;1;1;1;1;1,5;5;3;1;1;0;0;0;1;0;0;0,Serine/threonine-protein kinase MARK2,MARK2,sp|Q7KZI7|MARK2_HUMAN Serine/threonine-protein kinase MARK2 OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=2;tr|E9PC69|E9PC69_HUMAN Non-specific serine/threonine protein kinase OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=3;tr|E7ETY4|E7ETY4_HUMAN Non-specific serine,6,5,11.4,25.4633243021638,22.7459754338983,28.1785941164734,24.7857637455848
P56192;H0YHV5,P56192;H0YHV5,3;2,3;2,2;2,"Methionine--tRNA ligase, cytoplasmic",MARS,"sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2;tr|H0YHV5|H0YHV5_HUMAN Methionine--tRNA ligase, cytoplasmic (Fragment) OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=1",3,2,2.4,24.4452487983144,23.3820540291853,4.42522191267267,4.39210376514955
Q6P0Q8;A0A669KBJ4;V9GXZ1;E7ERL6,Q6P0Q8;A0A669KBJ4;V9GXZ1;E7ERL6,4;4;2;2,3;3;1;1,3;3;1;1,Microtubule-associated serine/threonine-protein kinase 2,MAST2,sp|Q6P0Q8|MAST2_HUMAN Microtubule-associated serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=MAST2 PE=1 SV=2;tr|A0A669KBJ4|A0A669KBJ4_HUMAN Microtubule-associated serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=MAST2 PE=4 SV=1;tr|,4,3,3.1,21.8932659750439,23.6019041578166,21.6997317167708,24.4513620555653
O15021;H7C1I9;O60307,O15021;H7C1I9,5;3;1,4;3;0,4;3;0,Microtubule-associated serine/threonine-protein kinase 4,MAST4,sp|O15021|MAST4_HUMAN Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=4;tr|H7C1I9|H7C1I9_HUMAN Microtubule-associated serine/threonine-protein kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=1,5,4,2.2,4.29321427599828,4.26311898798562,24.7271277407627,23.909306418567
Q96GX5;A0A087WUU7,Q96GX5;A0A087WUU7,14;7,13;7,13;7,Serine/threonine-protein kinase greatwall,MASTL,sp|Q96GX5|GWL_HUMAN Serine/threonine-protein kinase greatwall OS=Homo sapiens OX=9606 GN=MASTL PE=1 SV=1;tr|A0A087WUU7|A0A087WUU7_HUMAN Serine/threonine-protein kinase greatwall (Fragment) OS=Homo sapiens OX=9606 GN=MASTL PE=1 SV=1,14,13,29.2,26.6411349231642,26.5184533821764,27.1104823539937,26.4273756387924
P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;B3KM87;H0Y8T4;D6RIA2;D6RBI2;D6RE02;D6RBK5;D6RAY2;Q68E03;D6R8Z5;D6RAM9;D6REK4;D6RCM3,P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991,22;22;22;20;17;8;7;3;3;3;2;2;2;2;2;1;1,22;22;22;20;17;8;7;3;3;3;2;2;2;2;2;1;1,22;22;22;20;17;8;7;3;3;3;2;2;2;2;2;1;1,Matrin-3,MATR3,sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2;tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|A0A0R4J2E8|A0A0R4J2E8_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|D6REM6|D6REM6_HUMAN M,22,22,33.8,28.3540538849945,27.5869203979367,28.9727348756749,29.2826623959554
Q7Z434,Q7Z434,7,7,7,Mitochondrial antiviral-signaling protein,MAVS,sp|Q7Z434|MAVS_HUMAN Mitochondrial antiviral-signaling protein OS=Homo sapiens OX=9606 GN=MAVS PE=1 SV=2,7,7,26.9,26.8124989304011,26.2392156681159,27.7189487916205,27.3598449837167
Q8IYB1,Q8IYB1,13,13,13,Protein MB21D2,MB21D2,sp|Q8IYB1|M21D2_HUMAN Protein MB21D2 OS=Homo sapiens OX=9606 GN=MB21D2 PE=1 SV=3,13,13,37.7,27.9241670746842,27.2568290449117,25.887555502186,25.0239874563716
A0A087WT34;A0A087X1H1;A0A0A0MTS6;K7EIE8;O95983;A0A087WZ12,A0A087WT34;A0A087X1H1;A0A0A0MTS6;K7EIE8;O95983;A0A087WZ12,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Methyl-CpG-binding domain protein 3,MBD3,tr|A0A087WT34|A0A087WT34_HUMAN Methyl-CpG-binding domain protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=MBD3 PE=1 SV=1;tr|A0A087X1H1|A0A087X1H1_HUMAN Methyl-CpG-binding domain protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=MBD3 PE=1 SV=1;tr|A0A0A0MTS6|A0,2,2,23.8,24.8719232808575,24.2809217348241,4.42522191267267,4.39210376514955
Q96N66;A9C4B8;H7C2M4;C9J4E9;A0A0G2JNX6;M0R1Z5,Q96N66;A9C4B8,4;2;1;1;1;1,4;2;1;1;1;1,4;2;1;1;1;1,Lysophospholipid acyltransferase 7,MBOAT7,sp|Q96N66|MBOA7_HUMAN Lysophospholipid acyltransferase 7 OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=2;tr|A9C4B8|A9C4B8_HUMAN Lysophospholipid acyltransferase 7 (Fragment) OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=1,4,4,15.0,26.5127540838593,25.6386239441577,23.7307967047384,23.2048457306857
P43121,P43121,10,10,10,Cell surface glycoprotein MUC18,MCAM,sp|P43121|MUC18_HUMAN Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,10,10,18.6,24.9914881249495,23.66329489204,27.7506619102953,27.7844413509302
Q96RQ3;E9PHF7;E9PG35;F5GYT8;G5E9X5;F8WDI3;F2Z3E2;F8WF46;F2Z2Z7,Q96RQ3;E9PHF7;E9PG35;F5GYT8;G5E9X5,52;46;43;40;32;5;1;1;1,52;46;43;40;32;5;1;1;1,52;46;43;40;32;5;1;1;1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCC1,"sp|Q96RQ3|MCCA_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3;tr|E9PHF7|E9PHF7_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=1;tr|E",52,52,72.8,35.7496763608573,35.0794889393794,34.4529236318824,34.2894641627507
I6L8E2;D6RGH6,I6L8E2;D6RGH6,2;1,2;1,2;1,Multicilin,MCIDAS,tr|I6L8E2|I6L8E2_HUMAN Multicilin OS=Homo sapiens OX=9606 GN=MCIDAS PE=4 SV=1;sp|D6RGH6|MCIN_HUMAN Multicilin OS=Homo sapiens OX=9606 GN=MCIDAS PE=1 SV=1,2,2,15.6,27.6820410880867,26.8323146446348,27.0249597225772,26.9641102665942
P25205;J3KQ69;A0A499FHX9,P25205;J3KQ69;A0A499FHX9,5;3;3,5;3;3,5;3;3,DNA replication licensing factor MCM3,MCM3,sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|J3KQ69|J3KQ69_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|A0A499FHX9|A0A499FHX9_HUMAN DNA replication licen,5,5,7.2,23.9413270421659,22.8594839808133,24.6653567379494,24.6276180408913
O60318,O60318,3,3,3,Germinal-center associated nuclear protein,MCM3AP,sp|O60318|GANP_HUMAN Germinal-center associated nuclear protein OS=Homo sapiens OX=9606 GN=MCM3AP PE=1 SV=2,3,3,1.7,4.29321427599828,4.26311898798562,24.1461596877902,21.0678912230734
P33991;A0A3B3IU45;A0A3B3IT92;E5RG31;A0A3B3ITP6;A0A3B3IS57;A0A3B3IRR8,P33991;A0A3B3IU45;A0A3B3IT92;E5RG31;A0A3B3ITP6;A0A3B3IS57,16;16;15;14;14;13;3,16;16;15;14;14;13;3,16;16;15;14;14;13;3,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,16,16,27.8,28.1226277838558,26.8498355284167,27.8955628020739,27.1496716195677
Q14566,Q14566,6,6,6,DNA replication licensing factor MCM6,MCM6,sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,6,6,11.9,23.8994132960715,22.8310342567787,25.598495548199,25.0878033671744
Q14676;A2AB05;H0Y6Z8;A2AB06;A2AB07;A0A087X0R2,Q14676,34;3;2;1;1;1,34;3;2;1;1;1,34;3;2;1;1;1,Mediator of DNA damage checkpoint protein 1,MDC1,sp|Q14676|MDC1_HUMAN Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,34,34,30.9,28.5247729233875,27.1135655681739,28.9711182569708,28.2113184223386
Q15648;J3QKZ7;J3KSD7,Q15648,34;4;1,34;4;1,34;4;1,Mediator of RNA polymerase II transcription subunit 1,MED1,sp|Q15648|MED1_HUMAN Mediator of RNA polymerase II transcription subunit 1 OS=Homo sapiens OX=9606 GN=MED1 PE=1 SV=4,34,34,33.3,28.430457656301,27.8586353770834,29.4418382402224,28.9199692330536
Q14814;Q05BX2;H0YM62;A0A0D9SGI5;A0A1B0GV32;A0A0R4J2G5;A0A0D9SFD0;D6RJG6;D8L7E9;D6RC63;D6R942;H0YKY6;Q02078;D6RCM6;D6RG21;A0A1B0GTW4;D6RB91;D6RG14;D6RJA7;Q06413;A0A0D9SET2,Q14814,11;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,11;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,11;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,Myocyte-specific enhancer factor 2D,MEF2D,sp|Q14814|MEF2D_HUMAN Myocyte-specific enhancer factor 2D OS=Homo sapiens OX=9606 GN=MEF2D PE=1 SV=1,11,11,20.9,27.2587169776229,26.7211674193765,28.0908344524849,28.0951679325171
Q7L2J0,Q7L2J0,2,2,2,7SK snRNA methylphosphate capping enzyme,MEPCE,sp|Q7L2J0|MEPCE_HUMAN 7SK snRNA methylphosphate capping enzyme OS=Homo sapiens OX=9606 GN=MEPCE PE=1 SV=1,2,2,5.5,22.0322098852976,23.2851302995519,22.0396580611645,21.6071587089566
Q9HCE5;D6RBL4,Q9HCE5;D6RBL4,4;2,4;2,4;2,N6-adenosine-methyltransferase subunit METTL14,METTL14,sp|Q9HCE5|MET14_HUMAN N6-adenosine-methyltransferase non-catalytic subunit OS=Homo sapiens OX=9606 GN=METTL14 PE=1 SV=2;tr|D6RBL4|D6RBL4_HUMAN N6-adenosine-methyltransferase non-catalytic subunit (Fragment) OS=Homo sapiens OX=9606 GN=METTL14 PE=1 SV=2,4,4,12.3,4.29321427599828,4.26311898798562,26.5575841807421,25.7931518011319
Q86U44;H0YFV6;F5H6D8;B4DTN4;B4E349,Q86U44;H0YFV6;F5H6D8;B4DTN4,16;9;8;8;3,16;9;8;8;3,16;9;8;8;3,N6-adenosine-methyltransferase 70 kDa subunit,METTL3,sp|Q86U44|MTA70_HUMAN N6-adenosine-methyltransferase catalytic subunit OS=Homo sapiens OX=9606 GN=METTL3 PE=1 SV=2;tr|H0YFV6|H0YFV6_HUMAN N6-adenosine-methyltransferase catalytic subunit (Fragment) OS=Homo sapiens OX=9606 GN=METTL3 PE=1 SV=2;tr|F5H6D8|F5H6,16,16,37.9,25.8905272121766,22.4037183726354,28.1664817778458,28.1048959189752
P55081,P55081,11,11,11,Microfibrillar-associated protein 1,MFAP1,sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2,11,11,38.0,27.3732678261644,26.7755524133725,28.5389358747801,28.2171095021946
Q8IWI9;H3BP52;H3BTF4;H3BU53;H3BTN2,Q8IWI9,19;9;9;4;1,19;9;9;4;1,19;9;9;4;1,MAX gene-associated protein,MGA,sp|Q8IWI9|MGAP_HUMAN MAX gene-associated protein OS=Homo sapiens OX=9606 GN=MGA PE=1 SV=4,19,19,8.2,25.9344735747977,24.8207987217171,27.1631737774658,27.3321064989079
O60502;H7C3X0,O60502,25;7,25;7,25;7,Protein O-GlcNAcase,MGEA5,sp|O60502|OGA_HUMAN Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2,25,25,34.1,28.3812950025774,27.637684653569,28.9117081469633,29.2616787464537
G3V599;Q96PC5;Q96RT6,G3V599;Q96PC5,3;3;1,3;3;1,2;2;0,Melanoma inhibitory activity protein 2,MIA2,tr|G3V599|G3V599_HUMAN Melanoma inhibitory activity protein 2 OS=Homo sapiens OX=9606 GN=MIA2 PE=1 SV=1;sp|Q96PC5|MIA2_HUMAN Melanoma inhibitory activity protein 2 OS=Homo sapiens OX=9606 GN=MIA2 PE=1 SV=4,3,2,2.7,25.912416464876,25.0207845594336,23.4564664778821,21.9261120899479
Q5JRA6;A0A0A0MRH6,Q5JRA6;A0A0A0MRH6,3;2,3;2,3;2,Melanoma inhibitory activity protein 3,MIA3,sp|Q5JRA6|TGO1_HUMAN Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1;tr|A0A0A0MRH6|A0A0A0MRH6_HUMAN Transport and Golgi organization protein 1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=6,3,3,2.1,26.0537442926651,21.3334720409321,4.42522191267267,4.39210376514955
O94851;A0A2R8YFA9;E9PNC3;E9PKI3;E9PKW5;E9PJB0;E9PRE0;E9PL42,O94851;A0A2R8YFA9,7;7;2;2;1;1;1;1,4;4;2;2;1;1;1;1,4;4;2;2;1;1;1;1,Protein-methionine sulfoxide oxidase MICAL2,MICAL2,sp|O94851|MICA2_HUMAN [F-actin]-monooxygenase MICAL2 OS=Homo sapiens OX=9606 GN=MICAL2 PE=1 SV=1;tr|A0A2R8YFA9|A0A2R8YFA9_HUMAN [F-actin]-monooxygenase MICAL2 OS=Homo sapiens OX=9606 GN=MICAL2 PE=1 SV=1,7,4,7.5,25.4740433166633,24.3773614741215,4.42522191267267,4.39210376514955
