WDTC1_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
RPL7,0.3841247232,0.0158161188357641,0,P18124;A8MUD9;C9JIJ5;C9JZ88,P18124;A8MUD9,19;18;6;4,19;18;6;4,19;18;6;4,60S ribosomal protein L7,RPL7,sp|P18124|RL7_HUMAN 60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1;tr|A8MUD9|A8MUD9_HUMAN 60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,19,19,58.5,248
VCL,0.7322294115,0.0393326943361512,0,P18206;A0A096LPE1,P18206,28;1,28;1,28;1,Vinculin,VCL,sp|P18206|VINC_HUMAN Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,28,28,36.2,1134
SON,-0.3060849196,0.0237779411914479,0,P18583;H7C1M2;J3QSZ5,P18583;H7C1M2,6;4;1,6;4;1,6;4;1,Protein SON,SON,sp|P18583|SON_HUMAN Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4;tr|H7C1M2|H7C1M2_HUMAN Protein SON (Fragment) OS=Homo sapiens OX=9606 GN=SON PE=1 SV=1,6,6,4.7,2426
PGAM1;PGAM4,-0.0090704251,0.926776291367871,0,P18669;Q8N0Y7;P15259,P18669;Q8N0Y7,25;13;7,25;13;7,25;13;7,Phosphoglycerate mutase 1;Probable phosphoglycerate mutase 4,PGAM1;PGAM4,sp|P18669|PGAM1_HUMAN Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2;sp|Q8N0Y7|PGAM4_HUMAN Probable phosphoglycerate mutase 4 OS=Homo sapiens OX=9606 GN=PGAM4 PE=3 SV=1,25,25,73.6,254
NCL,0.1285745734,0.370523832372242,0,P19338;H7BY16,P19338;H7BY16,33;19,33;19,33;19,Nucleolin,NCL,sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3;tr|H7BY16|H7BY16_HUMAN Nucleolin (Fragment) OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=8,33,33,43.4,710
HK1,0.0461498951,0.755447604667974,0,P19367;B1AR62;Q2TB90;P52790,P19367,23;4;2;2,23;4;2;2,19;3;1;0,Hexokinase-1,HK1,sp|P19367|HXK1_HUMAN Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3,23,19,28.9,917
EIF2AK2,-0.3471054585,0.0546215694569595,0,P19525;C9JZT2;F8WBH4,P19525;C9JZT2,7;4;2,7;4;2,7;4;2,"Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2,"sp|P19525|E2AK2_HUMAN Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2;tr|C9JZT2|C9JZT2_HUMAN Interferon-induced, double-stranded RNA-activated protein kinase (Fragment) OS=Homo sapiens OX=9606 G",7,7,21.2,551
SRM,-0.6962560831,0.00191543894813374,0,P19623;K7EKM4;K7ESL0;K7EQ47;K7EL89,P19623,8;3;2;2;1,8;3;2;2;1,8;3;2;2;1,Spermidine synthase,SRM,sp|P19623|SPEE_HUMAN Spermidine synthase OS=Homo sapiens OX=9606 GN=SRM PE=1 SV=1,8,8,21.5,302
CSNK2A2,-0.3459137517,0.0278877778207284,0,P19784;H3BNI9;H3BSA1;H3BV19,P19784;H3BNI9;H3BSA1,6;3;3;2,6;3;3;2,6;3;3;2,Casein kinase II subunit alpha,CSNK2A2,sp|P19784|CSK22_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1;tr|H3BNI9|H3BNI9_HUMAN Casein kinase II subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1;tr|H3BSA1|H3BSA1_HUMAN Casein kinase II subuni,6,6,21.4,350
EIF2S2,0.3983778574,0.0848177018859651,0,P20042,P20042,3,3,3,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2,sp|P20042|IF2B_HUMAN Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,3,3,9.9,333
ANXA7,-0.091809317,0.425146752422741,0,P20073,P20073,13,13,13,Annexin A7,ANXA7,sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3,13,13,33,488
BTF3,-0.0362241929,0.689501206443718,0,P20290,P20290,4,4,2,Transcription factor BTF3,BTF3,sp|P20290|BTF3_HUMAN Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=1,4,2,33,206
PSMB1,0.139855056,0.204020654004704,0,P20618,P20618,7,7,7,Proteasome subunit beta type-1,PSMB1,sp|P20618|PSB1_HUMAN Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,7,7,43.2,241
M6PR,-0.4915673478,0.00376043155272041,0,P20645;F5GX30;H0YGT2;H0YF90;H0YGE9,P20645;F5GX30;H0YGT2;H0YF90,4;3;2;2;1,4;3;2;2;1,4;3;2;2;1,Cation-dependent mannose-6-phosphate receptor,M6PR,sp|P20645|MPRD_HUMAN Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=M6PR PE=1 SV=1;tr|F5GX30|F5GX30_HUMAN Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=M6PR PE=1 SV=2;tr|H0YGT2|H0YGT2_HUMAN Cation-depend,4,4,18.4,277
LMNB1,-0.3259132662,0.024778001881558,0,P20700;E9PBF6;A0A0D9SFE5;A0A0D9SFY5,P20700;E9PBF6;A0A0D9SFE5,40;33;28;14,39;32;28;14,36;31;27;13,Lamin-B1,LMNB1,"sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2;tr|E9PBF6|E9PBF6_HUMAN Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=1;tr|A0A0D9SFE5|A0A0D9SFE5_HUMAN Lamin B1, isoform CRA_a OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=1",40,36,60.1,586
ATP6V1B2,-0.480955117,0.0161256396222905,0,P21281;H0YC04;P15313;C9JL73;C9JNS9;H0YAT8;E5RGH6;H0YC45,P21281;H0YC04,13;8;4;4;3;2;2;1,13;8;4;4;3;2;2;1,13;8;4;4;3;2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1",13,13,38.7,511
ATP6V1C1,-0.5681219425,0.00713956792823115,0,P21283;E7EV59,P21283;E7EV59,5;4,5;4,5;4,V-type proton ATPase subunit C 1,ATP6V1C1,sp|P21283|VATC1_HUMAN V-type proton ATPase subunit C 1 OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=4;tr|E7EV59|E7EV59_HUMAN V-type proton ATPase subunit C OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=1,5,5,17,382
ACO1,0.1171135803,0.43524855063972,0,P21399,P21399,15,15,15,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,15,15,21.7,889
VDAC1,0.1270735059,0.223304704048897,0,P21796;C9JI87,P21796;C9JI87,25;15,25;15,25;15,Voltage-dependent anion-selective channel protein 1,VDAC1,sp|P21796|VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2;tr|C9JI87|C9JI87_HUMAN Voltage-dependent anion-selective channel protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=6,25,25,87.3,283
SDHB,-0.030482086,0.90712394005695,0,P21912;A0A087WXX8;A0A087WWT1,P21912;A0A087WXX8;A0A087WWT1,5;3;3,5;3;3,5;3;3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,"sp|P21912|SDHB_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3;tr|A0A087WXX8|A0A087WXX8_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment) OS=Homo",5,5,21.4,280
TGM2,0.195644983,0.124741416330968,0,P21980;A2A299;A2A2A0,P21980,27;8;5,27;8;5,27;8;5,Protein-glutamine gamma-glutamyltransferase 2,TGM2,sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,27,27,42.4,687
GART,0.0528909518,0.561569443955799,0,P22102;F8WD69;C9JBJ1;C9JTV6;C9JZG2;C9JKQ7;H7C366;A0A140TA71,P22102,27;13;11;11;7;7;4;2,27;13;11;11;7;7;4;2,27;13;11;11;7;7;4;2,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,27,27,37,1010
PAICS,0.3280518508,0.0335112160074241,0,P22234;E9PBS1;D6RF62,P22234;E9PBS1;D6RF62,27;26;18,27;26;18,27;26;18,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,PAICS,sp|P22234|PUR6_HUMAN Multifunctional protein ADE2 OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=3;tr|E9PBS1|E9PBS1_HUMAN Multifunctional protein ADE2 (Fragment) OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=1;tr|D6RF62|D6RF62_HUMAN Multifunctional protein ADE2 OS=Ho,27,27,55.3,425
SCP2,-0.5773602281,0.00211520536126971,0,P22307;H0YF61;H0YCB0;E9PLD1,P22307,5;2;1;1,5;2;1;1,5;2;1;1,Non-specific lipid-transfer protein,SCP2,sp|P22307|NLTP_HUMAN Non-specific lipid-transfer protein OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2,5,5,13.5,547
UBA1,-0.3772209446,0.0138258476832073,0,P22314;Q5JRR6;Q5JRR9;Q5JRS0;Q5JRS1;Q5JRS3;Q5JRS2,P22314,34;11;9;9;7;7;7,34;11;9;9;7;7;7,34;11;9;9;7;7;7,Ubiquitin-like modifier-activating enzyme 1,UBA1,sp|P22314|UBA1_HUMAN Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,34,34,37.8,1058
FDXR,-0.3653616084,0.269834030790462,0,P22570;A0A0A0MTN9;A0A0C4DFN8;A0A0A0MSZ4;A0A0A0MT64;J3QQX3;A0A0A0MTR6;A0A0C4DGN7;J3QKZ8;J3QQW7,P22570;A0A0A0MTN9;A0A0C4DFN8;A0A0A0MSZ4;A0A0A0MT64;J3QQX3;A0A0A0MTR6;A0A0C4DGN7,19;17;17;17;17;16;16;15;5;1,19;17;17;17;17;16;16;15;5;1,19;17;17;17;17;16;16;15;5;1,"NADPH:adrenodoxin oxidoreductase, mitochondrial",FDXR,"sp|P22570|ADRO_HUMAN NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=3;tr|A0A0A0MTN9|A0A0A0MTN9_HUMAN NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=1;tr|A0A0C4DFN8|A0A0C4DFN8",19,19,45.8,491
HNRNPA2B1,0.0794967467,0.430402632484359,0,P22626;A0A087WUI2,P22626;A0A087WUI2,27;16,27;16,27;16,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,sp|P22626|ROA2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2;tr|A0A087WUI2|A0A087WUI2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=1,27,27,66.3,353
UQCRC2,0.0654938014,0.576300507324225,0,P22695;H3BRG4;H3BSJ9;H3BP04;A0A087WVZ4;H3BUE4;H3BUI9,P22695;H3BRG4;H3BSJ9;H3BP04,13;12;11;7;2;2;2,13;12;11;7;2;2;2,13;12;11;7;2;2;2,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,"sp|P22695|QCR2_HUMAN Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3;tr|H3BRG4|H3BRG4_HUMAN Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=1;tr|H3BSJ9|H3BSJ9_HUMAN Cyt",13,13,32,453
SFPQ,0.2394837816,0.045197189572863,0,P23246;H0Y9K7;H0Y9U2,P23246,23;3;2,21;3;2,21;3;2,"Splicing factor, proline- and glutamine-rich",SFPQ,"sp|P23246|SFPQ_HUMAN Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",23,21,27.2,707
TUBG1;TUBG2,-0.1803618466,0.538588329399824,0,P23258;Q9NRH3;K7EKE5;K7EIS0,P23258;Q9NRH3,5;4;2;2,5;4;2;2,5;4;2;2,Tubulin gamma-1 chain;Tubulin gamma-2 chain,TUBG1;TUBG2,sp|P23258|TBG1_HUMAN Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2;sp|Q9NRH3|TBG2_HUMAN Tubulin gamma-2 chain OS=Homo sapiens OX=9606 GN=TUBG2 PE=2 SV=1,5,5,17.5,451
PPIB,-0.1847881736,0.0877819921062485,0,P23284,P23284,13,13,13,Peptidyl-prolyl cis-trans isomerase B,PPIB,sp|P23284|PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,13,13,56.9,216
WARS,-0.1981838397,0.0947176367078148,0,P23381;H0YJP3;G3V5W1;G3V3S7;G3V3X0;G3V423;G3V3P2;G3V227;G3V5U1;G3V456;G3V2Y7;G3V277;G3V3H8;G3V3Y5,P23381;H0YJP3,7;4;1;1;1;1;1;1;1;1;1;1;1;1,7;4;1;1;1;1;1;1;1;1;1;1;1;1,7;4;1;1;1;1;1;1;1;1;1;1;1;1,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",WARS,"sp|P23381|SYWC_HUMAN Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2;tr|H0YJP3|H0YJP3_HUMAN Tryptophan--tRNA ligase, cytoplasmic (Fragment) OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=1",7,7,22.7,471
RPS3,0.3565608775,0.0262350253996699,0,P23396;E9PL09;F2Z2S8;H0YCJ7;E9PPU1;H0YEU2;H0YF32;E9PQ96;E9PJH4;E9PK82;E9PSF4;E9PQX2;H0YES8,P23396;E9PL09;F2Z2S8;H0YCJ7;E9PPU1;H0YEU2,25;21;15;15;14;14;12;8;8;8;6;3;1,25;21;15;15;14;14;12;8;8;8;6;3;1,25;21;15;15;14;14;12;8;8;8;6;3;1,40S ribosomal protein S3,RPS3,sp|P23396|RS3_HUMAN 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2;tr|E9PL09|E9PL09_HUMAN 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=1;tr|F2Z2S8|F2Z2S8_HUMAN 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3,25,25,78.2,243
AHCY,0.118776233,0.300022122029784,0,P23526,P23526,22,22,22,Adenosylhomocysteinase,AHCY,sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,22,22,44.7,432
CFL1,-0.0229208852,0.812477403753898,0,P23528;E9PP50;E9PK25;G3V1A4;E9PQB7;E9PS23;E9PLJ3,P23528;E9PP50;E9PK25;G3V1A4;E9PQB7,18;16;15;14;10;7;5,18;16;15;14;10;7;5,10;8;7;7;3;6;3,Cofilin-1,CFL1,sp|P23528|COF1_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3;tr|E9PP50|E9PP50_HUMAN Cofilin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=8;tr|E9PK25|E9PK25_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=1;tr|G3V1A4|G3V1A4_HUMAN,18,10,86.7,166
DTYMK,-0.3396422165,0.013703171038311,0,P23919;G5E9E9;H7BZ20;H7C3A4;H7C312,P23919;G5E9E9;H7BZ20,4;3;2;1;1,4;3;2;1;1,4;3;2;1;1,Thymidylate kinase,DTYMK,"sp|P23919|KTHY_HUMAN Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4;tr|G5E9E9|G5E9E9_HUMAN Deoxythymidylate kinase (Thymidylate kinase), isoform CRA_d OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=1;tr|H7BZ20|H7BZ20_HUMAN Thymidylate kinase (Frag",4,4,15.1,212
RRM1,-0.0733997759,0.71415384998175,0,P23921;E9PL69;E9PP77;H0YCY7,P23921;E9PL69,6;5;1;1,6;5;1;1,6;5;1;1,Ribonucleoside-diphosphate reductase large subunit,RRM1,sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1;tr|E9PL69|E9PL69_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1,6,6,15.3,792
EEF1B2,0.1550376657,0.422725481790076,0,P24534,P24534,5,5,5,Elongation factor 1-beta,EEF1B2,sp|P24534|EF1B_HUMAN Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,5,5,20.9,225
ATP5F1,0.3901826755,0.0100383559951593,0,P24539;Q5QNZ2,P24539;Q5QNZ2,3;2,3;2,3;2,"ATP synthase F(0) complex subunit B1, mitochondrial",ATP5F1,"sp|P24539|AT5F1_HUMAN ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2;tr|Q5QNZ2|Q5QNZ2_HUMAN ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=1",3,3,14.5,256
MCM3,-0.2093605104,0.196429439061714,0,P25205;J3KQ69;A0A499FHX9;Q7Z6P5,P25205;J3KQ69;A0A499FHX9,19;13;13;3,19;13;13;3,19;13;13;3,DNA replication licensing factor MCM3,MCM3,sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|J3KQ69|J3KQ69_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|A0A499FHX9|A0A499FHX9_HUMAN DNA replication licen,19,19,26.6,808
RPS12,0.2637251327,0.09851911713007,0,P25398,P25398,13,13,13,40S ribosomal protein S12,RPS12,sp|P25398|RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,13,13,84.1,132
DNAJB1,0.1085989947,0.368935080535855,0,P25685;M0R080;M0QYT3;M0QXK0,P25685;M0R080,6;4;1;1,6;4;1;1,6;4;1;1,DnaJ homolog subfamily B member 1,DNAJB1,sp|P25685|DNJB1_HUMAN DnaJ homolog subfamily B member 1 OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=4;tr|M0R080|M0R080_HUMAN DnaJ homolog subfamily B member 1 (Fragment) OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=1,6,6,25.6,340
ATP5A1,0.0216508246,0.824087096054186,0,P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4;K7ESA0,P25705;K7EK77,46;26;20;18;15;8;2,46;26;20;18;15;8;2,46;26;20;18;15;8;2,"ATP synthase subunit alpha, mitochondrial",ATP5A1,"sp|P25705|ATPA_HUMAN ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1;tr|K7EK77|K7EK77_HUMAN ATP synthase subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",46,46,66.7,553
PSMA1,0.0743129845,0.443079848417101,0,P25786;F5GX11;B4DEV8,P25786;F5GX11;B4DEV8,15;11;8,15;11;8,15;11;8,Proteasome subunit alpha type-1;Proteasome subunit alpha type,PSMA1,sp|P25786|PSA1_HUMAN Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;tr|F5GX11|F5GX11_HUMAN Proteasome endopeptidase complex OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;tr|B4DEV8|B4DEV8_HUMAN Proteasome subunit alpha type OS=Homo ,15,15,66.2,263
PSMA3,-0.0295700308,0.760841646369281,0,P25788;G3V4X5;G3V3W4;G3V5N4;H0YJ03,P25788,11;5;2;2;1,11;5;2;2;1,11;5;2;2;1,Proteasome subunit alpha type-3,PSMA3,sp|P25788|PSA3_HUMAN Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,11,11,48.6,255
ITGA3,-0.0564038582,0.654162764609334,0,P26006;D6R9X8,P26006,7;3,7;3,7;3,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,ITGA3,sp|P26006|ITA3_HUMAN Integrin alpha-3 OS=Homo sapiens OX=9606 GN=ITGA3 PE=1 SV=5,7,7,8.1,1051
MSN,0.2116985815,0.0609968944618379,0,P26038;V9GZ54,P26038,38;9,30;7,28;7,Moesin,MSN,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,38,28,61.7,577
DDX6,0.0235693682,0.818693260097956,0,P26196;Q8IV96,P26196,3;1,3;1,3;1,Probable ATP-dependent RNA helicase DDX6,DDX6,sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,3,3,7.9,483
U2AF2,0.2805924147,0.143038166800639,0,P26368;K7ENG2,P26368;K7ENG2,4;3,4;3,4;3,Splicing factor U2AF 65 kDa subunit,U2AF2,sp|P26368|U2AF2_HUMAN Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4;tr|K7ENG2|K7ENG2_HUMAN U2 snRNP auxiliary factor large subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=1,4,4,12.8,475
RPL13,0.3291314202,0.0186147220085945,0,P26373;J3QSB4;H3BTH3;H3BUK8;J3KS98,P26373;J3QSB4,17;12;5;2;2,17;12;5;2;2,17;12;5;2;2,60S ribosomal protein L13,RPL13,sp|P26373|RL13_HUMAN 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4;tr|J3QSB4|J3QSB4_HUMAN 60S ribosomal protein L13 (Fragment) OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=1,17,17,60.7,211
HMGB2,-0.2161529236,0.207980167033389,0,P26583;D6R9A6,P26583;D6R9A6,8;7,5;4,5;4,High mobility group protein B2,HMGB2,sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2;tr|D6R9A6|D6R9A6_HUMAN High mobility group protein B2 (Fragment) OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=1,8,5,40.2,209
PTBP1,0.0749316117,0.463626028672137,0,P26599;A0A0U1RRM4;A6NLN1;A0A0D9SF20;K7EKJ7;K7ES59;A0A087WU68;K7EK45;O95758;A0A087WUW5;K7ELW5;X6R242,P26599;A0A0U1RRM4;A6NLN1;A0A0D9SF20,19;18;17;10;6;5;3;3;2;2;2;1,19;18;17;10;6;5;3;3;2;2;2;1,19;18;17;10;6;5;3;3;2;2;2;1,Polypyrimidine tract-binding protein 1,PTBP1,sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;tr|A0A0U1RRM4|A0A0U1RRM4_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;tr|A6NLN1|A6NLN1_HUMAN Polypyrimidine t,19,19,53.3,531
TARS,0.1969408484,0.0977664763053259,0,P26639;A2RTX5;D6R9F8;Q9BW92;D6RJ97;D6RHV7;D6RCS6;D6RCA5;D6RDJ6;F6S7Q7;U3KQG0;B7ZLP8,P26639,23;2;2;1;1;1;1;1;1;1;1;1,23;2;2;1;1;1;1;1;1;1;1;1,23;2;2;1;1;1;1;1;1;1;1;1,"Threonine--tRNA ligase, cytoplasmic",TARS,"sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",23,23,42.5,723
VARS,0.0856656135,0.366496028016665,0,P26640;A0A140T936;A0A140T954;A2ABF4;A0A0G2JJT9;A0A140T904,P26640;A0A140T936,20;17;6;5;5;2,20;17;6;5;5;2,20;17;6;5;5;2,Valine--tRNA ligase,VARS,sp|P26640|SYVC_HUMAN Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4;tr|A0A140T936|A0A140T936_HUMAN Valine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=1,20,20,23.1,1264
EEF1G,0.5906191813,0.00195658393984538,0,P26641,P26641,25,25,25,Elongation factor 1-gamma,EEF1G,sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,25,25,49.4,437
AK4,-0.2000944357,0.385329816956292,0,P27144;F8VS11,P27144;F8VS11,4;3,4;3,4;3,"Adenylate kinase 4, mitochondrial",AK4,"sp|P27144|KAD4_HUMAN Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1;tr|F8VS11|F8VS11_HUMAN Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1",4,4,22,223
YWHAQ,-0.0216939632,0.804911590425505,0,P27348;E9PG15,P27348;E9PG15,16;13,12;11,12;11,14-3-3 protein theta,YWHAQ,sp|P27348|1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1;tr|E9PG15|E9PG15_HUMAN 14-3-3 protein theta (Fragment) OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,16,12,55.9,245
