Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity POC1B-N1,Intensity POC1B-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q14978;A0A0A0MRM9;S4R349;S4R402;S4R341,Q14978;A0A0A0MRM9;S4R349;S4R402;S4R341,4;4;3;2;2,4;4;3;2;2,4;4;3;2;2,Nucleolar and coiled-body phosphoprotein 1,NOLC1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1;tr|S4R349|S4R349_HUM,4,4,7.9,4.12024628707503,4.14613732404923,27.5795305919288,27.4598273120826
Q15233;H7C367;C9JYS8;C9IZL7;C9J4X2,Q15233;H7C367;C9JYS8,18;9;9;6;3,18;9;9;6;3,17;8;9;5;3,Non-POU domain-containing octamer-binding protein,NONO,sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4;tr|H7C367|H7C367_HUMAN Non-POU domain-containing octamer-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=8;tr|C9JYS8|C9JYS8_,18,17,49.3,19.6216906141682,26.0365760940851,31.3385175881154,31.0987357898503
P46087;F5GWB7;F5H709;F5H5X6;F5GYR3;F5H359;F5H8G6,P46087,13;3;3;3;3;1;1,13;3;3;3;3;1;1,13;3;3;3;3;1;1,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,13,13,18.8,21.5622782364142,21.1876734461334,27.8251128044863,27.7156144395557
O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,9;8;6;6;2,9;8;6;6;2,9;8;6;6;2,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,9,9,21.2,4.12024628707503,4.14613732404923,26.8407416256092,25.5657842715497
Q9Y2X3;H7BZ72,Q9Y2X3;H7BZ72,4;2,4;2,4;2,Nucleolar protein 58,NOP58,sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1;tr|H7BZ72|H7BZ72_HUMAN Nucleolar protein 58 (Fragment) OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,4,4,11.0,4.12024628707503,4.14613732404923,25.2697076973675,22.7256308670811
Q9Y314;M0R3B2;A0A075B6F9;M0QX85;M0R1K2;A0A075B797,Q9Y314;M0R3B2;A0A075B6F9;M0QX85;M0R1K2;A0A075B797,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Nitric oxide synthase-interacting protein,NOSIP,sp|Q9Y314|NOSIP_HUMAN Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1;tr|M0R3B2|M0R3B2_HUMAN Nitric oxide synthase-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=8;tr|A0A075B6F9|A0A075B6F9_HUMAN,2,2,9.6,4.12024628707503,4.14613732404923,23.9816348676305,24.7946149682362
Q14207;H0YET3,Q14207,3;1,3;1,3;1,Protein NPAT,NPAT,sp|Q14207|NPAT_HUMAN Protein NPAT OS=Homo sapiens OX=9606 GN=NPAT PE=1 SV=3,3,3,2.5,4.12024628707503,4.14613732404923,24.6709353705788,23.8872533451935
O15118;K7EQ23,O15118;K7EQ23,2;1,2;1,2;1,Niemann-Pick C1 protein,NPC1,sp|O15118|NPC1_HUMAN NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2;tr|K7EQ23|K7EQ23_HUMAN NPC intracellular cholesterol transporter 1 (Fragment) OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=1,2,2,1.9,4.12024628707503,4.14613732404923,24.0935368469381,22.4460948538032
P55786;E9PLK3;H0YDG0,P55786;E9PLK3;H0YDG0,2;2;1,2;2;1,2;2;1,Puromycin-sensitive aminopeptidase,NPEPPS,sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;tr|E9PLK3|E9PLK3_HUMAN Aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1;tr|H0YDG0|H0YDG0_HUMAN Puromycin-sensitive aminopeptidase (Fragment) OS=Hom,2,2,2.7,4.12024628707503,4.14613732404923,24.418411633764,24.349342955903
Q8TAT6;I3L283;I3L3I1,Q8TAT6,6;1;1,6;1;1,6;1;1,Nuclear protein localization protein 4 homolog,NPLOC4,sp|Q8TAT6|NPL4_HUMAN Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3,6,6,11.3,4.12024628707503,4.14613732404923,26.3678636891635,25.9451648193518
P06748;E5RI98,P06748,10;3,10;3,9;3,Nucleophosmin,NPM1,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,10,9,44.6,22.7974478032226,22.5532263679849,32.0959098687848,32.0105532566502
P13056;A0A087WUK4,P13056;A0A087WUK4,3;3,3;3,3;3,Nuclear receptor subfamily 2 group C member 1,NR2C1,sp|P13056|NR2C1_HUMAN Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens OX=9606 GN=NR2C1 PE=1 SV=2;tr|A0A087WUK4|A0A087WUK4_HUMAN Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens OX=9606 GN=NR2C1 PE=1 SV=1,3,3,8.1,4.12024628707503,4.14613732404923,24.9628314183747,23.5078488269455
P49116;C9JKS0;C9J2Y1;C9JMI6;H7C3R1;H7C3L1,P49116;C9JKS0,4;3;1;1;1;1,4;3;1;1;1;1,4;3;1;1;1;1,Nuclear receptor subfamily 2 group C member 2,NR2C2,sp|P49116|NR2C2_HUMAN Nuclear receptor subfamily 2 group C member 2 OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1;tr|C9JKS0|C9JKS0_HUMAN Nuclear receptor subfamily 2 group C member 2 (Fragment) OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1,4,4,10.2,4.12024628707503,4.14613732404923,26.2057929511579,26.2745143709612
P04150;A0A494C0P1;D6RDA9;Q3MSN4,P04150;A0A494C0P1,11;10;5;5,11;10;5;5,11;10;5;5,Glucocorticoid receptor,NR3C1,sp|P04150|GCR_HUMAN Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1;tr|A0A494C0P1|A0A494C0P1_HUMAN Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1,11,11,18.1,4.12024628707503,4.14613732404923,27.0580665594075,27.2591661215015
Q96F24,Q96F24,6,6,6,Nuclear receptor-binding factor 2,NRBF2,sp|Q96F24|NRBF2_HUMAN Nuclear receptor-binding factor 2 OS=Homo sapiens OX=9606 GN=NRBF2 PE=1 SV=1,6,6,32.4,4.12024628707503,4.14613732404923,27.189144987279,26.9123936213384
Q9UHY1;F8W6G1;C9JHZ6,Q9UHY1;F8W6G1;C9JHZ6,2;2;1,2;2;1,2;2;1,Nuclear receptor-binding protein,NRBP1,sp|Q9UHY1|NRBP_HUMAN Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1;tr|F8W6G1|F8W6G1_HUMAN Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1;tr|C9JHZ6|C9JHZ6_HUMAN Nuclear receptor-binding protein (Fra,2,2,5.8,4.12024628707503,4.14613732404923,25.279694737471,24.9250165016557
P46459;I3L0N3;I3L2G1;I3L0L3;K7EQD6;I3L338;I3L4Q9,P46459;I3L0N3,13;13;2;2;2;1;1,13;13;2;2;2;1;1,13;13;2;2;2;1;1,Vesicle-fusing ATPase,NSF,sp|P46459|NSF_HUMAN Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3;tr|I3L0N3|I3L0N3_HUMAN Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=1,13,13,21.6,4.12024628707503,4.14613732404923,27.3666970668755,27.4906779381188
Q9UNZ2;F2Z2K0;R4GNE6;G3V4V8;R4GMY2,Q9UNZ2;F2Z2K0,15;12;3;2;2,15;12;3;2;2,15;12;3;2;2,NSFL1 cofactor p47,NSFL1C,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,15,15,55.4,24.810490049074,24.2350570965076,28.8039356418187,28.579746365049
Q9H0G5;A0A024QZ33;K7ERM9;K7EMD8;J3KT62;K7EK40;J3QLV5;J3QRI6,Q9H0G5;A0A024QZ33;K7ERM9,5;4;3;2;1;1;1;1,5;4;3;2;1;1;1;1,5;4;3;2;1;1;1;1,Nuclear speckle splicing regulatory protein 1,NSRP1;CCDC55,"sp|Q9H0G5|NSRP1_HUMAN Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens OX=9606 GN=NSRP1 PE=1 SV=1;tr|A0A024QZ33|A0A024QZ33_HUMAN Coiled-coil domain containing 55, isoform CRA_a OS=Homo sapiens OX=9606 GN=NSRP1 PE=1 SV=1;tr|K7ERM9|K7ERM9_HUMAN",5,5,12.0,4.12024628707503,4.14613732404923,26.0931942860815,23.5533274260339
Q08J23;A0A140T9Y7,Q08J23,6;1,6;1,6;1,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,sp|Q08J23|NSUN2_HUMAN RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,6,6,10.8,4.12024628707503,4.14613732404923,26.3150827936444,25.0827373635108
Q9H1E3,Q9H1E3,4,4,4,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,NUCKS1,sp|Q9H1E3|NUCKS_HUMAN Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,4,4,22.6,4.12024628707503,4.14613732404923,27.0572403327168,24.9394368126575
Q9Y266;A0A0A0MSU9;A0A0A0MSS4,Q9Y266,28;11;8,28;11;8,28;11;8,Nuclear migration protein nudC,NUDC,sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,28,28,56.8,34.8883077143833,34.914473042018,30.5148394203996,30.2737543805799
Q96RS6;E5RGX7,Q96RS6,5;1,5;1,5;1,NudC domain-containing protein 1,NUDCD1,sp|Q96RS6|NUDC1_HUMAN NudC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NUDCD1 PE=1 SV=2,5,5,12.2,4.12024628707503,4.14613732404923,25.8557872490727,25.4864029652184
Q8WVJ2;E5RFP0,Q8WVJ2;E5RFP0,3;2,3;2,3;2,NudC domain-containing protein 2,NUDCD2,sp|Q8WVJ2|NUDC2_HUMAN NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1;tr|E5RFP0|E5RFP0_HUMAN NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1,3,3,23.6,24.0163131901926,22.887476482622,4.49387385714151,4.39812296881927
Q8IVD9,Q8IVD9,11,11,11,NudC domain-containing protein 3,NUDCD3,sp|Q8IVD9|NUDC3_HUMAN NudC domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NUDCD3 PE=1 SV=3,11,11,39.9,29.4934483658881,29.1424346942274,27.0728582935316,27.1019944195967
P50583,P50583,4,4,4,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical],NUDT2,sp|P50583|AP4A_HUMAN Bis(5-nucleosyl)-tetraphosphatase [asymmetrical] OS=Homo sapiens OX=9606 GN=NUDT2 PE=1 SV=3,4,4,27.2,4.12024628707503,4.14613732404923,26.2597408217034,26.2307582676581
O43809;H3BND3;H3BV41,O43809;H3BND3;H3BV41,7;5;4,7;5;4,7;5;4,Cleavage and polyadenylation specificity factor subunit 5,NUDT21,sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1;tr|H3BND3|H3BND3_HUMAN Cleavage and polyadenylation-specificity factor subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 S,7,7,38.3,4.12024628707503,4.14613732404923,27.9378104823387,27.2641870029777
A0A024RBG1;Q9NZJ9,A0A024RBG1;Q9NZJ9,2;1,2;1,2;1,Diphosphoinositol polyphosphate phosphohydrolase 2,NUDT4,sp|A0A024RBG1|NUD4B_HUMAN Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens OX=9606 GN=NUDT4B PE=3 SV=1;sp|Q9NZJ9|NUDT4_HUMAN Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Homo sapiens OX=9606 GN=NUDT4 PE=1 SV=2,2,2,11.6,27.734666418829,27.6414105885975,25.5005734961424,25.5256990589173
Q9UKK9;A6NFX8;A6NJU6;A6NCQ0;H0YEY4;C9JYY9,Q9UKK9;A6NFX8;A6NJU6;A6NCQ0,9;9;7;5;3;2,9;9;7;5;3;2,9;9;7;5;3;2,ADP-sugar pyrophosphatase,NUDT5,sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NJU6|A6NJU6_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606,9,9,39.7,24.0420988589467,23.5315152100585,29.3524551442997,29.2134058900053
Q7Z417,Q7Z417,15,15,15,Nuclear fragile X mental retardation-interacting protein 2,NUFIP2,sp|Q7Z417|NUFP2_HUMAN Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1,15,15,33.1,4.12024628707503,4.14613732404923,29.2724868395963,28.8662619765581
Q14980;A0A087WY61;H0YFY6;F5H4J1;F5H6Y5;K4DIE0;F5H3L6;F5H763;F5H0Z7;F5H2F3;F5GZW1;F5H1L0;F5H4Y4;F8W6T3;F5H068;F5H073;F5GWK2;F5GWA2;F5H7R5,Q14980;A0A087WY61;H0YFY6,24;24;12;9;7;6;4;4;4;4;4;2;1;1;1;1;1;1;1,24;24;12;9;7;6;4;4;4;4;4;2;1;1;1;1;1;1;1,24;24;12;9;7;6;4;4;4;4;4;2;1;1;1;1;1;1;1,Nuclear mitotic apparatus protein 1,NUMA1,sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2;tr|A0A087WY61|A0A087WY61_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1;tr|H0YFY6|H0YFY6_HUMAN Nuclear mitotic appara,24,24,14.6,4.12024628707503,4.14613732404923,27.9735014511663,27.8128661062353
P49757;G3V3Z8;G3V3R1;G3V3M5;G3V4S6;G3V433,P49757;G3V3Z8;G3V3R1,21;14;11;8;4;4,21;14;11;8;4;4,17;12;8;5;4;4,Protein numb homolog,NUMB,sp|P49757|NUMB_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2;tr|G3V3Z8|G3V3Z8_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=1;tr|G3V3R1|G3V3R1_HUMAN Protein numb homolog (Fragment) OS=Homo sapiens OX=9606 GN=NUMB,21,17,43.5,22.7349196143297,23.2276882070217,29.8801548169315,29.7192915966693
Q9Y6R0;A0A0C4DGH3;M0QXQ4;M0QYC2;M0R0Q4;M0QZV7,Q9Y6R0;A0A0C4DGH3;M0QXQ4;M0QYC2,14;14;9;9;5;5,10;10;6;6;4;4,10;10;6;6;4;4,Numb-like protein,NUMBL,sp|Q9Y6R0|NUMBL_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;tr|M0QXQ4|M0QXQ4_HUMAN Numb-like protein (Fragment) OS=Homo sapiens OX=9606 GN=NU,14,10,27.3,19.6349528174829,19.8654125648573,27.9598614437207,27.3141493684338
P57740,P57740,2,2,2,Nuclear pore complex protein Nup107,NUP107,sp|P57740|NU107_HUMAN Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,2,2,3.1,4.12024628707503,4.14613732404923,23.7089356787746,23.548043898107
Q8WUM0,Q8WUM0,16,16,16,Nuclear pore complex protein Nup133,NUP133,sp|Q8WUM0|NU133_HUMAN Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,16,16,16.9,4.12024628707503,4.14613732404923,27.5788830788713,27.1762653871287
P49790,P49790,30,30,30,Nuclear pore complex protein Nup153,NUP153,sp|P49790|NU153_HUMAN Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,30,30,28.3,4.12024628707503,4.14613732404923,30.319908809946,30.2932930718316
Q12769;E9PR16;G3V198;E9PSI3,Q12769;E9PR16;G3V198,3;3;3;1,3;3;3;1,3;3;3;1,Nuclear pore complex protein Nup160,NUP160,sp|Q12769|NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3;tr|E9PR16|E9PR16_HUMAN Nuclear pore complex protein Nup160 (Fragment) OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=2;tr|G3V198|G3V198_HUMAN Nuclear pore comp,3,3,3.0,4.12024628707503,4.14613732404923,24.2009758101782,23.8351853444402
P35658;A0A494C1F2;A0A0A0MSW3;A0A494BZU9;H0YF36;H0Y837;B7ZAV2;A0A494C0J0;A0A494C104;E9PKD2;H0YDS4;A0A494C0Y1,P35658;A0A494C1F2;A0A0A0MSW3;A0A494BZU9,40;40;27;20;6;6;4;3;3;3;1;1,40;40;27;20;6;6;4;3;3;3;1;1,40;40;27;20;6;6;4;3;3;3;1;1,Nuclear pore complex protein Nup214,NUP214,sp|P35658|NU214_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2;tr|A0A494C1F2|A0A494C1F2_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=1;tr|A0A0A0MSW3|A0A0A0MSW3_HUMAN Nuclear pore,40,40,27.2,24.6492724067627,24.1978303982326,30.6329616770317,30.294498651379
Q8NFH4;F8VTY2,Q8NFH4;F8VTY2,6;3,6;3,6;3,Nucleoporin Nup37,NUP37,sp|Q8NFH4|NUP37_HUMAN Nucleoporin Nup37 OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=1;tr|F8VTY2|F8VTY2_HUMAN Nucleoporin Nup37 (Fragment) OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=8,6,6,24.5,4.12024628707503,4.14613732404923,26.4989771150677,26.5159598902048
Q9UKX7;B0QY21,Q9UKX7,10;1,10;1,10;1,Nuclear pore complex protein Nup50,NUP50,sp|Q9UKX7|NUP50_HUMAN Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2,10,10,35.3,4.12024628707503,4.14613732404923,27.6649907041647,28.4577547830377
P37198;M0QXN5;M0QX10;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302,P37198;M0QXN5,8;7;1;1;1;1;1;1;1,8;7;1;1;1;1;1;1;1,8;7;1;1;1;1;1;1;1,Nuclear pore glycoprotein p62,NUP62,sp|P37198|NUP62_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=3;tr|M0QXN5|M0QXN5_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=1,8,8,17.4,4.12024628707503,4.14613732404923,26.604135345053,26.7615449427795
Q99567;I3L4K7;J3KMX1,Q99567;I3L4K7;J3KMX1,2;1;1,2;1;1,2;1;1,Nuclear pore complex protein Nup88,NUP88,sp|Q99567|NUP88_HUMAN Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2;tr|I3L4K7|I3L4K7_HUMAN Nuclear pore complex protein Nup88 (Fragment) OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=1;tr|J3KMX1|J3KMX1_HUMAN Nuclear pore complex,2,2,2.6,4.12024628707503,4.14613732404923,23.8301639108483,23.2596869532836
P52948;H7C3P6;A0A3B3ITD8;H0YDF4;H0YCT1;H0YEN4,P52948;H7C3P6;A0A3B3ITD8,25;18;13;6;2;2,25;18;13;6;2;2,25;18;13;6;2;2,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|H7C3P6|H7C3P6_HUMAN Nuclear pore complex protein Nup98-Nup96 (Fragment) OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN N,25,25,18.7,4.12024628707503,4.14613732404923,29.1956827137809,28.9158446030261
Q9Y6K5;F8VWK9;F8VS35,Q9Y6K5;F8VWK9;F8VS35,2;2;2,2;2;2,2;2;2,2-5-oligoadenylate synthase 3,OAS3,sp|Q9Y6K5|OAS3_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=3;tr|F8VWK9|F8VWK9_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=1;tr|F8VS35|F8VS35_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo s,2,2,2.1,4.12024628707503,4.14613732404923,22.974493014498,22.36626350964
Q5VST9;A6NGQ3;A0A590UJ65,Q5VST9;A6NGQ3;A0A590UJ65,2;2;1,2;2;1,2;2;1,Obscurin,OBSCN,sp|Q5VST9|OBSCN_HUMAN Obscurin OS=Homo sapiens OX=9606 GN=OBSCN PE=1 SV=3;tr|A6NGQ3|A6NGQ3_HUMAN Obscurin OS=Homo sapiens OX=9606 GN=OBSCN PE=1 SV=5;tr|A0A590UJ65|A0A590UJ65_HUMAN Obscurin (Fragment) OS=Homo sapiens OX=9606 GN=OBSCN PE=1 SV=1,2,2,0.6,24.6780425817727,28.330739663144,25.3254622027551,24.8472328719987
Q9NX40;D6RG39;D6RIT9;D6RDK6;D6RBN5;D6R918;D6RBC5;D6RDI5;D6RI08;D6RA54;D6RC55;D6RDK1;D6RIV2;D6R9T5;D6RF07,Q9NX40;D6RG39;D6RIT9;D6RDK6;D6RBN5,6;4;4;4;4;2;2;2;2;2;2;2;2;2;1,6;4;4;4;4;2;2;2;2;2;2;2;2;2;1,6;4;4;4;4;2;2;2;2;2;2;2;2;2;1,OCIA domain-containing protein 1,OCIAD1,sp|Q9NX40|OCAD1_HUMAN OCIA domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RG39|D6RG39_HUMAN OCIA domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RIT9|D6RIT9_HUMAN OCIA domain-containing,6,6,24.9,4.12024628707503,4.14613732404923,26.1967804017955,26.2517282794295
Q9NZT2;A0A087X028;A0A0A0MRN5,Q9NZT2;A0A087X028;A0A0A0MRN5,2;2;2,2;2;2,2;2;2,Opioid growth factor receptor,OGFR,sp|Q9NZT2|OGFR_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3;tr|A0A087X028|A0A087X028_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=1;tr|A0A0A0MRN5|A0A0A0MRN5_HUMAN Opioid growth factor receptor,2,2,3.7,4.12024628707503,4.14613732404923,25.0604393287893,24.8209934371124
O15294;C9JZL3,O15294,3;1,3;1,3;1,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,sp|O15294|OGT1_HUMAN UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,3,3,7.1,4.12024628707503,4.14613732404923,29.6284318005809,22.691917276484
Q9NTK5;J3KQ32;C9JTK6,Q9NTK5;J3KQ32;C9JTK6,3;3;2,3;3;2,3;3;2,Obg-like ATPase 1,OLA1,sp|Q9NTK5|OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=2;tr|J3KQ32|J3KQ32_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=1;tr|C9JTK6|C9JTK6_HUMAN Obg-like ATPase 1 (Fragment) OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=,3,3,10.1,4.12024628707503,4.14613732404923,24.8619747585477,24.2634784376445
Q96CV9;A0A087WY28;A0A087X2G2;X6RKL2,Q96CV9,8;2;1;1,8;2;1;1,8;2;1;1,Optineurin,OPTN,sp|Q96CV9|OPTN_HUMAN Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3,8,8,16.8,4.12024628707503,4.14613732404923,26.7623055904461,26.387421804735
Q8NG97,Q8NG97,2,2,2,Olfactory receptor 2Z1,OR2Z1,sp|Q8NG97|OR2Z1_HUMAN Olfactory receptor 2Z1 OS=Homo sapiens OX=9606 GN=OR2Z1 PE=2 SV=1,2,2,7.6,4.12024628707503,4.14613732404923,28.1169395985596,27.8139042432364
Q13416;B8ZZ80;C9JK08,Q13416,16;3;2,16;3;2,16;3;2,Origin recognition complex subunit 2,ORC2,sp|Q13416|ORC2_HUMAN Origin recognition complex subunit 2 OS=Homo sapiens OX=9606 GN=ORC2 PE=1 SV=2,16,16,44.2,4.12024628707503,4.14613732404923,29.1219118122796,29.2246033200505
Q9BXB4;Q9BXB5;A0A5F9ZH75;H7C487,Q9BXB4,5;1;1;1,5;1;1;1,5;1;1;1,Oxysterol-binding protein-related protein 11,OSBPL11,sp|Q9BXB4|OSB11_HUMAN Oxysterol-binding protein-related protein 11 OS=Homo sapiens OX=9606 GN=OSBPL11 PE=1 SV=2,5,5,7.8,4.12024628707503,4.14613732404923,26.1256950301855,26.1068536328137
