Gene_names,GRWD1_vs_BirA_logFC,GRWD1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GRWD1_N1,Peptides_GRWD1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GRWD1_N1,Razor___unique_peptides_GRWD1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GRWD1_N1,Unique_peptides_GRWD1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GRWD1_N1,Identification_type_GRWD1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GRWD1_N1,Ratio_H_L_GRWD1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GRWD1_N1,Ratio_H_L_normalized_GRWD1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GRWD1_N1,Ratio_H_L_variability_____GRWD1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GRWD1_N1,Ratio_H_L_count_GRWD1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GRWD1_N1,Ratio_H_L_iso_count_GRWD1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GRWD1_N1,Ratio_H_L_type_GRWD1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GRWD1_N1____,Sequence_coverage_GRWD1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GRWD1_N1,Intensity_L_GRWD1_N1,Intensity_H_GRWD1_N1,Intensity_GRWD1_N2,Intensity_L_GRWD1_N2,Intensity_H_GRWD1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GRWD1_N1,metacell_Intensity_L_GRWD1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HNRNPDL,0.378403657939053,0.293244824450013,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,40.4,40.4,40.4,6.7215,57,57,0.016245,1.0416,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3927,0.87759,15.915,7,0,Leave out requantified,0.33858,0.32527,0.40824,0.4309,1.0106,0.70866,0.80281,0.87387,,46.15,13.286,5.3496,1,2,2,2,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,40.4,202490000,139220000,63265000,27175000,19945000,7229600,44137000,31308000,12829000,76722000,51272000,25451000,54452000,36696000,17756000,,,,22,10677;10678,True;True,12699;12700,33811;33812;33813;33814;33815;33816;33817,68650;68651;68652;68653;68654;68655;68656;68657;68658;68659;68660,68651;68658,,,,,-1,protein_23,quanti,quanti,quanti,quanti
MINOS1;MINOS1-NBL1,-19.5211101629059,2.05436057349927e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.0005787,2.3421,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,23,11267;13055,True;True,13369;15435,35484;40783;40784,71998;82650;82651,71998;82651,,,,,-1;-1;-1;-1;-1,protein_24,imputed MEC,imputed MEC,quanti,quanti
MRPL45,-0.299501603201822,0.42772306368583,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,3;3;3;3,3;3;3;3,3;3;3;3,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",4,3,3,3,1,2,2,1,1,2,2,1,1,2,2,1,15.0,15.0,15.0,35.351,306,306;256;256;306,0.0,3.5155,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30618,0.69669,58.969,6,0,Leave out requantified,0.15657,0.426,0.29103,0.40152,0.45017,1.07,0.56008,0.83721,,50.732,20.913,,1,2,2,1,0,0,0,0,Median,Median,Median,Median,4.6,11.1,8.5,4.6,189370000,131800000,57574000,25014000,20747000,4267700,67262000,42186000,25076000,66962000,46899000,20064000,30135000,21970000,8165800,,,,26,3920;7394;9587,True;True;True,4572;8792;11446,12062;23324;23325;23326;23327;30534,24523;47788;47789;47790;47791;47792;47793;47794;47795;62240;62241,24523;47788;62240,,,,,-1;-1;-1;-1,protein_27,quanti,quanti,quanti,quanti
POLA1,0.664095380204575,0.103928184131213,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,2;2;2,2;2;2,2;2;2,DNA polymerase alpha catalytic subunit;DNA polymerase,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1.8,1.8,1.8,165.91,1462,1462;1461;1468,0.032666,0.68833,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3699,0.88474,12.842,7,0,Leave out requantified,0.24376,0.25143,0.43119,0.45075,0.92422,0.7697,0.95163,1.0156,,,13.254,13.207,1,1,2,3,0,0,0,0,Median,Median,Median,Plateau,0.5,0.5,1.8,1.8,2093600000,1510600000,582990000,236640000,192930000,43704000,371590000,295460000,76132000,863960000,588630000,275320000,621410000,433580000,187830000,,,,27,1797;12049,True;True,2093;14261,5740;5741;5742;37782;37783;37784;37785,11924;76690;76691;76692;76693;76694;76695;76696;76697;76698;76699;76700,11924;76691,,,,,-1;-1;-1,protein_28,quanti,quanti,quanti,quanti
CTNNBL1,-2.32665332628674,0.000774553614092585,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,4;4;1,4;4;1,4;4;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,4,4,4,2,3,2,1,2,3,2,1,2,3,2,1,10.3,10.3,10.3,65.173,563,563;568;166,0.00061805,2.9172,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55946,1.097,27.009,7,1,Leave out requantified,0.45748,0.57255,0.58285,0.61258,1.2541,1.2588,1.0516,1.1222,40.276,40.064,5.9847,,2,2,2,1,0,1,0,0,Median,Median,Median,Median,6.0,8.0,3.7,1.4,153420000,96067000,57355000,48875000,30647000,18228000,66051000,43718000,22333000,26626000,15626000,11000000,11869000,6075800,5793300,,,,28,9432;10661;14657;17618,True;True;True;True,11276;12683;17268;20780,30139;30140;33776;45735;45736;45737;45738;55108,61559;68594;92968;92969;92970;92971;112649,61559;68594;92968;112649,,,,,-1;-1;-1,protein_29,quanti,quanti,quanti,quanti
HNRNPDL,0.688655596613852,0.0691110943591573,O14979;A0A087WUK2,O14979;A0A087WUK2,11;11,9;9,9;9,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,11,9,9,5,5,11,9,3,3,9,7,3,3,9,7,24.3,21.9,21.9,46.437,420,420;363,0.0,32.416,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36384,0.76338,10.696,27,6,Leave out requantified,0.26747,0.30965,0.35939,0.37384,0.99733,0.94758,0.77195,0.7935,24.301,30.473,11.291,9.274,4,3,11,9,1,2,2,1,Median,Median,Leave out requantified,Leave out requantified,12.1,12.1,24.3,23.3,4051300000,2939400000,1111900000,613900000,479620000,134290000,538810000,404600000,134210000,2004200000,1423700000,580460000,894380000,631400000,262980000,,,,31,2368;2682;3775;4605;4642;10752;11791;12549;13887;16200;17487,True;True;True;True;False;True;True;True;False;True;True,2775;3149;4396;5379;5426;5427;12781;13971;14867;14868;16375;19117;20621,7536;7537;8529;8530;8531;8532;8533;11603;11604;11605;11606;14135;14136;14265;14266;14267;14268;14269;14270;14271;14272;14273;34008;37040;37041;39272;39273;39274;39275;39276;39277;39278;39279;39280;43288;43289;43290;43291;43292;43293;50757;54716;54717,15567;17536;17537;17538;17539;17540;17541;23649;23650;23651;23652;23653;23654;23655;23656;23657;23658;23659;23660;23661;23662;28799;28800;28801;28802;29049;29050;29051;29052;29053;29054;29055;29056;29057;29058;29059;29060;29061;29062;29063;29064;29065;29066;29067;29068;29069;29070;29071;29072;29073;29074;29075;69071;69072;75261;75262;75263;75264;79614;79615;79616;79617;79618;79619;79620;79621;79622;79623;79624;79625;79626;79627;79628;79629;79630;79631;87717;87718;87719;87720;87721;87722;87723;87724;87725;87726;87727;103632;111852,15567;17536;23662;28800;29066;69071;75262;79615;87717;103632;111852,,,,,-1;-1,protein_32,quanti,quanti,quanti,quanti
SLIRP,0.653274836773889,0.0662328980589019,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1;H0YJ07;H0YJU7,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial","sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",9,6,6,6,4,3,5,5,4,3,5,5,4,3,5,5,67.9,67.9,67.9,12.349,109,109;92;96;98;124;76;40;56;72,0.0,31.393,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62301,1.433,15.203,17,2,Leave out requantified,0.49915,0.66547,0.72002,0.66775,1.3419,1.977,1.5158,1.4564,25.744,25.125,7.9658,10.47,4,3,5,5,0,1,0,1,Leave out requantified,Median,Leave out requantified,Leave out requantified,34.9,33.9,67.0,67.0,1445200000,845660000,599560000,198090000,131270000,66827000,203540000,123680000,79855000,734160000,420360000,313800000,309420000,170350000,139070000,,,,32,2292;5076;11325;12504;12601;13340,True;True;True;True;True;True,2679;5982;13432;14815;14930;15759,7306;7307;7308;7309;15850;15851;35616;35617;35618;35619;39113;39471;39472;41652;41653;41654;41655,15172;15173;15174;32432;32433;32434;32435;72284;72285;72286;72287;72288;72289;72290;72291;79279;80021;80022;80023;80024;80025;80026;80027;80028;80029;80030;80031;80032;84497;84498;84499;84500;84501;84502;84503;84504;84505;84506;84507;84508;84509;84510;84511;84512;84513,15173;32432;72286;79279;80026;84499,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_33,quanti,quanti,quanti,quanti
EIF5B,-1.01570230386845,0.00910225363056916,O60841;A0A087WUT6,O60841;A0A087WUT6,8;8,8;8,8;8,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,8,8,8,4,5,5,4,4,5,5,4,4,5,5,4,11.5,11.5,11.5,138.83,1220,1220;1220,0.0,11.224,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43711,0.95512,19.141,19,4,Leave out requantified,0.31215,0.31699,0.46461,0.47581,1.0431,0.86726,0.98883,1.008,17.143,16.107,31.386,16.926,5,5,5,4,2,2,0,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.6,7.5,7.0,5.5,749830000,514440000,235390000,192110000,141760000,50347000,230380000,158660000,71719000,225650000,147510000,78137000,101690000,66508000,35186000,,,,35,5104;5736;5978;6331;6955;8028;9089;9422,True;True;True;True;True;True;True;True,6016;6789;7134;7536;8297;9594;10871;11262,15931;17931;17932;18904;18905;18906;19886;19887;22044;25432;25433;29034;29035;29036;29037;30082;30083;30084;30085,32568;36485;36486;36487;38745;38746;40664;40665;40666;40667;45226;45227;51956;51957;59402;59403;59404;59405;59406;61415;61416;61417;61418;61419;61420;61421;61422,32568;36487;38746;40665;45226;51956;59402;61415,,,,,-1;-1,protein_36,quanti,quanti,quanti,quanti
SPTBN1,0.421303682606226,0.235593885732051,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,22;22;6,22;22;6,22;22;6,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",3,22,22,22,11,15,11,10,11,15,11,10,11,15,11,10,13.3,13.3,13.3,274.61,2364,2364;2366;690,0.0,36.143,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51031,1.2026,21.805,49,16,Leave out requantified,0.40976,0.55714,0.51143,0.47734,1.0158,1.2866,1.0177,1.0492,33.03,20.836,14.753,16.964,11,15,12,11,4,2,6,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,6.2,9.3,6.4,5.6,1799800000,1129900000,669840000,206010000,143330000,62680000,421280000,261770000,159510000,743520000,469060000,274460000,428980000,255780000,173200000,,,,37,1639;2411;3640;4050;5919;6817;7241;8204;9014;10205;10206;10835;10984;12852;14337;14350;14754;15046;15051;15469;15574;16554,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1914;2826;4248;4723;7053;8130;8619;9824;10772;12143;12144;12873;13047;15208;16879;16895;17379;17720;17725;18214;18338;19538,5244;5245;5246;7672;7673;7674;7675;11201;12421;12422;18684;21584;21585;22879;22880;22881;26046;28731;28732;28733;28734;32322;32323;32324;32325;32326;32327;34211;34618;34619;40182;40183;44663;44664;44704;44705;44706;44707;46016;46838;46846;46847;48219;48220;48541;48542;48543;51926;51927,10878;10879;10880;15876;15877;15878;15879;15880;15881;15882;15883;22822;25232;25233;25234;25235;25236;38294;44286;44287;44288;46870;46871;46872;53175;58722;58723;58724;58725;65650;65651;65652;65653;65654;65655;65656;65657;65658;65659;69485;70236;70237;70238;81426;81427;81428;81429;81430;90512;90513;90514;90515;90516;90605;90606;90607;90608;90609;90610;93564;95240;95253;95254;98280;98281;98282;98964;98965;98966;98967;98968;106238;106239,10879;15879;22822;25235;38294;44287;46870;53175;58724;65651;65659;69485;70237;81430;90513;90605;93564;95240;95254;98281;98967;106238,,,,,-1;-1;-1,protein_38,quanti,quanti,quanti,quanti
MTHFD1L,0.154257573723584,0.642727930909708,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM1;Q4VXM0,Q6UB35;A0A087WVM4;B7ZM99,5;5;5;1;1,4;4;4;1;1,4;4;4;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",5,5,4,4,3,2,3,2,2,1,2,1,2,1,2,1,5.9,4.9,4.9,105.79,978,978;913;979;57;92,0.00061013,2.7772,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54854,1.0739,24.913,6,5,Median,0.43292,0.50587,0.68605,0.5948,0.81201,1.0125,1.2947,1.1391,24.103,,15.738,,2,1,2,1,2,0,2,1,Median,Median,Median,Median,3.9,2.0,3.1,2.0,96830000,62060000,34770000,17913000,12877000,5036200,15610000,10571000,5039600,45791000,27800000,17991000,17516000,10813000,6703000,,,,42,1740;2451;8462;14635;16183,True;True;True;True;False,2023;2877;10142;17234;19099,5548;7826;27055;45637;45638;45639;50710;50711;50712;50713;50714;50715,11458;16249;55268;92721;92722;92723;103548;103549;103550;103551;103552;103553;103554;103555;103556;103557,11458;16249;55268;92723;103555,,,,,-1;-1;-1;-1;-1,protein_43,quanti,quanti,quanti,quanti
POLR2E,-0.79189835041349,0.0653881946463926,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1","sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",7,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,12.4,12.4,12.4,24.551,210,210;184;204;51;68;83;134,0.0,3.5609,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.84515,1.8925,18.39,5,0,Leave out requantified,0.57692,0.86112,0.93199,1.099,1.817,2.1456,1.9517,2.3801,,36.141,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,6.7,12.4,6.7,6.7,198980000,100240000,98740000,32334000,20294000,12040000,72599000,36642000,35958000,54670000,26796000,27874000,39376000,16508000,22868000,,,,45,1189;10608,True;True,1379;12626,3719;3720;3721;3722;33627,7527;7528;7529;7530;7531;7532;68332,7531;68332,,,,,-1;-1;-1;-1;-1;-1;-1,protein_46,quanti,quanti,quanti,quanti
SH3GLB1,19.8652849558318,7.6039347560704e-08,Q9Y371;A0A087WW40,Q9Y371;A0A087WW40,2;2,2;2,2;2,Endophilin-B1,sp|Q9Y371|SHLB1_HUMAN Endophilin-B1 OS=Homo sapiens OX=9606 GN=SH3GLB1 PE=1 SV=1;tr|A0A087WW40|A0A087WW40_HUMAN Endophilin-B1 OS=Homo sapiens OX=9606 GN=SH3GLB1 PE=1 SV=1,2,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,9.9,9.9,9.9,40.796,365,365;394,0.0,6.198,,,By MS/MS,By MS/MS,0.61481,1.2863,9.3294,3,0,Median,,,0.60769,0.61481,,,1.2083,1.2863,,,12.167,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,9.9,4.1,110280000,64220000,46057000,0,0,0,0,0,0,80443000,44752000,35691000,29835000,19469000,10366000,,,,46,6457;9357,True;True,7684;11183,20275;29869;29870,41521;60934;60935;60936;60937;60938,41521;60935,,,,,-1;-1,protein_47,quanti,quanti,imputed MEC,imputed MEC
TPM3,-0.553492461801834,0.120243539149827,A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,27;17;10;7,27;17;10;7,11;11;4;7,,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,4,27,27,11,16,18,24,19,16,18,24,19,8,8,11,8,71.4,71.4,19.4,26.42,227,227;95;87;49,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41326,0.98969,25.264,119,16,Leave out requantified,0.30416,0.35464,0.46616,0.43034,1.0545,1.0514,1.0637,0.95949,16.58,18.706,31.924,29.679,22,25,41,31,8,4,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,58.6,59.5,64.3,67.4,24259000000,16538000000,7720800000,4469800000,3319100000,1150700000,6977200000,4902900000,2074300000,9361600000,6111600000,3250000000,3450100000,2204300000,1245800000,,,,49,681;682;683;1191;1658;1659;2340;3309;3353;3354;5796;7020;7021;7044;7045;7766;7767;7902;7903;8373;8374;8375;9535;10705;10933;12602;14640,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,767;768;769;770;771;1384;1935;1936;2742;3859;3909;3910;6873;6874;8369;8370;8371;8395;8396;9254;9255;9256;9257;9428;9429;9430;10026;10027;10028;10029;10030;10031;11387;12731;12992;14931;17243,1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;3738;3739;3740;3741;3742;3743;3744;3745;5306;5307;5308;5309;5310;5311;5312;5313;7456;10297;10298;10395;10396;10397;10398;10399;10400;10401;10402;10403;18181;18182;18183;18184;18185;18186;18187;18188;18189;18190;18191;22210;22211;22212;22213;22214;22215;22216;22217;22218;22219;22220;22221;22274;22275;22276;22277;22278;24554;24555;24556;24557;24558;24559;24560;24561;24562;24563;24564;24565;25011;25012;25013;25014;25015;26631;26632;26633;26634;26635;26636;26637;26638;26639;26640;26641;26642;26643;26644;26645;26646;26647;26648;30397;30398;30399;33886;34485;34486;39473;39474;39475;39476;45669;45670;45671;45672;45673;45674;45675,3960;3961;3962;3963;3964;3965;3966;3967;3968;3969;3970;3971;3972;3973;3974;3975;3976;3977;3978;3979;3980;3981;3982;3983;3984;3985;3986;3987;3988;3989;3990;3991;3992;3993;3994;3995;3996;3997;3998;3999;4000;4001;4002;4003;4004;4005;7560;7561;7562;7563;7564;7565;7566;7567;7568;7569;7570;7571;7572;7573;7574;7575;7576;7577;10994;10995;10996;10997;10998;10999;11000;11001;11002;11003;11004;11005;11006;15416;21051;21052;21053;21202;21203;21204;21205;21206;21207;21208;21209;21210;21211;21212;21213;21214;21215;21216;21217;21218;21219;37038;37039;37040;37041;37042;37043;37044;37045;37046;37047;37048;37049;37050;37051;37052;37053;37054;37055;45519;45520;45521;45522;45523;45524;45525;45526;45527;45528;45529;45530;45531;45532;45533;45534;45535;45536;45537;45538;45539;45540;45541;45542;45543;45544;45545;45546;45547;45621;45622;45623;45624;45625;45626;45627;45628;45629;45630;45631;45632;45633;50366;50367;50368;50369;50370;50371;50372;50373;50374;50375;50376;50377;50378;50379;50380;50381;50382;50383;50384;50385;50386;50387;50388;50389;51221;51222;51223;51224;51225;51226;51227;51228;51229;51230;54341;54342;54343;54344;54345;54346;54347;54348;54349;54350;54351;54352;54353;54354;54355;54356;54357;54358;54359;54360;54361;54362;54363;54364;54365;54366;54367;54368;54369;54370;54371;54372;54373;54374;54375;54376;54377;54378;54379;54380;54381;61977;61978;68818;69989;69990;69991;80033;80034;80035;80036;80037;80038;80039;80040;80041;80042;92814;92815;92816;92817;92818;92819;92820;92821;92822;92823,3964;3986;4004;7572;10995;10997;15416;21053;21203;21214;37046;45519;45531;45621;45633;50366;50367;51221;51224;54341;54345;54358;61978;68818;69991;80033;92820,13;14;15,,11;13;76,,-1;-1;-1;-1,protein_50,quanti,quanti,quanti,quanti
