GRWD1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
DLAT,0.2265951481,0.0528386926638887,0,P10515;H0YDD4;E9PEJ4,P10515;H0YDD4;E9PEJ4,9;8;8,9;8;8,9;8;8,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial;Acetyltransferase component of pyruvate dehydrogenase complex",DLAT,"sp|P10515|ODP2_HUMAN Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3;tr|H0YDD4|H0YDD4_HUMAN Acetyltransferase component of pyruvate dehydrogenase complex (Fr",9,9,17.2,647
TXN,-0.0868607316,0.562238209825158,0,P10599,P10599,4,4,4,Thioredoxin,TXN,sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,4,4,30.5,105
COX5B,0.1354842411,0.556985659700177,0,P10606,P10606,3,3,3,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,"sp|P10606|COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2",3,3,15.5,129
PRKAR1A,-1.6342808999,0.113000755158961,0,P10644;K7EPB2;K7EM13;P31321;K7EKR1;K7EPR5;K7EQK3;K7EMU2;X6RAV4;K7EMZ6;K7EIE5;K7EID3;K7EJ40;K7EK41;H7BYW5;C9JSK5,P10644;K7EPB2;K7EM13,4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",PRKAR1A,sp|P10644|KAP0_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1;tr|K7EPB2|K7EPB2_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens OX=9606 GN=PRKAR,4,4,11.5,381
ESD,-0.0449489527,0.793071824337695,0,P10768;U3KQT1;X6RA14;H7BZT7,P10768;U3KQT1;X6RA14;H7BZT7,13;12;10;9,13;12;10;9,13;12;10;9,S-formylglutathione hydrolase,ESD,"sp|P10768|ESTD_HUMAN S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2;tr|U3KQT1|U3KQT1_HUMAN Esterase D/formylglutathione hydrolase, isoform CRA_c OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2;tr|X6RA14|X6RA14_HUMAN S-formylglutathione hyd",13,13,55.7,282
HSPD1,0.4753746012,0.00659510777613169,0,P10809;E7ESH4;E7EXB4;C9JL25;C9JCQ4;C9JL19;C9J0S9,P10809,59;23;22;12;8;7;1,59;23;22;12;8;7;1,59;23;22;12;8;7;1,"60 kDa heat shock protein, mitochondrial",HSPD1,"sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",59,59,69.6,573
HSPA5,-0.0218246822,0.803776351609905,0,P11021,P11021,39,37,37,78 kDa glucose-regulated protein,HSPA5,sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,39,37,56.9,654
HSPA8,0.5778752609,0.00451152469984253,0,P11142;E9PKE3;E9PN89;E9PNE6;A8K7Q2;E9PLF4;E9PQQ4;E9PQK7;E9PK54;E9PPY6;E9PI65;E9PN25;P54652;E9PS65;E9PM13,P11142;E9PKE3;E9PN89;E9PNE6,58;53;41;37;27;25;24;24;24;18;18;16;15;8;5,58;53;41;37;27;25;24;24;24;18;18;16;15;8;5,51;46;38;31;24;21;21;21;21;15;14;13;8;7;4,Heat shock cognate 71 kDa protein,HSPA8,sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PKE3|E9PKE3_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PN89|E9PN89_HUMAN Heat shock cognate 71 kDa protein ,58,51,62.8,646
UMPS,0.253406458,0.235470139271114,0,P11172;F2Z3P2;F2Z303;F8WDG4;E9PFD2,P11172,5;1;1;1;1,5;1;1;1;1,5;1;1;1;1,Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase,UMPS,sp|P11172|UMPS_HUMAN Uridine 5-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS PE=1 SV=1,5,5,14.2,480
PDHB,-0.0132608589,0.925021962961915,0,P11177;C9J634;F8WF02,P11177;C9J634,8;5;3,8;5;3,8;5;3,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,"sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3;tr|C9J634|C9J634_HUMAN Pyruvate dehydrogenase E1 component subunit beta OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=1",8,8,26.2,359
RALB;RALA,0.0371409312,0.701610698868643,0,P11234;P11233;F8WEQ6;C9JPE8;C9JYR1;H7C3P7;C9J6B1;C9JQB3,P11234;P11233;F8WEQ6;C9JPE8;C9JYR1;H7C3P7;C9J6B1;C9JQB3,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,Ras-related protein Ral-B;Ras-related protein Ral-A,RALB;RALA,sp|P11234|RALB_HUMAN Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB PE=1 SV=1;sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1;tr|F8WEQ6|F8WEQ6_HUMAN Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RA,2,2,11.2,206
LAMP1,-0.2974826469,0.0728614370376703,0,P11279,P11279,4,4,4,Lysosome-associated membrane glycoprotein 1,LAMP1,sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3,4,4,11.3,417
TOP2A,0.6090234097,0.00320851575768202,0,P11388;Q02880;J3KTB7;E9PCY5,P11388,12;3;3;3,12;3;3;3,12;3;3;3,DNA topoisomerase 2-alpha,TOP2A,sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,12,12,10.5,1531
G6PD,-0.300463776,0.197606158178469,0,P11413;E9PD92;E7EM57;E7EUI8,P11413;E9PD92;E7EM57;E7EUI8,36;21;21;21,36;21;21;21,36;21;21;21,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E9PD92|E9PD92_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=1;tr|E7EM57|E7EM57_HUMAN Glucose-6-phosphate 1-,36,36,67.6,515
IGF2R,-1.0501352711,0.00237396991937563,1,P11717;S4R328,P11717,6;1,6;1,6;1,Cation-independent mannose-6-phosphate receptor,IGF2R,sp|P11717|MPRI_HUMAN Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,6,6,3.2,2491
ADH5,-0.2159798112,0.322550787304391,0,P11766;D6RFE4;H0YAG8;D6RAY0;D6R9G2,P11766;D6RFE4;H0YAG8,6;3;3;1;1,6;3;3;1;1,6;3;3;1;1,Alcohol dehydrogenase class-3,ADH5,sp|P11766|ADHX_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4;tr|D6RFE4|D6RFE4_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=1;tr|H0YAG8|H0YAG8_HUMAN Alcohol dehydrogenase class-3 (Fragment) OS=H,6,6,19.8,374
PABPC1,0.1900287192,0.148411796338468,0,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;E5RJB9;E5RGH3;E5RH24;H0YBN4;H0YB86;H0YAP2;Q4VXU2;H0YEQ8;H0YB75;E5RHG7;H0YAS6;H0YAS7;H0YCC8;H0YC10;Q96DU9;E5RFD8;E5RGC4;E5RJM8,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,32;31;30;29;16;11;10;10;9;8;7;5;5;4;4;4;3;2;2;2;2;2;1,32;31;30;29;16;11;10;10;9;8;7;5;5;4;4;4;3;2;2;2;2;2;1,9;8;8;7;6;3;3;3;1;3;4;3;0;0;1;0;0;0;0;2;1;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,32,9,51.6,636
PCNA,-0.2846951626,0.0867496144512368,0,P12004,P12004,18,18,18,Proliferating cell nuclear antigen,PCNA,sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,18,18,57.9,261
HARS,0.4465066179,0.0216474068974529,0,P12081;B3KWE1;B4DDD8;E7ETE2;B4E1C5;P49590;D6RF05;A0A2R8YCI2;A0A2R8Y4X6;A0A2R8Y5E8;D6RJE6;A0A2R8Y6I1;A0A2R8Y3N3;A0A2R8Y5P7;A0A2R8YFR1,P12081;B3KWE1;B4DDD8;E7ETE2,11;9;7;6;5;2;2;2;2;2;2;2;2;2;1,11;9;7;6;5;2;2;2;2;2;2;2;2;2;1,11;9;7;6;5;2;2;2;2;2;2;2;2;2;1,"Histidine--tRNA ligase, cytoplasmic",HARS,"sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2;tr|B3KWE1|B3KWE1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=1;tr|B4DDD8|B4DDD8_HUMAN Histidine--tRNA ligase, cytopl",11,11,19.6,509
SLC25A6,0.0027825239,0.975994417148332,0,P12236,P12236,23,7,4,"ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed",SLC25A6,sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,23,4,60.4,298
IMPDH2,0.2560747633,0.0494641663599473,0,P12268,P12268,30,30,3,Inosine-5-monophosphate dehydrogenase 2,IMPDH2,sp|P12268|IMDH2_HUMAN Inosine-5-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2,30,3,64.6,514
TPR,0.1147348746,0.337296432586652,0,P12270,P12270,8,8,8,Nucleoprotein TPR,TPR,sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,8,8,5.2,2363
CKB,0.5187698613,0.00411767354038342,0,P12277;G3V4N7;G3V461;H0YJG0,P12277;G3V4N7,5;3;1;1,5;3;1;1,5;3;1;1,Creatine kinase B-type,CKB,sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1;tr|G3V4N7|G3V4N7_HUMAN Creatine kinase B-type (Fragment) OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,5,5,22.3,381
ANXA3,-0.0093084473,0.970018592424488,0,P12429;D6RA82;D6RFG5;D6RCA8;D6RAZ8;D6RFJ9,P12429;D6RA82;D6RFG5,8;7;4;3;2;1,8;7;4;3;2;1,8;7;4;3;2;1,Annexin A3;Annexin,ANXA3,sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3;tr|D6RA82|D6RA82_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=1;tr|D6RFG5|D6RFG5_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=1,8,8,29.4,323
CKMT1A;CKMT1B,-0.6859862362,0.00608581840200084,0,P12532;F8WCN3;C9JSQ1;C9JJX8;C9J995;C9J8F6;C9J6W7;C9JT96;P17540,P12532;F8WCN3;C9JSQ1,8;7;5;3;3;3;3;3;1,8;7;5;3;3;3;3;3;1,8;7;5;3;3;3;3;3;1,"Creatine kinase U-type, mitochondrial",CKMT1A;CKMT1B,"sp|P12532|KCRU_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;tr|F8WCN3|F8WCN3_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;tr|C9JSQ1|C9JSQ1_HUMAN Creatine kinase U-type, m",8,8,36,417
ACTN1,0.3297569569,0.0492549090046421,0,P12814;H9KV75;G3V2N5;G3V2W4;H0YJW3;H0YJ11;H7C5W8;G3V2X9;G3V5M4;G3V380,P12814;H9KV75,50;42;20;18;12;11;10;9;6;2,50;42;20;18;12;11;10;9;6;2,29;26;10;9;8;8;7;4;2;2,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,50,29,56.2,892
XRCC6,-0.1276618162,0.291358947588225,0,P12956;B1AHC9,P12956;B1AHC9,20;19,20;19,20;19,X-ray repair cross-complementing protein 6,XRCC6,sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2;tr|B1AHC9|B1AHC9_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=1,20,20,33,609
XRCC5,-0.0967073867,0.389856501266906,0,P13010;C9JZ81;H7C0H9,P13010,24;5;2,24;5;2,24;5;2,X-ray repair cross-complementing protein 5,XRCC5,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,24,24,30.9,732
RNH1,-0.3401346809,0.023704484098541,0,P13489;H0YCR7,P13489,12;5,12;5,5;5,Ribonuclease inhibitor,RNH1,sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,12,5,41,461
EEF2,0.4494829726,0.00928561416865528,0,P13639,P13639,63,63,61,Elongation factor 2,EEF2,sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,63,61,68.2,858
PDIA4,-0.5171872138,0.0466042454185833,0,P13667;A0A499FI48,P13667;A0A499FI48,9;8,9;8,9;8,Protein disulfide-isomerase A4,PDIA4,sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2;tr|A0A499FI48|A0A499FI48_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=1,9,9,19.7,645
LCP1,0.0283391334,0.938871574797257,0,P13796,P13796,7,6,5,Plastin-2,LCP1,sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,7,5,13.9,627
ETFA,-0.0769414386,0.413660612194827,0,P13804;H0YLU7;H0YL12;H0YK49;H0YNX6;H0YKF0;H0YL83;J3KN60,P13804;H0YLU7;H0YL12;H0YK49;H0YNX6;H0YKF0,11;8;7;6;6;6;2;1,11;8;7;6;6;6;2;1,11;8;7;6;6;6;2;1,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,"sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;tr|H0YLU7|H0YLU7_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV",11,11,46.8,333
PRKAR2A,1.0079541334,0.043037332537246,1,P13861;H7C1L0;H7C330;P31323;H7C4A9;C9J830,P13861;H7C1L0,12;7;4;3;1;1,12;7;4;3;1;1,12;7;4;3;1;1,cAMP-dependent protein kinase type II-alpha regulatory subunit,PRKAR2A,sp|P13861|KAP2_HUMAN cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2;tr|H7C1L0|H7C1L0_HUMAN cAMP-dependent protein kinase type II-alpha regulatory subunit (Fragment) OS=Homo sapiens OX=9606 GN=PRK,12,12,40.3,404
MTHFD2,0.274970405,0.0974771307668421,0,P13995;B9A062;B8ZZU9,P13995;B9A062;B8ZZU9,8;5;5,8;5;5,8;5;5,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase",MTHFD2,"sp|P13995|MTDC_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2;tr|B9A062|B9A062_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS",8,8,26.9,350
MIF,-0.6173478966,0.00229144706380927,0,P14174,P14174,7,7,7,Macrophage migration inhibitory factor,MIF,sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,7,7,45.2,115
FDPS,-0.1553300345,0.532155517992029,0,P14324;A0A087X1D8;A0A087WVN4;A0A087WTP2;A0A087X090,P14324;A0A087X1D8;A0A087WVN4,6;4;4;2;2,6;4;4;2;2,6;4;4;2;2,Farnesyl pyrophosphate synthase,FDPS,sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4;tr|A0A087X1D8|A0A087X1D8_HUMAN Farnesyl pyrophosphate synthase (Fragment) OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=1;tr|A0A087WVN4|A0A087WVN4_HUMAN Farnesyl pyrop,6,6,22.9,419
AKR1A1,-0.7309653763,0.0117970957707889,0,P14550;Q5T621;V9GYG2;V9GYP9,P14550,15;6;5;5,15;6;5;5,15;6;5;5,Alcohol dehydrogenase [NADP(+)],AKR1A1,sp|P14550|AK1A1_HUMAN Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,15,15,48.9,325
PKM,-0.1640007567,0.153506155854764,0,P14618;B4DNK4,P14618;B4DNK4,55;45,55;45,5;5,Pyruvate kinase PKM;Pyruvate kinase,PKM,sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4;tr|B4DNK4|B4DNK4_HUMAN Pyruvate kinase OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=1,55,5,87.9,531
HSP90B1,-0.284054972,0.0333580420545164,0,P14625;Q96GW1;A0A1W2PRR1;H0YIV0;Q58FF3;F8W026,P14625,39;12;12;8;5;3,37;10;10;8;5;1,37;10;10;8;5;1,Endoplasmin,HSP90B1,sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,39,37,48.7,803
COX6B1,0.2610905692,0.0371369891305763,0,P14854;A0A494C160;K7EQD3,P14854;A0A494C160,5;3;1,5;3;1,5;3;1,Cytochrome c oxidase subunit 6B1,COX6B1,sp|P14854|CX6B1_HUMAN Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2;tr|A0A494C160|A0A494C160_HUMAN Cytochrome c oxidase subunit 6B1 (Fragment) OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=1,5,5,89.5,86
DARS,-0.2881089164,0.0351435639633579,0,P14868;C9J7S3;C9JLC1;H7BZ35;H7C278;C9JQM9,P14868,26;10;10;9;7;6,26;10;10;9;7;6,26;10;10;9;7;6,"Aspartate--tRNA ligase, cytoplasmic",DARS,"sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",26,26,57.5,501
UQCRB,0.4081485239,0.0160659276862524,0,P14927;B7Z2R2;E5RHG9,P14927;B7Z2R2,5;4;2,5;4;2,5;4;2,Cytochrome b-c1 complex subunit 7,UQCRB,sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2;tr|B7Z2R2|B7Z2R2_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=1,5,5,55,111
AKR1B1,-0.2709527592,0.03438468490382,0,P15121;E9PCX2;E9PEF9;C9JRZ8,P15121;E9PCX2,17;12;7;1,17;12;7;1,17;12;7;1,Aldose reductase,AKR1B1,sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3;tr|E9PCX2|E9PCX2_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=1,17,17,68.7,316
GSPT1;GSPT2,0.0906500622,0.407972414240443,0,P15170;H3BR35;Q8IYD1;H3BSV8,P15170;H3BR35;Q8IYD1,10;9;7;2,10;9;7;2,10;9;7;2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,GSPT1;GSPT2,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,10,10,26.7,499
EZR,0.198668522,0.179416842249528,0,P15311;E7EQR4;A0A2R8Y5P0;E9PNP4,P15311;E7EQR4,41;40;4;1,41;40;4;1,30;30;0;0,Ezrin,EZR,sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4;tr|E7EQR4|E7EQR4_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=3,41,30,65.4,586
RPS2,0.3143248162,0.0217248497876352,0,P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PM36;E9PPT0;H3BNG3;H0YE27,P15880;H0YEN5;E9PQD7;E9PMM9,21;19;14;11;10;10;8;1;1,21;19;14;11;10;10;8;1;1,21;19;14;11;10;10;8;1;1,40S ribosomal protein S2,RPS2,sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;tr|H0YEN5|H0YEN5_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1;tr|E9PQD7|E9PQD7_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9,21,21,52.9,293
RPA2,-0.3192706385,0.133801555251858,0,P15927;Q5TEJ7,P15927;Q5TEJ7,3;3,3;3,3;3,Replication protein A 32 kDa subunit,RPA2,sp|P15927|RFA2_HUMAN Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1;tr|Q5TEJ7|Q5TEJ7_HUMAN Replication protein A 32 kDa subunit (Fragment) OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1,3,3,17.4,270
CBR1,-0.4406286903,0.00857529978207967,0,P16152;E9PQ63;A8MTM1,P16152;E9PQ63;A8MTM1,11;7;7,11;7;7,9;5;5,Carbonyl reductase [NADPH] 1,CBR1,sp|P16152|CBR1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3;tr|E9PQ63|E9PQ63_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=1;tr|A8MTM1|A8MTM1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX,11,9,45.8,277
HIST1H1C,-0.5257359977,0.0224005218422338,0,P16403,P16403,20,3,3,Histone H1.2,HIST1H1C,sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,20,3,46,213
FAH,-0.0033681018,0.987259425994058,0,P16930;H0YLC7,P16930;H0YLC7,3;2,3;2,3;2,Fumarylacetoacetase,FAH,sp|P16930|FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=2;tr|H0YLC7|H0YLC7_HUMAN Fumarylacetoacetase (Fragment) OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=1,3,3,12.6,419
STMN1,-0.4107072331,0.0466680476777612,0,P16949;A2A2D0,P16949;A2A2D0,11;10,11;10,7;6,Stathmin,STMN1,sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8,11,7,46.3,149
HSPA6;HSPA7,0.6276681441,0.00185605291914589,0,P17066;P48741,P17066;P48741,11;7,3;3,3;3,Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7,HSPA6;HSPA7,sp|P17066|HSP76_HUMAN Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2;sp|P48741|HSP77_HUMAN Putative heat shock 70 kDa protein 7 OS=Homo sapiens OX=9606 GN=HSPA7 PE=5 SV=2,11,3,16.5,643
HMGA1,0.3887435628,0.104026274757426,0,P17096,P17096,2,2,2,High mobility group protein HMG-I/HMG-Y,HMGA1,sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,2,2,41.1,107
GOT1,-0.0766180235,0.500758111525888,0,P17174,P17174,27,27,27,"Aspartate aminotransferase, cytoplasmic",GOT1,"sp|P17174|AATC_HUMAN Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3",27,27,73.1,413
CAPN2,0.019024195,0.899430907803833,0,P17655,P17655,10,10,10,Calpain-2 catalytic subunit,CAPN2,sp|P17655|CAN2_HUMAN Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6,10,10,15.1,700
