Gene_names,PAFAH1B1_vs_BirA_logFC,PAFAH1B1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PAFAH1B1_N1,Peptides_PAFAHB_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PAFAH1B1_N1,Razor___unique_peptides_PAFAHB_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PAFAH1B1_N1,Unique_peptides_PAFAHB_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PAFAH1B1_N1,Identification_type_PAFAHB_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PAFAH1B1_N1,Ratio_H_L_PAFAHB_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PAFAH1B1_N1,Ratio_H_L_normalized_PAFAHB_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PAFAH1B1_N1,Ratio_H_L_variability_____PAFAHB_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PAFAH1B1_N1,Ratio_H_L_count_PAFAHB_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PAFAH1B1_N1,Ratio_H_L_iso_count_PAFAHB_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PAFAH1B1_N1,Ratio_H_L_type_PAFAHB_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PAFAH1B1_N1____,Sequence_coverage_PAFAHB_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PAFAH1B1_N1,Intensity_L_PAFAH1B1_N1,Intensity_H_PAFAH1B1_N1,Intensity_PAFAHB_N2,Intensity_L_PAFAHB_N2,Intensity_H_PAFAHB_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PAFAH1B1_N1,metacell_Intensity_L_PAFAHB_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
C2orf47,21.4999917130265,3.07946892658438e-07,Q8WWC4,Q8WWC4,2,2,2,"Uncharacterized protein C2orf47, mitochondrial","sp|Q8WWC4|MAIP1_HUMAN m-AAA protease-interacting protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=MAIP1 PE=1 SV=1",1,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,8.6,8.6,8.6,32.544,291,291,0.0,9.3705,,,By MS/MS,By MS/MS,0.38289,0.9748,4.6242,3,1,Plateau,,,0.38289,0.36962,,,1.0042,0.9314,,,,2.2387,0,0,1,2,0,0,0,1,Median,Median,Median,Median,0.0,0.0,4.8,8.6,460680000,346920000,113760000,0,0,0,0,0,0,204900000,151460000,53432000,255780000,195460000,60328000,,,,3044,4450;19230,True;True,4971;21837,12519;12520;54120,24156;24157;24158;24159;102555,24158;102555,,,,,-1,protein_3045,quanti,quanti,imputed MEC,imputed MEC
ATXN2L,1.15928547153428,0.105977911709547,Q8WWM7;H3BUF6;H3BSK9;H3BSQ5;H3BUE3,Q8WWM7;H3BUF6,5;4;2;1;1,5;4;2;1;1,5;4;2;1;1,Ataxin-2-like protein,sp|Q8WWM7|ATX2L_HUMAN Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2;tr|H3BUF6|H3BUF6_HUMAN Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=1,5,5,5,5,2,1,4,4,2,1,4,4,2,1,4,4,7.3,7.3,7.3,113.37,1075,1075;1068;336;91;217,0.0,7.9457,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58451,1.419,15.338,12,2,Leave out requantified,0.28245,0.6111,0.54065,0.61001,0.74003,1.4692,1.2328,1.4976,44.533,,15.009,5.4495,2,1,5,4,1,0,0,1,Median,Median,Leave out requantified,Leave out requantified,3.3,2.1,5.1,5.1,826780000,497140000,329640000,39363000,29552000,9810700,24850000,13287000,11563000,479430000,289500000,189930000,283130000,164800000,118330000,,,,3045,4432;9384;19691;23051;27054,True;True;True;True;True,4953;10586;22338;26054;30567,12475;12476;12477;12478;26376;26377;55243;55244;64733;64734;76055;76056,24074;50657;50658;50659;104563;104564;104565;104566;123082;123083;145443;145444,24074;50658;104563;123083;145444,,,,,-1;-1;-1;-1;-1,protein_3046,quanti,quanti,quanti,quanti
NELFB,21.3382873351803,2.31177491980273e-07,Q8WX92;A0A5H1ZRP4,Q8WX92;A0A5H1ZRP4,4;3,4;3,4;3,Negative elongation factor B,sp|Q8WX92|NELFB_HUMAN Negative elongation factor B OS=Homo sapiens OX=9606 GN=NELFB PE=1 SV=1;tr|A0A5H1ZRP4|A0A5H1ZRP4_HUMAN Negative elongation factor B OS=Homo sapiens OX=9606 GN=NELFB PE=1 SV=1,2,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,9.8,9.8,9.8,65.697,580,580;628,0.0,19.632,,,By MS/MS,By MS/MS,0.43415,0.82287,34.634,9,1,Leave out requantified,,,0.61733,0.39577,,,1.4208,0.72938,,,49.233,47.392,0,0,5,4,0,0,1,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,9.8,9.8,530270000,318190000,212080000,0,0,0,0,0,0,345230000,199740000,145490000,185040000,118450000,66590000,,,,3046,3957;5510;14199;16257,True;True;True;True,4436;6125;16264;18531,11290;11291;11292;15118;15119;15120;40532;40533;46102;46103,21918;21919;21920;21921;28835;77209;87590,21920;28835;77209;87590,,,,,-1;-1,protein_3047,quanti,quanti,imputed MEC,imputed MEC
PSPC1,2.25698659955826,0.000525636130376048,Q8WXF1;X6RDA4,Q8WXF1;X6RDA4,7;5,7;5,7;5,Paraspeckle component 1,sp|Q8WXF1|PSPC1_HUMAN Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1;tr|X6RDA4|X6RDA4_HUMAN Paraspeckle component 1 (Fragment) OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,2,7,7,7,2,2,5,5,2,2,5,5,2,2,5,5,22.0,22.0,22.0,58.743,523,523;248,0.0,14.032,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36567,0.77412,23.301,15,6,Leave out requantified,0.15328,0.34349,0.41681,0.36177,0.36522,0.71002,0.97543,0.77093,45.467,12.223,12.156,83.476,2,2,6,5,1,0,2,3,Median,Median,Leave out requantified,Median,8.8,7.5,14.5,14.5,2123900000,1187400000,936530000,28358000,22195000,6162700,33062000,25318000,7743900,1046000000,679860000,366180000,1016400000,459980000,556440000,,,,3049,5552;5571;13400;18128;18796;22882;26893,True;True;True;True;True;True;True,6176;6202;15349;20631;21367;25861;30392,15258;15259;15326;15327;15328;38233;38234;51220;51221;51222;51223;53011;64258;75620;75621,29146;29147;29267;29268;29269;29270;72845;72846;72847;72848;72849;97215;97216;97217;97218;97219;97220;97221;97222;97223;97224;100517;100518;122054;144658;144659;144660,29146;29269;72846;97216;100517;122054;144658,,,,,-1;-1,protein_3050,quanti,quanti,quanti,quanti
DNAJC9,1.30909252804749,0.00631389397379344,Q8WXX5,Q8WXX5,5,5,5,DnaJ homolog subfamily C member 9,sp|Q8WXX5|DNJC9_HUMAN DnaJ homolog subfamily C member 9 OS=Homo sapiens OX=9606 GN=DNAJC9 PE=1 SV=1,1,5,5,5,1,1,4,4,1,1,4,4,1,1,4,4,28.1,28.1,28.1,29.909,260,260,0.0,9.4264,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3623,0.82521,14.327,12,4,Leave out requantified,0.26657,0.3419,0.47879,0.38111,0.77135,0.88283,1.1767,0.88674,,,43.517,53.205,1,1,5,5,0,0,2,2,Median,Median,Median,Median,8.8,8.8,26.9,26.9,998560000,591040000,407520000,25559000,18763000,6796300,41714000,25470000,16244000,581300000,330690000,250620000,349980000,216120000,133860000,,,,3052,2908;4804;11007;17829;17830,True;True;True;True;True,3291;5361;12426;20294;20295,8565;8566;13403;13404;31022;31023;50388;50389;50390;50391;50392;50393,16788;16789;25758;25759;59526;59527;95606;95607;95608;95609;95610;95611,16788;25758;59526;95609;95611,,,,,-1,protein_3053,quanti,quanti,quanti,quanti
DDB2,21.794916643263,4.71411361001637e-08,Q92466;A0A087X0X5;A0A087WYT8;A0A087WW71,Q92466;A0A087X0X5;A0A087WYT8;A0A087WW71,4;3;2;2,4;3;2;2,4;3;2;2,DNA damage-binding protein 2,sp|Q92466|DDB2_HUMAN DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=1;tr|A0A087X0X5|A0A087X0X5_HUMAN DNA damage-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=6;tr|A0A087WYT8|A0A087WYT8_HUMAN DNA damage-binding p,4,4,4,4,0,0,4,3,0,0,4,3,0,0,4,3,15.2,15.2,15.2,47.863,427,427;227;95;162,0.00077489,2.3013,,,By MS/MS,By MS/MS,0.47228,1.0883,31.43,7,4,Median,,,0.49045,0.47228,,,1.0098,1.0883,,,32.669,32.675,0,0,4,3,0,0,2,2,Median,Median,Median,Median,0.0,0.0,15.2,12.4,680940000,424420000,256530000,0,0,0,0,0,0,368740000,233970000,134770000,312200000,190440000,121760000,,,,3055,2439;7303;7514;26307,True;True;True;True,2755;8148;8397;29754,7166;7167;20145;20763;20764;74088;74089,14016;14017;38644;39815;39816;141830;141831,14017;38644;39816;141830,,,,,-1;-1;-1;-1,protein_3056,quanti,quanti,imputed MEC,imputed MEC
DDX1,1.40042221852599,0.00190592795501006,Q92499;F1T0B3;A0A087X2G1,Q92499;F1T0B3;A0A087X2G1,34;32;32,34;32;32,34;32;32,ATP-dependent RNA helicase DDX1,sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2;tr|F1T0B3|F1T0B3_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1;tr|A0A087X2G1|A0A087X2G1_HUMAN ATP-dependent RNA helicase DDX1 O,3,34,34,34,12,11,31,29,12,11,31,29,12,11,31,29,54.5,54.5,54.5,82.431,740,740;659;659,0.0,106.38,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41222,1.0246,18.741,98,29,Leave out requantified,0.30364,0.39305,0.4285,0.41255,0.97609,1.0497,1.0672,1.027,23.12,20.7,21.575,37.897,12,11,38,37,5,3,8,13,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,22.2,22.3,50.9,49.7,16268000000,9159900000,7107800000,439380000,327050000,112330000,451230000,322840000,128390000,6782900000,4683500000,2099500000,8594100000,3826500000,4767600000,,,,3056,1140;1546;1547;3853;3894;3895;4306;4731;4857;5784;6109;6169;6232;6516;7449;7455;7482;7483;7686;8295;9319;10376;10545;15317;15318;16537;16802;18285;22566;22567;24552;24553;26253;26535,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1263;1753;1754;4328;4371;4372;4818;5288;5420;6430;6796;6868;6937;7247;8315;8322;8358;8359;8602;9306;10513;11712;11907;17489;17490;18838;19131;20796;25500;25501;27711;27712;29695;30002,3263;3264;4515;4516;4517;4518;4519;11046;11047;11132;11133;11134;11135;11136;11137;12169;12170;13242;13243;13552;13553;13554;13555;15900;16762;16763;16764;16765;16766;16934;16935;16936;16937;17098;17099;17100;17101;17102;17103;17830;17831;20540;20541;20562;20563;20670;20671;20672;20673;20674;20675;21342;21343;23126;23127;23128;23129;26206;26207;29291;29292;29293;29789;29790;29791;29792;43500;43501;43502;43503;43504;43505;46853;46854;46855;46856;46857;46858;46859;47541;47542;47543;47544;51667;51668;51669;51670;63285;63286;63287;68969;68970;68971;73940;73941;73942;74702;74703,6356;6357;6358;6359;6360;8744;8745;8746;8747;8748;8749;21448;21449;21617;21618;21619;21620;21621;21622;21623;21624;21625;21626;21627;21628;21629;23469;23470;23471;23472;23473;23474;23475;23476;25472;25473;26029;26030;26031;26032;26033;26034;26035;30357;31967;31968;31969;31970;31971;31972;31973;31974;31975;31976;31977;32287;32288;32289;32290;32291;32583;32584;32585;32586;32587;32588;32589;32590;32591;32592;32593;32594;32595;33985;33986;33987;39383;39384;39385;39386;39432;39433;39434;39435;39648;39649;39650;39651;39652;39653;39654;39655;39656;39657;39658;39659;39660;40973;40974;40975;40976;40977;40978;40979;44304;44305;44306;44307;44308;50381;50382;50383;56320;56321;56322;56323;56324;57316;57317;57318;57319;57320;57321;82714;82715;82716;82717;82718;82719;89013;89014;89015;89016;89017;89018;89019;89020;89021;89022;89023;89024;90327;90328;90329;90330;90331;90332;90333;90334;90335;90336;90337;98048;98049;98050;98051;98052;98053;98054;98055;120001;120002;120003;131621;131622;131623;141550;141551;141552;141553;141554;142934;142935,6356;8744;8747;21448;21619;21626;23471;25472;26035;30357;31975;32288;32588;33985;39386;39433;39648;39657;40974;44308;50383;56324;57320;82714;82716;89014;90336;98055;120002;120003;131621;131623;141552;142935,2908;2909;2910,,207;210;223,,-1;-1;-1,protein_3057,quanti,quanti,quanti,quanti
FAM3C,20.5341261940918,1.64243308174699e-06,Q92520;C9JP35;C9JMN4,Q92520;C9JP35;C9JMN4,2;1;1,2;1;1,2;1;1,Protein FAM3C,sp|Q92520|FAM3C_HUMAN Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1;tr|C9JP35|C9JP35_HUMAN Protein FAM3C (Fragment) OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1;tr|C9JMN4|C9JMN4_HUMAN Protein FAM3C (Fragment) OS=Homo sapiens OX=9606 GN=FAM3C PE=1 ,3,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,12.8,12.8,12.8,24.68,227,227;109;151,0.0004279,3.0731,,,By MS/MS,By MS/MS,0.87925,2.0328,34.919,3,0,Median,,,0.64195,0.90559,,,1.5373,2.2096,,,39.512,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,12.8,7.0,298400000,193210000,105190000,0,0,0,0,0,0,210440000,136260000,74174000,87966000,56948000,31019000,,,,3058,9527;13787,True;True,10743;15763,26781;39283;39284,51423;74854;74855;74856,51423;74854,,,,,-1;-1;-1,protein_3059,quanti,quanti,imputed MEC,imputed MEC
H1FX,1.60566039458077,0.012559823609289,Q92522,Q92522,6,6,6,Histone H1x,sp|Q92522|H1X_HUMAN Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,1,6,6,6,2,2,4,5,2,2,4,5,2,2,4,5,31.5,31.5,31.5,22.487,213,213,0.0,21.183,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.6351,4.2555,35.941,17,3,Leave out requantified,2.0083,1.4591,1.6118,1.5947,7.5863,3.7355,4.1589,4.2532,70.249,49.476,16.148,21.958,3,2,5,7,1,1,0,1,Plateau,Median,Leave out requantified,Leave out requantified,14.1,14.1,16.0,23.0,3067500000,1234000000,1833500000,136270000,48824000,87444000,74335000,29905000,44430000,1581800000,642880000,938930000,1275100000,512370000,762740000,,,,3059,1797;6930;12463;22029;27513;27514,True;True;True;True;True;True,2040;7703;14290;14291;24911;24912;31085;31086,5317;5318;5319;5320;18951;35556;35557;35558;35559;35560;35561;61741;61742;61743;77356;77357;77358;77359,10366;10367;10368;10369;10370;10371;10372;10373;10374;10375;36298;67843;67844;67845;67846;67847;67848;67849;67850;67851;67852;116871;116872;116873;147981;147982;147983;147984;147985;147986;147987;147988;147989;147990;147991,10373;36298;67843;116873;147986;147988,,,,,-1,protein_3060,quanti,quanti,quanti,quanti
NCSTN,21.8796353800584,4.60835778562934e-08,Q92542;H0Y6T7;Q5T205;H0Y3Z4;Q5T209,Q92542;H0Y6T7;Q5T205;H0Y3Z4,5;4;3;3;1,5;4;3;3;1,5;4;3;3;1,Nicastrin,sp|Q92542|NICA_HUMAN Nicastrin OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=2;tr|H0Y6T7|H0Y6T7_HUMAN Nicastrin (Fragment) OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=1;tr|Q5T205|Q5T205_HUMAN Nicastrin (Fragment) OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=1;tr|H0Y3Z,5,5,5,5,0,0,4,4,0,0,4,4,0,0,4,4,9.0,9.0,9.0,78.41,709,709;275;219;316;255,0.0,12.856,,,By MS/MS,By MS/MS,0.7461,1.7099,11.475,8,1,Leave out requantified,,,0.77767,0.7234,,,1.882,1.7309,,,14.419,11.525,0,0,4,4,0,0,1,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,5.9,7.5,783070000,448530000,334540000,0,0,0,0,0,0,417290000,237860000,179420000,365780000,210670000,155110000,,,,3062,1346;7675;14744;18329;20634,True;True;True;True;True,1529;8587;16861;20848;23368,3935;3936;21317;42022;42023;51802;51803;51804;57760,7665;7666;40934;40935;40936;80033;80034;80035;80036;98325;98326;98327;98328;109247,7665;40935;80034;98325;109247,,,,,-1;-1;-1;-1;-1,protein_3063,quanti,quanti,imputed MEC,imputed MEC
HSPH1,0.372481637850413,0.28265682122088,Q92598;R4GN69,Q92598,44;9,41;9,8;4,Heat shock protein 105 kDa,sp|Q92598|HS105_HUMAN Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1,2,44,41,8,18,18,32,36,16,17,30,33,6,5,6,7,55.5,52.6,10.4,96.864,858,858;115,0.0,242.74,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32605,0.82928,20.543,109,33,Leave out requantified,0.2992,0.37984,0.33184,0.29264,0.95156,0.99422,0.8389,0.77294,46.693,18.264,13.246,20.531,16,19,34,40,6,7,7,13,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.8,24.9,46.2,48.7,18362000000,13506000000,4856100000,893040000,676720000,216320000,1715100000,1214400000,500760000,8542100000,6227600000,2314400000,7211400000,5386900000,1824600000,,,,3064,721;834;835;3175;3554;3712;4444;4677;4901;5056;5714;5904;6373;6751;6752;6997;6998;8125;9402;9683;9942;10176;10228;14161;14679;14811;15189;16666;16846;17552;17758;18316;18317;19766;21096;21633;22075;22103;22104;22155;24177;25007;25354;26141,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,789;914;915;3573;3989;4162;4965;5224;5467;5631;6356;6555;7095;7502;7503;7782;7783;7784;9115;10610;10907;11194;11463;11542;16215;16216;16793;16934;17347;18980;19183;19996;20218;20828;20829;20830;22421;23896;24479;24965;24995;24996;25053;27285;28289;28686;29575,1984;1985;2278;2279;2280;2281;2282;2283;2284;9244;9245;9246;10249;10250;10251;10252;10624;12507;13103;13104;13656;14020;14021;15706;15707;16206;16207;16208;16209;17469;17470;18466;18467;18468;18469;18470;19157;19158;19159;19160;19161;19162;19163;19164;22652;26446;26447;27131;27132;27865;27866;28607;28608;28609;28610;28611;28832;28833;40397;40398;40399;41853;41854;42201;42202;43167;43168;47183;47184;47185;47673;47674;47675;49638;49639;49640;50198;50199;51747;51748;51749;51750;51751;51752;51753;55467;55468;55469;55470;59160;59161;59162;60640;60641;60642;61889;61890;61891;61892;61893;61987;61988;61989;61990;61991;61992;61993;61994;61995;61996;62128;62129;62130;67862;67863;70489;70490;70491;70492;71482;73631;73632,3768;3769;3770;3771;4321;4322;4323;4324;4325;4326;4327;4328;4329;4330;4331;4332;4333;4334;4335;17957;17958;17959;19939;19940;19941;19942;19943;19944;19945;19946;20564;24140;24141;25259;25260;26197;26801;26802;29952;29953;29954;29955;29956;29957;29958;30958;30959;30960;30961;30962;30963;30964;30965;30966;30967;30968;30969;30970;30971;33315;33316;33317;33318;35283;35284;35285;35286;35287;35288;35289;35290;35291;35292;36651;36652;36653;36654;36655;36656;36657;36658;36659;36660;36661;36662;36663;36664;36665;36666;36667;36668;43450;43451;50798;50799;52079;52080;52081;52082;52083;52084;52085;53470;53471;55096;55097;55098;55099;55100;55101;55454;55455;55456;55457;55458;55459;55460;55461;76955;76956;76957;76958;79748;79749;80345;80346;80347;82167;82168;82169;82170;89618;89619;89620;89621;89622;89623;90545;90546;90547;90548;90549;94174;94175;94176;94177;94178;94179;94180;95225;95226;98196;98197;98198;98199;98200;98201;98202;98203;98204;98205;98206;98207;98208;98209;105016;105017;105018;105019;105020;105021;105022;105023;105024;105025;105026;105027;105028;105029;111978;111979;111980;114827;114828;114829;114830;114831;114832;114833;117188;117189;117190;117191;117192;117193;117194;117195;117196;117197;117198;117199;117387;117388;117389;117390;117391;117392;117393;117394;117395;117396;117397;117398;117399;117400;117401;117402;117632;117633;117634;129459;129460;129461;134649;134650;134651;134652;134653;134654;134655;134656;134657;134658;134659;136692;140960;140961;140962;140963;140964;140965,3770;4329;4335;17959;19943;20564;24141;25259;26197;26801;29958;30970;33317;35284;35290;36658;36667;43450;50798;52083;53471;55101;55454;76955;79748;80346;82168;89619;90549;94178;95226;98197;98207;105024;111979;114833;117197;117399;117401;117633;129461;134659;136692;140961,90;91;92;93;94;2911,,68;221;388;430;703;728,,-1;-1,protein_3065,quanti,quanti,quanti,quanti
MYO18A,20.0208471532304,6.75563377641922e-07,Q92614;A0A0D9SFK2;H0YEV9,Q92614;A0A0D9SFK2,3;2;1,3;2;1,3;2;1,Unconventional myosin-XVIIIa,sp|Q92614|MY18A_HUMAN Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3;tr|A0A0D9SFK2|A0A0D9SFK2_HUMAN Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=1,3,3,3,3,0,0,2,1,0,0,2,1,0,0,2,1,3.3,3.3,3.3,233.11,2054,2054;2038;172,0.0047917,1.7932,,,By MS/MS,By MS/MS,0.45958,0.85854,154.48,3,3,Median,,,0.24564,2.1853,,,0.48643,5.8565,,,80.346,,0,0,2,1,0,0,2,1,Median,Median,Median,Median,0.0,0.0,2.3,1.0,271280000,130430000,140850000,0,0,0,0,0,0,99347000,86288000,13059000,171930000,44144000,127790000,,,,3065,1569;19808;26877,True;True;True,1780;22468;30375,4592;55602;75573,8868;105276;144560;144561,8868;105276;144561,,,,,-1;-1;-1,protein_3066,quanti,quanti,imputed MEC,imputed MEC
GCN1L1,1.30772399826825,0.00626530983607665,Q92616,Q92616,41,41,41,Translational activator GCN1,sp|Q92616|GCN1_HUMAN eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,1,41,41,41,9,11,32,28,9,11,32,28,9,11,32,28,21.6,21.6,21.6,292.75,2671,2671,0.0,104.52,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37291,0.84487,19.38,85,28,Leave out requantified,0.25055,0.34136,0.39775,0.37232,0.80198,0.78845,0.88204,0.79292,21.613,31.44,17.611,20.163,9,11,34,31,5,5,10,8,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,3.8,4.8,16.9,15.1,6164500000,4258200000,1906300000,179160000,129090000,50076000,291530000,197290000,94245000,3243300000,2217800000,1025500000,2450500000,1714100000,736420000,,,,3066,80;1138;1512;1520;1580;1672;1773;2366;3010;6576;6686;6845;7810;9003;10287;10429;11824;11995;13319;14698;14762;14777;15837;15863;16040;16343;16873;16902;18057;18831;19071;19460;20630;20878;21358;22512;24131;24467;24877;25130;26114,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,80;1261;1716;1724;1792;1894;2015;2673;3398;7310;7430;7603;8755;10131;11610;11779;13409;13656;15259;16812;16879;16897;18056;18083;18284;18619;19214;19256;20547;21406;21661;22082;23364;23635;24186;25441;27238;27618;28135;28431;29545,176;177;3259;3260;4426;4427;4445;4446;4625;4626;4923;4924;5245;5246;6982;6983;6984;6985;8819;8820;8821;8822;17973;17974;18283;18284;18700;21725;25223;25224;29018;29019;29020;29021;29470;29471;33413;34010;34011;37999;38000;38001;41900;41901;41902;42059;42060;42102;44928;44929;45000;45476;45477;45478;45479;46311;46312;46313;47739;47845;47846;51001;53100;53101;53714;53715;54675;54676;57749;58469;58470;59909;59910;59911;63136;67771;67772;68735;70102;70103;70847;73561;73562;73563;73564,290;291;292;293;294;6352;6353;6354;8571;8600;8601;8923;8924;9507;9508;10227;10228;10229;13708;13709;13710;13711;13712;13713;17247;17248;17249;17250;17251;17252;17253;17254;34229;34230;34231;34232;34897;34898;34899;34900;35809;41658;48375;48376;48377;55806;55807;55808;55809;55810;56697;56698;56699;56700;56701;64089;65142;65143;65144;72409;79839;79840;79841;80114;80115;80180;85357;85358;85359;85360;85361;85362;85363;85364;85365;85509;86365;86366;86367;86368;87980;87981;87982;90699;90870;90871;96754;96755;100691;100692;101815;103456;103457;103458;103459;109226;110672;110673;110674;113393;113394;113395;113396;119611;129316;129317;129318;129319;129320;131172;133886;133887;135377;140814;140815;140816;140817;140818;140819;140820;140821;140822,292;6352;8571;8601;8924;9507;10227;13710;17249;34232;34899;35809;41658;48375;55806;56697;64089;65143;72409;79840;80115;80180;85365;85509;86365;87981;90699;90871;96755;100692;101815;103456;109226;110673;113393;119611;129319;131172;133886;135377;140814,,,,,-1,protein_3067,quanti,quanti,quanti,quanti
