Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P35240;A0A5K1VW66;A0A5F9ZHA0,P35240;A0A5K1VW66,8;6;1,8;6;1,8;6;1,Merlin,NF2,sp|P35240|MERL_HUMAN Merlin OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1;tr|A0A5K1VW66|A0A5K1VW66_HUMAN Merlin (Fragment) OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1,8,8,17.1,4.09271599355779,3.98362812786341,28.9754981098033,25.6123992435267
O94916;J3KRL6;J3QKS5,O94916,20;5;1,20;5;1,20;5;1,Nuclear factor of activated T-cells 5,NFAT5,sp|O94916|NFAT5_HUMAN Nuclear factor of activated T-cells 5 OS=Homo sapiens OX=9606 GN=NFAT5 PE=1 SV=1,20,20,18.6,22.9659251659708,21.4194132888687,29.1373618187213,28.8372864987518
O95644;F5H4S8;K7ER53,O95644;F5H4S8;K7ER53,3;3;2,3;3;2,3;3;2,"Nuclear factor of activated T-cells, cytoplasmic 1",NFATC1,"sp|O95644|NFAC1_HUMAN Nuclear factor of activated T-cells, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=NFATC1 PE=1 SV=3;tr|F5H4S8|F5H4S8_HUMAN Nuclear factor of-activated T-cells, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=NFATC1 PE=1 SV=1;tr|K7ER53|K7ER53_HUMA",3,3,4.2,4.09271599355779,3.98362812786341,25.548367336073,24.0756149389409
A0A2R8Y7V8;U3KQE8;A0A1B0GWI9;U3KPY9;A0A1B0GU97;B1AKN7;B1AKN5;A0A0A0MRX8;A0A590UK09;A0A1B0GWJ4;Q5VW26;Q12857;A0A1B0GW37;S4R3K4;Q5VW27;A0A1B0GVN4;B1AKN8;A0A590UJ82;Q5W0Y9;A0A590UK73;B1AKN6;Q5VW30;A0A087WXP2;O00712;A0A286YEX4;P08651;S4R308;K7EN08;K7ESG9;K7EJB0;K7EKH0;C9JWJ8;Q14938;A0A1B0GTC1,A0A2R8Y7V8;U3KQE8;A0A1B0GWI9;U3KPY9;A0A1B0GU97;B1AKN7;B1AKN5;A0A0A0MRX8;A0A590UK09;A0A1B0GWJ4;Q5VW26;Q12857;A0A1B0GW37;S4R3K4;Q5VW27;A0A1B0GVN4;B1AKN8;A0A590UJ82;Q5W0Y9;A0A590UK73;B1AKN6;Q5VW30;A0A087WXP2;O00712,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,Nuclear factor 1;Nuclear factor 1 A-type;Nuclear factor 1 B-type,NFIB;NFIA,tr|A0A2R8Y7V8|A0A2R8Y7V8_HUMAN Nuclear factor 1 OS=Homo sapiens OX=9606 GN=NFIB PE=1 SV=1;tr|U3KQE8|U3KQE8_HUMAN Nuclear factor 1 OS=Homo sapiens OX=9606 GN=NFIB PE=1 SV=2;tr|A0A1B0GWI9|A0A1B0GWI9_HUMAN Nuclear factor 1 (Fragment) OS=Homo sapiens OX=9606 G,3,3,7.4,4.09271599355779,3.98362812786341,23.5808391198214,24.3165853762308
P19838;A0A494C1E9;A0A494C157;D6RF93;D6RH30;D6RC45,P19838;A0A494C1E9,14;8;5;4;3;2,14;8;5;4;3;2,14;8;5;4;3;2,Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit,NFKB1,sp|P19838|NFKB1_HUMAN Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens OX=9606 GN=NFKB1 PE=1 SV=2;tr|A0A494C1E9|A0A494C1E9_HUMAN Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens OX=9606 GN=NFKB1 PE=1 SV=1,14,14,20.6,4.09271599355779,3.98362812786341,27.8493583283658,27.7132561308314
Q00653,Q00653,26,26,26,Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit,NFKB2,sp|Q00653|NFKB2_HUMAN Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens OX=9606 GN=NFKB2 PE=1 SV=4,26,26,41.6,22.7642763368153,21.2768847941394,30.0228717135614,29.4778071096548
O00221;Q7LC14;H0Y4W4,O00221;Q7LC14,6;6;1,6;6;1,6;6;1,NF-kappa-B inhibitor epsilon,NFKBIE,sp|O00221|IKBE_HUMAN NF-kappa-B inhibitor epsilon OS=Homo sapiens OX=9606 GN=NFKBIE PE=1 SV=3;tr|Q7LC14|Q7LC14_HUMAN NF-kappa-B inhibitor epsilon OS=Homo sapiens OX=9606 GN=NFKBIE PE=1 SV=1,6,6,17.0,4.09271599355779,3.98362812786341,26.8837856342975,25.7517730659389
Q6P4R8;E9PQ59;E9PJU3;E9PJG2,Q6P4R8;E9PQ59,4;2;1;1,4;2;1;1,4;2;1;1,Nuclear factor related to kappa-B-binding protein,NFRKB,sp|Q6P4R8|NFRKB_HUMAN Nuclear factor related to kappa-B-binding protein OS=Homo sapiens OX=9606 GN=NFRKB PE=1 SV=2;tr|E9PQ59|E9PQ59_HUMAN Nuclear factor-related to kappa-B-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=NFRKB PE=1 SV=1,4,4,4.7,4.09271599355779,3.98362812786341,24.612680454186,23.9226141624051
Q8NBF2,Q8NBF2,8,8,8,NHL repeat-containing protein 2,NHLRC2,sp|Q8NBF2|NHLC2_HUMAN NHL repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=NHLRC2 PE=1 SV=1,8,8,17.6,4.09271599355779,3.98362812786341,27.7420116731693,27.6918560592302
Q0D2K0,Q0D2K0,3,3,3,Magnesium transporter NIPA4,NIPAL4,sp|Q0D2K0|NIPA4_HUMAN Magnesium transporter NIPA4 OS=Homo sapiens OX=9606 GN=NIPAL4 PE=1 SV=3,3,3,11.8,4.09271599355779,3.98362812786341,25.6658988395756,23.6859216410163
O15226,O15226,5,5,5,NF-kappa-B-repressing factor,NKRF,sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2,5,5,7.5,4.09271599355779,3.98362812786341,25.0924887575053,24.8240567431478
P30419;K7EN82;O60551;B7Z8J4;Q5VUC6,P30419,7;2;1;1;1,7;2;1;1;1,7;2;1;1;1,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,7,7,22.6,4.09271599355779,3.98362812786341,27.6207279270555,27.8933655106049
P40261,P40261,2,2,2,Nicotinamide N-methyltransferase,NNMT,sp|P40261|NNMT_HUMAN Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1,2,2,10.2,24.3496613163522,20.3644211063427,23.5617410286053,23.3459747514119
Q9ULX3;H3BUR4,Q9ULX3;H3BUR4,6;3,6;3,6;3,RNA-binding protein NOB1,NOB1,sp|Q9ULX3|NOB1_HUMAN RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1;tr|H3BUR4|H3BUR4_HUMAN RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1,6,6,20.9,4.09271599355779,3.98362812786341,25.4692373776756,25.6044464505217
Q9Y3T9,Q9Y3T9,2,2,2,Nucleolar complex protein 2 homolog,NOC2L,sp|Q9Y3T9|NOC2L_HUMAN Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,2,2,3.5,4.09271599355779,3.98362812786341,24.8432122203325,23.195083793373
Q8WTT2,Q8WTT2,3,3,3,Nucleolar complex protein 3 homolog,NOC3L,sp|Q8WTT2|NOC3L_HUMAN Nucleolar complex protein 3 homolog OS=Homo sapiens OX=9606 GN=NOC3L PE=1 SV=1,3,3,5.9,4.09271599355779,3.98362812786341,25.2703138642724,25.7728875987313
Q9BSC4,Q9BSC4,2,2,2,Nucleolar protein 10,NOL10,sp|Q9BSC4|NOL10_HUMAN Nucleolar protein 10 OS=Homo sapiens OX=9606 GN=NOL10 PE=1 SV=1,2,2,4.5,4.09271599355779,3.98362812786341,23.7887533751154,25.1563806271377
Q9H8H0;J3QR28;J3QLQ6;J3QKV1,Q9H8H0,8;3;2;1,8;3;2;1,8;3;2;1,Nucleolar protein 11,NOL11,sp|Q9H8H0|NOL11_HUMAN Nucleolar protein 11 OS=Homo sapiens OX=9606 GN=NOL11 PE=1 SV=1,8,8,14.3,4.09271599355779,3.98362812786341,26.2932843002892,26.2341983548719
Q76FK4;F5H101;F8WE42;F5GWN9;A0A0A0MSJ1;F5H532;F5H0I5;F5H8B8;F5GXV1;F5H7D5;F5H797;F5H692,Q76FK4;F5H101;F8WE42;F5GWN9,15;14;12;8;7;3;3;3;2;1;1;1,15;14;12;8;7;3;3;3;2;1;1;1,15;14;12;8;7;3;3;3;2;1;1;1,Nucleolar protein 8,NOL8,sp|Q76FK4|NOL8_HUMAN Nucleolar protein 8 OS=Homo sapiens OX=9606 GN=NOL8 PE=1 SV=1;tr|F5H101|F5H101_HUMAN Nucleolar protein 8 OS=Homo sapiens OX=9606 GN=NOL8 PE=1 SV=1;tr|F8WE42|F8WE42_HUMAN Nucleolar protein 8 (Fragment) OS=Homo sapiens OX=9606 GN=NOL8 PE,15,15,17.8,4.09271599355779,3.98362812786341,27.5264902843511,26.606961112367
Q14978;A0A0A0MRM9;S4R349;S4R402;S4R341,Q14978;A0A0A0MRM9;S4R349;S4R402;S4R341,4;4;3;2;2,4;4;3;2;2,4;4;3;2;2,Nucleolar and coiled-body phosphoprotein 1,NOLC1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1;tr|S4R349|S4R349_HUM,4,4,7.9,4.09271599355779,3.98362812786341,27.5795305919288,27.4598273120826
Q15233;H7C367;C9JYS8;C9IZL7;C9J4X2,Q15233;H7C367,19;10;9;7;3,19;10;9;7;3,18;9;9;6;3,Non-POU domain-containing octamer-binding protein,NONO,sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4;tr|H7C367|H7C367_HUMAN Non-POU domain-containing octamer-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=8,19,18,49.3,23.4475837163278,20.9643747144074,31.3385175881154,31.0987357898503
P46087;F5GWB7;F5H709;F5H5X6;F5GYR3;F5H359;F5H8G6,P46087,13;3;3;3;3;1;1,13;3;3;3;3;1;1,13;3;3;3;3;1;1,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,13,13,18.8,4.09271599355779,3.98362812786341,27.8251128044863,27.7156144395557
O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,9;8;6;6;2,9;8;6;6;2,9;8;6;6;2,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,9,9,21.2,20.6078359775901,20.2594162264681,26.8407416256092,25.7250483298509
Q9Y2X3;H7BZ72,Q9Y2X3;H7BZ72,4;2,4;2,4;2,Nucleolar protein 58,NOP58,sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1;tr|H7BZ72|H7BZ72_HUMAN Nucleolar protein 58 (Fragment) OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,4,4,11.0,4.09271599355779,3.98362812786341,25.2697076973675,22.7256308670811
Q9Y314;M0R3B2;A0A075B6F9;M0QX85;M0R1K2;A0A075B797,Q9Y314;M0R3B2;A0A075B6F9;M0QX85;M0R1K2;A0A075B797,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Nitric oxide synthase-interacting protein,NOSIP,sp|Q9Y314|NOSIP_HUMAN Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1;tr|M0R3B2|M0R3B2_HUMAN Nitric oxide synthase-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=8;tr|A0A075B6F9|A0A075B6F9_HUMAN,2,2,9.6,4.09271599355779,3.98362812786341,23.9816348676305,24.7946149682362
Q14207;H0YET3,Q14207,3;1,3;1,3;1,Protein NPAT,NPAT,sp|Q14207|NPAT_HUMAN Protein NPAT OS=Homo sapiens OX=9606 GN=NPAT PE=1 SV=3,3,3,2.5,4.09271599355779,3.98362812786341,24.7849931397979,23.8872533451935
O15118;K7EQ23,O15118;K7EQ23,2;1,2;1,2;1,Niemann-Pick C1 protein,NPC1,sp|O15118|NPC1_HUMAN NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2;tr|K7EQ23|K7EQ23_HUMAN NPC intracellular cholesterol transporter 1 (Fragment) OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=1,2,2,1.9,4.09271599355779,3.98362812786341,24.0935368469381,22.4460948538032
P55786;E9PLK3;H0YDG0;A6NEC2;H0YCQ5;E9PP11,P55786;E9PLK3,6;6;2;1;1;1,6;6;2;1;1;1,6;6;2;1;1;1,Puromycin-sensitive aminopeptidase,NPEPPS,sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;tr|E9PLK3|E9PLK3_HUMAN Aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1,6,6,8.5,25.7587016427588,22.360322921388,24.418411633764,22.8955974693262
Q8TAT6;I3L283;I3L3I1,Q8TAT6,7;1;1,7;1;1,7;1;1,Nuclear protein localization protein 4 homolog,NPLOC4,sp|Q8TAT6|NPL4_HUMAN Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3,7,7,13.7,4.09271599355779,3.98362812786341,26.3678636891635,26.6967054588916
P06748;E5RI98,P06748,10;3,10;3,9;3,Nucleophosmin,NPM1,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,10,9,44.6,23.6231027342434,22.1213615071444,32.1087077636831,32.0162773200526
P13056;A0A087WUK4,P13056;A0A087WUK4,3;3,3;3,3;3,Nuclear receptor subfamily 2 group C member 1,NR2C1,sp|P13056|NR2C1_HUMAN Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens OX=9606 GN=NR2C1 PE=1 SV=2;tr|A0A087WUK4|A0A087WUK4_HUMAN Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens OX=9606 GN=NR2C1 PE=1 SV=1,3,3,8.1,4.09271599355779,3.98362812786341,24.9628314183747,24.9907940400837
P49116;C9JKS0;C9J2Y1;C9JMI6;H7C3R1;H7C3L1,P49116;C9JKS0,4;3;1;1;1;1,4;3;1;1;1;1,4;3;1;1;1;1,Nuclear receptor subfamily 2 group C member 2,NR2C2,sp|P49116|NR2C2_HUMAN Nuclear receptor subfamily 2 group C member 2 OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1;tr|C9JKS0|C9JKS0_HUMAN Nuclear receptor subfamily 2 group C member 2 (Fragment) OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1,4,4,10.2,4.09271599355779,3.98362812786341,26.2057929511579,26.2745143709612
P04150;A0A494C0P1;D6RDA9;Q3MSN4,P04150;A0A494C0P1,11;10;5;5,11;10;5;5,11;10;5;5,Glucocorticoid receptor,NR3C1,sp|P04150|GCR_HUMAN Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1;tr|A0A494C0P1|A0A494C0P1_HUMAN Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1,11,11,18.1,4.09271599355779,3.98362812786341,27.0580665594075,27.2591661215015
Q96F24,Q96F24,6,6,6,Nuclear receptor-binding factor 2,NRBF2,sp|Q96F24|NRBF2_HUMAN Nuclear receptor-binding factor 2 OS=Homo sapiens OX=9606 GN=NRBF2 PE=1 SV=1,6,6,32.4,4.09271599355779,3.98362812786341,27.189144987279,26.9123936213384
Q9UHY1;F8W6G1;C9JHZ6,Q9UHY1;F8W6G1;C9JHZ6,2;2;1,2;2;1,2;2;1,Nuclear receptor-binding protein,NRBP1,sp|Q9UHY1|NRBP_HUMAN Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1;tr|F8W6G1|F8W6G1_HUMAN Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1;tr|C9JHZ6|C9JHZ6_HUMAN Nuclear receptor-binding protein (Fra,2,2,5.8,4.09271599355779,3.98362812786341,25.279694737471,24.9250165016557
P46459;I3L0N3;I3L2G1;I3L0L3;K7EQD6;I3L338;I3L4Q9,P46459;I3L0N3,12;12;2;2;2;1;1,12;12;2;2;2;1;1,12;12;2;2;2;1;1,Vesicle-fusing ATPase,NSF,sp|P46459|NSF_HUMAN Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3;tr|I3L0N3|I3L0N3_HUMAN Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=1,12,12,17.5,4.09271599355779,3.98362812786341,27.3666970668755,27.1040960880242
Q9UNZ2;F2Z2K0;R4GNE6;G3V4V8;R4GMY2,Q9UNZ2;F2Z2K0,18;13;4;2;2,18;13;4;2;2,18;13;4;2;2,NSFL1 cofactor p47,NSFL1C,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,18,18,68.6,23.3650622091711,21.7610603328041,28.8039356418187,28.6672938144007
Q9H0G5;A0A024QZ33;K7ERM9;K7EMD8;J3KT62;K7EK40;J3QLV5;J3QRI6,Q9H0G5;A0A024QZ33;K7ERM9,5;4;3;2;1;1;1;1,5;4;3;2;1;1;1;1,5;4;3;2;1;1;1;1,Nuclear speckle splicing regulatory protein 1,NSRP1;CCDC55,"sp|Q9H0G5|NSRP1_HUMAN Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens OX=9606 GN=NSRP1 PE=1 SV=1;tr|A0A024QZ33|A0A024QZ33_HUMAN Coiled-coil domain containing 55, isoform CRA_a OS=Homo sapiens OX=9606 GN=NSRP1 PE=1 SV=1;tr|K7ERM9|K7ERM9_HUMAN",5,5,12.0,4.09271599355779,3.98362812786341,26.0931942860815,25.3031274319361
Q08J23;A0A140T9Y7,Q08J23,8;1,8;1,8;1,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,sp|Q08J23|NSUN2_HUMAN RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,8,8,14.6,4.09271599355779,3.98362812786341,26.402772290835,25.9521152180942
P49902;Q5JUV4;REV__M0QX83;REV__H0YES7;Q5JUV6;H0YHR8;Q5JUV3;REV__F5GWJ3;REV__Q17RW3;REV__A0A1B0GW38,P49902,5;2;1;1;1;1;1;1;1;1,5;2;1;1;1;1;1;1;1;1,5;2;1;1;1;1;1;1;1;1,Cytosolic purine 5-nucleotidase,NT5C2,sp|P49902|5NTC_HUMAN Cytosolic purine 5-nucleotidase OS=Homo sapiens OX=9606 GN=NT5C2 PE=1 SV=1,5,5,10.5,23.6326739931023,22.12593934038,25.1064543150772,22.3260552729241
Q9H1E3,Q9H1E3,3,3,3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,NUCKS1,sp|Q9H1E3|NUCKS_HUMAN Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,3,3,14.4,4.09271599355779,3.98362812786341,26.8143338757973,24.9394368126575
Q9Y266;A0A0A0MSU9;A0A0A0MSS4,Q9Y266,29;11;8,29;11;8,29;11;8,Nuclear migration protein nudC,NUDC,sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,29,29,61.3,31.543930283955,29.6808011266516,30.5148394203996,30.2967974185757
Q96RS6;E5RGX7,Q96RS6,5;1,5;1,5;1,NudC domain-containing protein 1,NUDCD1,sp|Q96RS6|NUDC1_HUMAN NudC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NUDCD1 PE=1 SV=2,5,5,12.2,4.09271599355779,3.98362812786341,25.8557872490727,25.4864029652184
Q8WVJ2;E5RFP0,Q8WVJ2;E5RFP0,3;2,3;2,3;2,NudC domain-containing protein 2,NUDCD2,sp|Q8WVJ2|NUDC2_HUMAN NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1;tr|E5RFP0|E5RFP0_HUMAN NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1,3,3,29.3,24.2443063404441,21.676678751993,23.5168916987288,23.7996733208425
Q8IVD9,Q8IVD9,19,19,19,NudC domain-containing protein 3,NUDCD3,sp|Q8IVD9|NUDC3_HUMAN NudC domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NUDCD3 PE=1 SV=3,19,19,49.9,29.0983844210861,26.8396609101424,27.2782595813105,27.1019944195967
P50583,P50583,4,4,4,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical],NUDT2,sp|P50583|AP4A_HUMAN Bis(5-nucleosyl)-tetraphosphatase [asymmetrical] OS=Homo sapiens OX=9606 GN=NUDT2 PE=1 SV=3,4,4,27.2,4.09271599355779,3.98362812786341,26.2597408217034,26.2307582676581
O43809;H3BND3;H3BV41,O43809;H3BND3;H3BV41,8;6;5,8;6;5,8;6;5,Cleavage and polyadenylation specificity factor subunit 5,NUDT21,sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1;tr|H3BND3|H3BND3_HUMAN Cleavage and polyadenylation-specificity factor subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 S,8,8,38.3,4.09271599355779,3.98362812786341,28.0206217414806,27.3703604219024
Q9UKK9;A6NFX8;A6NJU6;A6NCQ0;H0YEY4;C9JYY9,Q9UKK9;A6NFX8;A6NJU6;A6NCQ0,9;9;7;5;3;2,9;9;7;5;3;2,9;9;7;5;3;2,ADP-sugar pyrophosphatase,NUDT5,sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NJU6|A6NJU6_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606,9,9,39.7,23.0881593444634,21.664455621002,29.3524551442997,29.2134058900053
Q7Z417,Q7Z417,15,15,15,Nuclear fragile X mental retardation-interacting protein 2,NUFIP2,sp|Q7Z417|NUFP2_HUMAN Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1,15,15,33.1,4.09271599355779,3.98362812786341,29.3676137780781,28.8662619765581
Q14980;A0A087WY61;H0YFY6;F5H4J1;F5H6Y5;K4DIE0;F5H3L6;F5H763;F5H0Z7;F5H2F3;F5GZW1;F5H1L0;F5H4Y4;F8W6T3;F5H068;F5H073;F5GWK2;F5GWA2;F5H7R5,Q14980;A0A087WY61;H0YFY6,24;24;12;9;7;6;4;4;4;4;4;2;1;1;1;1;1;1;1,24;24;12;9;7;6;4;4;4;4;4;2;1;1;1;1;1;1;1,24;24;12;9;7;6;4;4;4;4;4;2;1;1;1;1;1;1;1,Nuclear mitotic apparatus protein 1,NUMA1,sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2;tr|A0A087WY61|A0A087WY61_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1;tr|H0YFY6|H0YFY6_HUMAN Nuclear mitotic appara,24,24,14.6,4.09271599355779,3.98362812786341,28.0226336472547,27.8128661062353
P49757;G3V3Z8;G3V3R1;G3V3M5;G3V4S6;G3V433,P49757;G3V3Z8;G3V3R1,20;13;11;8;4;4,20;13;11;8;4;4,16;11;8;5;4;4,Protein numb homolog,NUMB,sp|P49757|NUMB_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2;tr|G3V3Z8|G3V3Z8_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=1;tr|G3V3R1|G3V3R1_HUMAN Protein numb homolog (Fragment) OS=Homo sapiens OX=9606 GN=NUMB,20,16,37.3,24.6164433981292,21.2973170889451,29.8801548169315,29.6153527334548
Q9Y6R0;A0A0C4DGH3;M0QXQ4;M0QYC2;M0R0Q4;M0QZV7,Q9Y6R0;A0A0C4DGH3;M0QXQ4;M0QYC2,14;14;9;9;5;5,10;10;6;6;4;4,10;10;6;6;4;4,Numb-like protein,NUMBL,sp|Q9Y6R0|NUMBL_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;tr|M0QXQ4|M0QXQ4_HUMAN Numb-like protein (Fragment) OS=Homo sapiens OX=9606 GN=NU,14,10,27.3,20.9521952199141,20.5635676233487,27.9598614437207,27.3141493684338
P57740,P57740,2,2,2,Nuclear pore complex protein Nup107,NUP107,sp|P57740|NU107_HUMAN Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,2,2,3.1,4.09271599355779,3.98362812786341,23.7089356787746,23.548043898107
Q8WUM0,Q8WUM0,19,19,19,Nuclear pore complex protein Nup133,NUP133,sp|Q8WUM0|NU133_HUMAN Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,19,19,22.1,4.09271599355779,3.98362812786341,27.7268290098335,27.516831600208
