Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
LASP1,-0.593566935800421,0.0521193860077364,Q14847;C9J9W2;F6S2S5;K7ESD6,Q14847;C9J9W2,8;6;2;1,8;6;2;1,8;6;2;1,LIM and SH3 domain protein 1,sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2;tr|C9J9W2|C9J9W2_HUMAN LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=1,4,8,8,8,5,4,6,7,5,4,6,7,5,4,6,7,37.5,37.5,37.5,29.717,261,261;166;91;71,0.0,69.905,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36836,1.0881,12.143,20,10,Leave out requantified,0.30222,0.41765,0.28731,0.39958,1.0936,1.2217,0.84944,1.1468,114.11,5.2717,20.092,15.043,5,4,5,6,3,3,2,2,Median,Median,Leave out requantified,Leave out requantified,23.8,18.4,26.1,30.7,1985800000,1337900000,647880000,442080000,254980000,187100000,401740000,268100000,133640000,403330000,305090000,98240000,738680000,509780000,228900000,,,,2222,5507;5833;10763;12837;14797;17277;17874;19580,True;True;True;True;True;True;True;True,6336;6732;12505;14856;17064;19842;20521;22497,15856;15857;15858;15859;15860;16905;16906;16907;16908;16909;31523;37305;37306;42743;42744;42745;49740;49741;49742;49743;51456;51457;56609;56610,29976;29977;29978;29979;29980;29981;29982;29983;29984;29985;29986;29987;31822;31823;31824;31825;31826;58963;69470;69471;69472;79336;79337;79338;92234;92235;92236;92237;92238;95745;95746;106014;106015;106016,29985;31822;58963;69471;79337;92235;95745;106014,,,,,-1;-1;-1;-1,protein_2223,quanti,quanti,quanti,quanti
KPNB1,-0.897352778767818,0.0138712989041441,Q14974;J3KTM9;J3QR48;J3QKQ5;J3KS06,Q14974;J3KTM9,29;19;9;4;1,29;19;9;4;1,29;19;9;4;1,Importin subunit beta-1,sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2;tr|J3KTM9|J3KTM9_HUMAN Importin subunit beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=1,5,29,29,29,17,21,24,23,17,21,24,23,17,21,24,23,36.9,36.9,36.9,97.169,876,876;690;148;248;22,0.0,250.93,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35558,0.99616,27.749,112,26,Leave out requantified,0.31163,0.37371,0.35035,0.37003,0.98262,1.085,0.93457,1.0243,30.961,16.167,35.449,56.267,22,28,34,28,6,6,9,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,19.6,25.7,33.3,35.0,13464000000,9471400000,3992100000,2729800000,1973500000,756320000,3259800000,2286900000,972990000,3421900000,2382700000,1039200000,4051900000,2828300000,1223600000,,,,2225,260;3224;3939;5235;6747;9472;9558;10923;11608;12154;12155;12703;14127;14395;14396;16553;16837;17559;18040;18202;18203;18294;18300;19185;19730;19821;20432;20433;21059,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,289;290;3709;4509;5989;7823;7824;11034;11139;11140;12702;12703;13483;14091;14092;14093;14707;14708;16306;16606;16607;19050;19051;19358;20171;20702;20881;20882;20883;20988;20995;20996;22032;22657;22753;23449;23450;23451;24140,705;706;707;708;709;710;711;712;713;9532;9533;11376;11377;14983;14984;19585;19586;27709;27973;27974;27975;27976;27977;27978;32017;32018;32019;32020;32021;32022;32023;33881;33882;35368;35369;35370;35371;35372;35373;35374;35375;35376;35377;35378;35379;36928;36929;36930;36931;36932;36933;40956;40957;40958;40959;40960;40961;41680;41681;47730;47731;47732;47733;48510;48511;48512;48513;50622;50623;50624;51918;51919;51920;51921;52420;52421;52422;52423;52424;52425;52426;52427;52428;52429;52712;52713;52714;52715;52727;52728;52729;52730;52731;52732;55436;55437;55438;55439;56999;57000;57228;57229;58971;58972;58973;58974;58975;58976;58977;58978;58979;58980;60671;60672,1293;1294;1295;1296;1297;1298;1299;1300;1301;1302;1303;1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;18157;18158;21440;21441;21442;21443;28231;36753;36754;36755;36756;36757;51834;52311;52312;52313;52314;52315;52316;52317;52318;52319;59875;59876;59877;59878;59879;59880;59881;59882;59883;59884;59885;59886;59887;59888;63254;65869;65870;65871;65872;65873;65874;65875;65876;65877;65878;65879;65880;65881;65882;65883;65884;68753;68754;68755;68756;68757;68758;68759;68760;68761;68762;68763;68764;68765;68766;68767;68768;76229;76230;76231;76232;76233;76234;76235;77559;77560;88296;88297;88298;88299;88300;88301;88302;89767;89768;89769;89770;94115;94116;94117;94118;94119;94120;94121;96621;96622;96623;96624;96625;96626;96627;96628;96629;96630;97632;97633;97634;97635;97636;97637;97638;97639;97640;97641;97642;97643;97644;97645;97646;97647;97648;97649;97650;97651;97652;97653;97654;97655;97656;97657;97658;98328;98329;98330;98331;98332;98333;98334;98335;98336;98337;98338;98339;98340;98341;98360;98361;98362;98363;98364;98365;98366;98367;98368;98369;98370;98371;98372;98373;103751;103752;103753;103754;103755;103756;103757;103758;106838;106839;106840;106841;107219;107220;110574;110575;110576;110577;110578;110579;110580;110581;110582;110583;110584;110585;110586;110587;110588;110589;110590;110591;113667;113668,1299;18157;21440;28231;36757;51834;52317;59883;63254;65876;65882;68758;76231;77559;77560;88299;89768;94120;96622;97645;97657;98329;98360;103753;106841;107220;110574;110586;113667,,207,,1,-1;-1;-1;-1;-1,protein_2226,quanti,quanti,quanti,quanti
EMC2,22.4334442592514,4.25622498201449e-08,Q15006;H0YAS9,Q15006,5;1,5;1,5;1,ER membrane protein complex subunit 2,sp|Q15006|EMC2_HUMAN ER membrane protein complex subunit 2 OS=Homo sapiens OX=9606 GN=EMC2 PE=1 SV=1,2,5,5,5,0,0,4,5,0,0,4,5,0,0,4,5,22.6,22.6,22.6,34.833,297,297;135,0.0,13.57,,,By MS/MS,By MS/MS,0.40981,1.1037,24.833,9,4,Leave out requantified,,,0.41215,0.46672,,,1.2624,1.3402,,,43.492,23.191,0,0,5,4,0,0,3,1,Median,Median,Median,Leave out requantified,0.0,0.0,17.8,22.6,636100000,436980000,199120000,0,0,0,0,0,0,269100000,183950000,85143000,367000000,253030000,113980000,,,,2229,1283;2251;7997;20608;21269,True;True;True;True;True,1473;1474;2578;9307;23640;24375,3805;3806;3807;6775;23440;23441;59426;59427;61269;61270,7100;7101;7102;7103;7104;12920;44261;44262;111370;111371;114770;114771,7103;12920;44261;111370;114770,,,,,-1;-1,protein_2230,quanti,quanti,imputed MEC,imputed MEC
PSMD6,-1.04134040280106,0.010580269539157,Q15008;C9J7B7;C9J0E9,Q15008;C9J7B7,3;2;1,3;2;1,3;2;1,26S proteasome non-ATPase regulatory subunit 6,sp|Q15008|PSMD6_HUMAN 26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1;tr|C9J7B7|C9J7B7_HUMAN 26S proteasome non-ATPase regulatory subunit 6 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,9.8,9.8,9.8,45.531,389,389;144;226,0.0,19.198,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31534,0.83432,36.076,9,3,Leave out requantified,0.57777,0.22835,0.33335,0.27272,1.9655,0.58771,1.0095,0.77778,142.29,52.944,18.25,21.601,2,2,3,2,1,0,2,0,Median,Median,Median,Median,7.5,7.5,6.7,6.7,652200000,493050000,159150000,132610000,98586000,34023000,176900000,136690000,40212000,164480000,117400000,47077000,178210000,140380000,37834000,,,,2230,4666;7487;14389,True;True;True,5341;5342;8712;16597,13391;13392;13393;21854;21855;41646;41647;41648;41649,25153;25154;25155;25156;25157;41131;41132;77450;77451;77452;77453;77454;77455;77456;77457;77458,25155;41132;77452,,,,,-1;-1;-1,protein_2231,quanti,quanti,quanti,quanti
SEPT2,0.771647125609359,0.0566030235055937,Q15019;B5MCX3;C9J2Q4;H7C2Y0;C9JB25;H7C310;C9J938;C9IZU3;C9IY94;C9JQJ4;B5MD47;C9JZI2;F8WB65;C9JFT1;A0A1B0GXJ2;C9JT15;C9JSE7;H7C1T1,Q15019;B5MCX3;C9J2Q4;H7C2Y0,15;14;9;8;7;7;6;6;5;5;3;2;2;2;2;1;1;1,15;14;9;8;7;7;6;6;5;5;3;2;2;2;2;1;1;1,15;14;9;8;7;7;6;6;5;5;3;2;2;2;2;1;1;1,Septin-2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C2Y0|H7C2Y,18,15,15,15,6,10,9,11,6,10,9,11,6,10,9,11,59.3,59.3,59.3,41.487,361,361;321;184;188;173;161;148;131;121;147;94;105;80;72;71;50;52;29,0.0,40.425,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37182,1.0154,23.782,42,8,Leave out requantified,0.31528,0.46065,0.38494,0.33517,0.97552,1.2301,1.0598,0.92839,17.132,13.249,13.375,24.104,6,10,14,12,0,1,3,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.9,42.7,41.3,46.3,2612300000,1856900000,755450000,195080000,143860000,51220000,353340000,246040000,107300000,942560000,673770000,268790000,1121400000,793200000,328150000,,,,2231,976;1995;6299;6300;7859;11704;12113;12114;13175;13261;16730;17440;17730;18927;19605,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1104;2290;7292;7293;9145;13585;14047;14048;15240;15343;19240;20030;20366;21701;22523,2832;2833;2834;2835;2836;6032;6033;6034;6035;6036;6037;6038;6039;18305;18306;18307;18308;23026;23027;34128;35263;35264;35265;35266;35267;35268;38203;38204;38205;38503;48214;48215;48216;48217;48218;50260;50261;51101;51102;54543;54544;54545;54546;56688;56689,5244;5245;5246;5247;5248;5249;5250;5251;5252;11520;11521;34387;34388;34389;34390;43446;43447;43448;43449;63631;65678;65679;65680;65681;65682;65683;65684;70969;70970;70971;71494;89166;89167;89168;89169;89170;89171;89172;89173;89174;89175;93406;93407;93408;93409;93410;93411;93412;95126;95127;101980;101981;101982;101983;106190;106191;106192;106193;106194,5244;11520;34388;34390;43448;63631;65681;65682;70969;71494;89174;93410;95127;101982;106193,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2232,quanti,quanti,quanti,quanti
EFTUD2,1.71376167970687,0.00189125040395822,Q15029;K7EP67;K7EJ74;K7EIT3,Q15029,32;11;6;1,30;9;4;1,30;9;4;1,116 kDa U5 small nuclear ribonucleoprotein component,sp|Q15029|U5S1_HUMAN 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,4,32,30,30,12,13,17,26,10,12,16,25,10,12,16,25,42.5,41.5,41.5,109.43,972,972;223;134;148,0.0,75.229,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28642,0.82326,63.856,64,18,Leave out requantified,0.47672,0.48942,0.32559,0.23264,1.3661,1.1659,0.83694,0.68016,75.712,96.342,18.85,18.978,9,12,17,26,2,4,4,8,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,15.4,16.7,25.4,36.9,5759600000,3803900000,1955700000,308970000,179610000,129360000,464230000,271560000,192670000,2458900000,1374100000,1084800000,2527500000,1978500000,548940000,,,,2234,593;3206;4557;4999;5561;5562;5653;5863;6036;6140;7244;7844;7853;8566;8770;9365;10243;10244;11249;12374;12384;13417;15225;15309;15647;16758;16990;17117;17386;19446;20253;20641,True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,657;3687;5212;5716;6400;6401;6402;6511;6768;6977;7105;8449;9129;9138;9139;9951;10187;10897;11919;11920;13073;14352;14362;15521;17550;17645;18019;19269;19523;19663;19963;22340;23254;23676,1653;9479;9480;13092;14320;16023;16024;16025;16026;16027;16028;16272;16273;16274;16987;16988;17530;17866;21196;21197;21198;21199;21200;22987;22988;22989;23012;23013;23014;23015;23016;25079;25638;27380;30004;30005;30006;32912;32913;32914;32915;36038;36062;36063;38948;38949;38950;38951;43876;43877;44101;44102;44103;44104;44105;44106;45009;45010;45011;48289;48933;49289;49290;49291;49292;50078;56218;56219;56220;56221;58484;58485;58486;58487;59516;59517,2979;2980;18046;18047;18048;24652;26867;30267;30268;30269;30270;30271;30272;30273;30274;30275;30276;30277;30278;30279;30280;30281;30282;30722;30723;30724;30725;30726;30727;30728;30729;31952;31953;31954;32948;32949;33598;39921;39922;39923;39924;39925;39926;39927;39928;43380;43381;43382;43383;43384;43422;43423;43424;43425;43426;43427;43428;43429;43430;43431;43432;43433;43434;47230;48355;51305;56134;56135;56136;56137;56138;56139;56140;61616;61617;67159;67187;72379;72380;72381;72382;72383;72384;72385;81201;81202;81203;81589;81590;81591;81592;81593;81594;81595;81596;83206;83207;83208;83209;83210;83211;83212;89296;89297;90606;90607;91320;91321;91322;91323;91324;91325;91326;91327;91328;91329;91330;91331;91332;91333;92944;105312;105313;105314;105315;105316;105317;109711;109712;109713;109714;109715;109716;109717;111524;111525;111526;111527;111528;111529;111530;111531;111532,2979;18046;24652;26867;30271;30282;30726;31954;32948;33598;39925;43384;43431;47230;48355;51305;56134;56137;61617;67159;67187;72382;81202;81594;83208;89296;90606;91329;92944;105317;109716;111530,,,,,-1;-1;-1;-1,protein_2235,quanti,quanti,quanti,quanti
LARS2,20.9540287363083,8.18992668658754e-07,Q15031;A0A499FJL2;A0A494C1E0;E9PHM2;C9JYR8,Q15031;A0A499FJL2;A0A494C1E0;E9PHM2,4;3;3;3;1,4;3;3;3;1,4;3;3;3;1,"Probable leucine--tRNA ligase, mitochondrial","sp|Q15031|SYLM_HUMAN Probable leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2;tr|A0A499FJL2|A0A499FJL2_HUMAN Probable leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=1;tr|A0A494C1E0|A0A494C1E0_HUM",5,4,4,4,0,0,2,4,0,0,2,4,0,0,2,4,6.3,6.3,6.3,101.97,903,903;575;596;860;114,0.0,4.4693,,,By MS/MS,By MS/MS,0.47605,1.1638,35.712,6,0,Leave out requantified,,,0.67751,0.46087,,,1.7355,1.1098,,,57.902,28.443,0,0,2,4,0,0,0,0,Median,Median,Median,Leave out requantified,0.0,0.0,3.5,6.3,285090000,174090000,111000000,0,0,0,0,0,0,89369000,47164000,42205000,195720000,126930000,68790000,,,,2235,5167;10814;11913;11957,True;True;True;True,5908;12573;13818;13868,14817;31684;31685;34682;34801;34802,27902;27903;59234;59235;64637;64852;64853,27903;59235;64637;64853,,,,,-1;-1;-1;-1;-1,protein_2236,quanti,quanti,imputed MEC,imputed MEC
KARS,-0.152808878481913,0.498980010812678,Q15046;H3BVA8;J3KRL2;H3BPV7;H3BRC9,Q15046,14;5;4;2;1,14;5;4;2;1,14;5;4;2;1,Lysine--tRNA ligase,sp|Q15046|SYK_HUMAN Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,5,14,14,14,5,6,9,10,5,6,9,10,5,6,9,10,27.3,27.3,27.3,68.047,597,597;256;102;104;76,0.0,35.791,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52329,1.3739,45.801,32,12,Leave out requantified,0.3966,0.40073,0.52274,0.53262,1.3639,1.1367,1.374,1.5124,18.949,13.925,31.731,50.533,5,6,10,11,3,2,4,3,Median,Leave out requantified,Leave out requantified,Leave out requantified,12.1,15.9,18.1,18.9,2196100000,1362900000,833230000,271310000,188660000,82653000,353430000,256510000,96927000,608460000,371000000,237460000,962920000,546740000,416190000,,,,2236,282;3583;7854;8142;10557;13062;13063;14318;14319;14978;18412;20055;20942;21207,True;True;True;True;True;True;True;True;True;True;True;True;True;True,316;4112;9140;9477;12260;15116;15117;16519;16520;17275;21122;23016;24011;24312,772;773;774;10472;10473;23017;23018;23019;23893;23894;30886;30887;37927;37928;37929;37930;37931;37932;41488;41489;41490;41491;41492;43219;43220;53021;57880;57881;57882;60357;60358;61135,1435;1436;1437;1438;19919;19920;19921;19922;19923;19924;19925;19926;19927;43435;43436;43437;43438;45073;45074;57813;57814;57815;57816;70503;70504;70505;70506;70507;70508;70509;70510;70511;70512;70513;70514;77180;77181;77182;77183;77184;77185;77186;77187;77188;80140;80141;80142;80143;80144;80145;98887;108490;108491;108492;108493;113056;113057;113058;113059;113060;114536,1437;19921;43437;45073;57813;70507;70514;77184;77187;80144;98887;108492;113060;114536,,,,,-1;-1;-1;-1;-1,protein_2237,quanti,quanti,quanti,quanti
RRS1,1.4684205695945,0.153357040423694,Q15050,Q15050,6,6,6,Ribosome biogenesis regulatory protein homolog,sp|Q15050|RRS1_HUMAN Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,1,6,6,6,1,1,5,5,1,1,5,5,1,1,5,5,27.4,27.4,27.4,41.193,365,365,0.0,6.4082,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.81841,1.8713,16.613,14,1,Leave out requantified,0.56246,0.62734,0.8353,0.71009,1.4932,1.8375,2.0677,1.9009,,,17.817,55.659,1,1,6,6,0,0,0,1,Median,Median,Leave out requantified,Leave out requantified,6.3,6.3,23.8,22.7,699580000,396250000,303330000,19038000,10554000,8484900,93469000,58021000,35448000,212560000,113320000,99249000,374510000,214360000,160150000,,,,2237,2540;3145;11419;12688;13197;17758,True;True;True;True;True;True,2915;3623;13265;14692;15273;20396,7636;7637;9354;33369;33370;36885;36886;36887;36888;38309;38310;38311;38312;51177,14652;17844;17845;62381;68683;68684;68685;68686;71166;71167;71168;71169;71170;71171;95249,14652;17844;62381;68684;71169;95249,,,,,-1,protein_2238,quanti,quanti,quanti,quanti
EIF4H,-0.155240225745622,0.509715512289191,Q15056,Q15056,4,4,4,Eukaryotic translation initiation factor 4H,sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,1,4,4,4,2,2,4,3,2,2,4,3,2,2,4,3,26.2,26.2,26.2,27.385,248,248,0.0,7.7262,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50842,1.5595,17.852,13,1,Leave out requantified,0.4451,0.51315,0.47485,0.51987,1.619,1.4961,1.2752,1.3379,12.756,10.745,25.185,16.15,3,3,4,3,0,0,0,1,Median,Median,Leave out requantified,Median,11.3,11.3,26.2,19.0,1044300000,682140000,362180000,154090000,101070000,53021000,195850000,123270000,72576000,312550000,210210000,102330000,381840000,247590000,134250000,,,,2238,350;6357;16189;18090,True;True;True;True,394;7351;18649;20755,976;977;978;18439;18440;46692;46693;46694;46695;46696;46697;52078;52079,1825;1826;34589;34590;86397;86398;86399;86400;86401;86402;86403;86404;96927;96928;96929;96930;96931,1826;34590;86397;96931,,,,,-1,protein_2239,quanti,quanti,quanti,quanti
WDR43,4.4822641624509,0.00339561985361233,Q15061;C9IZK7;C9JEE7,Q15061;C9IZK7,8;4;1,8;4;1,8;4;1,WD repeat-containing protein 43,sp|Q15061|WDR43_HUMAN WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3;tr|C9IZK7|C9IZK7_HUMAN WD repeat-containing protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=1,3,8,8,8,2,1,8,8,2,1,8,8,2,1,8,8,22.0,22.0,22.0,74.89,677,677;187;147,0.0,17.304,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42967,1.1236,28.706,23,8,Leave out requantified,0.73256,0.20839,0.41449,0.43267,2.0875,0.40031,1.1338,1.1779,98.176,,27.257,31.964,2,1,10,10,0,1,4,3,Median,Median,Leave out requantified,Leave out requantified,5.6,1.2,22.0,22.0,2410900000,1684700000,726190000,47611000,26679000,20931000,12422000,8745500,3676700,796440000,548590000,247850000,1554400000,1100700000,453740000,,,,2239,96;2860;9312;10481;11068;12392;18396;19505,True;True;True;True;True;True;True;True,102;3287;10832;12173;12174;12876;14370;21104;22411,236;237;8560;8561;27202;27203;30661;30662;30663;30664;30665;32466;32467;32468;32469;32470;36085;36086;52977;52978;52979;56407;56408,409;410;411;412;413;414;16380;16381;51017;51018;51019;51020;57383;57384;57385;57386;60870;60871;60872;60873;60874;60875;60876;60877;60878;67231;98783;98784;98785;105665;105666,414;16381;51017;57385;60876;67231;98785;105666,,,,,-1;-1;-1,protein_2240,quanti,quanti,quanti,quanti
EEA1,1.412571813495,0.030423948399787,Q15075,Q15075,6,6,6,Early endosome antigen 1,sp|Q15075|EEA1_HUMAN Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,1,6,6,6,1,2,3,4,1,2,3,4,1,2,3,4,5.0,5.0,5.0,162.46,1411,1411,0.0,11.671,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40666,0.94404,57.261,9,4,Leave out requantified,0.30064,0.69674,0.38103,0.24429,0.71988,1.5747,0.91965,0.56441,,26.613,4.9399,43.882,1,2,3,3,0,0,2,2,Median,Median,Median,Median,0.6,1.6,2.2,3.5,319640000,243000000,76640000,15540000,10758000,4782500,43464000,24276000,19189000,96861000,68994000,27867000,163770000,138970000,24802000,,,,2240,5371;8267;8283;11674;11843;19899,True;True;True;True;True;True,6150;9611;9629;13554;13740;22839,15356;24235;24236;24277;34045;34491;34492;57433;57434;57435,28932;45671;45672;45728;63496;63497;63498;64290;64291;107576;107577;107578,28932;45672;45728;63497;64291;107576,,,,,-1,protein_2241,quanti,quanti,quanti,quanti
