DDB2_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
MAGEA4,-0.2429873788,0.124009932246036,0,P43358;P43361;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43363;P43355;P43362;O15480;Q96M61;A8MXT2;Q3SYA6,P43358,16;5;5;5;5;5;3;2;2;1;1;1;1,16;5;5;5;5;5;3;2;2;1;1;1;1,15;4;5;5;5;5;2;1;2;0;0;0;0,Melanoma-associated antigen 4,MAGEA4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,16,15,37.2,687
MAGEB2,-0.0898672438,0.515652769670812,0,O15479;O15481;Q96LZ2;Q9UBF1,O15479,4;1;1;1,4;1;1;1,3;0;0;0,Melanoma-associated antigen B2,MAGEB2,sp|O15479|MAGB2_HUMAN Melanoma-associated antigen B2 OS=Homo sapiens OX=9606 GN=MAGEB2 PE=1 SV=3,4,3,13.2,425
MAGED2,-0.6065007888,0.0584067309868853,0,Q9UNF1;Q5H909;Q5H907,Q9UNF1;Q5H909;Q5H907,7;7;5,7;7;5,7;7;5,Melanoma-associated antigen D2,MAGED2,"sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform ",7,7,16.2,547
MAGOH,-0.1212949552,0.474164235817849,0,P61326,P61326,5,1,1,Protein mago nashi homolog,MAGOH,sp|P61326|MGN_HUMAN Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1,5,1,45.9,1058
MAP4,0.3515276056,0.170043530783189,0,E7EVA0;P27816;H0Y2V1;H7C4C5;F8W9U4;B5MEG9;H7C456;A0A0J9YVV8;A0A0J9YW37,E7EVA0;P27816,17;14;7;7;7;6;2;1;1,17;14;7;7;7;6;2;1;1,17;14;7;7;7;6;2;1;1,Microtubule-associated protein;Microtubule-associated protein 4,MAP4,tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1;sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,17,17,11.7,491
MAPK1,0.0267934851,0.952942600465696,0,P28482;E9PJF0;E9PQW4,P28482,10;3;3,10;3;3,7;0;0,Mitogen-activated protein kinase 1,MAPK1,sp|P28482|MK01_HUMAN Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,10,7,38.1,353
MATR3,-0.2204554234,0.202030786852732,0,P43243;A8MXP9;A0A0R4J2E8;D6REM6;B3KM87;D6R991;H0Y8T4;Q68E03;D6R8Z5;D6RBK5;D6REK4;D6RCM3;D6RBI2;D6RE02;D6RIA2;D6RBS2;D6R9F3;D6RB45;D6RAY2;D6RAM9,P43243;A8MXP9;A0A0R4J2E8;D6REM6;B3KM87;D6R991,27;27;27;23;15;15;11;6;5;4;4;4;3;3;3;3;3;3;2;2,27;27;27;23;15;15;11;6;5;4;4;4;3;3;3;3;3;3;2;2,24;24;24;20;15;12;11;4;2;4;1;1;3;3;3;0;0;0;2;2,Matrin-3,MATR3,sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2;tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|A0A0R4J2E8|A0A0R4J2E8_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|D6REM6|D6REM6_HUMAN M,27,24,38.7,453
MCCC2,-0.4199561538,0.583241606706283,0,Q9HCC0;D6RD67;A0A0G2JM88;D6R9R1;D6RDF7,Q9HCC0;D6RD67,4;2;1;1;1,4;2;1;1;1,4;2;1;1;1,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,"sp|Q9HCC0|MCCB_HUMAN Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1;tr|D6RD67|D6RD67_HUMAN Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=2",4,4,8.9,1130
MCM2,-0.5787830682,0.0644397552782228,0,P49736;H0Y8E6,P49736;H0Y8E6,24;23,24;23,24;23,DNA replication licensing factor MCM2,MCM2,sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4;tr|H0Y8E6|H0Y8E6_HUMAN DNA helicase (Fragment) OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=1,24,24,29.5,707
MCM3,-0.5020824645,0.0758344579557871,0,P25205;J3KQ69;A0A499FHX9;Q7Z6P5,P25205;J3KQ69;A0A499FHX9,20;13;13;3,20;13;13;3,20;13;13;3,DNA replication licensing factor MCM3,MCM3,sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|J3KQ69|J3KQ69_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3;tr|A0A499FHX9|A0A499FHX9_HUMAN DNA replication licen,20,20,26,451
MCM4,-0.2896121773,0.210754493066973,0,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8;Q9UJA3;A0A3B3ISC1;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,28;28;28;23;22;19;6;1;1;1,28;28;28;23;22;19;6;1;1;1,28;28;28;23;22;19;6;1;1;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,28,28,41.8,216
MCM5,-0.5772947263,0.059529179463474,0,P33992;B1AHB1;B1AHB2;B1AHA9;F8WFD7,P33992;B1AHB1,24;23;6;5;1,24;23;6;5;1,24;23;6;5;1,DNA replication licensing factor MCM5;DNA helicase,MCM5,sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5;tr|B1AHB1|B1AHB1_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=1,24,24,39.8,243
MCM6,-0.2831113046,0.276122568452713,0,Q14566,Q14566,27,27,27,DNA replication licensing factor MCM6,MCM6,sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,27,27,35.6,432
MCM7,-0.7728178079,0.0587183496173188,0,P33993;C9J8M6,P33993,26;6,26;6,26;6,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,26,26,49.8,166
MDH1,0.2289817539,0.533896038470725,0,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51;C9JRL4,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51,13;12;9;9;7;6,13;12;9;9;7;6,11;10;9;7;7;4,"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase",MDH1,"sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;tr|A0A5K1VW95|A0A5K1VW95_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1;tr|B9A041|B9A041_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo ",13,11,39.2,212
MDH2,-0.0796847756,0.64887825865716,0,P40926;G3XAL0,P40926;G3XAL0,33;25,33;25,33;25,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",MDH2,"sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;tr|G3XAL0|G3XAL0_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=1",33,33,75.7,225
ME2,0.1124636487,0.43362385348142,0,P23368;A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQY8;A0A1W2PQF8;A0A1W2PQH3;A0A1W2PQ37;A0A1W2PR68;A0A1W2PRH1;A0A1W2PRS2;A0A1W2PRY9;A0A1W2PQH4,P23368;A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQY8;A0A1W2PQF8;A0A1W2PQH3;A0A1W2PQ37;A0A1W2PR68,9;9;9;9;8;8;7;7;1;1;1;1,9;9;9;9;8;8;7;7;1;1;1;1,9;9;9;9;8;8;7;7;1;1;1;1,"NAD-dependent malic enzyme, mitochondrial",ME2,"sp|P23368|MAOM_HUMAN NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1;tr|A0A1W2PQT3|A0A1W2PQT3_HUMAN Malic enzyme OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1;tr|A0A1W2PPH1|A0A1W2PPH1_HUMAN Malic enzyme OS=Homo sapiens OX=9606",9,9,18.3,256
MED20,-2.9058740376,9.88384289589978e-05,1,Q9H944;B7ZBQ3;B7ZBQ1;A6PVP4,Q9H944;B7ZBQ3;B7ZBQ1;A6PVP4,2;2;1;1,2;2;1;1,2;2;1;1,Mediator of RNA polymerase II transcription subunit 20,MED20,sp|Q9H944|MED20_HUMAN Mediator of RNA polymerase II transcription subunit 20 OS=Homo sapiens OX=9606 GN=MED20 PE=1 SV=1;tr|B7ZBQ3|B7ZBQ3_HUMAN Mediator of RNA polymerase II transcription subunit 20 OS=Homo sapiens OX=9606 GN=MED20 PE=1 SV=1;tr|B7ZBQ1|B7ZBQ,2,2,11.8,808
METAP1,0.1361842912,0.472002334137323,0,P53582;H0Y955;H0Y903,P53582;H0Y955,5;4;2,5;4;2,5;4;2,Methionine aminopeptidase 1,METAP1,sp|P53582|MAP11_HUMAN Methionine aminopeptidase 1 OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=2;tr|H0Y955|H0Y955_HUMAN Methionine aminopeptidase 1 (Fragment) OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=1,5,5,17.6,132
MFI2,0.0037874384,0.978397648250488,0,P08582;C9JVN1,P08582,4;1,4;1,4;1,Melanotransferrin,MFI2,sp|P08582|TRFM_HUMAN Melanotransferrin OS=Homo sapiens OX=9606 GN=MELTF PE=1 SV=2,4,4,7.6,553
MGST3,-0.1442690497,0.641449448672089,0,O14880;Q5VV87;Q5VV89,O14880;Q5VV87;Q5VV89,2;2;2,2;2;2,2;2;2,Microsomal glutathione S-transferase 3,MGST3,sp|O14880|MGST3_HUMAN Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1;tr|Q5VV87|Q5VV87_HUMAN Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1;tr|Q5VV89|Q5VV89_HUMAN Microsomal glutathione S,2,2,24.3,263
MIF,-0.1132086748,0.426296075424659,0,P14174,P14174,6,6,6,Macrophage migration inhibitory factor,MIF,sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,6,6,45.2,255
MLEC,0.1627786399,0.371046739880405,0,Q14165;F5H1S8;F5GX14;H0YG07,Q14165;F5H1S8;F5GX14,3;2;2;1,3;2;2;1,3;2;2;1,Malectin,MLEC,sp|Q14165|MLEC_HUMAN Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;tr|F5H1S8|F5H1S8_HUMAN Malectin (Fragment) OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;tr|F5GX14|F5GX14_HUMAN Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1,3,3,14,1051
MLH1,-0.606837409,0.00813200835718363,0,P40692;A0A669KB03;A0A669KBB4;A0A669KBK2;F2Z298;E9PF25;H0Y818;A0A669KAW3;H0Y5L7,P40692;A0A669KB03;A0A669KBB4;A0A669KBK2;F2Z298;E9PF25;H0Y818;A0A669KAW3,3;3;3;3;2;2;2;2;1,3;3;3;3;2;2;2;2;1,3;3;3;3;2;2;2;2;1,DNA mismatch repair protein Mlh1,MLH1,sp|P40692|MLH1_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1;tr|A0A669KB03|A0A669KB03_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=4 SV=1;tr|A0A669KBB4|A0A669KBB4_HUMAN DNA mismatch repair pro,3,3,4.6,577
MMGT1,-0.2269711284,0.422948799827408,0,Q8N4V1,Q8N4V1,2,2,2,Membrane magnesium transporter 1,MMGT1,sp|Q8N4V1|MMGT1_HUMAN Membrane magnesium transporter 1 OS=Homo sapiens OX=9606 GN=MMGT1 PE=1 SV=1,2,2,26.7,483
MOGS,-0.0375047575,0.847806460471124,0,Q13724;A0A3B3IRK6;A0A3B3IRW2;A0A3B3IS52;C9JDQ1;A0A3B3ITC1,Q13724;A0A3B3IRK6;A0A3B3IRW2;A0A3B3IS52,6;6;5;3;1;1,6;6;5;3;1;1,6;6;5;3;1;1,Mannosyl-oligosaccharide glucosidase,MOGS,sp|Q13724|MOGS_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5;tr|A0A3B3IRK6|A0A3B3IRK6_HUMAN Mannosyl-oligosaccharide glucosidase (Fragment) OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=1;tr|A0A3B3IRW2|A0A3B3IRW2_HUMAN Mann,6,6,10.3,475
MPST,0.3603419591,0.204585755745674,0,P25325;B1AH49,P25325;B1AH49,4;4,4;4,4;4,3-mercaptopyruvate sulfurtransferase;Sulfurtransferase,MPST,sp|P25325|THTM_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=3;tr|B1AH49|B1AH49_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=1,4,4,13.8,211
MRC2,-0.3807339108,0.201178597832005,0,Q9UBG0,Q9UBG0,5,5,5,C-type mannose receptor 2,MRC2,sp|Q9UBG0|MRC2_HUMAN C-type mannose receptor 2 OS=Homo sapiens OX=9606 GN=MRC2 PE=1 SV=2,5,5,4.7,209
MRE11A,-0.3436465662,0.0993696173821502,0,P49959;F8W7U8;F5GXT0;F5H742;F5H256,P49959;F8W7U8;F5GXT0,5;5;3;1;1,5;5;3;1;1,5;5;3;1;1,Double-strand break repair protein MRE11A,MRE11A,sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3;tr|F8W7U8|F8W7U8_HUMAN Double-strand break repair protein OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=1;tr|F5GXT0|F5GXT0_HUMAN Double-strand break repair,5,5,9.6,531
MRPL1,0.6564194102,0.435396999540247,0,Q9BYD6;H0Y8N7,Q9BYD6;H0Y8N7,3;2,3;2,3;2,"39S ribosomal protein L1, mitochondrial",MRPL1,"sp|Q9BYD6|RM01_HUMAN 39S ribosomal protein L1, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=2;tr|H0Y8N7|H0Y8N7_HUMAN 39S ribosomal protein L1, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=1",3,3,9.8,723
MRPL11,0.8381098818,0.0146255805663913,0,Q9Y3B7;E9PQB6,Q9Y3B7;E9PQB6,4;2,4;2,4;2,"39S ribosomal protein L11, mitochondrial",MRPL11,"sp|Q9Y3B7|RM11_HUMAN 39S ribosomal protein L11, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL11 PE=1 SV=1;tr|E9PQB6|E9PQB6_HUMAN 39S ribosomal protein L11, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL11 PE=1 SV=1",4,4,35.9,1264
MRPL13,0.4849867706,0.0652591326785984,0,Q9BYD1;E5RFI2,Q9BYD1,3;1,3;1,1;1,"39S ribosomal protein L13, mitochondrial",MRPL13,"sp|Q9BYD1|RM13_HUMAN 39S ribosomal protein L13, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL13 PE=1 SV=1",3,1,21.3,437
MRPL15,0.3962736912,0.0419166283677424,0,Q9P015;E5RHF4;E5RIZ4,Q9P015;E5RHF4;E5RIZ4,9;7;7,9;7;7,9;7;7,"39S ribosomal protein L15, mitochondrial",MRPL15,"sp|Q9P015|RM15_HUMAN 39S ribosomal protein L15, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL15 PE=1 SV=1;tr|E5RHF4|E5RHF4_HUMAN 39S ribosomal protein L15, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL15 PE=1 SV=1;tr|E5RIZ4|E5RIZ4_HUMAN 39S ribo",9,9,30.4,223
MRPL2,0.8221406155,0.0422136424951597,0,Q5T653;A0A669KAX9;C9IY40,Q5T653;A0A669KAX9;C9IY40,3;3;2,3;3;2,3;3;2,"39S ribosomal protein L2, mitochondrial",MRPL2,"sp|Q5T653|RM02_HUMAN 39S ribosomal protein L2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL2 PE=1 SV=2;tr|A0A669KAX9|A0A669KAX9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|C9IY40|C9IY40_HUMAN 39S ribosomal protein L2, mit",3,3,14.4,245
MRPL39,0.4113035179,0.0813525201270232,0,Q9NYK5;C9JG87,Q9NYK5;C9JG87,6;5,6;5,6;5,"39S ribosomal protein L39, mitochondrial",MRPL39,"sp|Q9NYK5|RM39_HUMAN 39S ribosomal protein L39, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL39 PE=1 SV=3;tr|C9JG87|C9JG87_HUMAN 39S ribosomal protein L39, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL39 PE=1 SV=1",6,6,18.6,214
MRPL41,0.0911049848,0.524326660568624,0,Q8IXM3,Q8IXM3,2,2,2,"39S ribosomal protein L41, mitochondrial",MRPL41,"sp|Q8IXM3|RM41_HUMAN 39S ribosomal protein L41, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL41 PE=1 SV=1",2,2,12.4,318
MRPL43,0.086839684,0.866634923054389,0,Q8N983;H0Y6Y8;B1AL05;H0YBU8;M0R051,Q8N983;H0Y6Y8;B1AL05;H0YBU8,5;5;5;3;2,5;5;5;3;2,5;5;5;3;2,"39S ribosomal protein L43, mitochondrial",MRPL43,"sp|Q8N983|RM43_HUMAN 39S ribosomal protein L43, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1;tr|H0Y6Y8|H0Y6Y8_HUMAN 39S ribosomal protein L43, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1;tr|B1AL05|B1AL05_HUMAN 39S ribo",5,5,27.4,417
MRPL46,-0.1604877929,0.309970527178668,0,Q9H2W6,Q9H2W6,2,2,2,"39S ribosomal protein L46, mitochondrial",MRPL46,"sp|Q9H2W6|RM46_HUMAN 39S ribosomal protein L46, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL46 PE=1 SV=1",2,2,7.2,592
MRPS17;hCG_1984214,0.0945785243,0.494720277259544,0,Q9Y2R5;E9PE17;I3L0E3,Q9Y2R5;E9PE17;I3L0E3,2;2;2,2;2;2,2;2;2,"28S ribosomal protein S17, mitochondrial",MRPS17;hCG_1984214,"sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|E9PE17|E9PE17_HUMAN 28S ribosomal protein S17, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|I3L0E3|I3L0E3_HUMAN HCG19842",2,2,22.3,241
MRPS2,-0.3134682275,0.131219224983051,0,Q9Y399;Q5T8A0,Q9Y399;Q5T8A0,5;4,5;4,5;4,"28S ribosomal protein S2, mitochondrial",MRPS2,"sp|Q9Y399|RT02_HUMAN 28S ribosomal protein S2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS2 PE=1 SV=1;tr|Q5T8A0|Q5T8A0_HUMAN 28S ribosomal protein S2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS2 PE=1 SV=1",5,5,19.9,264
MRPS22,0.5319812067,0.0247600162647059,0,P82650;G5E9W7;G5E9V5;H7C5L9;H7C5H3;H7C5F2,P82650;G5E9W7;G5E9V5;H7C5L9,9;9;9;8;4;2,9;9;9;8;4;2,9;9;9;8;4;2,"28S ribosomal protein S22, mitochondrial",MRPS22,"sp|P82650|RT22_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9W7|G5E9W7_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9V5|G5E9V5_HUMAN 28S ribosomal prote",9,9,20.6,239
MRPS23,-0.3835434132,0.111655562591124,0,Q9Y3D9;J3QLR8,Q9Y3D9;J3QLR8,5;5,5;5,5;5,"28S ribosomal protein S23, mitochondrial",MRPS23,"sp|Q9Y3D9|RT23_HUMAN 28S ribosomal protein S23, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS23 PE=1 SV=2;tr|J3QLR8|J3QLR8_HUMAN 28S ribosomal protein S23, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS23 PE=1 SV=1",5,5,18.4,263
MRPS28,-0.8459289833,0.0910344906954738,0,Q9Y2Q9;H0YAT2;E5RGC7;H7C5V3;E5RFH3;U3KQQ8;E5RFT8;E5RK86,Q9Y2Q9;H0YAT2;E5RGC7;H7C5V3,5;4;3;3;2;1;1;1,3;2;2;1;2;0;1;1,3;2;2;1;2;0;1;1,"28S ribosomal protein S28, mitochondrial",MRPS28,"sp|Q9Y2Q9|RT28_HUMAN 28S ribosomal protein S28, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS28 PE=1 SV=1;tr|H0YAT2|H0YAT2_HUMAN 28S ribosomal protein S28, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS28 PE=1 SV=1;tr|E5RGC7|E5RGC7_HUMAN 28S ribo",5,3,39.6,727
MRPS30,0.264228618,0.169628687104841,0,Q9NP92,Q9NP92,2,2,2,"28S ribosomal protein S30, mitochondrial",MRPS30,"sp|Q9NP92|RT30_HUMAN 39S ribosomal protein S30, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS30 PE=1 SV=2",2,2,6.2,360
MRPS35,0.3491914118,0.503404007209026,0,P82673;H0YG82,P82673;H0YG82,2;1,2;1,2;1,"28S ribosomal protein S35, mitochondrial",MRPS35,"sp|P82673|RT35_HUMAN 28S ribosomal protein S35, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS35 PE=1 SV=1;tr|H0YG82|H0YG82_HUMAN 28S ribosomal protein S35, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS35 PE=1 SV=1",2,2,11.5,519
MRPS5,0.1579976061,0.490172574920419,0,P82675,P82675,3,3,3,"28S ribosomal protein S5, mitochondrial",MRPS5,"sp|P82675|RT05_HUMAN 28S ribosomal protein S5, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS5 PE=1 SV=2",3,3,10,623
MRPS7,-0.0960312775,0.646792179509766,0,Q9Y2R9;J3KSI8;J3QQS1;J3QLS3;J3QKW2,Q9Y2R9;J3KSI8;J3QQS1;J3QLS3,5;5;5;5;1,5;5;5;5;1,5;5;5;5;1,"28S ribosomal protein S7, mitochondrial",MRPS7,"sp|Q9Y2R9|RT07_HUMAN 28S ribosomal protein S7, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS7 PE=1 SV=2;tr|J3KSI8|J3KSI8_HUMAN 28S ribosomal protein S7, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS7 PE=1 SV=1;tr|J3QQS1|J3QQS1_HUMAN 28S ribosoma",5,5,15.7,261
MRPS9,0.6134207989,0.0259491693171438,0,P82933,P82933,6,6,6,"28S ribosomal protein S9, mitochondrial",MRPS9,"sp|P82933|RT09_HUMAN 28S ribosomal protein S9, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS9 PE=1 SV=2",6,6,21,224
MRTO4,0.060694359,0.812076677499113,0,Q9UKD2,Q9UKD2,6,6,6,mRNA turnover protein 4 homolog,MRTO4,sp|Q9UKD2|MRT4_HUMAN mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2,6,6,31.4,214
MSH2,0.1065127454,0.825356023241717,0,P43246;A0A2R8Y7S8;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02,P43246;A0A2R8Y7S8;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02,9;8;8;8;8;8,9;8;8;8;8;8,9;8;8;8;8;8,DNA mismatch repair protein Msh2,MSH2,sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8Y7S8|A0A2R8Y7S8_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8YFH0|A0A2R8YFH0_HUMAN DNA mismatch repair pro,9,9,12.7,256
MSH6,0.3284359187,0.0843297061921225,0,P52701;A0A494C0M1;A0A087WWJ1;F8WAX8;C9JH55;C9J8Y8;C9J7Y7;F8W7G9,P52701;A0A494C0M1;A0A087WWJ1,10;8;7;4;2;2;2;1,10;8;7;4;2;2;2;1,10;8;7;4;2;2;2;1,DNA mismatch repair protein Msh6,MSH6,sp|P52701|MSH6_HUMAN DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2;tr|A0A494C0M1|A0A494C0M1_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=1;tr|A0A087WWJ1|A0A087WWJ1_HUMAN DNA mismatch repair protein ,10,10,12.9,168
MSN,0.0028474217,0.98416175356707,0,P26038;V9GZ54,P26038,42;10,42;10,30;7,Moesin,MSN,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,42,30,63.1,165
