Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q96AY4;A0A087WW06,Q96AY4;A0A087WW06,6;6,6;6,6;6,Tetratricopeptide repeat protein 28,TTC28,sp|Q96AY4|TTC28_HUMAN Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=4;tr|A0A087WW06|A0A087WW06_HUMAN Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=1,6,6,4.0,25.5805228811821,26.1259796991722,24.4748169709686,22.1025831954354
Q9BUF5;K7ESM5;K7EL29;K7ESQ3;K7EQT3;K7EJ64;K7ERA8;K7EJZ4;K7ES63;K7EN98;K7EPE5,Q9BUF5;K7ESM5,18;14;4;3;3;3;3;3;3;3;3,8;4;3;3;3;3;3;3;0;3;3,6;2;3;3;3;3;3;3;0;3;3,Tubulin beta-6 chain,TUBB6,sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1;tr|K7ESM5|K7ESM5_HUMAN Tubulin beta chain (Fragment) OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,18,6,47.8,26.1949410671896,26.0596350877097,27.2659759486355,26.3392782107642
P26368;K7ENG2,P26368;K7ENG2,6;6,6;6,6;6,Splicing factor U2AF 65 kDa subunit,U2AF2,sp|P26368|U2AF2_HUMAN Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4;tr|K7ENG2|K7ENG2_HUMAN U2 snRNP auxiliary factor large subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=1,6,6,23.2,23.8971043203268,24.5478674468309,26.2612841950751,25.7044307520009
Q5T4S7;A0A0A0MSW0;X6R960;X6RE05,Q5T4S7;A0A0A0MSW0,6;4;1;1,6;4;1;1,6;4;1;1,E3 ubiquitin-protein ligase UBR4,UBR4,sp|Q5T4S7|UBR4_HUMAN E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1;tr|A0A0A0MSW0|A0A0A0MSW0_HUMAN E3 ubiquitin-protein ligase UBR4 (Fragment) OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,6,6,1.9,27.0975809709904,27.4367603252621,24.1262072459337,25.1521693910836
Q9HAU5,Q9HAU5,6,6,6,Regulator of nonsense transcripts 2,UPF2,sp|Q9HAU5|RENT2_HUMAN Regulator of nonsense transcripts 2 OS=Homo sapiens OX=9606 GN=UPF2 PE=1 SV=1,6,6,6.1,4.20354318657847,4.29426065740498,25.9388313590398,25.6411624920779
Q9BTA9;A0A0A0MRT2;C9JD58;J3QTA0;A0A494C0B7;A0A494C0C1;A0A494C0S5;C9JVK6,Q9BTA9;A0A0A0MRT2;C9JD58;J3QTA0,6;4;3;3;2;2;2;2,6;4;3;3;2;2;2;2,6;4;3;3;2;2;2;2,WW domain-containing adapter protein with coiled-coil,WAC,sp|Q9BTA9|WAC_HUMAN WW domain-containing adapter protein with coiled-coil OS=Homo sapiens OX=9606 GN=WAC PE=1 SV=3;tr|A0A0A0MRT2|A0A0A0MRT2_HUMAN WW domain-containing adapter protein with coiled-coil OS=Homo sapiens OX=9606 GN=WAC PE=1 SV=1;tr|C9JD58|C9JD5,6,6,15.0,24.1900121161499,24.6992763289624,25.1232891245882,23.9663125186489
C4AMC7;Q6VEQ5;Q9NQA3;A8K0Z3;A8MWX3,C4AMC7;Q6VEQ5;Q9NQA3;A8K0Z3;A8MWX3,6;6;4;3;3,6;6;4;3;3,6;6;4;3;3,Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6;WAS protein family homolog 1;Putative WAS protein family homolog 4,WASH3P;WASH2P;WASH6P;WASH1;WASH4P,sp|C4AMC7|WASH3_HUMAN Putative WAS protein family homolog 3 OS=Homo sapiens OX=9606 GN=WASH3P PE=1 SV=2;sp|Q6VEQ5|WASH2_HUMAN WAS protein family homolog 2 OS=Homo sapiens OX=9606 GN=WASH2P PE=2 SV=2;sp|Q9NQA3|WASH6_HUMAN WAS protein family homolog 6 OS=Hom,6,6,16.6,4.20354318657847,4.29426065740498,25.6422923641866,24.510628004985
Q9H4A3;F5GWT4;F6UYG0;Q96J92;K7ENT7;H0Y7T5,Q9H4A3;F5GWT4;F6UYG0,7;7;4;1;1;1,7;7;4;1;1;1,6;6;3;0;0;0,Serine/threonine-protein kinase WNK1,WNK1,sp|Q9H4A3|WNK1_HUMAN Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=2;tr|F5GWT4|F5GWT4_HUMAN Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=1;tr|F6UYG0|F6UYG0_HUMAN Serine/threonine-protein kinase,7,6,3.8,4.20354318657847,4.29426065740498,26.403698872057,24.8535760760037
Q702N8,Q702N8,6,6,6,Xin actin-binding repeat-containing protein 1,XIRP1,sp|Q702N8|XIRP1_HUMAN Xin actin-binding repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=XIRP1 PE=1 SV=1,6,6,6.0,27.2219705466344,27.3202747385506,25.8365342880082,25.52659475339
P67809;H0Y449;P16989;Q9Y2T7;C9J5V9;A0A0D9SEI8,P67809;H0Y449;P16989,6;4;3;2;2;1,6;4;3;2;2;1,6;4;3;2;2;1,Nuclease-sensitive element-binding protein 1;Y-box-binding protein 3,YBX1;YBX3,sp|P67809|YBOX1_HUMAN Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3;tr|H0Y449|H0Y449_HUMAN Y-box-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=1;sp|P16989|YBOX3_HUMAN Y-box-binding protein 3 OS=Homo sapiens OX=960,6,6,25.3,24.6579093610392,25.5957669386161,23.7510323906075,25.1244334160994
P25490;H0YJV7;H0YJU4;O15391;Q96MM3,P25490;H0YJV7;H0YJU4,6;5;3;2;1,6;5;3;2;1,6;5;3;2;1,Transcriptional repressor protein YY1,YY1,sp|P25490|TYY1_HUMAN Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2;tr|H0YJV7|H0YJV7_HUMAN Transcriptional repressor protein YY1 (Fragment) OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=1;tr|H0YJU4|H0YJU4_HUMAN Transcriptional repr,6,6,16.7,25.3431981881742,25.4274235962113,24.2521254524939,23.754094788363
Q9NYL2;C9J3F7,Q9NYL2;C9J3F7,6;4,6;4,6;4,Mitogen-activated protein kinase kinase kinase MLT,ZAK,sp|Q9NYL2|M3K20_HUMAN Mitogen-activated protein kinase kinase kinase 20 OS=Homo sapiens OX=9606 GN=MAP3K20 PE=1 SV=3;tr|C9J3F7|C9J3F7_HUMAN Mitogen-activated protein kinase kinase kinase 20 (Fragment) OS=Homo sapiens OX=9606 GN=MAP3K20 PE=1 SV=1,6,6,11.1,21.762188983833,24.5547916452207,26.1317511650203,26.2211817452857
Q9C0B5;H0YEF4,Q9C0B5;H0YEF4,6;5,6;5,6;5,Palmitoyltransferase ZDHHC5;Palmitoyltransferase,ZDHHC5,sp|Q9C0B5|ZDHC5_HUMAN Palmitoyltransferase ZDHHC5 OS=Homo sapiens OX=9606 GN=ZDHHC5 PE=1 SV=2;tr|H0YEF4|H0YEF4_HUMAN Palmitoyltransferase ZDHHC5 (Fragment) OS=Homo sapiens OX=9606 GN=ZDHHC5 PE=1 SV=1,6,6,13.4,21.9393022893658,23.3856929383546,26.5123170610879,26.1339079240213
Q9UKY1,Q9UKY1,6,6,6,Zinc fingers and homeoboxes protein 1,ZHX1,sp|Q9UKY1|ZHX1_HUMAN Zinc fingers and homeoboxes protein 1 OS=Homo sapiens OX=9606 GN=ZHX1 PE=1 SV=1,6,6,11.2,23.97149654368,24.7996626492395,4.42963131265863,4.37131702904701
Q86UK7;H3BQQ2;H3BPG6,Q86UK7;H3BQQ2;H3BPG6,6;5;5,6;5;5,6;5;5,Zinc finger protein 598,ZNF598,sp|Q86UK7|ZN598_HUMAN E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1;tr|H3BQQ2|H3BQQ2_HUMAN E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1;tr|H3BPG6|H3BPG6_HUMAN E3 ubiquitin-protein ligase ZN,6,6,8.0,4.20354318657847,4.29426065740498,25.9190940905882,25.5134922009642
Q9Y462,Q9Y462,6,6,6,Zinc finger protein 711,ZNF711,sp|Q9Y462|ZN711_HUMAN Zinc finger protein 711 OS=Homo sapiens OX=9606 GN=ZNF711 PE=1 SV=2,6,6,12.5,25.7526154410918,24.8478541156702,4.42963131265863,4.37131702904701
Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRM2;A0A0U1RRH9;A0A0U1RRE1;A0A5F9ZGZ7;Q6ZU15;A0A0U1RRD1,Q16181;E7ES33;E7EPK1;G3V1Q4,9;9;9;8;3;3;3;3;1;1,9;9;9;8;3;3;3;3;1;1,7;7;7;6;1;3;3;3;1;1,Septin-7,Septin-7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,9,7,26.1,25.2251597672203,25.9007594984718,28.2906152759497,27.5986801113992
Q8N3C0,Q8N3C0,7,7,7,Activating signal cointegrator 1 complex subunit 3,ASCC3,sp|Q8N3C0|ASCC3_HUMAN Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3,7,7,3.6,4.20354318657847,4.29426065740498,25.2677448223909,25.0371628451194
Q9NT62;F8WDI0;C9JNW8,Q9NT62,7;2;1,7;2;1,7;2;1,Ubiquitin-like-conjugating enzyme ATG3,ATG3,sp|Q9NT62|ATG3_HUMAN Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1,7,7,25.8,4.20354318657847,4.29426065740498,28.3631079599442,27.9121080465951
P06576;H0YH81;F8W079;F8W0P7;H0YI37,P06576;H0YH81;F8W079,7;5;4;2;1,7;5;4;2;1,7;5;4;2;1,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,"sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;tr|H0YH81|H0YH81_HUMAN ATP synthase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=1;tr|F8W079|F8W079_HUMAN ATP synthase subunit",7,7,19.1,4.20354318657847,4.29426065740498,26.2305017624814,26.7117474128481
Q9NR09;A0A3B3IUB9,Q9NR09;A0A3B3IUB9,7;7,7;7,7;7,Baculoviral IAP repeat-containing protein 6,BIRC6,sp|Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=2;tr|A0A3B3IUB9|A0A3B3IUB9_HUMAN Baculoviral IAP repeat-containing protein 6 (Fragment) OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=1,7,7,2.0,4.20354318657847,4.29426065740498,26.0324411217992,25.6878179737847
Q9BW85;M0R2S3,Q9BW85;M0R2S3,7;6,7;6,7;6,Coiled-coil domain-containing protein 94,CCDC94,sp|Q9BW85|YJU2_HUMAN Splicing factor YJU2 OS=Homo sapiens OX=9606 GN=YJU2 PE=1 SV=1;tr|M0R2S3|M0R2S3_HUMAN Splicing factor YJU2 (Fragment) OS=Homo sapiens OX=9606 GN=YJU2 PE=1 SV=8,7,7,23.5,23.2395216155332,23.9857224410869,24.6934920621348,25.1046960028048
P78371;F5GWF6;F8VQ14,P78371;F5GWF6;F8VQ14,7;6;5,7;6;5,7;6;5,T-complex protein 1 subunit beta,CCT2,sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4;tr|F5GWF6|F5GWF6_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=2;tr|F8VQ14|F8VQ14_HUMAN T-complex protein 1 subunit beta OS=Hom,7,7,20.9,22.4810898901138,21.1674181458317,26.1432816862151,25.535639892993
P30260;G5EA36;I3L394;I3L2Z8;I3L328;I3L3H6;F6QPS0,P30260;G5EA36,7;6;3;1;1;1;1,7;6;3;1;1;1;1,7;6;3;1;1;1;1,Cell division cycle protein 27 homolog,CDC27,"sp|P30260|CDC27_HUMAN Cell division cycle protein 27 homolog OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=2;tr|G5EA36|G5EA36_HUMAN Cell division cycle 27, isoform CRA_c OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=1",7,7,10.7,22.7344441902455,24.2914410938464,27.115551247437,27.0617787351009
P50613;D6R9G1;D6REC6;D6RAD4;Q9C098;D6RFL0;D6RGG9;D6RI01;D6R9Z2;D6RF14;D6RIG9;A0A1B0GTZ4,P50613;D6R9G1;D6REC6;D6RAD4,7;6;5;5;1;1;1;1;1;1;1;1,7;6;5;5;1;1;1;1;1;1;1;1,7;6;5;5;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 7,CDK7,sp|P50613|CDK7_HUMAN Cyclin-dependent kinase 7 OS=Homo sapiens OX=9606 GN=CDK7 PE=1 SV=1;tr|D6R9G1|D6R9G1_HUMAN Cyclin-dependent kinase 7 OS=Homo sapiens OX=9606 GN=CDK7 PE=1 SV=1;tr|D6REC6|D6REC6_HUMAN Cyclin-dependent kinase 7 (Fragment) OS=Homo sapiens,7,7,26.0,24.871030247687,25.2601896469987,26.7956308721791,25.8133799954599
Q86X02,Q86X02,7,7,7,Cerebellar degeneration-related protein 2-like,CDR2L,sp|Q86X02|CDR2L_HUMAN Cerebellar degeneration-related protein 2-like OS=Homo sapiens OX=9606 GN=CDR2L PE=1 SV=2,7,7,19.6,4.20354318657847,4.29426065740498,26.9739940346939,26.7060920989144
Q9UEE9,Q9UEE9,7,7,7,Craniofacial development protein 1,CFDP1,sp|Q9UEE9|CFDP1_HUMAN Craniofacial development protein 1 OS=Homo sapiens OX=9606 GN=CFDP1 PE=1 SV=1,7,7,26.8,26.6759987993121,27.0507172091354,27.4854666037521,27.5704388555703
Q9HCK8;A0A2R8Y840;A0A2R8Y4P3;A0A2R8YFT4;G3V2T9;G3V303,Q9HCK8;A0A2R8Y840,93;72;31;12;4;1,93;72;31;12;4;1,7;7;6;0;0;0,Chromodomain-helicase-DNA-binding protein 8,CHD8,sp|Q9HCK8|CHD8_HUMAN Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=5;tr|A0A2R8Y840|A0A2R8Y840_HUMAN Chromodomain-helicase-DNA-binding protein 8 (Fragment) OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=1,93,7,44.8,31.6162295385388,31.9268764150802,28.6015165734402,28.610239125011
Q8WVB6;E7EXA6;A0A0D9SF58;F8WCC1,Q8WVB6;E7EXA6;A0A0D9SF58,7;7;6;2,7;7;6;2,7;7;6;2,Chromosome transmission fidelity protein 18 homolog,CHTF18,sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=1;tr|E7EXA6|E7EXA6_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=2;tr|A0A0D9SF58|A0A0D,7,7,12.7,24.9077030421558,23.5243245797652,23.6210913861726,24.9963221104677
Q7Z460;F8WA11;H0Y5T1;C9J151;H7C4I5;H7C5M8,Q7Z460;F8WA11;H0Y5T1,11;11;7;1;1;1,11;11;7;1;1;1,7;7;3;1;0;0,CLIP-associating protein 1,CLASP1,sp|Q7Z460|CLAP1_HUMAN CLIP-associating protein 1 OS=Homo sapiens OX=9606 GN=CLASP1 PE=1 SV=1;tr|F8WA11|F8WA11_HUMAN CLIP-associating protein 1 OS=Homo sapiens OX=9606 GN=CLASP1 PE=1 SV=2;tr|H0Y5T1|H0Y5T1_HUMAN CLIP-associating protein 1 (Fragment) OS=Homo,11,7,9.4,4.20354318657847,4.29426065740498,26.7071459302548,26.4653810661518
O00299,O00299,7,7,7,Chloride intracellular channel protein 1,CLIC1,sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4,7,7,41.1,24.2807215037254,24.8736138292402,28.0483283827057,27.2237981612291
O75131;A0A087WYQ3;E5RHZ0;H0YB26;A0A087WXR6;Q96A23;Q9UBL6;Q96FN4;A0A087WUS8,O75131;A0A087WYQ3,8;5;3;3;2;1;1;1;1,8;5;3;3;2;1;1;1;1,7;5;3;3;2;0;0;0;1,Copine-3,CPNE3,sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1;tr|A0A087WYQ3|A0A087WYQ3_HUMAN Copine-3 (Fragment) OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1,8,7,16.6,23.106534187467,22.8371697813524,27.4718903752883,26.7925313671823
P98082;D6REB1;D6RIA5;D6RFF7,P98082,7;1;1;1,7;1;1;1,7;1;1;1,Disabled homolog 2,DAB2,sp|P98082|DAB2_HUMAN Disabled homolog 2 OS=Homo sapiens OX=9606 GN=DAB2 PE=1 SV=3,7,7,14.0,4.20354318657847,4.29426065740498,26.3174827249132,25.9401540584435
Q99704;H7C093,Q99704,7;1,7;1,7;1,Docking protein 1,DOK1,sp|Q99704|DOK1_HUMAN Docking protein 1 OS=Homo sapiens OX=9606 GN=DOK1 PE=1 SV=1,7,7,22.9,21.1770642321441,23.1658783235838,26.3284301872941,26.519443574421
Q8TDB6,Q8TDB6,7,7,7,E3 ubiquitin-protein ligase DTX3L,DTX3L,sp|Q8TDB6|DTX3L_HUMAN E3 ubiquitin-protein ligase DTX3L OS=Homo sapiens OX=9606 GN=DTX3L PE=1 SV=1,7,7,14.2,4.20354318657847,4.29426065740498,26.3604814249621,26.4858350807831
O14640;P54792;A0A087WWA7;A0A0J9YYK1,O14640;P54792;A0A087WWA7,13;10;7;1,13;10;7;1,7;5;6;0,Segment polarity protein dishevelled homolog DVL-1;Putative segment polarity protein dishevelled homolog DVL1P1,DVL1;DVL1P1,sp|O14640|DVL1_HUMAN Segment polarity protein dishevelled homolog DVL-1 OS=Homo sapiens OX=9606 GN=DVL1 PE=1 SV=2;sp|P54792|DVLP1_HUMAN Putative segment polarity protein dishevelled homolog DVL1P1 OS=Homo sapiens OX=9606 GN=DVL1P1 PE=5 SV=1;tr|A0A087WWA7|A,13,7,24.9,27.2149347822741,28.1676784592138,26.6106263548175,26.3862215523681
Q9Y6G9;E9PHI6;C9JGM7;C9JLW1,Q9Y6G9;E9PHI6,7;5;1;1,7;5;1;1,7;5;1;1,Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1,sp|Q9Y6G9|DC1L1_HUMAN Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3;tr|E9PHI6|E9PHI6_HUMAN Dynein light intermediate chain OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=1,7,7,18.4,4.20354318657847,4.29426065740498,26.4731608443914,26.0142285855805
Q99848;H7C2Q8,Q99848;H7C2Q8,7;7,7;7,7;7,Probable rRNA-processing protein EBP2,EBNA1BP2,"sp|Q99848|EBP2_HUMAN Probable rRNA-processing protein EBP2 OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=2;tr|H7C2Q8|H7C2Q8_HUMAN EBNA1 binding protein 2, isoform CRA_d OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=1",7,7,32.4,25.4523679437294,26.0760432774382,4.42963131265863,4.37131702904701
O00418;H3BRH4,O00418;H3BRH4,7;5,7;5,7;5,Eukaryotic elongation factor 2 kinase,EEF2K,sp|O00418|EF2K_HUMAN Eukaryotic elongation factor 2 kinase OS=Homo sapiens OX=9606 GN=EEF2K PE=1 SV=2;tr|H3BRH4|H3BRH4_HUMAN Eukaryotic elongation factor 2 kinase OS=Homo sapiens OX=9606 GN=EEF2K PE=1 SV=1,7,7,10.9,4.20354318657847,4.29426065740498,25.8258042878256,26.7205152359013
Q99613;B5ME19;H3BPE3;H3BPE4,Q99613;B5ME19,7;7;1;1,7;7;1;1,7;7;1;1,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,7,7,9.0,4.20354318657847,4.29426065740498,25.7432964671281,25.8025250424191
P60842;J3KT12;J3KTB5;J3QS69;J3KSZ0;J3QL43;J3QR64;J3QLN6;J3KTN0;J3QKZ9;J3KS25;J3QL52,P60842;J3KT12;J3KTB5;J3QS69;J3KSZ0;J3QL43;J3QR64,13;11;10;10;8;8;7;6;5;5;5;1,13;11;10;10;8;8;7;6;5;5;5;1,7;6;5;5;5;3;3;2;3;2;2;1,Eukaryotic initiation factor 4A-I,EIF4A1,sp|P60842|IF4A1_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;tr|J3KT12|J3KT12_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;tr|J3KTB5|J3KTB5_HUMAN Eukaryotic initiation factor 4A-,13,7,40.6,26.0963749562569,26.3016282018446,27.8843098165107,27.6724286871988
Q15056,Q15056,7,7,7,Eukaryotic translation initiation factor 4H,EIF4H,sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,7,7,40.3,24.9406021560495,25.5433606320535,28.3148840592516,28.7621471552511
Q8N8S7;A0A0U1RRM6;A0A075B6E5;A0A0U1RQP7,Q8N8S7;A0A0U1RRM6,7;6;2;2,7;6;2;2,7;6;2;2,Protein enabled homolog,ENAH,sp|Q8N8S7|ENAH_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A0U1RRM6|A0A0U1RRM6_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=1,7,7,19.6,4.20354318657847,4.29426065740498,26.6936515728918,27.3534650813664
Q9H2F5;A0A590UJN0;A0A590UJ87;A0A590UJ89,Q9H2F5;A0A590UJN0,8;7;1;1,8;7;1;1,7;6;1;1,Enhancer of polycomb homolog 1,EPC1,sp|Q9H2F5|EPC1_HUMAN Enhancer of polycomb homolog 1 OS=Homo sapiens OX=9606 GN=EPC1 PE=1 SV=1;tr|A0A590UJN0|A0A590UJN0_HUMAN Enhancer of polycomb homolog OS=Homo sapiens OX=9606 GN=EPC1 PE=1 SV=1,8,7,15.1,24.7124560508296,24.9814606711752,4.42963131265863,4.37131702904701
P50548,P50548,7,7,7,ETS domain-containing transcription factor ERF,ERF,sp|P50548|ERF_HUMAN ETS domain-containing transcription factor ERF OS=Homo sapiens OX=9606 GN=ERF PE=1 SV=2,7,7,20.8,24.4379039229046,25.904169328998,4.42963131265863,4.37131702904701
O60645;D6RB59;H0Y995;D6RBR9,O60645;D6RB59;H0Y995,7;7;4;1,7;7;4;1,7;7;4;1,Exocyst complex component 3,EXOC3,sp|O60645|EXOC3_HUMAN Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=3;tr|D6RB59|D6RB59_HUMAN Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=1;tr|H0Y995|H0Y995_HUMAN Exocyst complex component 3 (Fragment) OS=Homo,7,7,11.1,4.20354318657847,4.29426065740498,25.4118336913786,25.0785495665474
Q96AE4;E9PEB5,Q96AE4;E9PEB5,16;16,14;14,7;7,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,16,7,32.8,27.3275738867936,27.8333405504231,28.4629890210714,27.8660260975401
Q5T3I0;A0A0A0MRK1;E9PAV9;F8W895;E9PPY4;F2Z3C6,Q5T3I0;A0A0A0MRK1;E9PAV9;F8W895,7;7;7;5;3;3,7;7;7;5;3;3,7;7;7;5;3;3,G patch domain-containing protein 4,GPATCH4,sp|Q5T3I0|GPTC4_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2;tr|A0A0A0MRK1|A0A0A0MRK1_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=1;tr|E9PAV9|E9PAV9_HUMAN G patch domain-con,7,7,18.2,26.5605170967299,26.579602519888,25.608484728487,23.6350015467788
Q9UK76;J3KT51;J3KSH8,Q9UK76;J3KT51;J3KSH8,7;6;4,7;6;4,7;6;4,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",HN1,sp|Q9UK76|JUPI1_HUMAN Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=3;tr|J3KT51|J3KT51_HUMAN Jupiter microtubule-associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=1;tr|J3KSH8|J3KSH8_HUMAN Jupiter microtubule-as,7,7,74.0,27.2362621267952,27.9209346833502,30.0918181856243,30.1483144275195
Q14103;H0YA96;H0Y8G5;D6RAF8;D6RF44;D6RBQ9;D6RD83,Q14103;H0YA96;H0Y8G5;D6RAF8;D6RF44;D6RBQ9,8;8;8;7;6;5;3,8;8;8;7;6;5;3,7;7;7;6;5;4;3,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0YA96|H0YA96_HUMAN Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0Y8G5|H0Y8G5_HUMAN Het,8,7,23.7,26.4513148873452,26.7809423919916,28.1423860014134,27.9383714930165
Q9Y2F5;A0A096LPH9,Q9Y2F5,7;1,7;1,7;1,Little elongation complex subunit 1,ICE1,sp|Q9Y2F5|ICE1_HUMAN Little elongation complex subunit 1 OS=Homo sapiens OX=9606 GN=ICE1 PE=1 SV=5,7,7,4.2,24.1875224339345,25.29789078357,4.42963131265863,4.37131702904701
