Gene_names,DCAF7_vs_BirA_logFC,DCAF7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_R10K8_N1,Peptides_BirA_alone_R10K8_N2,Peptides_DCAF7_R10K8_N2_04_02,Peptides_DCAF7_R10K8_N2_20_01,Razor___unique_peptides_BirA_alone_R10K8_N1,Razor___unique_peptides_BirA_alone_R10K8_N2,Razor___unique_peptides_DCAF7_R10K8_N2_04_02,Razor___unique_peptides_DCAF7_R10K8_N2_20_01,Unique_peptides_BirA_alone_R10K8_N1,Unique_peptides_BirA_alone_R10K8_N2,Unique_peptides_DCAF7_R10K8_N2_04_02,Unique_peptides_DCAF7_R10K8_N2_20_01,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_R10K8_N1,Identification_type_BirA_alone_R10K8_N2,Identification_type_DCAF7_R10K8_N2_04_02,Identification_type_DCAF7_R10K8_N2_20_01,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_R10K8_N1,Ratio_H_L_BirA_alone_R10K8_N2,Ratio_H_L_DCAF7_R10K8_N2_04_02,Ratio_H_L_DCAF7_R10K8_N2_20_01,Ratio_H_L_normalized_BirA_alone_R10K8_N1,Ratio_H_L_normalized_BirA_alone_R10K8_N2,Ratio_H_L_normalized_DCAF7_R10K8_N2_04_02,Ratio_H_L_normalized_DCAF7_R10K8_N2_20_01,Ratio_H_L_variability_____BirA_alone_R10K8_N1,Ratio_H_L_variability_____BirA_alone_R10K8_N2,Ratio_H_L_variability_____DCAF7_R10K8_N2_04_02,Ratio_H_L_variability_____DCAF7_R10K8_N2_20_01,Ratio_H_L_count_BirA_alone_R10K8_N1,Ratio_H_L_count_BirA_alone_R10K8_N2,Ratio_H_L_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_iso_count_BirA_alone_R10K8_N1,Ratio_H_L_iso_count_BirA_alone_R10K8_N2,Ratio_H_L_iso_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_iso_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_type_BirA_alone_R10K8_N1,Ratio_H_L_type_BirA_alone_R10K8_N2,Ratio_H_L_type_DCAF7_R10K8_N2_04_02,Ratio_H_L_type_DCAF7_R10K8_N2_20_01,Sequence_coverage_BirA_alone_R10K8_N1____,Sequence_coverage_BirA_alone_R10K8_N2____,Sequence_coverage_DCAF7_R10K8_N2_04_02____,Sequence_coverage_DCAF7_R10K8_N2_20_01____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_R10K8_N1,Intensity_L_BirA_alone_R10K8_N1,Intensity_H_BirA_alone_R10K8_N1,Intensity_BirA_alone_R10K8_N2,Intensity_L_BirA_alone_R10K8_N2,Intensity_H_BirA_alone_R10K8_N2,Intensity_DCAF7_R10K8_N2_04_02,Intensity_L_DCAF7_R10K8_N2_04_02,Intensity_H_DCAF7_R10K8_N2_04_02,Intensity_DCAF7_R10K8_N2_20_01,Intensity_L_DCAF7_R10K8_N2_20_01,Intensity_H_DCAF7_R10K8_N2_20_01,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF7_R10K8_N2_04_02,metacell_Intensity_L_DCAF7_R10K8_N2_20_01,metacell_Intensity_L_BirA_alone_R10K8_N1,metacell_Intensity_L_BirA_alone_R10K8_N2
RBM10,0.0547615151075149,0.918133418426245,P98175;P78332;E9PGM9,P98175,4;1;1,4;1;1,4;1;1,RNA-binding protein 10,sp|P98175|RBM10_HUMAN RNA-binding protein 10 OS=Homo sapiens OX=9606 GN=RBM10 PE=1 SV=3,3,4,4,4,2,1,1,2,2,1,1,2,2,1,1,2,5.1,5.1,5.1,103.53,930,930;1123;991,0.0,8.3332,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51904,0.81134,26.069,6,3,Leave out requantified,0.70211,0.5696,0.53906,0.86821,1.7475,1.2478,1.2411,1.4335,114.11,,,80.493,2,1,1,2,1,0,1,1,Median,Median,Median,Median,2.4,1.6,1.2,3.1,182900000,97748000,85151000,34982000,18849000,16133000,18888000,10751000,8137000,39623000,27518000,12105000,89406000,40631000,48776000,,,,1932,5768;9559;10001;10344,True;True;True;True,6253;10464;10953;11340,16251;16252;16253;27601;28952;30167,33481;33482;33483;33484;33485;33486;57299;59930;62640,33481;57299;59930;62640,,,,,-1;-1;-1,protein_1933,quanti,quanti,quanti,quanti
RBM3,-0.328256607285198,0.292883352409824,P98179,P98179,8,8,8,RNA-binding protein 3,sp|P98179|RBM3_HUMAN RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1,1,8,8,8,4,5,6,3,4,5,6,3,4,5,6,3,62.4,62.4,62.4,17.17,157,157,0.0,58.758,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.66918,1.5714,8.0036,27,0,Leave out requantified,0.48749,0.45423,0.8075,0.796,1.844,1.3722,1.72,1.3838,8.1383,11.191,10.865,13.486,5,5,10,7,0,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.4,40.8,56.7,28.7,4776800000,2825300000,1951600000,653050000,434630000,218420000,839020000,577670000,261350000,1514500000,822050000,692420000,1770300000,990920000,779350000,,,,1933,1620;5821;10579;10580;14287;16852;21595;21722,True;True;True;True;True;True;True;True,1760;6316;6317;11586;11587;15550;18311;23435;23567,4940;4941;16429;16430;16431;16432;16433;16434;16435;16436;16437;16438;30741;30742;41160;41161;48298;48299;48300;62093;62094;62433;62434;62435;62436;62437;62438,10550;10551;10552;10553;33863;33864;33865;33866;33867;33868;33869;33870;33871;33872;33873;33874;33875;33876;33877;33878;33879;33880;33881;33882;33883;33884;33885;33886;33887;33888;33889;33890;33891;33892;33893;63779;63780;63781;63782;63783;84807;84808;99230;99231;99232;99233;99234;99235;128407;129056;129057;129058;129059;129060;129061;129062;129063;129064;129065,10552;33865;63779;63783;84808;99230;128407;129060,,,,,-1,protein_1934,quanti,quanti,quanti,quanti
TFAM,1.94462333597756,0.0101258720406483,Q00059;H7BYN3,Q00059;H7BYN3,7;5,7;5,7;5,"Transcription factor A, mitochondrial","sp|Q00059|TFAM_HUMAN Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1;tr|H7BYN3|H7BYN3_HUMAN Transcription factor A, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1",2,7,7,7,1,2,4,6,1,2,4,6,1,2,4,6,30.1,30.1,30.1,29.096,246,246;219,0.0,20.835,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49138,1.0739,12.863,13,2,Leave out requantified,0.54608,0.42322,0.45226,0.53505,1.7402,1.0427,1.1589,0.97069,,26.724,11.418,7.5262,1,2,4,6,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,4.1,8.1,18.7,24.0,910460000,593690000,316770000,33453000,21853000,11601000,62166000,40724000,21442000,315110000,210050000,105050000,499730000,321060000,178680000,,,,1934,561;4248;4940;5300;14155;15704;17273,True;True;True;True;True;True;True,599;4607;5354;5732;15413;17088;18752,1546;1547;12084;12085;13956;14927;14928;40792;45041;45042;45043;49483;49484,3188;3189;3190;3191;24921;24922;28615;30648;30649;83960;92521;92522;92523;92524;101616;101617;101618;101619;101620,3190;24922;28615;30648;83960;92521;101618,,,,,-1;-1,protein_1935,quanti,quanti,quanti,quanti
CDK6,19.2602372806004,1.55938417114248e-05,Q00534,Q00534,3,2,2,Cyclin-dependent kinase 6,sp|Q00534|CDK6_HUMAN Cyclin-dependent kinase 6 OS=Homo sapiens OX=9606 GN=CDK6 PE=1 SV=1,1,3,2,2,1,1,3,2,0,0,2,1,0,0,2,1,12.3,9.8,9.8,36.938,326,326,0.013289,1.401,By matching,By matching,By MS/MS,By matching,1.7118,3.158,8.8617,3,0,Median,,,1.5006,1.7118,,,3.1646,2.7145,,,0.29617,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,2.5,2.5,12.3,7.1,142980000,60915000,82067000,0,0,0,0,0,0,120900000,50389000,70510000,22083000,10526000,11556000,,,,1936,5482;8785;10005,True;True;False,5929;9615;10958,15439;15440;25309;28963;28964;28965;28966;28967;28968;28969,31740;52377;52378;52379;59950;59951;59952;59953;59954;59955;59956;59957;59958;59959;59960;59961;59962;59963;59964;59965,31740;52379;59952,,,,,-1,protein_1937,quanti,quanti,imputed MEC,imputed MEC
PURA,0.0285820948482751,0.924443293055157,Q00577,Q00577,2,2,2,Transcriptional activator protein Pur-alpha,sp|Q00577|PURA_HUMAN Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,11.8,11.8,11.8,34.91,322,322,0.0015715,3.1216,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38985,0.88511,14.51,4,0,Leave out requantified,0.28581,0.34834,0.35365,0.65602,0.76957,0.82914,0.87345,1.1012,,,,,1,1,1,1,0,0,0,0,Median,Median,Median,Median,3.7,3.7,8.1,8.1,160830000,106480000,54353000,19646000,13762000,5883800,24328000,18004000,6324600,70646000,46136000,24510000,46210000,28575000,17635000,,,,1937,10905;14353,True;True,11932;15622,31708;31709;41359;41360,65817;65818;65819;85218;85219;85220;85221,65818;85219,,,,,-1,protein_1938,quanti,quanti,quanti,quanti
CLTC,-0.0164303780091615,0.941499385195692,Q00610;A0A087WVQ6;J3KS13;P53675;A0A087WX41;K7EJJ5;J3KRF5;J3KSQ2;J3QL20;F5H5N6;A0A087WV74;A0A087WXH4,Q00610;A0A087WVQ6,93;92;34;16;15;12;7;6;3;1;1;1,93;92;34;16;15;12;7;6;3;1;1;1,93;92;34;16;15;12;7;6;3;1;1;1,Clathrin heavy chain 1;Clathrin heavy chain,sp|Q00610|CLH1_HUMAN Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5;tr|A0A087WVQ6|A0A087WVQ6_HUMAN Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1,12,93,93,93,62,59,73,68,62,59,73,68,62,59,73,68,53.3,53.3,53.3,191.61,1675,1675;1679;612;1640;1260;222;131;122;97;169;369;463,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39353,0.96808,15.482,337,65,Leave out requantified,0.32995,0.39603,0.38348,0.50011,1.0925,1.097,0.94731,0.9139,21.013,20.626,15.336,11.17,70,69,103,95,13,14,25,13,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.1,39.5,46.8,43.3,51674000000,36093000000,15580000000,6937500000,5139700000,1797900000,8304600000,6024000000,2280600000,18604000000,13241000000,5363700000,17827000000,11689000000,6137900000,,,,1938,368;785;907;915;927;1271;1272;1614;1686;1820;1899;2391;2672;2789;3292;3586;3587;3856;4354;4407;5068;5132;6131;6132;6626;6627;6640;7135;7141;7341;7420;7421;7515;7516;7517;8035;8820;8821;9101;9214;9368;9385;9386;9888;9917;10027;10028;10191;10413;10849;11121;11279;11280;11402;11567;12867;13195;13487;13659;14102;14148;14149;14222;14223;14900;14954;15227;15308;15343;15462;17132;17205;17222;18027;18139;18339;18340;18622;18778;19201;19305;19455;19542;19893;20264;20471;20472;20806;20808;20996;21060;21194;21222,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,393;839;970;978;992;1372;1373;1374;1754;1829;1979;2061;2605;2912;3040;3584;3903;3904;4185;4723;4781;5489;5557;6669;6670;7229;7230;7243;7790;7796;8037;8132;8133;8134;8245;8246;8247;8789;8790;9653;9654;9953;10073;10241;10261;10262;10825;10860;10980;10981;11161;11162;11410;11871;11872;12170;12338;12339;12473;12648;12649;14043;14397;14706;14895;15355;15406;15407;15484;15485;16214;16275;16572;16663;16699;16827;18604;18683;18700;19564;19682;19893;19894;20205;20368;20822;20934;21112;21215;21603;21996;22230;22231;22232;22233;22592;22594;22595;22792;22859;22995;23030,1010;1011;2189;2190;2567;2568;2587;2588;2644;2645;2646;2647;3736;3737;3738;3739;3740;3741;3742;3743;3744;3745;3746;3747;3748;3749;3750;4920;4921;5119;5120;5121;5122;5496;5497;5498;5499;5500;5501;5716;5717;7229;7230;8018;8019;8020;8021;8022;8023;8356;9739;10441;10442;10443;10444;10445;10446;11099;11100;11101;12347;12348;12476;14304;14305;14306;14307;14308;14475;14476;14477;14478;17461;17462;17463;18973;18974;18975;18976;18977;18978;18979;18980;18981;18982;18983;19014;19015;19016;19017;20393;20402;20403;21091;21092;21093;21356;21357;21358;21359;21360;21361;21362;21363;21676;21677;21678;21679;21680;21681;21682;21683;23044;23045;23046;23047;23048;23049;23050;23051;23052;25409;25410;25411;25412;25413;25414;25415;25416;26208;26209;26210;26534;26535;26536;26537;27004;27005;27006;27064;27065;27066;27067;27068;27069;27070;27071;27072;27073;27074;27075;27076;28565;28566;28567;28568;28569;28570;28661;28662;28663;28664;28665;29024;29025;29026;29027;29028;29563;29564;29565;29566;29567;29568;29569;29570;29571;30305;30306;31547;31548;31549;31550;31551;31552;32395;32396;32397;32398;32399;32400;32858;32859;32860;32861;32862;33226;33227;33228;33229;33675;33676;33677;33678;33679;33680;37240;37241;38140;38141;38924;38925;38926;39450;39451;40634;40635;40774;40775;40776;40777;40778;40997;40998;40999;41000;41001;41002;41003;41004;42846;42847;42848;42849;42995;42996;42997;42998;43664;43665;43666;43667;43960;43961;44040;44041;44042;44043;44362;44363;49054;49055;49056;49057;49058;49059;49300;49301;49302;49303;49304;49305;49351;49352;49353;51688;51689;51690;51691;51996;51997;52531;52532;52533;52534;52535;52536;52537;53448;53449;53883;53884;53885;53886;53887;55086;55087;55088;55089;55409;55410;55411;55412;55956;55957;56238;56239;56240;56241;56242;56243;56244;57323;57324;58296;58297;58298;58299;58300;58301;58302;58927;58928;58929;58930;58931;58932;58933;58934;58935;58936;58937;58938;59938;59939;59940;59941;59942;59944;59945;59946;59947;59948;60435;60436;60437;60574;60945;60946;60947;60948;61045;61046;61047;61048;61049,2130;2131;4514;4515;4516;4517;5328;5329;5330;5331;5332;5357;5358;5359;5483;5484;5485;5486;5487;5488;7746;7747;7748;7749;7750;7751;7752;7753;7754;7755;7756;7757;7758;7759;7760;7761;7762;7763;7764;7765;7766;7767;7768;7769;7770;7771;7772;7773;7774;7775;7776;7777;10510;10511;10886;10887;10888;10889;10890;10891;10892;10893;10894;10895;10896;10897;10898;11675;11676;11677;11678;11679;11680;11681;11682;11683;11684;11685;11686;11687;11688;12148;15401;15402;15403;15404;15405;15406;15407;16906;16907;16908;16909;16910;16911;16912;16913;16914;16915;16916;16917;17586;20420;21768;21769;21770;21771;21772;23045;23046;23047;25434;25435;25436;25437;25438;25439;25440;25687;25688;29332;29333;29334;29335;29336;29337;29338;29339;29340;29341;29342;29343;29344;29345;29346;29691;29692;29693;29694;29695;36151;36152;36153;36154;36155;39226;39227;39228;39229;39230;39231;39232;39233;39234;39235;39236;39237;39238;39239;39240;39241;39242;39243;39244;39245;39246;39247;39248;39249;39250;39251;39252;39253;39254;39255;39256;39257;39258;39259;39260;39261;39262;39263;39264;39265;39266;39267;39313;39314;39315;39316;39317;39318;39319;39320;39321;39322;39323;39324;39325;41950;41959;41960;43650;43651;43652;43653;43654;43655;43656;43657;43658;43659;43660;44222;44223;44224;44225;44226;44227;44228;44229;44230;44231;44232;44902;44903;44904;44905;44906;44907;44908;44909;44910;44911;44912;44913;44914;44915;44916;44917;44918;44919;44920;47666;47667;47668;47669;47670;47671;47672;47673;47674;47675;47676;47677;47678;47679;47680;47681;47682;47683;47684;47685;47686;47687;47688;47689;47690;47691;47692;47693;47694;47695;47696;47697;47698;47699;47700;47701;52573;52574;52575;52576;52577;52578;52579;52580;52581;52582;52583;52584;52585;52586;52587;52588;52589;52590;52591;52592;52593;52594;52595;54235;54236;54237;54238;54239;55006;55007;55008;55009;55010;55011;55012;55013;55014;55994;55995;55996;55997;56123;56124;56125;56126;56127;56128;56129;56130;56131;56132;56133;56134;56135;56136;56137;56138;56139;56140;56141;56142;56143;59161;59162;59163;59164;59165;59166;59167;59168;59169;59170;59335;59336;59337;59338;59339;59340;59341;59342;59343;59344;59345;60071;60072;60073;60074;60075;60076;60077;60078;60079;60080;60081;60082;60083;60084;60085;60086;60087;60088;61228;61229;61230;61231;61232;61233;61234;61235;61236;61237;61238;61239;61240;61241;61242;61243;61244;61245;61246;61247;61248;61249;61250;61251;61252;61253;61254;61255;61256;62878;62879;62880;65503;65504;65505;65506;65507;65508;65509;65510;65511;65512;65513;65514;65515;65516;67207;67208;67209;67210;67211;67212;67213;67214;67215;67216;67217;67218;67219;68104;68105;68106;68107;68108;68109;68110;68111;68112;68113;68114;68115;68116;68117;68118;68119;68120;68121;68122;68123;68124;68125;68928;68929;68930;68931;68932;68933;68934;68935;68936;68937;68938;68939;68940;69801;69802;69803;69804;69805;69806;69807;69808;69809;69810;69811;69812;69813;69814;76831;76832;76833;76834;76835;76836;76837;76838;76839;78589;78590;80039;80040;80041;81125;81126;83581;83582;83904;83905;83906;83907;83908;83909;83910;83911;83912;83913;83914;83915;83916;83917;84466;84467;84468;84469;84470;84471;84472;84473;84474;84475;84476;84477;84478;84479;84480;84481;84482;84483;84484;84485;84486;84487;84488;84489;84490;88156;88157;88158;88159;88160;88161;88162;88163;88164;88165;88449;88450;88451;88452;88453;88454;88455;88456;88457;88458;88459;89677;89678;89679;89680;89681;89682;89683;89684;89685;89686;89687;89688;90356;90357;90358;90495;90496;90497;90498;90499;90500;90501;90502;90503;90504;91093;91094;91095;91096;91097;100733;100734;100735;100736;100737;100738;100739;100740;100741;100742;100743;101266;101267;101268;101269;101270;101271;101272;101273;101363;101364;101365;106551;106552;106553;106554;106555;106556;106557;106558;106559;106560;106561;106562;106563;106564;106565;106566;106567;107231;107232;108215;108216;108217;108218;108219;108220;108221;108222;108223;108224;110361;110362;110363;110364;110365;111293;111294;111295;111296;111297;111298;111299;111300;111301;113870;113871;113872;114513;114514;114515;114516;114517;114518;114519;114520;114521;114522;114523;114524;114525;114526;114527;115752;115753;115754;116337;116338;116339;116340;116341;116342;116343;116344;116345;116346;116347;116348;116349;116350;116351;116352;116353;116354;116355;116356;116357;116358;116359;118698;118699;118700;120622;120623;120624;120625;120626;120627;120628;120629;120630;120631;120632;120633;120634;122001;122002;122003;122004;122005;122006;122007;122008;122009;122010;122011;122012;122013;122014;122015;122016;122017;122018;122019;122020;122021;124000;124001;124002;124003;124004;124005;124006;124007;124008;124009;124010;124011;124012;124014;124015;124016;124017;124018;124019;124020;124021;124961;124962;124963;124964;124965;124966;124967;124968;124969;125251;125955;125956;125957;125958;125959;125960;125961;125962;125963;125964;125965;125966;125967;125968;125969;125970;125971;126167;126168;126169;126170;126171;126172;126173,2131;4514;5330;5358;5483;7748;7760;10511;10892;11675;12148;15401;16910;17586;20420;21770;21772;23045;25438;25687;29340;29692;36151;36155;39226;39255;39318;41950;41960;43655;44228;44232;44904;44917;44920;47690;52580;52584;54235;55007;55996;56125;56143;59162;59335;60075;60087;61249;62879;65506;67207;68107;68125;68929;69802;76839;78590;80040;81126;83581;83911;83914;84483;84488;88157;88451;89687;90356;90499;91096;100733;101268;101363;106552;107231;108219;108223;110361;111296;113872;114515;115752;116349;118699;120629;122003;122015;124002;124014;124968;125251;125958;126167,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1939,quanti,quanti,quanti,quanti
NFKB2,-2.75032181828042,0.0114782600752181,Q00653,Q00653,7,7,7,Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit,sp|Q00653|NFKB2_HUMAN Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens OX=9606 GN=NFKB2 PE=1 SV=4,1,7,7,7,4,4,3,2,4,4,3,2,4,4,3,2,12.1,12.1,12.1,96.748,900,900,0.0,5.8755,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.8458,2.0672,23.467,12,4,Leave out requantified,0.70297,0.87193,1.5643,1.5552,1.6537,1.792,2.843,2.3923,26.499,16.654,68.359,,4,4,3,1,1,2,1,0,Leave out requantified,Median,Median,Median,5.3,5.3,5.8,3.3,264020000,126870000,137140000,77917000,49536000,28381000,77755000,41228000,36527000,88641000,27817000,60824000,19703000,8293000,11410000,,,,1939,1383;5508;10494;17573;19169;19885;21119,True;True;True;True;True;True;True,1494;5962;11496;19070;20788;21594;22918,4076;4077;4078;4079;15538;30506;30507;50326;54983;57303;57304;60732;60733,8425;8426;8427;8428;8429;8430;31999;63283;103376;113681;118658;118659;125566;125567,8428;31999;63283;103376;113681;118658;125566,,,,,-1,protein_1940,quanti,quanti,quanti,quanti
FKBP3,0.448115188849027,0.289925450700733,Q00688;G3V5F2,Q00688,14;3,14;3,14;3,Peptidyl-prolyl cis-trans isomerase FKBP3,sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,2,14,14,14,6,6,8,9,6,6,8,9,6,6,8,9,57.1,57.1,57.1,25.177,224,224;65,0.0,45.712,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36428,0.90845,27.723,31,3,Leave out requantified,0.28376,0.40863,0.30295,0.44384,0.96963,1.093,0.74629,0.81626,6.8764,16.843,28.719,29.623,7,6,9,9,1,0,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.4,31.7,36.2,38.8,3084000000,1814700000,1269300000,367970000,273090000,94873000,274300000,178390000,95914000,1438400000,711260000,727130000,1003300000,651940000,351410000,,,,1940,55;1912;1913;2508;2509;4946;5063;7006;7007;10409;13714;15819;17403;19465,True;True;True;True;True;True;True;True;True;True;True;True;True;True,56;2074;2075;2729;2730;5360;5484;7640;7641;11406;14951;17208;18892;21123,143;5751;5752;5753;5754;5755;5756;5757;7548;7549;7550;13968;14291;14292;14293;20000;20001;20002;20003;30298;30299;39577;45341;45342;49857;49858;49859;49860;49861;55984;55985,259;260;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;12248;12249;12250;12251;12252;12253;16053;16054;16055;16056;16057;16058;16059;16060;28641;29317;29318;29319;29320;29321;29322;41228;41229;41230;41231;41232;41233;41234;41235;41236;62868;81376;93183;102402;102403;102404;102405;102406;102407;102408;102409;102410;102411;102412;102413;102414;102415;102416;102417;115805;115806;115807,259;12246;12248;16053;16059;28641;29318;41230;41236;62868;81376;93183;102404;115807,,,,,-1;-1,protein_1941,quanti,quanti,quanti,quanti
REEP5,-4.08318271584522,0.000389860006806863,Q00765;E2QRG8,Q00765;E2QRG8,2;1,2;1,2;1,Receptor expression-enhancing protein 5;Receptor expression-enhancing protein,sp|Q00765|REEP5_HUMAN Receptor expression-enhancing protein 5 OS=Homo sapiens OX=9606 GN=REEP5 PE=1 SV=3;tr|E2QRG8|E2QRG8_HUMAN Receptor expression-enhancing protein (Fragment) OS=Homo sapiens OX=9606 GN=REEP5 PE=1 SV=1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,14.3,14.3,14.3,21.493,189,189;165,0.0028195,2.1642,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.66363,1.4244,76.492,4,0,Median,0.84714,0.80599,0.35132,0.54641,3.1124,2.3629,0.64327,0.8586,,,,,1,1,1,1,0,0,0,0,Median,Median,Median,Median,7.9,7.9,6.3,6.3,236380000,135640000,100740000,91275000,53264000,38011000,114760000,65585000,49172000,19813000,11276000,8537500,10533000,5514800,5018000,,,,1942,9307;14631,True;True,10171;15917,26815;26816;42094;42095,55596;55597;55598;86595,55598;86595,,,,,-1;-1,protein_1943,quanti,quanti,quanti,quanti
SORD,-0.788421356268959,0.0360292609120435,Q00796;H0YLA4;H0YKB3,Q00796;H0YLA4,13;11;4,13;11;4,13;11;4,Sorbitol dehydrogenase,sp|Q00796|DHSO_HUMAN Sorbitol dehydrogenase OS=Homo sapiens OX=9606 GN=SORD PE=1 SV=4;tr|H0YLA4|H0YLA4_HUMAN Sorbitol dehydrogenase OS=Homo sapiens OX=9606 GN=SORD PE=1 SV=1,3,13,13,13,6,7,8,9,6,7,8,9,6,7,8,9,49.9,49.9,49.9,38.324,357,357;336;117,0.0,23.005,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31783,0.75243,21.403,32,5,Leave out requantified,0.27976,0.31208,0.31161,0.45216,0.85154,0.82654,0.70304,0.73976,34.125,21.595,16.94,14.423,7,8,8,9,0,1,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,28.0,33.9,35.6,34.7,1432900000,1037100000,395730000,268840000,206190000,62644000,327210000,243050000,84161000,364840000,271710000,93129000,471990000,316190000,155790000,,,,1943,19;20;1255;1595;1596;5523;9744;13148;17209;17210;18742;21000;21487,True;True;True;True;True;True;True;True;True;True;True;True;True,19;20;1356;1731;1732;5980;10662;14342;18687;18688;20332;22796;23315,53;54;55;56;3697;3698;3699;3700;4788;4789;4790;4791;4792;4793;4794;4795;15593;28113;28114;38000;38001;38002;49316;49317;49318;49319;49320;53799;60445;61772;61773;61774,111;112;113;114;115;116;7672;7673;7674;7675;7676;7677;10058;10059;10060;10061;10062;10063;10064;10065;10066;10067;10068;32123;58271;58272;58273;78317;78318;78319;101291;101292;101293;101294;111120;111121;124988;127711;127712;127713;127714;127715;127716,112;116;7672;10061;10064;32123;58272;78319;101291;101293;111120;124988;127713,,,,,-1;-1;-1,protein_1944,quanti,quanti,quanti,quanti
