Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity ATG16L1-N1,Intensity ATG16L1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P46063;F5H2L2;F8WA66;F8WD97;F5H4P4;F5H3W0,P46063,8;3;3;3;1;1,8;3;3;3;1;1,8;3;3;3;1;1,ATP-dependent DNA helicase Q1,RECQL,sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,8,8,15.3,4.5103917704062,4.37962167650643,26.8094354922073,26.1795340479272
P49848;J3KR72;C9JIS2;E5RHA1;C9J088;C9JFL8;C9JTY6;E5RKA5;F8WEJ7;C9J7C4,P49848;J3KR72,8;8;2;2;2;2;2;1;1;1,8;8;2;2;2;2;2;1;1;1,8;8;2;2;2;2;2;1;1;1,Transcription initiation factor TFIID subunit 6,TAF6,sp|P49848|TAF6_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1;tr|J3KR72|J3KR72_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1,8,8,16.0,24.2719884132514,24.765428685759,25.9445170846361,25.3846251499606
Q32MZ4,Q32MZ4,8,8,8,Leucine-rich repeat flightless-interacting protein 1,LRRFIP1,sp|Q32MZ4|LRRF1_HUMAN Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2,8,8,16.6,26.9171828441776,25.3765668561875,26.8945802169236,27.0047461290403
Q96CV9;A0A087WY28;A0A087X2G2;X6RKL2,Q96CV9,8;2;1;1,8;2;1;1,8;2;1;1,Optineurin,OPTN,sp|Q96CV9|OPTN_HUMAN Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3,8,8,16.8,26.2585013388839,24.8810568124258,26.7623055904461,26.387421804735
Q5JTV8;A0A0A0MSK5;J3KN66;H0YDU3;H0Y4R4;H0YD16,Q5JTV8;A0A0A0MSK5;J3KN66,8;8;7;3;3;2,8;8;7;3;3;2,8;8;7;3;3;2,Torsin-1A-interacting protein 1,TOR1AIP1,sp|Q5JTV8|TOIP1_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=2;tr|A0A0A0MSK5|A0A0A0MSK5_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=1;tr|J3KN66|J3KN66_HUMAN Torsin-1A-interacting pr,8,8,17.0,4.5103917704062,4.37962167650643,25.4466691311208,27.9800009495568
H8Y6P7;P0CAP2;Q9BZD3;P0CAP1,H8Y6P7;P0CAP2;Q9BZD3,8;7;7;1,8;7;7;1,8;7;7;1,DNA-directed RNA polymerase II subunit GRINL1A;Putative GRINL1B complex locus protein 2,GCOM1;POLR2M;GCOM2,tr|H8Y6P7|H8Y6P7_HUMAN GRINL1A combined protein 15 OS=Homo sapiens OX=9606 GN=GCOM1 PE=2 SV=1;sp|P0CAP2|GRL1A_HUMAN DNA-directed RNA polymerase II subunit GRINL1A OS=Homo sapiens OX=9606 GN=POLR2M PE=1 SV=1;sp|Q9BZD3|GCOM2_HUMAN Putative GRINL1B complex lo,8,8,17.4,27.4306171670581,28.0650704471392,23.4754355958402,22.1372738617277
Q9BV44;H7C0R6;H7C3J3,Q9BV44;H7C0R6;H7C3J3,8;4;4,8;4;4,8;4;4,THUMP domain-containing protein 3,THUMPD3,sp|Q9BV44|THUM3_HUMAN THUMP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=THUMPD3 PE=1 SV=1;tr|H7C0R6|H7C0R6_HUMAN THUMP domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=THUMPD3 PE=1 SV=1;tr|H7C3J3|H7C3J3_HUMAN THUMP domain-contai,8,8,17.8,25.0182674285986,25.6149281683447,25.6318695601186,23.8101958316689
Q5JTW2;A0A2R8Y589;A0A2R8Y7U5;A8MST6;A0A2U3TZI9;A0A2R8Y5W6;A0A2R8Y432;A0A2R8YCP0;A0A2R8Y7A4;A0A2R8Y4C1;A0A2R8YFB0;A0A2R8Y7M8,Q5JTW2;A0A2R8Y589;A0A2R8Y7U5;A8MST6;A0A2U3TZI9;A0A2R8Y5W6;A0A2R8Y432;A0A2R8YCP0;A0A2R8Y7A4;A0A2R8Y4C1,8;8;8;8;8;8;8;8;8;6;1;1,8;8;8;8;8;8;8;8;8;6;1;1,8;8;8;8;8;8;8;8;8;6;1;1,Centrosomal protein of 78 kDa,CEP78,sp|Q5JTW2|CEP78_HUMAN Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1;tr|A0A2R8Y589|A0A2R8Y589_HUMAN Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1;tr|A0A2R8Y7U5|A0A2R8Y7U5_HUMAN Centrosomal protein of 78,8,8,17.9,27.5785232237796,27.0783663271034,4.4278525700598,4.37954704379713
Q9UNF0;A0A0U1RR22;B0QYG7;B0QYG8;H0Y923,Q9UNF0;A0A0U1RR22,8;8;3;3;1,8;8;3;3;1,8;8;3;3;1,Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2;tr|A0A0U1RR22|A0A0U1RR22_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens,8,8,18.1,26.9785833888418,26.7528961235438,25.7237732090145,25.771981446467
O75131;A0A087WYQ3;E5RHZ0;H0YB26;A0A087WXR6;Q96A23;Q9UBL6;Q96FN4;A0A087WUS8,O75131;A0A087WYQ3,9;6;3;3;2;1;1;1;1,9;6;3;3;2;1;1;1;1,8;6;3;3;2;0;0;0;1,Copine-3,CPNE3,sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1;tr|A0A087WYQ3|A0A087WYQ3_HUMAN Copine-3 (Fragment) OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1,9,8,18.2,26.8953894533154,26.2429626938423,27.4718903752883,26.7925313671823
P08243;F8WEJ5;C9JM09;C9JT45;C9J057;C9JLN6,P08243;F8WEJ5,8;5;2;2;2;1,8;5;2;2;2;1,8;5;2;2;2;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4;tr|F8WEJ5|F8WEJ5_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=1,8,8,18.4,27.3570782278869,27.4482141271051,23.9108622797699,24.7879567461383
Q13033;G3V340;G3V3G7;M0QXN2,Q13033;G3V340,10;5;3;1,8;4;2;0,8;4;2;0,Striatin-3,STRN3,sp|Q13033|STRN3_HUMAN Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=3;tr|G3V340|G3V340_HUMAN Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=1,10,8,18.4,28.0141966549507,27.4443485304245,27.4797739743642,25.9024912284736
Q12899;A2AE48;Q5SPU2;A0A0G2JIW2;A2AE50,Q12899;A2AE48,8;4;2;2;1,8;4;2;2;1,8;4;2;2;1,Tripartite motif-containing protein 26,TRIM26,sp|Q12899|TRI26_HUMAN Tripartite motif-containing protein 26 OS=Homo sapiens OX=9606 GN=TRIM26 PE=1 SV=1;tr|A2AE48|A2AE48_HUMAN Tripartite motif-containing protein 26 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM26 PE=1 SV=1,8,8,18.7,27.4051931523824,26.6051249933143,4.4278525700598,4.37954704379713
Q14814;Q05BX2;H0YM62;A0A0D9SGI5;A0A1B0GV32;A0A0R4J2G5;A0A0D9SFD0;D6RJG6;D8L7E9;D6RC63;D6R942;H0YKY6;Q02078;D6RCM6;D6RG21;A0A1B0GTW4;D6RB91;D6RG14;D6RJA7;Q06413;A0A0D9SET2,Q14814,8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Myocyte-specific enhancer factor 2D,MEF2D,sp|Q14814|MEF2D_HUMAN Myocyte-specific enhancer factor 2D OS=Homo sapiens OX=9606 GN=MEF2D PE=1 SV=1,8,8,19.0,4.5103917704062,4.37962167650643,28.0908344524849,28.0951679325171
O75909;G3V5E1;G3V2Q3;G3V235,O75909;G3V5E1;G3V2Q3,8;7;5;1,8;7;5;1,8;7;5;1,Cyclin-K,CCNK,sp|O75909|CCNK_HUMAN Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=2;tr|G3V5E1|G3V5E1_HUMAN Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=1;tr|G3V2Q3|G3V2Q3_HUMAN Cyclin-K (Fragment) OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=1,8,8,19.3,25.6562423734002,25.3596439439262,27.2119681804507,26.6864560714876
P56945;A0A2R8YFK2;A0A2R8Y6M6;A0A2R8Y4C2;A0A2R8YFS8;A0A2R8Y8C4;A0A2R8Y5C9;A0A2R8Y596;A0A2R8Y5E4;H3BN62,P56945;A0A2R8YFK2;A0A2R8Y6M6;A0A2R8Y4C2;A0A2R8YFS8;A0A2R8Y8C4;A0A2R8Y5C9;A0A2R8Y596;A0A2R8Y5E4,9;9;9;9;9;9;9;9;8;2,9;9;9;9;9;9;9;9;8;2,8;8;8;8;8;8;8;8;8;2,Breast cancer anti-estrogen resistance protein 1,BCAR1,sp|P56945|BCAR1_HUMAN Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2;tr|A0A2R8YFK2|A0A2R8YFK2_HUMAN Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=1;tr|A0A2R8Y6M6|A0A2R,9,8,19.5,27.4574808300675,26.8143338757973,26.3038590482293,25.27173913549
Q9Y5Q8;Q5T7U1;Q5T7U0;Q5T7U4;H7BY84;H0Y5D2,Q9Y5Q8;Q5T7U1;Q5T7U0;Q5T7U4;H7BY84,8;7;5;4;4;2,8;7;5;4;4;2,8;7;5;4;4;2,General transcription factor 3C polypeptide 5,GTF3C5,sp|Q9Y5Q8|TF3C5_HUMAN General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2;tr|Q5T7U1|Q5T7U1_HUMAN General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=1;tr|Q5T7U0|Q5T7U0_HUMAN General,8,8,19.7,23.8847406681446,23.6946824925611,26.9479311680851,26.667632197196
Q15813;A0A2R8Y5Q8;A0A2R8YHI9;A0A2U3TZJ6;A0A2R8Y7E7;A0A2R8Y6Q1;A0A2R8YFL4;A0A2R8YER9;A0A2R8Y809;A0A2R8Y4V6;A0A2R8Y784;A0A2R8Y4P2;A0A2R8YFM3;A0A2R8Y787;A0A2R8Y6L2;A0A2R8Y5H6;A0A2R8Y897;A0A2R8Y4E7;A0A2R8Y597;A0A2R8Y6G3;A0A2R8Y7H8;A0A2R8YF12;A0A2R8YH53,Q15813;A0A2R8Y5Q8;A0A2R8YHI9;A0A2U3TZJ6;A0A2R8Y7E7;A0A2R8Y6Q1;A0A2R8YFL4,8;7;7;7;6;6;4;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1,8;7;7;7;6;6;4;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1,8;7;7;7;6;6;4;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1,Tubulin-specific chaperone E,TBCE,sp|Q15813|TBCE_HUMAN Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1;tr|A0A2R8Y5Q8|A0A2R8Y5Q8_HUMAN Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1;tr|A0A2R8YHI9|A0A2R8YHI9_HUMAN Tubulin-specific chaperone E OS,8,8,20.3,26.0009914831742,24.8811968776392,25.341197106255,26.538750906763
Q96GA3;A0A075B6Q4,Q96GA3,8;3,8;3,8;3,Protein LTV1 homolog,LTV1,sp|Q96GA3|LTV1_HUMAN Protein LTV1 homolog OS=Homo sapiens OX=9606 GN=LTV1 PE=1 SV=1,8,8,21.7,27.7840044448598,27.2306849851183,4.4278525700598,4.37954704379713
Q8TBC4;F8W8D4;F8WF86,Q8TBC4;F8W8D4,8;6;3,8;6;3,8;6;3,NEDD8-activating enzyme E1 catalytic subunit,UBA3,sp|Q8TBC4|UBA3_HUMAN NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens OX=9606 GN=UBA3 PE=1 SV=2;tr|F8W8D4|F8W8D4_HUMAN NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens OX=9606 GN=UBA3 PE=1 SV=1,8,8,22.0,4.5103917704062,4.37962167650643,28.0537753598992,27.2631125698311
O43353,O43353,9,9,8,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,sp|O43353|RIPK2_HUMAN Receptor-interacting serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=RIPK2 PE=1 SV=2,9,8,22.2,23.7780618852887,24.2147495482697,27.3692790348462,26.2704742775952
Q96A19,Q96A19,8,8,8,Coiled-coil domain-containing protein 102A,CCDC102A,sp|Q96A19|C102A_HUMAN Coiled-coil domain-containing protein 102A OS=Homo sapiens OX=9606 GN=CCDC102A PE=1 SV=2,8,8,22.7,27.9191168282779,27.393375399613,4.4278525700598,4.37954704379713
P48436;P57073;P56693;A6PVD3;P35713;Q9H6I2,P48436;P57073,8;4;3;3;1;1,8;4;3;3;1;1,8;4;3;3;1;1,Transcription factor SOX-9;Transcription factor SOX-8,SOX9;SOX8,sp|P48436|SOX9_HUMAN Transcription factor SOX-9 OS=Homo sapiens OX=9606 GN=SOX9 PE=1 SV=1;sp|P57073|SOX8_HUMAN Transcription factor SOX-8 OS=Homo sapiens OX=9606 GN=SOX8 PE=2 SV=1,8,8,23.0,24.483146107817,24.2553709497429,26.8492390036859,27.0535164458373
Q06546,Q06546,8,8,8,GA-binding protein alpha chain,GABPA,sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens OX=9606 GN=GABPA PE=1 SV=1,8,8,23.1,4.5103917704062,4.37962167650643,27.4542677867407,27.2034050621649
P39023;G5E9G0;H7C422;H7C3M2;B5MCW2;F8WCR1,P39023;G5E9G0;H7C422;H7C3M2;B5MCW2,8;7;6;6;6;3,8;7;6;6;6;3,8;7;6;6;6;3,60S ribosomal protein L3,RPL3,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2;tr|G5E9G0|G5E9G0_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=1;tr|H7C422|H7C422_HUMAN 60S ribosomal protein L3 (Fragment) OS=Homo sapiens OX=9,8,8,23.3,27.978256061548,26.494543604982,24.2467000128477,23.870146739477
P60228;E5RGA2;E5RHS5;E5RIT4;H0YAW4;H0YBR5,P60228;E5RGA2;E5RHS5,8;7;4;2;2;2,8;7;4;2;2;2,8;7;4;2;2;2,Eukaryotic translation initiation factor 3 subunit E,EIF3E,sp|P60228|EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1;tr|E5RGA2|E5RGA2_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1;tr|E5RHS5|E5RHS5_HU,8,8,23.4,26.7806921413334,26.4620763499724,27.7001499114978,27.4408231627746
Q9BYJ9,Q9BYJ9,11,11,8,YTH domain-containing family protein 1,YTHDF1,sp|Q9BYJ9|YTHD1_HUMAN YTH domain-containing family protein 1 OS=Homo sapiens OX=9606 GN=YTHDF1 PE=1 SV=1,11,8,24.0,27.8121928791386,27.4013731638448,27.0632197833495,27.1734087528888
Q86TP1;A0A3B3ITN0;Q5SZG1;Q5SZF2,Q86TP1;A0A3B3ITN0,8;6;3;2,8;6;3;2,8;6;3;2,Protein prune homolog,PRUNE,sp|Q86TP1|PRUN1_HUMAN Exopolyphosphatase PRUNE1 OS=Homo sapiens OX=9606 GN=PRUNE1 PE=1 SV=2;tr|A0A3B3ITN0|A0A3B3ITN0_HUMAN Exopolyphosphatase PRUNE1 OS=Homo sapiens OX=9606 GN=PRUNE1 PE=1 SV=1,8,8,26.0,27.6486280312556,26.9460354525895,26.6474619398718,26.6596251207736
Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRH9;A0A0U1RRE1;A0A5F9ZGZ7;A0A0U1RRM2;Q6ZU15;A0A0U1RRD1;Q5JXL7,Q16181;E7ES33;E7EPK1;G3V1Q4,8;8;8;7;3;3;3;2;1;1;1,8;8;8;7;3;3;3;2;1;1;1,8;8;8;7;3;3;3;2;1;1;1,Septin-7,Septin-7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,8,8,26.1,27.8975836667283,26.0383984327287,28.2906152759497,27.5986801113992
Q14320;B0S8I6;Q9Y247,Q14320;B0S8I6,8;6;1,8;6;1,8;6;1,Protein FAM50A,FAM50A,sp|Q14320|FA50A_HUMAN Protein FAM50A OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=2;tr|B0S8I6|B0S8I6_HUMAN Protein FAM50A (Fragment) OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=1,8,8,26.8,4.5103917704062,4.37962167650643,27.4733621575189,27.0604393287893
O60784;B0QY01;V9GYF4;B0QY02;V9GZ68;Q6UW50,O60784;B0QY01,8;4;2;2;1;1,8;4;2;2;1;1,8;4;2;2;1;1,Target of Myb protein 1,TOM1,sp|O60784|TOM1_HUMAN Target of Myb protein 1 OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2;tr|B0QY01|B0QY01_HUMAN Target of Myb protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=8,8,8,27.2,27.3289437237403,27.3870601899526,25.9791069580875,25.6855206882023
P19484;B0QYS6;B0QYS7;A0A1B0GXL9;B1AKB4;B1AKB5;B1AKB1;B1AKB2,P19484;B0QYS6;B0QYS7;A0A1B0GXL9;B1AKB4;B1AKB5,9;9;9;6;6;5;4;4,9;9;9;6;6;5;4;4,8;8;8;6;6;4;4;4,Transcription factor EB,TFEB,sp|P19484|TFEB_HUMAN Transcription factor EB OS=Homo sapiens OX=9606 GN=TFEB PE=1 SV=3;tr|B0QYS6|B0QYS6_HUMAN Transcription factor EB OS=Homo sapiens OX=9606 GN=TFEB PE=1 SV=1;tr|B0QYS7|B0QYS7_HUMAN Transcription factor EB OS=Homo sapiens OX=9606 GN=TFEB P,9,8,27.9,28.2811815411487,27.7776857426609,23.8338351384072,23.5514510543945
B1ALY0;C9JA33;Q8IXS6;C9JZH4;A0A669KBK1,B1ALY0;C9JA33;Q8IXS6,8;6;5;2;1,8;6;5;2;1,8;6;5;2;1,Paralemmin-2,PALM2-AKAP2;PALM2,tr|B1ALY0|B1ALY0_HUMAN PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1;tr|C9JA33|C9JA33_HUMAN PALM2 and AKAP2 fusion OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1;sp|Q8IXS6|PALM2_HUMAN Paralemmin-2 OS=Homo sapiens OX=960,8,8,28.2,25.0023872068575,24.5936031234191,27.7278678074417,26.6094995793695
Q9HCH0,Q9HCH0,26,26,8,Nck-associated protein 5-like,NCKAP5L,sp|Q9HCH0|NCK5L_HUMAN Nck-associated protein 5-like OS=Homo sapiens OX=9606 GN=NCKAP5L PE=1 SV=3,26,8,28.3,29.8041818932932,29.5773890931932,24.9115938695629,23.5415598645369
Q96I25;Q5W011;Q5W010;Q5W012,Q96I25,11;5;5;4,11;5;5;4,8;3;3;1,Splicing factor 45,RBM17,sp|Q96I25|SPF45_HUMAN Splicing factor 45 OS=Homo sapiens OX=9606 GN=RBM17 PE=1 SV=1,11,8,28.9,4.5103917704062,4.37962167650643,28.2045715173641,27.7275432635308
Q9Y3Q8;H7BZ77;O75157;Q15714;Q99576;Q5JRJ0;E7EWD5;H0Y865,Q9Y3Q8,8;3;1;1;1;1;1;1,8;3;1;1;1;1;1;1,8;3;1;1;1;1;1;1,TSC22 domain family protein 4,TSC22D4,sp|Q9Y3Q8|T22D4_HUMAN TSC22 domain family protein 4 OS=Homo sapiens OX=9606 GN=TSC22D4 PE=1 SV=2,8,8,29.1,27.4411060734381,26.756845399379,24.9916591986002,25.3798418380244
Q8TC07;F8WCB5;F8WDJ1;F8WF35,Q8TC07,18;2;1;1,18;2;1;1,8;2;1;1,TBC1 domain family member 15,TBC1D15,sp|Q8TC07|TBC15_HUMAN TBC1 domain family member 15 OS=Homo sapiens OX=9606 GN=TBC1D15 PE=1 SV=2,18,8,29.7,29.8829261458371,29.5613076714742,28.982614330978,28.6872239686151
Q96RE7;K7ENW4;Q96BF6,Q96RE7,11;2;1,11;2;1,8;2;1,Nucleus accumbens-associated protein 1,NACC1,sp|Q96RE7|NACC1_HUMAN Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1,11,8,30.6,4.5103917704062,4.37962167650643,28.2069947274084,28.067585597546
Q13190;H7C3X5;E9PNU4,Q13190;H7C3X5;E9PNU4,8;6;5,8;6;5,8;6;5,Syntaxin-5,STX5,sp|Q13190|STX5_HUMAN Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2;tr|H7C3X5|H7C3X5_HUMAN Syntaxin-5 (Fragment) OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=1;tr|E9PNU4|E9PNU4_HUMAN Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=1,8,8,31.3,27.4074640917509,27.3850861485397,26.5272810760865,26.1472083415389
Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;Q9HBM6;D6RHW1,Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;Q9HBM6;D6RHW1,8;8;7;7;6;5;5,8;8;7;7;6;5;5,8;8;7;7;6;5;5,Transcription initiation factor TFIID subunit 9;Transcription initiation factor TFIID subunit 9B,TAF9;TAF9B,sp|Q16594|TAF9_HUMAN Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1;tr|D6RIE8|D6RIE8_HUMAN Transcription initiation factor TFIID subunit 9 (Fragment) OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=9;tr|D6RGK3|D6RGK3_HUMA,8,8,31.8,4.5103917704062,4.37962167650643,27.4840839760914,27.5212571636343
O14745;J3QRP6,O14745;J3QRP6,8;6,8;6,8;6,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4;tr|J3QRP6|J3QRP6_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (Fragment) OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=1,8,8,32.1,27.589208574532,27.5232031107577,24.8568559560945,24.5131005940185
P49366;A0A087WZK0;Q5J8M5;M0R253;M0QX43;A0A3B3IU31;B4E3M2;M0R0V2;M0R1T4;M0R1T2;M0R264;M0R0J4;M0QYZ7,P49366;A0A087WZK0;Q5J8M5;M0R253;M0QX43;A0A3B3IU31;B4E3M2;M0R0V2,8;7;6;4;4;4;4;4;2;2;2;1;1,8;7;6;4;4;4;4;4;2;2;2;1;1,8;7;6;4;4;4;4;4;2;2;2;1;1,Deoxyhypusine synthase,DHPS,sp|P49366|DHYS_HUMAN Deoxyhypusine synthase OS=Homo sapiens OX=9606 GN=DHPS PE=1 SV=1;tr|A0A087WZK0|A0A087WZK0_HUMAN Deoxyhypusine synthase OS=Homo sapiens OX=9606 GN=DHPS PE=1 SV=1;tr|Q5J8M5|Q5J8M5_HUMAN Deoxyhypusine synthase OS=Homo sapiens OX=9606 GN=D,8,8,33.1,27.9230337268582,26.1346718195608,23.6500173331081,23.2480039803347
Q8TBN0;E9PK89;H0YD19,Q8TBN0;E9PK89,8;8;1,8;8;1,8;8;1,Guanine nucleotide exchange factor for Rab-3A,RAB3IL1,sp|Q8TBN0|R3GEF_HUMAN Guanine nucleotide exchange factor for Rab-3A OS=Homo sapiens OX=9606 GN=RAB3IL1 PE=1 SV=1;tr|E9PK89|E9PK89_HUMAN Guanine nucleotide exchange factor for Rab-3A OS=Homo sapiens OX=9606 GN=RAB3IL1 PE=1 SV=9,8,8,33.2,26.5849152620464,26.5648399234683,24.6242189393597,23.3211353810869
O75381;K7EK59,O75381,8;2,8;2,8;2,Peroxisomal membrane protein PEX14,PEX14,sp|O75381|PEX14_HUMAN Peroxisomal membrane protein PEX14 OS=Homo sapiens OX=9606 GN=PEX14 PE=1 SV=1,8,8,33.4,26.2372290744981,25.29852018591,28.1712148296296,27.4253439777849
Q86Y37,Q86Y37,8,8,8,CDK2-associated and cullin domain-containing protein 1,CACUL1,sp|Q86Y37|CACL1_HUMAN CDK2-associated and cullin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CACUL1 PE=1 SV=1,8,8,33.9,27.1842340017744,25.9473292695481,26.1314764369822,25.195354183215
Q13310;B1ANR0;H0Y5F5;B1ANR1;H0YCC8;H0YEU6;H0Y6X6,Q13310;B1ANR0;H0Y5F5,17;17;13;5;5;5;2,8;8;6;2;2;3;1,8;8;6;2;2;3;1,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragmen,17,8,34.5,26.9604691850585,26.2711870099776,26.396040804662,26.8852994191357
O75822;H0YGJ7;H0YLP3,O75822,8;3;2,8;3;2,8;3;2,Eukaryotic translation initiation factor 3 subunit J,EIF3J,sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2,8,8,34.9,24.9832567253917,24.281712171342,26.7409830135601,26.2496503660055
