ERCC8_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PSMD2,0.4561436772,0.0173113967460191,0,Q13200;H7C1H2;H7C2Q3;C9JPC0,Q13200,19;6;5;5,19;6;5;5,19;6;5;5,26S proteasome non-ATPase regulatory subunit 2,PSMD2,sp|Q13200|PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,19,19,30,908
SRSF9,-0.1587215864,0.358497147428862,0,Q13242;S4R3G0;H0YIB4,Q13242;S4R3G0;H0YIB4,6;6;5,5;5;5,5;5;5,Serine/arginine-rich splicing factor 9,SRSF9,sp|Q13242|SRSF9_HUMAN Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1;tr|S4R3G0|S4R3G0_HUMAN Serine/arginine-rich-splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1;tr|H0YIB4|H0YIB4_HUMAN Serine/arginine-rich-spl,6,5,23.5,221
SRSF5,0.0725963587,0.664096249651477,0,Q13243;Q08170;B4DJK0;B4DUA4;A0A0D9SEM4,Q13243,5;1;1;1;1,4;0;0;0;0,4;0;0;0;0,Serine/arginine-rich splicing factor 5,SRSF5,sp|Q13243|SRSF5_HUMAN Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1,5,4,19.9,272
TRIM28,0.3222156499,0.0291375076854531,0,Q13263;M0R0K9;M0R3C0;M0R2I3,Q13263;M0R0K9,18;9;2;1,18;9;2;1,18;9;2;1,Transcription intermediary factor 1-beta,TRIM28,sp|Q13263|TIF1B_HUMAN Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5;tr|M0R0K9|M0R0K9_HUMAN Transcription intermediary factor 1-beta (Fragment) OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=1,18,18,30.2,835
DHRS2,-0.4680965964,0.0398129662263919,0,Q13268;C9JZP6;H0YJG9;H0YJP4,Q13268;C9JZP6;H0YJG9,16;14;10;6,16;14;10;6,16;14;10;6,"Dehydrogenase/reductase SDR family member 2, mitochondrial",DHRS2,"sp|Q13268|DHRS2_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 SV=4;tr|C9JZP6|C9JZP6_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 S",16,16,53.2,280
G3BP1,-0.1124228485,0.313135250827864,0,Q13283;E5RIZ6;E5RH42;E5RJU8;E5RI46;E5RIF8;E5RH00;D6R9X5;D6R9A4,Q13283,19;9;8;8;7;7;4;3;3,19;9;8;8;7;7;4;3;3,16;6;5;5;4;4;1;0;0,Ras GTPase-activating protein-binding protein 1,G3BP1,sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,19,16,52.4,466
EIF3I,0.0708299691,0.508142617017742,0,Q13347;Q5TFK1,Q13347,18;4,18;4,18;4,Eukaryotic translation initiation factor 3 subunit I,EIF3I,sp|Q13347|EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,18,18,65.5,325
UBE2V1;TMEM189-UBE2V1,-0.2377735863,0.0844644499829448,0,Q13404;G3V2F7;I3L0A0;A0A0A0MSL3;E5RIF1;D6RG00;H0YBX6,Q13404;G3V2F7;I3L0A0;A0A0A0MSL3,6;4;4;3;1;1;1,6;4;4;3;1;1;1,4;2;2;2;0;0;0,Ubiquitin-conjugating enzyme E2 variant 1,UBE2V1;TMEM189-UBE2V1,sp|Q13404|UB2V1_HUMAN Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2;tr|G3V2F7|G3V2F7_HUMAN Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=4 SV=2;tr|I3L0A0|I3L0A0_HUMAN HCG2044781 OS=Ho,6,4,36.1,147
SF3B2,-0.2217253981,0.104920056215921,0,Q13435;E9PPJ0;H0YEX5;E9PJ04;E9PJT3;H0YCG1,Q13435;E9PPJ0,14;13;6;5;4;4,14;13;6;5;4;4,14;13;6;5;4;4,Splicing factor 3B subunit 2,SF3B2,sp|Q13435|SF3B2_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2;tr|E9PPJ0|E9PPJ0_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=1,14,14,28.2,895
PDAP1,-0.2535455077,0.0607714011212232,0,Q13442,Q13442,6,6,6,28 kDa heat- and acid-stable phosphoprotein,PDAP1,sp|Q13442|HAP28_HUMAN 28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens OX=9606 GN=PDAP1 PE=1 SV=1,6,6,29.8,181
TUBB3,0.0023647738,0.985436490401223,0,Q13509;A0A0B4J269;G3V2A3;G3V5W4;G3V2R8;G3V3R4;G3V2N6;G3V542;G3V3J6;G3V3W7,Q13509;A0A0B4J269,26;25;7;4;4;4;4;1;1;1,7;6;2;3;3;3;3;1;1;1,7;6;2;3;3;3;3;1;1;1,Tubulin beta-3 chain,TUBB3,sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1,26,7,54.4,450
DCTN2,0.1314693165,0.251602489244473,0,Q13561;F8W1I6;F8VW18;H0YI98;F8VRV7;H0YHL1;F8VX93;F8W0U6,Q13561;F8W1I6;F8VW18;H0YI98,15;12;10;8;6;4;4;2,15;12;10;8;6;4;4;2,15;12;10;8;6;4;4;2,Dynactin subunit 2,DCTN2,sp|Q13561|DCTN2_HUMAN Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4;tr|F8W1I6|F8W1I6_HUMAN Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=1;tr|F8VW18|F8VW18_HUMAN Dynactin subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=DCTN2 P,15,15,40.1,401
TRA2A,0.1552086086,0.271643543601674,0,Q13595,Q13595,4,4,4,Transformer-2 protein homolog alpha,TRA2A,sp|Q13595|TRA2A_HUMAN Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,4,4,11.7,282
SNX1,-0.2516561049,0.0541726808909188,0,Q13596;H0YK42;H0YK43;H0YKT3,Q13596;H0YK42,10;7;1;1,10;7;1;1,9;6;1;1,Sorting nexin-1,SNX1,sp|Q13596|SNX1_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3;tr|H0YK42|H0YK42_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=1,10,9,22.6,522
TSTA3,-0.1513962374,0.1660547693742,0,Q13630;E9PKL9;E9PP14;A0A0J9YX13;E9PLH9;H0YCP7;E9PP60,Q13630;E9PKL9;E9PP14;A0A0J9YX13,9;7;5;5;4;2;1,9;7;5;5;4;2;1,9;7;5;5;4;2;1,GDP-L-fucose synthase,TSTA3,sp|Q13630|FCL_HUMAN GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=TSTA3 PE=1 SV=1;tr|E9PKL9|E9PKL9_HUMAN GDP-L-fucose synthase (Fragment) OS=Homo sapiens OX=9606 GN=TSTA3 PE=1 SV=1;tr|E9PP14|E9PP14_HUMAN GDP-L-fucose synthase (Fragment) OS=Homo sapiens ,9,9,45.2,321
DDX39B,-0.0832302169,0.4826548211611,0,Q13838;Q5STU3;A0A0G2JJZ9;A0A140T9X3;F6WLT2;F6TRA5;A0A0A0MT12;F6S4E6;H0Y400;F6R6M7;F6U6E2;A0A140T996;F6S2B7;A0A0G2JHN7;A0A140T9K1;A0A140T973;A0A140T9L4,Q13838;Q5STU3;A0A0G2JJZ9;A0A140T9X3;F6WLT2;F6TRA5;A0A0A0MT12;F6S4E6,20;19;14;13;12;11;11;10;8;7;6;6;6;6;5;5;4,20;19;14;13;12;11;11;10;8;7;6;6;6;6;5;5;4,4;4;2;2;2;2;2;2;2;2;2;0;2;2;0;0;0,Spliceosome RNA helicase DDX39B,DDX39B,sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1;tr|Q5STU3|Q5STU3_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=2;tr|A0A0G2JJZ9|A0A0G2JJZ9_HUMAN Spliceosome RNA helicase DDX,20,4,59.6,428
BLMH,0.2355784073,0.0807439462531313,0,Q13867;K7ES02;J3KS79;K7ENH5;K7ESE8;J3KSD8,Q13867;K7ES02;J3KS79;K7ENH5;K7ESE8;J3KSD8,4;3;2;2;2;2,4;3;2;2;2;2,4;3;2;2;2;2,Bleomycin hydrolase,BLMH,sp|Q13867|BLMH_HUMAN Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|K7ES02|K7ES02_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|J3KS79|J3KS79_HUMAN Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE,4,4,13.2,455
EXOSC2,0.1330147064,0.555654568215101,0,Q13868;A3KFL2;A3KFL5;A3KFL1,Q13868;A3KFL2;A3KFL5,5;4;4;2,5;4;4;2,5;4;4;2,Exosome complex component RRP4,EXOSC2,sp|Q13868|EXOS2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2;tr|A3KFL2|A3KFL2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=1;tr|A3KFL5|A3KFL5_HUMAN Exosome complex component RRP4 (Fragme,5,5,17.4,293
IL18,0.3444641939,0.0161529023709483,0,Q14116,Q14116,11,11,11,Interleukin-18,IL18,sp|Q14116|IL18_HUMAN Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1,11,11,65.3,193
BOP1,0.2556879357,0.0967473345690808,0,Q14137;A0A075B729,Q14137,11;4,11;4,11;4,Ribosome biogenesis protein BOP1,BOP1,sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,11,11,18.5,746
EIF3A,0.1022323513,0.310113623388734,0,Q14152,Q14152,23,23,23,Eukaryotic translation initiation factor 3 subunit A,EIF3A,sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,23,23,20.8,1382
TTLL12,-0.1321667166,0.358557958243878,0,Q14166,Q14166,5,5,5,Tubulin--tyrosine ligase-like protein 12,TTLL12,sp|Q14166|TTL12_HUMAN Tubulin--tyrosine ligase-like protein 12 OS=Homo sapiens OX=9606 GN=TTLL12 PE=1 SV=2,5,5,14.3,644
FHL2,0.6979990274,0.0114961598464831,0,Q14192,Q14192,1,1,1,Four and a half LIM domains protein 2,FHL2,sp|Q14192|FHL2_HUMAN Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3,1,1,6.5,279
DPYSL3,-0.1127218208,0.290827718924485,0,Q14195;H0YBT4;Q14117;D6RF19,Q14195,14;5;1;1,13;4;1;1,12;3;0;1,Dihydropyrimidinase-related protein 3,DPYSL3,sp|Q14195|DPYL3_HUMAN Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,14,12,38.4,570
DYNC1H1,-0.4027948617,0.0438918713199266,0,Q14204;A0A2R8Y706;A0A2R8Y5T0;A0A2R8Y6H2;A0A2R8Y542;A0A2R8YFZ7;H0YJ21;A0A2R8Y6I5;A0A2R8YGC7,Q14204;A0A2R8Y706;A0A2R8Y5T0,41;28;23;17;15;15;7;4;3,41;28;23;17;15;15;7;4;3,41;28;23;17;15;15;7;4;3,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5;tr|A0A2R8Y706|A0A2R8Y706_HUMAN Cytoplasmic dynein 1 heavy chain 1 (Fragment) OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=1;tr|A0A2R8Y5T0|A0A2R8Y5T0_HUMAN C,41,41,12.2,4646
EIF4A2,-0.5765524833,0.0153581771084414,0,Q14240;E7EQG2,Q14240;E7EQG2,17;15,5;3,5;3,"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed",EIF4A2,sp|Q14240|IF4A2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2;tr|E7EQG2|E7EQG2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=1,17,5,43.5,407
CTTN,-0.2069797918,0.111374217349669,0,Q14247;H0YEV2;H0YCD9,Q14247,5;1;1,5;1;1,5;1;1,Src substrate cortactin,CTTN,sp|Q14247|SRC8_HUMAN Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,5,5,18.9,550
FLNC,1.0878203687,0.00105124233587201,1,Q14315,Q14315,58,58,51,Filamin-C,FLNC,sp|Q14315|FLNC_HUMAN Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,58,51,24.8,2725
GALE,-0.5676478479,0.00507608695294323,0,Q14376;Q5QPP3;Q5QPP1;Q5QPP4;Q5QPP9,Q14376;Q5QPP3;Q5QPP1,13;8;7;6;3,13;8;7;6;3,13;8;7;6;3,UDP-glucose 4-epimerase,GALE,sp|Q14376|GALE_HUMAN UDP-glucose 4-epimerase OS=Homo sapiens OX=9606 GN=GALE PE=1 SV=2;tr|Q5QPP3|Q5QPP3_HUMAN UDP-glucose 4-epimerase (Fragment) OS=Homo sapiens OX=9606 GN=GALE PE=1 SV=1;tr|Q5QPP1|Q5QPP1_HUMAN UDP-glucose 4-epimerase (Fragment) OS=Homo sap,13,13,64.9,348
MCM6,-0.0021957481,0.987804685861901,0,Q14566,Q14566,21,21,21,DNA replication licensing factor MCM6,MCM6,sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,21,21,27.4,821
GANAB,-0.4172862466,0.0271441279293427,0,Q14697;F5H6X6;E9PKU7;E9PNH1,Q14697;F5H6X6;E9PKU7,29;27;25;5,29;27;25;5,29;27;25;5,Neutral alpha-glucosidase AB,GANAB,sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3;tr|F5H6X6|F5H6X6_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=1;tr|E9PKU7|E9PKU7_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens,29,29,45.6,944
MVP,-0.6903115168,0.00389887260333657,0,Q14764;H3BP76;H3BUK7;H3BNF6;H3BRL2;H3BQK6;H3BNF2;H3BUP3;H3BQE7;H3BPZ2,Q14764,28;7;7;7;7;7;3;3;3;2,28;7;7;7;7;7;3;3;3;2,28;7;7;7;7;7;3;3;3;2,Major vault protein,MVP,sp|Q14764|MVP_HUMAN Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,28,28,42.6,893
LASP1,0.1253212529,0.354890189416688,0,Q14847;C9J9W2;F6S2S5;K7ESD6,Q14847;C9J9W2,10;7;3;2,10;7;3;2,10;7;3;2,LIM and SH3 domain protein 1,LASP1,sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2;tr|C9J9W2|C9J9W2_HUMAN LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=1,10,10,40.2,261
KPNB1,0.0752897355,0.447166540958754,0,Q14974;J3KTM9;J3QR48;J3QKQ5;J3KS06,Q14974;J3KTM9,22;12;9;3;1,22;12;9;3;1,22;12;9;3;1,Importin subunit beta-1,KPNB1,sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2;tr|J3KTM9|J3KTM9_HUMAN Importin subunit beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=1,22,22,27.7,876
SEPT2,-0.3664585962,0.0138510548576764,0,Q15019;B5MCX3;C9J2Q4;C9JB25;C9J938;H7C2Y0;C9IZU3;H7C310;C9IY94;C9JQJ4;C9JZI2;B5MD47;F8WB65;C9JFT1;A0A1B0GXJ2;C9JT15;C9JSE7;H7C1T1,Q15019;B5MCX3;C9J2Q4;C9JB25;C9J938;H7C2Y0;C9IZU3,14;12;9;8;7;7;7;6;5;5;4;3;3;3;3;2;2;1,14;12;9;8;7;7;7;6;5;5;4;3;3;3;3;2;2;1,14;12;9;8;7;7;7;6;5;5;4;3;3;3;3;2;2;1,Septin-2,SEPT2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9JB25|C9JB2,14,14,51,361
EFTUD2,-0.3973829424,0.0318070641789043,0,Q15029;K7EP67;K7EJ74,Q15029,17;6;4,15;4;2,15;4;2,116 kDa U5 small nuclear ribonucleoprotein component,EFTUD2,sp|Q15029|U5S1_HUMAN 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,17,15,18.7,972
KARS,0.2849341917,0.0867540929003559,0,Q15046;H3BVA8;J3KRL2;H3BPV7;H3BRC9,Q15046,15;7;5;3;1,15;7;5;3;1,15;7;5;3;1,Lysine--tRNA ligase,KARS,sp|Q15046|SYK_HUMAN Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,15,15,31.8,597
RRS1,-0.0132652469,0.927980918274517,0,Q15050,Q15050,3,3,3,Ribosome biogenesis regulatory protein homolog,RRS1,sp|Q15050|RRS1_HUMAN Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,3,3,19.2,365
EIF4H,-0.1820371859,0.195772792886317,0,Q15056,Q15056,5,5,5,Eukaryotic translation initiation factor 4H,EIF4H,sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,5,5,41.1,248
EEA1,-0.5066095549,0.203834065893587,0,Q15075,Q15075,4,4,4,Early endosome antigen 1,EEA1,sp|Q15075|EEA1_HUMAN Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,4,4,3.8,1411
PDIA6,-0.277187826,0.0405637994571526,0,Q15084,Q15084,16,16,16,Protein disulfide-isomerase A6,PDIA6,sp|Q15084|PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,16,16,45.7,440
PAFAH1B3,-0.5522126289,0.00593728942097281,0,Q15102;M0R389;M0R1K3;M0QZT2;M0QXS6;M0R323,Q15102;M0R389;M0R1K3,12;8;6;5;4;4,12;8;6;5;4;4,12;8;6;5;4;4,Platelet-activating factor acetylhydrolase IB subunit gamma,PAFAH1B3,sp|Q15102|PA1B3_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1;tr|M0R389|M0R389_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=PAFAH1B,12,12,74.9,231
PLEC,0.5310252168,0.00342752210338268,0,Q15149;H0YDN1;E9PMV1;P58107;E9PKG0;A0A075B730;E9PQ28;E9PIA2;A0A5F9ZGX0,Q15149;H0YDN1,204;155;17;6;6;6;2;1;1,204;155;17;6;6;6;2;1;1,203;154;17;6;6;6;2;1;0,Plectin,PLEC,sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3;tr|H0YDN1|H0YDN1_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=9,204,203,46.1,4684
PPA1,0.0452721805,0.646244115200117,0,Q15181;Q5SQT6,Q15181;Q5SQT6,17;9,17;9,17;9,Inorganic pyrophosphatase,PPA1,sp|Q15181|IPYR_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2;tr|Q5SQT6|Q5SQT6_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=1,17,17,67.8,289
NONO,-0.3214250918,0.0270075176743037,0,Q15233;C9IZL7;C9JYS8;H7C367;C9J4X2;C9JJ13,Q15233;C9IZL7;C9JYS8,24;14;14;9;5;2,24;14;14;9;5;2,22;12;14;7;5;2,Non-POU domain-containing octamer-binding protein,NONO,sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4;tr|C9IZL7|C9IZL7_HUMAN Non-POU domain-containing octamer-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=1;tr|C9JYS8|C9JYS8_,24,22,49.3,471
QPRT,-1.2098447017,0.0261608057315641,1,Q15274,Q15274,4,4,4,Nicotinate-nucleotide pyrophosphorylase [carboxylating],QPRT,sp|Q15274|NADC_HUMAN Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Homo sapiens OX=9606 GN=QPRT PE=1 SV=3,4,4,13.5,297
RCN1,-0.165128188,0.543973523934925,0,Q15293,Q15293,4,4,4,Reticulocalbin-1,RCN1,sp|Q15293|RCN1_HUMAN Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,4,4,14.2,331
PCBP1,-0.2650112227,0.0471659898470346,0,Q15365,Q15365,21,21,17,Poly(rC)-binding protein 1,PCBP1,sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,21,17,85.1,356
SF3B3,-0.0302346625,0.816520283987207,0,Q15393;H3BMB0;I3L4G7;J3QKV4,Q15393,27;1;1;1,27;1;1;1,27;1;1;1,Splicing factor 3B subunit 3,SF3B3,sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,27,27,27,1217
CNN3,0.3827617625,0.031747347684899,0,Q15417;E9PDU6,Q15417;E9PDU6,10;6,10;6,9;6,Calponin-3;Calponin,CNN3,sp|Q15417|CNN3_HUMAN Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1;tr|E9PDU6|E9PDU6_HUMAN Calponin (Fragment) OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1,10,9,38.9,329
SAFB,0.1709202583,0.423877061985079,0,Q15424;K7ES42,Q15424;K7ES42,6;3,6;3,5;3,Scaffold attachment factor B1,SAFB,sp|Q15424|SAFB1_HUMAN Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4;tr|K7ES42|K7ES42_HUMAN Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=1,6,5,10.2,915
SF3A2,0.3864181944,0.0189132035595788,0,Q15428;K7EMT0,Q15428,4;1,4;1,4;1,Splicing factor 3A subunit 2,SF3A2,sp|Q15428|SF3A2_HUMAN Splicing factor 3A subunit 2 OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2,4,4,10.8,464
SF3A1,-0.0657770529,0.578671859980242,0,Q15459;H7C1L2,Q15459,7;2,7;2,7;2,Splicing factor 3A subunit 1,SF3A1,sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,7,7,10.7,793
SF1,-0.1267710033,0.515460974399077,0,Q15637;C9J792;F8WEV5,Q15637,4;1;1,4;1;1,4;1;1,Splicing factor 1,SF1,sp|Q15637|SF01_HUMAN Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4,4,4,11,639
TRIP13,0.4865850795,0.0638524931010097,0,Q15645;H0YAL2,Q15645,3;1,3;1,3;1,Pachytene checkpoint protein 2 homolog,TRIP13,sp|Q15645|PCH2_HUMAN Pachytene checkpoint protein 2 homolog OS=Homo sapiens OX=9606 GN=TRIP13 PE=1 SV=2,3,3,10.2,432
MAPRE1,0.1051871096,0.398748259386673,0,Q15691,Q15691,9,9,9,Microtubule-associated protein RP/EB family member 1,MAPRE1,sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,9,9,44.8,268
ELAVL1,0.0546840225,0.698496452440729,0,Q15717;M0QZR9;M0R055,Q15717,7;2;1,7;2;1,7;2;1,ELAV-like protein 1,ELAVL1,sp|Q15717|ELAV1_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,7,7,26.4,326
MYLK,-0.3923694475,0.13678290306256,0,Q15746,Q15746,1,1,1,"Myosin light chain kinase, smooth muscle;Myosin light chain kinase, smooth muscle, deglutamylated form",MYLK,"sp|Q15746|MYLK_HUMAN Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4",1,1,0.4,1914
TOMM34,0.0375878085,0.792729552637631,0,Q15785,Q15785,12,12,12,Mitochondrial import receptor subunit TOM34,TOMM34,sp|Q15785|TOM34_HUMAN Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,12,12,51.1,309
UBE2V2,0.008302068,0.934969559522547,0,Q15819;G3V113;H0YBP9,Q15819;G3V113;H0YBP9,4;3;2,2;1;1,2;1;1,Ubiquitin-conjugating enzyme E2 variant 2,UBE2V2,sp|Q15819|UB2V2_HUMAN Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4;tr|G3V113|G3V113_HUMAN Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=1;tr|H0YBP9|H0YBP9_HUMAN Ubiquitin-conjug,4,2,30.3,145
