Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DDA1_N1,Intensity DDA1_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
O15541;Q8IZP6,O15541,8;1,8;1,8;1,RING finger protein 113A,RNF113A,sp|O15541|R113A_HUMAN E3 ubiquitin-protein ligase RNF113A OS=Homo sapiens OX=9606 GN=RNF113A PE=1 SV=1,8,8,27.7,27.8593465314065,27.6767386601852,26.9297640724774,26.9008111737587
Q63HN8;A0A0A0MTC1;A0A0A0MTR7,Q63HN8;A0A0A0MTC1;A0A0A0MTR7,8;8;8,8;8;8,8;8;8,E3 ubiquitin-protein ligase RNF213,RNF213,sp|Q63HN8|RN213_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=3;tr|A0A0A0MTC1|A0A0A0MTC1_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=1;tr|A0A0A0MTR7|A0A0A0MTR7_HUMAN E3 ubiquitin-p,8,8,2.1,23.2657077481624,22.8437968681078,24.7531257322123,25.0662413075099
Q13464;A0A0U1RQV4,Q13464;A0A0U1RQV4,12;11,12;11,8;7,Rho-associated protein kinase 1,ROCK1,sp|Q13464|ROCK1_HUMAN Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1;tr|A0A0U1RQV4|A0A0U1RQV4_HUMAN Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1,12,8,10.3,4.44813127545976,4.42301530869759,27.0422867628748,27.1135655681739
O75116;E9PF63;Q14DU5;D6REE7;C9JFJ0,O75116;E9PF63;Q14DU5,12;9;7;4;3,8;7;6;1;0,8;7;6;1;0,Rho-associated protein kinase 2,ROCK2,sp|O75116|ROCK2_HUMAN Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4;tr|E9PF63|E9PF63_HUMAN Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=1;tr|Q14DU5|Q14DU5_HUMAN ROCK2 protein OS=Homo sapiens OX=9606,12,8,10.6,4.44813127545976,4.42301530869759,26.652941228801,26.2826668141428
P39023;G5E9G0;H7C422;H7C3M2;B5MCW2;F8WCR1,P39023;G5E9G0;H7C422;H7C3M2;B5MCW2,8;7;6;6;6;3,8;7;6;6;6;3,8;7;6;6;6;3,60S ribosomal protein L3,RPL3,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2;tr|G5E9G0|G5E9G0_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=1;tr|H7C422|H7C422_HUMAN 60S ribosomal protein L3 (Fragment) OS=Homo sapiens OX=9,8,8,23.3,27.9637245266219,28.2669589240181,24.2467000128477,23.9283718508312
Q01105;A0A0C4DFV9;P0DME0;A0A087X027,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,8;8;5;5,8;8;5;5,8;8;5;5,Protein SET;Protein SETSIP,SET;SETSIP,sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1;sp|P0DME0|SETLP_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;tr|A0A087X027|A0A0,8,8,37.9,30.3213074480012,30.4074033095874,28.0017968731582,27.3989295740992
P42285;H0YAC4;H0Y8U3,P42285,8;1;1,8;1;1,8;1;1,Superkiller viralicidic activity 2-like 2,SKIV2L2,sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,8,8,9.7,26.0229299015728,25.31796568158,4.42168670121973,4.40094061045596
P51532;Q9HBD4;A0A2R8Y4P4;A0A2R8Y7S2;A0A0A0MT49;A0A2R8YGG3;A0A2R8YG32;A0A2R8Y440;A0A2R8YGP5;A0A2R8YF58;A0A2R8Y4C5;A0A2R8Y6N0;A0A2R8Y7F3;A0A2R8Y526;A0A2R8Y7Y7;A0A2R8YF80;A0A2R8YDA1;A0A2R8Y6V2;A0A2R8YCY3;A0A2R8Y523;A0A2R8YFV8;A0A2R8Y4R6;A0A2R8Y5K3;K7EQF0;A0A2R8YFK5;K7EP28;B1ALG2;F6T8Q0;B1ALG1;A0A0U1RRD6;A0A0U1RR09;A0A2R8Y7R0;F6UH26;A0A0A0MSS5;A0A0U1RRF8;A0A0U1RRF5,P51532;Q9HBD4;A0A2R8Y4P4;A0A2R8Y7S2;A0A0A0MT49;A0A2R8YGG3;A0A2R8YG32;A0A2R8Y440;A0A2R8YGP5;A0A2R8YF58;A0A2R8Y4C5;A0A2R8Y6N0;A0A2R8Y7F3;A0A2R8Y526;A0A2R8Y7Y7;A0A2R8YF80;A0A2R8YDA1;A0A2R8Y6V2;A0A2R8YCY3,16;16;16;16;16;15;13;13;13;12;12;12;12;11;11;11;11;11;8;7;7;7;3;3;3;2;1;1;1;1;1;1;1;1;1;1,16;16;16;16;16;15;13;13;13;12;12;12;12;11;11;11;11;11;8;7;7;7;3;3;3;2;1;1;1;1;1;1;1;1;1;1,8;8;8;8;8;7;5;5;7;5;5;5;5;4;4;4;5;4;3;2;2;2;1;1;1;1;0;0;0;0;0;1;0;0;0;0,Transcription activator BRG1,SMARCA4,sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2;tr|Q9HBD4|Q9HBD4_HUMAN SMARCA4 isoform 2 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=1;tr|A0A2R8Y4P4|A0A2R8Y4P4_HUMAN Transcription activator BRG1 OS=Homo sapien,16,8,12.8,29.3415958482087,29.2913620466353,24.4356168546784,24.3687963082371
Q9H0W8;M0R0U0;M0R2N0;M0QZC7;M0QZH1;M0QX70;M0QYR7,Q9H0W8,8;3;2;2;1;1;1,8;3;2;2;1;1;1,8;3;2;2;1;1;1,Protein SMG9,SMG9,sp|Q9H0W8|SMG9_HUMAN Protein SMG9 OS=Homo sapiens OX=9606 GN=SMG9 PE=1 SV=1,8,8,24.8,4.44813127545976,4.42301530869759,26.7462471582941,26.1757896740499
O00161;H3BM38;H3BNE1;H3BR18;H3BPJ0;H3BNG6;H3BU94;H3BR99;H3BV99;H3BP15;H3BQY9,O00161;H3BM38;H3BNE1;H3BR18;H3BPJ0,8;8;7;7;7;3;3;3;2;2;2,8;8;7;7;7;3;3;3;2;2;2,8;8;7;7;7;3;3;3;2;2;2,Synaptosomal-associated protein 23;Synaptosomal-associated protein,SNAP23,sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1;tr|H3BM38|H3BM38_HUMAN Synaptosomal-associated protein (Fragment) OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1;tr|H3BNE1|H3BNE1_HUMAN Synaptosomal-associate,8,8,38.4,23.2033677200214,23.6123112163396,27.7772467856112,28.0273875253042
O95721;C9JAF7,O95721;C9JAF7,8;4,8;4,8;4,Synaptosomal-associated protein 29;Synaptosomal-associated protein,SNAP29,sp|O95721|SNP29_HUMAN Synaptosomal-associated protein 29 OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1;tr|C9JAF7|C9JAF7_HUMAN Synaptosomal-associated protein 29 (Fragment) OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1,8,8,43.4,23.366012335634,22.6866270474349,28.7821617427115,28.5138987572373
P62316;K7ERG4;K7EJB5,P62316;K7ERG4,8;5;2,8;5;2,8;5;2,Small nuclear ribonucleoprotein Sm D2,SNRPD2,sp|P62316|SMD2_HUMAN Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1;tr|K7ERG4|K7ERG4_HUMAN Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,8,8,61.9,27.0685596814044,27.4612333715764,26.5549526186444,25.8508371350379
Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EN94;A0A1W2PNU8;K7EJM5;A0A087WXQ5;A0A087WV68;A0A087WXV3;A0A087WX67;A0A087WW61;A0A0A0MSV7;K7EJ99;A0A087WZC9;A0A087WYE7;K7EL26;A0A087WZM1;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EN94;A0A1W2PNU8;K7EJM5;A0A087WXQ5;A0A087WV68,8;7;7;7;7;7;6;5;5;5;4;4;3;3;3;3;3;2;2;1;1;1,8;7;7;7;7;7;6;5;5;5;4;4;3;3;3;3;3;2;2;1;1;1,8;7;7;7;7;7;6;5;5;5;4;4;3;3;3;3;3;2;2;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,8,8,35.0,30.0045050526212,30.7287437114994,27.1961050003232,26.7108282896966
Q15813;A0A2R8Y5Q8;A0A2R8YHI9;A0A2U3TZJ6;A0A2R8Y7E7;A0A2R8Y6Q1;A0A2R8YFL4;A0A2R8YER9;A0A2R8Y809;A0A2R8Y4V6;A0A2R8Y784;A0A2R8Y4P2;A0A2R8YFM3;A0A2R8Y787;A0A2R8Y6L2;A0A2R8Y5H6;A0A2R8Y897;A0A2R8Y4E7;A0A2R8Y597;A0A2R8Y6G3;A0A2R8Y7H8;A0A2R8YF12;A0A2R8YH53,Q15813;A0A2R8Y5Q8;A0A2R8YHI9;A0A2U3TZJ6;A0A2R8Y7E7;A0A2R8Y6Q1;A0A2R8YFL4,8;7;7;7;6;6;4;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1,8;7;7;7;6;6;4;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1,8;7;7;7;6;6;4;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1,Tubulin-specific chaperone E,TBCE,sp|Q15813|TBCE_HUMAN Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1;tr|A0A2R8Y5Q8|A0A2R8Y5Q8_HUMAN Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1;tr|A0A2R8YHI9|A0A2R8YHI9_HUMAN Tubulin-specific chaperone E OS,8,8,20.3,23.5433874212014,23.26026144609,25.341197106255,26.538750906763
P55327;H0YC42;E5RFR7;H0YC44;E5RK35,P55327;H0YC42;E5RFR7;H0YC44,8;7;4;4;1,8;7;4;4;1,8;7;4;4;1,Tumor protein D52,TPD52,sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2;tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;tr|E5RFR7|E5RFR7_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=1;tr|H0YC4,8,8,51.8,26.3292688689685,25.5434196355724,28.7629074855566,28.5239134756772
Q2NL82;I3L1Q5,Q2NL82,8;3,8;3,8;3,Pre-rRNA-processing protein TSR1 homolog,TSR1,sp|Q2NL82|TSR1_HUMAN Pre-rRNA-processing protein TSR1 homolog OS=Homo sapiens OX=9606 GN=TSR1 PE=1 SV=1,8,8,11.8,27.2415450616947,26.2911248790121,25.2722020456279,25.186351553128
P26368;K7ENG2,P26368;K7ENG2,8;8,8;8,8;8,Splicing factor U2AF 65 kDa subunit,U2AF2,sp|P26368|U2AF2_HUMAN Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4;tr|K7ENG2|K7ENG2_HUMAN U2 snRNP auxiliary factor large subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=1,8,8,29.7,28.3717317853732,28.1754565815377,26.2612841950751,25.1026953159762
Q92890;C9JNP9;C9IZG3;C9J6N9,Q92890;C9JNP9;C9IZG3,8;4;4;3,8;4;4;3,8;4;4;3,Ubiquitin fusion degradation protein 1 homolog,UFD1L,sp|Q92890|UFD1_HUMAN Ubiquitin recognition factor in ER-associated degradation protein 1 OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=3;tr|C9JNP9|C9JNP9_HUMAN Ubiquitin recognition factor in ER-associated degradation protein 1 (Fragment) OS=Homo sapiens OX=9606,8,8,35.8,27.1975117300874,27.8287484778982,27.5655082952714,27.0252766242898
Q9HAU5,Q9HAU5,8,8,8,Regulator of nonsense transcripts 2,UPF2,sp|Q9HAU5|RENT2_HUMAN Regulator of nonsense transcripts 2 OS=Homo sapiens OX=9606 GN=UPF2 PE=1 SV=1,8,8,9.0,4.44813127545976,4.42301530869759,26.7765567260068,26.6532146477426
Q9UPU5;A0A0U1RQI9,Q9UPU5,8;1,8;1,8;1,Ubiquitin carboxyl-terminal hydrolase 24,USP24,sp|Q9UPU5|UBP24_HUMAN Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens OX=9606 GN=USP24 PE=1 SV=3,8,8,4.1,22.3937779788462,25.179685898575,26.5211223470216,24.4959467378892
Q2YD98,Q2YD98,10,10,8,UV-stimulated scaffold protein A,UVSSA,sp|Q2YD98|UVSSA_HUMAN UV-stimulated scaffold protein A OS=Homo sapiens OX=9606 GN=UVSSA PE=1 SV=2,10,8,20.5,28.4877297154299,28.0823313136796,4.42168670121973,4.40094061045596
P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,8;8;4;4;1,8;8;4;4;1,8;8;4;4;1,Voltage-dependent anion-selective channel protein 2,VDAC2,sp|P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2;tr|A0A0A0MR02|A0A0A0MR02_HUMAN Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=1;tr,8,8,32.3,25.6033148361874,27.277816343407,26.7380215250874,26.867264032356
Q96AX1;H3BMM5;A0A2R8YF87;F5H6Y0;F5H2X5;A0A2R8Y5U3;F5H7N5,Q96AX1;H3BMM5;A0A2R8YF87;F5H6Y0,8;8;8;4;2;2;1,8;8;8;4;2;2;1,8;8;8;4;2;2;1,Vacuolar protein sorting-associated protein 33A,VPS33A,sp|Q96AX1|VP33A_HUMAN Vacuolar protein sorting-associated protein 33A OS=Homo sapiens OX=9606 GN=VPS33A PE=1 SV=1;tr|H3BMM5|H3BMM5_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1;tr|A0A2R8YF87|A0A2R8YF87_HUMAN Vacuolar protein sorting-assoc,8,8,14.9,23.773688208517,23.1713790124044,25.6740868568228,25.5913789859455
Q15906;A0A1W2PPT2,Q15906;A0A1W2PPT2,8;5,8;5,8;5,Vacuolar protein sorting-associated protein 72 homolog,VPS72,sp|Q15906|VPS72_HUMAN Vacuolar protein sorting-associated protein 72 homolog OS=Homo sapiens OX=9606 GN=VPS72 PE=1 SV=1;tr|A0A1W2PPT2|A0A1W2PPT2_HUMAN Vacuolar protein sorting-associated protein 72 homolog OS=Homo sapiens OX=9606 GN=VPS72 PE=1 SV=1,8,8,23.9,27.5145760965319,27.8459537014796,23.099343957485,22.9092148450457
Q8N3P4;C9JJN9;C9JP71;C9JG07;C9JPI1,Q8N3P4;C9JJN9,8;8;2;2;1,8;8;2;2;1,8;8;2;2;1,Vacuolar protein sorting-associated protein 8 homolog,VPS8,sp|Q8N3P4|VPS8_HUMAN Vacuolar protein sorting-associated protein 8 homolog OS=Homo sapiens OX=9606 GN=VPS8 PE=1 SV=3;tr|C9JJN9|C9JJN9_HUMAN Vacuolar protein sorting-associated protein 8 homolog OS=Homo sapiens OX=9606 GN=VPS8 PE=1 SV=1,8,8,6.0,4.44813127545976,4.42301530869759,25.7460677233945,25.9051568864331
P61964;V9GZ59;V9GYQ5,P61964,8;2;1,8;2;1,8;2;1,WD repeat-containing protein 5,WDR5,sp|P61964|WDR5_HUMAN WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1,8,8,34.4,26.9716938712898,27.2331562159274,4.42168670121973,4.40094061045596
Q9BZ95;H0YE68;E9PKA2,Q9BZ95,8;2;2,8;2;2,8;2;2,Histone-lysine N-methyltransferase NSD3,WHSC1L1,sp|Q9BZ95|NSD3_HUMAN Histone-lysine N-methyltransferase NSD3 OS=Homo sapiens OX=9606 GN=NSD3 PE=1 SV=1,8,8,7.9,26.8010698797179,26.2772310607845,4.42168670121973,4.40094061045596
O14980;H7BZC5;C9IZS4;C9JQ02;C9JV99;C9J673;C9JKM9,O14980,8;1;1;1;1;1;1,8;1;1;1;1;1;1,8;1;1;1;1;1;1,Exportin-1,XPO1,sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,8,8,9.4,23.9290416412951,24.1031912036107,26.2437254576375,25.5603713213662
O95625;C9J2L2,O95625,8;1,8;1,8;1,Zinc finger and BTB domain-containing protein 11,ZBTB11,sp|O95625|ZBT11_HUMAN Zinc finger and BTB domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZBTB11 PE=1 SV=2,8,8,10.9,26.8585168172739,27.2763970663216,4.42168670121973,4.40094061045596
Q9NUQ8,Q9NUQ8,9,9,9,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,9,9,17.8,4.44813127545976,4.42301530869759,26.4675281888522,25.9359126497852
Q9H3P7,Q9H3P7,9,9,9,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,9,9,20.5,4.44813127545976,4.42301530869759,26.6438892100658,26.9017319939852
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;P35612;D6RJE2,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,10;10;10;7;6;2;2;1;1,10;10;10;7;6;2;2;1;1,9;9;9;7;5;2;2;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,10,9,19.7,4.44813127545976,4.42301530869759,28.1754565815377,27.102094568501
Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6;E9PMU9;H0YDN9;E9PMR9;E9PM63;E9PJT7;E9PK28;E9PN48;H0YDX1;H0YF45,Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6,11;11;11;9;6;5;5;3;3;3;3;3;2;1,10;10;10;8;5;4;5;2;2;2;2;2;1;1,9;9;9;7;4;3;5;1;1;1;1;1;1;1,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,sp|Q8N6H7|ARFG2_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|A0A0D9SF70|A0A0D9SF70_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|G5E9L0,11,9,34.0,4.44813127545976,4.42301530869759,28.088662821432,27.911536727468
Q9NVM9;H0YH12;F5H5W1;F5H457;H0YIA9,Q9NVM9,9;4;2;2;1,9;4;2;2;1,9;4;2;2;1,Protein asunder homolog,ASUN,sp|Q9NVM9|INT13_HUMAN Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,9,9,13.9,27.9589769990532,27.7700791933094,24.145304665247,23.571379547041
Q9H6J7;E9PI12;E9PI28;H0YDJ0;H0YDE7,Q9H6J7,9;4;2;2;1,9;4;2;2;1,9;4;2;2;1,UPF0705 protein C11orf49,C11orf49,sp|Q9H6J7|CK049_HUMAN UPF0705 protein C11orf49 OS=Homo sapiens OX=9606 GN=C11orf49 PE=1 SV=2,9,9,44.4,29.0658665301838,29.0811124780333,25.0297691323784,26.8215287689828
Q53F19;K7ELP6,Q53F19,9;2,9;2,9;2,Uncharacterized protein C17orf85,C17orf85,sp|Q53F19|NCBP3_HUMAN Nuclear cap-binding protein subunit 3 OS=Homo sapiens OX=9606 GN=NCBP3 PE=1 SV=2,9,9,21.3,27.4646646478857,27.6106967490716,25.670417454131,25.552213624724
Q8N163;H0YB24;E5RFJ3;E5RGU7;H0YC69;H0YC58;E5RHJ4;E5RHH8,Q8N163;H0YB24,29;21;6;5;4;4;4;2,29;21;6;5;4;4;4;2,9;1;6;5;4;4;2;2,Cell cycle and apoptosis regulator protein 2,CCAR2,sp|Q8N163|CCAR2_HUMAN Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2;tr|H0YB24|H0YB24_HUMAN Cell cycle and apoptosis regulator protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=1,29,9,50.4,31.8713314143959,31.9320615937284,28.4302183570926,28.0749007587144
Q86WR0;G3V121;B7Z2L8;Q0VGD4,Q86WR0,9;4;4;1,9;4;4;1,9;4;4;1,Coiled-coil domain-containing protein 25,CCDC25,sp|Q86WR0|CCD25_HUMAN Coiled-coil domain-containing protein 25 OS=Homo sapiens OX=9606 GN=CCDC25 PE=1 SV=2,9,9,35.1,26.2086978572246,26.1454018524235,27.5445844608778,27.6922552554256
P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23;Q9Y281,P23528;G3V1A4;E9PP50;E9PK25;E9PQB7,9;8;8;8;5;4;4;2,9;8;8;8;5;4;4;2,9;8;8;8;5;4;4;2,Cofilin-1,CFL1,"sp|P23528|COF1_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3;tr|G3V1A4|G3V1A4_HUMAN Cofilin 1 (Non-muscle), isoform CRA_a OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=1;tr|E9PP50|E9PP50_HUMAN Cofilin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CFL1 PE=1",9,9,64.5,29.7047077760439,30.7273647332552,28.5102054317959,27.8857648797111
Q99439;B4DDF4;B4DUT8;H3BVI6;A0A087X271;A0A087X1X5;K7ES69;H3BQH0;A0A087WV51;U3KPS3,Q99439;B4DDF4;B4DUT8;H3BVI6;A0A087X271;A0A087X1X5;K7ES69,10;10;10;9;8;6;5;2;1;1,9;9;9;8;7;6;4;2;1;1,9;9;9;8;7;6;4;2;1;1,Calponin-2;Calponin,CNN2,sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4;tr|B4DDF4|B4DDF4_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|B4DUT8|B4DUT8_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|H3BVI6|H3BVI6_HUMAN Calponin OS,10,9,38.2,29.7316757396407,30.3386238444249,29.6597441950181,29.8748892338091
Q6UX04;D6REK3,Q6UX04;D6REK3,9;7,9;7,9;7,Peptidyl-prolyl cis-trans isomerase CWC27 homolog,CWC27,sp|Q6UX04|CWC27_HUMAN Spliceosome-associated protein CWC27 homolog OS=Homo sapiens OX=9606 GN=CWC27 PE=1 SV=1;tr|D6REK3|D6REK3_HUMAN Spliceosome-associated protein CWC27 homolog OS=Homo sapiens OX=9606 GN=CWC27 PE=1 SV=1,9,9,37.9,28.1473442223445,27.6797614189136,26.0178003514839,25.3817240666834
O60879;A6NML8;K4DI95;C9J6U3,O60879;A6NML8;K4DI95;C9J6U3,9;9;9;9,9;9;9;9,9;9;9;9,Protein diaphanous homolog 2,DIAPH2,"sp|O60879|DIAP2_HUMAN Protein diaphanous homolog 2 OS=Homo sapiens OX=9606 GN=DIAPH2 PE=1 SV=1;tr|A6NML8|A6NML8_HUMAN Diaphanous homolog 2 (Drosophila), isoform CRA_c OS=Homo sapiens OX=9606 GN=DIAPH2 PE=1 SV=3;tr|K4DI95|K4DI95_HUMAN Diaphanous homolog 2 (",9,9,10.7,4.44813127545976,4.42301530869759,26.3110335821443,26.5113219637762
Q99613;B5ME19;H3BPE3;H3BPE4,Q99613;B5ME19,9;9;1;1,9;9;1;1,9;9;1;1,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,9,9,16.0,4.44813127545976,4.42301530869759,26.3251220581853,26.3097333491958
O75821;K7EL20;K7ER90;K7EP16;K7ENA8;K7EL60,O75821;K7EL20;K7ER90;K7EP16;K7ENA8,9;7;6;5;5;1,9;7;6;5;5;1,9;7;6;5;5;1,Eukaryotic translation initiation factor 3 subunit G,EIF3G,sp|O75821|EIF3G_HUMAN Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2;tr|K7EL20|K7EL20_HUMAN Eukaryotic translation initiation factor 3 subunit G (Fragment) OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=8;tr|K7ER9,9,9,29.1,25.2079981411266,25.0712426990551,28.6127366897409,28.5462048046717
P50402;Q5HY57;F8WEQ1,P50402;Q5HY57,9;5;1,9;5;1,9;5;1,Emerin,EMD,sp|P50402|EMD_HUMAN Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1;tr|Q5HY57|Q5HY57_HUMAN Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1,9,9,50.4,27.6838488509919,27.7588159906073,27.3547265093045,27.4142555402618
Q641Q2;F8W7U3;E7ESD2;A0A087WYF6,Q641Q2;F8W7U3;E7ESD2;A0A087WYF6,42;41;40;36,42;41;40;36,9;9;9;9,WASH complex subunit FAM21A,FAM21A,sp|Q641Q2|WAC2A_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3;tr|F8W7U3|F8W7U3_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=1;tr|E7ESD2|E7ESD2_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN,42,9,55.4,4.44813127545976,4.42301530869759,30.9410473152122,30.7391649937746
