Gene_names,SMU1_vs_BirA_logFC,SMU1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_SMU1_N1,Peptides_SMU1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_SMU1_N1,Razor___unique_peptides_SMU1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_SMU1_N1,Unique_peptides_SMU1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_SMU1_N1,Identification_type_SMU1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_SMU1_N1,Ratio_H_L_SMU1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_SMU1_N1,Ratio_H_L_normalized_SMU1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____SMU1_N1,Ratio_H_L_variability_____SMU1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_SMU1_N1,Ratio_H_L_count_SMU1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_SMU1_N1,Ratio_H_L_iso_count_SMU1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_SMU1_N1,Ratio_H_L_type_SMU1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_SMU1_N1____,Sequence_coverage_SMU1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_SMU1_N1,Intensity_L_SMU1_N1,Intensity_H_SMU1_N1,Intensity_SMU1_N2,Intensity_L_SMU1_N2,Intensity_H_SMU1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_SMU1_N1,metacell_Intensity_L_SMU1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
FLNA,0.366216613378036,0.151653878153885,Q60FE5;P21333;A0A087WWY3;F8WE98;H0Y5C6;A0A669KBC6;H0Y5F3,Q60FE5;P21333;A0A087WWY3,55;54;50;12;5;1;1,48;47;45;7;3;1;1,48;47;45;7;3;1;1,Filamin-A,tr|Q60FE5|Q60FE5_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1;sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4;tr|A0A087WWY3|A0A087WWY3_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1,7,55,48,48,25,25,37,37,22,21,34,31,22,21,34,31,26.9,24.7,24.7,278.22,2620,2620;2647;2315;604;281;73;232,0.0,167.91,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32855,0.99715,16.044,116,74,Leave out requantified,0.27701,0.38865,0.16268,0.36827,0.93775,1.0934,0.20738,0.441,18.004,18.172,88.267,49.84,22,25,35,34,5,4,34,31,Leave out requantified,Leave out requantified,Median,Leave out requantified,14.4,12.9,19.2,19.3,9196400000,7277100000,1919300000,1594800000,1255000000,339820000,2251400000,1606800000,644640000,2738300000,2283500000,454770000,2611800000,2131800000,480030000,,,,2091,381;508;627;689;1107;1278;1429;1430;2100;2133;2284;2901;3008;4019;4366;4964;5066;5218;5219;5374;5853;5983;6877;7170;7572;7786;8654;9027;9391;9713;9714;9715;10043;10182;11177;11793;13635;14283;14284;14657;15167;15188;15190;15308;15712;16214;16334;16415;16431;16657;16680;16982;16987;16989;17265,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;False;True;False;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True,469;470;618;773;851;852;1418;1649;1833;1834;2687;2725;2922;3719;3845;5083;5498;5499;6331;6465;6466;6667;6668;6669;6856;7524;7700;8785;8786;9139;9651;9952;11042;11510;11511;11949;12323;12324;12325;12736;12904;14088;14815;14816;14817;17054;17818;17819;17820;18297;18915;18943;18946;19089;19618;20258;20402;20504;20523;20824;20852;21204;21210;21212;21555;21556,1128;1129;1130;1131;1478;1479;1480;1481;1840;2030;2031;2032;2033;2034;2035;3409;3410;3411;3412;3984;4417;4418;4419;4420;4421;4422;6436;6437;6438;6439;6511;6512;6513;6514;6939;6940;6941;6942;8738;8739;8740;8741;9013;11763;12679;12680;12681;12682;12683;14596;14597;14909;14910;14911;15386;15387;15388;15389;15390;15391;15392;15393;15797;17369;17750;17751;17752;17753;20232;20233;20234;21031;21032;22132;22833;25455;25456;25457;26515;26516;26517;26518;26519;26520;27472;27473;28272;28273;28274;28275;28276;28277;29229;29230;29231;29232;29233;29604;29605;29606;29607;32226;33846;33847;33848;33849;33850;39005;40851;40852;40853;40854;40855;40856;40857;40858;41982;41983;41984;43413;43490;43496;43497;43838;45133;45134;46671;46672;46978;47221;47262;47996;48063;48849;48850;48862;48863;48866;48867;49622;49623;49624;49625,1942;1943;1944;1945;1946;1947;2491;2492;2493;2494;2495;2496;3063;3393;3394;3395;3396;3397;3398;3399;3400;3401;3402;3403;5667;5668;5669;5670;5671;6684;7498;7499;7500;7501;7502;7503;7504;7505;7506;7507;7508;7509;10916;10917;10918;10919;10920;10921;10922;10923;10924;10925;10926;11022;11023;11024;11025;11026;11027;11028;11694;11695;11696;11697;11698;11699;11700;14537;14538;14539;14540;14541;14969;19285;20829;20830;20831;20832;20833;20834;20835;20836;20837;23923;23924;24466;24467;24468;24469;25215;25216;25217;25218;25219;25220;25221;25222;25223;25224;25821;28411;28992;28993;28994;28995;28996;28997;28998;33053;33054;33055;33056;34353;34354;34355;36185;37284;41376;41377;41378;43030;43031;43032;43033;43034;43035;43036;43037;43038;43039;43040;44495;44496;44497;44498;45691;45692;45693;45694;45695;45696;45697;47204;47205;47206;47207;47208;47209;47210;47211;47212;47213;47830;47831;47832;47833;47834;47835;47836;47837;52040;54741;54742;54743;54744;54745;63034;63035;66204;66205;66206;66207;66208;66209;66210;66211;66212;66213;66214;66215;66216;68282;68283;68284;70693;70875;70881;70882;71422;73503;73504;76065;76066;76573;76974;77050;78222;78347;79545;79546;79560;79561;79564;79565;80768;80769;80770;80771;80772,1944;2496;3063;3401;5669;6684;7502;7506;10923;11023;11694;14538;14969;19285;20835;23923;24466;25217;25223;25821;28411;28997;33056;34353;36185;37284;41377;43030;44495;45691;45694;45696;47210;47834;52040;54741;63035;66205;66215;68284;70693;70875;70882;71422;73504;76066;76573;76974;77050;78222;78347;79546;79561;79564;80770,1861;1862;1863;1864;1865,,6;16;864;1425;2542,,-1;-1;-1;-1;-1;-1;-1,protein_2092,quanti,quanti,quanti,quanti
HIST2H2AA3;HIST2H2AC,-2.38528980891326,0.00198575095955387,Q6FI13;Q16777,Q6FI13;Q16777,13;12,3;3,3;3,Histone H2A type 2-A;Histone H2A type 2-C,sp|Q6FI13|H2A2A_HUMAN Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=H2AC18 PE=1 SV=3;sp|Q16777|H2A2C_HUMAN Histone H2A type 2-C OS=Homo sapiens OX=9606 GN=H2AC20 PE=1 SV=4,2,13,3,3,11,12,8,8,2,3,1,1,2,3,1,1,76.2,30.8,30.8,14.095,130,130;129,0.0,13.98,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4073,1.001,25.108,14,0,Leave out requantified,0.32509,0.4096,,0.4569,1.1507,1.001,,0.59274,16.287,37.434,,,7,6,0,1,0,0,0,0,Leave out requantified,Leave out requantified,Median,Median,70.8,76.2,58.5,58.5,1507200000,1086500000,420650000,562190000,399820000,162370000,708440000,478100000,230340000,130820000,130820000,0,105720000,77782000,27935000,,,,2097,672;673;5743;5745;5747;7485;11091;13693;15443;15444;16354;16355;16356,False;False;False;False;False;True;False;False;True;True;False;False;False,830;831;832;7358;7359;7361;7363;7364;7365;9538;13989;17123;19263;19264;20427;20428;20429;20430;20431,1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;16982;16983;16984;16985;16986;16987;16990;16991;16992;16993;16994;16995;16998;16999;17000;17001;17002;17003;17004;17005;17006;17007;21875;32014;32015;32016;32017;32018;32019;32020;32021;39189;39190;39191;39192;44238;44239;44240;44241;44242;44243;44244;44245;44246;44247;44248;44249;44250;44251;47035;47036;47037;47038;47039;47040;47041;47042;47043;47044;47045;47046;47047;47048;47049,3295;3296;3297;3298;3299;3300;3301;3302;3303;3304;3305;3306;3307;3308;3309;3310;3311;3312;3313;3314;3315;3316;3317;3318;3319;3320;3321;3322;3323;27785;27786;27787;27788;27789;27790;27791;27792;27793;27803;27804;27805;27806;27807;27808;27809;27810;27811;27812;27813;27814;27815;27816;27817;27818;27821;27822;27823;27824;27825;27826;27827;27828;27829;27830;27831;27832;27833;27834;27835;27836;27837;27838;27839;27840;27841;27842;27843;27844;27845;27846;27847;27848;27849;35745;51735;51736;51737;51738;51739;51740;51741;51742;51743;51744;51745;51746;51747;51748;63347;63348;63349;63350;63351;63352;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;76669;76670;76671;76672;76673;76674;76675;76676;76677;76678;76679;76680;76681;76682;76683;76684;76685;76686;76687;76688;76689;76690;76691;76692;76693;76694;76695;76696;76697;76698;76699;76700;76701;76702;76703;76704;76705;76706;76707;76708;76709;76710;76711;76712,3299;3323;27786;27812;27829;35745;51747;63351;72067;72074;76679;76710;76712,936;937;938,,96;119;120,,-1;-1,protein_2098,quanti,quanti,quanti,quanti
CIAPIN1,0.637980919388468,0.341647583307513,Q6FI81;H3BQ23;H3BUG4;H3BV90;H3BT65;H3BPG7,Q6FI81;H3BQ23;H3BUG4;H3BV90;H3BT65,3;2;2;2;2;1,3;2;2;2;2;1,3;2;2;2;2;1,Anamorsin,sp|Q6FI81|CPIN1_HUMAN Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2;tr|H3BQ23|H3BQ23_HUMAN Anamorsin (Fragment) OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=1;tr|H3BUG4|H3BUG4_HUMAN Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=1;tr|H3BV90|H3,6,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,17.3,17.3,17.3,33.582,312,312;129;188;246;266;239,0.0,3.3407,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58517,1.6513,118.08,3,1,Median,0.58517,0.66556,,0.2342,1.8293,1.6513,,0.22524,,,,,1,1,0,1,0,0,0,1,Median,Median,Median,Median,4.2,4.2,9.9,11.5,148300000,117990000,30313000,31538000,19616000,11923000,31478000,17945000,13534000,20756000,20756000,0,64529000,59672000,4856800,,,,2098,6638;10203;12576,True;True;True,8501;12929;15782,19618;29650;35974;35975;35976;35977,32132;47901;58115;58116;58117;58118;58119,32132;47901;58115,1870,,18,,-1;-1;-1;-1;-1;-1,protein_2099,quanti,quanti,quanti,quanti
SMYD5,0.741313065549228,0.230787570471023,Q6GMV2;E2QRN5;F8WEJ9;C9IYN9,Q6GMV2;E2QRN5;F8WEJ9;C9IYN9,3;2;2;2,3;2;2;2,3;2;2;2,SET and MYND domain-containing protein 5,sp|Q6GMV2|SMYD5_HUMAN SET and MYND domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SMYD5 PE=1 SV=2;tr|E2QRN5|E2QRN5_HUMAN SET and MYND domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SMYD5 PE=1 SV=1;tr|F8WEJ9|F8WEJ9_HUMAN SET and MYND domain-,4,3,3,3,2,1,3,2,2,1,3,2,2,1,3,2,11.5,11.5,11.5,47.34,418,418;70;81;138,0.0,4.4063,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.75156,1.2086,206.4,6,5,Median,1.017,3.1818,0.0846,1.3531,2.8234,9.3196,0.09574,1.6464,163.7,,47.834,,2,1,2,1,1,1,2,1,Median,Median,Median,Median,6.0,3.8,11.5,6.0,327220000,115020000,212200000,87536000,19662000,67874000,93470000,16270000,77200000,59982000,55813000,4169100,86234000,23273000,62961000,,,,2099,4945;7467;13036,True;True;True,6296;6297;9517;16329,14502;14503;14504;14505;21834;37291;37292;37293;37294,23760;23761;23762;23763;35684;60244;60245;60246;60247;60248,23762;35684;60244,,,,,-1;-1;-1;-1,protein_2100,quanti,quanti,quanti,quanti
LAMTOR1,-0.923879360011263,0.343655093319729,Q6IAA8;F5GX19;F5H3Y3;H0YFI1;F5H479,Q6IAA8;F5GX19;F5H3Y3,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Ragulator complex protein LAMTOR1,sp|Q6IAA8|LTOR1_HUMAN Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=2;tr|F5GX19|F5GX19_HUMAN Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=1;tr|F5H3Y3|F5H3Y3_HUMAN Ragulator complex protein LAMT,5,3,3,3,1,2,1,2,1,2,1,2,1,2,1,2,23.6,23.6,23.6,17.745,161,161;142;160;79;99,0.0,4.9699,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52185,1.1539,138.09,6,3,Median,0.48676,0.6059,0.057314,0.3297,1.1119,1.3942,0.065802,0.38732,,13.364,,159.63,1,2,1,2,0,0,1,2,Median,Median,Median,Median,8.1,15.5,8.1,15.5,87944000,59389000,28555000,12005000,7957300,4047800,45315000,28545000,16770000,5758000,5177600,580370,24866000,17709000,7157000,,,,2100,5918;8123;14111,True;True;True,7618;10399;10400;17609,17573;17574;23910;23911;40353;40354,28710;28711;28712;38926;38927;65352;65353,28710;38926;65353,,,,,-1;-1;-1;-1;-1,protein_2101,quanti,quanti,quanti,quanti
SLC25A24,-20.4947257996406,3.55279249066108e-06,Q6NUK1;A0A3B3IU96,Q6NUK1;A0A3B3IU96,2;1,2;1,2;1,Calcium-binding mitochondrial carrier protein SCaMC-1,sp|Q6NUK1|SCMC1_HUMAN Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2;tr|A0A3B3IU96|A0A3B3IU96_HUMAN Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=1,2,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,5.7,5.7,5.7,53.354,477,477;270,0.0,3.1194,By MS/MS,By MS/MS,,,0.35651,1.0102,18.939,3,3,Median,0.35651,0.39858,,,1.0102,1.0391,,,,26.685,,,1,2,0,0,1,2,0,0,Median,Median,Median,Median,2.7,5.7,0.0,0.0,106560000,73427000,33130000,23039000,16473000,6566400,83518000,56954000,26564000,0,0,0,0,0,0,,,,2106,9171;12084,True;True,11682;15183,26920;34651;34652,43722;56006;56007;56008,43722;56008,,,,,-1;-1,protein_2107,imputed MEC,imputed MEC,quanti,quanti
KANK3,20.220194440635,1.1947622204367e-07,Q6NY19,Q6NY19,2,2,2,KN motif and ankyrin repeat domain-containing protein 3,sp|Q6NY19|KANK3_HUMAN KN motif and ankyrin repeat domain-containing protein 3 OS=Homo sapiens OX=9606 GN=KANK3 PE=1 SV=1,1,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,2.1,2.1,2.1,88.424,840,840,0.0011494,2.3047,,,By MS/MS,By MS/MS,,,,0,0,Median,,,,,,,,,,,,,0,0,0,0,0,0,0,0,Median,Median,Median,Median,0.0,0.0,2.1,0.8,95182000,62019000,33162000,0,0,0,0,0,0,60134000,26971000,33162000,35048000,35048000,0,,,,2107,5476;11936,True;True,6984;15000,16088;16089;34266,26288;26289;55444,26289;55444,,,,,-1,protein_2108,quanti,quanti,imputed MEC,imputed MEC
PTRF,-19.6679002035809,1.93743437375806e-06,Q6NZI2,Q6NZI2,2,2,2,Polymerase I and transcript release factor,sp|Q6NZI2|CAVN1_HUMAN Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1,1,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,5.6,5.6,5.6,43.476,390,390,0.0,8.4202,By MS/MS,By MS/MS,,,3.5556,9.6585,102.11,5,3,Plateau,2.9566,4.2509,,,7.6973,11.496,,,16.853,138.29,,,2,3,0,0,1,2,0,0,Median,Plateau,Median,Median,5.6,5.6,0.0,0.0,140090000,39186000,100900000,40413000,10336000,30077000,99676000,28850000,70826000,0,0,0,0,0,0,,,,2108,7620;12849,True;True,9724;16096,22313;22314;22315;36714;36715,36469;36470;36471;59298;59299;59300;59301,36471;59301,,,,,-1,protein_2109,imputed MEC,imputed MEC,quanti,quanti
EDC4,-0.437148041281564,0.737495067412375,Q6P2E9;I3L2F4,Q6P2E9,6;1,6;1,6;1,Enhancer of mRNA-decapping protein 4,sp|Q6P2E9|EDC4_HUMAN Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,2,6,6,6,1,5,2,1,1,5,2,1,1,5,2,1,6.8,6.8,6.8,151.66,1401,1401;135,0.0,6.6709,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4402,0.99367,30.231,8,4,Leave out requantified,0.35858,0.51513,0.20931,0.20833,0.84598,1.136,0.21598,0.2108,,31.261,,,1,5,1,1,0,2,1,1,Median,Leave out requantified,Median,Median,0.6,5.6,2.4,1.3,273830000,208430000,65394000,15117000,10495000,4622200,184700000,131190000,53511000,41697000,38114000,3583900,32309000,28633000,3676200,,,,2111,1229;1642;7157;8177;8577;15254,True;True;True;True;True;True,1584;2088;9121;10466;10947;19027,3813;3814;5047;20992;24075;24076;24077;25216;43706,6391;6392;8544;34282;34283;39190;39191;39192;39193;39194;40991;71213,6391;8544;34282;39193;40991;71213,1875,,429,,-1;-1,protein_2112,quanti,quanti,quanti,quanti
PRPF8,0.279255730924596,0.546664385574727,Q6P2Q9;I3L0J9;I3L3Z8,Q6P2Q9,14;4;2,14;4;2,14;4;2,Pre-mRNA-processing-splicing factor 8,sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,3,14,14,14,3,7,5,4,3,7,5,4,3,7,5,4,9.0,9.0,9.0,273.6,2335,2335;1012;250,0.0,15.739,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4666,1.1613,16.739,17,11,Leave out requantified,0.38937,0.52757,0.15226,0.11594,1.0854,1.2499,0.17218,0.13063,20.281,19.641,20.777,45.728,3,7,4,3,1,3,4,3,Median,Leave out requantified,Median,Median,1.5,5.3,2.8,2.3,424850000,333590000,91258000,61051000,41224000,19827000,155390000,102080000,53308000,112740000,102030000,10706000,95674000,88257000,7416700,,,,2112,894;1434;1941;3156;3797;8781;9336;9818;12920;13315;14144;14617;17083;17496,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1124;1838;2483;4040;4805;11201;11884;12459;16187;16678;17647;18249;21329;21841,2705;4432;4433;5974;9471;9472;11149;11150;25824;27347;28575;36952;38141;38142;40446;41880;49133;49134;50266,4560;7522;7523;7524;10136;15689;15690;15691;15692;18269;18270;42015;44332;46151;46152;59687;61654;61655;61656;61657;65503;68134;79983;79984;79985;81769,4560;7523;10136;15689;18270;42015;44332;46151;59687;61657;65503;68134;79984;81769,,,,,-1;-1;-1,protein_2113,quanti,quanti,quanti,quanti
HIST2H3A;HIST1H3A;H3F3A;H3F3B;HIST3H3;H3F3C,3.56639919131954,0.000874671302885629,Q71DI3;P68431;P84243;K7EK07;Q16695;K7EMV3;A0A590UJJ6;B4DEB1;K7ES00;Q6NXT2;K7EP01,Q71DI3;P68431;P84243;K7EK07;Q16695;K7EMV3;A0A590UJJ6;B4DEB1;K7ES00;Q6NXT2,14;13;13;13;11;10;10;10;10;9;6,14;13;13;13;11;10;10;10;10;9;6,7;6;6;6;4;4;4;4;4;2;0,Histone H3.2;Histone H3.1;Histone H3.3;Histone H3;Histone H3.1t;Histone H3.3C,sp|Q71DI3|H32_HUMAN Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3;sp|P68431|H31_HUMAN Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2;sp|P84243|H33_HUMAN Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2;tr|K7EK07|K7EK07_HUMAN Histon,11,14,14,7,7,9,10,10,7,9,10,10,3,5,5,4,61.0,61.0,43.4,15.388,136,136;136;136;132;136;92;120;123;151;135;113,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42375,1.3345,27.287,56,38,Leave out requantified,0.36167,0.49266,0.020979,0.017961,1.071,1.4572,0.038801,0.031677,22.775,38.656,136.08,165.12,9,13,15,19,1,3,15,19,Leave out requantified,Leave out requantified,Median,Median,36.0,36.0,56.6,33.1,56781000000,54201000000,2580800000,1704500000,1192700000,511830000,3926100000,2526300000,1399800000,20725000000,20477000000,248760000,30425000000,30005000000,420410000,,,,2124,3036;3037;4084;10033;10034;12544;12545;12560;13730;13731;16361;17320;17348;17349,True;True;True;True;True;True;True;True;True;True;True;True;True;True,3880;3881;3882;3883;3884;5159;12722;12723;15743;15744;15745;15746;15747;15762;17162;17163;17164;17165;20436;20437;20438;21626;21627;21628;21662;21663;21664;21665,9100;9101;9102;9103;9104;9105;9106;9107;9108;9109;9110;9111;9112;9113;11918;29192;29193;29194;29195;29196;29197;35891;35892;35893;35894;35895;35896;35897;35920;35921;39280;39281;39282;39283;39284;39285;39286;39287;39288;47055;47056;47057;47058;47059;47060;47061;49777;49778;49779;49780;49781;49782;49864;49865;49866;49867;49868;49869;49870;49871;49872;49873;49874;49875,15124;15125;15126;15127;15128;15129;15130;15131;15132;15133;15134;15135;15136;15137;15138;15139;15140;15141;15142;15143;15144;15145;15146;15147;15148;15149;15150;15151;15152;15153;15154;15155;19538;47137;47138;47139;47140;47141;47142;47143;47144;47145;47146;47147;47148;47149;57992;57993;57994;57995;57996;57997;57998;57999;58000;58001;58030;58031;58032;58033;58034;63487;63488;63489;63490;63491;63492;63493;63494;63495;63496;63497;63498;63499;63500;63501;63502;63503;63504;63505;63506;63507;63508;63509;63510;63511;63512;63513;63514;76720;76721;76722;76723;76724;76725;76726;76727;76728;76729;81023;81024;81025;81026;81027;81028;81029;81030;81031;81032;81033;81034;81160;81161;81162;81163;81164;81165;81166;81167;81168;81169;81170;81171;81172;81173;81174;81175;81176;81177,15125;15137;19538;47137;47146;57992;57998;58031;63491;63513;76723;81029;81162;81173,1847;1889;1890,187,57;80;123,121,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2125,quanti,quanti,quanti,quanti
LARP4,19.1662386056334,1.42805047185281e-05,Q71RC2;F8W1Z5;F8W1I4;Q8TBL5;A0A087WTL9;F8VY40;Q96J85;X6RLN4,Q71RC2;F8W1Z5,3;2;1;1;1;1;1;1,3;2;1;1;1;1;1;1,3;2;1;1;1;1;1;1,La-related protein 4,sp|Q71RC2|LARP4_HUMAN La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3;tr|F8W1Z5|F8W1Z5_HUMAN La-related protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=1,8,3,3,3,0,0,2,2,0,0,2,2,0,0,2,2,8.0,8.0,8.0,80.595,724,724;169;125;188;188;191;375;491,0.011952,1.456,,,By MS/MS,By MS/MS,1.5993,1.7281,97.502,4,4,Median,,,2.9746,1.5993,,,3.5668,1.7281,,,150.56,24.51,0,0,2,2,0,0,2,2,Median,Median,Median,Median,0.0,0.0,5.2,4.3,157380000,37583000,119800000,0,0,0,0,0,0,101320000,7222700,94100000,56060000,30361000,25699000,,,,2125,2641;10653;10763,True;True;True,3390;13469;13595,8021;30851;30852;31121,13442;49840;49841;50257,13442;49840;50257,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_2126,quanti,quanti,imputed MEC,imputed MEC
