Gene_names,KATNB1_vs_zBirA_logFC,KATNB1_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_KATNB1_N1,Peptides_KATNB1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_KATNB1_N1,Razor___unique_peptides_KATNB1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_KATNB1_N1,Unique_peptides_KATNB1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_KATNB1_N1,Identification_type_KATNB1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_KATNB1_N1,Ratio_H_L_KATNB1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_KATNB1_N1,Ratio_H_L_normalized_KATNB1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____KATNB1_N1,Ratio_H_L_variability_____KATNB1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_KATNB1_N1,Ratio_H_L_count_KATNB1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_KATNB1_N1,Ratio_H_L_iso_count_KATNB1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_KATNB1_N1,Ratio_H_L_type_KATNB1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_KATNB1_N1____,Sequence_coverage_KATNB1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_KATNB1_N1,Intensity_L_KATNB1_N1,Intensity_H_KATNB1_N1,Intensity_KATNB1_N2,Intensity_L_KATNB1_N2,Intensity_H_KATNB1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_KATNB1_N1,metacell_Intensity_L_KATNB1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
STUB1,-1.2398273262692,0.00696082592932775,Q9UNE7;H3BS86;H3BTA3;H3BUD0,Q9UNE7;H3BS86,3;2;1;1,3;2;1;1,3;2;1;1,E3 ubiquitin-protein ligase CHIP,sp|Q9UNE7|CHIP_HUMAN E3 ubiquitin-protein ligase CHIP OS=Homo sapiens OX=9606 GN=STUB1 PE=1 SV=2;tr|H3BS86|H3BS86_HUMAN E3 ubiquitin-protein ligase CHIP (Fragment) OS=Homo sapiens OX=9606 GN=STUB1 PE=1 SV=8,4,3,3,3,2,2,1,1,2,2,1,1,2,2,1,1,12.9,12.9,12.9,34.856,303,303;213;157;185,0.0,4.1567,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62253,1.6643,5.0403,6,0,Leave out requantified,0.61249,0.61052,0.93067,0.93573,1.7208,1.4811,1.6887,1.665,9.6737,2.1101,,,2,2,1,1,0,0,0,0,Median,Median,Median,Median,8.3,8.3,4.6,4.6,195870000,107000000,88876000,46838000,27849000,18989000,52032000,29632000,22400000,64412000,32001000,32411000,32590000,17513000,15077000,,,,2811,1063;1239;15172,True;True;True,1135;1324;16235,3057;3058;3586;3587;43020;43021,6370;6371;7476;7477;7478;89919;89920;89921;89922;89923,6370;7476;89920,,,,,-1;-1;-1;-1,protein_2812,quanti,quanti,quanti,quanti
PACSIN2,0.359948728857571,0.681949862503747,Q9UNF0;A0A0U1RR22;B0QYG7;B0QYG8;H0Y923,Q9UNF0;A0A0U1RR22,6;5;2;2;1,6;5;2;2;1,6;5;2;2;1,Protein kinase C and casein kinase substrate in neurons protein 2,sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2;tr|A0A0U1RR22|A0A0U1RR22_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens,5,6,6,6,2,3,2,5,2,3,2,5,2,3,2,5,18.9,18.9,18.9,55.738,486,486;451;152;155;59,0.0,18.088,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61096,1.3138,23.737,11,1,Leave out requantified,0.37261,0.59553,0.5875,0.67351,1.1992,1.4158,0.99806,1.2154,2.5265,6.2881,46.275,30.445,2,3,2,4,0,0,1,0,Median,Leave out requantified,Median,Leave out requantified,4.7,7.0,4.5,16.5,766700000,416560000,350140000,68276000,48373000,19903000,95638000,57733000,37905000,125460000,73549000,51915000,477320000,236900000,240420000,,,,2812,64;1086;1518;2403;2415;12785,True;True;True;True;True;True,65;1159;1631;2584;2596;13708,156;157;3134;3135;3136;3137;4483;7119;7120;7151;7152;36542,260;261;262;263;264;6552;6553;6554;6555;6556;6557;6558;6559;6560;9501;15157;15158;15213;15214;15215;15216;15217;76606,260;6552;9501;15158;15213;76606,,,,,-1;-1;-1;-1;-1,protein_2813,quanti,quanti,quanti,quanti
MAGED2,-0.614759222749584,0.100328729072945,Q9UNF1;Q5H909;Q5H907,Q9UNF1;Q5H909;Q5H907,7;6;4,7;6;4,7;6;4,Melanoma-associated antigen D2,"sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform ",3,7,7,7,4,3,2,2,4,3,2,2,4,3,2,2,15.5,15.5,15.5,64.953,606,606;588;521,0.0,6.6536,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.89576,2.6427,34.081,11,3,Leave out requantified,0.80925,1.3405,0.95705,0.89786,2.2233,3.32,1.6967,1.6341,25.108,0.44818,24.811,39.925,4,3,2,2,0,1,1,1,Leave out requantified,Median,Median,Median,8.1,9.7,2.5,2.5,430490000,214880000,215620000,90348000,49857000,40491000,98423000,44831000,53592000,123530000,59301000,64232000,118190000,60887000,57302000,,,,2813,1262;1366;6437;11806;12909;15651;18923,True;True;True;True;True;True;True,1349;1460;6908;12665;13842;16737;20172,3652;3972;18207;18208;18209;33837;33838;36890;44351;53568;53569,7624;8276;38290;38291;38292;38293;38294;71072;71073;71074;71075;77384;77385;92669;112650;112651,7624;8276;38290;71072;77384;92669;112650,,,,,-1;-1;-1,protein_2814,quanti,quanti,quanti,quanti
PSMD13,0.0885415589087586,0.733964421166352,Q9UNM6;J3KNQ3;A0A087WUL9;E9PL38;E9PPD2;E9PQG3,Q9UNM6;J3KNQ3;A0A087WUL9;E9PL38,15;13;13;8;1;1,15;13;13;8;1;1,6;4;5;1;1;1,26S proteasome non-ATPase regulatory subunit 13,sp|Q9UNM6|PSD13_HUMAN 26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2;tr|J3KNQ3|J3KNQ3_HUMAN 26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=1;tr|A0A087WUL9|A0A087WUL9_HU,6,15,15,6,5,6,11,9,5,6,11,9,3,3,5,5,45.7,45.7,17.8,42.945,376,376;349;377;263;70;113,0.0,33.906,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59903,1.0648,22.243,33,10,Leave out requantified,0.25709,0.33542,0.66993,0.58838,0.85267,0.90119,1.1417,1.0475,14.307,23.402,16.097,11.436,7,6,10,10,2,4,2,2,Leave out requantified,Median,Leave out requantified,Leave out requantified,20.2,21.5,31.6,26.6,1692900000,1083700000,609140000,251270000,182080000,69190000,231730000,171020000,60714000,616790000,375520000,241270000,593090000,355130000,237960000,,,,2814,1455;4840;5366;8831;10254;11522;12547;14797;16470;16763;17306;19141;19414;21605;21606,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1563;5163;5712;9483;11029;12369;13461;15835;17597;17901;18472;20408;20715;23053;23054,4271;4272;4273;13433;13434;13435;13436;14865;25123;25124;29493;29494;33099;33100;35904;35905;42016;42017;46651;47440;48982;54278;54279;54280;54281;54282;55168;55169;55170;55171;61272;61273;61274;61275;61276,8916;8917;8918;8919;8920;27923;27924;27925;27926;27927;27928;27929;27930;27931;31037;52874;52875;52876;52877;62093;69649;69650;69651;69652;75364;75365;75366;87936;87937;97542;97543;99147;102366;114154;114155;114156;114157;114158;116162;116163;116164;116165;116166;116167;116168;116169;116170;116171;129102;129103;129104;129105;129106;129107;129108;129109;129110,8917;27924;31037;52876;62093;69652;75365;87936;97543;99147;102366;114156;116166;129107;129110,,,,,-1;-1;-1;-1;-1;-1,protein_2815,quanti,quanti,quanti,quanti
DIMT1,17.7901159967207,2.06420756980084e-07,Q9UNQ2;D6RCL3;A0A0C4DGB1;A0A494C0G7,Q9UNQ2;D6RCL3;A0A0C4DGB1;A0A494C0G7,2;1;1;1,2;1;1;1,2;1;1;1,Probable dimethyladenosine transferase,sp|Q9UNQ2|DIM1_HUMAN Probable dimethyladenosine transferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1;tr|D6RCL3|D6RCL3_HUMAN rRNA adenine N(6)-methyltransferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1;tr|A0A0C4DGB1|A0A0C4DGB1_HUMAN rRNA adenine N(6)-me,4,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,7.7,7.7,7.7,35.236,313,313;154;275;317,0.03234,0.82381,,,By MS/MS,By MS/MS,1.2892,2.1519,11.248,2,0,Median,,,1.1848,1.4027,,,1.9874,2.33,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,7.7,7.7,39006000,16044000,22962000,0,0,0,0,0,0,22277000,8677800,13599000,16729000,7366600,9362300,,,,2815,11197;14055,True;True,12018;15056,32206;32207;40047;40048,67838;67839;67840;83900,67839;83900,,,,,-1;-1;-1;-1,protein_2816,quanti,quanti,imputed MEC,imputed MEC
COPS3,-0.322228352808246,0.164289770744685,Q9UNS2;H7C3P9;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5,Q9UNS2;H7C3P9,4;2;1;1;1;1;1,4;2;1;1;1;1;1,4;2;1;1;1;1;1,COP9 signalosome complex subunit 3,sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3;tr|H7C3P9|H7C3P9_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=2,7,4,4,4,3,2,2,2,3,2,2,2,3,2,2,2,15.4,15.4,15.4,47.873,423,423;345;20;31;107;116;318,0.0,13.157,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46507,1.0965,30.183,9,0,Leave out requantified,0.28808,0.40464,0.71717,0.67939,0.69408,0.99957,1.3009,1.2154,32.714,17.048,6.1417,11.304,3,2,2,2,0,0,0,0,Leave out requantified,Median,Median,Median,9.5,6.4,8.7,8.7,318130000,195210000,122920000,48710000,35648000,13063000,57852000,40711000,17141000,122640000,63201000,59442000,88920000,55645000,33275000,,,,2817,1536;1870;4732;17429,True;True;True;True,1649;2008;5052;18602,4535;4536;5531;5532;5533;5534;13158;13159;49327,9607;9608;11719;11720;11721;11722;11723;11724;11725;11726;11727;11728;27368;27369;103146,9608;11723;27368;103146,,,,,-1;-1;-1;-1;-1;-1;-1,protein_2818,quanti,quanti,quanti,quanti
NSFL1C,1.15322745194068,0.0463366249258015,Q9UNZ2;F2Z2K0,Q9UNZ2;F2Z2K0,9;6,9;6,9;6,NSFL1 cofactor p47,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,2,9,9,9,3,1,6,9,3,1,6,9,3,1,6,9,36.5,36.5,36.5,40.572,370,370;274,0.0,26.451,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.66455,1.2262,14.889,20,3,Leave out requantified,0.30641,0.20576,0.68522,0.65636,0.97231,0.57368,1.2434,1.2262,7.0018,,19.442,12.841,3,1,7,9,1,0,0,2,Median,Median,Leave out requantified,Leave out requantified,14.9,6.2,25.1,36.5,1265300000,731130000,534190000,117730000,83784000,33949000,69009000,55730000,13279000,513150000,292800000,220340000,565430000,298810000,266610000,,,,2819,3507;9916;10372;10465;10652;15921;16586;16609;17194,True;True;True;True;True;True;True;True;True,3757;10656;11152;11249;11443;17020;17719;17743;18351,10016;28410;28411;28412;29776;30025;30026;30027;30557;30558;45079;45080;46968;46969;46970;47023;47024;48662;48663;48664,21048;59789;59790;59791;59792;59793;59794;59795;59796;59797;62676;63199;63200;63201;63202;63203;63204;64282;64283;64284;64285;94141;94142;94143;94144;98205;98206;98207;98208;98209;98210;98211;98212;98312;98313;98314;98315;101706;101707;101708;101709;101710,21048;59796;62676;63200;64285;94142;98207;98314;101707,,,,,-1;-1,protein_2820,quanti,quanti,quanti,quanti
SRRM2,0.597126414353266,0.0225618739421642,Q9UQ35;I3L4D8;I3L1C0;I3L0N7;A0A087X1W1;I3L1I8;I3L182,Q9UQ35,17;2;1;1;1;1;1,17;2;1;1;1;1;1,17;2;1;1;1;1;1,Serine/arginine repetitive matrix protein 2,sp|Q9UQ35|SRRM2_HUMAN Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,7,17,17,17,8,8,13,12,8,8,13,12,8,8,13,12,9.2,9.2,9.2,299.61,2752,2752;1018;94;115;251;297;895,0.0,74.367,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58294,1.1405,16.255,42,11,Leave out requantified,0.37653,0.51783,0.65599,0.63857,1.0993,1.2643,1.1773,1.0886,15.843,14.59,56.389,13.153,8,8,14,12,2,1,4,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,4.0,4.0,7.4,7.0,2081500000,1296100000,785460000,207530000,146340000,61195000,278090000,180920000,97177000,910640000,556280000,354370000,685260000,412540000,272720000,,,,2820,89;7450;8419;12662;12663;13316;15331;15519;16137;17215;17294;17295;17982;17983;17989;18041;18051,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,90;8014;9057;13579;13580;14278;16398;16600;17249;18375;18458;18459;19187;19188;19194;19247;19257,223;224;225;226;21188;24043;24044;36211;36212;36213;36214;37997;37998;37999;38000;43424;43976;43977;45696;45697;48726;48727;48728;48729;48945;48946;48947;50931;50932;50933;50946;50947;50948;51076;51077;51078;51079;51080;51104;51105;51106;51107,392;393;394;395;396;397;398;399;400;44610;50686;50687;75990;75991;75992;79543;79544;79545;90713;91830;91831;91832;91833;91834;95594;95595;101833;101834;101835;101836;101837;101838;101839;101840;101841;101842;101843;102253;102254;102255;106912;106913;106914;106915;106935;106936;106937;106938;107189;107190;107191;107192;107193;107232;107233;107234;107235;107236;107237;107238;107239,397;44610;50686;75990;75992;79545;90713;91830;95595;101836;102253;102255;106914;106915;106937;107190;107235,,,,,-1;-1;-1;-1;-1;-1;-1,protein_2821,quanti,quanti,quanti,quanti
PA2G4,0.348858441689814,0.130995342063017,Q9UQ80;F8VR77;F8W0A3;H0YIN7;F8VZ69,Q9UQ80;F8VR77,28;16;9;8;4,28;16;9;8;4,28;16;9;8;4,Proliferation-associated protein 2G4,sp|Q9UQ80|PA2G4_HUMAN Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3;tr|F8VR77|F8VR77_HUMAN Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=1,5,28,28,28,16,16,19,18,16,16,19,18,16,16,19,18,67.0,67.0,67.0,43.786,394,394;284;187;163;64,0.0,119.36,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54795,1.1899,13.487,80,14,Leave out requantified,0.33035,0.32147,0.68322,0.65377,1.1796,0.90826,1.2645,1.2026,15.675,8.9814,15.339,14.349,16,18,23,23,4,6,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,47.2,47.2,52.8,50.8,14335000000,8506800000,5828000000,1496500000,1036000000,460510000,2048800000,1419200000,629550000,6213100000,3375000000,2838100000,4576400000,2676500000,1899900000,,,,2821,119;571;572;573;3648;4461;5254;5915;7003;7004;7601;8823;8824;9082;9237;9238;12357;12902;12943;12944;15084;15642;15845;15846;17233;17628;18569;21131,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,122;602;603;604;3902;4767;5590;5591;6327;7512;7513;8169;9475;9476;9751;9924;9925;13251;13835;13878;13879;16139;16728;16941;16942;18393;18818;19803;22548,303;304;305;306;307;308;1557;1558;1559;1560;1561;1562;1563;1564;1565;1566;10366;10367;12406;12407;12408;12409;14547;14548;14549;14550;14551;14552;16488;16489;19773;19774;19775;19776;19777;19778;21598;21599;25105;25106;25107;25108;25109;25859;25860;25861;25862;26348;26349;26350;26351;35345;35346;35347;35348;36878;36879;36967;36968;36969;42705;42706;42707;42708;42709;42710;42711;44330;44331;44876;44877;44878;44879;48772;48773;49977;49978;52633;52634;52635;52636;52637;52638;59982,623;624;625;626;627;628;629;630;631;632;633;634;635;636;637;638;639;640;641;642;643;644;645;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;3240;3241;3242;3243;3244;3245;3246;3247;21740;21741;21742;21743;21744;25833;25834;25835;25836;25837;25838;25839;25840;25841;25842;25843;25844;25845;25846;25847;25848;30282;30283;30284;30285;30286;30287;30288;30289;30290;30291;30292;30293;30294;30295;30296;30297;30298;30299;30300;34661;34662;34663;34664;34665;34666;41345;41346;41347;41348;41349;41350;41351;41352;41353;41354;41355;45439;45440;45441;45442;45443;45444;45445;45446;45447;45448;45449;45450;45451;52851;52852;52853;52854;52855;52856;52857;54476;54477;54478;54479;54480;54481;54482;55525;55526;55527;55528;55529;55530;55531;55532;55533;55534;55535;55536;55537;55538;74159;74160;74161;74162;74163;74164;74165;74166;74167;77362;77363;77364;77365;77516;77517;77518;77519;89234;89235;89236;89237;89238;89239;89240;89241;89242;89243;89244;92627;92628;93757;93758;93759;93760;101917;101918;104790;104791;104792;104793;110685;110686;110687;110688;110689;110690;110691;110692;110693;110694;110695;126285,644;3230;3243;3246;21744;25841;30290;34663;41351;41355;45448;52851;52857;54477;55534;55538;74161;77365;77516;77517;89235;92627;93759;93760;101918;104790;110691;126285,,,,,-1;-1;-1;-1;-1,protein_2822,quanti,quanti,quanti,quanti
SMC3,-0.342739261369029,0.312048824365757,Q9UQE7,Q9UQE7,7,7,7,Structural maintenance of chromosomes protein 3,sp|Q9UQE7|SMC3_HUMAN Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,1,7,7,7,3,3,4,5,3,3,4,5,3,3,4,5,8.5,8.5,8.5,141.54,1217,1217,0.0,8.7431,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7269,1.4739,17.12,15,1,Leave out requantified,0.51016,0.74342,0.80379,0.76765,1.5921,1.8049,1.3935,1.3495,43.357,6.2131,11.646,15.844,3,3,4,5,0,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,3.3,3.3,4.8,6.2,495930000,292050000,203880000,72200000,48947000,23253000,111440000,66999000,44438000,153630000,82625000,71005000,158670000,93484000,65183000,,,,2822,1000;1207;1264;9960;10460;16389;16516,True;True;True;True;True;True;True,1062;1289;1351;10705;11244;17511;17644,2841;2842;3490;3491;3654;3655;28532;28533;28534;28535;30012;30013;46418;46770;46771,5851;5852;7277;7626;7627;7628;60011;60012;60013;60014;63172;97060;97744,5851;7277;7628;60014;63172;97060;97744,,,,,-1,protein_2823,quanti,quanti,quanti,quanti
NIP7,22.3492528882647,1.36651533975824e-07,Q9Y221;J3QRD6;J3QRR4;J3QLW7,Q9Y221;J3QRD6;J3QRR4,4;3;3;1,4;3;3;1,4;3;3;1,60S ribosome subunit biogenesis protein NIP7 homolog,sp|Q9Y221|NIP7_HUMAN 60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1;tr|J3QRD6|J3QRD6_HUMAN 60S ribosome subunit biogenesis protein NIP7 homolog (Fragment) OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1;tr|J3QRR4|J,4,4,4,4,1,0,3,3,1,0,3,3,1,0,3,3,30.6,30.6,30.6,20.462,180,180;70;79;110,0.0,10.41,By MS/MS,,By MS/MS,By MS/MS,0.51914,0.92155,48.211,6,0,Leave out requantified,,,0.58849,0.56121,,,0.98437,1.0259,,,61.735,13.915,0,0,3,3,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,7.8,0.0,19.4,29.4,624340000,377360000,246980000,0,0,0,0,0,0,334730000,197270000,137460000,289610000,180090000,109520000,,,,2825,9716;10746;20455;21146,True;True;True;True,10439;11540;21838;22564,27776;30842;30843;30844;58116;58117;60030,58462;64956;64957;64958;64959;122437;122438;122439;122440;122441;126373;126374,58462;64958;122437;126373,,,,,-1;-1;-1;-1,protein_2826,quanti,quanti,imputed MEC,imputed MEC
C14orf166,23.0323004219633,1.20271091981047e-07,Q9Y224;G3V4C6;H0YJB9;G3V4E7,Q9Y224;G3V4C6,8;4;3;1,8;4;3;1,8;4;3;1,UPF0568 protein C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1",4,8,8,8,0,0,6,6,0,0,6,6,0,0,6,6,43.9,43.9,43.9,28.068,244,244;193;129;68,0.0,14.93,,,By MS/MS,By MS/MS,0.5469,0.96458,10.664,17,6,Leave out requantified,,,0.52144,0.55806,,,0.92572,0.97131,,,7.9009,13.571,0,0,9,8,0,0,3,3,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,39.8,34.8,973850000,627240000,346610000,0,0,0,0,0,0,612240000,395940000,216300000,361610000,231290000,130310000,,,,2826,846;3675;6996;7106;8364;11199;13487;13633,True;True;True;True;True;True;True;True,893;3929;7505;7624;9000;12020;14465;14615,2323;2324;2325;2326;10417;19759;19760;19761;20113;23887;23888;23889;23890;32213;38470;38471;38866,4750;4751;4752;4753;4754;4755;4756;4757;4758;4759;21824;41329;41330;41331;42133;50407;50408;50409;50410;50411;67847;80547;80548;80549;80550;81364,4753;21824;41331;42133;50410;67847;80548;81364,,,,,-1;-1;-1;-1,protein_2827,quanti,quanti,imputed MEC,imputed MEC
RUVBL2,0.159005169274916,0.39864425043381,Q9Y230;M0R0Y3;X6R2L4;M0QXI6;M0R0Z0;M0QXZ7;A0A1W2PS48,Q9Y230;M0R0Y3,27;17;13;7;3;2;1,27;17;13;7;3;2;1,27;17;13;7;3;2;1,RuvB-like 2,sp|Q9Y230|RUVB2_HUMAN RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3;tr|M0R0Y3|M0R0Y3_HUMAN RuvB-like helicase OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=1,7,27,27,27,14,12,19,18,14,12,19,18,14,12,19,18,57.2,57.2,57.2,51.156,463,463;354;259;109;50;39;50,0.0,102.45,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45924,0.91971,17.346,73,27,Leave out requantified,0.30677,0.33746,0.53155,0.51329,1.0183,0.89961,0.94434,0.91779,32.43,10.187,15.789,15.706,16,15,22,20,7,8,7,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.5,31.3,45.4,42.5,4942200000,3244700000,1697500000,658600000,488170000,170420000,726420000,530180000,196240000,1991200000,1243400000,747800000,1565900000,982920000,583010000,,,,2827,117;118;1255;2138;2139;2266;2985;4296;5331;6177;6705;7821;8546;8569;9271;11215;14537;14538;15037;15038;17369;17370;18082;18083;18214;20501;20786,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,120;121;1341;2293;2294;2440;3205;4587;5673;6625;7186;8405;9186;9211;9959;12037;15566;15567;16088;16089;18536;18537;19289;19290;19422;21889;22187,299;300;301;302;3618;3619;3620;3621;3622;3623;3624;3625;3626;6284;6285;6286;6287;6288;6289;6736;6737;6738;6739;8635;11946;11947;11948;11949;11950;11951;11952;11953;14759;14760;14761;14762;17426;17427;17428;17429;17430;18901;18902;22171;22172;22173;24356;24415;24416;24417;26440;26441;32267;32268;41353;41354;41355;42598;42599;42600;49156;49157;49158;51174;51175;51176;51177;51534;51535;51536;58265;58266;59061;59062,616;617;618;619;620;621;622;7541;7542;7543;7544;7545;7546;7547;7548;7549;7550;7551;7552;7553;7554;7555;7556;7557;13242;13243;13244;13245;13246;13247;13248;13249;13250;13251;13252;14335;14336;14337;14338;14339;14340;14341;14342;14343;14344;14345;18277;24823;24824;24825;24826;24827;24828;24829;24830;24831;24832;24833;24834;24835;24836;24837;24838;24839;24840;24841;30796;30797;30798;30799;30800;30801;36674;36675;36676;36677;36678;36679;36680;36681;36682;36683;36684;39580;39581;39582;46654;46655;46656;51283;51421;51422;51423;51424;51425;51426;51427;51428;51429;51430;51431;55751;55752;55753;67996;67997;67998;67999;68000;68001;86588;86589;86590;89003;89004;89005;102710;102711;102712;107350;107351;107352;107353;107354;107355;107356;108045;108046;108047;108048;108049;108050;122766;122767;124404;124405;124406,619;622;7543;13243;13252;14337;18277;24831;30796;36675;39582;46654;51283;51431;55751;67999;86589;86590;89003;89005;102711;102712;107350;107355;108050;122766;124405,,,,,-1;-1;-1;-1;-1;-1;-1,protein_2828,quanti,quanti,quanti,quanti
