KATNB1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
GAPDH,0.0614082807,0.483725595350018,0,P04406;E7EUT5;O14556,P04406;E7EUT5,48;37;1,48;37;1,48;37;1,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;tr|E7EUT5|E7EUT5_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=1,48,48,97.3,335
HSPB1,-0.6273135227,0.0314327042665242,0,P04792;F8WE04;C9J3N8,P04792;F8WE04,16;10;2,16;10;2,16;10;2,Heat shock protein beta-1,HSPB1,sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2;tr|F8WE04|F8WE04_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=1,16,16,94.1,205
TYMS,-0.3045519017,0.0431437779394928,0,P04818,P04818,19,19,19,Thymidylate synthase,TYMS,sp|P04818|TYSY_HUMAN Thymidylate synthase OS=Homo sapiens OX=9606 GN=TYMS PE=1 SV=3,19,19,69,313
RPN1,-0.3113704659,0.0181904548371629,0,P04843;B7Z4L4;F8WF32,P04843;B7Z4L4,23;16;3,23;16;3,23;16;3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,sp|P04843|RPN1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1;tr|B7Z4L4|B7Z4L4_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 ,23,23,51.1,607
RPN2,-0.1232279522,0.263460276332369,0,P04844;Q5JYR4;Q5JYR7,P04844;Q5JYR4;Q5JYR7,7;5;5,7;5;5,5;3;3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,sp|P04844|RPN2_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3;tr|Q5JYR4|Q5JYR4_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Fragment) OS=Homo sapie,7,5,19.8,631
GNAI2,-0.3799913093,0.0100606696432434,0,P04899;P63096;A0A3B3ITM0,P04899,11;5;2,11;5;2,7;1;1,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,sp|P04899|GNAI2_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens OX=9606 GN=GNAI2 PE=1 SV=3,11,7,41.7,355
ATP1A1,-0.0152899409,0.866462496505894,0,P05023;P13637;M0R116;A0A2R8YEY8;A0A0A0MT26;P50993;B1AKY9;H0Y7C1;Q13733;P54707;P20648;Q5TC01;M0QXF2;E9PRA5;Q5TC02;A0A669K9X0,P05023,26;11;11;11;11;10;10;8;6;3;2;2;2;2;1;1,26;11;11;11;11;10;10;8;6;3;2;2;2;2;1;1,26;11;11;11;11;10;10;8;6;3;2;2;2;2;1;1,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,26,26,31.1,1023
ATP1B1,0.2493292066,0.308070024909567,0,P05026;V9GYR2,P05026;V9GYR2,4;2,4;2,4;2,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,sp|P05026|AT1B1_HUMAN Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1;tr|V9GYR2|V9GYR2_HUMAN Sodium/potassium-transporting ATPase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1,4,4,17.2,303
ALDH2,-0.0569743684,0.622112406929204,0,P05091;F8VP50;S4R3S4;P00352;P47895;O94788;H0Y2X5;H0YMG7,P05091,12;5;3;1;1;1;1;1,11;5;3;0;0;0;0;0,11;5;3;0;0;0;0;0,"Aldehyde dehydrogenase, mitochondrial",ALDH2,"sp|P05091|ALDH2_HUMAN Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",12,11,33.7,517
SLC25A5,-0.0197761123,0.814067698890615,0,P05141;Q9H0C2,P05141,35;6,35;6,19;0,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,sp|P05141|ADT2_HUMAN ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,35,19,60.4,298
ISG15,-1.3013707404,0.00132936796723076,1,P05161;A0A096LNZ9;A0A096LPJ4,P05161;A0A096LNZ9;A0A096LPJ4,3;2;2,3;2;2,3;2;2,Ubiquitin-like protein ISG15,ISG15,sp|P05161|ISG15_HUMAN Ubiquitin-like protein ISG15 OS=Homo sapiens OX=9606 GN=ISG15 PE=1 SV=5;tr|A0A096LNZ9|A0A096LNZ9_HUMAN Ubiquitin-like protein ISG15 (Fragment) OS=Homo sapiens OX=9606 GN=ISG15 PE=1 SV=6;tr|A0A096LPJ4|A0A096LPJ4_HUMAN Ubiquitin-like pr,3,3,17.6,165
EIF2S1,0.026013412,0.844034331247986,0,P05198;G3V4T5;H0YJS4,P05198;G3V4T5;H0YJS4,20;17;16,20;17;16,20;17;16,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3;tr|G3V4T5|G3V4T5_HUMAN Eukaryotic translation initiation factor 2 subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=1;tr|H0YJ,20,20,67.6,315
RPLP1,0.113189686,0.375544757231561,0,P05386,P05386,3,3,3,60S acidic ribosomal protein P1,RPLP1,sp|P05386|RLA1_HUMAN 60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1,3,3,79.8,114
RPLP2,0.2157789646,0.117806015171573,0,P05387;H0YDD8,P05387,11;3,11;3,11;3,60S acidic ribosomal protein P2,RPLP2,sp|P05387|RLA2_HUMAN 60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,11,11,85.2,115
RPLP0;RPLP0P6,0.310632796,0.0161397114756791,0,P05388;F8VWS0;F8VU65;F8VW21;G3V210;F8VPE8;F8VZS0;F8VQY6;F8VRK7;Q8NHW5;F8VS58;F8VWV4;F8W1K8,P05388;F8VWS0;F8VU65;F8VW21;G3V210;F8VPE8;F8VZS0;F8VQY6;F8VRK7;Q8NHW5,24;22;20;17;16;15;15;14;14;12;11;10;6,24;22;20;17;16;15;15;14;14;12;11;10;6,24;22;20;17;16;15;15;14;14;12;11;10;6,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,sp|P05388|RLA0_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1;tr|F8VWS0|F8VWS0_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1;tr|F8VU65|F8VU65_HUMAN 60S acidic ribosomal protein P0 (Fragme,24,24,68.8,317
SSB,-0.0065578076,0.967703761855986,0,P05455;E7ERC4;E9PGX9;E9PFL9,P05455;E7ERC4,14;7;5;5,14;7;5;5,14;7;5;5,Lupus La protein,SSB,sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;tr|E7ERC4|E7ERC4_HUMAN Lupus La protein (Fragment) OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1,14,14,40.2,408
ITGB1,0.1181319387,0.220910036782553,0,P05556;C9JPK5;Q5T3E6;E9PLR6;E7EUI6;E7EQW5;E7ERX5,P05556,15;3;3;3;3;3;1,15;3;3;3;3;3;1,15;3;3;3;3;3;1,Integrin beta-1,ITGB1,sp|P05556|ITB1_HUMAN Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,15,15,21.8,798
KRT18,0.3917008979,0.0196925666103066,0,P05783;F8VZY9;CON__H-INV:HIT000015463,P05783;F8VZY9,43;41;4,43;41;4,31;29;4,"Keratin, type I cytoskeletal 18",KRT18,"sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;tr|F8VZY9|F8VZY9_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=1",43,31,77.7,430
UROD,-0.4873282218,0.00332479851454522,0,P06132;A0A1B0GVN9;A0A494C085;A0A1B0GVZ4;A0A494C0Q8;Q5T446;H0Y5R6;A0A494C0S8;A0A494BZY8;A0A494C007;A0A494C1D8;A0A494C1T3;A0A494C0P4,P06132;A0A1B0GVN9;A0A494C085;A0A1B0GVZ4;A0A494C0Q8;Q5T446;H0Y5R6;A0A494C0S8;A0A494BZY8,13;11;11;10;10;9;8;8;7;6;3;3;2,13;11;11;10;10;9;8;8;7;6;3;3;2,13;11;11;10;10;9;8;8;7;6;3;3;2,Uroporphyrinogen decarboxylase,UROD,sp|P06132|DCUP_HUMAN Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=2;tr|A0A1B0GVN9|A0A1B0GVN9_HUMAN Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=1;tr|A0A494C085|A0A494C085_HUMAN Uroporphyrinogen decarboxyl,13,13,43.1,367
CDK1;CDC2,-0.3083992592,0.0239757912178909,0,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,14;13;10;9,14;13;10;9,12;11;8;7,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",14,12,53.2,297
ATP5B,-0.0673636624,0.582044466306096,0,P06576;H0YH81;F8W079;F8W0P7;H0YI37,P06576;H0YH81;F8W079,34;27;19;12;9,34;27;19;12;9,34;27;19;12;9,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,"sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;tr|H0YH81|H0YH81_HUMAN ATP synthase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=1;tr|F8W079|F8W079_HUMAN ATP synthase subunit ",34,34,72.2,529
ENO1,-0.0435699013,0.638189891549465,0,P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8Y798;A0A2R8YEG5;A0A2R8Y6I8;E5RI09;E5RG95,P06733;A0A2R8Y6G6,64;57;27;24;20;13;7;7;6;2;2,64;57;27;24;20;13;7;7;6;2;2,60;53;25;22;18;12;6;6;6;0;0,Alpha-enolase,ENO1,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,64,60,97.9,434
PYGL,-0.3216249376,0.0975192084014954,0,P06737;E9PK47;P11217;H0Y4Z6,P06737;E9PK47,11;10;4;1,11;10;4;1,7;6;0;0,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",PYGL,"sp|P06737|PYGL_HUMAN Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4;tr|E9PK47|E9PK47_HUMAN Alpha-1,4 glucan phosphorylase OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=1",11,7,15,847
GPI,0.008835926,0.917321001895095,0,P06744;A0A2U3TZU2;K7EQ48;A0A0J9YXP8;A0A2R8Y6C7;A0A0J9YYH3;A0A0J9YX90;K7EPY4;K7ERC6;K7EP41;K7ENA0;A0A0J9YXM3;K7ELR7;A0A2R8YF08;K7ESF4;K7ERK8;K7EIL4;A0A0J9YXH9;A0A0J9YYI8,P06744;A0A2U3TZU2;K7EQ48;A0A0J9YXP8;A0A2R8Y6C7;A0A0J9YYH3;A0A0J9YX90,22;20;17;13;13;11;11;8;7;7;5;4;4;4;3;3;2;2;1,22;20;17;13;13;11;11;8;7;7;5;4;4;4;3;3;2;2;1,17;15;14;12;12;10;10;7;6;6;5;4;3;3;3;3;2;2;1,Glucose-6-phosphate isomerase,GPI,sp|P06744|G6PI_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4;tr|A0A2U3TZU2|A0A2U3TZU2_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=1;tr|K7EQ48|K7EQ48_HUMAN Glucose-6-phosphate isomerase (Fragment,22,17,52,558
NPM1,0.3136357281,0.0922598542454396,0,P06748;E5RI98;E5RGW4,P06748,18;4;1,18;4;1,18;4;1,Nucleophosmin,NPM1,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,18,18,56.1,294
DBI,-1.2377437777,0.000304139896914528,1,P07108;A0A0A0MTI5;B8ZWD1,P07108;A0A0A0MTI5;B8ZWD1,4;3;3,4;3;3,4;3;3,Acyl-CoA-binding protein,DBI,sp|P07108|ACBP_HUMAN Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2;tr|A0A0A0MTI5|A0A0A0MTI5_HUMAN Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=1;tr|B8ZWD1|B8ZWD1_HUMAN Acyl-CoA-binding protein OS=Homo sapiens OX=9606 ,4,4,67.8,87
LDHB,-0.0098559113,0.911888856377894,0,P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50;C9J7H8;F5H793;P07864;F5H5G7;F5H155;G3XAP5;F5H245,P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50;C9J7H8,33;32;26;22;18;13;2;2;2;2;2,30;29;23;19;17;13;0;0;0;0;0,30;29;23;19;17;13;0;0;0;0;0,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,sp|P07195|LDHB_HUMAN L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2;tr|A0A5F9ZHM4|A0A5F9ZHM4_HUMAN L-lactate dehydrogenase OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=1;tr|A0A3B3IS95|A0A3B3IS95_HUMAN L-lactate dehydrogenase OS=Homo s,33,30,72.2,334
P4HB,-0.2368692625,0.0467148635263561,0,P07237;H7BZ94;H0Y3Z3;I3L398;I3NI03;I3L312;I3L3U6;I3L0S0;I3L4M2;I3L3P5;I3L514;I3L1Y5,P07237;H7BZ94;H0Y3Z3,36;33;18;13;11;11;10;9;8;6;3;2,36;33;18;13;11;11;10;9;8;6;3;2,36;33;18;13;11;11;10;9;8;6;3;2,Protein disulfide-isomerase,P4HB,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3;tr|H7BZ94|H7BZ94_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=2;tr|H0Y3Z3|H0Y3Z3_HUMAN Protein disulfide-isomerase (Fragment) OS=Homo s,36,36,55.7,508
ANXA2;ANXA2P2,0.0234170954,0.842718884282892,0,P07355;H0YN42;A6NMY6;H0YM50;H0YMU9;H0YMD0;H0YNP5;H0YN28;H0YL33;H0YKS4;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YMW4;H0YKL9;H0YNA0;H0YKV8;H0YN52;H0YMD9;H0YKN4;H0YNB8;H0YLE2,P07355;H0YN42;A6NMY6;H0YM50;H0YMU9;H0YMD0;H0YNP5;H0YN28;H0YL33,50;40;35;34;34;34;26;25;25;23;18;14;14;14;14;12;12;12;11;8;7;5;4;4,50;40;35;34;34;34;26;25;25;23;18;14;14;14;14;12;12;12;11;8;7;5;4;4,50;40;35;34;34;34;26;25;25;23;18;14;14;14;14;12;12;12;11;8;7;5;4;4,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 ,50,50,89.1,339
CAPN1,-0.7169761264,0.00984253320646908,0,P07384;E9PRM1;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PQB3;E9PIA9,P07384,19;5;4;4;4;4;4;4;4;2,19;5;4;4;4;4;4;4;4;2,17;4;4;4;4;4;4;4;4;2,Calpain-1 catalytic subunit,CAPN1,sp|P07384|CAN1_HUMAN Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,19,17,29.7,714
TUBB,0.1033410655,0.260479458157926,0,P07437;Q5JP53;Q5ST81,P07437;Q5JP53;Q5ST81,40;40;35,9;9;4,8;8;4,Tubulin beta chain,TUBB,sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2;tr|Q5JP53|Q5JP53_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1;tr|Q5ST81|Q5ST81_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1,40,8,66.4,444
PSAP,-0.912927874,0.105226750061794,0,P07602;C9JIZ6;Q5BJH1;A0A0J9YXB8,P07602;C9JIZ6;Q5BJH1,7;6;5;1,7;6;5;1,7;6;5;1,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,sp|P07602|SAP_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;tr|C9JIZ6|C9JIZ6_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;tr|Q5BJH1|Q5BJH1_HUMAN PSAP protein OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=1,7,7,13,524
PFN1,-0.1177330298,0.226832660020141,0,P07737;K7EJ44;CON__P02584;I3L3D5,P07737;K7EJ44,15;11;5;4,15;11;5;4,15;11;5;4,Profilin-1,PFN1,sp|P07737|PROF1_HUMAN Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2;tr|K7EJ44|K7EJ44_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=1,15,15,97.1,140
APRT,-0.1599555257,0.451938147014696,0,P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3,P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3,8;6;6;5;4,8;6;6;5;4,8;6;6;5;4,Adenine phosphoribosyltransferase,APRT,sp|P07741|APT_HUMAN Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2;tr|H3BQF1|H3BQF1_HUMAN Adenine phosphoribosyltransferase (Fragment) OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=8;tr|H3BQZ9|H3BQZ9_HUMAN Adenine phosphoribosyltrans,8,8,50,180
EPRS,-0.1405285908,0.170533265943678,0,P07814;V9GYZ6;V9GZ76,P07814;V9GYZ6,37;23;2,37;23;2,37;23;2,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5;tr|V9GYZ6|V9GYZ6_HUMAN Bifunctional glutamate/proline--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=1,37,37,30.7,1512
CTSB,-1.6614629278,0.000488536054574924,1,P07858;R4GMQ5;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1;E9PJ67;E9PCB3;E9PR54;E9PS78,P07858,12;4;4;4;4;4;4;4;3;3;2;1,12;4;4;4;4;4;4;4;3;3;2;1,12;4;4;4;4;4;4;4;3;3;2;1,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3,12,12,48.1,339
HSP90AA1,0.298936013,0.0719863342118919,0,P07900;G3V2J8;Q14568;Q58FG0,P07900,61;16;7;3,39;9;1;3,39;9;1;3,Heat shock protein HSP 90-alpha,HSP90AA1,sp|P07900|HS90A_HUMAN Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,61,39,58.7,732
UQCRH;UQCRHL,0.0397342209,0.68067348850109,0,P07919;A0A096LP55,P07919;A0A096LP55,3;2,3;2,3;2,"Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 6",UQCRH;UQCRHL,"sp|P07919|QCR6_HUMAN Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2;sp|A0A096LP55|QCR6L_HUMAN Cytochrome b-c1 complex subunit 6-like, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRHL PE=3 SV=1",3,3,62.6,91
FH,-0.1457001819,0.232128013590964,0,P07954,P07954,14,14,14,"Fumarate hydratase, mitochondrial",FH,"sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",14,14,51,510
ANXA6,-0.1528220256,0.368141480998883,0,P08133;E5RK69;E7EMC6;E5RFF0;E5RJF5;E5RK63;H0YC77;E5RI05;E5RJR0;E5RIU8,P08133;E5RK69;E7EMC6,34;24;19;7;5;5;4;4;3;2,34;24;19;7;5;5;4;4;3;2,34;24;19;7;5;5;4;4;3;2,Annexin A6;Annexin,ANXA6,sp|P08133|ANXA6_HUMAN Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3;tr|E5RK69|E5RK69_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=1;tr|E7EMC6|E7EMC6_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=1,34,34,54.7,673
RHOC;RHOA,0.1097796092,0.26299530403794,0,P08134;Q5JR08;E9PQH6;C9JX21;Q5JR07;C9JNR4;Q5JR05;Q5JR06;E9PN11;U3KQA9;U3KQV3;E9PLA2;C9JRM1;P62745,P08134;Q5JR08;E9PQH6;C9JX21;Q5JR07;C9JNR4;Q5JR05,10;10;7;6;6;6;6;4;4;4;4;3;3;2,3;3;1;0;0;0;0;0;0;0;0;0;0;0,3;3;1;0;0;0;0;0;0;0;0;0;0;0,Rho-related GTP-binding protein RhoC,RHOC;RHOA,sp|P08134|RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1;tr|Q5JR08|Q5JR08_HUMAN Rho-related GTP-binding protein RhoC (Fragment) OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=8;tr|E9PQH6|E9PQH6_HUMAN Rho-related GTP-bind,10,3,40.9,193
HSP90AB1,0.1887031852,0.0773919305868652,0,P08238;Q58FF7;Q58FG1,P08238,71;26;2,71;26;2,43;13;0,Heat shock protein HSP 90-beta,HSP90AB1,sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,71,43,70,724
ASNS,-0.5479511133,0.0297873617599799,0,P08243;F8WEJ5;C9JT45;C9J057;C9JLN6;C9JM09,P08243;F8WEJ5,12;6;3;3;1;1,12;6;3;3;1;1,12;6;3;3;1;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4;tr|F8WEJ5|F8WEJ5_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=1,12,12,27.3,561
PDHA1;PDHA2,-0.1010740086,0.356649124307999,0,P08559;P29803;Q5JPT9;Q5JPU3;Q5JPU0;Q5JPU1;Q5JPU2,P08559;P29803,8;4;3;2;2;2;1,8;4;3;2;2;2;1,8;4;3;2;2;2;1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial;Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial",PDHA1;PDHA2,"sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3;sp|P29803|ODPAT_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial OS=H",8,8,24.4,390
CYC1,-0.1072708398,0.556799872232796,0,P08574,P08574,4,4,4,"Cytochrome c1, heme protein, mitochondrial",CYC1,"sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",4,4,16.3,325
MYL3;MYL1,0.1150500486,0.495244069278238,0,P08590;P05976,P08590;P05976,2;1,2;1,2;1,"Myosin light chain 3;Myosin light chain 1/3, skeletal muscle isoform",MYL3;MYL1,"sp|P08590|MYL3_HUMAN Myosin light chain 3 OS=Homo sapiens OX=9606 GN=MYL3 PE=1 SV=3;sp|P05976|MYL1_HUMAN Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=MYL1 PE=1 SV=3",2,2,15.9,195
SNRNP70,-0.5377898237,0.047393205362625,0,P08621;M0QYR1,P08621,9;3,9;3,9;3,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,sp|P08621|RU17_HUMAN U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,9,9,23.3,437
