DCAF11_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TUBB4A,0.5404472024,0.00475133973472023,0,P04350;M0R2D3;M0QY85;M0QYM7;M0R278;M0R0X0;M0QY37;M0QX14;M0R042;M0QZL7;M0R1I1;M0R2T4;A0A075B724,P04350,35;11;6;6;6;5;5;5;5;5;2;2;1,5;0;1;2;2;1;1;1;2;1;1;0;0,3;0;1;1;1;1;1;1;1;1;0;0;0,Tubulin beta-4A chain,TUBB4A,sp|P04350|TBB4A_HUMAN Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,35,3,67.1,444
GAPDH,0.0880675729,0.364379110673621,0,P04406;E7EUT5;O14556,P04406;E7EUT5,48;37;1,48;37;1,48;37;1,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;tr|E7EUT5|E7EUT5_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=1,48,48,94,335
HSPB1,-0.0870134081,0.660774384342255,0,P04792;F8WE04;C9J3N8,P04792;F8WE04,14;9;2,14;9;2,14;9;2,Heat shock protein beta-1,HSPB1,sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2;tr|F8WE04|F8WE04_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=1,14,14,94.1,205
TYMS,-0.7391712215,0.00280558014886918,0,P04818,P04818,16,16,16,Thymidylate synthase,TYMS,sp|P04818|TYSY_HUMAN Thymidylate synthase OS=Homo sapiens OX=9606 GN=TYMS PE=1 SV=3,16,16,51.4,313
RPN1,-0.2762922813,0.0341578473707348,0,P04843;B7Z4L4;F8WF32,P04843;B7Z4L4,21;13;3,21;13;3,21;13;3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,sp|P04843|RPN1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1;tr|B7Z4L4|B7Z4L4_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 ,21,21,43.5,607
RPN2,-0.1372903588,0.232419476737609,0,P04844;Q5JYR4;Q5JYR7,P04844;Q5JYR4;Q5JYR7,6;3;3,6;3;3,5;2;2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,sp|P04844|RPN2_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3;tr|Q5JYR4|Q5JYR4_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Fragment) OS=Homo sapie,6,5,19.2,631
GNAI2,-0.3647273111,0.0148676496312221,0,P04899;P63096;P09471;Q5JWD1;H0Y7F4;A2A2R6;A0A3B3IUA8;Q5JWE9;A0A087WZE5;A0A1W2PRJ7;A0A1W2PRE1;A0A087WTB6;A0A1W2PQK2;A0A1W2PS82;P11488;P38405;A8MTJ3;P19087;H0Y7E8;A0A3B3ITM0;H3BTM2;A0A1W2PP38,P04899,9;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1,9;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,sp|P04899|GNAI2_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens OX=9606 GN=GNAI2 PE=1 SV=3,9,5,29.6,355
HIST1H2AC;HIST3H2A;HIST1H2AB,-0.5205921932,0.00720254109564588,0,Q93077;Q7L7L0;P04908,Q93077;Q7L7L0;P04908,12;12;12,2;2;2,2;2;2,Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E,HIST1H2AC;HIST3H2A;HIST1H2AB,sp|Q93077|H2A1C_HUMAN Histone H2A type 1-C OS=Homo sapiens OX=9606 GN=H2AC6 PE=1 SV=3;sp|Q7L7L0|H2A3_HUMAN Histone H2A type 3 OS=Homo sapiens OX=9606 GN=H2AW PE=1 SV=3;sp|P04908|H2A1B_HUMAN Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2,12,2,70.8,130
ATP1A1,-0.1889872487,0.109741609455129,0,P05023;P13637;M0R116;A0A2R8YEY8;A0A0A0MT26;P50993;B1AKY9;H0Y7C1;Q13733;P54707;Q5TC01;E9PRA5;P20648;Q5TC02;A0A669K9X0;M0QXF2,P05023,21;8;8;8;8;7;7;6;5;3;2;2;1;1;1;1,21;8;8;8;8;7;7;6;5;3;2;2;1;1;1;1,21;8;8;8;8;7;7;6;5;3;2;2;1;1;1;1,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,21,21,23.8,1023
ATP1B1,0.1373669089,0.578717017878783,0,P05026;V9GYR2,P05026;V9GYR2,3;2,3;2,3;2,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,sp|P05026|AT1B1_HUMAN Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1;tr|V9GYR2|V9GYR2_HUMAN Sodium/potassium-transporting ATPase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1,3,3,12.9,303
ALDH2,-0.4376577621,0.0289031836397242,0,P05091;F8VP50;S4R3S4,P05091,7;3;2,7;3;2,7;3;2,"Aldehyde dehydrogenase, mitochondrial",ALDH2,"sp|P05091|ALDH2_HUMAN Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",7,7,18.2,517
SLC25A5,-0.0692319192,0.464804856483008,0,P05141;Q9H0C2,P05141,35;6,35;6,19;0,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,sp|P05141|ADT2_HUMAN ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,35,19,60.4,298
EIF2S1,0.0987270374,0.502746334556454,0,P05198;G3V4T5;H0YJS4,P05198;G3V4T5;H0YJS4,18;15;14,18;15;14,18;15;14,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3;tr|G3V4T5|G3V4T5_HUMAN Eukaryotic translation initiation factor 2 subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=1;tr|H0YJ,18,18,52.1,315
RPLP1,0.3956493893,0.0102124831584789,0,P05386,P05386,3,3,3,60S acidic ribosomal protein P1,RPLP1,sp|P05386|RLA1_HUMAN 60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1,3,3,79.8,114
RPLP2,0.419133944,0.0150568360108828,0,P05387;H0YDD8,P05387,10;3,10;3,10;3,60S acidic ribosomal protein P2,RPLP2,sp|P05387|RLA2_HUMAN 60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,10,10,85.2,115
RPLP0;RPLP0P6,0.4845015884,0.00440641442959868,0,P05388;F8VWS0;F8VU65;G3V210;F8VW21;F8VPE8;F8VZS0;Q8NHW5;F8VQY6;F8VRK7;F8VS58;F8VWV4;F8W1K8,P05388;F8VWS0;F8VU65;G3V210;F8VW21;F8VPE8;F8VZS0;Q8NHW5;F8VQY6;F8VRK7,21;19;18;15;15;14;13;12;12;12;10;8;4,21;19;18;15;15;14;13;12;12;12;10;8;4,21;19;18;15;15;14;13;12;12;12;10;8;4,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,sp|P05388|RLA0_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1;tr|F8VWS0|F8VWS0_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1;tr|F8VU65|F8VU65_HUMAN 60S acidic ribosomal protein P0 (Fragme,21,21,67.2,317
SSB,-0.144824028,0.39899127568562,0,P05455;E7ERC4;E9PFL9;E9PGX9,P05455;E7ERC4,7;4;3;2,7;4;3;2,7;4;3;2,Lupus La protein,SSB,sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;tr|E7ERC4|E7ERC4_HUMAN Lupus La protein (Fragment) OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1,7,7,20.3,408
ITGB1,0.4422302851,0.010232140786317,0,P05556;C9JPK5;Q5T3E6;E9PLR6;E7EUI6;E7EQW5;E7ERX5,P05556,14;3;3;3;3;3;1,14;3;3;3;3;3;1,14;3;3;3;3;3;1,Integrin beta-1,ITGB1,sp|P05556|ITB1_HUMAN Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,14,14,19.8,798
KRT18,0.4806891839,0.010885885484694,0,P05783;F8VZY9;CON__P05784;CON__H-INV:HIT000015463;O76014;Q14532;CON__O76015;CON__Q9Z2K1;CON__Q497I4;CON__A2AB72;Q15323;CON__O76014;CON__Q14532;CON__Q92764;C4AM86;Q2M2I5;CON__Q15323;CON__A2A5Y0;Q92764;CON__Q9UE12;CON__Q14525;CON__Q2M2I5;CON__O76013;CON__Q3ZAW8;O76015;O76013;Q14525;CON__REFSEQ:XP_986630,P05783;F8VZY9,40;38;12;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,40;38;12;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,38;36;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"Keratin, type I cytoskeletal 18",KRT18,"sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;tr|F8VZY9|F8VZY9_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=1",40,38,77.7,430
UROD,-0.4772009359,0.0207987222128481,0,P06132;A0A494C085;A0A1B0GVN9;A0A494C0Q8;A0A1B0GVZ4;H0Y5R6;A0A494C0S8;Q5T446;A0A494BZY8;A0A494C007;A0A494C0P4;A0A494C1D8;A0A494C1T3,P06132;A0A494C085;A0A1B0GVN9;A0A494C0Q8;A0A1B0GVZ4;H0Y5R6;A0A494C0S8;Q5T446;A0A494BZY8,10;9;8;8;7;6;6;6;5;4;2;2;2,10;9;8;8;7;6;6;6;5;4;2;2;2,10;9;8;8;7;6;6;6;5;4;2;2;2,Uroporphyrinogen decarboxylase,UROD,sp|P06132|DCUP_HUMAN Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=2;tr|A0A494C085|A0A494C085_HUMAN Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=1;tr|A0A1B0GVN9|A0A1B0GVN9_HUMAN Uroporphyrinogen decarboxyl,10,10,36.8,367
CDK1;CDC2,-0.2630682213,0.043607607721001,0,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q9NYV4;A0A2R8YD28;A0A087WZU2;A0A2R8Y7W5;A0A087X209;E5RGN0;A0A2R8YEB7;E7EUK8;J3QSD7;A0A2R8Y4Z0;H0YAZ9;A0A2R8Y644;F8VXD2;Q14004;F8VZ51;F8VZZ0;A0A2R8YF61;Q9BVE2;Q96Q40;Q00535;Q07002;O94921;Q00534;Q00536;P50750;K7EJ83,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,14;13;9;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,14;13;9;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,12;11;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",14,12,51.5,297
ATP5B,-0.1925333546,0.152408782189874,0,P06576;H0YH81;F8W079;F8W0P7;H0YI37,P06576;H0YH81;F8W079,34;25;20;13;7,34;25;20;13;7,34;25;20;13;7,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,"sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;tr|H0YH81|H0YH81_HUMAN ATP synthase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=1;tr|F8W079|F8W079_HUMAN ATP synthase subunit ",34,34,67.7,529
ENO1,-0.068533507,0.505164648329815,0,P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8Y798;A0A2R8YEG5;A0A2R8Y6I8;E5RI09;E5RG95;K7EPM1;K7EKN2;E5RGZ4,P06733;A0A2R8Y6G6,57;50;26;23;19;14;7;7;6;3;3;3;3;3,57;50;26;23;19;14;7;7;6;3;3;3;3;3,53;46;23;20;16;13;6;6;6;0;0;0;0;0,Alpha-enolase,ENO1,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,57,53,96.8,434
PYGL,-0.0906630973,0.473434434284439,0,P06737;E9PK47;P11217;H0Y4Z6,P06737;E9PK47,8;7;3;1,8;7;3;1,5;4;0;0,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",PYGL,"sp|P06737|PYGL_HUMAN Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4;tr|E9PK47|E9PK47_HUMAN Alpha-1,4 glucan phosphorylase OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=1",8,5,9.9,847
GPI,-0.0044729936,0.965089480025254,0,P06744;A0A2U3TZU2;K7EQ48;A0A0J9YXP8;A0A2R8Y6C7;A0A0J9YYH3;A0A0J9YX90;K7EPY4;K7ERC6;K7EP41;K7ENA0;A0A0J9YXM3;K7ELR7;A0A2R8YF08;K7ESF4;K7ERK8;K7EIL4;A0A0J9YXH9;A0A0J9YYI8,P06744;A0A2U3TZU2;K7EQ48,21;19;14;10;10;8;8;7;6;6;5;4;4;4;3;3;2;2;1,21;19;14;10;10;8;8;7;6;6;5;4;4;4;3;3;2;2;1,15;13;11;9;9;7;7;6;5;5;5;4;3;3;3;3;2;2;1,Glucose-6-phosphate isomerase,GPI,sp|P06744|G6PI_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4;tr|A0A2U3TZU2|A0A2U3TZU2_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=1;tr|K7EQ48|K7EQ48_HUMAN Glucose-6-phosphate isomerase (Fragment,21,15,49.3,558
NPM1,0.1359722011,0.296138743057064,0,P06748;E5RI98;E5RGW4,P06748,17;3;1,17;3;1,17;3;1,Nucleophosmin,NPM1,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,17,17,56.1,294
LDHB,-0.027336911,0.777778265595037,0,P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50;C9J7H8;F5H793,P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50;C9J7H8,29;28;23;19;15;10,26;25;20;16;14;10,26;25;20;16;14;10,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,sp|P07195|LDHB_HUMAN L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2;tr|A0A5F9ZHM4|A0A5F9ZHM4_HUMAN L-lactate dehydrogenase OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=1;tr|A0A3B3IS95|A0A3B3IS95_HUMAN L-lactate dehydrogenase OS=Homo s,29,26,72.2,334
P4HB,-0.3616330581,0.0154554369608647,0,P07237;H7BZ94;H0Y3Z3;I3L398;I3NI03;I3L3U6;I3L312;I3L0S0;I3L4M2;I3L3P5;I3L514;I3L1Y5,P07237;H7BZ94,31;29;13;12;11;11;10;9;6;5;4;2,31;29;13;12;11;11;10;9;6;5;4;2,31;29;13;12;11;11;10;9;6;5;4;2,Protein disulfide-isomerase,P4HB,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3;tr|H7BZ94|H7BZ94_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=2,31,31,56.3,508
ANXA2;ANXA2P2,-0.0593860811,0.628513883704401,0,P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YNP5;H0YN28;H0YKS4;H0YL33;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YMW4;H0YKL9;H0YKV8;H0YNA0;H0YN52;H0YMD9;H0YKN4;H0YNB8;H0YLE2,P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YNP5,50;40;35;35;35;34;25;24;24;24;19;15;15;15;15;13;13;12;12;8;7;5;4;4,50;40;35;35;35;34;25;24;24;24;19;15;15;15;15;13;13;12;12;8;7;5;4;4,50;40;35;35;35;34;25;24;24;24;19;15;15;15;15;13;13;12;12;8;7;5;4;4,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 ,50,50,89.1,339
CAPN1,-0.3626684378,0.116976813318609,0,P07384;E9PRM1;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PL37;E9PQB3;E9PIA9,P07384,15;4;3;3;3;3;3;3;3;3;2,15;4;3;3;3;3;3;3;3;3;2,15;4;3;3;3;3;3;3;3;3;2,Calpain-1 catalytic subunit,CAPN1,sp|P07384|CAN1_HUMAN Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,15,15,22.7,714
TUBB,-0.072902545,0.459158052124155,0,P07437;Q5JP53;Q5ST81,P07437;Q5JP53;Q5ST81,40;40;35,9;9;4,8;8;4,Tubulin beta chain,TUBB,sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2;tr|Q5JP53|Q5JP53_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1;tr|Q5ST81|Q5ST81_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1,40,8,66.4,444
PSAP,-0.8441526269,0.0793378244741613,0,P07602;C9JIZ6;Q5BJH1;A0A0J9YXB8,P07602;C9JIZ6;Q5BJH1,8;7;5;2,8;7;5;2,8;7;5;2,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,sp|P07602|SAP_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;tr|C9JIZ6|C9JIZ6_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;tr|Q5BJH1|Q5BJH1_HUMAN PSAP protein OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=1,8,8,15.5,524
PFN1,-0.162242656,0.140919199219442,0,P07737;K7EJ44;CON__P02584;I3L3D5,P07737;K7EJ44,22;17;8;5,22;17;8;5,22;17;8;5,Profilin-1,PFN1,sp|P07737|PROF1_HUMAN Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2;tr|K7EJ44|K7EJ44_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=1,22,22,97.1,140
APRT,-0.3867438952,0.117380650451504,0,P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3,P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3,8;6;6;5;4,8;6;6;5;4,8;6;6;5;4,Adenine phosphoribosyltransferase,APRT,sp|P07741|APT_HUMAN Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2;tr|H3BQF1|H3BQF1_HUMAN Adenine phosphoribosyltransferase (Fragment) OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=8;tr|H3BQZ9|H3BQZ9_HUMAN Adenine phosphoribosyltrans,8,8,50,180
EPRS,-0.1871269228,0.130105930135089,0,P07814;V9GYZ6,P07814;V9GYZ6,26;16,26;16,26;16,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5;tr|V9GYZ6|V9GYZ6_HUMAN Bifunctional glutamate/proline--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=1,26,26,21.9,1512
CTSB,-1.8925284091,0.000508865070595186,1,P07858;R4GMQ5;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1;E9PR54;E9PS78,P07858,9;4;3;3;3;3;3;3;3;3;2;1,9;4;3;3;3;3;3;3;3;3;2;1,9;4;3;3;3;3;3;3;3;3;2;1,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3,9,9,30.4,339
HSP90AA1,0.3657185094,0.0463398672156166,0,P07900;G3V2J8;Q14568;Q58FG0,P07900,56;10;9;1,37;6;2;1,37;6;2;1,Heat shock protein HSP 90-alpha,HSP90AA1,sp|P07900|HS90A_HUMAN Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,56,37,59.2,732
UQCRH;UQCRHL,0.227927007,0.0912222577060236,0,P07919;A0A096LP55,P07919;A0A096LP55,2;1,2;1,2;1,"Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 6",UQCRH;UQCRHL,"sp|P07919|QCR6_HUMAN Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2;sp|A0A096LP55|QCR6L_HUMAN Cytochrome b-c1 complex subunit 6-like, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRHL PE=3 SV=1",2,2,34.1,91
FH,-0.1752513919,0.213895725827037,0,P07954,P07954,9,9,9,"Fumarate hydratase, mitochondrial",FH,"sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",9,9,34.3,510
ANXA6,-0.0590613165,0.678792218861524,0,P08133;E5RK69;E7EMC6;E5RFF0;H0YC77;E5RIU8;E5RJR0;E5RI05;E5RJF5;E5RK63,P08133;E5RK69;E7EMC6,22;19;16;5;3;2;2;2;1;1,22;19;16;5;3;2;2;2;1;1,22;19;16;5;3;2;2;2;1;1,Annexin A6;Annexin,ANXA6,sp|P08133|ANXA6_HUMAN Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3;tr|E5RK69|E5RK69_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=1;tr|E7EMC6|E7EMC6_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=1,22,22,38.2,673
RHOC,0.0249632836,0.898592257729956,0,P08134;Q5JR08;E9PQH6;Q5JR07;Q5JR05;E9PLA2;Q5JR06;E9PN11;U3KQA9;U3KQV3;P62745,P08134;Q5JR08;E9PQH6;Q5JR07;Q5JR05,9;9;6;5;5;3;3;3;3;3;1,3;3;1;0;0;0;0;0;0;0;0,3;3;1;0;0;0;0;0;0;0;0,Rho-related GTP-binding protein RhoC,RHOC,sp|P08134|RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1;tr|Q5JR08|Q5JR08_HUMAN Rho-related GTP-binding protein RhoC (Fragment) OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=8;tr|E9PQH6|E9PQH6_HUMAN Rho-related GTP-bind,9,3,32.1,193
HSP90AB1,0.178794881,0.109879235542179,0,P08238;Q58FF7;Q58FF6;Q58FG1,P08238,72;24;3;2,72;24;3;2,48;14;2;0,Heat shock protein HSP 90-beta,HSP90AB1,sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,72,48,69.1,724
ASNS,-0.564777884,0.046957880084467,0,P08243;F8WEJ5;C9JT45;C9J057;C9JLN6;C9JM09,P08243,9;4;2;2;1;1,9;4;2;2;1;1,9;4;2;2;1;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4,9,9,22.8,561
PDHA1,0.1420985588,0.500324637028064,0,P08559;Q5JPT9;P29803;Q5JPU0;Q5JPU1;Q5JPU3;Q5JPU2,P08559;Q5JPT9,6;3;2;2;2;1;1,6;3;2;2;2;1;1,6;3;2;2;2;1;1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,"sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3;tr|Q5JPT9|Q5JPT9_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (Fragment) ",6,6,20.8,390
CYC1,-0.136418594,0.345592870053459,0,P08574,P08574,4,4,4,"Cytochrome c1, heme protein, mitochondrial",CYC1,"sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",4,4,11.1,325
