Gene_names,DCAF11_vs_BirA_logFC,DCAF11_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alon_N1,Peptides_BirA_alon_N2,Peptides_DCAF11_N1,Peptides_DCAF11_N2,Razor___unique_peptides_BirA_alon_N1,Razor___unique_peptides_BirA_alon_N2,Razor___unique_peptides_DCAF11_N1,Razor___unique_peptides_DCAF11_N2,Unique_peptides_BirA_alon_N1,Unique_peptides_BirA_alon_N2,Unique_peptides_DCAF11_N1,Unique_peptides_DCAF11_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alon_N1,Identification_type_BirA_alon_N2,Identification_type_DCAF11_N1,Identification_type_DCAF11_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alon_N1,Ratio_H_L_BirA_alon_N2,Ratio_H_L_DCAF11_N1,Ratio_H_L_DCAF11_N2,Ratio_H_L_normalized_BirA_alon_N1,Ratio_H_L_normalized_BirA_alon_N2,Ratio_H_L_normalized_DCAF11_N1,Ratio_H_L_normalized_DCAF11_N2,Ratio_H_L_variability_____BirA_alon_N1,Ratio_H_L_variability_____BirA_alon_N2,Ratio_H_L_variability_____DCAF11_N1,Ratio_H_L_variability_____DCAF11_N2,Ratio_H_L_count_BirA_alon_N1,Ratio_H_L_count_BirA_alon_N2,Ratio_H_L_count_DCAF11_N1,Ratio_H_L_count_DCAF11_N2,Ratio_H_L_iso_count_BirA_alon_N1,Ratio_H_L_iso_count_BirA_alon_N2,Ratio_H_L_iso_count_DCAF11_N1,Ratio_H_L_iso_count_DCAF11_N2,Ratio_H_L_type_BirA_alon_N1,Ratio_H_L_type_BirA_alon_N2,Ratio_H_L_type_DCAF11_N1,Ratio_H_L_type_DCAF11_N2,Sequence_coverage_BirA_alon_N1____,Sequence_coverage_BirA_alon_N2____,Sequence_coverage_DCAF11_N1____,Sequence_coverage_DCAF11_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alon_N1,Intensity_L_BirA_alon_N1,Intensity_H_BirA_alon_N1,Intensity_BirA_alon_N2,Intensity_L_BirA_alon_N2,Intensity_H_BirA_alon_N2,Intensity_DCAF11_N1,Intensity_L_DCAF11_N1,Intensity_H_DCAF11_N1,Intensity_DCAF11_N2,Intensity_L_DCAF11_N2,Intensity_H_DCAF11_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF11_N1,metacell_Intensity_L_DCAF11_N2,metacell_Intensity_L_BirA_alon_N1,metacell_Intensity_L_BirA_alon_N2
RPL15,-0.569817464416438,0.12328904139277,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738;E7ERA2,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,13;12;12;10;8;8;1,13;12;12;10;8;8;1,13;12;12;10;8;8;1,60S ribosomal protein L15;Ribosomal protein L15,sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|E7EQV9|E7EQV9_HUMAN Ribosomal protein L15 (Fragment) OS=,7,13,13,13,8,8,9,11,8,8,9,11,8,8,9,11,48.0,48.0,48.0,24.146,204,204;169;174;175;133;138;44,0.0,99.014,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52399,1.0326,24.365,42,3,Leave out requantified,0.26191,0.31694,0.56355,0.57172,0.88987,0.84599,1.0796,1.0938,23.916,42.487,11.492,13.139,8,8,9,17,0,2,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.3,34.3,32.8,46.6,4812200000,3432600000,1379600000,1227700000,937680000,290000000,1657200000,1275600000,381610000,506790000,324910000,181880000,1420500000,894410000,526080000,,,,1759,929;3460;4199;4220;10890;11023;11341;11766;12617;12618;15121;15122;16284,True;True;True;True;True;True;True;True;True;True;True;True;True,1048;3940;4786;4811;12653;12803;13158;13664;13665;14625;14626;17513;17514;18853;18854,2878;10501;10502;12694;12762;12763;12764;12765;12766;12767;12768;33683;33684;33685;34083;34950;34951;34952;34953;36253;36254;36255;36256;36257;36258;36259;38827;38828;38829;38830;38831;38832;38833;38834;46687;46688;46689;46690;46691;46692;46693;50218;50219;50220;50221;50222,5486;19851;19852;19853;19854;23997;23998;24122;24123;24124;24125;24126;24127;24128;24129;24130;24131;24132;24133;63331;63332;64112;64113;65688;65689;65690;65691;65692;65693;65694;65695;65696;65697;65698;65699;65700;68070;68071;68072;68073;68074;68075;68076;68077;68078;68079;68080;68081;68082;68083;68084;68085;72904;72905;72906;72907;72908;72909;72910;72911;72912;72913;72914;72915;72916;72917;88511;88512;88513;88514;88515;88516;88517;88518;88519;88520;88521;88522;88523;88524;88525;95190;95191;95192;95193;95194;95195;95196;95197;95198;95199;95200;95201,5486;19852;23998;24131;63332;64112;65697;68078;72913;72914;88513;88522;95200,655,,93,,-1;-1;-1;-1;-1;-1;-1,protein_1760,quanti,quanti,quanti,quanti
RPL27,1.76433533477095,0.00526391107730506,P61353;K7ELC7;K7EQQ9;K7ERY7,P61353;K7ELC7,10;8;2;2,10;8;2;2,10;8;2;2,60S ribosomal protein L27,sp|P61353|RL27_HUMAN 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2;tr|K7ELC7|K7ELC7_HUMAN 60S ribosomal protein L27 (Fragment) OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=1,4,10,10,10,6,5,7,10,6,5,7,10,6,5,7,10,61.8,61.8,61.8,15.798,136,136;144;38;40,0.0,86.197,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52072,0.99072,14.413,43,5,Leave out requantified,0.28859,0.32735,0.57175,0.55585,0.9662,0.92993,1.1254,1.0974,29.194,16.35,13.493,12.49,6,6,14,17,1,1,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,46.3,43.4,58.1,61.8,5593500000,3670400000,1923000000,521390000,404580000,116820000,863230000,639370000,223860000,1514700000,957540000,557150000,2694100000,1668900000,1025200000,,,,1761,2632;3778;10642;10643;10724;12167;14229;15705;15817;16589,True;True;True;True;True;True;True;True;True;True,3020;4298;12368;12369;12370;12460;14107;14108;16460;18207;18208;18333;18334;18335;19207,8267;11437;11438;32921;32922;32923;32924;32925;32926;32927;32928;32929;32930;33172;33173;33174;33175;37384;37385;43754;43755;43756;43757;48546;48547;48548;48549;48550;48867;48868;48869;48870;48871;48872;48873;48874;48875;48876;48877;51141;51142;51143;51144,15845;15846;21582;21583;61750;61751;61752;61753;61754;61755;61756;61757;61758;61759;61760;61761;61762;61763;61764;61765;61766;61767;61768;61769;61770;61771;61772;61773;61774;61775;61776;61777;61778;62238;62239;62240;62241;62242;62243;62244;62245;62246;70099;70100;70101;70102;82646;82647;82648;82649;82650;82651;82652;82653;82654;82655;82656;92133;92134;92135;92136;92137;92138;92139;92140;92141;92142;92143;92144;92145;92146;92147;92148;92149;92150;92741;92742;92743;92744;92745;92746;92747;92748;92749;92750;92751;92752;92753;92754;92755;92756;92757;92758;92759;92760;92761;92762;92763;92764;92765;92766;92767;92768;92769;92770;92771;92772;92773;97047;97048;97049;97050;97051;97052;97053;97054,15845;21582;61750;61773;62240;70100;82652;92138;92758;97052,656,97,73,81,-1;-1;-1;-1,protein_1762,quanti,quanti,quanti,quanti
PCBD1,23.2911315967817,9.94940527399073e-08,P61457,P61457,5,5,5,Pterin-4-alpha-carbinolamine dehydratase,sp|P61457|PHS_HUMAN Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens OX=9606 GN=PCBD1 PE=1 SV=2,1,5,5,5,0,0,4,4,0,0,4,4,0,0,4,4,62.5,62.5,62.5,11.999,104,104,0.0,6.3809,,,By MS/MS,By MS/MS,0.45175,0.87065,6.061,8,0,Leave out requantified,,,0.45881,0.44825,,,0.88023,0.85862,,,6.3053,7.078,0,0,4,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,52.9,49.0,518710000,352800000,165920000,0,0,0,0,0,0,210430000,142670000,67759000,308290000,210130000,98159000,,,,1762,470;1876;2230;9186;14350,True;True;True;True;True,518;2153;2567;10707;16593,1392;1393;6020;7094;28610;28611;44127;44128,2594;2595;2596;11690;11691;11692;13654;53769;53770;53771;53772;53773;53774;53775;83374;83375;83376;83377;83378;83379;83380;83381,2594;11692;13654;53774;83380,,,,,-1,protein_1763,quanti,quanti,imputed MEC,imputed MEC
RHOA,-0.230698998420976,0.679958605774043,P61586;C9JX21;C9JNR4;C9JRM1,P61586;C9JX21;C9JNR4,10;6;6;4,10;6;6;4,4;1;1;1,Transforming protein RhoA,sp|P61586|RHOA_HUMAN Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1;tr|C9JX21|C9JX21_HUMAN Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1;tr|C9JNR4|C9JNR4_HUMAN Transforming protein RhoA (Fragment) OS=Homo sapiens ,4,10,10,4,8,7,6,9,8,7,6,9,3,3,3,4,44.6,44.6,25.9,21.768,193,193;187;138;90,0.0,25.57,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.83329,1.7548,12.184,42,6,Leave out requantified,0.58756,0.77431,0.90797,1.0088,2.1256,1.9846,1.7004,1.7985,39.269,16.093,13.139,17.969,10,9,7,16,1,2,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,32.1,27.5,31.6,44.6,3098200000,1740600000,1357600000,750800000,472750000,278050000,799890000,456460000,343430000,222440000,121620000,100820000,1325100000,689810000,635280000,,,,1763,2340;2549;3230;5361;5362;5924;7355;9548;13352;13643,True;True;True;True;True;True;True;True;True;True,2695;2927;3684;6217;6218;6219;6220;6221;6909;6910;8588;11120;15441;15442;15790,7467;7468;7469;7470;8049;9867;9868;16534;16535;16536;16537;16538;16539;16540;16541;16542;16543;16544;16545;16546;16547;18349;18350;18351;18352;18353;22835;22836;22837;29660;29661;29662;29663;41025;41026;41027;41028;42001;42002;42003;42004;42005;42006,14429;14430;14431;14432;14433;14434;14435;14436;14437;15463;18620;18621;18622;18623;18624;31163;31164;31165;31166;31167;31168;31169;31170;31171;31172;31173;31174;31175;31176;31177;31178;31179;31180;31181;31182;31183;31184;31185;31186;31187;31188;31189;31190;31191;31192;31193;31194;31195;31196;31197;31198;31199;31200;31201;31202;31203;34707;34708;34709;34710;34711;34712;34713;34714;34715;34716;34717;34718;34719;43204;43205;43206;55667;55668;55669;55670;55671;55672;55673;55674;55675;77017;77018;77019;77020;77021;77022;77023;77024;77025;77026;79207;79208;79209;79210;79211;79212;79213;79214,14433;15463;18622;31166;31183;34716;43205;55674;77022;79212,,,,,-1;-1;-1;-1,protein_1764,quanti,quanti,quanti,quanti
HSPE1;HSPE1-MOB4,0.0253002287883959,0.942482096095877,P61604;B8ZZL8;S4R3N1;B8ZZ54,P61604;B8ZZL8;S4R3N1,22;18;12;8,22;18;12;8,22;18;12;8,"10 kDa heat shock protein, mitochondrial","sp|P61604|CH10_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2;tr|B8ZZL8|B8ZZL8_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=1;tr|S4R3N1|S4R3N1_HUMAN HSPE1-MOB4 readthroug",4,22,22,22,15,16,13,14,15,16,13,14,15,16,13,14,93.1,93.1,93.1,10.932,102,102;101;261;47,0.0,265.67,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2673,0.73799,14.652,96,28,Leave out requantified,0.21225,0.25562,0.39149,0.37513,0.70357,0.72452,0.74493,0.72559,12.756,17.296,7.4348,28.169,21,27,22,26,8,13,2,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,79.4,93.1,85.3,88.2,15857000000,11928000000,3928800000,3699000000,2992700000,706260000,4842900000,3766900000,1075900000,2756500000,1930000000,826520000,4558300000,3238300000,1320000000,,,,1764,2310;3730;3731;4414;4415;4433;4434;4435;4652;7106;7107;11899;11900;12832;14653;15106;15107;15134;15135;15136;15688;15689,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2660;4247;4248;5053;5054;5076;5077;5078;5079;5354;8273;8274;8275;8276;8277;13812;13813;13814;13815;14860;14861;16940;16941;17495;17496;17529;17530;17531;17532;17533;18187;18188;18189,7364;7365;7366;11307;11308;11309;11310;11311;11312;13419;13420;13421;13480;13481;13482;13483;13484;13485;13486;14280;14281;14282;21999;22000;22001;22002;22003;22004;22005;22006;22007;22008;22009;22010;22011;22012;22013;22014;36608;36609;36610;36611;36612;36613;36614;36615;36616;36617;36618;36619;36620;36621;36622;36623;39447;39448;39449;45071;45072;45073;45074;45075;45076;45077;46644;46645;46646;46647;46735;46736;46737;46738;46739;46740;46741;46742;46743;46744;46745;46746;46747;46748;46749;46750;46751;46752;48492;48493;48494;48495;48496;48497;48498;48499;48500;48501;48502;48503;48504,14218;14219;14220;14221;14222;14223;21311;21312;21313;21314;21315;21316;21317;21318;21319;21320;21321;21322;21323;21324;21325;21326;21327;21328;21329;21330;21331;21332;21333;21334;21335;21336;21337;21338;21339;21340;21341;21342;21343;21344;21345;25491;25492;25493;25494;25495;25626;25627;25628;25629;25630;25631;25632;25633;25634;25635;25636;25637;25638;27119;27120;41684;41685;41686;41687;41688;41689;41690;41691;41692;41693;41694;41695;41696;41697;41698;41699;41700;41701;41702;41703;41704;41705;41706;41707;41708;41709;41710;41711;41712;41713;41714;41715;41716;41717;41718;41719;41720;41721;41722;41723;41724;41725;41726;41727;68755;68756;68757;68758;68759;68760;68761;68762;68763;68764;68765;68766;68767;68768;68769;68770;68771;68772;68773;68774;68775;68776;68777;68778;68779;74063;74064;74065;85245;85246;85247;85248;85249;85250;85251;88395;88396;88397;88398;88399;88400;88401;88402;88403;88596;88597;88598;88599;88600;88601;88602;88603;88604;88605;88606;88607;88608;88609;88610;88611;88612;88613;88614;88615;88616;88617;88618;88619;88620;88621;88622;88623;88624;88625;88626;88627;88628;88629;88630;88631;88632;88633;88634;88635;88636;88637;88638;88639;88640;88641;88642;88643;88644;88645;88646;88647;88648;88649;92035;92036;92037;92038;92039;92040;92041;92042;92043;92044;92045;92046;92047;92048;92049;92050;92051;92052;92053;92054;92055,14222;21321;21344;25494;25495;25626;25628;25634;27120;41715;41727;68767;68770;74065;85246;88398;88403;88606;88645;88649;92041;92051,657;658;659;660,98,8;40;56;86,32,-1;-1;-1;-1,protein_1765,quanti,quanti,quanti,quanti
VBP1,-1.20251331318526,0.0263454270587519,P61758,P61758,2,2,2,Prefoldin subunit 3,sp|P61758|PFD3_HUMAN Prefoldin subunit 3 OS=Homo sapiens OX=9606 GN=VBP1 PE=1 SV=4,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8.6,8.6,8.6,22.626,197,197,0.0,1.6999,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38256,1.0374,17.952,4,1,Median,0.32015,0.35391,0.62691,0.41354,1.1025,0.97661,1.102,0.75319,,,,,1,1,1,1,0,0,0,1,Median,Median,Median,Median,5.1,5.1,3.6,5.1,129280000,93504000,35776000,40607000,31013000,9594200,50160000,36244000,13916000,9501200,5467200,4033900,29011000,20779000,8231700,,,,1765,3706;15816,True;True,4221;18332,11241;11242;11243;48866,21207;21208;21209;21210;92740,21209;92740,,,,,-1,protein_1766,quanti,quanti,quanti,quanti
B2M,0.610671477836387,0.192808161832671,P61769;H0YLF3;F5H6I0,P61769;H0YLF3;F5H6I0,3;2;2,3;2;2,3;2;2,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,sp|P61769|B2MG_HUMAN Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1;tr|H0YLF3|H0YLF3_HUMAN Beta-2-microglobulin (Fragment) OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1;tr|F5H6I0|F5H6I0_HUMAN Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE,3,3,3,3,2,1,1,2,2,1,1,2,2,1,1,2,33.6,33.6,33.6,13.714,119,119;71;101,0.0050684,1.1068,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.8958,5.3812,39.986,6,1,Leave out requantified,2.0544,1.9928,1.4256,1.2507,7.1725,5.8523,2.8109,2.3935,0.65186,,,6.3666,2,1,1,2,0,0,0,1,Median,Median,Median,Median,25.2,18.5,18.5,26.9,413180000,166340000,246840000,132840000,41878000,90963000,98357000,30885000,67471000,56966000,22814000,34152000,125010000,70760000,54254000,,,,1766,6859;12727;15276,True;True;True,7977;14746;17700,21293;39146;39147;39148;39149;47206,40311;40312;73514;73515;73516;73517;73518;73519;73520;73521;89542,40311;73520;89542,,,,,-1;-1;-1,protein_1767,quanti,quanti,quanti,quanti
NUTF2,-0.765005968737469,0.0738936208990217,P61970;H3BRV9,P61970;H3BRV9,6;4,6;4,6;4,Nuclear transport factor 2,sp|P61970|NTF2_HUMAN Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1;tr|H3BRV9|H3BRV9_HUMAN Nuclear transport factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1,2,6,6,6,4,4,4,6,4,4,4,6,4,4,4,6,61.4,61.4,61.4,14.478,127,127;107,0.0,72.9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3254,0.88775,31.369,17,8,Leave out requantified,0.21542,0.32322,0.39934,0.4592,0.79829,0.95956,0.79049,0.89003,39.627,20.599,56.325,52.314,4,4,3,6,1,2,1,4,Median,Median,Median,Median,27.6,27.6,27.6,61.4,2113000000,1559400000,553560000,596220000,478390000,117820000,764000000,555870000,208130000,173930000,122390000,51540000,578810000,402740000,176070000,,,,1767,110;294;6532;7697;9322;10679,True;True;True;True;True;True,116;117;331;7615;9012;9013;10863;12409,297;298;299;300;301;302;868;20319;23971;23972;23973;23974;23975;23976;28975;28976;28977;28978;33039;33040;33041;33042;33043,542;543;544;545;546;547;548;549;550;551;552;553;554;555;556;557;1657;1658;1659;38498;45281;45282;45283;45284;45285;45286;45287;45288;45289;45290;45291;45292;54439;54440;54441;54442;54443;54444;54445;61988;61989;61990;61991;61992;61993;61994;61995;61996;61997;61998,546;1657;38498;45287;54444;61992,,,,,-1;-1,protein_1768,quanti,quanti,quanti,quanti
HNRNPK,0.42101891148797,0.25076304968586,P61978;Q5T6W2;S4R359;S4R457,P61978;Q5T6W2,27;22;5;4,27;22;5;4,27;22;5;4,Heterogeneous nuclear ribonucleoprotein K,sp|P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1;tr|Q5T6W2|Q5T6W2_HUMAN Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,4,27,27,27,17,18,20,22,17,18,20,22,17,18,20,22,53.6,53.6,53.6,50.976,463,463;379;100;77,0.0,196.59,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47543,1.0585,17.351,102,9,Leave out requantified,0.33027,0.43497,0.54602,0.52791,1.1541,1.2384,1.0439,1.0161,21.193,21.172,14.71,10.633,20,23,25,34,3,3,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,36.3,36.7,41.9,49.7,11636000000,7793300000,3842500000,2247500000,1647000000,600560000,3284000000,2228500000,1055500000,2192800000,1397200000,795620000,3911400000,2520700000,1390800000,,,,1768,1214;2415;2416;2671;4411;5047;5093;5094;5358;6101;6102;6145;6309;6349;6350;8023;8024;8676;8677;10804;10805;11009;11769;12890;13389;15648;15696,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1382;2776;2777;3066;5049;5050;5833;5883;5884;5885;6214;7107;7108;7109;7166;7362;7363;7364;7407;7408;9394;9395;10140;10141;10142;10143;10144;12555;12556;12785;13668;14929;15482;18135;18197;18198,3812;3813;3814;3815;7662;7663;7664;7665;7666;7667;7668;7669;7670;8360;8361;13412;13413;13414;15530;15531;15532;15533;15644;15645;15646;15647;15648;15649;15650;15651;16529;18899;18900;18901;18902;18903;18904;18905;18906;18907;19091;19092;19645;19646;19647;19754;19755;19756;19757;19758;19759;25065;25066;25067;25068;25069;25070;25071;27129;27130;27131;27132;27133;27134;27135;27136;27137;27138;27139;27140;27141;27142;27143;27144;33407;33408;33409;33410;33411;33412;33413;34033;34034;34035;34036;34037;36263;36264;39649;39650;39651;39652;39653;39654;41144;41145;41146;41147;48354;48355;48526;48527;48528,7235;7236;7237;7238;7239;7240;7241;7242;7243;7244;7245;14730;14731;14732;14733;14734;14735;14736;14737;14738;14739;14740;14741;14742;14743;14744;14745;14746;14747;14748;14749;14750;14751;14752;16027;16028;16029;16030;16031;16032;16033;25482;25483;25484;25485;25486;25487;25488;29353;29354;29355;29356;29357;29358;29359;29360;29361;29362;29506;29507;29508;29509;29510;29511;29512;31154;35798;35799;35800;35801;35802;35803;35804;35805;35806;35807;35808;35809;35810;35811;35812;35813;35814;35815;35816;35817;35818;35819;35820;35821;35822;35823;35824;35825;35826;35827;35828;35829;35830;35831;35832;35833;35834;36319;36320;36321;36322;36323;36324;37314;37315;37316;37317;37318;37514;37515;37516;37517;37518;37519;47298;47299;47300;47301;47302;47303;47304;47305;47306;47307;47308;47309;47310;47311;47312;47313;47314;47315;47316;47317;47318;47319;51119;51120;51121;51122;51123;51124;51125;51126;51127;51128;51129;51130;51131;51132;51133;51134;51135;51136;51137;51138;51139;51140;51141;51142;51143;51144;51145;51146;51147;51148;51149;51150;51151;51152;51153;51154;51155;51156;51157;51158;51159;51160;51161;51162;51163;51164;62702;62703;62704;62705;62706;62707;62708;62709;62710;62711;62712;62713;62714;62715;62716;62717;62718;62719;62720;62721;62722;62723;62724;62725;62726;62727;62728;62729;62730;62731;63989;63990;63991;63992;63993;63994;63995;63996;63997;63998;63999;68089;68090;68091;74402;74403;74404;74405;74406;74407;74408;74409;74410;74411;77257;77258;77259;77260;77261;91734;91735;92101;92102;92103;92104;92105;92106;92107;92108,7243;14739;14748;16033;25486;29358;29507;29512;31154;35800;35812;36323;37315;37514;37519;47300;47308;51132;51159;62719;62728;63996;68089;74406;77258;91734;92102,661;662;663,,52;163;166,,-1;-1;-1;-1,protein_1769,quanti,quanti,quanti,quanti
YWHAG,-0.292865734357509,0.459558360968976,P61981;A2IDB2,P61981,12;3,7;0,7;0,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",sp|P61981|1433G_HUMAN 14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,2,12,7,7,8,7,10,9,5,4,5,4,5,4,5,4,48.2,31.2,31.2,28.302,247,247;162,0.0,26.896,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49579,0.97411,16.48,20,4,Leave out requantified,0.3052,0.26379,0.51161,0.51797,1.1544,0.78922,0.99744,0.99493,36.196,70.233,6.4136,4.6403,5,3,6,6,2,0,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,37.2,31.2,44.1,43.3,1655100000,1118900000,536140000,523600000,374610000,148990000,456860000,315500000,141350000,248770000,152620000,96145000,425860000,276210000,149660000,,,,1769,2589;7629;8153;10535;10793;10795;11102;14499;14500;14634;16339;16340,False;False;True;True;False;False;True;True;True;False;True;True,2971;8932;8933;9537;12247;12538;12539;12542;12543;12544;12887;16766;16767;16920;18922;18923;18924,8155;8156;23745;23746;23747;23748;23749;23750;23751;23752;23753;25475;25476;25477;25478;32610;33354;33355;33356;33357;33358;33359;33360;33361;33362;33363;33369;33370;33371;33372;33373;33374;34292;34293;44587;44588;44589;44590;44591;44592;44593;45005;45006;50396;50397;50398;50399;50400;50401;50402,15643;15644;15645;15646;44884;44885;44886;44887;44888;44889;44890;44891;44892;44893;44894;44895;44896;44897;44898;44899;44900;44901;44902;44903;44904;44905;48090;48091;48092;48093;48094;48095;48096;61181;62582;62583;62584;62585;62586;62587;62588;62589;62590;62591;62592;62593;62594;62595;62596;62597;62598;62599;62600;62601;62602;62603;62604;62605;62606;62607;62608;62609;62610;62611;62612;62613;62614;62615;62616;62617;62618;62619;62636;62637;62638;62639;62640;62641;62642;62643;64488;64489;64490;64491;84288;84289;84290;84291;84292;84293;84294;84295;84296;84297;84298;84299;84300;84301;84302;85123;85124;85125;85126;85127;95519;95520;95521;95522;95523;95524;95525;95526;95527;95528;95529;95530,15643;44897;48094;61181;62611;62637;64490;84293;84302;85124;95519;95523,529;544,78,50;125,27,-1;-1,protein_1770,quanti,quanti,quanti,quanti
