Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TLE3-N1,Intensity TLE3-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P57740;H0YG15;G3V1T4,P57740,7;1;1,7;1;1,7;1;1,Nuclear pore complex protein Nup107,NUP107,sp|P57740|NU107_HUMAN Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,7,7,8.9,25.3912624723074,25.5425638482724,23.7089356787746,23.548043898107
Q8WUM0,Q8WUM0,19,19,19,Nuclear pore complex protein Nup133,NUP133,sp|Q8WUM0|NU133_HUMAN Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,19,19,22.1,22.718248563286,23.194933554894,27.7268290098335,27.516831600208
P49790,P49790,53,53,53,Nuclear pore complex protein Nup153,NUP153,sp|P49790|NU153_HUMAN Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,53,53,44.2,29.9684290159972,30.1764080704697,30.3827796811565,30.2502243499397
Q12769;E9PR16;G3V198;E9PSI3,Q12769;E9PR16;G3V198,3;3;3;1,3;3;3;1,3;3;3;1,Nuclear pore complex protein Nup160,NUP160,sp|Q12769|NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3;tr|E9PR16|E9PR16_HUMAN Nuclear pore complex protein Nup160 (Fragment) OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=2;tr|G3V198|G3V198_HUMAN Nuclear pore comp,3,3,3.0,4.20850867790137,4.29066777690332,24.2009758101782,23.8351853444402
P35658;A0A494C1F2;A0A0A0MSW3;A0A494BZU9;H0YF36;H0Y837;B7ZAV2;A0A494C0J0;A0A494C104;E9PKD2;H0YDS4;A0A494C0Y1,P35658;A0A494C1F2;A0A0A0MSW3;A0A494BZU9,46;46;31;25;7;6;4;3;3;3;2;1,46;46;31;25;7;6;4;3;3;3;2;1,46;46;31;25;7;6;4;3;3;3;2;1,Nuclear pore complex protein Nup214,NUP214,sp|P35658|NU214_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2;tr|A0A494C1F2|A0A494C1F2_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=1;tr|A0A0A0MSW3|A0A0A0MSW3_HUMAN Nuclear pore,46,46,30.8,28.5668876490449,28.9606901184496,30.6863725797754,30.3104052825348
Q8NFH4;F8VTY2,Q8NFH4;F8VTY2,6;3,6;3,6;3,Nucleoporin Nup37,NUP37,sp|Q8NFH4|NUP37_HUMAN Nucleoporin Nup37 OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=1;tr|F8VTY2|F8VTY2_HUMAN Nucleoporin Nup37 (Fragment) OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=8,6,6,24.5,24.5001479672112,23.9115938695629,26.4989771150677,26.5159598902048
Q9UKX7;B0QY21,Q9UKX7,14;1,14;1,14;1,Nuclear pore complex protein Nup50,NUP50,sp|Q9UKX7|NUP50_HUMAN Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2,14,14,42.5,27.9379788084497,27.9150182600643,27.6649907041647,28.3286869783668
Q7Z3B4,Q7Z3B4,2,2,2,Nucleoporin p54,NUP54,sp|Q7Z3B4|NUP54_HUMAN Nucleoporin p54 OS=Homo sapiens OX=9606 GN=NUP54 PE=1 SV=2,2,2,4.1,23.9143340319078,23.513522320173,4.43802889902157,4.4166468749236
P37198;M0QXN5;M0QX10;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302,P37198;M0QXN5,8;7;1;1;1;1;1;1;1,8;7;1;1;1;1;1;1;1,8;7;1;1;1;1;1;1;1,Nuclear pore glycoprotein p62,NUP62,sp|P37198|NUP62_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=3;tr|M0QXN5|M0QXN5_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=1,8,8,17.4,24.6913103123994,22.0981554833946,26.604135345053,26.8239595952376
Q99567;J3KMX1;I3L4K7,Q99567;J3KMX1,3;2;1,3;2;1,3;2;1,Nuclear pore complex protein Nup88,NUP88,sp|Q99567|NUP88_HUMAN Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2;tr|J3KMX1|J3KMX1_HUMAN Nuclear pore complex protein Nup88 (Fragment) OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=1,3,3,3.8,22.9080866215031,21.9156839306373,23.8301639108483,23.2596869532836
P52948;H7C3P6;A0A3B3ITD8;H0YDF4;H0YCT1;H0YDA1;H0YEN4,P52948;H7C3P6;A0A3B3ITD8,36;24;19;6;4;1;1,36;24;19;6;4;1;1,36;24;19;6;4;1;1,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|H7C3P6|H7C3P6_HUMAN Nuclear pore complex protein Nup98-Nup96 (Fragment) OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN N,36,36,25.5,28.2257297880189,28.0650190718551,29.2652382773275,29.1064193695161
Q9BVL2;Q5JRG1;H7BYF2,Q9BVL2;Q5JRG1;H7BYF2,3;3;3,3;3;3,3;3;3,Nucleoporin p58/p45,NUPL1,sp|Q9BVL2|NUP58_HUMAN Nucleoporin p58/p45 OS=Homo sapiens OX=9606 GN=NUP58 PE=1 SV=1;tr|Q5JRG1|Q5JRG1_HUMAN Nucleoporin p58/p45 (Fragment) OS=Homo sapiens OX=9606 GN=NUP58 PE=1 SV=1;tr|H7BYF2|H7BYF2_HUMAN Nucleoporin p58/p45 (Fragment) OS=Homo sapiens OX=9,3,3,7.2,24.0656251836628,23.0481662146275,24.4904026971059,23.7697135726365
Q9P2P1,Q9P2P1,2,2,2,Protein NYNRIN,NYNRIN,sp|Q9P2P1|NYNRI_HUMAN Protein NYNRIN OS=Homo sapiens OX=9606 GN=NYNRIN PE=2 SV=3,2,2,1.8,22.8704941623247,23.9903112139114,24.7989708750517,24.0137762305457
Q9Y6K5;F8VWK9;F8VS35,Q9Y6K5;F8VWK9;F8VS35,2;2;2,2;2;2,2;2;2,2-5-oligoadenylate synthase 3,OAS3,sp|Q9Y6K5|OAS3_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=3;tr|F8VWK9|F8VWK9_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=1;tr|F8VS35|F8VS35_HUMAN 2-5-oligoadenylate synthase 3 OS=Homo s,2,2,2.1,4.20850867790137,4.29066777690332,22.974493014498,22.36626350964
Q15646,Q15646,2,2,2,2-5-oligoadenylate synthase-like protein,OASL,sp|Q15646|OASL_HUMAN 2-5-oligoadenylate synthase-like protein OS=Homo sapiens OX=9606 GN=OASL PE=1 SV=2,2,2,6.2,23.3140974937657,23.5555807337589,23.0355025603804,23.2546503588279
Q9NX40;D6RDK6;D6RBN5;D6RG39;D6RIT9;D6R918;D6RBC5;D6RDI5;D6RI08;D6RA54;D6RC55;D6RDK1;D6RIV2;D6R9T5;D6RF07,Q9NX40;D6RDK6;D6RBN5;D6RG39;D6RIT9,7;5;5;4;4;2;2;2;2;2;2;2;2;2;1,7;5;5;4;4;2;2;2;2;2;2;2;2;2;1,7;5;5;4;4;2;2;2;2;2;2;2;2;2;1,OCIA domain-containing protein 1,OCIAD1,sp|Q9NX40|OCAD1_HUMAN OCIA domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RDK6|D6RDK6_HUMAN OCIA domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RBN5|D6RBN5_HUMAN OCIA domain-containing,7,7,25.7,4.20850867790137,4.29066777690332,26.1967804017955,26.31686154297
Q9NZT2;A0A087X028;A0A0A0MRN5,Q9NZT2;A0A087X028;A0A0A0MRN5,2;2;2,2;2;2,2;2;2,Opioid growth factor receptor,OGFR,sp|Q9NZT2|OGFR_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3;tr|A0A087X028|A0A087X028_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=1;tr|A0A0A0MRN5|A0A0A0MRN5_HUMAN Opioid growth factor receptor,2,2,3.7,4.20850867790137,4.29066777690332,25.0604393287893,24.8209934371124
O15294;C9JZL3,O15294,9;2,9;2,9;2,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,sp|O15294|OGT1_HUMAN UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,9,9,12.6,25.8296559664741,25.7072776050636,29.5203768833611,29.591118566204
Q9NTK5;J3KQ32;C9JTK6,Q9NTK5;J3KQ32;C9JTK6,3;3;2,3;3;2,3;3;2,Obg-like ATPase 1,OLA1,sp|Q9NTK5|OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=2;tr|J3KQ32|J3KQ32_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=1;tr|C9JTK6|C9JTK6_HUMAN Obg-like ATPase 1 (Fragment) OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=,3,3,10.1,4.20850867790137,4.29066777690332,24.8619747585477,24.2601782979918
Q96CV9;A0A087WY28;A0A087X2G2;X6RKL2,Q96CV9,8;2;1;1,8;2;1;1,8;2;1;1,Optineurin,OPTN,sp|Q96CV9|OPTN_HUMAN Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3,8,8,16.8,4.20850867790137,4.29066777690332,26.7623055904461,26.387421804735
Q13416;B8ZZ80;C9JK08,Q13416,17;3;2,17;3;2,17;3;2,Origin recognition complex subunit 2,ORC2,sp|Q13416|ORC2_HUMAN Origin recognition complex subunit 2 OS=Homo sapiens OX=9606 GN=ORC2 PE=1 SV=2,17,17,44.2,26.5447318400832,26.0863866783763,29.1733610943638,29.2246033200505
Q9BXB4;Q9BXB5;A0A5F9ZH75;H7C487,Q9BXB4,7;1;1;1,7;1;1;1,7;1;1;1,Oxysterol-binding protein-related protein 11,OSBPL11,sp|Q9BXB4|OSB11_HUMAN Oxysterol-binding protein-related protein 11 OS=Homo sapiens OX=9606 GN=OSBPL11 PE=1 SV=2,7,7,12.0,4.20850867790137,4.29066777690332,26.3761031268626,26.1068536328137
Q9BZF1;F8VUA7;F8VQX7;Q9H0X9,Q9BZF1;F8VUA7;F8VQX7,4;3;3;1,4;3;3;1,4;3;3;1,Oxysterol-binding protein-related protein 8;Oxysterol-binding protein,OSBPL8,sp|Q9BZF1|OSBL8_HUMAN Oxysterol-binding protein-related protein 8 OS=Homo sapiens OX=9606 GN=OSBPL8 PE=1 SV=3;tr|F8VUA7|F8VUA7_HUMAN Oxysterol-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=OSBPL8 PE=1 SV=8;tr|F8VQX7|F8VQX7_HUMAN Oxysterol-binding p,4,4,5.1,4.20850867790137,4.29066777690332,25.5693237037262,25.5080000068848
Q96SU4;H0YE93;E9PK98;G8JLK0;H0YE19,Q96SU4,3;1;1;1;1,3;1;1;1;1,3;1;1;1;1,Oxysterol-binding protein-related protein 9,OSBPL9,sp|Q96SU4|OSBL9_HUMAN Oxysterol-binding protein-related protein 9 OS=Homo sapiens OX=9606 GN=OSBPL9 PE=1 SV=2,3,3,6.5,4.20850867790137,4.29066777690332,24.2182279744,24.8885080445399
Q01804;D6RI06,Q01804,14;4,14;4,14;4,OTU domain-containing protein 4,OTUD4,sp|Q01804|OTUD4_HUMAN OTU domain-containing protein 4 OS=Homo sapiens OX=9606 GN=OTUD4 PE=1 SV=4,14,14,16.3,26.0432467787053,26.4492064658173,22.9533503071865,21.195083793373
Q96G74;H7BZQ3;A0A087WXV6,Q96G74;H7BZQ3;A0A087WXV6,3;3;3,3;3;3,3;3;3,OTU domain-containing protein 5,OTUD5,sp|Q96G74|OTUD5_HUMAN OTU domain-containing protein 5 OS=Homo sapiens OX=9606 GN=OTUD5 PE=1 SV=1;tr|H7BZQ3|H7BZQ3_HUMAN OTU domain-containing protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=OTUD5 PE=1 SV=1;tr|A0A087WXV6|A0A087WXV6_HUMAN OTU domain-containi,3,3,6.5,24.6576379682076,24.4793885259019,4.43802889902157,4.4166468749236
O95747;C9JIG9;Q9UEW8;F8WBK9,O95747;C9JIG9,6;5;1;1,6;5;1;1,6;5;1;1,Serine/threonine-protein kinase OSR1,OXSR1,sp|O95747|OXSR1_HUMAN Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1;tr|C9JIG9|C9JIG9_HUMAN Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1,6,6,12.3,4.20850867790137,4.29066777690332,26.4765175514814,25.1941520624989
Q9UQ80;F8VR77;H0YIN7;F8W0A3,Q9UQ80;F8VR77,10;5;3;3,10;5;3;3,10;5;3;3,Proliferation-associated protein 2G4,PA2G4,sp|Q9UQ80|PA2G4_HUMAN Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3;tr|F8VR77|F8VR77_HUMAN Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=1,10,10,28.4,4.20850867790137,4.29066777690332,27.7813176866066,27.2822426064387
P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;H0YB86;E5RJB9;H0YAP2;E5RGH3;Q4VXU2;E5RH24;H0YEQ8;H0YAS6;H0YB75;H0YAS7;E5RHG7;H0YC10;E5RGC4;E5RFD8;Q96DU9,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,23;23;22;21;13;11;10;6;5;5;5;5;4;3;3;3;2;2;2;1;1;1,23;23;22;21;13;11;10;6;5;5;5;5;4;3;3;3;2;2;2;1;1;1,14;14;14;13;8;8;4;4;1;5;2;2;1;0;3;3;2;0;2;0;0;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein,23,14,37.1,24.4438586750945,24.1682142506774,29.883538037589,29.8431253415825
Q13310;B1ANR0;H0Y5F5;B1ANR1;H0YEU6;H0YCC8;H0Y6X6,Q13310;B1ANR0;H0Y5F5,15;15;11;5;5;4;1,7;7;5;2;3;1;1,7;7;5;2;3;1;1,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragmen,15,7,27.6,4.20850867790137,4.29066777690332,26.6807005425146,26.8852994191357
Q86U42;H0YJH9;B4DEH8;G3V4T2,Q86U42;H0YJH9;B4DEH8;G3V4T2,2;1;1;1,2;1;1;1,2;1;1;1,Polyadenylate-binding protein 2,PABPN1,sp|Q86U42|PABP2_HUMAN Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3;tr|H0YJH9|H0YJH9_HUMAN Polyadenylate-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=1;tr|B4DEH8|B4DEH8_HUMAN Polyadenylate-binding pro,2,2,8.8,24.6298981908051,24.6148720181495,24.9696535166411,24.7387689086317
Q6VY07;E9PNZ9;E9PSG7;H0YCU5;H0YF56;E9PPK2,Q6VY07,4;1;1;1;1;1,4;1;1;1;1;1,2;0;0;0;1;1,Phosphofurin acidic cluster sorting protein 1,PACS1,sp|Q6VY07|PACS1_HUMAN Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens OX=9606 GN=PACS1 PE=1 SV=2,4,2,5.7,4.20850867790137,4.29066777690332,25.3590741790027,23.2312088734543
Q9UNF0;A0A0U1RR22;H0Y923;B0QYG7;B0QYG8,Q9UNF0;A0A0U1RR22,3;3;1;1;1,3;3;1;1;1,3;3;1;1;1,Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2;tr|A0A0U1RR22|A0A0U1RR22_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens,3,3,7.8,4.20850867790137,4.29066777690332,25.7237732090145,25.2202224329293
Q7Z2X7;Q5JRK9;X6R922;Q5JRL0;X6RD31,Q7Z2X7;Q5JRK9;X6R922;Q5JRL0;X6RD31,4;4;4;4;2,4;4;4;4;2,4;4;4;4;2,P antigen family member 2;Putative G antigen family E member 3,PAGE2;PAGE2B,sp|Q7Z2X7|PAGE2_HUMAN P antigen family member 2 OS=Homo sapiens OX=9606 GN=PAGE2 PE=1 SV=1;sp|Q5JRK9|GGEE3_HUMAN Putative G antigen family E member 3 OS=Homo sapiens OX=9606 GN=PAGE2B PE=3 SV=1;tr|X6R922|X6R922_HUMAN P antigen family member 2 OS=Homo sapie,4,4,41.4,22.8848524356563,25.1912553479272,29.4512244772793,28.0526876084481
P22234;E9PBS1;D6RF62,P22234;E9PBS1;D6RF62,18;17;13,18;17;13,18;17;13,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,PAICS,sp|P22234|PUR6_HUMAN Multifunctional protein ADE2 OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=3;tr|E9PBS1|E9PBS1_HUMAN Multifunctional protein ADE2 (Fragment) OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=1;tr|D6RF62|D6RF62_HUMAN Multifunctional protein ADE2 OS=Ho,18,18,43.3,22.7578628148238,23.5911506752881,29.7751913176779,29.6544273195268
Q9H074;D6REB4;H0YA44;D6RJF2,Q9H074;D6REB4,5;4;1;1,5;4;1;1,5;4;1;1,Polyadenylate-binding protein-interacting protein 1,PAIP1,sp|Q9H074|PAIP1_HUMAN Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=1;tr|D6REB4|D6REB4_HUMAN Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=1,5,5,7.9,4.20850867790137,4.29066777690332,26.7695118112152,25.3520509714323
Q13177;H7C1X3,Q13177,24;8,24;8,18;6,Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34,PAK2,sp|Q13177|PAK2_HUMAN Serine/threonine-protein kinase PAK 2 OS=Homo sapiens OX=9606 GN=PAK2 PE=1 SV=3,24,18,54.4,22.7533195955225,23.551293879469,28.9584239456688,28.9652118128346
Q9ULE6,Q9ULE6,21,21,21,Paladin,PALD1,sp|Q9ULE6|PALD_HUMAN Paladin OS=Homo sapiens OX=9606 GN=PALD1 PE=1 SV=3,21,21,34.0,4.20850867790137,4.29066777690332,28.3648618951392,28.0683034073046
Q8WX93;H0YA05;A0A3B3ISX8;H0Y952;D6R9F5;D6RBB1;F8WA26;D6R9Z5;D6RBH5,Q8WX93,21;6;5;3;2;2;2;1;1,21;6;5;3;2;2;2;1;1,21;6;5;3;2;2;2;1;1,Palladin,PALLD,sp|Q8WX93|PALLD_HUMAN Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,21,21,20.6,26.8975836667283,26.4915191820373,29.0156859984869,28.8577162836138
O75781,O75781,3,3,3,Paralemmin-1,PALM,sp|O75781|PALM_HUMAN Paralemmin-1 OS=Homo sapiens OX=9606 GN=PALM PE=1 SV=2,3,3,12.9,4.20850867790137,4.29066777690332,24.5896086325806,25.2397983692057
B1ALY0;Q8IXS6;C9JA33;C9JZH4,B1ALY0;Q8IXS6;C9JA33,7;5;5;2,7;5;5;2,7;5;5;2,Paralemmin-2,PALM2-AKAP2;PALM2,tr|B1ALY0|B1ALY0_HUMAN PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1;sp|Q8IXS6|PALM2_HUMAN Paralemmin-2 OS=Homo sapiens OX=9606 GN=PALM2 PE=1 SV=3;tr|C9JA33|C9JA33_HUMAN PALM2 and AKAP2 fusion OS=Homo sapiens OX=9606 GN=,7,7,26.1,4.20850867790137,4.29066777690332,27.7278678074417,26.2379037295221
P51003;G3XAH6;A0A0C4DGK1;G3V3I9;H0YJ00;G3V457;H0YJL4,P51003;G3XAH6,27;25;11;8;7;5;1,27;25;11;8;7;5;1,17;15;5;4;2;4;1,Poly(A) polymerase alpha,PAPOLA,sp|P51003|PAPOA_HUMAN Poly(A) polymerase alpha OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=4;tr|G3XAH6|G3XAH6_HUMAN Poly(A) polymerase OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=1,27,17,43.4,28.1849433495102,27.9956646031252,29.4614675816542,29.216438927566
Q9NRJ5,Q9NRJ5,12,3,3,Poly(A) polymerase beta,PAPOLB,sp|Q9NRJ5|PAPOB_HUMAN Poly(A) polymerase beta OS=Homo sapiens OX=9606 GN=PAPOLB PE=2 SV=1,12,3,21.1,4.20850867790137,4.29066777690332,25.010221096779,25.1703172214392
Q9BWT3;F8WAT4;H7C3W0,Q9BWT3;F8WAT4;H7C3W0,5;4;3,3;2;1,3;2;1,Poly(A) polymerase gamma,PAPOLG,sp|Q9BWT3|PAPOG_HUMAN Poly(A) polymerase gamma OS=Homo sapiens OX=9606 GN=PAPOLG PE=1 SV=2;tr|F8WAT4|F8WAT4_HUMAN Poly(A) polymerase gamma OS=Homo sapiens OX=9606 GN=PAPOLG PE=1 SV=1;tr|H7C3W0|H7C3W0_HUMAN Poly(A) polymerase gamma (Fragment) OS=Homo sapien,5,3,9.4,23.7752989782242,23.024249610037,27.0127590446712,27.0372069752788
O43252;O95340,O43252,8;1,8;1,8;1,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS1,sp|O43252|PAPS1_HUMAN Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1 OS=Homo sapiens OX=9606 GN=PAPSS1 PE=1 SV=2,8,8,17.3,24.2138427474069,23.9825055345494,25.6263930585368,26.0970584883813
Q8TEW0;Q5VWV2;Q5VWU8;F5GZI3,Q8TEW0;Q5VWV2;Q5VWU8;F5GZI3,24;22;19;16,24;22;19;16,21;19;16;13,Partitioning defective 3 homolog,PARD3,sp|Q8TEW0|PARD3_HUMAN Partitioning defective 3 homolog OS=Homo sapiens OX=9606 GN=PARD3 PE=1 SV=2;tr|Q5VWV2|Q5VWV2_HUMAN Partitioning defective 3 homolog OS=Homo sapiens OX=9606 GN=PARD3 PE=1 SV=1;tr|Q5VWU8|Q5VWU8_HUMAN Partitioning defective 3 homolog OS=,24,21,21.8,4.20850867790137,4.29066777690332,28.4883045172387,27.9102218342328
Q86W56,Q86W56,4,4,4,Poly(ADP-ribose) glycohydrolase,PARG,sp|Q86W56|PARG_HUMAN Poly(ADP-ribose) glycohydrolase OS=Homo sapiens OX=9606 GN=PARG PE=1 SV=1,4,4,5.1,4.20850867790137,4.29066777690332,24.5550843108147,25.2125248831552
P09874;Q5VX84;Q5VX85,P09874,23;1;1,23;1;1,23;1;1,Poly [ADP-ribose] polymerase 1,PARP1,sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,23,23,30.1,25.8876716995653,26.1249066506796,28.0285472056947,28.3096899879094
Q9H0J9;G5E9U9,Q9H0J9;G5E9U9,8;4,7;3,7;3,Poly [ADP-ribose] polymerase 12,PARP12,"sp|Q9H0J9|PAR12_HUMAN Protein mono-ADP-ribosyltransferase PARP12 OS=Homo sapiens OX=9606 GN=PARP12 PE=1 SV=1;tr|G5E9U9|G5E9U9_HUMAN Poly (ADP-ribose) polymerase family, member 12, isoform CRA_a OS=Homo sapiens OX=9606 GN=PARP12 PE=1 SV=1",8,7,11.1,23.7562346055338,23.518905618405,25.8309375776001,24.1109203729438
Q9UKK3,Q9UKK3,20,20,20,Poly [ADP-ribose] polymerase 4,PARP4,sp|Q9UKK3|PARP4_HUMAN Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,20,20,14.0,26.0051317675394,27.368196836617,26.6090768115889,26.4407893456561
Q96RG2;F8WEB4;C9J4R3,Q96RG2,5;1;1,5;1;1,5;1;1,PAS domain-containing serine/threonine-protein kinase,PASK,sp|Q96RG2|PASK_HUMAN PAS domain-containing serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=PASK PE=1 SV=3,5,5,5.5,23.3236111668729,24.6505329050837,25.1881641266412,25.0835491204831
Q86TB9,Q86TB9,13,13,13,Protein PAT1 homolog 1,PATL1,sp|Q86TB9|PATL1_HUMAN Protein PAT1 homolog 1 OS=Homo sapiens OX=9606 GN=PATL1 PE=1 SV=2,13,13,20.8,21.0537111535446,23.5359530511988,27.2115969259348,27.1515114832783
Q9Y5B6,Q9Y5B6,9,9,9,PAX3- and PAX7-binding protein 1,PAXBP1,sp|Q9Y5B6|PAXB1_HUMAN PAX3- and PAX7-binding protein 1 OS=Homo sapiens OX=9606 GN=PAXBP1 PE=1 SV=2,9,9,11.5,27.3659465969358,25.9629637655997,4.43802889902157,4.4166468749236
Q96KB5;E5RFX4;E5RIE1,Q96KB5;E5RFX4,8;5;2,8;5;2,8;5;2,Lymphokine-activated killer T-cell-originated protein kinase,PBK,sp|Q96KB5|TOPK_HUMAN Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens OX=9606 GN=PBK PE=1 SV=3;tr|E5RFX4|E5RFX4_HUMAN Lymphokine-activated killer T-cell-originated protein kinase (Fragment) OS=Homo sapiens OX=9606 GN=PBK PE=1 SV,8,8,28.6,23.2637036070808,23.3412310460313,27.2542178314552,26.328104852973
